Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-03-27 19:02:09+00:00,1.2436143018034831e+18,"This is sad, please give our NHS staff the proper protection. Some hospitals are not even giving out masks to doctors and nurses dealing with infected patients. This will turn into a catastrophe in a few weeks. #COVID19 #coronavirus #NHS @NHSuk https://t.co/HNjuqRVqin",drnalrifai,London/Antwerp,3.0,0.0,0.0,0.0,Senior Scientist at @JanssenGlobal - @JnJCares. PhD Chemical Engineering. Views are my own and do not necessarily reflect the views of my employer.,111.0,"['COVID19', 'coronavirus', 'NHS']",this is sad please give our nhs staff the proper protection some hospitals are not even giving out masks to doctors and nurses dealing with infected patients this will turn into a catastrophe in a few weeks covid19 coronavirus nhs,"['this', 'is', 'sad', 'please', 'give', 'our', 'nhs', 'staff', 'the', 'proper', 'protection', 'some', 'hospitals', 'are', 'not', 'even', 'giving', 'out', 'masks', 'to', 'doctors', 'and', 'nurses', 'dealing', 'with', 'infected', 'patients', 'this', 'will', 'turn', 'into', 'a', 'catastrophe', 'in', 'a', 'few', 'weeks', 'covid19', 'coronavirus', 'nhs']","['sad', 'please', 'give', 'nhs', 'staff', 'proper', 'protection', 'hospitals', 'even', 'giving', 'masks', 'doctors', 'nurses', 'dealing', 'infected', 'patients', 'turn', 'catastrophe', 'weeks', 'covid19', 'coronavirus', 'nhs']","['sad', 'pleas', 'give', 'nh', 'staff', 'proper', 'protect', 'hospit', 'even', 'give', 'mask', 'doctor', 'nurs', 'deal', 'infect', 'patient', 'turn', 'catastroph', 'week', 'covid19', 'coronaviru', 'nh']","['sad', 'please', 'give', 'nhs', 'staff', 'proper', 'protection', 'hospitals', 'even', 'giving', 'masks', 'doctors', 'nurses', 'dealing', 'infected', 'patients', 'turn', 'catastrophe', 'weeks', 'covid19', 'coronavirus', 'nhs']",1,Netherlands
2020-05-11 10:51:56+00:00,1.2597983901471457e+18,"Tattooing in Covid times. 😷 We provide all protection needed for our customers, of course free of charge, so both artist and client are protected as much as possible. A care package with all necessary tools to… https://t.co/T83N8izxm6",BlueBloodStudio,Amsterdam,0.0,0.0,0.0,0.0,"Kinkerstraat 14 Amsterdam
+31 (0) 20 358 6083
thebluebloodstudios.nl/book-us",95.0,,tattooing in covid times we provide all protection needed for our customers of course free of charge so both artist and client are protected as much as possible a care package with all necessary tools to,"['tattooing', 'in', 'covid', 'times', 'we', 'provide', 'all', 'protection', 'needed', 'for', 'our', 'customers', 'of', 'course', 'free', 'of', 'charge', 'so', 'both', 'artist', 'and', 'client', 'are', 'protected', 'as', 'much', 'as', 'possible', 'a', 'care', 'package', 'with', 'all', 'necessary', 'tools', 'to']","['tattooing', 'covid', 'times', 'provide', 'protection', 'needed', 'customers', 'course', 'free', 'charge', 'artist', 'client', 'protected', 'much', 'possible', 'care', 'package', 'necessary', 'tools']","['tattoo', 'covid', 'time', 'provid', 'protect', 'need', 'custom', 'cours', 'free', 'charg', 'artist', 'client', 'protect', 'much', 'possibl', 'care', 'packag', 'necessari', 'tool']","['tattooing', 'covid', 'times', 'provide', 'protection', 'needed', 'customers', 'course', 'free', 'charge', 'artist', 'client', 'protected', 'much', 'possible', 'care', 'package', 'necessary', 'tools']",5,Netherlands
2022-05-30 11:24:20+00:00,1.5312350542943396e+18,Some of Yall be thinking yall are gifts or benefits or something positive and then get entitled to some self proclaimed deserved gratitude while yall are a problem to be avoided and be warned for,Islandman_SF,"Rotterdam, Nederland",0.0,0.0,0.0,0.0,Taking it one step at a time,8.0,,some of yall be thinking yall are gifts or benefits or something positive and then get entitled to some self proclaimed deserved gratitude while yall are a problem to be avoided and be warned for,"['some', 'of', 'yall', 'be', 'thinking', 'yall', 'are', 'gifts', 'or', 'benefits', 'or', 'something', 'positive', 'and', 'then', 'get', 'entitled', 'to', 'some', 'self', 'proclaimed', 'deserved', 'gratitude', 'while', 'yall', 'are', 'a', 'problem', 'to', 'be', 'avoided', 'and', 'be', 'warned', 'for']","['yall', 'thinking', 'yall', 'gifts', 'benefits', 'something', 'positive', 'get', 'entitled', 'self', 'proclaimed', 'deserved', 'gratitude', 'yall', 'problem', 'avoided', 'warned']","['yall', 'think', 'yall', 'gift', 'benefit', 'someth', 'posit', 'get', 'entitl', 'self', 'proclaim', 'deserv', 'gratitud', 'yall', 'problem', 'avoid', 'warn']","['yall', 'thinking', 'yall', 'gifts', 'benefits', 'something', 'positive', 'get', 'entitled', 'self', 'proclaimed', 'deserved', 'gratitude', 'yall', 'problem', 'avoided', 'warned']",3,Netherlands
2022-06-20 18:00:10+00:00,1.5389448157941023e+18,"""Trauma from the war didn’t bruise mom’s ability to use her skills as a nurse and gift of compassion to sit with many dying patients at Sharmar nursing home.""

https://t.co/8rDhQ0RnKJ

<<<<<<< Updated upstream
#WWII #books #trauma",AmsterdamPB,"Amsterdam, Nederland",0.0,0.0,0.0,0.0,Publisher specialized in #Holocaust #memoirs #WW2 #publishing #books by #Jewish #authors #neverforget,2985.0,"['WWII', 'books', 'trauma']",trauma from the war didnt bruise moms ability to use her skills as a nurse and gift of compassion to sit with many dying patients at sharmar nursing home updated upstream wwii books trauma,"['trauma', 'from', 'the', 'war', 'didnt', 'bruise', 'moms', 'ability', 'to', 'use', 'her', 'skills', 'as', 'a', 'nurse', 'and', 'gift', 'of', 'compassion', 'to', 'sit', 'with', 'many', 'dying', 'patients', 'at', 'sharmar', 'nursing', 'home', 'updated', 'upstream', 'wwii', 'books', 'trauma']","['trauma', 'war', 'didnt', 'bruise', 'moms', 'ability', 'use', 'skills', 'nurse', 'gift', 'compassion', 'sit', 'many', 'dying', 'patients', 'sharmar', 'nursing', 'home', 'updated', 'upstream', 'wwii', 'books', 'trauma']","['trauma', 'war', 'didnt', 'bruis', 'mom', 'abil', 'use', 'skill', 'nurs', 'gift', 'compass', 'sit', 'mani', 'die', 'patient', 'sharmar', 'nurs', 'home', 'updat', 'upstream', 'wwii', 'book', 'trauma']","['trauma', 'war', 'didnt', 'bruise', 'moms', 'ability', 'use', 'skills', 'nurse', 'gift', 'compassion', 'sit', 'many', 'dying', 'patients', 'sharmar', 'nursing', 'home', 'updated', 'upstream', 'wwii', 'books', 'trauma']",5,Netherlands
2021-04-09 23:37:03+00:00,1.380666097884672e+18,"@BertienKl1969 @TimDownie1 @NellekeTervoort @DutchOutlanders @miriamgc @Mukkie_rose @MarianneF810 @HaarlemNanda @RietWijnhoven @abigail @HVirgenie @EdelmanNienke @JustIMiranda @DownieDucklings Thank you, it gave a good laugh to begin my night shift as a nurse. My patients loved it. They wanted more 😁😘 So we will see and hear you again in about 2 weeks. You made a whole lot of patients happy today. A gift they truly needed.",Petra_and_Rocks,"Nijmegen, Nederland",5.0,0.0,0.0,0.0,"I am a mom who loves her 2 kids, her adorable #Shepsky #Husky #Kittens. surround myself with the people i love.
#Dogmother #ShepskyFan #LovingMyLife #Outlander",74.0,,thank you it gave a good laugh to begin my night shift as a nurse my patients loved it they wanted more so we will see and hear you again in about 2 weeks you made a whole lot of patients happy today a gift they truly needed,"['thank', 'you', 'it', 'gave', 'a', 'good', 'laugh', 'to', 'begin', 'my', 'night', 'shift', 'as', 'a', 'nurse', 'my', 'patients', 'loved', 'it', 'they', 'wanted', 'more', 'so', 'we', 'will', 'see', 'and', 'hear', 'you', 'again', 'in', 'about', '2', 'weeks', 'you', 'made', 'a', 'whole', 'lot', 'of', 'patients', 'happy', 'today', 'a', 'gift', 'they', 'truly', 'needed']","['thank', 'gave', 'good', 'laugh', 'begin', 'night', 'shift', 'nurse', 'patients', 'loved', 'wanted', 'see', 'hear', '2', 'weeks', 'made', 'whole', 'lot', 'patients', 'happy', 'today', 'gift', 'truly', 'needed']","['thank', 'gave', 'good', 'laugh', 'begin', 'night', 'shift', 'nurs', 'patient', 'love', 'want', 'see', 'hear', '2', 'week', 'made', 'whole', 'lot', 'patient', 'happi', 'today', 'gift', 'truli', 'need']","['thank', 'gave', 'good', 'laugh', 'begin', 'night', 'shift', 'nurse', 'patients', 'loved', 'wanted', 'see', 'hear', '2', 'weeks', 'made', 'whole', 'lot', 'patients', 'happy', 'today', 'gift', 'truly', 'needed']",5,Netherlands
2022-06-20 18:00:10+00:00,1.5389448157941023e+18,"""Trauma from the war didn’t bruise mom’s ability to use her skills as a nurse and gift of compassion to sit with many dying patients at Sharmar nursing home.""

https://t.co/8rDhQ0RnKJ

<<<<<<< Updated upstream
#WWII #books #trauma",AmsterdamPB,"Amsterdam, Nederland",0.0,0.0,0.0,0.0,Publisher specialized in #Holocaust #memoirs #WW2 #publishing #books by #Jewish #authors #neverforget,2985.0,"['WWII', 'books', 'trauma']",trauma from the war didnt bruise moms ability to use her skills as a nurse and gift of compassion to sit with many dying patients at sharmar nursing home updated upstream wwii books trauma,"['trauma', 'from', 'the', 'war', 'didnt', 'bruise', 'moms', 'ability', 'to', 'use', 'her', 'skills', 'as', 'a', 'nurse', 'and', 'gift', 'of', 'compassion', 'to', 'sit', 'with', 'many', 'dying', 'patients', 'at', 'sharmar', 'nursing', 'home', 'updated', 'upstream', 'wwii', 'books', 'trauma']","['trauma', 'war', 'didnt', 'bruise', 'moms', 'ability', 'use', 'skills', 'nurse', 'gift', 'compassion', 'sit', 'many', 'dying', 'patients', 'sharmar', 'nursing', 'home', 'updated', 'upstream', 'wwii', 'books', 'trauma']","['trauma', 'war', 'didnt', 'bruis', 'mom', 'abil', 'use', 'skill', 'nurs', 'gift', 'compass', 'sit', 'mani', 'die', 'patient', 'sharmar', 'nurs', 'home', 'updat', 'upstream', 'wwii', 'book', 'trauma']","['trauma', 'war', 'didnt', 'bruise', 'moms', 'ability', 'use', 'skills', 'nurse', 'gift', 'compassion', 'sit', 'many', 'dying', 'patients', 'sharmar', 'nursing', 'home', 'updated', 'upstream', 'wwii', 'books', 'trauma']",5,Netherlands
2021-04-09 23:37:03+00:00,1.380666097884672e+18,"@BertienKl1969 @TimDownie1 @NellekeTervoort @DutchOutlanders @miriamgc @Mukkie_rose @MarianneF810 @HaarlemNanda @RietWijnhoven @abigail @HVirgenie @EdelmanNienke @JustIMiranda @DownieDucklings Thank you, it gave a good laugh to begin my night shift as a nurse. My patients loved it. They wanted more 😁😘 So we will see and hear you again in about 2 weeks. You made a whole lot of patients happy today. A gift they truly needed.",Petra_and_Rocks,"Nijmegen, Nederland",5.0,0.0,0.0,0.0,"I am a mom who loves her 2 kids, her adorable #Shepsky #Husky #Kittens. surround myself with the people i love.
#Dogmother #ShepskyFan #LovingMyLife #Outlander",74.0,,thank you it gave a good laugh to begin my night shift as a nurse my patients loved it they wanted more so we will see and hear you again in about 2 weeks you made a whole lot of patients happy today a gift they truly needed,"['thank', 'you', 'it', 'gave', 'a', 'good', 'laugh', 'to', 'begin', 'my', 'night', 'shift', 'as', 'a', 'nurse', 'my', 'patients', 'loved', 'it', 'they', 'wanted', 'more', 'so', 'we', 'will', 'see', 'and', 'hear', 'you', 'again', 'in', 'about', '2', 'weeks', 'you', 'made', 'a', 'whole', 'lot', 'of', 'patients', 'happy', 'today', 'a', 'gift', 'they', 'truly', 'needed']","['thank', 'gave', 'good', 'laugh', 'begin', 'night', 'shift', 'nurse', 'patients', 'loved', 'wanted', 'see', 'hear', '2', 'weeks', 'made', 'whole', 'lot', 'patients', 'happy', 'today', 'gift', 'truly', 'needed']","['thank', 'gave', 'good', 'laugh', 'begin', 'night', 'shift', 'nurs', 'patient', 'love', 'want', 'see', 'hear', '2', 'week', 'made', 'whole', 'lot', 'patient', 'happi', 'today', 'gift', 'truli', 'need']","['thank', 'gave', 'good', 'laugh', 'begin', 'night', 'shift', 'nurse', 'patients', 'loved', 'wanted', 'see', 'hear', '2', 'weeks', 'made', 'whole', 'lot', 'patients', 'happy', 'today', 'gift', 'truly', 'needed']",5,Netherlands
2022-03-10 20:36:14+00:00,1.5020205252284416e+18,@vitalrepsfit To be able to exercise is a gift 🙏 #health #healthiswealth,WendyMozes,Amsterdam,1.0,0.0,0.0,0.0,Mother of Élodie / Midlife Dancer / Dance Workouts for 40+ / Choreographer / Dance Reminders / #fitover40 #dancefitness #health #aging / Dancing Through Midlife,2320.0,"['health', 'healthiswealth']",to be able to exercise is a gift health healthiswealth,"['to', 'be', 'able', 'to', 'exercise', 'is', 'a', 'gift', 'health', 'healthiswealth']","['able', 'exercise', 'gift', 'health', 'healthiswealth']","['abl', 'exercis', 'gift', 'health', 'healthiswealth']","['able', 'exercise', 'gift', 'health', 'healthiswealth']",4,Netherlands
2022-02-12 08:29:22+00:00,1.4924155186445765e+18,"To be able to exercise &amp; dance is a blessing &amp; a gift. Celebrate &amp; respect your miraculous body, workout more! #health #exercise #trainsmartnothard #stretching #dancemore #aging #lifehack #dancefitness #fitover40",WendyMozes,Amsterdam,8.0,0.0,0.0,0.0,Mother of Élodie / Midlife Dancer / Dance Workouts for 40+ / Choreographer / Dance Reminders / #fitover40 #dancefitness #health #aging / Dancing Through Midlife,2320.0,"['health', 'exercise', 'trainsmartnothard', 'stretching', 'dancemore', 'aging', 'lifehack', 'dancefitness', 'fitover40']",to be able to exercise amp dance is a blessing amp a gift celebrate amp respect your miraculous body workout more health exercise trainsmartnothard stretching dancemore aging lifehack dancefitness fitover40,"['to', 'be', 'able', 'to', 'exercise', 'amp', 'dance', 'is', 'a', 'blessing', 'amp', 'a', 'gift', 'celebrate', 'amp', 'respect', 'your', 'miraculous', 'body', 'workout', 'more', 'health', 'exercise', 'trainsmartnothard', 'stretching', 'dancemore', 'aging', 'lifehack', 'dancefitness', 'fitover40']","['able', 'exercise', 'amp', 'dance', 'blessing', 'amp', 'gift', 'celebrate', 'amp', 'respect', 'miraculous', 'body', 'workout', 'health', 'exercise', 'trainsmartnothard', 'stretching', 'dancemore', 'aging', 'lifehack', 'dancefitness', 'fitover40']","['abl', 'exercis', 'amp', 'danc', 'bless', 'amp', 'gift', 'celebr', 'amp', 'respect', 'miracul', 'bodi', 'workout', 'health', 'exercis', 'trainsmartnothard', 'stretch', 'dancemor', 'age', 'lifehack', 'dancefit', 'fitover40']","['able', 'exercise', 'amp', 'dance', 'blessing', 'amp', 'gift', 'celebrate', 'amp', 'respect', 'miraculous', 'body', 'workout', 'health', 'exercise', 'trainsmartnothard', 'stretching', 'dancemore', 'aging', 'lifehack', 'dancefitness', 'fitover40']",5,Netherlands
2021-12-04 11:34:53+00:00,1.4670950556012216e+18,To be able to dance is a gift. 🙏 #grateful #health #nevernotdancing #dancer #midlifedancer #fitover40,WendyMozes,Amsterdam,2.0,0.0,0.0,0.0,Mother of Élodie / Midlife Dancer / Dance Workouts for 40+ / Choreographer / Dance Reminders / #fitover40 #dancefitness #health #aging / Dancing Through Midlife,2320.0,"['grateful', 'health', 'nevernotdancing', 'dancer', 'midlifedancer', 'fitover40']",to be able to dance is a gift grateful health nevernotdancing dancer midlifedancer fitover40,"['to', 'be', 'able', 'to', 'dance', 'is', 'a', 'gift', 'grateful', 'health', 'nevernotdancing', 'dancer', 'midlifedancer', 'fitover40']","['able', 'dance', 'gift', 'grateful', 'health', 'nevernotdancing', 'dancer', 'midlifedancer', 'fitover40']","['abl', 'danc', 'gift', 'grate', 'health', 'nevernotdanc', 'dancer', 'midlifedanc', 'fitover40']","['able', 'dance', 'gift', 'grateful', 'health', 'nevernotdancing', 'dancer', 'midlifedancer', 'fitover40']",5,Netherlands
