Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 08:24:19+00:00,1532276916945838080,"Appreciate @AmarjeetSohiYEG's comments on releasing people from prison when they have nowhere to go. If the system is about rehabilitation, that must include assistance for reintegration into society - finding housing, employment, supports to avoid relapse. #RealTalkRJ",aggieloveseggs,"Brno, Czech Republic",6,1,0,0,Polish-Canadian awkwardly navigating life in the Czech Republic. Irrationally enamoured with Canadian Tire. she/her,2476,['RealTalkRJ'],appreciate comments on releasing people from prison when they have nowhere to go if the system is about rehabilitation that must include assistance for reintegration into society finding housing employment supports to avoid relapse realtalkrj,"['appreciate', 'comments', 'on', 'releasing', 'people', 'from', 'prison', 'when', 'they', 'have', 'nowhere', 'to', 'go', 'if', 'the', 'system', 'is', 'about', 'rehabilitation', 'that', 'must', 'include', 'assistance', 'for', 'reintegration', 'into', 'society', 'finding', 'housing', 'employment', 'supports', 'to', 'avoid', 'relapse', 'realtalkrj']","['appreciate', 'comments', 'releasing', 'people', 'prison', 'nowhere', 'go', 'system', 'rehabilitation', 'must', 'include', 'assistance', 'reintegration', 'society', 'finding', 'housing', 'employment', 'supports', 'avoid', 'relapse', 'realtalkrj']","['appreci', 'comment', 'releas', 'peopl', 'prison', 'nowher', 'go', 'system', 'rehabilit', 'must', 'includ', 'assist', 'reintegr', 'societi', 'find', 'hous', 'employ', 'support', 'avoid', 'relaps', 'realtalkrj']","['appreciate', 'comments', 'releasing', 'people', 'prison', 'nowhere', 'go', 'system', 'rehabilitation', 'must', 'include', 'assistance', 'reintegration', 'society', 'finding', 'housing', 'employment', 'supports', 'avoid', 'relapse', 'realtalkrj']",3,Czech Republic
2022-02-23 13:17:36+00:00,1496474321983873037,"New political campaign in #Slovakia 🇸🇰: SMER-SSD party of ex-PM #Fico surrounded the country with billboards denouncing political ""traitors of Slovakia"" (incl. @ZuzanaCaputova) due to their support of security agreement with 🇺🇸. ""We will never betray Slovakia,"" claims the party. https://t.co/Mi4jRGQxtX",MarianSekerak,"Prague, Czech Republic",1,1,1,0,"political scientist & lecturer | Tweets in Czech, Slovak, English | politics, democracy, religion, opera",848,"['Slovakia', 'Fico']",new political campaign in slovakia smerssd party of expm fico surrounded the country with billboards denouncing political traitors of slovakia incl due to their support of security agreement with we will never betray slovakia claims the party,"['new', 'political', 'campaign', 'in', 'slovakia', 'smerssd', 'party', 'of', 'expm', 'fico', 'surrounded', 'the', 'country', 'with', 'billboards', 'denouncing', 'political', 'traitors', 'of', 'slovakia', 'incl', 'due', 'to', 'their', 'support', 'of', 'security', 'agreement', 'with', 'we', 'will', 'never', 'betray', 'slovakia', 'claims', 'the', 'party']","['new', 'political', 'campaign', 'slovakia', 'smerssd', 'party', 'expm', 'fico', 'surrounded', 'country', 'billboards', 'denouncing', 'political', 'traitors', 'slovakia', 'incl', 'due', 'support', 'security', 'agreement', 'never', 'betray', 'slovakia', 'claims', 'party']","['new', 'polit', 'campaign', 'slovakia', 'smerssd', 'parti', 'expm', 'fico', 'surround', 'countri', 'billboard', 'denounc', 'polit', 'traitor', 'slovakia', 'incl', 'due', 'support', 'secur', 'agreement', 'never', 'betray', 'slovakia', 'claim', 'parti']","['new', 'political', 'campaign', 'slovakia', 'smerssd', 'party', 'expm', 'fico', 'surrounded', 'country', 'billboards', 'denouncing', 'political', 'traitors', 'slovakia', 'incl', 'due', 'support', 'security', 'agreement', 'never', 'betray', 'slovakia', 'claims', 'party']",1,Czech Republic
2020-12-13 21:19:17+00:00,1338232046704095237,Congress is a joke. You all have the benefit of wealth while the majority of your supporters are now poorer. Why can't you come to agreement in short order to avoid sending more people into poverty or homeless. Congress are predators and do not care. Rich are rich without resolve,o_lear,,0,0,0,0,Someone who cares but critts,2,,congress is a joke you all have the benefit of wealth while the majority of your supporters are now poorer why cant you come to agreement in short order to avoid sending more people into poverty or homeless congress are predators and do not care rich are rich without resolve,"['congress', 'is', 'a', 'joke', 'you', 'all', 'have', 'the', 'benefit', 'of', 'wealth', 'while', 'the', 'majority', 'of', 'your', 'supporters', 'are', 'now', 'poorer', 'why', 'cant', 'you', 'come', 'to', 'agreement', 'in', 'short', 'order', 'to', 'avoid', 'sending', 'more', 'people', 'into', 'poverty', 'or', 'homeless', 'congress', 'are', 'predators', 'and', 'do', 'not', 'care', 'rich', 'are', 'rich', 'without', 'resolve']","['congress', 'joke', 'benefit', 'wealth', 'majority', 'supporters', 'poorer', 'cant', 'come', 'agreement', 'short', 'order', 'avoid', 'sending', 'people', 'poverty', 'homeless', 'congress', 'predators', 'care', 'rich', 'rich', 'without', 'resolve']","['congress', 'joke', 'benefit', 'wealth', 'major', 'support', 'poorer', 'cant', 'come', 'agreement', 'short', 'order', 'avoid', 'send', 'peopl', 'poverti', 'homeless', 'congress', 'predat', 'care', 'rich', 'rich', 'without', 'resolv']","['congress', 'joke', 'benefit', 'wealth', 'majority', 'supporters', 'poorer', 'cant', 'come', 'agreement', 'short', 'order', 'avoid', 'sending', 'people', 'poverty', 'homeless', 'congress', 'predators', 'care', 'rich', 'rich', 'without', 'resolve']",1,Czech Republic
2020-10-22 08:12:58+00:00,1319189994624475136,"If Nigerians Don't Support LGBTQ Community After This Protest, I'll Never Talk To Any Nigerian Again.

https://t.co/qcrVhnLJ40 &amp; LGBTQ Community Are The Front Liners In This Fight &amp; Sending Aids &amp; Paying Food, Medical Bills, Lawyer's &amp; All To Keep The Movement Going.
#EndSARS

✊🏿",bugzydvinci,Czech Republic 🇪🇺,0,0,0,0,"Crypto Investor, NFT Degen, Blockchain, Metaverse, Web3.  Beyond the Moon 🚀",1495,['EndSARS'],if nigerians dont support lgbtq community after this protest ill never talk to any nigerian again amp lgbtq community are the front liners in this fight amp sending aids amp paying food medical bills lawyers amp all to keep the movement going endsars,"['if', 'nigerians', 'dont', 'support', 'lgbtq', 'community', 'after', 'this', 'protest', 'ill', 'never', 'talk', 'to', 'any', 'nigerian', 'again', 'amp', 'lgbtq', 'community', 'are', 'the', 'front', 'liners', 'in', 'this', 'fight', 'amp', 'sending', 'aids', 'amp', 'paying', 'food', 'medical', 'bills', 'lawyers', 'amp', 'all', 'to', 'keep', 'the', 'movement', 'going', 'endsars']","['nigerians', 'dont', 'support', 'lgbtq', 'community', 'protest', 'ill', 'never', 'talk', 'nigerian', 'amp', 'lgbtq', 'community', 'front', 'liners', 'fight', 'amp', 'sending', 'aids', 'amp', 'paying', 'food', 'medical', 'bills', 'lawyers', 'amp', 'keep', 'movement', 'going', 'endsars']","['nigerian', 'dont', 'support', 'lgbtq', 'commun', 'protest', 'ill', 'never', 'talk', 'nigerian', 'amp', 'lgbtq', 'commun', 'front', 'liner', 'fight', 'amp', 'send', 'aid', 'amp', 'pay', 'food', 'medic', 'bill', 'lawyer', 'amp', 'keep', 'movement', 'go', 'endsar']","['nigerians', 'dont', 'support', 'lgbtq', 'community', 'protest', 'ill', 'never', 'talk', 'nigerian', 'amp', 'lgbtq', 'community', 'front', 'liners', 'fight', 'amp', 'sending', 'aids', 'amp', 'paying', 'food', 'medical', 'bills', 'lawyers', 'amp', 'keep', 'movement', 'going', 'endsars']",1,Czech Republic
2022-06-05 06:03:08+00:00,1533328549289111559,"""Data can aid understanding of and support to the media sector and freedom of expression. Yet, in the countries and communities where journalism is most at risk, the health of the news system often remains a black box.""

https://t.co/7FeXcWMeBn",gwenhubkaalbert,"Prague, Czech Republic",0,0,0,0,independent human rights activist,1217,,data can aid understanding of and support to the media sector and freedom of expression yet in the countries and communities where journalism is most at risk the health of the news system often remains a black box,"['data', 'can', 'aid', 'understanding', 'of', 'and', 'support', 'to', 'the', 'media', 'sector', 'and', 'freedom', 'of', 'expression', 'yet', 'in', 'the', 'countries', 'and', 'communities', 'where', 'journalism', 'is', 'most', 'at', 'risk', 'the', 'health', 'of', 'the', 'news', 'system', 'often', 'remains', 'a', 'black', 'box']","['data', 'aid', 'understanding', 'support', 'media', 'sector', 'freedom', 'expression', 'yet', 'countries', 'communities', 'journalism', 'risk', 'health', 'news', 'system', 'often', 'remains', 'black', 'box']","['data', 'aid', 'understand', 'support', 'media', 'sector', 'freedom', 'express', 'yet', 'countri', 'commun', 'journal', 'risk', 'health', 'news', 'system', 'often', 'remain', 'black', 'box']","['data', 'aid', 'understanding', 'support', 'media', 'sector', 'freedom', 'expression', 'yet', 'countries', 'communities', 'journalism', 'risk', 'health', 'news', 'system', 'often', 'remains', 'black', 'box']",3,Czech Republic
2022-06-03 16:44:41+00:00,1532765222779379712,@chimon1984 @supernova_io At this point it should only go into the Assets tab. We have restructured Components to support the meta information (component health etc),simonmc,"Prague, Czech Republic",0,0,0,0,VP Sales and Growth for Supernova.io,1944,,at this point it should only go into the assets tab we have restructured components to support the meta information component health etc,"['at', 'this', 'point', 'it', 'should', 'only', 'go', 'into', 'the', 'assets', 'tab', 'we', 'have', 'restructured', 'components', 'to', 'support', 'the', 'meta', 'information', 'component', 'health', 'etc']","['point', 'go', 'assets', 'tab', 'restructured', 'components', 'support', 'meta', 'information', 'component', 'health', 'etc']","['point', 'go', 'asset', 'tab', 'restructur', 'compon', 'support', 'meta', 'inform', 'compon', 'health', 'etc']","['point', 'go', 'assets', 'tab', 'restructured', 'components', 'support', 'meta', 'information', 'component', 'health', 'etc']",3,Czech Republic
2022-06-01 00:19:45+00:00,1531792581247516672,"@DorianaVinci Postdocs don't need tea, postdocs need peace of mind, resilience and psychological support for mental health",FabrizioGuzzett,"Praga, República Checa",0,0,0,0,,278,,postdocs dont need tea postdocs need peace of mind resilience and psychological support for mental health,"['postdocs', 'dont', 'need', 'tea', 'postdocs', 'need', 'peace', 'of', 'mind', 'resilience', 'and', 'psychological', 'support', 'for', 'mental', 'health']","['postdocs', 'dont', 'need', 'tea', 'postdocs', 'need', 'peace', 'mind', 'resilience', 'psychological', 'support', 'mental', 'health']","['postdoc', 'dont', 'need', 'tea', 'postdoc', 'need', 'peac', 'mind', 'resili', 'psycholog', 'support', 'mental', 'health']","['postdocs', 'dont', 'need', 'tea', 'postdocs', 'need', 'peace', 'mind', 'resilience', 'psychological', 'support', 'mental', 'health']",4,Czech Republic
2021-11-26 11:38:43+00:00,1464196920415600660,"@zuzaritt @CinkaLucifer @Ian_Willoughby Yes, but the health insurance companies in Czech republic dictate what capacity of services they are willing to support. So the already overworked system gets strained even more by people who have healthcare accessible to them in their country of residence.",skawagon,,0,1,0,0,Fuck Putin.,42,,yes but the health insurance companies in czech republic dictate what capacity of services they are willing to support so the already overworked system gets strained even more by people who have healthcare accessible to them in their country of residence,"['yes', 'but', 'the', 'health', 'insurance', 'companies', 'in', 'czech', 'republic', 'dictate', 'what', 'capacity', 'of', 'services', 'they', 'are', 'willing', 'to', 'support', 'so', 'the', 'already', 'overworked', 'system', 'gets', 'strained', 'even', 'more', 'by', 'people', 'who', 'have', 'healthcare', 'accessible', 'to', 'them', 'in', 'their', 'country', 'of', 'residence']","['yes', 'health', 'insurance', 'companies', 'czech', 'republic', 'dictate', 'capacity', 'services', 'willing', 'support', 'already', 'overworked', 'system', 'gets', 'strained', 'even', 'people', 'healthcare', 'accessible', 'country', 'residence']","['ye', 'health', 'insur', 'compani', 'czech', 'republ', 'dictat', 'capac', 'servic', 'will', 'support', 'alreadi', 'overwork', 'system', 'get', 'strain', 'even', 'peopl', 'healthcar', 'access', 'countri', 'resid']","['yes', 'health', 'insurance', 'companies', 'czech', 'republic', 'dictate', 'capacity', 'services', 'willing', 'support', 'already', 'overworked', 'system', 'gets', 'strained', 'even', 'people', 'healthcare', 'accessible', 'country', 'residence']",3,Czech Republic
2021-06-26 09:21:45+00:00,1408717106036842498,"@sjkish I feel you. I had to go cold turkey due to severe health issues. You are seen, supported, and congratulated by me.",Cabanaboiscoot,"Praha, Česká republika",0,0,0,0,"Teacher , Actor, currently the King of Student Films for FAMU, and have gone full OCD for #ourflagmeansdeath.",325,,i feel you i had to go cold turkey due to severe health issues you are seen supported and congratulated by me,"['i', 'feel', 'you', 'i', 'had', 'to', 'go', 'cold', 'turkey', 'due', 'to', 'severe', 'health', 'issues', 'you', 'are', 'seen', 'supported', 'and', 'congratulated', 'by', 'me']","['feel', 'go', 'cold', 'turkey', 'due', 'severe', 'health', 'issues', 'seen', 'supported', 'congratulated']","['feel', 'go', 'cold', 'turkey', 'due', 'sever', 'health', 'issu', 'seen', 'support', 'congratul']","['feel', 'go', 'cold', 'turkey', 'due', 'severe', 'health', 'issues', 'seen', 'supported', 'congratulated']",5,Czech Republic
2021-05-19 06:49:16+00:00,1394907991808282626,"In our crazy journey, we met Amanda Mataija and Hadjar VG, from Prague Integration Courses and it was a right-on-the-spot match between us! 🤘
While we connect sport and shops support, Amanda and Hadjar made us understand  how sport is also a key factor for mental health. 🏃‍🏃 https://t.co/oMxGihtDoQ",PragueRun4,,0,0,0,0,"REGISTER HERE: run4prague.realbuzzevents.com/en/
Run4Prague is an online solidarity run supporting small shops in Prague.",19,,in our crazy journey we met amanda mataija and hadjar vg from prague integration courses and it was a rightonthespot match between us while we connect sport and shops support amanda and hadjar made us understand how sport is also a key factor for mental health,"['in', 'our', 'crazy', 'journey', 'we', 'met', 'amanda', 'mataija', 'and', 'hadjar', 'vg', 'from', 'prague', 'integration', 'courses', 'and', 'it', 'was', 'a', 'rightonthespot', 'match', 'between', 'us', 'while', 'we', 'connect', 'sport', 'and', 'shops', 'support', 'amanda', 'and', 'hadjar', 'made', 'us', 'understand', 'how', 'sport', 'is', 'also', 'a', 'key', 'factor', 'for', 'mental', 'health']","['crazy', 'journey', 'met', 'amanda', 'mataija', 'hadjar', 'vg', 'prague', 'integration', 'courses', 'rightonthespot', 'match', 'us', 'connect', 'sport', 'shops', 'support', 'amanda', 'hadjar', 'made', 'us', 'understand', 'sport', 'also', 'key', 'factor', 'mental', 'health']","['crazi', 'journey', 'met', 'amanda', 'mataija', 'hadjar', 'vg', 'pragu', 'integr', 'cours', 'rightonthespot', 'match', 'us', 'connect', 'sport', 'shop', 'support', 'amanda', 'hadjar', 'made', 'us', 'understand', 'sport', 'also', 'key', 'factor', 'mental', 'health']","['crazy', 'journey', 'met', 'amanda', 'mataija', 'hadjar', 'vg', 'prague', 'integration', 'courses', 'rightonthespot', 'match', 'us', 'connect', 'sport', 'shops', 'support', 'amanda', 'hadjar', 'made', 'us', 'understand', 'sport', 'also', 'key', 'factor', 'mental', 'health']",5,Czech Republic
