Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-15 14:39:39+00:00,1525848389656760320,Deep appreciation to the US President for signing legislation supporting Taiwan’s observer status at the World Health Assembly https://t.co/oN3HvtxmNv,office_taipei,"Bratislava, Slovakia",1,0,0,0,"Taipei Representative Office in Bratislava aims at promoting bilateral relations between Taiwan and Slovakia.

FB: facebook.com/TaiwaninSlovak…",619,,deep appreciation to the us president for signing legislation supporting taiwans observer status at the world health assembly,"['deep', 'appreciation', 'to', 'the', 'us', 'president', 'for', 'signing', 'legislation', 'supporting', 'taiwans', 'observer', 'status', 'at', 'the', 'world', 'health', 'assembly']","['deep', 'appreciation', 'us', 'president', 'signing', 'legislation', 'supporting', 'taiwans', 'observer', 'status', 'world', 'health', 'assembly']","['deep', 'appreci', 'us', 'presid', 'sign', 'legisl', 'support', 'taiwan', 'observ', 'statu', 'world', 'health', 'assembl']","['deep', 'appreciation', 'us', 'president', 'signing', 'legislation', 'supporting', 'taiwans', 'observer', 'status', 'world', 'health', 'assembly']",5,Hungary
2021-04-19 10:28:53+00:00,1384091626075607044,"#Hemodynamic monitoring during VV #ECMO support, including patients with #COVID19 at ECMO specialist webinar
@EcmoNinja @DrMCecconi
@ECMOprincess @drmilicaa
@mtECMO @HanCardiomd @ELSOOrg @ELSOeducation @ElsoLatam @VUMC_ECMO @EuroELSO

https://t.co/cgQOlJYtUt",franciscojlk,"Budapest, Hungary",9,2,0,0,"Venezuelan MD in Hungary. Critical Care Medicine. Hemodynamic and lung mechanics. @esicm @escardio. Active Reseacher. Barista, compulsive reader and traveler.'.",431,"['Hemodynamic', 'ECMO', 'COVID19']",hemodynamic monitoring during vv ecmo support including patients with covid19 at ecmo specialist webinar,"['hemodynamic', 'monitoring', 'during', 'vv', 'ecmo', 'support', 'including', 'patients', 'with', 'covid19', 'at', 'ecmo', 'specialist', 'webinar']","['hemodynamic', 'monitoring', 'vv', 'ecmo', 'support', 'including', 'patients', 'covid19', 'ecmo', 'specialist', 'webinar']","['hemodynam', 'monitor', 'vv', 'ecmo', 'support', 'includ', 'patient', 'covid19', 'ecmo', 'specialist', 'webinar']","['hemodynamic', 'monitoring', 'vv', 'ecmo', 'support', 'including', 'patients', 'covid19', 'ecmo', 'specialist', 'webinar']",4,Hungary
2021-03-12 14:52:04+00:00,1370387117650632708,Today 🇩🇰Govt responded with solidarity to #Slovakia's call through the 🇪🇺Civil Protection Mechanism by deploying a team of 3 doctors &amp; 5 nurses to 🇸🇰 in support of the fight against #COVID19 pandemic. Pressconf in Bratislava. #StrongerTogether https://t.co/Y7JHb06DNu,DKambVIENNA,"Vienna, Austria",42,2,8,1,"Ambassador of Denmark to Austria, Slovakia, Albania, Kosovo. Permanent Representative to the United Nations in Vienna and to the OSCE.",959,"['Slovakia', 'COVID19', 'StrongerTogether']",today govt responded with solidarity to slovakias call through the civil protection mechanism by deploying a team of 3 doctors amp 5 nurses to in support of the fight against covid19 pandemic pressconf in bratislava strongertogether,"['today', 'govt', 'responded', 'with', 'solidarity', 'to', 'slovakias', 'call', 'through', 'the', 'civil', 'protection', 'mechanism', 'by', 'deploying', 'a', 'team', 'of', '3', 'doctors', 'amp', '5', 'nurses', 'to', 'in', 'support', 'of', 'the', 'fight', 'against', 'covid19', 'pandemic', 'pressconf', 'in', 'bratislava', 'strongertogether']","['today', 'govt', 'responded', 'solidarity', 'slovakias', 'call', 'civil', 'protection', 'mechanism', 'deploying', 'team', '3', 'doctors', 'amp', '5', 'nurses', 'support', 'fight', 'covid19', 'pandemic', 'pressconf', 'bratislava', 'strongertogether']","['today', 'govt', 'respond', 'solidar', 'slovakia', 'call', 'civil', 'protect', 'mechan', 'deploy', 'team', '3', 'doctor', 'amp', '5', 'nurs', 'support', 'fight', 'covid19', 'pandem', 'pressconf', 'bratislava', 'strongertogeth']","['today', 'govt', 'responded', 'solidarity', 'slovakias', 'call', 'civil', 'protection', 'mechanism', 'deploying', 'team', '3', 'doctors', 'amp', '5', 'nurses', 'support', 'fight', 'covid19', 'pandemic', 'pressconf', 'bratislava', 'strongertogether']",5,Hungary
2020-05-25 05:36:23+00:00,1264792409755525121,@SparcoOfficial @McLarenF1 #SparcoSuits @8prive our race design entry inspired by the very first McLaren car. It also carries the logo to support health workers #covid19 #HealthcareHeroes https://t.co/M8SJWVdoKJ,8prive,London ,2,0,0,0,"international sports, music, film and arts management company. Footballers, F1, Tennis, Musicians and Artist. also CEO at award winning Design House",6467,"['SparcoSuits', 'covid19', 'HealthcareHeroes']",sparcosuits our race design entry inspired by the very first mclaren car it also carries the logo to support health workers covid19 healthcareheroes,"['sparcosuits', 'our', 'race', 'design', 'entry', 'inspired', 'by', 'the', 'very', 'first', 'mclaren', 'car', 'it', 'also', 'carries', 'the', 'logo', 'to', 'support', 'health', 'workers', 'covid19', 'healthcareheroes']","['sparcosuits', 'race', 'design', 'entry', 'inspired', 'first', 'mclaren', 'car', 'also', 'carries', 'logo', 'support', 'health', 'workers', 'covid19', 'healthcareheroes']","['sparcosuit', 'race', 'design', 'entri', 'inspir', 'first', 'mclaren', 'car', 'also', 'carri', 'logo', 'support', 'health', 'worker', 'covid19', 'healthcarehero']","['sparcosuits', 'race', 'design', 'entry', 'inspired', 'first', 'mclaren', 'car', 'also', 'carries', 'logo', 'support', 'health', 'workers', 'covid19', 'healthcareheroes']",5,Hungary
2020-03-11 18:11:20+00:00,1237803307726503937,Follow official advice and stop this idiotic #COVID19 #Corona panic... Public health service in Ontario response regarding #PDAC2020 - **no risk or issue associated with the event **  https://t.co/8OshEtPjPS,SpotlightMining,"Vienna, Austria",1,0,0,0,"#Behingthescenes shots from Spotlight's team, on the ground at the world's most exciting junior mining projects.",3926,"['COVID19', 'Corona', 'PDAC2020']",follow official advice and stop this idiotic covid19 corona panic public health service in ontario response regarding pdac2020 no risk or issue associated with the event,"['follow', 'official', 'advice', 'and', 'stop', 'this', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'in', 'ontario', 'response', 'regarding', 'pdac2020', 'no', 'risk', 'or', 'issue', 'associated', 'with', 'the', 'event']","['follow', 'official', 'advice', 'stop', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'ontario', 'response', 'regarding', 'pdac2020', 'risk', 'issue', 'associated', 'event']","['follow', 'offici', 'advic', 'stop', 'idiot', 'covid19', 'corona', 'panic', 'public', 'health', 'servic', 'ontario', 'respons', 'regard', 'pdac2020', 'risk', 'issu', 'associ', 'event']","['follow', 'official', 'advice', 'stop', 'idiotic', 'covid19', 'corona', 'panic', 'public', 'health', 'service', 'ontario', 'response', 'regarding', 'pdac2020', 'risk', 'issue', 'associated', 'event']",1,Hungary
2020-03-05 15:28:12+00:00,1235587925422665728,Great to be presenting posters on Health Services Research and Health Economics funded by @Pfizer_Ireland &amp; @IrishResearch at EURODURG 2020 Hungary. Conference discussion this afternoon is looking at coronavirus-related drug shortages and innovative methods to overcome this @UCC https://t.co/ZjNruziDjy,garylobrien,Ireland,32,0,3,1,"Pharmacist, Health Economics, Health Policy, Clinical Trials, @IrishResearch & @YoungGasteiners & @UCC alumnus researchgate.net/profile/Gary_O…",572,,great to be presenting posters on health services research and health economics funded by amp at eurodurg 2020 hungary conference discussion this afternoon is looking at coronavirusrelated drug shortages and innovative methods to overcome this,"['great', 'to', 'be', 'presenting', 'posters', 'on', 'health', 'services', 'research', 'and', 'health', 'economics', 'funded', 'by', 'amp', 'at', 'eurodurg', '2020', 'hungary', 'conference', 'discussion', 'this', 'afternoon', 'is', 'looking', 'at', 'coronavirusrelated', 'drug', 'shortages', 'and', 'innovative', 'methods', 'to', 'overcome', 'this']","['great', 'presenting', 'posters', 'health', 'services', 'research', 'health', 'economics', 'funded', 'amp', 'eurodurg', '2020', 'hungary', 'conference', 'discussion', 'afternoon', 'looking', 'coronavirusrelated', 'drug', 'shortages', 'innovative', 'methods', 'overcome']","['great', 'present', 'poster', 'health', 'servic', 'research', 'health', 'econom', 'fund', 'amp', 'eurodurg', '2020', 'hungari', 'confer', 'discuss', 'afternoon', 'look', 'coronavirusrel', 'drug', 'shortag', 'innov', 'method', 'overcom']","['great', 'presenting', 'posters', 'health', 'services', 'research', 'health', 'economics', 'funded', 'amp', 'eurodurg', '2020', 'hungary', 'conference', 'discussion', 'afternoon', 'looking', 'coronavirusrelated', 'drug', 'shortages', 'innovative', 'methods', 'overcome']",5,Hungary
2021-04-19 10:28:53+00:00,1384091626075607044,"#Hemodynamic monitoring during VV #ECMO support, including patients with #COVID19 at ECMO specialist webinar
@EcmoNinja @DrMCecconi
@ECMOprincess @drmilicaa
@mtECMO @HanCardiomd @ELSOOrg @ELSOeducation @ElsoLatam @VUMC_ECMO @EuroELSO

https://t.co/cgQOlJYtUt",franciscojlk,"Budapest, Hungary",9,2,0,0,"Venezuelan MD in Hungary. Critical Care Medicine. Hemodynamic and lung mechanics. @esicm @escardio. Active Reseacher. Barista, compulsive reader and traveler.'.",431,"['Hemodynamic', 'ECMO', 'COVID19']",hemodynamic monitoring during vv ecmo support including patients with covid19 at ecmo specialist webinar,"['hemodynamic', 'monitoring', 'during', 'vv', 'ecmo', 'support', 'including', 'patients', 'with', 'covid19', 'at', 'ecmo', 'specialist', 'webinar']","['hemodynamic', 'monitoring', 'vv', 'ecmo', 'support', 'including', 'patients', 'covid19', 'ecmo', 'specialist', 'webinar']","['hemodynam', 'monitor', 'vv', 'ecmo', 'support', 'includ', 'patient', 'covid19', 'ecmo', 'specialist', 'webinar']","['hemodynamic', 'monitoring', 'vv', 'ecmo', 'support', 'including', 'patients', 'covid19', 'ecmo', 'specialist', 'webinar']",4,Hungary
2020-12-08 17:44:04+00:00,1336365945145659394,"🇪🇺 There is no more time to lose. Millions of Europeans entrepreneurs, workers and NGOs urgently need concrete support to be able to deal with the devastating consequences of COVID-19. https://t.co/Qrl6wWq12T",miroslavhajnos,Slovakia,4,0,1,0,"Unionist | Busy with EU stuff in @KOZSlovakRep 🇸🇰 | Active in @EU_EESC, & @eurofound 🇪🇺 and fallen in love with @etuc_ces & @ETUI_org 👥 |",20888,,there is no more time to lose millions of europeans entrepreneurs workers and ngos urgently need concrete support to be able to deal with the devastating consequences of covid19,"['there', 'is', 'no', 'more', 'time', 'to', 'lose', 'millions', 'of', 'europeans', 'entrepreneurs', 'workers', 'and', 'ngos', 'urgently', 'need', 'concrete', 'support', 'to', 'be', 'able', 'to', 'deal', 'with', 'the', 'devastating', 'consequences', 'of', 'covid19']","['time', 'lose', 'millions', 'europeans', 'entrepreneurs', 'workers', 'ngos', 'urgently', 'need', 'concrete', 'support', 'able', 'deal', 'devastating', 'consequences', 'covid19']","['time', 'lose', 'million', 'european', 'entrepreneur', 'worker', 'ngo', 'urgent', 'need', 'concret', 'support', 'abl', 'deal', 'devast', 'consequ', 'covid19']","['time', 'lose', 'millions', 'europeans', 'entrepreneurs', 'workers', 'ngos', 'urgently', 'need', 'concrete', 'support', 'able', 'deal', 'devastating', 'consequences', 'covid19']",1,Hungary
2020-05-25 05:36:23+00:00,1264792409755525121,@SparcoOfficial @McLarenF1 #SparcoSuits @8prive our race design entry inspired by the very first McLaren car. It also carries the logo to support health workers #covid19 #HealthcareHeroes https://t.co/M8SJWVdoKJ,8prive,London ,2,0,0,0,"international sports, music, film and arts management company. Footballers, F1, Tennis, Musicians and Artist. also CEO at award winning Design House",6467,"['SparcoSuits', 'covid19', 'HealthcareHeroes']",sparcosuits our race design entry inspired by the very first mclaren car it also carries the logo to support health workers covid19 healthcareheroes,"['sparcosuits', 'our', 'race', 'design', 'entry', 'inspired', 'by', 'the', 'very', 'first', 'mclaren', 'car', 'it', 'also', 'carries', 'the', 'logo', 'to', 'support', 'health', 'workers', 'covid19', 'healthcareheroes']","['sparcosuits', 'race', 'design', 'entry', 'inspired', 'first', 'mclaren', 'car', 'also', 'carries', 'logo', 'support', 'health', 'workers', 'covid19', 'healthcareheroes']","['sparcosuit', 'race', 'design', 'entri', 'inspir', 'first', 'mclaren', 'car', 'also', 'carri', 'logo', 'support', 'health', 'worker', 'covid19', 'healthcarehero']","['sparcosuits', 'race', 'design', 'entry', 'inspired', 'first', 'mclaren', 'car', 'also', 'carries', 'logo', 'support', 'health', 'workers', 'covid19', 'healthcareheroes']",5,Hungary
2020-05-08 13:51:27+00:00,1258756401377222656,"💯🇪🇺 proud of this announcement, EIT Digital supporting the #European innovation and entrepreneurship ecosystem in times of #COVID19 🧠✨ #deeptech startups, scaleups &amp; data solutions in focus area digital #wellbeing #healthtech can get 6mo support. Check it out #Covid_19 #Corona https://t.co/lXunLkS6QU",dorothycsak,Budapest,0,0,0,0,Social media expert/ European tech advocate/ bringing policy to people through social media/ Hungarian & European/ CEE innovation / women empowerment,227,"['European', 'COVID19', 'deeptech', 'wellbeing', 'healthtech', 'Covid_19', 'Corona']",proud of this announcement eit digital supporting the european innovation and entrepreneurship ecosystem in times of covid19 deeptech startups scaleups amp data solutions in focus area digital wellbeing healthtech can get 6mo support check it out covid19 corona,"['proud', 'of', 'this', 'announcement', 'eit', 'digital', 'supporting', 'the', 'european', 'innovation', 'and', 'entrepreneurship', 'ecosystem', 'in', 'times', 'of', 'covid19', 'deeptech', 'startups', 'scaleups', 'amp', 'data', 'solutions', 'in', 'focus', 'area', 'digital', 'wellbeing', 'healthtech', 'can', 'get', '6mo', 'support', 'check', 'it', 'out', 'covid19', 'corona']","['proud', 'announcement', 'eit', 'digital', 'supporting', 'european', 'innovation', 'entrepreneurship', 'ecosystem', 'times', 'covid19', 'deeptech', 'startups', 'scaleups', 'amp', 'data', 'solutions', 'focus', 'area', 'digital', 'wellbeing', 'healthtech', 'get', '6mo', 'support', 'check', 'covid19', 'corona']","['proud', 'announc', 'eit', 'digit', 'support', 'european', 'innov', 'entrepreneurship', 'ecosystem', 'time', 'covid19', 'deeptech', 'startup', 'scaleup', 'amp', 'data', 'solut', 'focu', 'area', 'digit', 'wellb', 'healthtech', 'get', '6mo', 'support', 'check', 'covid19', 'corona']","['proud', 'announcement', 'eit', 'digital', 'supporting', 'european', 'innovation', 'entrepreneurship', 'ecosystem', 'times', 'covid19', 'deeptech', 'startups', 'scaleups', 'amp', 'data', 'solutions', 'focus', 'area', 'digital', 'wellbeing', 'healthtech', 'get', '6mo', 'support', 'check', 'covid19', 'corona']",5,Hungary
