Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 13:49:51+00:00,1532721225822265349,"Rejoyced in every moment of #CICABicycleTour on  #WorldBicycleDay. Confident this event reached its goal to strengthening #connectivity

Great appreciation to all participants, police &amp; medical staff for support &amp; able @CicaSecretariat team for good job! https://t.co/lhl7zelPLW",KairatSarybay,Kazakhstan,15,0,2,0,Executive Director of @CicaSecretariat,826,"['CICABicycleTour', 'WorldBicycleDay', 'connectivity']",rejoyced in every moment of cicabicycletour on worldbicycleday confident this event reached its goal to strengthening connectivity great appreciation to all participants police amp medical staff for support amp able team for good job,"['rejoyced', 'in', 'every', 'moment', 'of', 'cicabicycletour', 'on', 'worldbicycleday', 'confident', 'this', 'event', 'reached', 'its', 'goal', 'to', 'strengthening', 'connectivity', 'great', 'appreciation', 'to', 'all', 'participants', 'police', 'amp', 'medical', 'staff', 'for', 'support', 'amp', 'able', 'team', 'for', 'good', 'job']","['rejoyced', 'every', 'moment', 'cicabicycletour', 'worldbicycleday', 'confident', 'event', 'reached', 'goal', 'strengthening', 'connectivity', 'great', 'appreciation', 'participants', 'police', 'amp', 'medical', 'staff', 'support', 'amp', 'able', 'team', 'good', 'job']","['rejoyc', 'everi', 'moment', 'cicabicycletour', 'worldbicycleday', 'confid', 'event', 'reach', 'goal', 'strengthen', 'connect', 'great', 'appreci', 'particip', 'polic', 'amp', 'medic', 'staff', 'support', 'amp', 'abl', 'team', 'good', 'job']","['rejoyced', 'every', 'moment', 'cicabicycletour', 'worldbicycleday', 'confident', 'event', 'reached', 'goal', 'strengthening', 'connectivity', 'great', 'appreciation', 'participants', 'police', 'amp', 'medical', 'staff', 'support', 'amp', 'able', 'team', 'good', 'job']",5,Kazakhstan
2020-09-09 15:09:17+00:00,1303712084522422275,"Thanks to our partners @USAIDCtrAsia @USembassyKAZ for supporting prevention of #COVID19 in schools, so children in remote rural schools could continue their education #ForEveryChild #Education @UNICEFEducation @UNICEF_ECA https://t.co/v4wdL9uwln",VeronikaVash,"Sarajevo, Bosnia&Herzegovina",4,0,1,0,Deputy Representative @unicefbih. #childrights #children . Mum of Sophie. Tweeting my own views.,1394,"['COVID19', 'ForEveryChild', 'Education']",thanks to our partners for supporting prevention of covid19 in schools so children in remote rural schools could continue their education foreverychild education,"['thanks', 'to', 'our', 'partners', 'for', 'supporting', 'prevention', 'of', 'covid19', 'in', 'schools', 'so', 'children', 'in', 'remote', 'rural', 'schools', 'could', 'continue', 'their', 'education', 'foreverychild', 'education']","['thanks', 'partners', 'supporting', 'prevention', 'covid19', 'schools', 'children', 'remote', 'rural', 'schools', 'could', 'continue', 'education', 'foreverychild', 'education']","['thank', 'partner', 'support', 'prevent', 'covid19', 'school', 'children', 'remot', 'rural', 'school', 'could', 'continu', 'educ', 'foreverychild', 'educ']","['thanks', 'partners', 'supporting', 'prevention', 'covid19', 'schools', 'children', 'remote', 'rural', 'schools', 'could', 'continue', 'education', 'foreverychild', 'education']",4,Kazakhstan
2020-07-04 05:44:52+00:00,1279290059066421253,"Watch this three part video (in Russian, with subtitles in English) about the medical equipment @PamiriYouth are fundraising to buy to support the fight against #COVID19 in #Tajikistan. Links to donate in the tweets https://t.co/BISuPLBbPJ",balalaichnitsa,Kazakhstan,3,0,4,0,Historian and fiction writer | living with #OCD & #bipolar | Academic in transit | Tweets #EarlyModern #HistSTM #GlobalHistory #MentalHealth | she/her,1970,"['COVID19', 'Tajikistan']",watch this three part video in russian with subtitles in english about the medical equipment are fundraising to buy to support the fight against covid19 in tajikistan links to donate in the tweets,"['watch', 'this', 'three', 'part', 'video', 'in', 'russian', 'with', 'subtitles', 'in', 'english', 'about', 'the', 'medical', 'equipment', 'are', 'fundraising', 'to', 'buy', 'to', 'support', 'the', 'fight', 'against', 'covid19', 'in', 'tajikistan', 'links', 'to', 'donate', 'in', 'the', 'tweets']","['watch', 'three', 'part', 'video', 'russian', 'subtitles', 'english', 'medical', 'equipment', 'fundraising', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'links', 'donate', 'tweets']","['watch', 'three', 'part', 'video', 'russian', 'subtitl', 'english', 'medic', 'equip', 'fundrais', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'link', 'donat', 'tweet']","['watch', 'three', 'part', 'video', 'russian', 'subtitles', 'english', 'medical', 'equipment', 'fundraising', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'links', 'donate', 'tweets']",1,Kazakhstan
2021-01-09 05:33:29+00:00,1347778501106130944,"NRIs have made a big contribution in the fight against COVID-19 from where they were staying or from India. Their contribution to PM Cares is strengthening health services in our country: PM @narendramodi

 #PravasiBharatiyaDivas2021

@MEAIndia @ICCR_Delhi @indembastana @InchamK https://t.co/ukigj03PEK",ICCR_NurSultan,Kazakhstan,8,0,4,0,"Official Twitter account of the Swami Vivekananda Cultural Centre, Embassy of India, Nur-Sultan, Kazakhstan",576,['PravasiBharatiyaDivas2021'],nris have made a big contribution in the fight against covid19 from where they were staying or from india their contribution to pm cares is strengthening health services in our country pm pravasibharatiyadivas2021,"['nris', 'have', 'made', 'a', 'big', 'contribution', 'in', 'the', 'fight', 'against', 'covid19', 'from', 'where', 'they', 'were', 'staying', 'or', 'from', 'india', 'their', 'contribution', 'to', 'pm', 'cares', 'is', 'strengthening', 'health', 'services', 'in', 'our', 'country', 'pm', 'pravasibharatiyadivas2021']","['nris', 'made', 'big', 'contribution', 'fight', 'covid19', 'staying', 'india', 'contribution', 'pm', 'cares', 'strengthening', 'health', 'services', 'country', 'pm', 'pravasibharatiyadivas2021']","['nri', 'made', 'big', 'contribut', 'fight', 'covid19', 'stay', 'india', 'contribut', 'pm', 'care', 'strengthen', 'health', 'servic', 'countri', 'pm', 'pravasibharatiyadivas2021']","['nris', 'made', 'big', 'contribution', 'fight', 'covid19', 'staying', 'india', 'contribution', 'pm', 'cares', 'strengthening', 'health', 'services', 'country', 'pm', 'pravasibharatiyadivas2021']",5,Kazakhstan
2020-07-04 05:44:52+00:00,1279290059066421253,"Watch this three part video (in Russian, with subtitles in English) about the medical equipment @PamiriYouth are fundraising to buy to support the fight against #COVID19 in #Tajikistan. Links to donate in the tweets https://t.co/BISuPLBbPJ",balalaichnitsa,Kazakhstan,3,0,4,0,Historian and fiction writer | living with #OCD & #bipolar | Academic in transit | Tweets #EarlyModern #HistSTM #GlobalHistory #MentalHealth | she/her,1970,"['COVID19', 'Tajikistan']",watch this three part video in russian with subtitles in english about the medical equipment are fundraising to buy to support the fight against covid19 in tajikistan links to donate in the tweets,"['watch', 'this', 'three', 'part', 'video', 'in', 'russian', 'with', 'subtitles', 'in', 'english', 'about', 'the', 'medical', 'equipment', 'are', 'fundraising', 'to', 'buy', 'to', 'support', 'the', 'fight', 'against', 'covid19', 'in', 'tajikistan', 'links', 'to', 'donate', 'in', 'the', 'tweets']","['watch', 'three', 'part', 'video', 'russian', 'subtitles', 'english', 'medical', 'equipment', 'fundraising', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'links', 'donate', 'tweets']","['watch', 'three', 'part', 'video', 'russian', 'subtitl', 'english', 'medic', 'equip', 'fundrais', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'link', 'donat', 'tweet']","['watch', 'three', 'part', 'video', 'russian', 'subtitles', 'english', 'medical', 'equipment', 'fundraising', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'links', 'donate', 'tweets']",1,Kazakhstan
2020-04-06 03:17:10+00:00,1247000367554052102,#ForEveryChild #Protection #Kazakhstan #COVID19 I hope many caregivers will seek online support from psychologists to address anxiety https://t.co/UdsRylW2NA,VeronikaVash,"Sarajevo, Bosnia&Herzegovina",2,0,2,0,Deputy Representative @unicefbih. #childrights #children . Mum of Sophie. Tweeting my own views.,1394,"['ForEveryChild', 'Protection', 'Kazakhstan', 'COVID19']",foreverychild protection kazakhstan covid19 i hope many caregivers will seek online support from psychologists to address anxiety,"['foreverychild', 'protection', 'kazakhstan', 'covid19', 'i', 'hope', 'many', 'caregivers', 'will', 'seek', 'online', 'support', 'from', 'psychologists', 'to', 'address', 'anxiety']","['foreverychild', 'protection', 'kazakhstan', 'covid19', 'hope', 'many', 'caregivers', 'seek', 'online', 'support', 'psychologists', 'address', 'anxiety']","['foreverychild', 'protect', 'kazakhstan', 'covid19', 'hope', 'mani', 'caregiv', 'seek', 'onlin', 'support', 'psychologist', 'address', 'anxieti']","['foreverychild', 'protection', 'kazakhstan', 'covid19', 'hope', 'many', 'caregivers', 'seek', 'online', 'support', 'psychologists', 'address', 'anxiety']",1,Kazakhstan
2020-03-06 00:32:31+00:00,1235724907742404609,"WHO team in Kazakhstan with the support of the Ministry of Health and Public Health Center, international organizations conducted a simulation exercise to optimize the preparedness and response to COVID-19. https://t.co/mRFjTNYRnp",TasnimAtatrah,,11,0,3,0,"WHO Representative and Head of Office, @WHO Kingdom of Bahrain 🇧🇭 Passionate about improving Global Health & Wellbeing; promoting universal & indivisible SDGs",710,,who team in kazakhstan with the support of the ministry of health and public health center international organizations conducted a simulation exercise to optimize the preparedness and response to covid19,"['who', 'team', 'in', 'kazakhstan', 'with', 'the', 'support', 'of', 'the', 'ministry', 'of', 'health', 'and', 'public', 'health', 'center', 'international', 'organizations', 'conducted', 'a', 'simulation', 'exercise', 'to', 'optimize', 'the', 'preparedness', 'and', 'response', 'to', 'covid19']","['team', 'kazakhstan', 'support', 'ministry', 'health', 'public', 'health', 'center', 'international', 'organizations', 'conducted', 'simulation', 'exercise', 'optimize', 'preparedness', 'response', 'covid19']","['team', 'kazakhstan', 'support', 'ministri', 'health', 'public', 'health', 'center', 'intern', 'organ', 'conduct', 'simul', 'exercis', 'optim', 'prepared', 'respons', 'covid19']","['team', 'kazakhstan', 'support', 'ministry', 'health', 'public', 'health', 'center', 'international', 'organizations', 'conducted', 'simulation', 'exercise', 'optimize', 'preparedness', 'response', 'covid19']",4,Kazakhstan
2020-03-06 00:32:31+00:00,1235724907742404609,"WHO team in Kazakhstan with the support of the Ministry of Health and Public Health Center, international organizations conducted a simulation exercise to optimize the preparedness and response to COVID-19. https://t.co/mRFjTNYRnp",TasnimAtatrah,,11,0,3,0,"WHO Representative and Head of Office, @WHO Kingdom of Bahrain 🇧🇭 Passionate about improving Global Health & Wellbeing; promoting universal & indivisible SDGs",710,,who team in kazakhstan with the support of the ministry of health and public health center international organizations conducted a simulation exercise to optimize the preparedness and response to covid19,"['who', 'team', 'in', 'kazakhstan', 'with', 'the', 'support', 'of', 'the', 'ministry', 'of', 'health', 'and', 'public', 'health', 'center', 'international', 'organizations', 'conducted', 'a', 'simulation', 'exercise', 'to', 'optimize', 'the', 'preparedness', 'and', 'response', 'to', 'covid19']","['team', 'kazakhstan', 'support', 'ministry', 'health', 'public', 'health', 'center', 'international', 'organizations', 'conducted', 'simulation', 'exercise', 'optimize', 'preparedness', 'response', 'covid19']","['team', 'kazakhstan', 'support', 'ministri', 'health', 'public', 'health', 'center', 'intern', 'organ', 'conduct', 'simul', 'exercis', 'optim', 'prepared', 'respons', 'covid19']","['team', 'kazakhstan', 'support', 'ministry', 'health', 'public', 'health', 'center', 'international', 'organizations', 'conducted', 'simulation', 'exercise', 'optimize', 'preparedness', 'response', 'covid19']",4,Kazakhstan
2020-05-04 06:45:33+00:00,1257199669555462145,During #COVIDー19  #Covid19UK yes but it should be a step to a different future #aftermath a future where streets are reclaimed for people - need to gather the evidence to support #activemovement and all the benefits #health #wellbeing for us and the planet https://t.co/64YLM6rFwP,riccardomar,"Glasgow, Scotland",2,0,0,0,"Love life, love people and worry about the kind of places we create . founder of marini urbanismo. These are my personal views.......",1927,"['COVIDー19', 'Covid19UK', 'aftermath', 'activemovement', 'health', 'wellbeing']",during covid19 covid19uk yes but it should be a step to a different future aftermath a future where streets are reclaimed for people need to gather the evidence to support activemovement and all the benefits health wellbeing for us and the planet,"['during', 'covid19', 'covid19uk', 'yes', 'but', 'it', 'should', 'be', 'a', 'step', 'to', 'a', 'different', 'future', 'aftermath', 'a', 'future', 'where', 'streets', 'are', 'reclaimed', 'for', 'people', 'need', 'to', 'gather', 'the', 'evidence', 'to', 'support', 'activemovement', 'and', 'all', 'the', 'benefits', 'health', 'wellbeing', 'for', 'us', 'and', 'the', 'planet']","['covid19', 'covid19uk', 'yes', 'step', 'different', 'future', 'aftermath', 'future', 'streets', 'reclaimed', 'people', 'need', 'gather', 'evidence', 'support', 'activemovement', 'benefits', 'health', 'wellbeing', 'us', 'planet']","['covid19', 'covid19uk', 'ye', 'step', 'differ', 'futur', 'aftermath', 'futur', 'street', 'reclaim', 'peopl', 'need', 'gather', 'evid', 'support', 'activemov', 'benefit', 'health', 'wellb', 'us', 'planet']","['covid19', 'covid19uk', 'yes', 'step', 'different', 'future', 'aftermath', 'future', 'streets', 'reclaimed', 'people', 'need', 'gather', 'evidence', 'support', 'activemovement', 'benefits', 'health', 'wellbeing', 'us', 'planet']",3,Kazakhstan
2021-01-14 01:08:57+00:00,1349523867493130242,"Support structures. There were networks of people willing to trust each other, swapping banned books and music and planning protests. That sense of community, especially the comfort of music and literature, helped sustain them
#ParshaChat",balalaichnitsa,Kazakhstan,7,0,2,0,Historian and fiction writer | living with #OCD & #bipolar | Academic in transit | Tweets #EarlyModern #HistSTM #GlobalHistory #MentalHealth | she/her,1970,['ParshaChat'],support structures there were networks of people willing to trust each other swapping banned books and music and planning protests that sense of community especially the comfort of music and literature helped sustain them parshachat,"['support', 'structures', 'there', 'were', 'networks', 'of', 'people', 'willing', 'to', 'trust', 'each', 'other', 'swapping', 'banned', 'books', 'and', 'music', 'and', 'planning', 'protests', 'that', 'sense', 'of', 'community', 'especially', 'the', 'comfort', 'of', 'music', 'and', 'literature', 'helped', 'sustain', 'them', 'parshachat']","['support', 'structures', 'networks', 'people', 'willing', 'trust', 'swapping', 'banned', 'books', 'music', 'planning', 'protests', 'sense', 'community', 'especially', 'comfort', 'music', 'literature', 'helped', 'sustain', 'parshachat']","['support', 'structur', 'network', 'peopl', 'will', 'trust', 'swap', 'ban', 'book', 'music', 'plan', 'protest', 'sens', 'commun', 'especi', 'comfort', 'music', 'literatur', 'help', 'sustain', 'parshachat']","['support', 'structures', 'networks', 'people', 'willing', 'trust', 'swapping', 'banned', 'books', 'music', 'planning', 'protests', 'sense', 'community', 'especially', 'comfort', 'music', 'literature', 'helped', 'sustain', 'parshachat']",5,Kazakhstan
