Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 12:09:08+00:00,1534145432363859971,"My item is sold! 💜 Ooohhh, today I have a day off and I had a surprise. @soulthesea_ bought one of editions of “Candy”. Thank you so much dear for your support. I appreciate it a lot. ❤️

Still available 18/20 editions 

https://t.co/G3PLJqhFDL https://t.co/3hDAxRHC38",mashettina,"Sicilia, Italia",8,3,3,0,"🇺🇦🇮🇹 Ukrainian | self-taught, #NFT 1/1 artist | based in Cefalù, Italy | inspired by love, passion and infinity human beauty 🫀",8744,,my item is sold ooohhh today i have a day off and i had a surprise bought one of editions of candy thank you so much dear for your support i appreciate it a lot still available 1820 editions,"['my', 'item', 'is', 'sold', 'ooohhh', 'today', 'i', 'have', 'a', 'day', 'off', 'and', 'i', 'had', 'a', 'surprise', 'bought', 'one', 'of', 'editions', 'of', 'candy', 'thank', 'you', 'so', 'much', 'dear', 'for', 'your', 'support', 'i', 'appreciate', 'it', 'a', 'lot', 'still', 'available', '1820', 'editions']","['item', 'sold', 'ooohhh', 'today', 'day', 'surprise', 'bought', 'one', 'editions', 'candy', 'thank', 'much', 'dear', 'support', 'appreciate', 'lot', 'still', 'available', '1820', 'editions']","['item', 'sold', 'ooohhh', 'today', 'day', 'surpris', 'bought', 'one', 'edit', 'candi', 'thank', 'much', 'dear', 'support', 'appreci', 'lot', 'still', 'avail', '1820', 'edit']","['item', 'sold', 'ooohhh', 'today', 'day', 'surprise', 'bought', 'one', 'editions', 'candy', 'thank', 'much', 'dear', 'support', 'appreciate', 'lot', 'still', 'available', '1820', 'editions']",5,Malta
2022-06-07 07:15:02+00:00,1534071419805618178,#Ghana Health Service preaches caution and prevention as #Covid19 cases soar - https://t.co/D9v8MycCve https://t.co/YWpUlgowEj,ADFmagazine,Africa,1,0,0,0,"Africa Defense Forum (ADF) magazine is a security affairs journal that focuses on all issues affecting peace, stability, and good governance in Africa.",23925,"['Ghana', 'Covid19']",ghana health service preaches caution and prevention as covid19 cases soar,"['ghana', 'health', 'service', 'preaches', 'caution', 'and', 'prevention', 'as', 'covid19', 'cases', 'soar']","['ghana', 'health', 'service', 'preaches', 'caution', 'prevention', 'covid19', 'cases', 'soar']","['ghana', 'health', 'servic', 'preach', 'caution', 'prevent', 'covid19', 'case', 'soar']","['ghana', 'health', 'service', 'preaches', 'caution', 'prevention', 'covid19', 'cases', 'soar']",5,Malta
2022-06-06 11:00:01+00:00,1533765650166034435,"According to @WHO, the #COVID19 pandemic triggered a 25% increase in prevalence of #anxiety and #depression worldwide and Africa was no exception. Our governments need to step up #MentalHealth support efforts, especially among the vulnerable groups. #ItsUpToUs #AfricaHealthCheck",COVIDHQAfrica,Africa ,2,0,1,0,"Latest on COVID-19 in Africa—statistics, prevention guidelines, & response efforts. An initiative of @MastercardFdn in collaboration with the Zain Verjee Group",580,"['COVID19', 'anxiety', 'depression', 'MentalHealth', 'ItsUpToUs', 'AfricaHealthCheck']",according to the covid19 pandemic triggered a 25 increase in prevalence of anxiety and depression worldwide and africa was no exception our governments need to step up mentalhealth support efforts especially among the vulnerable groups itsuptous africahealthcheck,"['according', 'to', 'the', 'covid19', 'pandemic', 'triggered', 'a', '25', 'increase', 'in', 'prevalence', 'of', 'anxiety', 'and', 'depression', 'worldwide', 'and', 'africa', 'was', 'no', 'exception', 'our', 'governments', 'need', 'to', 'step', 'up', 'mentalhealth', 'support', 'efforts', 'especially', 'among', 'the', 'vulnerable', 'groups', 'itsuptous', 'africahealthcheck']","['according', 'covid19', 'pandemic', 'triggered', '25', 'increase', 'prevalence', 'anxiety', 'depression', 'worldwide', 'africa', 'exception', 'governments', 'need', 'step', 'mentalhealth', 'support', 'efforts', 'especially', 'among', 'vulnerable', 'groups', 'itsuptous', 'africahealthcheck']","['accord', 'covid19', 'pandem', 'trigger', '25', 'increas', 'preval', 'anxieti', 'depress', 'worldwid', 'africa', 'except', 'govern', 'need', 'step', 'mentalhealth', 'support', 'effort', 'especi', 'among', 'vulner', 'group', 'itsupt', 'africahealthcheck']","['according', 'covid19', 'pandemic', 'triggered', '25', 'increase', 'prevalence', 'anxiety', 'depression', 'worldwide', 'africa', 'exception', 'governments', 'need', 'step', 'mentalhealth', 'support', 'efforts', 'especially', 'among', 'vulnerable', 'groups', 'itsuptous', 'africahealthcheck']",1,Malta
2022-06-02 14:55:28+00:00,1532375351682277376,"#UPDATE “EAC economic growth averaged 5.9% in 2021, compared to an average of 2.3% in 2020. The growth was supported by increased removal of #COVID19 related restrictions, public investments &amp; strong performance in the productive sectors,"" Maina added.

#EACBudgetSpeech https://t.co/vx5YJEwni3",AfricaTembelea,Africa,0,0,1,0,,1206,"['UPDATE', 'COVID19', 'EACBudgetSpeech']",update eac economic growth averaged 59 in 2021 compared to an average of 23 in 2020 the growth was supported by increased removal of covid19 related restrictions public investments amp strong performance in the productive sectors maina added eacbudgetspeech,"['update', 'eac', 'economic', 'growth', 'averaged', '59', 'in', '2021', 'compared', 'to', 'an', 'average', 'of', '23', 'in', '2020', 'the', 'growth', 'was', 'supported', 'by', 'increased', 'removal', 'of', 'covid19', 'related', 'restrictions', 'public', 'investments', 'amp', 'strong', 'performance', 'in', 'the', 'productive', 'sectors', 'maina', 'added', 'eacbudgetspeech']","['update', 'eac', 'economic', 'growth', 'averaged', '59', '2021', 'compared', 'average', '23', '2020', 'growth', 'supported', 'increased', 'removal', 'covid19', 'related', 'restrictions', 'public', 'investments', 'amp', 'strong', 'performance', 'productive', 'sectors', 'maina', 'added', 'eacbudgetspeech']","['updat', 'eac', 'econom', 'growth', 'averag', '59', '2021', 'compar', 'averag', '23', '2020', 'growth', 'support', 'increas', 'remov', 'covid19', 'relat', 'restrict', 'public', 'invest', 'amp', 'strong', 'perform', 'product', 'sector', 'maina', 'ad', 'eacbudgetspeech']","['update', 'eac', 'economic', 'growth', 'averaged', '59', '2021', 'compared', 'average', '23', '2020', 'growth', 'supported', 'increased', 'removal', 'covid19', 'related', 'restrictions', 'public', 'investments', 'amp', 'strong', 'performance', 'productive', 'sectors', 'maina', 'added', 'eacbudgetspeech']",3,Malta
2022-06-07 06:09:29+00:00,1534054922295156737,#WajackoyahThe5th on the ballot spells doom for Ruto. Ruto ran a campaign targeting the youth who either knew little about Raila or simply didn't care. It is from this very group that wajackoyah draws support from .,FabrizioMajan,Africa,1,0,0,0,hata wale walipiga kura mara TATU sai wanaona MBILI MBILI!!!,67,['WajackoyahThe5th'],wajackoyahthe5th on the ballot spells doom for ruto ruto ran a campaign targeting the youth who either knew little about raila or simply didnt care it is from this very group that wajackoyah draws support from,"['wajackoyahthe5th', 'on', 'the', 'ballot', 'spells', 'doom', 'for', 'ruto', 'ruto', 'ran', 'a', 'campaign', 'targeting', 'the', 'youth', 'who', 'either', 'knew', 'little', 'about', 'raila', 'or', 'simply', 'didnt', 'care', 'it', 'is', 'from', 'this', 'very', 'group', 'that', 'wajackoyah', 'draws', 'support', 'from']","['wajackoyahthe5th', 'ballot', 'spells', 'doom', 'ruto', 'ruto', 'ran', 'campaign', 'targeting', 'youth', 'either', 'knew', 'little', 'raila', 'simply', 'didnt', 'care', 'group', 'wajackoyah', 'draws', 'support']","['wajackoyahthe5th', 'ballot', 'spell', 'doom', 'ruto', 'ruto', 'ran', 'campaign', 'target', 'youth', 'either', 'knew', 'littl', 'raila', 'simpli', 'didnt', 'care', 'group', 'wajackoyah', 'draw', 'support']","['wajackoyahthe5th', 'ballot', 'spells', 'doom', 'ruto', 'ruto', 'ran', 'campaign', 'targeting', 'youth', 'either', 'knew', 'little', 'raila', 'simply', 'didnt', 'care', 'group', 'wajackoyah', 'draws', 'support']",5,Malta
2022-06-04 13:35:09+00:00,1533079913456099328,"Crisis Action is on the lookout for a Campaign and Research Assistant (Internship). The intern will support the development, delivery, and evaluation of Crisis Action's international campaigns to protect civilians in conflicts.

#AfricansRising
#Rise4OurLives",AfricansRising,Africa,24,1,13,0,"A continent-wide movement building a Pan-African solidarity of purpose.

Pledge your support for the #KilimanjaroDeclaration bit.ly/ARMembership",12977,"['AfricansRising', 'Rise4OurLives']",crisis action is on the lookout for a campaign and research assistant internship the intern will support the development delivery and evaluation of crisis actions international campaigns to protect civilians in conflicts africansrising rise4ourlives,"['crisis', 'action', 'is', 'on', 'the', 'lookout', 'for', 'a', 'campaign', 'and', 'research', 'assistant', 'internship', 'the', 'intern', 'will', 'support', 'the', 'development', 'delivery', 'and', 'evaluation', 'of', 'crisis', 'actions', 'international', 'campaigns', 'to', 'protect', 'civilians', 'in', 'conflicts', 'africansrising', 'rise4ourlives']","['crisis', 'action', 'lookout', 'campaign', 'research', 'assistant', 'internship', 'intern', 'support', 'development', 'delivery', 'evaluation', 'crisis', 'actions', 'international', 'campaigns', 'protect', 'civilians', 'conflicts', 'africansrising', 'rise4ourlives']","['crisi', 'action', 'lookout', 'campaign', 'research', 'assist', 'internship', 'intern', 'support', 'develop', 'deliveri', 'evalu', 'crisi', 'action', 'intern', 'campaign', 'protect', 'civilian', 'conflict', 'africansris', 'rise4ourl']","['crisis', 'action', 'lookout', 'campaign', 'research', 'assistant', 'internship', 'intern', 'support', 'development', 'delivery', 'evaluation', 'crisis', 'actions', 'international', 'campaigns', 'protect', 'civilians', 'conflicts', 'africansrising', 'rise4ourlives']",4,Malta
2022-06-01 15:49:17+00:00,1532026506075152385,"Don't miss this interview with sis Lucia! 😍 She's living proof of the power of #GirlsEducation to change EVERYTHING... 🏫✨

Big thanks to @meccabeauty for supporting the fearless women of today AND tomorrow through MECCA M-Power. #TogetherWeCan! ♀️ https://t.co/mUoyZw4SGl",Camfed,Africa,23,0,7,0,"We catalyze the power of the most vulnerable girls and young women to create the future they imagine — for themselves, for their communities, and for Africa.",180278,"['GirlsEducation', 'TogetherWeCan']",dont miss this interview with sis lucia shes living proof of the power of girlseducation to change everything big thanks to for supporting the fearless women of today and tomorrow through mecca mpower togetherwecan,"['dont', 'miss', 'this', 'interview', 'with', 'sis', 'lucia', 'shes', 'living', 'proof', 'of', 'the', 'power', 'of', 'girlseducation', 'to', 'change', 'everything', 'big', 'thanks', 'to', 'for', 'supporting', 'the', 'fearless', 'women', 'of', 'today', 'and', 'tomorrow', 'through', 'mecca', 'mpower', 'togetherwecan']","['dont', 'miss', 'interview', 'sis', 'lucia', 'shes', 'living', 'proof', 'power', 'girlseducation', 'change', 'everything', 'big', 'thanks', 'supporting', 'fearless', 'women', 'today', 'tomorrow', 'mecca', 'mpower', 'togetherwecan']","['dont', 'miss', 'interview', 'si', 'lucia', 'she', 'live', 'proof', 'power', 'girlseduc', 'chang', 'everyth', 'big', 'thank', 'support', 'fearless', 'women', 'today', 'tomorrow', 'mecca', 'mpower', 'togetherwecan']","['dont', 'miss', 'interview', 'sis', 'lucia', 'shes', 'living', 'proof', 'power', 'girlseducation', 'change', 'everything', 'big', 'thanks', 'supporting', 'fearless', 'women', 'today', 'tomorrow', 'mecca', 'mpower', 'togetherwecan']",5,Malta
2022-06-07 07:15:02+00:00,1534071419805618178,#Ghana Health Service preaches caution and prevention as #Covid19 cases soar - https://t.co/D9v8MycCve https://t.co/YWpUlgowEj,ADFmagazine,Africa,1,0,0,0,"Africa Defense Forum (ADF) magazine is a security affairs journal that focuses on all issues affecting peace, stability, and good governance in Africa.",23925,"['Ghana', 'Covid19']",ghana health service preaches caution and prevention as covid19 cases soar,"['ghana', 'health', 'service', 'preaches', 'caution', 'and', 'prevention', 'as', 'covid19', 'cases', 'soar']","['ghana', 'health', 'service', 'preaches', 'caution', 'prevention', 'covid19', 'cases', 'soar']","['ghana', 'health', 'servic', 'preach', 'caution', 'prevent', 'covid19', 'case', 'soar']","['ghana', 'health', 'service', 'preaches', 'caution', 'prevention', 'covid19', 'cases', 'soar']",5,Malta
2022-06-06 13:13:18+00:00,1533799191717285893,Ghana Health Service preaches vaccination as Covid-19 cases soars https://t.co/j6P3jmbe3Q #clickongh https://t.co/xNF9deALJy,Clickongh,Africa,0,0,0,0,"Official account for clickongh.com
•Log on for realtime updates on News, Entertainment, Music and more
• Facebook: fb.com/iclickongh #clickongh",239,['clickongh'],ghana health service preaches vaccination as covid19 cases soars clickongh,"['ghana', 'health', 'service', 'preaches', 'vaccination', 'as', 'covid19', 'cases', 'soars', 'clickongh']","['ghana', 'health', 'service', 'preaches', 'vaccination', 'covid19', 'cases', 'soars', 'clickongh']","['ghana', 'health', 'servic', 'preach', 'vaccin', 'covid19', 'case', 'soar', 'clickongh']","['ghana', 'health', 'service', 'preaches', 'vaccination', 'covid19', 'cases', 'soars', 'clickongh']",1,Malta
2022-06-06 11:19:42+00:00,1533770602410033154,Ghana Health Service preaches vaccination as Covid-19 cases soars https://t.co/LWHjnhKTuI,Clickongh,Africa,0,0,0,0,"Official account for clickongh.com
•Log on for realtime updates on News, Entertainment, Music and more
• Facebook: fb.com/iclickongh #clickongh",239,,ghana health service preaches vaccination as covid19 casessoars,"['ghana', 'health', 'service', 'preaches', 'vaccination', 'as', 'covid19', 'casessoars']","['ghana', 'health', 'service', 'preaches', 'vaccination', 'covid19', 'casessoars']","['ghana', 'health', 'servic', 'preach', 'vaccin', 'covid19', 'casessoar']","['ghana', 'health', 'service', 'preaches', 'vaccination', 'covid19', 'casessoars']",4,Malta
