Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 14:28:24+00:00,1534180477778657284,Thanks to all my twitter friends (you guys) who support me and like and retweet and comment because I swear my brain makes me feel like I’m nothing and I appreciate the reminders that people do care 🥹,jbretty1,canada,6,3,4,0,,106,,thanks to all my twitter friends you guys who support me and like and retweet and comment because i swear my brain makes me feel like im nothing and i appreciate the reminders that people do care,"['thanks', 'to', 'all', 'my', 'twitter', 'friends', 'you', 'guys', 'who', 'support', 'me', 'and', 'like', 'and', 'retweet', 'and', 'comment', 'because', 'i', 'swear', 'my', 'brain', 'makes', 'me', 'feel', 'like', 'im', 'nothing', 'and', 'i', 'appreciate', 'the', 'reminders', 'that', 'people', 'do', 'care']","['thanks', 'twitter', 'friends', 'guys', 'support', 'like', 'retweet', 'comment', 'swear', 'brain', 'makes', 'feel', 'like', 'im', 'nothing', 'appreciate', 'reminders', 'people', 'care']","['thank', 'twitter', 'friend', 'guy', 'support', 'like', 'retweet', 'comment', 'swear', 'brain', 'make', 'feel', 'like', 'im', 'noth', 'appreci', 'remind', 'peopl', 'care']","['thanks', 'twitter', 'friends', 'guys', 'support', 'like', 'retweet', 'comment', 'swear', 'brain', 'makes', 'feel', 'like', 'im', 'nothing', 'appreciate', 'reminders', 'people', 'care']",5,Mexico
2022-06-07 13:02:07+00:00,1534158764634415104,"#GOCAGM Sponsor Spotlight: A special thank you to 
@AstraZenecaCA and @MerckCanada for their continued commitment to women's health and GOC's mission to improve the care of women with or at risk of gynecologic cancer.

We appreciate your continued support!

#gyneoncology https://t.co/uHPrJNOV8S",Gyne_Oncology,Canada,1,0,0,0,"Official Twitter account of GOC, an organization of health care professionals specializing in gynecologic oncology.

The voice of Gyne Oncology in Canada!",1870,"['GOCAGM', 'gyneoncology']",gocagm sponsor spotlight a special thank you to and for their continued commitment to womens health and gocs mission to improve the care of women with or at risk of gynecologic cancer we appreciate your continued support gyneoncology,"['gocagm', 'sponsor', 'spotlight', 'a', 'special', 'thank', 'you', 'to', 'and', 'for', 'their', 'continued', 'commitment', 'to', 'womens', 'health', 'and', 'gocs', 'mission', 'to', 'improve', 'the', 'care', 'of', 'women', 'with', 'or', 'at', 'risk', 'of', 'gynecologic', 'cancer', 'we', 'appreciate', 'your', 'continued', 'support', 'gyneoncology']","['gocagm', 'sponsor', 'spotlight', 'special', 'thank', 'continued', 'commitment', 'womens', 'health', 'gocs', 'mission', 'improve', 'care', 'women', 'risk', 'gynecologic', 'cancer', 'appreciate', 'continued', 'support', 'gyneoncology']","['gocagm', 'sponsor', 'spotlight', 'special', 'thank', 'continu', 'commit', 'women', 'health', 'goc', 'mission', 'improv', 'care', 'women', 'risk', 'gynecolog', 'cancer', 'appreci', 'continu', 'support', 'gyneoncolog']","['gocagm', 'sponsor', 'spotlight', 'special', 'thank', 'continued', 'commitment', 'womens', 'health', 'gocs', 'mission', 'improve', 'care', 'women', 'risk', 'gynecologic', 'cancer', 'appreciate', 'continued', 'support', 'gyneoncology']",5,Mexico
2022-06-07 02:34:20+00:00,1534000777399881730,Damn! That was a lot of custard to collect! Thank you so much for coming to my re-debut stream. I love and appreciate your support that you've show me. Goodnight and take care of yourselves! &lt;3 https://t.co/qR0gnhxDl5,DaRealChubzy,Canada,3,0,0,0,Hello I am Chubzy. Nice to meet you :3 | Bunny VTuber | They/Them | Bisexual | Canadian | B-day: 03/15 | Discord: Chubzy#1668 | PFP by: @Nasawater_,363,,damn that was a lot of custard to collect thank you so much for coming to my redebut stream i love and appreciate your support that youve show me goodnight and take care of yourselves lt3,"['damn', 'that', 'was', 'a', 'lot', 'of', 'custard', 'to', 'collect', 'thank', 'you', 'so', 'much', 'for', 'coming', 'to', 'my', 'redebut', 'stream', 'i', 'love', 'and', 'appreciate', 'your', 'support', 'that', 'youve', 'show', 'me', 'goodnight', 'and', 'take', 'care', 'of', 'yourselves', 'lt3']","['damn', 'lot', 'custard', 'collect', 'thank', 'much', 'coming', 'redebut', 'stream', 'love', 'appreciate', 'support', 'youve', 'show', 'goodnight', 'take', 'care', 'lt3']","['damn', 'lot', 'custard', 'collect', 'thank', 'much', 'come', 'redebut', 'stream', 'love', 'appreci', 'support', 'youv', 'show', 'goodnight', 'take', 'care', 'lt3']","['damn', 'lot', 'custard', 'collect', 'thank', 'much', 'coming', 'redebut', 'stream', 'love', 'appreciate', 'support', 'youve', 'show', 'goodnight', 'take', 'care', 'lt3']",5,Mexico
2022-06-06 18:48:06+00:00,1533883448334639109,Not everyone is going to believe in you until they SEE you win/consistently winning. Meanwhile those that support you always come from a  genuine healthy place. Remember to appreciate them. Don't put so much energy in proving folk wrong. Prove those right who wish you the best.,jarardkenneth,"San Antonio, Texas",5,0,0,0,Lover & Fighter,650,,not everyone is going to believe in you until they see you winconsistently winning meanwhile those that support you always come from a genuine healthy place remember to appreciate them dont put so much energy in proving folk wrong prove those right who wish you the best,"['not', 'everyone', 'is', 'going', 'to', 'believe', 'in', 'you', 'until', 'they', 'see', 'you', 'winconsistently', 'winning', 'meanwhile', 'those', 'that', 'support', 'you', 'always', 'come', 'from', 'a', 'genuine', 'healthy', 'place', 'remember', 'to', 'appreciate', 'them', 'dont', 'put', 'so', 'much', 'energy', 'in', 'proving', 'folk', 'wrong', 'prove', 'those', 'right', 'who', 'wish', 'you', 'the', 'best']","['everyone', 'going', 'believe', 'see', 'winconsistently', 'winning', 'meanwhile', 'support', 'always', 'come', 'genuine', 'healthy', 'place', 'remember', 'appreciate', 'dont', 'put', 'much', 'energy', 'proving', 'folk', 'wrong', 'prove', 'right', 'wish', 'best']","['everyon', 'go', 'believ', 'see', 'winconsist', 'win', 'meanwhil', 'support', 'alway', 'come', 'genuin', 'healthi', 'place', 'rememb', 'appreci', 'dont', 'put', 'much', 'energi', 'prove', 'folk', 'wrong', 'prove', 'right', 'wish', 'best']","['everyone', 'going', 'believe', 'see', 'winconsistently', 'winning', 'meanwhile', 'support', 'always', 'come', 'genuine', 'healthy', 'place', 'remember', 'appreciate', 'dont', 'put', 'much', 'energy', 'proving', 'folk', 'wrong', 'prove', 'right', 'wish', 'best']",2,Mexico
2022-06-06 13:01:03+00:00,1533796107905540098,"#GOCAGM Sponsor Spotlight: A special thank you to Eisai Canada for your continued commitment to women's health and GOC's mission to improve the care of women with or at risk of gynecologic cancer.

We appreciate your continued support!

#gyneoncology https://t.co/dz7MIseCJW",Gyne_Oncology,Canada,0,0,0,0,"Official Twitter account of GOC, an organization of health care professionals specializing in gynecologic oncology.

The voice of Gyne Oncology in Canada!",1870,"['GOCAGM', 'gyneoncology']",gocagm sponsor spotlight a special thank you to eisai canada for your continued commitment to womens health and gocs mission to improve the care of women with or at risk of gynecologic cancer we appreciate your continued support gyneoncology,"['gocagm', 'sponsor', 'spotlight', 'a', 'special', 'thank', 'you', 'to', 'eisai', 'canada', 'for', 'your', 'continued', 'commitment', 'to', 'womens', 'health', 'and', 'gocs', 'mission', 'to', 'improve', 'the', 'care', 'of', 'women', 'with', 'or', 'at', 'risk', 'of', 'gynecologic', 'cancer', 'we', 'appreciate', 'your', 'continued', 'support', 'gyneoncology']","['gocagm', 'sponsor', 'spotlight', 'special', 'thank', 'eisai', 'canada', 'continued', 'commitment', 'womens', 'health', 'gocs', 'mission', 'improve', 'care', 'women', 'risk', 'gynecologic', 'cancer', 'appreciate', 'continued', 'support', 'gyneoncology']","['gocagm', 'sponsor', 'spotlight', 'special', 'thank', 'eisai', 'canada', 'continu', 'commit', 'women', 'health', 'goc', 'mission', 'improv', 'care', 'women', 'risk', 'gynecolog', 'cancer', 'appreci', 'continu', 'support', 'gyneoncolog']","['gocagm', 'sponsor', 'spotlight', 'special', 'thank', 'eisai', 'canada', 'continued', 'commitment', 'womens', 'health', 'gocs', 'mission', 'improve', 'care', 'women', 'risk', 'gynecologic', 'cancer', 'appreciate', 'continued', 'support', 'gyneoncology']",5,Mexico
2022-06-06 04:53:54+00:00,1533673513445474304,Appreciate your support &amp; Repping PassDatApparel ™️ #hip #hop #historian https://t.co/HdZNpNaj1L,battle_derek,"San Antonio, TX",1,0,2,0,"210’s TvFilm Sync Songwriter Ftd On NBCs Superstore S2Ep12 also On ABC’s Ten Days In The Valley Episode 9 CWNetworks Charmed S2Ep16 Drng’s C4L,Still Here",138,"['hip', 'hop', 'historian']",appreciate your support amp repping passdatapparel hip hop historian,"['appreciate', 'your', 'support', 'amp', 'repping', 'passdatapparel', 'hip', 'hop', 'historian']","['appreciate', 'support', 'amp', 'repping', 'passdatapparel', 'hip', 'hop', 'historian']","['appreci', 'support', 'amp', 'rep', 'passdatapparel', 'hip', 'hop', 'historian']","['appreciate', 'support', 'amp', 'repping', 'passdatapparel', 'hip', 'hop', 'historian']",4,Mexico
2022-06-06 00:00:25+00:00,1533599656118104064,"@zaralily_ Yo, Zara you are very poggers and are lovely and deserve people who care for and appreciate you because you are a kind soul and a great person. I hope you have a lovely day and hope you have even MORE ppl like this in the future that support you,we care homie https://t.co/cSlSdxNnEq",warrior_x9,Canada,1,1,0,0,"twitch.tv/warriorswhey - Twitch Affiliate
discord.gg/UKSK7Hh - My Discord
@warrio2GRUG - Philosophy account
Business - DM me :)",433,,yo zara you are very poggers and are lovely and deserve people who care for and appreciate you because you are a kind soul and a great person i hope you have a lovely day and hope you have even more ppl like this in the future that support youwe care homie,"['yo', 'zara', 'you', 'are', 'very', 'poggers', 'and', 'are', 'lovely', 'and', 'deserve', 'people', 'who', 'care', 'for', 'and', 'appreciate', 'you', 'because', 'you', 'are', 'a', 'kind', 'soul', 'and', 'a', 'great', 'person', 'i', 'hope', 'you', 'have', 'a', 'lovely', 'day', 'and', 'hope', 'you', 'have', 'even', 'more', 'ppl', 'like', 'this', 'in', 'the', 'future', 'that', 'support', 'youwe', 'care', 'homie']","['yo', 'zara', 'poggers', 'lovely', 'deserve', 'people', 'care', 'appreciate', 'kind', 'soul', 'great', 'person', 'hope', 'lovely', 'day', 'hope', 'even', 'ppl', 'like', 'future', 'support', 'youwe', 'care', 'homie']","['yo', 'zara', 'pogger', 'love', 'deserv', 'peopl', 'care', 'appreci', 'kind', 'soul', 'great', 'person', 'hope', 'love', 'day', 'hope', 'even', 'ppl', 'like', 'futur', 'support', 'youw', 'care', 'homi']","['yo', 'zara', 'poggers', 'lovely', 'deserve', 'people', 'care', 'appreciate', 'kind', 'soul', 'great', 'person', 'hope', 'lovely', 'day', 'hope', 'even', 'ppl', 'like', 'future', 'support', 'youwe', 'care', 'homie']",5,Mexico
2022-06-05 15:12:54+00:00,1533466902051205120,Congratulations @cwimgather organizers for a hugely successful conference! We appreciate all of your efforts and partnership with #EIM2022! Your support and empowerment of #womeninmedicine is affecting positive culture change in medicine #cwimconference2022 https://t.co/DJHoTybycs,EquityinMed,Canada,18,0,5,1,"Canadian healthcare leaders growing a community of support to advance equity, diversity and inclusion in medicine. #EDI live chats! equityinmed@gmail.com",1803,"['EIM2022', 'womeninmedicine', 'cwimconference2022']",congratulations organizers for a hugely successful conference we appreciate all of your efforts and partnership with eim2022 your support and empowerment of womeninmedicine is affecting positive culture change in medicine cwimconference2022,"['congratulations', 'organizers', 'for', 'a', 'hugely', 'successful', 'conference', 'we', 'appreciate', 'all', 'of', 'your', 'efforts', 'and', 'partnership', 'with', 'eim2022', 'your', 'support', 'and', 'empowerment', 'of', 'womeninmedicine', 'is', 'affecting', 'positive', 'culture', 'change', 'in', 'medicine', 'cwimconference2022']","['congratulations', 'organizers', 'hugely', 'successful', 'conference', 'appreciate', 'efforts', 'partnership', 'eim2022', 'support', 'empowerment', 'womeninmedicine', 'affecting', 'positive', 'culture', 'change', 'medicine', 'cwimconference2022']","['congratul', 'organ', 'huge', 'success', 'confer', 'appreci', 'effort', 'partnership', 'eim2022', 'support', 'empower', 'womeninmedicin', 'affect', 'posit', 'cultur', 'chang', 'medicin', 'cwimconference2022']","['congratulations', 'organizers', 'hugely', 'successful', 'conference', 'appreciate', 'efforts', 'partnership', 'eim2022', 'support', 'empowerment', 'womeninmedicine', 'affecting', 'positive', 'culture', 'change', 'medicine', 'cwimconference2022']",5,Mexico
2022-06-03 11:00:05+00:00,1532678502431989760,@ParkListKris Thank you! It definitely is not easy but mental health affects so many people and is really not talked about enough. I appreciate the support ❤️,AlexGoesCoco,Canada,0,0,0,0,"Traveling, Tasting, Touring. Sharing Travel Tips on YouTube. Mom of two redheads. Lover of all things #Disney #StarWars #HarryPotter",697,,thank you it definitely is not easy but mental health affects so many people and is really not talked about enough i appreciate the support,"['thank', 'you', 'it', 'definitely', 'is', 'not', 'easy', 'but', 'mental', 'health', 'affects', 'so', 'many', 'people', 'and', 'is', 'really', 'not', 'talked', 'about', 'enough', 'i', 'appreciate', 'the', 'support']","['thank', 'definitely', 'easy', 'mental', 'health', 'affects', 'many', 'people', 'really', 'talked', 'enough', 'appreciate', 'support']","['thank', 'definit', 'easi', 'mental', 'health', 'affect', 'mani', 'peopl', 'realli', 'talk', 'enough', 'appreci', 'support']","['thank', 'definitely', 'easy', 'mental', 'health', 'affects', 'many', 'people', 'really', 'talked', 'enough', 'appreciate', 'support']",3,Mexico
2022-06-02 16:01:51+00:00,1532392054910767107,So happy to learn Manchester UK(and the world)  will be enjoying my new track Twisted Chemistry on Hive Hot Drivetime Show (Weekdays 4 to 6pm) on Hive Radio UK @hiveradiouk 🐝 Please tune in and feel free to contact them to request it. Really appreciate all the UK support :) https://t.co/Q3ZCpEEJKy,MikalynMusic,Canada,29,3,14,0,"20 year old Singer-Songwriter | Canada

Patreon patreon.com/mikalyn

NEW RELEASE Ready to Love You bit.ly/ReadyToLoveYou

Virtual Tip Jar: bit.ly/MikalynTipjar",9525,,so happy to learn manchester ukand the world will be enjoying my new track twisted chemistry on hive hot drivetime show weekdays 4 to 6pm on hive radio uk please tune in and feel free to contact them to request it really appreciate all the uk support,"['so', 'happy', 'to', 'learn', 'manchester', 'ukand', 'the', 'world', 'will', 'be', 'enjoying', 'my', 'new', 'track', 'twisted', 'chemistry', 'on', 'hive', 'hot', 'drivetime', 'show', 'weekdays', '4', 'to', '6pm', 'on', 'hive', 'radio', 'uk', 'please', 'tune', 'in', 'and', 'feel', 'free', 'to', 'contact', 'them', 'to', 'request', 'it', 'really', 'appreciate', 'all', 'the', 'uk', 'support']","['happy', 'learn', 'manchester', 'ukand', 'world', 'enjoying', 'new', 'track', 'twisted', 'chemistry', 'hive', 'hot', 'drivetime', 'show', 'weekdays', '4', '6pm', 'hive', 'radio', 'uk', 'please', 'tune', 'feel', 'free', 'contact', 'request', 'really', 'appreciate', 'uk', 'support']","['happi', 'learn', 'manchest', 'ukand', 'world', 'enjoy', 'new', 'track', 'twist', 'chemistri', 'hive', 'hot', 'drivetim', 'show', 'weekday', '4', '6pm', 'hive', 'radio', 'uk', 'pleas', 'tune', 'feel', 'free', 'contact', 'request', 'realli', 'appreci', 'uk', 'support']","['happy', 'learn', 'manchester', 'ukand', 'world', 'enjoying', 'new', 'track', 'twisted', 'chemistry', 'hive', 'hot', 'drivetime', 'show', 'weekdays', '4', '6pm', 'hive', 'radio', 'uk', 'please', 'tune', 'feel', 'free', 'contact', 'request', 'really', 'appreciate', 'uk', 'support']",5,Mexico
