Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-08-06 09:30:25+00:00,1423577190105505795,"While we truly appreciate the funding  from @Nf_folkehelsen for dementia/#Alzheimers research, I also donate to nasjonalforeningen annually to support the running of this private foundation. Thanks to all the patrons for our anti-Alzheimer’s and healthy longevity research. https://t.co/nRJ6xf6x3m",TheFangGroupUiO,"Oslo, Norway",5,0,0,0,A research group located in The University of Oslo on healthy aging and Alzheimer’s disease. Coordinating NO-Age and NO-AD networks,2652,['Alzheimers'],while we truly appreciate the funding from for dementiaalzheimers research i also donate to nasjonalforeningen annually to support the running of this private foundation thanks to all the patrons for our antialzheimers and healthy longevity research,"['while', 'we', 'truly', 'appreciate', 'the', 'funding', 'from', 'for', 'dementiaalzheimers', 'research', 'i', 'also', 'donate', 'to', 'nasjonalforeningen', 'annually', 'to', 'support', 'the', 'running', 'of', 'this', 'private', 'foundation', 'thanks', 'to', 'all', 'the', 'patrons', 'for', 'our', 'antialzheimers', 'and', 'healthy', 'longevity', 'research']","['truly', 'appreciate', 'funding', 'dementiaalzheimers', 'research', 'also', 'donate', 'nasjonalforeningen', 'annually', 'support', 'running', 'private', 'foundation', 'thanks', 'patrons', 'antialzheimers', 'healthy', 'longevity', 'research']","['truli', 'appreci', 'fund', 'dementiaalzheim', 'research', 'also', 'donat', 'nasjonalforeningen', 'annual', 'support', 'run', 'privat', 'foundat', 'thank', 'patron', 'antialzheim', 'healthi', 'longev', 'research']","['truly', 'appreciate', 'funding', 'dementiaalzheimers', 'research', 'also', 'donate', 'nasjonalforeningen', 'annually', 'support', 'running', 'private', 'foundation', 'thanks', 'patrons', 'antialzheimers', 'healthy', 'longevity', 'research']",4,Norway
2020-11-23 18:01:05+00:00,1330934408778543106,"On behalf of my maternal family, I would like to show our gratitude to all of you whom show us love, call and checking on us on this difficult period. Thank you for all your condolences 💐 and support. ❤️ we appreciate you all!❤️ take care! #SSOT",missykuol,"Oslo, Norge ",5,0,2,0,"🇸🇸|🇳🇴 A person of strong character is like gold, rare but invaluable✨➡️ PR and Strategic Communication📚 Personal view. #SSOT📍 NO DM🚫",6365,['SSOT'],on behalf of my maternal family i would like to show our gratitude to all of you whom show us love call and checking on us on this difficult period thank you for all your condolences and support we appreciate you all take care ssot,"['on', 'behalf', 'of', 'my', 'maternal', 'family', 'i', 'would', 'like', 'to', 'show', 'our', 'gratitude', 'to', 'all', 'of', 'you', 'whom', 'show', 'us', 'love', 'call', 'and', 'checking', 'on', 'us', 'on', 'this', 'difficult', 'period', 'thank', 'you', 'for', 'all', 'your', 'condolences', 'and', 'support', 'we', 'appreciate', 'you', 'all', 'take', 'care', 'ssot']","['behalf', 'maternal', 'family', 'would', 'like', 'show', 'gratitude', 'show', 'us', 'love', 'call', 'checking', 'us', 'difficult', 'period', 'thank', 'condolences', 'support', 'appreciate', 'take', 'care', 'ssot']","['behalf', 'matern', 'famili', 'would', 'like', 'show', 'gratitud', 'show', 'us', 'love', 'call', 'check', 'us', 'difficult', 'period', 'thank', 'condol', 'support', 'appreci', 'take', 'care', 'ssot']","['behalf', 'maternal', 'family', 'would', 'like', 'show', 'gratitude', 'show', 'us', 'love', 'call', 'checking', 'us', 'difficult', 'period', 'thank', 'condolences', 'support', 'appreciate', 'take', 'care', 'ssot']",5,Norway
2020-04-02 20:42:05+00:00,1245813778391937030,@Sostraveluk We need to appreciate these health workers they're under a lot of stress across the globe. Together will win this war lets also support them by staying at home,Gary161718,"Sandefjord, Norge 🇧🇻",1,1,0,0,"Telling the African story to the rest of the world 🌎
 
#DiscoverZimbabwe",7348,,we need to appreciate these health workers theyre under a lot of stress across the globe together will win this war lets also support them by staying at home,"['we', 'need', 'to', 'appreciate', 'these', 'health', 'workers', 'theyre', 'under', 'a', 'lot', 'of', 'stress', 'across', 'the', 'globe', 'together', 'will', 'win', 'this', 'war', 'lets', 'also', 'support', 'them', 'by', 'staying', 'at', 'home']","['need', 'appreciate', 'health', 'workers', 'theyre', 'lot', 'stress', 'across', 'globe', 'together', 'win', 'war', 'lets', 'also', 'support', 'staying', 'home']","['need', 'appreci', 'health', 'worker', 'theyr', 'lot', 'stress', 'across', 'globe', 'togeth', 'win', 'war', 'let', 'also', 'support', 'stay', 'home']","['need', 'appreciate', 'health', 'workers', 'theyre', 'lot', 'stress', 'across', 'globe', 'together', 'win', 'war', 'lets', 'also', 'support', 'staying', 'home']",5,Norway
2020-02-09 00:11:40+00:00,1226297577076875264,@ArtbyWendyKlein We wish you a healthy recovery and appreciate your support. Focus on getting well my friend.,DavidSandum,"Moss, Norway",1,0,0,0,Artist in Norway • Personal photographs & artwork • Mental health • Author • Founder of @twitrartexhibit YNWA,119568,,we wish you a healthy recovery and appreciate your support focus on getting well my friend,"['we', 'wish', 'you', 'a', 'healthy', 'recovery', 'and', 'appreciate', 'your', 'support', 'focus', 'on', 'getting', 'well', 'my', 'friend']","['wish', 'healthy', 'recovery', 'appreciate', 'support', 'focus', 'getting', 'well', 'friend']","['wish', 'healthi', 'recoveri', 'appreci', 'support', 'focu', 'get', 'well', 'friend']","['wish', 'healthy', 'recovery', 'appreciate', 'support', 'focus', 'getting', 'well', 'friend']",5,Norway
2020-04-07 11:02:31+00:00,1247479865047220224,🇿🇼 Health workers appreciation post. We can support our health workers by staying at home 🇿🇼 citizens. https://t.co/i5RRmBR55Q,Gary161718,"Sandefjord, Norge 🇧🇻",1,0,1,0,"Telling the African story to the rest of the world 🌎
 
#DiscoverZimbabwe",7348,,health workers appreciation post we can support our health workers by staying at home citizens,"['health', 'workers', 'appreciation', 'post', 'we', 'can', 'support', 'our', 'health', 'workers', 'by', 'staying', 'at', 'home', 'citizens']","['health', 'workers', 'appreciation', 'post', 'support', 'health', 'workers', 'staying', 'home', 'citizens']","['health', 'worker', 'appreci', 'post', 'support', 'health', 'worker', 'stay', 'home', 'citizen']","['health', 'workers', 'appreciation', 'post', 'support', 'health', 'workers', 'staying', 'home', 'citizens']",4,Norway
2020-04-02 11:26:34+00:00,1245673976996773890,"🇿🇼 Nurses appreciation POST.. 
We can support them by staying at home #covid19🇿🇼lockdown https://t.co/hy54jOG5Qa",Gary161718,"Sandefjord, Norge 🇧🇻",0,0,0,0,"Telling the African story to the rest of the world 🌎
 
#DiscoverZimbabwe",7348,['covid19'],nurses appreciation post we can support them by staying at home covid19lockdown,"['nurses', 'appreciation', 'post', 'we', 'can', 'support', 'them', 'by', 'staying', 'at', 'home', 'covid19lockdown']","['nurses', 'appreciation', 'post', 'support', 'staying', 'home', 'covid19lockdown']","['nurs', 'appreci', 'post', 'support', 'stay', 'home', 'covid19lockdown']","['nurses', 'appreciation', 'post', 'support', 'staying', 'home', 'covid19lockdown']",4,Norway
2020-04-02 09:23:49+00:00,1245643087948349444,"Zimbabwe nurses appreciation post..
Let's support our health workers by staying at home 🇿🇼 citizens https://t.co/SLDHOJePfa",Gary161718,"Sandefjord, Norge 🇧🇻",20,0,3,1,"Telling the African story to the rest of the world 🌎
 
#DiscoverZimbabwe",7348,,zimbabwe nurses appreciation post lets support our health workers by staying at home citizens,"['zimbabwe', 'nurses', 'appreciation', 'post', 'lets', 'support', 'our', 'health', 'workers', 'by', 'staying', 'at', 'home', 'citizens']","['zimbabwe', 'nurses', 'appreciation', 'post', 'lets', 'support', 'health', 'workers', 'staying', 'home', 'citizens']","['zimbabw', 'nurs', 'appreci', 'post', 'let', 'support', 'health', 'worker', 'stay', 'home', 'citizen']","['zimbabwe', 'nurses', 'appreciation', 'post', 'lets', 'support', 'health', 'workers', 'staying', 'home', 'citizens']",5,Norway
2022-06-02 17:28:02+00:00,1532413745204453383,"@HelenClarkNZ visiting Norad, discussing the importance of @EITIorg's work connected to mining of critical minerals in an energy transition context, and the dramatic pushback on health services due to #COVID19 ++ @bardvegar @HFogstad @intols @LarsGronseth @anettebwig @ZainabNmy https://t.co/EAb8LDp2iq",noradno,"Oslo, Norway",7,0,1,0,The Norwegian Agency for Development Cooperation/ Norad er en statlig kunnskapsetat som jobber for en grønnere framtid i en bærekraftig verden uten fattigdom🌍,19832,['COVID19'],visiting norad discussing the importance of work connected to mining of critical minerals in an energy transition context and the dramatic pushback on health services due to covid19,"['visiting', 'norad', 'discussing', 'the', 'importance', 'of', 'work', 'connected', 'to', 'mining', 'of', 'critical', 'minerals', 'in', 'an', 'energy', 'transition', 'context', 'and', 'the', 'dramatic', 'pushback', 'on', 'health', 'services', 'due', 'to', 'covid19']","['visiting', 'norad', 'discussing', 'importance', 'work', 'connected', 'mining', 'critical', 'minerals', 'energy', 'transition', 'context', 'dramatic', 'pushback', 'health', 'services', 'due', 'covid19']","['visit', 'norad', 'discuss', 'import', 'work', 'connect', 'mine', 'critic', 'miner', 'energi', 'transit', 'context', 'dramat', 'pushback', 'health', 'servic', 'due', 'covid19']","['visiting', 'norad', 'discussing', 'importance', 'work', 'connected', 'mining', 'critical', 'minerals', 'energy', 'transition', 'context', 'dramatic', 'pushback', 'health', 'services', 'due', 'covid19']",4,Norway
2022-06-01 17:04:47+00:00,1532045506087632896,"Insightful discussions w/@HelenClarkNZ on dramatic pushback on health services due to #COVID19 + @PMNCHs quest to build back better. Also stressed the need to include adolescents and youth in #SRHR 
@bardvegar @HFogstad @intols @LarsGronseth @anettebwig @ZainabNmy https://t.co/MfGUfPaHRf",bardvegar,,23,0,8,1,Director General of NORAD. Working for Sustainable Development🌍 Former MP+ Min. of Education- and Environment. Author of four Non-fiction books. Chess-player,51485,"['COVID19', 'SRHR']",insightful discussions w on dramatic pushback on health services due to covid19 quest to build back better also stressed the need to include adolescents and youth in srhr,"['insightful', 'discussions', 'w', 'on', 'dramatic', 'pushback', 'on', 'health', 'services', 'due', 'to', 'covid19', 'quest', 'to', 'build', 'back', 'better', 'also', 'stressed', 'the', 'need', 'to', 'include', 'adolescents', 'and', 'youth', 'in', 'srhr']","['insightful', 'discussions', 'w', 'dramatic', 'pushback', 'health', 'services', 'due', 'covid19', 'quest', 'build', 'back', 'better', 'also', 'stressed', 'need', 'include', 'adolescents', 'youth', 'srhr']","['insight', 'discuss', 'w', 'dramat', 'pushback', 'health', 'servic', 'due', 'covid19', 'quest', 'build', 'back', 'better', 'also', 'stress', 'need', 'includ', 'adolesc', 'youth', 'srhr']","['insightful', 'discussions', 'w', 'dramatic', 'pushback', 'health', 'services', 'due', 'covid19', 'quest', 'build', 'back', 'better', 'also', 'stressed', 'need', 'include', 'adolescents', 'youth', 'srhr']",4,Norway
2020-11-06 18:32:24+00:00,1324781697494405120,Day 6 #Museum30.#COVID19 is having severe effects on the #heritage #sector and #society as a whole! I am here to #support anyone in need! We share our #support for #museumworkers across the 🌎! https://t.co/cUMBTU4vzm,EdqvistP,"Oslo, Norway",1,1,0,0,"Archaeological Conservator @kulturhistorisk, #SocialSustainability Co-Director @KiCulture_, #Ethics. Formerly @PetrieMuseEgypt. Views are my own.",1012,"['Museum30', 'COVID19', 'heritage', 'sector', 'society', 'support', 'support', 'museumworkers']",day 6 museum30covid19 is having severe effects on the heritage sector and society as a whole i am here to support anyone in need we share our support for museumworkers across the,"['day', '6', 'museum30covid19', 'is', 'having', 'severe', 'effects', 'on', 'the', 'heritage', 'sector', 'and', 'society', 'as', 'a', 'whole', 'i', 'am', 'here', 'to', 'support', 'anyone', 'in', 'need', 'we', 'share', 'our', 'support', 'for', 'museumworkers', 'across', 'the']","['day', '6', 'museum30covid19', 'severe', 'effects', 'heritage', 'sector', 'society', 'whole', 'support', 'anyone', 'need', 'share', 'support', 'museumworkers', 'across']","['day', '6', 'museum30covid19', 'sever', 'effect', 'heritag', 'sector', 'societi', 'whole', 'support', 'anyon', 'need', 'share', 'support', 'museumwork', 'across']","['day', '6', 'museum30covid19', 'severe', 'effects', 'heritage', 'sector', 'society', 'whole', 'support', 'anyone', 'need', 'share', 'support', 'museumworkers', 'across']",5,Norway
