Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 03:40:02+00:00,1.5322053746772337e+18,"@GFrespechman @MTGOP Apparently, you do. Thanks for increasing our stats! We appreciate your support!",MTValues,Montana,0.0,1.0,0.0,0.0,MVP highlights the issues facing our great State & lets YOU decide if those issues truly embrace the Treasure State values we hold dear.,667.0,,apparently you do thanks for increasing our stats we appreciate your support,"['apparently', 'you', 'do', 'thanks', 'for', 'increasing', 'our', 'stats', 'we', 'appreciate', 'your', 'support']","['apparently', 'thanks', 'increasing', 'stats', 'appreciate', 'support']","['appar', 'thank', 'increas', 'stat', 'appreci', 'support']","['apparently', 'thanks', 'increasing', 'stats', 'appreciate', 'support']",4,Serbia
2022-06-01 11:19:39+00:00,1.531958650989711e+18,"@jane_sfo @MTGOP @SuptArntzen @MontanaOPI Thank you, Jane. We truly appreciate your kind words &amp; your support of the show. We realize we may not always agree on everything, but we don't have to be disagreeable! Robust debate/discussion is healthy &amp; it can be done the Montana way, with a little humor &amp; civility.",MTValues,Montana,4.0,0.0,1.0,0.0,MVP highlights the issues facing our great State & lets YOU decide if those issues truly embrace the Treasure State values we hold dear.,667.0,,thank you jane we truly appreciate your kind words amp your support of the show we realize we may not always agree on everything but we dont have to be disagreeable robust debatediscussion is healthy amp it can be done the montana way with a little humor amp civility,"['thank', 'you', 'jane', 'we', 'truly', 'appreciate', 'your', 'kind', 'words', 'amp', 'your', 'support', 'of', 'the', 'show', 'we', 'realize', 'we', 'may', 'not', 'always', 'agree', 'on', 'everything', 'but', 'we', 'dont', 'have', 'to', 'be', 'disagreeable', 'robust', 'debatediscussion', 'is', 'healthy', 'amp', 'it', 'can', 'be', 'done', 'the', 'montana', 'way', 'with', 'a', 'little', 'humor', 'amp', 'civility']","['thank', 'jane', 'truly', 'appreciate', 'kind', 'words', 'amp', 'support', 'show', 'realize', 'may', 'always', 'agree', 'everything', 'dont', 'disagreeable', 'robust', 'debatediscussion', 'healthy', 'amp', 'done', 'montana', 'way', 'little', 'humor', 'amp', 'civility']","['thank', 'jane', 'truli', 'appreci', 'kind', 'word', 'amp', 'support', 'show', 'realiz', 'may', 'alway', 'agre', 'everyth', 'dont', 'disagre', 'robust', 'debatediscuss', 'healthi', 'amp', 'done', 'montana', 'way', 'littl', 'humor', 'amp', 'civil']","['thank', 'jane', 'truly', 'appreciate', 'kind', 'words', 'amp', 'support', 'show', 'realize', 'may', 'always', 'agree', 'everything', 'dont', 'disagreeable', 'robust', 'debatediscussion', 'healthy', 'amp', 'done', 'montana', 'way', 'little', 'humor', 'amp', 'civility']",5,Serbia
2020-09-16 08:58:57+00:00,1.306155602591322e+18,"#AllTogether

The #UnitedStates 🇺🇸 is proud to continue our long-term support to #Montenegro’s 🇲🇪 health system during the #COVID19 pandemic.

@USAmbMNE visited #Berane to donate medical equipment funded by @US_EUCOM’s Humanitarian Assistance program.

#USpartnerMNE https://t.co/6rHBAYQoa9",USEmbassyMNE,Podgorica; Montenegro,23.0,2.0,4.0,1.0,U.S. Embassy Podgorica official Twitter account. Moderation policy: goo.gl/QSi9VP,7592.0,"['AllTogether', 'UnitedStates', 'Montenegro', 'COVID19', 'Berane', 'USpartnerMNE']",alltogether the unitedstates is proud to continue our longterm support to montenegros health system during the covid19 pandemic visited berane to donate medical equipment funded by humanitarian assistance program uspartnermne,"['alltogether', 'the', 'unitedstates', 'is', 'proud', 'to', 'continue', 'our', 'longterm', 'support', 'to', 'montenegros', 'health', 'system', 'during', 'the', 'covid19', 'pandemic', 'visited', 'berane', 'to', 'donate', 'medical', 'equipment', 'funded', 'by', 'humanitarian', 'assistance', 'program', 'uspartnermne']","['alltogether', 'unitedstates', 'proud', 'continue', 'longterm', 'support', 'montenegros', 'health', 'system', 'covid19', 'pandemic', 'visited', 'berane', 'donate', 'medical', 'equipment', 'funded', 'humanitarian', 'assistance', 'program', 'uspartnermne']","['alltogeth', 'unitedst', 'proud', 'continu', 'longterm', 'support', 'montenegro', 'health', 'system', 'covid19', 'pandem', 'visit', 'beran', 'donat', 'medic', 'equip', 'fund', 'humanitarian', 'assist', 'program', 'uspartnermn']","['alltogether', 'unitedstates', 'proud', 'continue', 'longterm', 'support', 'montenegros', 'health', 'system', 'covid19', 'pandemic', 'visited', 'berane', 'donate', 'medical', 'equipment', 'funded', 'humanitarian', 'assistance', 'program', 'uspartnermne']",5,Serbia
2020-06-26 17:20:57+00:00,1.2765661290671432e+18,#KFOR Commander General Michele Risi was received by #Kosovo Health Minister @ArmendZemaj who thanked the @NATO led mission for supporting response to #Covid19. Both recommended the respect of preventive measures. https://t.co/ykh5XW3PQt,NATO_KFOR,Pristina,94.0,0.0,30.0,0.0,"Kosovo Force (KFOR) is NATO-led peacekeeping mission, operating in Kosovo since June 1999 to build peace and stability in the area.",9813.0,"['KFOR', 'Kosovo', 'Covid19']",kfor commander general michele risi was received by kosovo health minister who thanked the led mission for supporting response to covid19 both recommended the respect of preventive measures,"['kfor', 'commander', 'general', 'michele', 'risi', 'was', 'received', 'by', 'kosovo', 'health', 'minister', 'who', 'thanked', 'the', 'led', 'mission', 'for', 'supporting', 'response', 'to', 'covid19', 'both', 'recommended', 'the', 'respect', 'of', 'preventive', 'measures']","['kfor', 'commander', 'general', 'michele', 'risi', 'received', 'kosovo', 'health', 'minister', 'thanked', 'led', 'mission', 'supporting', 'response', 'covid19', 'recommended', 'respect', 'preventive', 'measures']","['kfor', 'command', 'gener', 'michel', 'risi', 'receiv', 'kosovo', 'health', 'minist', 'thank', 'led', 'mission', 'support', 'respons', 'covid19', 'recommend', 'respect', 'prevent', 'measur']","['kfor', 'commander', 'general', 'michele', 'risi', 'received', 'kosovo', 'health', 'minister', 'thanked', 'led', 'mission', 'supporting', 'response', 'covid19', 'recommended', 'respect', 'preventive', 'measures']",4,Serbia
2020-06-19 16:13:55+00:00,1.2740125453309583e+18,"#KFOR delivered personal protective equipment to the Health Center of Peje/Pec. The project in support of the local response to #COVID19 is funded by @NATO and will continue for the next two weeks in 17 cities #Kosovo wide, with the involvement of all KFOR units. https://t.co/WgkHA2RzaS",NATO_KFOR,Pristina,71.0,0.0,23.0,0.0,"Kosovo Force (KFOR) is NATO-led peacekeeping mission, operating in Kosovo since June 1999 to build peace and stability in the area.",9813.0,"['KFOR', 'COVID19', 'Kosovo']",kfor delivered personal protective equipment to the health center of pejepec the project in support of the local response to covid19 is funded by and will continue for the next two weeks in 17 cities kosovo wide with the involvement of all kfor units,"['kfor', 'delivered', 'personal', 'protective', 'equipment', 'to', 'the', 'health', 'center', 'of', 'pejepec', 'the', 'project', 'in', 'support', 'of', 'the', 'local', 'response', 'to', 'covid19', 'is', 'funded', 'by', 'and', 'will', 'continue', 'for', 'the', 'next', 'two', 'weeks', 'in', '17', 'cities', 'kosovo', 'wide', 'with', 'the', 'involvement', 'of', 'all', 'kfor', 'units']","['kfor', 'delivered', 'personal', 'protective', 'equipment', 'health', 'center', 'pejepec', 'project', 'support', 'local', 'response', 'covid19', 'funded', 'continue', 'next', 'two', 'weeks', '17', 'cities', 'kosovo', 'wide', 'involvement', 'kfor', 'units']","['kfor', 'deliv', 'person', 'protect', 'equip', 'health', 'center', 'pejepec', 'project', 'support', 'local', 'respons', 'covid19', 'fund', 'continu', 'next', 'two', 'week', '17', 'citi', 'kosovo', 'wide', 'involv', 'kfor', 'unit']","['kfor', 'delivered', 'personal', 'protective', 'equipment', 'health', 'center', 'pejepec', 'project', 'support', 'local', 'response', 'covid19', 'funded', 'continue', 'next', 'two', 'weeks', '17', 'cities', 'kosovo', 'wide', 'involvement', 'kfor', 'units']",5,Serbia
2020-06-14 12:29:29+00:00,1.272144126230831e+18,HM King #MohammedVI gave his very high instructions for sending medical aid to several brotherly #African #countries. The aid is intended to #support those countries in their efforts to fight the #COVID19 pandemic.#Solidarity @Marocdiplo_EN https://t.co/4Q3jpEyVnz https://t.co/qoxhENQqz0,MoroccoInSerbia,"Belgrade, Republic of Serbia",12.0,0.0,2.0,0.0,Official Twitter account of the Embassy of the Kingdom of Morocco to the Republic of Serbia and to Montenegro. 🇲🇦🇷🇸🇲🇪,3748.0,"['MohammedVI', 'African', 'countries', 'support', 'COVID19', 'Solidarity']",hm king mohammedvi gave his very high instructions for sending medical aid to several brotherly african countries the aid is intended to support those countries in their efforts to fight the covid19 pandemicsolidarity,"['hm', 'king', 'mohammedvi', 'gave', 'his', 'very', 'high', 'instructions', 'for', 'sending', 'medical', 'aid', 'to', 'several', 'brotherly', 'african', 'countries', 'the', 'aid', 'is', 'intended', 'to', 'support', 'those', 'countries', 'in', 'their', 'efforts', 'to', 'fight', 'the', 'covid19', 'pandemicsolidarity']","['hm', 'king', 'mohammedvi', 'gave', 'high', 'instructions', 'sending', 'medical', 'aid', 'several', 'brotherly', 'african', 'countries', 'aid', 'intended', 'support', 'countries', 'efforts', 'fight', 'covid19', 'pandemicsolidarity']","['hm', 'king', 'mohammedvi', 'gave', 'high', 'instruct', 'send', 'medic', 'aid', 'sever', 'brotherli', 'african', 'countri', 'aid', 'intend', 'support', 'countri', 'effort', 'fight', 'covid19', 'pandemicsolidar']","['hm', 'king', 'mohammedvi', 'gave', 'high', 'instructions', 'sending', 'medical', 'aid', 'several', 'brotherly', 'african', 'countries', 'aid', 'intended', 'support', 'countries', 'efforts', 'fight', 'covid19', 'pandemicsolidarity']",4,Serbia
2020-04-17 08:47:34+00:00,1.2510697819036385e+18,"#unicefkosovoprogramme in support of #Kosovo alwaysss 💙
Fight #COVID19  by protecting Health workers 💙🙏💙 https://t.co/wRkGZOIhsr",teutapozhegu,Kosovo,2.0,0.0,1.0,0.0,A blessed mother of two ♥️ Tiara&Gent💙  Programme Associate for Adolescent Development and Participation at UNICEF Kosovo,397.0,"['unicefkosovoprogramme', 'Kosovo', 'COVID19']",unicefkosovoprogramme in support of kosovo alwaysss fight covid19 by protecting health workers,"['unicefkosovoprogramme', 'in', 'support', 'of', 'kosovo', 'alwaysss', 'fight', 'covid19', 'by', 'protecting', 'health', 'workers']","['unicefkosovoprogramme', 'support', 'kosovo', 'alwaysss', 'fight', 'covid19', 'protecting', 'health', 'workers']","['unicefkosovoprogramm', 'support', 'kosovo', 'alwaysss', 'fight', 'covid19', 'protect', 'health', 'worker']","['unicefkosovoprogramme', 'support', 'kosovo', 'alwaysss', 'fight', 'covid19', 'protecting', 'health', 'workers']",5,Serbia
2020-04-07 14:46:12+00:00,1.2475361545612206e+18,"This #WorldHealthDay remember that #Spain’s #women #HCW test ➕ 4 #COVID19 #Covid_19 #Covidー19 2️⃣✖️more than #men, so #SupportNursesAndMidwives 4 we share this burden, 2.

#ACCWIC #ACCCVT #WIM #WIC

@Hragy @ErinMichos @arwmd @DrLaPrincess @hect2701 @noshreza @keaglemd @hvanspall https://t.co/zRiob8CZuo",biljana_parapid,"Here, There and Everywhere. :)",4.0,0.0,1.0,0.0,👩‍⚕️🎓👠=Busy🐝 #CardioObstetrics #ABCardio4Moms #ACCWIC #WIC #TheFaceOfCardiology #EquityBasedMeritocracy #DrNKWbelgradeWHC #ESCCongress #CRT2022 #NisiSama,4914.0,"['WorldHealthDay', 'Spain', 'women', 'HCW', 'COVID19', 'Covid_19', 'Covidー19', 'men', 'SupportNursesAndMidwives', 'ACCWIC', 'ACCCVT', 'WIM', 'WIC']",this worldhealthday remember that spains women hcw test 4 covid19 covid19 covid19 more than men so supportnursesandmidwives 4 we share this burden 2 accwic acccvt wim wic,"['this', 'worldhealthday', 'remember', 'that', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'more', 'than', 'men', 'so', 'supportnursesandmidwives', '4', 'we', 'share', 'this', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'remember', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidwives', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'rememb', 'spain', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidw', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'remember', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidwives', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']",5,Serbia
2020-04-07 14:40:24+00:00,1.247534695664849e+18,"This #WorldHealthDay remember that #Spain’s #women #HCW test ➕ 4 #COVID19 #Covid_19 #Covidー19 2️⃣✖️more than #men, so #SupportNursesAndMidwives 4 we share this burden, 2.

#ACCWIC #ACCCVT #WIM #WIC

@GatesCathy @KhandelwalMD @HeartOTXHeartMD @ABCardio1 @jackynizard @drbrowncares https://t.co/SC9kL3yyqp",biljana_parapid,"Here, There and Everywhere. :)",8.0,1.0,2.0,0.0,👩‍⚕️🎓👠=Busy🐝 #CardioObstetrics #ABCardio4Moms #ACCWIC #WIC #TheFaceOfCardiology #EquityBasedMeritocracy #DrNKWbelgradeWHC #ESCCongress #CRT2022 #NisiSama,4914.0,"['WorldHealthDay', 'Spain', 'women', 'HCW', 'COVID19', 'Covid_19', 'Covidー19', 'men', 'SupportNursesAndMidwives', 'ACCWIC', 'ACCCVT', 'WIM', 'WIC']",this worldhealthday remember that spains women hcw test 4 covid19 covid19 covid19 more than men so supportnursesandmidwives 4 we share this burden 2 accwic acccvt wim wic,"['this', 'worldhealthday', 'remember', 'that', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'more', 'than', 'men', 'so', 'supportnursesandmidwives', '4', 'we', 'share', 'this', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'remember', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidwives', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'rememb', 'spain', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidw', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'remember', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidwives', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']",5,Serbia
2020-04-07 14:34:56+00:00,1.2475333207343063e+18,"This #WorldHealthDay remember that #Spain’s #women #HCW test ➕ 4 #COVID19 #Covid_19 #Covidー19 2️⃣✖️more than #men, so #SupportNursesAndMidwives 4 we share this burden, 2.

#ACCWIC #ACCCVT #WIM #WIC

@EkateriniL @sbrugaletta @CZacharopoulou @obstatsinc @aubreyjl @ekgpdx @iamritu https://t.co/4p9ygtdTfs",biljana_parapid,"Here, There and Everywhere. :)",7.0,1.0,3.0,0.0,👩‍⚕️🎓👠=Busy🐝 #CardioObstetrics #ABCardio4Moms #ACCWIC #WIC #TheFaceOfCardiology #EquityBasedMeritocracy #DrNKWbelgradeWHC #ESCCongress #CRT2022 #NisiSama,4914.0,"['WorldHealthDay', 'Spain', 'women', 'HCW', 'COVID19', 'Covid_19', 'Covidー19', 'men', 'SupportNursesAndMidwives', 'ACCWIC', 'ACCCVT', 'WIM', 'WIC']",this worldhealthday remember that spains women hcw test 4 covid19 covid19 covid19 more than men so supportnursesandmidwives 4 we share this burden 2 accwic acccvt wim wic,"['this', 'worldhealthday', 'remember', 'that', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'more', 'than', 'men', 'so', 'supportnursesandmidwives', '4', 'we', 'share', 'this', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'remember', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidwives', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'rememb', 'spain', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidw', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']","['worldhealthday', 'remember', 'spains', 'women', 'hcw', 'test', '4', 'covid19', 'covid19', 'covid19', 'men', 'supportnursesandmidwives', '4', 'share', 'burden', '2', 'accwic', 'acccvt', 'wim', 'wic']",5,Serbia
