Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 08:55:49+00:00,1533009617927675904,"I feel very happy and blessed for being your friend and supporter. You are a great role model and a source of joy and inspiration.I wish you health, happiness, success and always being surrounded by love, respect and appreciation. Happy birthday @KeremBursin https://t.co/f9EMHVvH4p",Claire562280831,Türkiye,0,0,1,1,"Greek - Love ❤️ for SCK - Kerem - Hande and people who have self-sarcasm 😊, life is too short for negative thoughts,
smile and laugh a lot 😊",327,,i feel very happy and blessed for being your friend and supporter you are a great role model and a source of joy and inspirationi wish you health happiness success and always being surrounded by love respect and appreciation happy birthday,"['i', 'feel', 'very', 'happy', 'and', 'blessed', 'for', 'being', 'your', 'friend', 'and', 'supporter', 'you', 'are', 'a', 'great', 'role', 'model', 'and', 'a', 'source', 'of', 'joy', 'and', 'inspirationi', 'wish', 'you', 'health', 'happiness', 'success', 'and', 'always', 'being', 'surrounded', 'by', 'love', 'respect', 'and', 'appreciation', 'happy', 'birthday']","['feel', 'happy', 'blessed', 'friend', 'supporter', 'great', 'role', 'model', 'source', 'joy', 'inspirationi', 'wish', 'health', 'happiness', 'success', 'always', 'surrounded', 'love', 'respect', 'appreciation', 'happy', 'birthday']","['feel', 'happi', 'bless', 'friend', 'support', 'great', 'role', 'model', 'sourc', 'joy', 'inspirationi', 'wish', 'health', 'happi', 'success', 'alway', 'surround', 'love', 'respect', 'appreci', 'happi', 'birthday']","['feel', 'happy', 'blessed', 'friend', 'supporter', 'great', 'role', 'model', 'source', 'joy', 'inspirationi', 'wish', 'health', 'happiness', 'success', 'always', 'surrounded', 'love', 'respect', 'appreciation', 'happy', 'birthday']",5,Turkey
2022-05-15 13:53:10+00:00,1525836691365408771,"""#COVID19 is also an opportunity. All crisis also has a winner. In this case, it should be humanity who wins. Countries should remember afterwards what it means to have no access to #health services and their importance,"" https://t.co/awh8umle5u",enes_efendioglu,,42,0,1,0,"@GSBgenclik | MD, PhD (c), MBA 🎓| @ForbesUnder30 Awardee 🏅 | @harvardmed Alumni, @hacettepe1967 Public Health🩺 | Founder @siyamder @youthstationint ✈️|",7026,"['COVID19', 'health']",covid19 is also an opportunity all crisis also has a winner in this case it should be humanity who wins countries should remember afterwards what it means to have no access to health services and their importance,"['covid19', 'is', 'also', 'an', 'opportunity', 'all', 'crisis', 'also', 'has', 'a', 'winner', 'in', 'this', 'case', 'it', 'should', 'be', 'humanity', 'who', 'wins', 'countries', 'should', 'remember', 'afterwards', 'what', 'it', 'means', 'to', 'have', 'no', 'access', 'to', 'health', 'services', 'and', 'their', 'importance']","['covid19', 'also', 'opportunity', 'crisis', 'also', 'winner', 'case', 'humanity', 'wins', 'countries', 'remember', 'afterwards', 'means', 'access', 'health', 'services', 'importance']","['covid19', 'also', 'opportun', 'crisi', 'also', 'winner', 'case', 'human', 'win', 'countri', 'rememb', 'afterward', 'mean', 'access', 'health', 'servic', 'import']","['covid19', 'also', 'opportunity', 'crisis', 'also', 'winner', 'case', 'humanity', 'wins', 'countries', 'remember', 'afterwards', 'means', 'access', 'health', 'services', 'importance']",5,Turkey
2022-06-05 16:52:41+00:00,1533492011340337152,"@possiblydontae @cheruesque @ederthomasxo @backendoc Putting down someone is not support or being ""real"". It's not like obese people don't know they should work on their health,you bullying them only makes it worse for their mental health",fabiawenyyy,Turkey,18,1,0,0,,131,,putting down someone is not support or being real its not like obese people dont know they should work on their healthyou bullying them only makes it worse for their mental health,"['putting', 'down', 'someone', 'is', 'not', 'support', 'or', 'being', 'real', 'its', 'not', 'like', 'obese', 'people', 'dont', 'know', 'they', 'should', 'work', 'on', 'their', 'healthyou', 'bullying', 'them', 'only', 'makes', 'it', 'worse', 'for', 'their', 'mental', 'health']","['putting', 'someone', 'support', 'real', 'like', 'obese', 'people', 'dont', 'know', 'work', 'healthyou', 'bullying', 'makes', 'worse', 'mental', 'health']","['put', 'someon', 'support', 'real', 'like', 'obes', 'peopl', 'dont', 'know', 'work', 'healthyou', 'bulli', 'make', 'wors', 'mental', 'health']","['putting', 'someone', 'support', 'real', 'like', 'obese', 'people', 'dont', 'know', 'work', 'healthyou', 'bullying', 'makes', 'worse', 'mental', 'health']",1,Turkey
2022-06-05 15:35:58+00:00,1533472707588808704,"so many wonderful people always find time for support 
you have work family duties exams health problems or sorrows but find time 
thank you from the depths of my heart that you are with us and give your time which is the most precious thing as love

AdaMasalıbekliyoruz",Lyn_thousand,Türkiye,29,24,27,0,"Когда душа видит сны, она - театр, актёры и аудитория.© 🎹 is life. Searching for & fighting for beauty.💚💙AyçAlp/PoyHaz🌊❤️ AkMurAsDorÖmRüYasDem.🌾Sanditon",3154,,so many wonderful people always find time for support you have work family duties exams health problems or sorrows but find time thank you from the depths of my heart that you are with us and give your time which is the most precious thing as love adamasalbekliyoruz,"['so', 'many', 'wonderful', 'people', 'always', 'find', 'time', 'for', 'support', 'you', 'have', 'work', 'family', 'duties', 'exams', 'health', 'problems', 'or', 'sorrows', 'but', 'find', 'time', 'thank', 'you', 'from', 'the', 'depths', 'of', 'my', 'heart', 'that', 'you', 'are', 'with', 'us', 'and', 'give', 'your', 'time', 'which', 'is', 'the', 'most', 'precious', 'thing', 'as', 'love', 'adamasalbekliyoruz']","['many', 'wonderful', 'people', 'always', 'find', 'time', 'support', 'work', 'family', 'duties', 'exams', 'health', 'problems', 'sorrows', 'find', 'time', 'thank', 'depths', 'heart', 'us', 'give', 'time', 'precious', 'thing', 'love', 'adamasalbekliyoruz']","['mani', 'wonder', 'peopl', 'alway', 'find', 'time', 'support', 'work', 'famili', 'duti', 'exam', 'health', 'problem', 'sorrow', 'find', 'time', 'thank', 'depth', 'heart', 'us', 'give', 'time', 'preciou', 'thing', 'love', 'adamasalbekliyoruz']","['many', 'wonderful', 'people', 'always', 'find', 'time', 'support', 'work', 'family', 'duties', 'exams', 'health', 'problems', 'sorrows', 'find', 'time', 'thank', 'depths', 'heart', 'us', 'give', 'time', 'precious', 'thing', 'love', 'adamasalbekliyoruz']",5,Turkey
2022-06-05 07:22:35+00:00,1533348543590977538,"Today is Turkish Breakfast Day!
Indonesian &amp; Turkish people share a passion for enjoying a tasty Turkish “serpme kahvaltı” breakfast together with friends &amp; health sector 🇹🇷🇮🇩 We thank Akgün Group for providing significant support https://t.co/K0rBBPAokN",askinasan,Trabzon,31,2,8,0,T.C. Cakarta Büyükelçisi/ Turkish Ambassador to Indonesia 🇹🇷🇮🇩,22331,,today is turkish breakfast day indonesian amp turkish people share a passion for enjoying a tasty turkish serpme kahvalt breakfast together with friends amp health sector we thank akgn group for providing significant support,"['today', 'is', 'turkish', 'breakfast', 'day', 'indonesian', 'amp', 'turkish', 'people', 'share', 'a', 'passion', 'for', 'enjoying', 'a', 'tasty', 'turkish', 'serpme', 'kahvalt', 'breakfast', 'together', 'with', 'friends', 'amp', 'health', 'sector', 'we', 'thank', 'akgn', 'group', 'for', 'providing', 'significant', 'support']","['today', 'turkish', 'breakfast', 'day', 'indonesian', 'amp', 'turkish', 'people', 'share', 'passion', 'enjoying', 'tasty', 'turkish', 'serpme', 'kahvalt', 'breakfast', 'together', 'friends', 'amp', 'health', 'sector', 'thank', 'akgn', 'group', 'providing', 'significant', 'support']","['today', 'turkish', 'breakfast', 'day', 'indonesian', 'amp', 'turkish', 'peopl', 'share', 'passion', 'enjoy', 'tasti', 'turkish', 'serpm', 'kahvalt', 'breakfast', 'togeth', 'friend', 'amp', 'health', 'sector', 'thank', 'akgn', 'group', 'provid', 'signific', 'support']","['today', 'turkish', 'breakfast', 'day', 'indonesian', 'amp', 'turkish', 'people', 'share', 'passion', 'enjoying', 'tasty', 'turkish', 'serpme', 'kahvalt', 'breakfast', 'together', 'friends', 'amp', 'health', 'sector', 'thank', 'akgn', 'group', 'providing', 'significant', 'support']",5,Turkey
2022-06-05 06:47:12+00:00,1533339638382723073,"plan to read some of those linked in the original thread...

but this rambling set of tweets from me is all to say: if you have a ridiculous amount of perceived interpersonal victimhood, a lack of empathy, &amp; don't think behavioral health services are valid, you seem beyond help+",yarnieyarnyarn,the best side,0,1,0,0,"stories (#WWDITS || #Bridgerton). a mess of fandoms apparently. #eo. #barisi. #kanthony. not my main. 💗b💜i💙. millennial cailleach. 18+, pls.",265,,plan to read some of those linked in the original thread but this rambling set of tweets from me is all to say if you have a ridiculous amount of perceived interpersonal victimhood a lack of empathy amp dont think behavioral health services are valid you seem beyond help,"['plan', 'to', 'read', 'some', 'of', 'those', 'linked', 'in', 'the', 'original', 'thread', 'but', 'this', 'rambling', 'set', 'of', 'tweets', 'from', 'me', 'is', 'all', 'to', 'say', 'if', 'you', 'have', 'a', 'ridiculous', 'amount', 'of', 'perceived', 'interpersonal', 'victimhood', 'a', 'lack', 'of', 'empathy', 'amp', 'dont', 'think', 'behavioral', 'health', 'services', 'are', 'valid', 'you', 'seem', 'beyond', 'help']","['plan', 'read', 'linked', 'original', 'thread', 'rambling', 'set', 'tweets', 'say', 'ridiculous', 'amount', 'perceived', 'interpersonal', 'victimhood', 'lack', 'empathy', 'amp', 'dont', 'think', 'behavioral', 'health', 'services', 'valid', 'seem', 'beyond', 'help']","['plan', 'read', 'link', 'origin', 'thread', 'rambl', 'set', 'tweet', 'say', 'ridicul', 'amount', 'perceiv', 'interperson', 'victimhood', 'lack', 'empathi', 'amp', 'dont', 'think', 'behavior', 'health', 'servic', 'valid', 'seem', 'beyond', 'help']","['plan', 'read', 'linked', 'original', 'thread', 'rambling', 'set', 'tweets', 'say', 'ridiculous', 'amount', 'perceived', 'interpersonal', 'victimhood', 'lack', 'empathy', 'amp', 'dont', 'think', 'behavioral', 'health', 'services', 'valid', 'seem', 'beyond', 'help']",1,Turkey
2022-06-04 15:48:29+00:00,1533113470937358336,"Thank you for your support &amp; patience while waiting for my Single/Round Loom Knit Planned Pooling pattern &amp; video. Due to health issues with loved ones &amp; myself, it’s taken a bit longer than I’d hoped. Rest assured, it will be all the better because of it. Coming very soon!!! ♥️ https://t.co/aEMrWfrIU8",sbfan4fr,Silk City,0,0,0,0,aka @I_CrazyDaisy,498,,thank you for your support amp patience while waiting for my singleround loom knit planned pooling pattern amp video due to health issues with loved ones amp myself its taken a bit longer than id hoped rest assured it will be all the better because of it coming very soon,"['thank', 'you', 'for', 'your', 'support', 'amp', 'patience', 'while', 'waiting', 'for', 'my', 'singleround', 'loom', 'knit', 'planned', 'pooling', 'pattern', 'amp', 'video', 'due', 'to', 'health', 'issues', 'with', 'loved', 'ones', 'amp', 'myself', 'its', 'taken', 'a', 'bit', 'longer', 'than', 'id', 'hoped', 'rest', 'assured', 'it', 'will', 'be', 'all', 'the', 'better', 'because', 'of', 'it', 'coming', 'very', 'soon']","['thank', 'support', 'amp', 'patience', 'waiting', 'singleround', 'loom', 'knit', 'planned', 'pooling', 'pattern', 'amp', 'video', 'due', 'health', 'issues', 'loved', 'ones', 'amp', 'taken', 'bit', 'longer', 'id', 'hoped', 'rest', 'assured', 'better', 'coming', 'soon']","['thank', 'support', 'amp', 'patienc', 'wait', 'singleround', 'loom', 'knit', 'plan', 'pool', 'pattern', 'amp', 'video', 'due', 'health', 'issu', 'love', 'one', 'amp', 'taken', 'bit', 'longer', 'id', 'hope', 'rest', 'assur', 'better', 'come', 'soon']","['thank', 'support', 'amp', 'patience', 'waiting', 'singleround', 'loom', 'knit', 'planned', 'pooling', 'pattern', 'amp', 'video', 'due', 'health', 'issues', 'loved', 'ones', 'amp', 'taken', 'bit', 'longer', 'id', 'hoped', 'rest', 'assured', 'better', 'coming', 'soon']",4,Turkey
2022-06-04 08:55:49+00:00,1533009617927675904,"I feel very happy and blessed for being your friend and supporter. You are a great role model and a source of joy and inspiration.I wish you health, happiness, success and always being surrounded by love, respect and appreciation. Happy birthday @KeremBursin https://t.co/f9EMHVvH4p",Claire562280831,Türkiye,0,0,1,1,"Greek - Love ❤️ for SCK - Kerem - Hande and people who have self-sarcasm 😊, life is too short for negative thoughts,
smile and laugh a lot 😊",327,,i feel very happy and blessed for being your friend and supporter you are a great role model and a source of joy and inspirationi wish you health happiness success and always being surrounded by love respect and appreciation happy birthday,"['i', 'feel', 'very', 'happy', 'and', 'blessed', 'for', 'being', 'your', 'friend', 'and', 'supporter', 'you', 'are', 'a', 'great', 'role', 'model', 'and', 'a', 'source', 'of', 'joy', 'and', 'inspirationi', 'wish', 'you', 'health', 'happiness', 'success', 'and', 'always', 'being', 'surrounded', 'by', 'love', 'respect', 'and', 'appreciation', 'happy', 'birthday']","['feel', 'happy', 'blessed', 'friend', 'supporter', 'great', 'role', 'model', 'source', 'joy', 'inspirationi', 'wish', 'health', 'happiness', 'success', 'always', 'surrounded', 'love', 'respect', 'appreciation', 'happy', 'birthday']","['feel', 'happi', 'bless', 'friend', 'support', 'great', 'role', 'model', 'sourc', 'joy', 'inspirationi', 'wish', 'health', 'happi', 'success', 'alway', 'surround', 'love', 'respect', 'appreci', 'happi', 'birthday']","['feel', 'happy', 'blessed', 'friend', 'supporter', 'great', 'role', 'model', 'source', 'joy', 'inspirationi', 'wish', 'health', 'happiness', 'success', 'always', 'surrounded', 'love', 'respect', 'appreciation', 'happy', 'birthday']",5,Turkey
2022-06-01 12:43:59+00:00,1531979874839187457,"With the support of the Norwegian Red Cross (@rodekorsnorge), Turkish #RedCrescent Hatay Community Center held a board meeting of the health committee as part of the Mother and Child Community-Based Health Project carried out by our Health and Psychosocial Support Program. https://t.co/43cJStWRbw",KizilayTM,Turkey,10,0,2,0,Türk @Kizilay Toplum Merkezleri #BirDokunuşBinHayat | Turkish @redcrescent Community Centers #OneTouchThousandLives| المراكز الاجتماعي للهلال الأحمر التركي #لمس,7686,['RedCrescent'],with the support of the norwegian red cross turkish redcrescent hatay community center held a board meeting of the health committee as part of the mother and child communitybased health project carried out by our health and psychosocial support program,"['with', 'the', 'support', 'of', 'the', 'norwegian', 'red', 'cross', 'turkish', 'redcrescent', 'hatay', 'community', 'center', 'held', 'a', 'board', 'meeting', 'of', 'the', 'health', 'committee', 'as', 'part', 'of', 'the', 'mother', 'and', 'child', 'communitybased', 'health', 'project', 'carried', 'out', 'by', 'our', 'health', 'and', 'psychosocial', 'support', 'program']","['support', 'norwegian', 'red', 'cross', 'turkish', 'redcrescent', 'hatay', 'community', 'center', 'held', 'board', 'meeting', 'health', 'committee', 'part', 'mother', 'child', 'communitybased', 'health', 'project', 'carried', 'health', 'psychosocial', 'support', 'program']","['support', 'norwegian', 'red', 'cross', 'turkish', 'redcresc', 'hatay', 'commun', 'center', 'held', 'board', 'meet', 'health', 'committe', 'part', 'mother', 'child', 'communitybas', 'health', 'project', 'carri', 'health', 'psychosoci', 'support', 'program']","['support', 'norwegian', 'red', 'cross', 'turkish', 'redcrescent', 'hatay', 'community', 'center', 'held', 'board', 'meeting', 'health', 'committee', 'part', 'mother', 'child', 'communitybased', 'health', 'project', 'carried', 'health', 'psychosocial', 'support', 'program']",4,Turkey
2022-05-30 23:09:44+00:00,1531412572758495233,@bl0ckchainspace @TagoChannel What experience does your Tago team have in providing support in mental health and personal spirituality? What is the experience and training of you and your experts on the project?,translator0000,Türkiye,0,1,0,0,Rap dediğin sonsuz bir satırdır,121,,what experience does your tago team have in providing support in mental health and personal spirituality what is the experience and training of you and your experts on the project,"['what', 'experience', 'does', 'your', 'tago', 'team', 'have', 'in', 'providing', 'support', 'in', 'mental', 'health', 'and', 'personal', 'spirituality', 'what', 'is', 'the', 'experience', 'and', 'training', 'of', 'you', 'and', 'your', 'experts', 'on', 'the', 'project']","['experience', 'tago', 'team', 'providing', 'support', 'mental', 'health', 'personal', 'spirituality', 'experience', 'training', 'experts', 'project']","['experi', 'tago', 'team', 'provid', 'support', 'mental', 'health', 'person', 'spiritu', 'experi', 'train', 'expert', 'project']","['experience', 'tago', 'team', 'providing', 'support', 'mental', 'health', 'personal', 'spirituality', 'experience', 'training', 'experts', 'project']",5,Turkey
