,Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Unnamed: 8
0,BUSCHAR,Business characteristic code,"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",default displayed,BUSCHAR_LABEL,0,string,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
1,CBSA,Geography,,not required,,0,(not a predicate),,
2,EMP,Number of employees,"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",not required,EMP_F,0,int,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
3,EMP_PCT,Percent of employees (%),"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",not required,EMP_PCT_F,0,float,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
4,EMP_PCT_S,Standard error of percent of employees (%),"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",not required,EMP_PCT_S_F,0,float,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
5,EMP_S,Relative standard error of number of employees (%),"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",not required,EMP_S_F,0,float,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
6,EMPSZFI,Employment size of firms code,"Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",default displayed,EMPSZFI_LABEL,0,string,AB1800CSCB04,
7,ETH_GROUP,Ethnicity code,"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",default displayed,ETH_GROUP_LABEL,0,string,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
8,FIRMPDEMP,Number of employer firms,"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",not required,FIRMPDEMP_F,0,int,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
9,FIRMPDEMP_PCT,Percent of employer firms (%),"Annual Business Survey: Business Characteristics of Respondent Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Receipts Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018;Annual Business Survey: Employment Size of Firm for Business Characteristics of Respondent Employer Firms by Sex, Ethnicity, Race, and Veteran Status for the U.S.: 2018",not required,FIRMPDEMP_PCT_F,0,float,"AB1800CSCB02,  AB1800CSCB01,  AB1800CSCB04,  AB1800CSCB03",
