,Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Unnamed: 8
0,EMP,Number of employees,"Annual Business Survey: Extent of Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by 2-digit NAICS for the United States and States: 2018",not required,EMP_F,0,int,"AB1800TCB09A,  AB1800TCB08B,  AB1800TCB07A,  AB1800TCB09B,  AB1800TCB08A,  AB1800TCB05A,  AB1800TCB06B,  AB1800TCB06A,  AB1800TCB07B,  AB1800TCB03A,  AB1800TCB04B,  AB1800TCB04A,  AB1800TCB05B,  AB1800TCB01A,  AB1800TCB02B,  AB1800TCB02A,  AB1800TCB03B,  AB1800TCB10A,  AB1800TCB01B,  AB1800TCB10B",
1,EMP_PCT,Percent of employees (%),"Annual Business Survey: Extent of Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by 2-digit NAICS for the United States and States: 2018",not required,EMP_PCT_F,0,float,"AB1800TCB09A,  AB1800TCB08B,  AB1800TCB07A,  AB1800TCB09B,  AB1800TCB08A,  AB1800TCB05A,  AB1800TCB06B,  AB1800TCB06A,  AB1800TCB07B,  AB1800TCB03A,  AB1800TCB04B,  AB1800TCB04A,  AB1800TCB05B,  AB1800TCB01A,  AB1800TCB02B,  AB1800TCB02A,  AB1800TCB03B,  AB1800TCB10A,  AB1800TCB01B,  AB1800TCB10B",
2,EMP_PCT_S,Standard error of percent of employees (%),"Annual Business Survey: Extent of Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by 2-digit NAICS for the United States and States: 2018",not required,EMP_PCT_S_F,0,float,"AB1800TCB09A,  AB1800TCB08B,  AB1800TCB07A,  AB1800TCB09B,  AB1800TCB08A,  AB1800TCB05A,  AB1800TCB06B,  AB1800TCB06A,  AB1800TCB07B,  AB1800TCB03A,  AB1800TCB04B,  AB1800TCB04A,  AB1800TCB05B,  AB1800TCB01A,  AB1800TCB02B,  AB1800TCB02A,  AB1800TCB03B,  AB1800TCB10A,  AB1800TCB01B,  AB1800TCB10B",
3,EMP_S,Relative standard error of number of employees (%),"Annual Business Survey: Extent of Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by 2-digit NAICS for the United States and States: 2018",not required,EMP_S_F,0,float,"AB1800TCB09A,  AB1800TCB08B,  AB1800TCB07A,  AB1800TCB09B,  AB1800TCB08A,  AB1800TCB05A,  AB1800TCB06B,  AB1800TCB06A,  AB1800TCB07B,  AB1800TCB03A,  AB1800TCB04B,  AB1800TCB04A,  AB1800TCB05B,  AB1800TCB01A,  AB1800TCB02B,  AB1800TCB02A,  AB1800TCB03B,  AB1800TCB10A,  AB1800TCB01B,  AB1800TCB10B",
4,ETH_GROUP,Ethnicity code,"Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018",default displayed,ETH_GROUP_LABEL,0,string,"AB1800TCB08B,  AB1800TCB09B,  AB1800TCB06B,  AB1800TCB07B,  AB1800TCB04B,  AB1800TCB05B,  AB1800TCB02B,  AB1800TCB03B,  AB1800TCB01B,  AB1800TCB10B",
5,FACTORS_P,Factors adversely affecting technology production code,"Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018",default displayed,FACTORS_P_LABEL,0,string,"AB1800TCB10A,  AB1800TCB10B",
6,FACTORS_U,Factors adversely affecting technology use code,"Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018",default displayed,FACTORS_U_LABEL,0,string,"AB1800TCB05A,  AB1800TCB05B",
7,FIRMPDEMP,Number of employer firms,"Annual Business Survey: Extent of Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by 2-digit NAICS for the United States and States: 2018",not required,FIRMPDEMP_F,0,int,"AB1800TCB09A,  AB1800TCB08B,  AB1800TCB07A,  AB1800TCB09B,  AB1800TCB08A,  AB1800TCB05A,  AB1800TCB06B,  AB1800TCB06A,  AB1800TCB07B,  AB1800TCB03A,  AB1800TCB04B,  AB1800TCB04A,  AB1800TCB05B,  AB1800TCB01A,  AB1800TCB02B,  AB1800TCB02A,  AB1800TCB03B,  AB1800TCB10A,  AB1800TCB01B,  AB1800TCB10B",
8,FIRMPDEMP_PCT,Percent of employer firms (%),"Annual Business Survey: Extent of Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by 2-digit NAICS for the United States and States: 2018",not required,FIRMPDEMP_PCT_F,0,float,"AB1800TCB09A,  AB1800TCB08B,  AB1800TCB07A,  AB1800TCB09B,  AB1800TCB08A,  AB1800TCB05A,  AB1800TCB06B,  AB1800TCB06A,  AB1800TCB07B,  AB1800TCB03A,  AB1800TCB04B,  AB1800TCB04A,  AB1800TCB05B,  AB1800TCB01A,  AB1800TCB02B,  AB1800TCB02A,  AB1800TCB03B,  AB1800TCB10A,  AB1800TCB01B,  AB1800TCB10B",
9,FIRMPDEMP_PCT_S,Standard error of percent of employer firms (%),"Annual Business Survey: Extent of Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Extent of Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation for Technology Use of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce of Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Use on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Impact of Technology Production on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Use on the Types of Workers in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Factors Adversely Affecting Technology Use in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Technology Production in Employer Firms by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Technology Production in Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer by 2-digit NAICS for the United States and States: 2018;Annual Business Survey: Motivation to Produce Technology of Employer Firms by Sex, Ethnicity, Race, Veteran Status, and Employment Size for the United States: 2018;Annual Business Survey: Impact of Technology Production on the Workforce in Employer Firms by 2-digit NAICS for the United States and States: 2018",not required,FIRMPDEMP_PCT_S_F,0,float,"AB1800TCB09A,  AB1800TCB08B,  AB1800TCB07A,  AB1800TCB09B,  AB1800TCB08A,  AB1800TCB05A,  AB1800TCB06B,  AB1800TCB06A,  AB1800TCB07B,  AB1800TCB03A,  AB1800TCB04B,  AB1800TCB04A,  AB1800TCB05B,  AB1800TCB01A,  AB1800TCB02B,  AB1800TCB02A,  AB1800TCB03B,  AB1800TCB10A,  AB1800TCB01B,  AB1800TCB10B",
