,Measure,DT,LR,SVR,KNN,BAG,RF,ADA,GB
0,1.0,,,,,,,,
1,RMSE,57.11954194944394,42.2157661004262,52.08833107761642,52.02108992891523,44.62956951484392,43.2266854751173,113.28083929239425,42.017575792518436
2,MAPE,6.729271395031008,17.024273023801847,55.10659447130579,62.05673962418329,5.514172562830201,5.091115509583735,234.4420243278654,35.31058604603623
3,MAE,17.853041428571427,13.534810557337071,23.27176442058793,25.554240999999998,13.625245428571427,12.936580214285714,90.03962770596091,14.602975969588076
4,R2Square,0.9565176769656328,0.9762484117541292,0.9638403522251885,0.9639336493931953,0.9734546349897161,0.9750972574890303,0.8289763299074923,0.976470901371751
5,5.0,,,,,,,,
6,RMSE,68.87950613317835,49.86536320347014,55.89921804980723,58.60014081581652,51.17835230310141,49.50139727304701,95.665638387913,49.26283247213308
7,MAPE,15.038600349092738,30.142972798560688,98.67478400409807,61.5470175457946,11.556883333544127,11.256226507763348,280.0361642962402,46.840220796430835
8,MAE,28.42350808333333,24.43459956176379,31.045826161629414,33.305669314285716,21.701617736904765,20.425436232380953,78.51284038534962,24.414702362012758
9,R2Square,0.9456971909468745,0.9715396510811284,0.9642353719808759,0.9606957452412682,0.9700211584984753,0.9719535974820397,0.8952499606575879,0.9722232772053385
10,10.0,,,,,,,,
11,RMSE,72.02892259685692,52.95281654947471,58.455494093481065,60.13380041803704,52.90736554355639,50.99680460488842,70.50329608422173,51.87162220249211
12,MAPE,19.821858928962563,42.774329051258334,86.11848619472678,70.65296120860683,16.490627021677625,15.661460753051028,115.09350584831428,58.11051068392046
13,MAE,33.23730480739692,29.79931552646623,35.741483616812914,36.05555563610387,24.96521159932504,23.23148542100459,51.77989855776551,29.58299767630778
14,R2Square,0.9414312577561191,0.9683458839281278,0.9614252844907507,0.9591784619252375,0.9684001999802604,0.9706412210144894,0.9438860420345544,0.969625319356599
15,15.0,,,,,,,,
16,RMSE,76.820576179735,58.208564744118924,65.55010148237797,63.14409910507627,56.908994805501834,54.86746585829639,84.46486408446886,56.57889949866791
17,MAPE,26.262746071217503,50.25377069003339,120.2696552666845,86.15141691006937,21.36464202054636,19.788578114762373,162.62469729914443,60.6168383288211
18,MAE,37.38499152577452,32.848453245113284,42.560731520681394,38.843750305633776,27.76030748521962,26.123612069867182,66.21998971555658,32.76842812747806
19,R2Square,0.9332161428916488,0.9616566406539774,0.9513746081031214,0.9548786670737873,0.9633496431901508,0.9659320358215987,0.9192637538557803,0.9637735840394801
20,30.0,,,,,,,,
21,RMSE,81.4434827882653,63.52249303493342,76.04015970278819,71.86915823786492,60.66764229041851,59.19119925362228,92.40909205080149,62.180363747983456
22,MAPE,54.787254793393664,98.63525081938913,306.5102140034592,69.64565424068554,53.83310466069403,52.17491091923447,497.23935409253835,124.49465842283848
23,MAE,42.64432693866903,37.41212087886193,54.335022907723484,45.121886995146966,31.658862684999704,29.900134906278456,75.94361346844181,37.08270649967075
24,R2Square,0.9241060913837755,0.9538311226682336,0.9338423170896583,0.9409011048233057,0.957887746647878,0.9599125414503954,0.9022934560246656,0.9557614623862102
