Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2017-12-11,0.5223,,0.5334,,0.4735,,0.4036,,0.4492,,0.5454,,0.5056,,0.4489,,0.5327,,0.4366,,,1366,0.0265,1576,0.0247,2152,0.0211,1153,0.0289,310,0.0557,1804,0.0231,1702,0.0238,2050,0.0216,3234,0.0172,3013,0.0179,us,Facebook,Daily Users
2017-12-18,0.5269,,0.5303,,0.4890,,0.4006,,0.4287,,0.5432,,0.5332,,0.4379,,0.5358,,0.4429,,,2491,0.0196,2825,0.0184,3716,0.0161,1982,0.0220,573,0.0409,3399,0.0168,2954,0.0180,3404,0.0168,5855,0.0128,5160,0.0136,us,Facebook,Daily Users
2017-12-25,0.5255,,0.5610,,0.5577,0.0687,0.4077,,0.4265,,0.5499,,0.5871,0.0539,0.4908,0.0529,0.6010,0.0652,0.4442,,,329,0.0540,327,0.0542,563,0.0413,228,0.0649,85,0.1063,409,0.0485,407,0.0486,479,0.0448,768,0.0354,678,0.0376,us,Facebook,Daily Users
2018-01-01,0.6155,0.0900,0.5531,,0.5246,,0.4918,,0.6105,0.1840,0.5693,,0.5753,,0.4903,,0.6287,,0.4560,,,280,0.0586,355,0.0520,528,0.0426,257,0.0611,73,0.1147,420,0.0478,414,0.0482,451,0.0461,721,0.0365,699,0.0371,us,Facebook,Daily Users
2018-01-08,0.5189,-0.0966,0.6027,,0.4450,-0.0796,0.5441,,0.2979,-0.3126,0.6306,,0.4862,-0.0891,0.4870,,0.6048,,0.4253,,,281,0.0585,332,0.0538,456,0.0459,257,0.0611,81,0.1089,393,0.0494,342,0.0530,448,0.0463,695,0.0372,632,0.0390,us,Facebook,Daily Users
2018-01-15,0.5141,,0.6192,,0.5662,0.1212,0.5271,,0.4112,,0.6186,,0.5835,0.0972,0.5482,,0.6301,,0.4813,,,260,0.0608,296,0.0570,453,0.0460,254,0.0615,102,0.0970,321,0.0547,330,0.0539,441,0.0467,668,0.0379,594,0.0402,us,Facebook,Daily Users
2018-01-22,0.5745,,0.6049,,0.5598,,0.5468,,0.4433,,0.5880,,0.6343,,0.5465,,0.6493,,0.4877,,,239,0.0634,321,0.0547,433,0.0471,282,0.0584,59,0.1276,370,0.0509,318,0.0550,475,0.0450,658,0.0382,618,0.0394,us,Facebook,Daily Users
2018-01-29,0.5650,,0.5456,,0.5341,,0.5427,,0.4938,,0.5746,,0.5471,-0.0873,0.5468,,0.6530,,0.4234,-0.0643,,265,0.0602,307,0.0559,437,0.0469,262,0.0605,83,0.1076,369,0.0510,309,0.0558,442,0.0466,673,0.0378,597,0.0401,us,Facebook,Daily Users
2018-02-05,0.6045,,0.5628,,0.5287,,0.5672,,0.5423,,0.5972,,0.5444,,0.5620,,0.6069,,0.5111,0.0877,,271,0.0595,295,0.0571,446,0.0464,239,0.0634,74,0.1139,375,0.0506,329,0.0540,424,0.0476,645,0.0386,606,0.0398,us,Facebook,Daily Users
2018-02-12,0.5098,-0.0947,0.5526,,0.6058,0.0770,0.4794,,0.3763,-0.1661,0.5574,,0.6103,,0.5438,,0.6167,,0.4776,,,285,0.0581,338,0.0533,478,0.0448,252,0.0617,108,0.0943,357,0.0519,363,0.0514,457,0.0458,692,0.0373,661,0.0381,us,Facebook,Daily Users
2018-02-19,0.5476,,0.5764,,0.5717,,0.5238,,0.4756,,0.6100,,0.5465,,0.5579,,0.6114,,0.5067,,,241,0.0631,353,0.0522,495,0.0440,227,0.0650,83,0.1076,373,0.0507,337,0.0534,458,0.0458,674,0.0377,643,0.0386,us,Facebook,Daily Users
2018-02-26,0.4140,-0.1336,0.5661,,0.5280,,0.4551,,0.2754,-0.2002,0.5230,-0.0870,0.5550,,0.5045,,0.5721,,0.4385,-0.0682,,273,0.0593,362,0.0515,476,0.0449,249,0.0621,79,0.1103,388,0.0498,361,0.0516,462,0.0456,646,0.0386,714,0.0367,us,Facebook,Daily Users
