Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2017-12-11,0.3278,,0.1924,,0.0504,,0.0000,,0.4419,,0.2766,,0.1241,,0.0062,,0.1400,,0.1380,,,72,0.1155,73,0.1147,114,0.0918,53,0.1346,21,0.2139,82,0.1082,88,0.1045,99,0.0985,151,0.0798,161,0.0772,us,Snapchat,Daily Users
2017-12-18,0.4068,,0.1968,,0.0664,,0.0145,,0.4647,,0.3131,,0.1471,,0.0335,,0.1825,,0.1606,,,321,0.0547,327,0.0542,457,0.0458,225,0.0653,72,0.1155,400,0.0490,371,0.0509,425,0.0475,685,0.0374,646,0.0386,us,Snapchat,Daily Users
2017-12-25,0.3684,,0.2017,,0.0552,,0.0028,,0.3819,,0.3038,,0.1077,,0.0256,,0.1726,,0.1213,-0.0393,,299,0.0567,360,0.0517,553,0.0417,242,0.0630,78,0.1110,427,0.0474,387,0.0498,472,0.0451,734,0.0362,721,0.0365,us,Snapchat,Daily Users
2018-01-01,0.3269,,0.1685,,0.0826,,0.0074,,0.4282,,0.2330,-0.0709,0.1252,,0.0302,,0.1521,,0.1275,,,281,0.0585,362,0.0515,496,0.0440,260,0.0608,90,0.1033,400,0.0490,403,0.0488,447,0.0464,706,0.0369,693,0.0372,us,Snapchat,Daily Users
2018-01-08,0.4005,,0.1634,,0.0443,-0.0383,0.0293,,0.4952,,0.2634,,0.1202,,0.0256,,0.1603,,0.1303,,,293,0.0573,344,0.0528,507,0.0435,249,0.0621,73,0.1147,414,0.0482,356,0.0519,492,0.0442,723,0.0364,668,0.0379,us,Snapchat,Daily Users
2018-01-15,0.4094,,0.1479,,0.0478,,0.0087,,0.4724,,0.2983,,0.0709,-0.0494,0.0206,,0.1650,,0.1086,,,246,0.0625,313,0.0554,422,0.0477,240,0.0633,69,0.1180,355,0.0520,312,0.0555,433,0.0471,652,0.0384,569,0.0411,us,Snapchat,Daily Users
2018-01-22,0.4131,,0.1587,,0.0515,,0.0028,,0.5251,,0.2754,,0.0928,,0.0173,,0.1690,,0.1051,,,261,0.0607,298,0.0568,482,0.0446,261,0.0607,81,0.1089,362,0.0515,321,0.0547,472,0.0451,684,0.0375,617,0.0395,us,Snapchat,Daily Users
2018-01-29,0.3774,,0.1828,,0.0590,,0.0097,,0.5322,,0.2540,,0.1156,,0.0223,,0.1545,,0.1042,,,192,0.0707,306,0.0560,455,0.0459,241,0.0631,59,0.1276,305,0.0561,329,0.0540,441,0.0467,661,0.0381,533,0.0424,us,Snapchat,Daily Users
2018-02-05,0.3824,,0.1403,,0.0511,,0.0068,,0.4707,,0.2328,,0.0940,,0.0218,,0.1585,,0.0996,,,240,0.0633,341,0.0531,463,0.0455,228,0.0649,77,0.1117,372,0.0508,354,0.0521,407,0.0486,648,0.0385,623,0.0393,us,Snapchat,Daily Users
2018-02-12,0.3948,,0.1403,,0.0124,-0.0387,0.0044,,0.5236,,0.2340,,0.0505,-0.0435,0.0061,,0.1248,,0.1213,,,277,0.0589,354,0.0521,468,0.0453,250,0.0620,113,0.0922,368,0.0511,347,0.0526,459,0.0457,633,0.0390,715,0.0366,us,Snapchat,Daily Users
