Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2019-11-18,0.1949,,0.0363,,0.0201,,0.0000,,0.2722,,0.0835,,0.0198,,0.0074,,0.0868,,0.0360,,,65,0.1216,58,0.1287,91,0.1027,43,0.1494,33,0.1706,68,0.1188,63,0.1235,79,0.1103,145,0.0814,112,0.0926,us,TikTok,Daily Users
2019-11-25,0.2327,,0.0869,,0.0203,,0.0000,,0.3414,,0.1073,,0.0420,,0.0080,,0.0780,,0.0738,,,270,0.0596,317,0.0550,467,0.0453,259,0.0609,135,0.0843,341,0.0531,328,0.0541,451,0.0461,702,0.0370,611,0.0396,us,TikTok,Daily Users
2019-12-02,0.1501,-0.0826,0.0978,,0.0137,,0.0066,,0.2193,,0.0971,,0.0475,,0.0081,,0.0444,-0.0336,0.0763,,,241,0.0631,294,0.0572,427,0.0474,242,0.0630,104,0.0961,325,0.0544,308,0.0558,416,0.0480,612,0.0396,593,0.0402,us,TikTok,Daily Users
2019-12-09,0.1738,,0.0780,,0.0193,,0.0096,,0.1886,,0.1133,,0.0558,,0.0044,,0.0610,,0.0677,,,236,0.0638,269,0.0598,367,0.0512,241,0.0631,102,0.0970,315,0.0552,242,0.0630,395,0.0493,592,0.0403,521,0.0429,us,TikTok,Daily Users
2019-12-16,0.2314,,0.0793,,0.0169,,0.0000,,0.3134,0.1248,0.1038,,0.0549,,0.0000,,0.0779,,0.0777,,,275,0.0591,267,0.0600,425,0.0475,217,0.0665,141,0.0825,309,0.0558,290,0.0575,384,0.0500,637,0.0388,547,0.0419,us,TikTok,Daily Users
2019-12-23,0.2743,,0.0734,,0.0299,,0.0000,,0.3276,,0.1540,,0.0455,,0.0054,,0.0772,,0.0921,,,283,0.0583,324,0.0544,495,0.0440,272,0.0594,131,0.0856,355,0.0520,351,0.0523,480,0.0447,690,0.0373,684,0.0375,us,TikTok,Daily Users
2019-12-30,0.1688,-0.1054,0.0995,,0.0163,,0.0000,,0.1734,-0.1542,0.1250,,0.0455,,0.0015,,0.0707,,0.0567,-0.0354,,268,0.0599,347,0.0526,491,0.0442,268,0.0599,138,0.0834,370,0.0509,370,0.0509,442,0.0466,704,0.0369,671,0.0378,us,TikTok,Daily Users
2020-01-06,0.2310,,0.0774,,0.0175,,0.0000,,0.2798,0.1064,0.1245,,0.0322,,0.0013,,0.0572,,0.1005,0.0438,,303,0.0563,320,0.0548,482,0.0446,230,0.0646,159,0.0777,379,0.0503,345,0.0528,401,0.0489,715,0.0366,620,0.0394,us,TikTok,Daily Users
2020-01-13,0.1541,-0.0768,0.1073,,0.0116,,0.0000,,0.2137,,0.1058,,0.0376,,0.0012,,0.0571,,0.0605,-0.0400,,278,0.0588,328,0.0541,546,0.0419,286,0.0579,146,0.0811,365,0.0513,374,0.0507,502,0.0437,775,0.0352,664,0.0380,us,TikTok,Daily Users
2020-01-20,0.2175,,0.0767,,0.0210,,0.0000,,0.2815,,0.0888,,0.0527,,0.0033,,0.0587,,0.0860,,,276,0.0590,370,0.0509,448,0.0463,255,0.0614,158,0.0780,383,0.0501,344,0.0528,409,0.0485,666,0.0380,683,0.0375,us,TikTok,Daily Users
2020-01-27,0.2070,,0.0347,-0.0421,0.0052,,0.0046,,0.2906,,0.0517,,0.0171,-0.0357,0.0041,,0.0321,-0.0267,0.0722,,,276,0.0590,344,0.0528,499,0.0439,294,0.0572,156,0.0785,376,0.0505,357,0.0519,480,0.0447,724,0.0364,688,0.0374,us,TikTok,Daily Users
2020-02-03,0.2169,,0.0915,0.0569,0.0109,,0.0128,,0.2638,,0.1271,0.0754,0.0370,,0.0107,,0.0445,,0.1036,0.0314,,285,0.0581,343,0.0529,464,0.0455,275,0.0591,138,0.0834,377,0.0505,341,0.0531,457,0.0458,674,0.0377,693,0.0372,us,TikTok,Daily Users
2020-02-10,0.2536,,0.0852,,0.0286,,0.0000,,0.3330,,0.1210,,0.0430,,0.0049,,0.0866,0.0421,0.0730,,,274,0.0592,383,0.0501,531,0.0425,275,0.0591,152,0.0795,391,0.0496,398,0.0491,466,0.0454,772,0.0353,691,0.0373,us,TikTok,Daily Users
2020-02-17,0.2633,,0.1233,,0.0260,,0.0023,,0.3298,,0.1604,,0.0434,,0.0098,,0.0931,,0.0896,,,273,0.0593,376,0.0505,496,0.0440,296,0.0570,142,0.0822,400,0.0490,382,0.0501,453,0.0460,765,0.0354,677,0.0377,us,TikTok,Daily Users
2020-02-24,0.2483,,0.0788,,0.0212,,0.0000,,0.3306,,0.1093,-0.0510,0.0433,,0.0018,,0.0780,,0.0794,,,283,0.0583,371,0.0509,482,0.0446,259,0.0609,157,0.0782,375,0.0506,370,0.0509,451,0.0461,717,0.0366,677,0.0377,us,TikTok,Daily Users
2020-03-02,0.2277,,0.0573,,0.0214,,0.0000,,0.2654,,0.1056,,0.0377,,0.0115,,0.0754,,0.0721,,,313,0.0554,347,0.0526,440,0.0467,263,0.0604,160,0.0775,383,0.0501,343,0.0529,417,0.0480,731,0.0362,631,0.0390,us,TikTok,Daily Users
2020-03-09,0.2281,,0.0994,,0.0284,,0.0000,,0.2608,,0.1388,,0.0483,,0.0089,,0.0777,,0.0741,,,233,0.0642,355,0.0520,457,0.0458,291,0.0574,113,0.0922,367,0.0512,350,0.0524,461,0.0456,685,0.0374,652,0.0384,us,TikTok,Daily Users
2020-03-16,0.2596,,0.1085,,0.0329,,0.0026,,0.3447,,0.1243,,0.0782,,0.0067,,0.0928,,0.1001,,,312,0.0555,357,0.0519,494,0.0441,253,0.0616,161,0.0772,404,0.0488,355,0.0520,451,0.0461,703,0.0370,713,0.0367,us,TikTok,Daily Users
