Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-08-20,0.0870,,0.0327,,0.0057,,0.0000,,0.1005,,0.0613,,0.0171,,0.0000,,0.0077,,0.0503,,,165,0.0763,162,0.0770,281,0.0585,168,0.0756,49,0.1400,209,0.0678,208,0.0680,260,0.0608,417,0.0480,359,0.0517,us,Twitch,Daily Users
2018-08-27,0.1068,,0.0412,,0.0075,,0.0000,,0.0815,,0.0789,,0.0203,,0.0054,,0.0123,,0.0602,,,267,0.0600,321,0.0547,448,0.0463,242,0.0630,69,0.1180,384,0.0500,343,0.0529,422,0.0477,664,0.0380,614,0.0395,us,Twitch,Daily Users
2018-09-03,0.1049,,0.0434,,0.0048,,0.0053,,0.0935,,0.0735,,0.0249,,0.0031,,0.0192,,0.0524,,,248,0.0622,335,0.0535,435,0.0470,260,0.0608,79,0.1103,367,0.0512,332,0.0538,439,0.0468,691,0.0373,586,0.0405,us,Twitch,Daily Users
2018-09-10,0.0717,,0.0389,,0.0071,,0.0000,,0.0244,,0.0741,,0.0147,,0.0028,,0.0132,,0.0394,,,264,0.0603,296,0.0570,474,0.0450,250,0.0620,104,0.0961,337,0.0534,345,0.0528,446,0.0464,641,0.0387,643,0.0386,us,Twitch,Daily Users
2018-09-17,0.1341,0.0624,0.0373,,0.0024,,0.0037,,0.1279,0.1034,0.0873,,0.0140,,0.0032,,0.0145,,0.0629,,,273,0.0593,355,0.0520,478,0.0448,265,0.0602,98,0.0990,376,0.0505,361,0.0516,474,0.0450,709,0.0368,662,0.0381,us,Twitch,Daily Users
2018-09-24,0.1082,,0.0341,,0.0066,,0.0000,,0.1563,,0.0585,,0.0198,,0.0000,,0.0105,,0.0590,,,270,0.0596,361,0.0516,458,0.0458,240,0.0633,98,0.0990,373,0.0507,370,0.0509,437,0.0469,699,0.0371,629,0.0391,us,Twitch,Daily Users
2018-10-01,0.1234,,0.0138,,0.0190,,0.0000,,0.1125,,0.0759,,0.0128,,0.0101,,0.0076,,0.0698,,,274,0.0592,283,0.0583,419,0.0479,250,0.0620,119,0.0898,321,0.0547,309,0.0558,399,0.0491,642,0.0387,585,0.0405,us,Twitch,Daily Users
2018-10-08,0.1219,,0.0489,0.0352,0.0039,,0.0042,,0.1862,,0.0668,,0.0259,,0.0042,,0.0190,,0.0643,,,295,0.0571,332,0.0538,464,0.0455,281,0.0585,106,0.0952,361,0.0516,364,0.0514,469,0.0453,729,0.0363,643,0.0386,us,Twitch,Daily Users
2018-10-15,0.1057,,0.0319,,0.0075,,0.0000,,0.1469,,0.0598,,0.0151,,0.0045,,0.0219,,0.0464,,,314,0.0553,349,0.0525,500,0.0438,273,0.0593,120,0.0895,373,0.0507,391,0.0496,469,0.0453,759,0.0356,677,0.0377,us,Twitch,Daily Users
2018-10-22,0.0834,,0.0530,,0.0112,,0.0051,,0.0978,,0.0698,,0.0264,,0.0056,,0.0116,,0.0572,,,264,0.0603,321,0.0547,449,0.0462,245,0.0626,96,0.1000,355,0.0520,328,0.0541,435,0.0470,611,0.0396,668,0.0379,us,Twitch,Daily Users
2018-10-29,0.1248,,0.0253,,0.0078,,0.0000,,0.2018,,0.0565,,0.0139,,0.0000,,0.0254,,0.0461,,,262,0.0605,309,0.0558,395,0.0493,277,0.0589,101,0.0975,337,0.0534,305,0.0561,442,0.0466,662,0.0381,582,0.0406,us,Twitch,Daily Users
2018-11-05,0.1585,,0.0558,,0.0069,,0.0000,,0.2095,,0.1013,0.0448,0.0115,,0.0057,,0.0122,,0.0894,0.0433,,272,0.0594,392,0.0495,461,0.0456,276,0.0590,98,0.0990,403,0.0488,372,0.0508,462,0.0456,740,0.0360,661,0.0381,us,Twitch,Daily Users
2018-11-12,0.0954,-0.0631,0.0427,,0.0294,0.0225,0.0000,,0.1385,,0.0539,-0.0474,0.0506,0.0391,0.0055,,0.0277,,0.0511,-0.0384,,271,0.0595,348,0.0525,465,0.0454,303,0.0563,106,0.0952,374,0.0507,331,0.0539,501,0.0438,706,0.0369,681,0.0376,us,Twitch,Daily Users
2018-11-19,0.1271,,0.0314,,0.0268,,0.0139,,0.1437,,0.0716,,0.0385,,0.0133,,0.0232,,0.0711,,,280,0.0586,337,0.0534,451,0.0461,275,0.0591,122,0.0887,348,0.0525,350,0.0524,459,0.0457,699,0.0371,645,0.0386,us,Twitch,Daily Users
2018-11-26,0.0930,,0.0330,,0.0058,-0.0210,0.0038,,0.1146,,0.0578,,0.0189,,0.0000,-0.0133,0.0188,,0.0404,-0.0308,,291,0.0574,354,0.0521,487,0.0444,295,0.0571,102,0.0970,391,0.0496,385,0.0499,473,0.0451,689,0.0373,738,0.0361,us,Twitch,Daily Users
2018-12-03,0.1157,,0.0527,,0.0240,0.0182,0.0038,,0.1618,,0.0768,,0.0350,,0.0121,0.0121,0.0236,,0.0709,0.0306,,289,0.0576,351,0.0523,407,0.0486,279,0.0587,98,0.0990,395,0.0493,318,0.0550,444,0.0465,662,0.0381,664,0.0380,us,Twitch,Daily Users
2018-12-10,0.0807,,0.0759,,0.0104,,0.0000,,0.0955,,0.0790,,0.0351,,0.0014,,0.0191,,0.0594,,,264,0.0603,321,0.0547,446,0.0464,300,0.0566,97,0.0995,367,0.0512,326,0.0543,464,0.0455,713,0.0367,617,0.0395,us,Twitch,Daily Users
2018-12-17,0.0789,,0.0289,-0.0470,0.0148,,0.0057,,0.1322,,0.0479,,0.0206,,0.0071,,0.0208,,0.0387,,,253,0.0616,259,0.0609,439,0.0468,269,0.0598,83,0.1076,313,0.0554,306,0.0560,449,0.0462,655,0.0383,564,0.0413,us,Twitch,Daily Users
2018-12-24,0.1164,,0.0354,,0.0112,,0.0000,,0.1176,,0.0848,,0.0124,,0.0067,,0.0232,,0.0499,,,284,0.0582,363,0.0514,483,0.0446,287,0.0578,92,0.1022,384,0.0500,379,0.0503,491,0.0442,725,0.0364,692,0.0373,us,Twitch,Daily Users
