Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Generation: Early Boomers,Generation: Early Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Generation: Early Boomers (n),Generation: Early Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2017-12-11,0.3225,,0.1454,,0.1056,,0.0727,,0.1407,,0.2793,,0.1347,,0.0975,,0.0908,,0.1342,,0.1696,,,62,0.1245,75,0.1132,116,0.0910,60,0.1265,19,0.2248,78,0.1110,77,0.1117,123,0.0884,57,0.1298,155,0.0787,157,0.0782,us,Twitter,Daily Users
2017-12-18,0.2410,,0.1313,,0.1158,,0.0548,,0.1827,,0.2036,,0.1371,,0.0765,,0.0527,,0.0845,,0.1933,,,274,0.0592,345,0.0528,476,0.0449,223,0.0656,55,0.1321,396,0.0492,379,0.0503,405,0.0487,179,0.0732,700,0.0370,619,0.0394,us,Twitter,Daily Users
2017-12-25,0.1994,,0.1460,,0.1189,,0.0445,,0.2347,,0.1901,,0.1202,,0.0837,,0.0590,,0.1075,,0.1543,,,313,0.0554,345,0.0528,487,0.0444,238,0.0635,45,0.1461,458,0.0458,383,0.0501,425,0.0475,209,0.0678,686,0.0374,697,0.0371,us,Twitter,Daily Users
2018-01-01,0.1937,,0.1438,,0.0999,,0.0729,,0.2869,,0.1463,,0.1209,,0.0835,,0.0751,,0.0856,,0.1666,,,276,0.0590,341,0.0531,522,0.0429,240,0.0633,94,0.1011,379,0.0503,401,0.0489,450,0.0462,206,0.0683,710,0.0368,669,0.0379,us,Twitter,Daily Users
2018-01-08,0.2060,,0.1687,,0.1063,,0.0668,,0.1671,,0.2014,,0.1179,,0.0992,,0.0854,,0.1253,0.0398,0.1498,,,301,0.0565,317,0.0550,477,0.0449,239,0.0634,91,0.1027,403,0.0488,326,0.0543,441,0.0467,187,0.0717,721,0.0365,612,0.0396,us,Twitter,Daily Users
2018-01-15,0.1415,,0.1323,,0.1068,,0.0348,,0.2382,,0.1186,-0.0827,0.1287,,0.0708,,0.0453,,0.0940,,0.1217,,,244,0.0627,332,0.0538,436,0.0469,241,0.0631,64,0.1225,377,0.0505,326,0.0543,416,0.0480,188,0.0715,687,0.0374,566,0.0412,us,Twitter,Daily Users
2018-01-22,0.1375,,0.1715,,0.0843,,0.0649,,0.2414,,0.1378,,0.1074,,0.0882,,0.0741,,0.0933,,0.1357,,,225,0.0653,318,0.0550,464,0.0455,233,0.0642,54,0.1334,361,0.0516,348,0.0525,436,0.0469,214,0.0670,672,0.0378,568,0.0411,us,Twitter,Daily Users
2018-01-29,0.1674,,0.1145,,0.1066,,0.0581,,0.2099,,0.1137,,0.1332,,0.0766,,0.0532,,0.1098,,0.1066,,,214,0.0670,275,0.0591,449,0.0462,273,0.0593,67,0.1197,296,0.0570,343,0.0529,438,0.0468,221,0.0659,617,0.0395,594,0.0402,us,Twitter,Daily Users
2018-02-05,0.1965,,0.1316,,0.0868,,0.0450,,0.1964,,0.1629,,0.0991,,0.0792,,0.0636,,0.0810,,0.1447,,,236,0.0638,349,0.0525,459,0.0457,217,0.0665,63,0.1235,360,0.0517,376,0.0505,397,0.0492,169,0.0754,636,0.0389,624,0.0392,us,Twitter,Daily Users
2018-02-12,0.1767,,0.1598,,0.1056,,0.0818,,0.3132,,0.1337,,0.1618,0.0628,0.0777,,0.0847,,0.0956,,0.1694,,,271,0.0595,412,0.0483,450,0.0462,251,0.0619,94,0.1011,404,0.0488,364,0.0514,474,0.0450,227,0.0650,713,0.0367,671,0.0378,us,Twitter,Daily Users
2018-02-19,0.1875,,0.1628,,0.1027,,0.0632,,0.2293,,0.1704,,0.1298,,0.0818,,0.0789,,0.0993,,0.1609,,,312,0.0555,344,0.0528,507,0.0435,245,0.0626,107,0.0947,419,0.0479,339,0.0532,483,0.0446,211,0.0675,722,0.0365,686,0.0374,us,Twitter,Daily Users
