"Amount (converted) Currency","Amount (converted)","Opportunity Lead: Employee Number"
"USD","650000.00","100463736"
"USD","150000.00","100463736"
"USD","600000.00","100568413"
"USD","500000.00","100568413"
"USD","400000.00","100568413"
"USD","373855.07","100568413"
"USD","350000.00","100568413"
"USD","300000.00","100568413"
"USD","300000.00","100568413"
"USD","250000.00","100568413"
"USD","175000.00","100568413"
"USD","155772.95","100568413"
"USD","10000.00","100568413"
"USD","536000.00","100569225"
"USD","500000.00","100569225"
"USD","400000.00","100569225"
"USD","290000.00","100569225"
"USD","250000.00","100569225"
"USD","250000.00","100569225"
"USD","1000000.00","100574828"
"USD","400000.00","100574828"
"USD","350000.00","100574828"
"USD","350000.00","100574828"
"USD","200000.00","100574828"
"USD","150000.00","100574828"
"USD","8000000.00","100579505"
"USD","1870000.00","100579505"
"USD","800000.00","100579505"
"USD","700000.00","100579505"
"USD","500000.00","100579505"
"USD","100.00","100579505"
"USD","2000000.00","100580065"
"USD","325000.00","100580065"
"USD","100000.00","100580065"
"USD","2000000.00","100580190"
"USD","300000.00","100580190"
"USD","300000.00","100580190"
"USD","100000.00","100580190"
"USD","500000.00","100580806"
"USD","500000.00","100580806"
"USD","350000.00","100580806"
"USD","350000.00","100580806"
"USD","350000.00","100580806"
"USD","350000.00","100580806"
"USD","350000.00","100580806"
"USD","300000.00","100580806"
"USD","250000.00","100580806"
"USD","200000.00","100580806"
"USD","950000.00","100581763"
"USD","750000.00","100581763"
"USD","250000.00","100581763"
"USD","150000.00","100581763"
"USD","5250000.00","100581784"
"USD","5000000.00","100581784"
"USD","3000000.00","100581784"
"USD","1000000.00","100581784"
"USD","716000.00","100581784"
"USD","575000.00","100581784"
"USD","550000.00","100581784"
"USD","500000.00","100581784"
"USD","500000.00","100581784"
"USD","500000.00","100581784"
"USD","500000.00","100581784"
"USD","380000.00","100581784"
"USD","379500.00","100581784"
"USD","250000.00","100581784"
"USD","99226.00","100581784"
"USD","56000.00","100581784"
"USD","11000000.00","100582847"
"USD","2600000.00","100582847"
"USD","1730000.00","100582847"
"USD","1000000.00","100582847"
"USD","600000.00","100582847"
"USD","500000.00","100582847"
"USD","500000.00","100582847"
"USD","500000.00","100582847"
"USD","300000.00","100582847"
"USD","250000.00","100582847"
"USD","250000.00","100582847"
"USD","150000.00","100582847"
"USD","100000.00","100582847"
"USD","100000.00","100582847"
"USD","42000.00","100582847"
"USD","25000.00","100582847"
"USD","25000.00","100582847"
"USD","3200000.00","100584032"
"USD","985000.00","100584032"
"USD","450000.00","100584032"
"USD","450000.00","100584032"
"USD","450000.00","100584032"
"USD","450000.00","100584032"
"USD","450000.00","100584032"
"USD","100000.00","100584032"
"USD","100000.00","100584032"
"USD","100000.00","100584032"
"USD","1.00","100584032"
"USD","1.00","100584032"
