Emp ID,Pipe
100463736,2150000
100568413,4231250
100569225,1250000
100574828,6983000
100579505,9600100
100580065,3525000
100580190,3220000
100580806,1750000
100581763,1950000
100581784,19073480
100582604,490000
100582847,19722000
100584032,6535003
100584043,3700000
100584422,17076000
100584558,3695000
100584866,1525000
100585036,500000
100585370,5040000
100585718,3390000
100585834,8124000
100585872,6275000
100585952,1000000
100586233,1749000
100586314,16920000
100586334,1700000
100586452,12670000
100586521,100000
100586524,5440000
100586530,750000
100586701,19850000
100586711,1000000
100586786,5525000
100586863,45910000
100586959,34695000
100587219,2977196
100587434,11209000
100587799,5100000
100587866,1740000
100587881,5268000
100587944,141650381
100587980,6708000
100588600,19850000
100588753,13750000
100588959,1800000
100589248,4900000
100589278,5367185
100589299,11765000
100589357,942000
100589481,18050000
100589728,3800000
100589741,2773273
100589948,1875000
100590659,250000
100590772,7411000
100590896,73572200
100591010,1710000
100591095,556673.98
100591120,46275000
100591141,22996000
100591320,3375000
100591654,450000
100592304,7700000
100592305,8500000
100592341,2580000
100592496,18745000
100592561,500000
100592715,7795000
100592741,2040220
100592784,1100000
100592873,1150000
100592932,8997000
100593650,6300000
100593918,18121508
100593964,330000
100594243,2150000
100594397,9010660
100594872,12639000
100595231,16059601
100595346,640000
100595407,5000000
100596320,150000
100596555,6050000
100596618,3597500
100596849,1000000
100596941,53300000
100597190,1800000
100597272,2871731
100597339,3220000
100597826,31370000
100597983,22782500
100598931,1500000
100599107,7120000
100599152,1100000
100599268,4038000
100599669,14700000
100599962,1000000
100600975,1725000
100601386,18880000
100602248,6053497.5
100602451,3750000
100603236,910000
100603415,325000
100603613,29500000
100604296,835000
100604298,1000000
100604370,692640
100605488,95130000
100605530,200000
100605581,2226400
100605616,1999854
100606970,100000
100606975,3100000
100607244,4850000
100607644,9750000
100607920,550000
100608090,413000
100608136,350000
100608155,33089480
100608164,2125000
100608243,12050000
100608247,1850000
100608282,400000
100608366,6537500
100608383,425000
100608430,61444700
100608521,4369550
100608771,700000
100608828,49175001
100609005,762500
100609073,32555000
100609078,1
100609118,5410000
100609226,2847261
100609257,3850000
100609381,150000
100609393,4653000
100609514,16392000
100609544,3837244
100609569,108650000
100609600,16920000
100609607,20180000
100609615,1715180
100609628,1061000
100609827,27253000
100609871,18550000
100610014,12500000
100610205,5666720
100610242,2337000
100610320,11170000
100610367,5158049
100610419,3705000
100610426,1250000
100610483,22362000
100610489,3500000
100610826,1750000
100610875,100000
100610903,5137000
100611080,3650000
100611158,3955000
100611272,0
100611284,11525001
100611316,3200000
100611351,8446280
100611358,8177900
100611377,50000
100611390,20957200
100611486,19500000
100611501,582000
100611547,6550000
100611799,300000
100612055,7836500
100612201,907750
100612330,6350001
100612395,3851000
100612509,1532449.62
100612518,6400000
100612715,200000
100612746,0
100612834,500000
100613095,15200000
100613761,9675000
100613841,7400000
100613849,2387369.38
100613915,10612500
100614201,2037500
100614269,351970
100614969,2233000
100615814,1155000
100616269,2800000
100616377,6045000
100616623,500000
100616656,10000000
100616804,3490000
100617113,10050000
100617170,1428001
100617853,27730000
100618376,2750000
100618842,5881600
100619007,2000000
100619128,8933900
100619165,33955000
100619410,23764617
100619580,1
100619604,2000000
100619607,5590000
100619620,600000
100619692,9975000
100619765,7100000
100619817,35120000
100619899,10350000
100620023,2020000
100620090,5635500
100620159,4371000
100620162,6095000
100620553,695000
100620643,2030000
100620711,1000000
100620934,3495000
100621410,2425000
100621664,15535000
100621724,4150000
100622174,1860000
100622378,2115001
100622716,900000
100623111,900000
100623235,90000
100623248,5220000
100623421,20308000
100623453,4815000
100623470,41570000
100623535,4650000
100623735,1700000
100623906,250000
100623914,34125000
100624244,750000
100624248,250000
100624533,7800000
100625107,1545000
100625415,17183807
100625459,3530000
100625563,3355000
100625578,5175000
100625588,5284200
100625755,7957923
100625970,250000
100626060,5487500
100626751,500000
100626837,210000
100626898,5200000
100627224,2109100
100627554,154500
100628004,50000
100628059,8050000
100628172,2050000
100628181,11900750
100628186,24100000
100628223,5580001
100628891,1918792
100629231,250000
100629293,11295000
100629729,7678500
100629900,10050000
100631257,5000000
100631322,9133900
100632043,5250000
100632400,15240000
100632514,1700000
100633488,40000
100633489,9750001
100633579,32000000
100633643,10900000
100633763,2500000
100633795,525000
100634023,1
100634482,885000
100634698,50000
100634752,650000
100634919,4400000
100634994,6820000
100635215,200000
100635485,1500000
100635527,1300000
100636461,10215000
100636569,150000
100636647,1200000
100637221,7615000
100637587,3440000
100637597,6875000
100637600,50000
100637651,5305001
100637664,1850000
100638639,8400000
100638965,260000
100638978,3835000
100639134,2042000
100639477,16175000
100639495,8575000
100639544,405000
100640093,150000
100640331,37050000
100640433,900000
100640439,200000
100640945,2214255
100641038,37000000
100641346,1000000
100641939,7567000
100641950,5880000
100642129,12185100
100642211,350000
100642238,6387000
100642273,70000
100642379,2600000
100642499,900000
100642806,18550000
100642911,500000
100643044,8540001
100643454,5600000
100643805,710907
100644070,38850000
100644077,365000
100644409,500000
100644939,1330600
100645232,5596000
100645470,5675000
100645538,3900000
100645763,250000
100645852,17765000
100646427,10455000
100646452,8735000
100646519,8400000
100646652,1930000
100646702,14480000
100646804,3500000
100646809,2945000
100646908,26740000
100647262,30015000
100647460,4550000
100647463,7292000
100647488,4500000
100647674,9850000
100647935,7990000
100648136,1000000
100648324,1195000
100648421,7474264
100648460,1561550
100649264,4847584
100649463,3430125
100649481,1050001
100649566,250000
100649654,2800000
100649673,9000000
100649698,13150000
100649726,2110000
100649928,1100000
100649936,5070002
100649942,500000
100650064,4456000
100650162,6700001
100650183,100000
100650304,3525000
100650344,11700000
100650375,63004500
100650382,600001
100650453,1750000
100650501,3050000
100650520,4305738.78
100650568,6133000
100650575,32190000
100650619,30545000
100650657,2792400
100650678,4060000
100650783,4850000
100650786,14570000
100650967,400000
100651020,3100000
100651040,1000000
100651086,4425000
100651094,11300000
100651298,6496999
100651441,92120003
100651554,8600000
100651638,2000000
100651722,58850000
100651896,1000000
100651901,8600000
100651946,5834000
100651998,5740000
100652169,11980000
100652316,1575000
100652454,2800001
100652479,3576000
100652489,25900000
100652666,3740000
100652846,23000000
100653021,1745000
100653074,10038517.6
100653269,13100000
100653430,4250000
100653499,13085720
100653538,100000
100653539,44700000
100653597,21154000
100653756,98340000
100653785,7150000
100653977,8770000
100654040,900000
100654085,33575000
100654620,1500001
100654705,78164280
100654835,3100000
100654864,11705000
100654914,9550322
100654991,15210000
100655073,3485000
100655091,8300000
100655236,1150000
100655465,1500000
100655738,750000
100656050,1714000
100656722,1101000
100657101,75000
100657185,4127278
100657831,2812065
100657929,11050000
100658132,35150000
100658519,36095000
100658522,55880000
100658777,4765000
100658814,2850000
100658958,550000
100658994,500000
100659011,0
100659114,58636712
100659145,1965000
100659458,2635000
100659524,2350000
100659846,1455000
100660017,25900000
100660027,2
100660049,12452000
100660061,1300000
100660092,5400000
100660495,9375000
100660529,404400
100660608,4015000
100660640,3679000
100660652,90050000
100660701,2000000
100660828,400000
100660934,500000
100661023,10000
100661738,15480002
100661817,2200000
100661890,1391226.8
100662113,2496000
100662144,13500000
100690767,18273000
100690774,3890000
100694304,300000
100694651,1706000
100700761,17760000
100702554,2775000
100708984,10700000
100711752,7276000
100866856,12395000
100866857,600000
100869674,2395000
100869732,38245000
100869794,3499000
100870972,50000
100875111,9160000
100878189,300000
100878565,1000000
100879751,8500000
100882501,21600000
100882877,1895000
100886112,3250000
100888587,2947204
100889596,100000
100892076,2000000
100892374,1050000
100893232,4325000
100895030,7550000
100896447,845000
100898415,2660000
100899005,19591682
100900370,12525000
100901211,1297000
100904300,200000
100904601,6994545
100904602,7800000
100904603,1199000
100904605,500000
100910245,1847500
100910509,1450000
100911004,6919000
100914325,3499996
100922604,700000
100923205,1050000
100929557,5400000
100933537,2675212
100941744,30634000
100943277,15471000
100945646,2945000
100955805,7470000
100956516,7943000
100963608,960000
100964362,14700000
100968114,10900000
100974950,4770000
100980598,740000
100983419,3
100986592,2000000
100997154,13649000
101000708,1033000
101001596,5700000
101017204,998750
101025735,2175000
101026035,100000
101033479,18920000
101051394,2480014
101054840,8440001
101056026,349500
101056431,1900000
101059157,750000
101059432,56420000
101059844,1820000
101062258,6774000
101068117,24750000
101072617,13300000
101076271,2218000
101077909,9853627
101078216,9370000
101080198,975000
101082364,3500000
101088146,4774000
101088654,16400000
101088701,2150000
101090216,925000
101090224,15000
101093101,4380000
101093737,4110000
101094571,300000
101127868,14415000
101128970,25250000
101131115,7575000
101131118,5500000
101138319,2450000
101141441,11740000
101141463,2550000
