	UID	final_safety_stock
0	2214272_7330_911127	11.0
1	2066191_3DT230_171531	20.197869342073965
2	2066193_ST70_171267	10.5
3	500092799_H-550_180675	10.0
4	2043452_ST70_911016	12.0
5	2044956_3DT185_C28937	55.0
6	2198220_ST70_461186	3.0
7	150116372_3DT230_170822	10.0
8	2066193_3DT230_170477	80.60160606753804
9	2066889_3DT231_910896	14.072177885966672
10	2066889_ST70_912345	12.0
11	2066889_ST70_912345	12.0
12	150224107_H-550_914096	11.0
13	150207905_73801WR_303641	3.0
14	150238998_3DT408_913330	11.0
15	500061554_3DT465_180608	18.43635392141431
16	150080576_7330_260317	35.496989467440905
17	150208194_3DT230_181144	10.0
18	150208194_3DT230_181144	10.0
19	150208194_ST70_173563	10.0
20	150208194_ST70_173563	10.0
21	150208194_H-550_107283	7.5
22	150208194_H-550_107283	7.5
23	150346545_3DT231_911044	15.743701160202711
24	2178984_3DT260_394098	22.66473217513941
25	150340642_7330_C42680	33.94378727856657
26	150208194_3DT230_912868	24.693076550516654
27	150208194_3DT230_912868	24.693076550516654
28	150208194_H-550_108046	7.5
29	150208194_H-550_108046	7.5
30	2078400_ST70_305571	10.0
31	2078400_ST70_305571	10.0
32	2078400_73801WR_160317	10.0
33	2078400_73801WR_160317	10.0
34	2051499_ST70_172114	10.0
35	2182509_2513_100212	7.5
36	2182509_TRAC100_911962	12.0
37	500096923_3DT260_394182	10.0
38	500045104_3DT231_102404	7.5
39	500045104_CB70_101836	7.5
40	2085649_ST70_330271	25.88755623671529
41	500096733_3DT465_394201	10.0
42	500096733_3DT465_394201	10.0
43	150208194_3DT230_171859	25.409415364986106
44	150208194_3DT230_171859	25.409415364986106
45	2052742_ST70_181199	13.160794621751608
46	2052742_90005_151338	7.5
47	500095811_3DT230_107755	14.0964950771261
48	500095811_73801WR_104914	7.5
49	150180226_ST70_910851	30.87649377621033
50	150208194_H-550_200784	7.5
51	150208194_H-550_200784	7.5
52	150349406_3DT465_171764	10.0
53	2077619_7330_394324	10.0
54	500087211_7330_171545	17.901381707544687
55	500087211_7330_171545	17.901381707544687
56	500087211_3DT401_106383	14.928639612135388
57	500092796_3DT260_914657	12.0
