Unnamed: 0,object_id,class_id,tdmx_id,tdm_archive_name,revision,state,creation_date,user_object_id,user_id_mod,modification_date,tdm_description,tdm_supported_clb,tdmx_related_item_id,tdmx_material,tdmx_cad_identifier,tdmx_detailed_description,tdmx_comments,tdmx_3d_cad_identifier,tdmx_title_type,tdmx_scale,tdmx_page_size,file_type,file_name,directory,cad_ref_file_name,cad_ref_directory,vault_object_id,tdm_cad_dirtyflag,tdm_file_id,tdm_cfo_flag,tdm_component_name,tdm_component_modes,tdm_file_version,tdm_integration_managed,phase,par_revision,approval_date,effective_from,effective_until,under_operation,revision_stg,tdm_org_user_id,tdm_org_createdate,tdm_approved_by,tdm_document_type,tdm_archive_type,tdmx_related_flow_process,tdmx_flow_process_state,tdm_es_count,tdm_signature,tdm_part_check,tdm_sf_secure_lvl,tdm_sf_service,cn_indice_fournisseur,cn_livre_au_client_le,cn_valide_client_le,cn_codearticlewagon,tdm_secured_by,cn_livre_fournisseur_le,cn_approuve_fournisseur_le,tdm_origin_id,tdm_cad_version,tdm_cat_environment,cn_acs_document_fournisseur,cn_acs_document_gecpa_link,cn_acs_document_sap_link,cn_acs_document_help_link,cn_acs_document_client,cn_acs_document_car_maker,cn_acs_document_customer,cn_acs_ref_symetrique,cn_acs_num_client,cn_acs_document_related_item,cn_acs_document_related_proj,cn_acs_num_symetrie_client,tdm_cad_timestamp,cn_description_uk,cn_acs_pms_milestone,cn_acs_sysqual_lang,cn_acs_nomad_comment,cn_acs_sysqual_dept,cn_acs_sysqual_dept1,cn_archived,cn_archiver,cn_archive_date,cn_acs_training_subject,cn_acs_sap_plant,cn_acs_related_doc_id,cn_acs_source_cad_data_id,cn_acs_design_completion_lev,cn_acs_document_related_wfl_,cn_acs_related_wfl_id,cn_acs_design_completion_le1,cn_acs_standard_doc_rev,cn_acs_standard_doc_origin,cn_acs_standard_doc_id,cn_acs_standard_doc_domain,cn_acs_standard_doc_short_de,cn_acs_standard_doc_type,cn_acs_standard_doc_short_d1,cn_acs_standard_doc_domain2,cn_acs_tdep_cc_mails,cn_acs_tdep_send_for,cn_acs_tdep_context5,cn_acs_tdep_exch_extfile,cn_acs_tded_exch_contact,cn_acs_tded_exch_support,cn_acs_tded_exch_job_id,tdm_site_id,tdm_site_id_mod,tdm_site_id_owner,cn_acs_document_related_ite1,cn_acs_document_related_ite2,cn_acs_document_related_ite3,cn_acs_document_related_ite4
61186,2258633,395,DOC-0096187, ,A.1,1,27-01-2020 15:05,1452,1,05-05-2020 15:45,6599 - BOM AVP TO INEOS,-2147483647, , , , ,, ,-2147483647,-2147483647,-2147483647,6,6599 - BOM AVP TO INEOS_2258633_395.xlsx, ,6599 - BOM AVP TO INEOS.xlsx,I:\,1,-2147483647,B18740FD-D7DC-4605-951D-F8357489C362,-32767, , ,-2147483647,-2147483647,8,A.0,,29-01-2020 11:59,,-32767,0,1452,27-01-2020 08:18,-2147483647,1,-2147483647,-2147483647,-2147483647,-32767,,-2147483647,0,-2147483647, ,,, ,"9721,140;",,,2258632, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,-2147483647,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
406372,1219415,117,PRT-0035214, ,A,3,26-03-2015 12:51,2411,1,05-05-2020 15:49,ANTI-CREEP RING,182,ITEM09259, ,PRT-0035214 - ANTI-CREEP RING, ,, ,-2147483647,-2147483647,-2147483647,26,PRT-0035214-_1219415_117.CATPart, ,PRT-0035214-.CATPart,I:\,144,1427374289,3C38FFAD-4C97-4764-B23D-394CED925F52,0,0_26c_4d2c79c7_354b, ,0,8,7, ,19-01-2016 11:59,19-01-2016 11:59,,-32767,1,2411,26-03-2015 12:51,4303,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483646,0,-2147483647, ,,,3000024362,"963,140;3403,140;7917,140;9120,140;9501,140;",,,1219415, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,-2147483647,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
610148,2062417,117,PRT-0042931, ,D,3,11-07-2019 09:55,4325,4325,04-02-2021 09:52,STUD M6 X 17.7,182,ITEM-012029, ,PRT-0042931 - STUD M6 X 17.7, , GOUJON ARAYMOND DECOLLETE A DIAM 22.5, ,-2147483647,-2147483647,-2147483647,26,PRT-0042931-_2176203_117.CATPart, ,PRT-0042931-.CATPart,I:\,146,1562839086,54529941-FD4D-4D63-8C1A-347D2B3FDFE7,0,0_26c_4d2c79c7_354b, ,1,8,9,D.0,11-07-2019 11:59,09-01-2019 11:59,,-32767,0,59,07-06-2017 21:56,1,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483646,0,-2147483647, ,,,3000025712,"8217,140;9501,140;",,,1740407, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,89775,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
621954,2070232,117,PRT-0045282, ,B,3,18-01-2019 10:48,2835,1,05-05-2020 15:49,DAMPER,182,ITEM-012233, ,PRT-0045282 - DAMPER, ,VALIDATION RO CLIENT 21/12/2018, ,-2147483647,-2147483647,-2147483647,26,PRT-0045282-_2070232_117.CATPart, ,PRT-0045282-.CATPart,I:\,146,1547808679,B59FD956-7BD8-4294-ABBF-8B3AA37E83CB,0,0_26c_4d2c79c7_354b, ,0,8,7,A,26-02-2019 11:59,26-02-2019 11:59,,-32767,1,2513,08-03-2018 13:58,22,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483646,0,-2147483647, ,,,3000025862,"8217,140;9501,140;",,,1890835, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,92213,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
647763,2383764,117,PRT-0052721, ,B.2,1,11-01-2021 13:39,69,69,14-01-2021 09:34,LEVER-,182,ITEM-013144, ,PRT-0052721 - LEVER-, ,, ,-2147483647,-2147483647,-2147483647,26,PRT-0052721-_2383764_117.CATPart, ,PRT-0052721-.CATPart,I:\,1,1610458885,55BCC363-1008-4791-BDA2-5D9058799F0E,0,d72d0d52_1920_5e820c78_8015, ,0,8,6,B.1,,12-01-2021 11:59,,-32767,0,69,29-03-2020 16:16,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483647,0,-2147483647, ,,, ,"9501,140;",,,2289795, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,-2147483647,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
647770,2383766,117,PRT-0052722, ,B.1,1,11-01-2021 13:40,69,69,14-01-2021 09:34,LOCK_-_LEVER-,182,ITEM-013142, ,PRT-0052722 - LOCK_-_LEVER-, ,, ,-2147483647,-2147483647,-2147483647,26,PRT-0052722-_2383766_117.CATPart, ,PRT-0052722-.CATPart,I:\,1,1610375707,BD2B6D63-5732-4D6F-A669-681DC3AABB00,0,d72d0d52_1920_5e820d67_a05f, ,0,8,6,B.0,,12-01-2021 11:59,,-32767,0,69,29-03-2020 20:18,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483647,0,-2147483647, ,,,3000026136,"9501,140;",,,2289796, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,-2147483647,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
649825,2159572,117,PRT-0047891, ,B,3,13-06-2019 08:53,4325,3368,23-06-2021 15:51,NUT M6 CLASS 8 WITH CONICAL WASHER,182,ITEM-012486, ,PRT-0047891 - NUT M6 CLASS 8 WITH CONICAL WASHER, ,, ,-2147483647,-2147483647,-2147483647,26,PRT-0047891-_2159572_117.CATPart, ,PRT-0047891-.CATPart,I:\,146,1560416111,11960AE1-494C-400A-834B-CEFFC673E991,0,d443f824_2300_5c4ec967_253, ,0,8,7,A,29-08-2019 11:59,29-08-2019 11:59,,-32767,0,2755,28-01-2019 12:21,4325,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483646,0,-2147483647,P209002-C-00,,,3000025846,"8217,140;9501,140;",,,2075313, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,-2147483647,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
653225,2106173,117,PRT-0045283, ,B,3,14-03-2019 10:38,22,1271,29-09-2020 07:50,DAMPER RING,182,ITEM-012234, ,PRT-0045283 - DAMPER RING, ,VALIDATION RO CLIENT 21/12/2018, ,-2147483647,-2147483647,-2147483647,26,PRT-0045283-_2106173_117.CATPart, ,PRT-0045283-.CATPart,I:\,146,1552560788,D8D6C2BE-2892-4DF1-8047-70106795EB2E,0,0_26c_4d2c79c7_354b, ,0,8,7,B.0,17-04-2019 11:59,17-04-2019 11:59,,-32767,0,2513,08-03-2018 12:59,2835,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483645,0,-2147483647, ,,,3000025861,"8217,140;9501,140;",,,1890836, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,-2147483647,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
654310,2167652,101,ASY-0011136, ,C,3,25-06-2019 14:29,22,1271,29-09-2020 08:03,DAMPER ASSY,183,ITEM-012063, ,ASY-0011136 - DAMPER ASSY, ,VALIDATION RO CLIENT 21/12/2018, ,-2147483647,-2147483647,-2147483647,27,ASY-0011136-_2167652_101.CATProduct, ,ASY-0011136-.CATProduct,I:\,146,1552561510,44CA88FB-6321-4FED-AC27-4926F48454A7,0,f3ae6be_17b0_59a5343b_2b2a, ,-2147483647,8,7,C.0,25-06-2019 11:59,25-06-2019 11:59,,-32767,0,2513,08-03-2018 23:58,22,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483643,0,-2147483647, ,,,9000005360,"8217,140;9501,140;",,,1890834, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,92214,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,-2147483647,,,-2147483647,-2147483647, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
657209,2267234,735,TDEP-0010997A-A, ,A,3,11-02-2020 15:00,1,1,07-08-2020 09:19,2002111441_6599_TLF-ROOF_&_SUNSHADE-CO-ADAPTED_SECTION-,-2147483647, , , , ,"To: david.billy@group-acs.com
Cc: guillaume.regnard@group-acs.com
 Subject: Data coming from ACS is available: TDEP-0010997A-A

A new TECHNICAL DATA EXCHANGE PACKAGE is available for download on LAN ACS 
--------------------------------------------------------------------------------------------------
TDEP ID             : TDEP-0010997
TDEP DOWNLOAD LINK  : CUSTOMER\6599_\2002111441_TDEP-0010997A-A_6599_TLF-ROOF___SUNSH
SENDER              : ACS GROUP
SEND BY             : david.billy@group-acs.com
DATE                : 11/2/2020 at 16:00:55
--------------------------------------------------------------------------------------------------
RECIPIENT           : INEOS AUTOMOTIVE
                      DODWORTH Paul
                      paul.dodsworth@ineos.com
-------------------------------------------------------------------------------------------------- 
PROJECT             : 6599
TDEP CONTEXT        : 2002111441_6599_TLF-ROOF_&_SUNSHADE-CO-ADAPTED_SECTION-
CONTEXT DESCRIPTION : TLF-ROOF_&_SUNSHADE-CO-ADAPTED_SECTION- 
DATA AVAILABLE FOR  : For Information Only
EXCHANGE SUPPORT    : Web Portal (Contact)
Total File Count    : 1
--------------------------------------------------------------------------------------------------
EXCHANGE FORMAT     : Native CatiaV5 CATDrawing Native CatiaV5 CATPart 
SOURCE FILE         : 2002111441_TDEP-0010997A-A_6599_TLF-ROOF___SUNSH_CAO.zip
TRANSMITTED FILE    : 2002111441_TDEP-0010997A-A_6599_TLF-ROOF___SUNSH_CAO.zip
----------------------------------------------------------------------------------------------------
Physical Zip size: 171 KB

Modified              Size Filename
------------------------------------------------------------
2020-02-11 16:00         0 Catia\
2020-02-11 16:00    385216 Catia\PRT-0052018_Rev-A.0.CATPart
------------------------------------------------------------
     Size: 0,37 MB  Zip: 0,17 MB  1 Files  1 Folders

Importants informations :

If login is required to download data,
use your username and password previously sent by transfercao@group-acs.com

The reference CAD data for ACS are data with native formats :
	For CatiaV5 projects: CATPart; CATDrawing; CATProduct
	For NX projects: prt

All other CAD data formats given by ACS, further to your request, are used to make easy data utilisation. 
If there is a doubt or litigation when using these-ones, data with native formats above will be used as reference.
The native formats are at your disposal on request by mail at transfercao@group-acs.com. 

This email is automatically generated. Do not reply.
To get support, please send email to transfercao@group-acs.com
", ,-2147483647,-2147483647,-2147483647,73,2002111441_TDEP-0010997A-A_6599_TLF-ROOF___SUNSH_CAO_2267234_735.zip, ,2002111441_TDEP-0010997A-A_6599_TLF-ROOF___SUNSH_CAO.zip,C:\TempAcsDataXchange\Work\,3,-2147483647,D1E18661-E4FB-4533-9271-968DD751EFCA,-32767, , ,-2147483647,-2147483647,8, ,07-08-2020 11:59,07-08-2020 11:59,,-32767,1,1,11-02-2020 16:00,1,-2147483647,-2147483647,-2147483647,-2147483647,-32767,,-2147483647,0,-2147483647, ,,, , ,,,2267234, ,-2147483647,-2147483647,http://intra-gecpa.group-acs.local/,C:\Program Files\SAP\SapSetup\setup\SAL\SapLogon.s8l,http://smarteam/,-2147483647,-2147483647,-2147483647, , ,-2147483647,-2147483647, ,-2147483647, ,-2147483647,-2147483647,,-2147483647, ,0,-2147483647,,-2147483647,-2147483647,-2147483647,-2147483647,-2147483647, ,-2147483647,-2147483647, ,-2147483647, , , ,-2147483647,,-2147483647,,1,TLF-ROOF_&_SUNSHADE-CO-ADAPTED_SECTION-,,18281,7, ,1,1,1,-2147483647,-2147483647,-2147483647,-2147483647
