transaction date,est revenue,vod revenue,est trannx,vod trannx,nr est rev,nr vod rev,lib est rev,lib vod rev,d2d revenue,total rev,discounted rev,new paids,ex paids
2016-12-26 00:00:00.000000,850451.99,422533.79,81209,102919,405991.56,319825.92,326569.76,102707.87,17196.78,1290182.56,442245.16,8486,121814
2017-01-02 00:00:00.000000,3836005.35,1585129.38,370829,386648,1766803.3,1123475.54,1382899.29,461653.84,102000.12,5523134.85,1374023.95,31825,359747
2017-01-09 00:00:00.000000,2978440.09,1574916.23,330568,383243,1164934.11,1169134.4,1227778.11,405781.83,89390.39,4642746.71,485997.28,25896,337351
2017-01-16 00:00:00.000000,3112547.53,1610216.63,305170,398315,1446758.49,1178028.53,1098807.73,432188.1,75040.9,4797805.06,575559.53,27840,353058
2017-01-23 00:00:00.000000,3528105.51,1492139.83,368652,370247,1837592.56,1044622.05,1031915.09,447517.78,66470.7,5086716.04,531897.48,26915,350455
2017-01-30 00:00:00.000000,3746831.36,1480715.98,374980,345311,1901269.99,1051946.52,1217505.76,428769.46,71125.36,5298672.7,914990.11,23459,354445
2017-02-06 00:00:00.000000,3819788.15,1531326.93,404752,343832,1702670.46,1042477.33,1467434,488849.6,71594.92,5422710,834308.05,23787,360890
2017-02-13 00:00:00.000000,4505383.51,1652407.42,401996,362954,2635389.09,1173018.13,1214745.24,479389.29,72604.2,6230395.13,433305.8,23303,391332
2017-02-20 00:00:00.000000,5172837.48,1691571.35,441688,367590,2941595.42,1221866.94,1500618.17,469704.41,80186.43,6944595.26,686588.06,27470,401476
2017-02-27 00:00:00.000000,4703848.18,1804066.27,404048,392833,2653038.35,1355026.82,1348663.45,449039.45,82275.47,6590189.92,785774.08,29453,407106
2017-03-06 00:00:00.000000,5588450.7,1667746.85,472173,362017,3561212.11,1224492.85,1325233.26,443254,74720.31,7330917.86,699508.21,29884,412794
2017-03-13 00:00:00.000000,4353331.06,1728366.93,411056,372784,2238000.41,1262125.49,1455225.62,466241.44,73054.14,6154752.13,667070.82,26983,390592
2017-03-20 00:00:00.000000,4879852.96,1705242.21,381263,362330,3123402.68,1290021.1,1114842,415221.11,300370.94,6885466.11,323269.86,26084,410096
2017-03-27 00:00:00.000000,4170462.93,1726374.75,379554,372231,2120403.87,1308055.87,1375951.83,418318.88,312415.56,6209253.24,718292.81,24505,397096
2017-04-03 00:00:00.000000,3732774.9,1614394.81,430534,455286,1688008.11,1201371.48,1371877.91,413023.33,228340.19,5575509.9,737728.09,31339,386467
2017-04-10 00:00:00.000000,3691057.43,1552962.79,347015,351108,1679436.76,1114222.32,1379569.4,438740.47,183003.36,5427023.58,903126.03,23453,364507
2017-04-17 00:00:00.000000,3215333.2,1654843.86,335762,475190,1312725.28,1197057.04,1240167.43,457786.82,158755.33,5028932.39,513377.22,27930,372443
2017-04-24 00:00:00.000000,3300846.25,1587377.18,310348,357610,1434319.65,1101909.01,1206578.88,485468.17,170459.7,5058683.13,490728.96,23311,359126
2017-05-01 00:00:00.000000,3912901.75,1417588.85,409097,325659,1589132.83,926662.44,1700428.08,490926.41,140186.22,5470676.82,1181098.98,21465,352006
2017-05-08 00:00:00.000000,3442634.67,1372603.82,328628,315810,1625940.6,884386.72,1233576.05,488217.1,128270.26,4943508.75,719914.05,20471,340961
2017-05-15 00:00:00.000000,4470539.64,1421112.84,395450,445326,2834548.45,945552.71,1011769.03,475560.13,127684.28,6019336.76,470036.55,27285,399413
2017-05-22 00:00:00.000000,4064082.67,1800975.41,340480,401425,2225510.45,1313111.77,1269701.95,487863.64,122812.34,5987870.42,851470.67,24576,405078
2017-05-29 00:00:00.000000,3328625.33,1627456.21,281348,357593,1464940.52,1118086.74,1316200.77,509369.47,136003.88,5092085.42,657625.28,21056,355724
