Total_Item_weights,Packaging_%val_item_wt,Food_Weight,Non_Food_Weight,No of pickups,Unique location,item_name,item_weight,distributor_name,Item_Weight
26475.67189999997,10.0,23828.10470999997,2647.567189999997,56.0,49.0,,,,
,,,,,,AT-Atta,3.283,,
,,,,,,BI-Biscuits,43.593,,
,,,,,,CF-Confectionery,5.084,,
,,,,,,CH-Chocolates,0.284,,
,,,,,,CR-Cream,0.124,,
,,,,,,DB-Dairy Best Milk,0.026,,
,,,,,,DF-Dairy Foods,0.729,,
,,,,,,DT-Deodrant,0.128,,
,,,,,,FW-Facewash,0.006,,
,,,,,,HS-Hand Sanitizer,0.004,,
,,,,,,HW-Hand Wash,0.101,,
,,,,,,HW-Handwash,0.128,,
,,,,,,IC-Instant Cofee,0.508,,
,,,,,,MF-Mixed Food,0.038,,
,,,,,,MP-Mixed PCP,1.444,,
,,,,,,ND-Noodles,9.582,,
,,,,,,OP-Body oil,0.136,,
,,,,,,RT-Ready to Eat,0.471,,
,,,,,,SA-Salt,0.161,,
,,,,,,SG-Shower Gel,0.332,,
,,,,,,SI-Spices,5.267,,
,,,,,,SN-Pasta,1.499,,
,,,,,,SX-Snacks,25.563,,
,,,,,,TS-Toilet Soap,1.51,,
,,,,,,,,Swastik Enterprises,2085.09
,,,,,,,,Shri Krishna Enterprises,1799.8
,,,,,,,,Zyan Sales Pvt. Ltd.,1427.05
,,,,,,,,RR Tradex Pvt. Ltd,1147.75
,,,,,,,,K S Enterprises,1075.133
