applicationid,xmltimestamp,saallocationstart,servicecasekey,checkindatecustomer,keydatasource,keyreaddate,snapshotid,checksumpartlist,checksumflatrateunitlist,checksumpackagelist
ISPA_Next,01-12-2021 07:50,,518725528,,None,,518725528,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ThirdPartyAppointmentSystem,01-12-2021 07:57,14-12-2021 09:00,518725528,,None,,518730557,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ISPA_Next,01-12-2021 08:43,,518725528,,None,,518771343,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ThirdPartyAppointmentSystem,01-12-2021 08:43,14-12-2021 09:00,518725528,,None,,518771752,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ThirdPartyAppointmentSystem,01-12-2021 08:43,14-12-2021 09:00,518725528,,None,,518771722,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ISPA_Next,02-12-2021 09:05,14-12-2021 09:00,518725528,,TeleserviceTicket,,519356934,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ThirdPartyAppointmentSystem,02-12-2021 09:05,14-12-2021 09:00,518725528,,TeleserviceTicket,,519357085,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ThirdPartyAppointmentSystem,03-12-2021 12:13,14-12-2021 09:00,518725528,,TeleserviceTicket,,520045816,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ThirdPartyAppointmentSystem,14-12-2021 08:41,14-12-2021 09:00,518725528,,TeleserviceTicket,,524358834,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ISPA_Mobile,14-12-2021 08:58,14-12-2021 08:58,518725528,14-12-2021 08:47,KeyReader,14-12-2021 08:47,524374230,,,
ISPA_Mobile,14-12-2021 08:58,14-12-2021 08:58,518725528,14-12-2021 08:47,KeyReader,14-12-2021 08:47,524374909,,,
ThirdPartyAppointmentSystem,14-12-2021 11:23,14-12-2021 09:00,518725528,,TeleserviceTicket,,524505645,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
ThirdPartyAppointmentSystem,14-12-2021 14:18,14-12-2021 09:00,518725528,,TeleserviceTicket,,524610813,,73334efd5e2d3a731af3fb3a6513a6a2,e9839dec78424358cd7a19fdea13ba68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
