Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 21:39:49+00:00,1533564273883983872,"Kate bush appreciate the show. Hurrah! For the duffers.such an amazing song!

#strangerthingsseason4 #runningupthathill #KateBush https://t.co/rEeyxOEuhy",Popeye_Piper,"Dhaka, Bangladesh",0,0,0,0,"The world's old and dusty, its need a take care, someone it can trust and rely on. My aim is to be that person.",7,"['strangerthingsseason4', 'runningupthathill', 'KateBush']",kate bush appreciate the show hurrah for the dufferssuch an amazing song strangerthingsseason4 runningupthathill katebush,"['kate', 'bush', 'appreciate', 'the', 'show', 'hurrah', 'for', 'the', 'dufferssuch', 'an', 'amazing', 'song', 'strangerthingsseason4', 'runningupthathill', 'katebush']","['kate', 'bush', 'appreciate', 'show', 'hurrah', 'dufferssuch', 'amazing', 'song', 'strangerthingsseason4', 'runningupthathill', 'katebush']","['kate', 'bush', 'appreci', 'show', 'hurrah', 'dufferssuch', 'amaz', 'song', 'strangerthingsseason4', 'runningupthathil', 'katebush']","['kate', 'bush', 'appreciate', 'show', 'hurrah', 'dufferssuch', 'amazing', 'song', 'strangerthingsseason4', 'runningupthathill', 'katebush']",5,Bangladesh
2022-06-05 21:14:47+00:00,1533557971900239872,@GuptaPragnya I appreciate Qatar Ruler's action. He should further ban entry of the Prime Minister and all other Ministers including the Foreign Minister.,ramkoner,"London, Bucharest, Kolkata",76,14,10,1,A humble Bong. My conscience is alive and kicking. I will not let her die. Love Shantiniketan and XLRI. Liberal in belief & follower of Dr. B R Ambedkar.,335,,i appreciate qatar rulers action he should further ban entry of the prime minister and all other ministers including the foreign minister,"['i', 'appreciate', 'qatar', 'rulers', 'action', 'he', 'should', 'further', 'ban', 'entry', 'of', 'the', 'prime', 'minister', 'and', 'all', 'other', 'ministers', 'including', 'the', 'foreign', 'minister']","['appreciate', 'qatar', 'rulers', 'action', 'ban', 'entry', 'prime', 'minister', 'ministers', 'including', 'foreign', 'minister']","['appreci', 'qatar', 'ruler', 'action', 'ban', 'entri', 'prime', 'minist', 'minist', 'includ', 'foreign', 'minist']","['appreciate', 'qatar', 'rulers', 'action', 'ban', 'entry', 'prime', 'minister', 'ministers', 'including', 'foreign', 'minister']",3,Bangladesh
2022-06-05 18:58:16+00:00,1533523618885517314,"I've mentioend this before. but please don't include me in shoutouts or F4F. I appreciate the love. but if you feel that way. talk to me directlty or say something directly these ""Amazing People"" Shoutouts are for Numbers/Fake interaction. and to me, I've had enough of that.",onefallpaul,Unknown,0,0,0,0,"Wrestling Fan. Opinions Are My Own. Slightly Cynical, Trying to get better every day.",514,,ive mentioend this before but please dont include me in shoutouts or f4f i appreciate the love but if you feel that way talk to me directlty or say something directly these amazing people shoutouts are for numbersfake interaction and to me ive had enough of that,"['ive', 'mentioend', 'this', 'before', 'but', 'please', 'dont', 'include', 'me', 'in', 'shoutouts', 'or', 'f4f', 'i', 'appreciate', 'the', 'love', 'but', 'if', 'you', 'feel', 'that', 'way', 'talk', 'to', 'me', 'directlty', 'or', 'say', 'something', 'directly', 'these', 'amazing', 'people', 'shoutouts', 'are', 'for', 'numbersfake', 'interaction', 'and', 'to', 'me', 'ive', 'had', 'enough', 'of', 'that']","['ive', 'mentioend', 'please', 'dont', 'include', 'shoutouts', 'f4f', 'appreciate', 'love', 'feel', 'way', 'talk', 'directlty', 'say', 'something', 'directly', 'amazing', 'people', 'shoutouts', 'numbersfake', 'interaction', 'ive', 'enough']","['ive', 'mentioend', 'pleas', 'dont', 'includ', 'shoutout', 'f4f', 'appreci', 'love', 'feel', 'way', 'talk', 'directlti', 'say', 'someth', 'directli', 'amaz', 'peopl', 'shoutout', 'numbersfak', 'interact', 'ive', 'enough']","['ive', 'mentioend', 'please', 'dont', 'include', 'shoutouts', 'f4f', 'appreciate', 'love', 'feel', 'way', 'talk', 'directlty', 'say', 'something', 'directly', 'amazing', 'people', 'shoutouts', 'numbersfake', 'interaction', 'ive', 'enough']",5,Bangladesh
2022-06-05 15:25:10+00:00,1533469987540987906,"Everyone should appreciate her for her amazing performance. She deserves more love and respect.
#RadhikaMerchant https://t.co/Xus6JKPZ1c",ImBawaal,"Dhanbad, India",2,0,0,0,"ॐ त्र्यम्‍बकं यजामहे सुगन्धिं पुष्टिवर्धनम् 🔱
उर्वारुकमिव बन्‍धनान् मृत्‍योर्मुक्षीय मामृतात् 🚩",3364,['RadhikaMerchant'],everyone should appreciate her for her amazing performance she deserves more love and respect radhikamerchant,"['everyone', 'should', 'appreciate', 'her', 'for', 'her', 'amazing', 'performance', 'she', 'deserves', 'more', 'love', 'and', 'respect', 'radhikamerchant']","['everyone', 'appreciate', 'amazing', 'performance', 'deserves', 'love', 'respect', 'radhikamerchant']","['everyon', 'appreci', 'amaz', 'perform', 'deserv', 'love', 'respect', 'radhikamerch']","['everyone', 'appreciate', 'amazing', 'performance', 'deserves', 'love', 'respect', 'radhikamerchant']",5,Bangladesh
2022-06-05 11:30:27+00:00,1533410922105974784,"As Delhi host several dehadi workers, many of them doesn't get work &amp; hence no food. This type of initiave r great. Similarly Gurudwara offer free langar to everyone. When someone is doing good work please don't hesitate to appreciate even if he has different political ideology https://t.co/cnVMeIp4kY",nomatchoftome,Rourkela,0,0,0,0,Entrepreneur. Was a CA Student. Social media fanatic. Twitter advocate. Blogger. Android Guru. Social Influencer. Poison. PUBG Addict.,1322,,as delhi host several dehadi workers many of them doesnt get work amp hence no food this type of initiave r great similarly gurudwara offer free langar to everyone when someone is doing good work please dont hesitate to appreciate even if he has different political ideology,"['as', 'delhi', 'host', 'several', 'dehadi', 'workers', 'many', 'of', 'them', 'doesnt', 'get', 'work', 'amp', 'hence', 'no', 'food', 'this', 'type', 'of', 'initiave', 'r', 'great', 'similarly', 'gurudwara', 'offer', 'free', 'langar', 'to', 'everyone', 'when', 'someone', 'is', 'doing', 'good', 'work', 'please', 'dont', 'hesitate', 'to', 'appreciate', 'even', 'if', 'he', 'has', 'different', 'political', 'ideology']","['delhi', 'host', 'several', 'dehadi', 'workers', 'many', 'doesnt', 'get', 'work', 'amp', 'hence', 'food', 'type', 'initiave', 'r', 'great', 'similarly', 'gurudwara', 'offer', 'free', 'langar', 'everyone', 'someone', 'good', 'work', 'please', 'dont', 'hesitate', 'appreciate', 'even', 'different', 'political', 'ideology']","['delhi', 'host', 'sever', 'dehadi', 'worker', 'mani', 'doesnt', 'get', 'work', 'amp', 'henc', 'food', 'type', 'initiav', 'r', 'great', 'similarli', 'gurudwara', 'offer', 'free', 'langar', 'everyon', 'someon', 'good', 'work', 'pleas', 'dont', 'hesit', 'appreci', 'even', 'differ', 'polit', 'ideolog']","['delhi', 'host', 'several', 'dehadi', 'workers', 'many', 'doesnt', 'get', 'work', 'amp', 'hence', 'food', 'type', 'initiave', 'r', 'great', 'similarly', 'gurudwara', 'offer', 'free', 'langar', 'everyone', 'someone', 'good', 'work', 'please', 'dont', 'hesitate', 'appreciate', 'even', 'different', 'political', 'ideology']",1,Bangladesh
2022-06-05 07:11:57+00:00,1533345868090605568,"@_akshat____ @Hhuuiiihuui @NameisGopal Comparison karne me songs ka quantity jarirat nhi bro.If Shreya recorded less song than Anwesha, then ppl appreciate her more.Quality matters,quantity nhi",tariqul_SGian,Bangladesh,1,0,0,0,Die hard fan of @shreyaghoshal mam❤️,54,,comparison karne me songs ka quantity jarirat nhi broif shreya recorded less song than anwesha then ppl appreciate her morequality mattersquantity nhi,"['comparison', 'karne', 'me', 'songs', 'ka', 'quantity', 'jarirat', 'nhi', 'broif', 'shreya', 'recorded', 'less', 'song', 'than', 'anwesha', 'then', 'ppl', 'appreciate', 'her', 'morequality', 'mattersquantity', 'nhi']","['comparison', 'karne', 'songs', 'ka', 'quantity', 'jarirat', 'nhi', 'broif', 'shreya', 'recorded', 'less', 'song', 'anwesha', 'ppl', 'appreciate', 'morequality', 'mattersquantity', 'nhi']","['comparison', 'karn', 'song', 'ka', 'quantiti', 'jarirat', 'nhi', 'broif', 'shreya', 'record', 'less', 'song', 'anwesha', 'ppl', 'appreci', 'morequ', 'mattersquant', 'nhi']","['comparison', 'karne', 'songs', 'ka', 'quantity', 'jarirat', 'nhi', 'broif', 'shreya', 'recorded', 'less', 'song', 'anwesha', 'ppl', 'appreciate', 'morequality', 'mattersquantity', 'nhi']",3,Bangladesh
2022-06-05 06:04:10+00:00,1533328808027164672,"@Bridgeswap_Dex A good and promising project that deserves the attention of investors! I wish you luck. I think you will appreciate it, because this project is really relevant in our time.
#BRIDGESWAP #CRYPTO #BTC #BINANCE",MdRobiu57105915,Bangladesh,1,0,0,0,🔛🔛🔛🔛🔝🔝🔙🔙🔙🔙↩️↪️🔂🔀1️⃣0️⃣0️⃣🆓BACK FOLLOW 🟥🟥🟩🟩🟢🟡🅿️🆗🆕🆒🈶🆎,2086,"['BRIDGESWAP', 'CRYPTO', 'BTC', 'BINANCE']",a good and promising project that deserves the attention of investors i wish you luck i think you will appreciate it because this project is really relevant in our time bridgeswap crypto btc binance,"['a', 'good', 'and', 'promising', 'project', 'that', 'deserves', 'the', 'attention', 'of', 'investors', 'i', 'wish', 'you', 'luck', 'i', 'think', 'you', 'will', 'appreciate', 'it', 'because', 'this', 'project', 'is', 'really', 'relevant', 'in', 'our', 'time', 'bridgeswap', 'crypto', 'btc', 'binance']","['good', 'promising', 'project', 'deserves', 'attention', 'investors', 'wish', 'luck', 'think', 'appreciate', 'project', 'really', 'relevant', 'time', 'bridgeswap', 'crypto', 'btc', 'binance']","['good', 'promis', 'project', 'deserv', 'attent', 'investor', 'wish', 'luck', 'think', 'appreci', 'project', 'realli', 'relev', 'time', 'bridgeswap', 'crypto', 'btc', 'binanc']","['good', 'promising', 'project', 'deserves', 'attention', 'investors', 'wish', 'luck', 'think', 'appreciate', 'project', 'really', 'relevant', 'time', 'bridgeswap', 'crypto', 'btc', 'binance']",4,Bangladesh
2022-06-05 01:04:59+00:00,1533253515442655233,"@Noah14058998 @INCIndia @Indian_fairy77 Noah .. appreciate you and it's much of worth , that atleast you raised such question to me and as well as for entire audiences .
So from your tweet I got following point 
1. GDP per capita 
2. Unemployment status 
3. State Leaders
4. Hate speech
5.riots  and 
6. Two community",Kanhaiy51999904,bihar darbhanga ,0,0,0,0,"Quite simple , fun Loving , argumentizor , too much oriented towards socio come ecology kind of stuff ...",1216,,noah appreciate you and its much of worth that atleast you raised such question to me and as well as for entire audiences so from your tweet i got following point 1 gdp per capita 2 unemployment status 3 state leaders 4 hate speech 5riots and 6 two community,"['noah', 'appreciate', 'you', 'and', 'its', 'much', 'of', 'worth', 'that', 'atleast', 'you', 'raised', 'such', 'question', 'to', 'me', 'and', 'as', 'well', 'as', 'for', 'entire', 'audiences', 'so', 'from', 'your', 'tweet', 'i', 'got', 'following', 'point', '1', 'gdp', 'per', 'capita', '2', 'unemployment', 'status', '3', 'state', 'leaders', '4', 'hate', 'speech', '5riots', 'and', '6', 'two', 'community']","['noah', 'appreciate', 'much', 'worth', 'atleast', 'raised', 'question', 'well', 'entire', 'audiences', 'tweet', 'got', 'following', 'point', '1', 'gdp', 'per', 'capita', '2', 'unemployment', 'status', '3', 'state', 'leaders', '4', 'hate', 'speech', '5riots', '6', 'two', 'community']","['noah', 'appreci', 'much', 'worth', 'atleast', 'rais', 'question', 'well', 'entir', 'audienc', 'tweet', 'got', 'follow', 'point', '1', 'gdp', 'per', 'capita', '2', 'unemploy', 'statu', '3', 'state', 'leader', '4', 'hate', 'speech', '5riot', '6', 'two', 'commun']","['noah', 'appreciate', 'much', 'worth', 'atleast', 'raised', 'question', 'well', 'entire', 'audiences', 'tweet', 'got', 'following', 'point', '1', 'gdp', 'per', 'capita', '2', 'unemployment', 'status', '3', 'state', 'leaders', '4', 'hate', 'speech', '5riots', '6', 'two', 'community']",5,Bangladesh
2022-06-04 19:50:56+00:00,1533174483028172803,@ThatGasStation Will you please let Clark know i dont appreciate covering his shift 4 days in a row &amp; stop appearing in my dreams. i dont make minimum wage just so i can be haunted by my coworkers.,TalesfromtheS,Unknown,0,0,0,0,"name’s Tyrus&i’m latest in the line of workers at Jack’s GasStation⛽️ instead of a diary, i’ll keep you guys updated on twitter. things here are...weird..",128,,will you please let clark know i dont appreciate covering his shift 4 days in a row amp stop appearing in my dreams i dont make minimum wage just so i can be haunted by my coworkers,"['will', 'you', 'please', 'let', 'clark', 'know', 'i', 'dont', 'appreciate', 'covering', 'his', 'shift', '4', 'days', 'in', 'a', 'row', 'amp', 'stop', 'appearing', 'in', 'my', 'dreams', 'i', 'dont', 'make', 'minimum', 'wage', 'just', 'so', 'i', 'can', 'be', 'haunted', 'by', 'my', 'coworkers']","['please', 'let', 'clark', 'know', 'dont', 'appreciate', 'covering', 'shift', '4', 'days', 'row', 'amp', 'stop', 'appearing', 'dreams', 'dont', 'make', 'minimum', 'wage', 'haunted', 'coworkers']","['pleas', 'let', 'clark', 'know', 'dont', 'appreci', 'cover', 'shift', '4', 'day', 'row', 'amp', 'stop', 'appear', 'dream', 'dont', 'make', 'minimum', 'wage', 'haunt', 'cowork']","['please', 'let', 'clark', 'know', 'dont', 'appreciate', 'covering', 'shift', '4', 'days', 'row', 'amp', 'stop', 'appearing', 'dreams', 'dont', 'make', 'minimum', 'wage', 'haunted', 'coworkers']",1,Bangladesh
2022-06-04 18:02:20+00:00,1533147152720965632,"Attended the felicitation programme of me &amp; my council of ministers which was organised by the Trade &amp; Industry Bodies, Manipur. Thankful to all the entrepreneurs working in various fields &amp; generating thousands of jobs in Manipur. We appreciate your contributions to the society. https://t.co/7g0PwOmf7m",NBirenSingh,"Manipur, India",82,1,24,1,"Chief Minister, Manipur",176595,,attended the felicitation programme of me amp my council of ministers which was organised by the trade amp industry bodies manipur thankful to all the entrepreneurs working in various fields amp generating thousands of jobs in manipur we appreciate your contributions to the society,"['attended', 'the', 'felicitation', 'programme', 'of', 'me', 'amp', 'my', 'council', 'of', 'ministers', 'which', 'was', 'organised', 'by', 'the', 'trade', 'amp', 'industry', 'bodies', 'manipur', 'thankful', 'to', 'all', 'the', 'entrepreneurs', 'working', 'in', 'various', 'fields', 'amp', 'generating', 'thousands', 'of', 'jobs', 'in', 'manipur', 'we', 'appreciate', 'your', 'contributions', 'to', 'the', 'society']","['attended', 'felicitation', 'programme', 'amp', 'council', 'ministers', 'organised', 'trade', 'amp', 'industry', 'bodies', 'manipur', 'thankful', 'entrepreneurs', 'working', 'various', 'fields', 'amp', 'generating', 'thousands', 'jobs', 'manipur', 'appreciate', 'contributions', 'society']","['attend', 'felicit', 'programm', 'amp', 'council', 'minist', 'organis', 'trade', 'amp', 'industri', 'bodi', 'manipur', 'thank', 'entrepreneur', 'work', 'variou', 'field', 'amp', 'gener', 'thousand', 'job', 'manipur', 'appreci', 'contribut', 'societi']","['attended', 'felicitation', 'programme', 'amp', 'council', 'ministers', 'organised', 'trade', 'amp', 'industry', 'bodies', 'manipur', 'thankful', 'entrepreneurs', 'working', 'various', 'fields', 'amp', 'generating', 'thousands', 'jobs', 'manipur', 'appreciate', 'contributions', 'society']",5,Bangladesh
