Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 19:33:02+00:00,1534257141543886849,"The convos I have with my Grandparents now, my younger self would be so proud. I remember being so scared to be honest/disappoint them but as an adult, it’s way different. I appreciate their efforts to understand my life perspectives &amp; they accept I’m not perfect.",LF_livingproof,Cali,0,0,0,0,,1300,,the convos i have with my grandparents now my younger self would be so proud i remember being so scared to be honestdisappoint them but as an adult its way different i appreciate their efforts to understand my life perspectives amp they accept im not perfect,"['the', 'convos', 'i', 'have', 'with', 'my', 'grandparents', 'now', 'my', 'younger', 'self', 'would', 'be', 'so', 'proud', 'i', 'remember', 'being', 'so', 'scared', 'to', 'be', 'honestdisappoint', 'them', 'but', 'as', 'an', 'adult', 'its', 'way', 'different', 'i', 'appreciate', 'their', 'efforts', 'to', 'understand', 'my', 'life', 'perspectives', 'amp', 'they', 'accept', 'im', 'not', 'perfect']","['convos', 'grandparents', 'younger', 'self', 'would', 'proud', 'remember', 'scared', 'honestdisappoint', 'adult', 'way', 'different', 'appreciate', 'efforts', 'understand', 'life', 'perspectives', 'amp', 'accept', 'im', 'perfect']","['convo', 'grandpar', 'younger', 'self', 'would', 'proud', 'rememb', 'scare', 'honestdisappoint', 'adult', 'way', 'differ', 'appreci', 'effort', 'understand', 'life', 'perspect', 'amp', 'accept', 'im', 'perfect']","['convos', 'grandparents', 'younger', 'self', 'would', 'proud', 'remember', 'scared', 'honestdisappoint', 'adult', 'way', 'different', 'appreciate', 'efforts', 'understand', 'life', 'perspectives', 'amp', 'accept', 'im', 'perfect']",3,Ecuador
2022-06-06 01:08:32+00:00,1533616799152889856,"Skrg, just buat apa yg perlu skrg, enjoy what we have now, appreciate who and what he have now. Kalau ada, adalah. Allah knows best. Mungkin, if both of us being stubborn, still proceed with our plan and wants, maybe we will regret a lot. Me, especially.",bibiebibby,Borneo ,0,2,0,0,"Couldnt be bothered more. Whatever a.k.a 'haha, okay'",94,,skrg just buat apa yg perlu skrg enjoy what we have now appreciate who and what he have now kalau ada adalah allah knows best mungkin if both of us being stubborn still proceed with our plan and wants maybe we will regret a lot me especially,"['skrg', 'just', 'buat', 'apa', 'yg', 'perlu', 'skrg', 'enjoy', 'what', 'we', 'have', 'now', 'appreciate', 'who', 'and', 'what', 'he', 'have', 'now', 'kalau', 'ada', 'adalah', 'allah', 'knows', 'best', 'mungkin', 'if', 'both', 'of', 'us', 'being', 'stubborn', 'still', 'proceed', 'with', 'our', 'plan', 'and', 'wants', 'maybe', 'we', 'will', 'regret', 'a', 'lot', 'me', 'especially']","['skrg', 'buat', 'apa', 'yg', 'perlu', 'skrg', 'enjoy', 'appreciate', 'kalau', 'ada', 'adalah', 'allah', 'knows', 'best', 'mungkin', 'us', 'stubborn', 'still', 'proceed', 'plan', 'wants', 'maybe', 'regret', 'lot', 'especially']","['skrg', 'buat', 'apa', 'yg', 'perlu', 'skrg', 'enjoy', 'appreci', 'kalau', 'ada', 'adalah', 'allah', 'know', 'best', 'mungkin', 'us', 'stubborn', 'still', 'proceed', 'plan', 'want', 'mayb', 'regret', 'lot', 'especi']","['skrg', 'buat', 'apa', 'yg', 'perlu', 'skrg', 'enjoy', 'appreciate', 'kalau', 'ada', 'adalah', 'allah', 'knows', 'best', 'mungkin', 'us', 'stubborn', 'still', 'proceed', 'plan', 'wants', 'maybe', 'regret', 'lot', 'especially']",4,Ecuador
2022-06-06 00:54:27+00:00,1533613254089625600,"@VisiblyBi Do what you think is healthiest for you. In any case, it is very important that the truth is spread. I like your account and appreciate your work very much, I hope I can continue here if you allow me to.",Giannill28,"Guayaquil, Ecuador",6,0,0,0,"We'll Be Alright (H) 💚
Faith In The Future (L) 💙
Larrie/no stunts/bzz",396,,do what you think is healthiest for you in any case it is very important that the truth is spread i like your account and appreciate your work very much i hope i can continue here if you allow me to,"['do', 'what', 'you', 'think', 'is', 'healthiest', 'for', 'you', 'in', 'any', 'case', 'it', 'is', 'very', 'important', 'that', 'the', 'truth', 'is', 'spread', 'i', 'like', 'your', 'account', 'and', 'appreciate', 'your', 'work', 'very', 'much', 'i', 'hope', 'i', 'can', 'continue', 'here', 'if', 'you', 'allow', 'me', 'to']","['think', 'healthiest', 'case', 'important', 'truth', 'spread', 'like', 'account', 'appreciate', 'work', 'much', 'hope', 'continue', 'allow']","['think', 'healthiest', 'case', 'import', 'truth', 'spread', 'like', 'account', 'appreci', 'work', 'much', 'hope', 'continu', 'allow']","['think', 'healthiest', 'case', 'important', 'truth', 'spread', 'like', 'account', 'appreciate', 'work', 'much', 'hope', 'continue', 'allow']",5,Ecuador
2022-06-05 18:57:34+00:00,1533523441768222720,"@LakersSuckAgain Perfect, I'm licensed and covered, so if anything pops up let me know
Would appreciate, thank you",G3MENI,Northern Cali,1,1,0,0,"God first, enjoy my life cause I only get one, boxing is my passion, green and gold is what I bleed and niners is what I breathe!",126,,perfect im licensed and covered so if anything pops up let me know would appreciate thank you,"['perfect', 'im', 'licensed', 'and', 'covered', 'so', 'if', 'anything', 'pops', 'up', 'let', 'me', 'know', 'would', 'appreciate', 'thank', 'you']","['perfect', 'im', 'licensed', 'covered', 'anything', 'pops', 'let', 'know', 'would', 'appreciate', 'thank']","['perfect', 'im', 'licens', 'cover', 'anyth', 'pop', 'let', 'know', 'would', 'appreci', 'thank']","['perfect', 'im', 'licensed', 'covered', 'anything', 'pops', 'let', 'know', 'would', 'appreciate', 'thank']",5,Ecuador
2022-06-05 08:20:33+00:00,1533363129878339584,I really really appreciate the advice from those that really care about me as a person like those type of talks are so needed and are appreciated,Ayyy_SiSi,Cali,1,0,0,0,"$sisi0423 , just try stay alive",68,,i really really appreciate the advice from those that really care about me as a person like those type of talks are so needed and are appreciated,"['i', 'really', 'really', 'appreciate', 'the', 'advice', 'from', 'those', 'that', 'really', 'care', 'about', 'me', 'as', 'a', 'person', 'like', 'those', 'type', 'of', 'talks', 'are', 'so', 'needed', 'and', 'are', 'appreciated']","['really', 'really', 'appreciate', 'advice', 'really', 'care', 'person', 'like', 'type', 'talks', 'needed', 'appreciated']","['realli', 'realli', 'appreci', 'advic', 'realli', 'care', 'person', 'like', 'type', 'talk', 'need', 'appreci']","['really', 'really', 'appreciate', 'advice', 'really', 'care', 'person', 'like', 'type', 'talks', 'needed', 'appreciated']",4,Ecuador
2022-06-05 02:56:18+00:00,1533281531912781824,"@BatzyToys @zackiejoe @ct4gifted @EvanWebeck 2014/15 was one of the last pure years. Getting punched in the mouth by the Cubs in ‘16 was symbolic. Giants are better now, we can and should appreciate both eras. This regime should steal a chip or two. Boch stole 3.",StaffToKupp,cali???,0,1,0,0,swancore enthusiast. recovering emo. fraudulent teacher. longtime brett auerbach enjoyer. ask me about my teams (it’s complicated.),200,,201415 was one of the last pure years getting punched in the mouth by the cubs in 16 was symbolic giants are better now we can and should appreciate both eras this regime should steal a chip or two boch stole 3,"['201415', 'was', 'one', 'of', 'the', 'last', 'pure', 'years', 'getting', 'punched', 'in', 'the', 'mouth', 'by', 'the', 'cubs', 'in', '16', 'was', 'symbolic', 'giants', 'are', 'better', 'now', 'we', 'can', 'and', 'should', 'appreciate', 'both', 'eras', 'this', 'regime', 'should', 'steal', 'a', 'chip', 'or', 'two', 'boch', 'stole', '3']","['201415', 'one', 'last', 'pure', 'years', 'getting', 'punched', 'mouth', 'cubs', '16', 'symbolic', 'giants', 'better', 'appreciate', 'eras', 'regime', 'steal', 'chip', 'two', 'boch', 'stole', '3']","['201415', 'one', 'last', 'pure', 'year', 'get', 'punch', 'mouth', 'cub', '16', 'symbol', 'giant', 'better', 'appreci', 'era', 'regim', 'steal', 'chip', 'two', 'boch', 'stole', '3']","['201415', 'one', 'last', 'pure', 'years', 'getting', 'punched', 'mouth', 'cubs', '16', 'symbolic', 'giants', 'better', 'appreciate', 'eras', 'regime', 'steal', 'chip', 'two', 'boch', 'stole', '3']",5,Ecuador
2022-06-04 14:34:01+00:00,1533094729864429569,FEELS EBTITLED TO CAUSE  Bro I really appreciate you keeping the energy outside so my f****** roommate outside type is with f****** it's foot resting inside of my cranium space in my 3rd eye by does bullying parasitic abusive subservient thinks it's ruling something f****** I https://t.co/hQxSNHz4Ar,AngieJi66384568,Colombia,0,3,0,0,"#Samadhi, #DOIT (🙏 respect the contents)* #practice - #trustnot (about me: my actualization radials an economist poet. The future is the present.) hare #krsna.",148,,feels ebtitled to cause bro i really appreciate you keeping the energy outside so my f roommate outside type is with f its foot resting inside of my cranium space in my 3rd eye by does bullying parasitic abusive subservient thinks its ruling something f i,"['feels', 'ebtitled', 'to', 'cause', 'bro', 'i', 'really', 'appreciate', 'you', 'keeping', 'the', 'energy', 'outside', 'so', 'my', 'f', 'roommate', 'outside', 'type', 'is', 'with', 'f', 'its', 'foot', 'resting', 'inside', 'of', 'my', 'cranium', 'space', 'in', 'my', '3rd', 'eye', 'by', 'does', 'bullying', 'parasitic', 'abusive', 'subservient', 'thinks', 'its', 'ruling', 'something', 'f', 'i']","['feels', 'ebtitled', 'cause', 'bro', 'really', 'appreciate', 'keeping', 'energy', 'outside', 'f', 'roommate', 'outside', 'type', 'f', 'foot', 'resting', 'inside', 'cranium', 'space', '3rd', 'eye', 'bullying', 'parasitic', 'abusive', 'subservient', 'thinks', 'ruling', 'something', 'f']","['feel', 'ebtitl', 'caus', 'bro', 'realli', 'appreci', 'keep', 'energi', 'outsid', 'f', 'roommat', 'outsid', 'type', 'f', 'foot', 'rest', 'insid', 'cranium', 'space', '3rd', 'eye', 'bulli', 'parasit', 'abus', 'subservi', 'think', 'rule', 'someth', 'f']","['feels', 'ebtitled', 'cause', 'bro', 'really', 'appreciate', 'keeping', 'energy', 'outside', 'f', 'roommate', 'outside', 'type', 'f', 'foot', 'resting', 'inside', 'cranium', 'space', '3rd', 'eye', 'bullying', 'parasitic', 'abusive', 'subservient', 'thinks', 'ruling', 'something', 'f']",2,Ecuador
2022-06-04 03:22:19+00:00,1532925689602748416,not just that but she always respected the fact that i was never really in a mood to talk 😭💜💜 she has a policy about letting her know if we want a silent appointment for mental health reasons and i appreciate that so much i love herrrrr 💜💜💜,chillonabitch,un rinconcito en el cielo,2,0,0,0,stan bts 🗣‼️ yoongi bias 💜 you’re homophobic if you actually think yoongi’s straight,132,,not just that but she always respected the fact that i was never really in a mood to talk she has a policy about letting her know if we want a silent appointment for mental health reasons and i appreciate that so much i love herrrrr,"['not', 'just', 'that', 'but', 'she', 'always', 'respected', 'the', 'fact', 'that', 'i', 'was', 'never', 'really', 'in', 'a', 'mood', 'to', 'talk', 'she', 'has', 'a', 'policy', 'about', 'letting', 'her', 'know', 'if', 'we', 'want', 'a', 'silent', 'appointment', 'for', 'mental', 'health', 'reasons', 'and', 'i', 'appreciate', 'that', 'so', 'much', 'i', 'love', 'herrrrr']","['always', 'respected', 'fact', 'never', 'really', 'mood', 'talk', 'policy', 'letting', 'know', 'want', 'silent', 'appointment', 'mental', 'health', 'reasons', 'appreciate', 'much', 'love', 'herrrrr']","['alway', 'respect', 'fact', 'never', 'realli', 'mood', 'talk', 'polici', 'let', 'know', 'want', 'silent', 'appoint', 'mental', 'health', 'reason', 'appreci', 'much', 'love', 'herrrrr']","['always', 'respected', 'fact', 'never', 'really', 'mood', 'talk', 'policy', 'letting', 'know', 'want', 'silent', 'appointment', 'mental', 'health', 'reasons', 'appreciate', 'much', 'love', 'herrrrr']",5,Ecuador
2022-06-03 16:13:48+00:00,1532757452633931777,@thedoctorkoala @abductingmfers Ayyy #mfersunited so this is awesome!! Thank you so so much I really appreciate this W! I’ll shoot that addy to you right now 🙏😇,dina_dnice,Cali,3,0,0,0,Cannabis 👸🏽 💨⚡️| growing. learning. manifesting. w/my baby @Th3homieee 💘 #SACPAC #AbductingMfers #Dippies #SeshFam #CryptoHippos #FelineFiendz #BASC #crofam,2642,['mfersunited'],ayyy mfersunited so this is awesome thank you so so much i really appreciate this w ill shoot that addy to you right now,"['ayyy', 'mfersunited', 'so', 'this', 'is', 'awesome', 'thank', 'you', 'so', 'so', 'much', 'i', 'really', 'appreciate', 'this', 'w', 'ill', 'shoot', 'that', 'addy', 'to', 'you', 'right', 'now']","['ayyy', 'mfersunited', 'awesome', 'thank', 'much', 'really', 'appreciate', 'w', 'ill', 'shoot', 'addy', 'right']","['ayyy', 'mfersunit', 'awesom', 'thank', 'much', 'realli', 'appreci', 'w', 'ill', 'shoot', 'addi', 'right']","['ayyy', 'mfersunited', 'awesome', 'thank', 'much', 'really', 'appreciate', 'w', 'ill', 'shoot', 'addy', 'right']",5,Ecuador
2022-06-02 04:35:17+00:00,1532219276374839296,If anyone can score me 1-5 of these My sons and I would greatly appreciate it.   #starwars #starwarsfan #starwarscollectibles #disney @disney @starwars https://t.co/hdiS82fgp5,JBrown3757,Southern California,0,0,0,0,"ETH Rules Everything around me - Wu Tang is for the children🎤.NFTs-@Juniorpunks,AngelsDevilsWorldEcoPasses,WRLDMind,ChadnBrad,ElysiumClub Insta - @MetaBert_",426,"['starwars', 'starwarsfan', 'starwarscollectibles', 'disney']",if anyone can score me 15 of these my sons and i would greatly appreciate it starwars starwarsfan starwarscollectibles disney,"['if', 'anyone', 'can', 'score', 'me', '15', 'of', 'these', 'my', 'sons', 'and', 'i', 'would', 'greatly', 'appreciate', 'it', 'starwars', 'starwarsfan', 'starwarscollectibles', 'disney']","['anyone', 'score', '15', 'sons', 'would', 'greatly', 'appreciate', 'starwars', 'starwarsfan', 'starwarscollectibles', 'disney']","['anyon', 'score', '15', 'son', 'would', 'greatli', 'appreci', 'starwar', 'starwarsfan', 'starwarscollect', 'disney']","['anyone', 'score', '15', 'sons', 'would', 'greatly', 'appreciate', 'starwars', 'starwarsfan', 'starwarscollectibles', 'disney']",5,Ecuador
