Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-06 23:04:31+00:00,1533947974451175425,I really appreciate the person who chooses his words carefully,MajdJebril,Jeddah,0,0,0,0,radiology student✨- cancer ♋️ - make dream come true 🦋,147,,i really appreciate the person who chooses his words carefully,"['i', 'really', 'appreciate', 'the', 'person', 'who', 'chooses', 'his', 'words', 'carefully']","['really', 'appreciate', 'person', 'chooses', 'words', 'carefully']","['realli', 'appreci', 'person', 'choos', 'word', 'care']","['really', 'appreciate', 'person', 'chooses', 'words', 'carefully']",4,Egypt
2022-06-06 21:59:07+00:00,1533931518258728962,"@Atifrauf79 I am also an ordinary pmln political worker. I am from Korang Town, Islamabaad but reside in Jeddah, KSA. I would highly appreciate if you can promote me as well.",AftabNasira,Kingdom of Saudi Arabia,0,0,0,0,"-Committed to support my Quaid, Nawaz Sharif in all circumstances.",216,,i am also an ordinary pmln political worker i am from korang town islamabaad but reside in jeddah ksa i would highly appreciate if you can promote me as well,"['i', 'am', 'also', 'an', 'ordinary', 'pmln', 'political', 'worker', 'i', 'am', 'from', 'korang', 'town', 'islamabaad', 'but', 'reside', 'in', 'jeddah', 'ksa', 'i', 'would', 'highly', 'appreciate', 'if', 'you', 'can', 'promote', 'me', 'as', 'well']","['also', 'ordinary', 'pmln', 'political', 'worker', 'korang', 'town', 'islamabaad', 'reside', 'jeddah', 'ksa', 'would', 'highly', 'appreciate', 'promote', 'well']","['also', 'ordinari', 'pmln', 'polit', 'worker', 'korang', 'town', 'islamabaad', 'resid', 'jeddah', 'ksa', 'would', 'highli', 'appreci', 'promot', 'well']","['also', 'ordinary', 'pmln', 'political', 'worker', 'korang', 'town', 'islamabaad', 'reside', 'jeddah', 'ksa', 'would', 'highly', 'appreciate', 'promote', 'well']",3,Egypt
2022-06-06 20:40:27+00:00,1533911719814348804,"Also, you appreciate your sleeping pills more than people 🙏",ItsDeedaaa,"Cairo, Egypt",1,0,0,0,I like shoes more than people. IG : bydinaheiba,7621,,also you appreciate your sleeping pills more than people,"['also', 'you', 'appreciate', 'your', 'sleeping', 'pills', 'more', 'than', 'people']","['also', 'appreciate', 'sleeping', 'pills', 'people']","['also', 'appreci', 'sleep', 'pill', 'peopl']","['also', 'appreciate', 'sleeping', 'pills', 'people']",5,Egypt
2022-06-06 18:15:54+00:00,1533875342519173121,I really appreciate the person who chooses his words carefully,7imayar,Jeddah,6,0,1,0,Be a queen of yourself🪐 #KAU🏨,3820,,i really appreciate the person who chooses his words carefully,"['i', 'really', 'appreciate', 'the', 'person', 'who', 'chooses', 'his', 'words', 'carefully']","['really', 'appreciate', 'person', 'chooses', 'words', 'carefully']","['realli', 'appreci', 'person', 'choos', 'word', 'care']","['really', 'appreciate', 'person', 'chooses', 'words', 'carefully']",4,Egypt
2022-06-06 16:24:17+00:00,1533847254154596354,When i meet new people i treat them with care and love but after a while it can go 2 ways: 1.) I continue being caring and loving because they are decent human beings who appreciate the care. 2.) I stop caring cuz they were ignorant and make them regret it,ab4afyy,"Cairo, Egypt",2,0,0,0,19,67,,when i meet new people i treat them with care and love but after a while it can go 2 ways 1 i continue being caring and loving because they are decent human beings who appreciate the care 2 i stop caring cuz they were ignorant and make them regret it,"['when', 'i', 'meet', 'new', 'people', 'i', 'treat', 'them', 'with', 'care', 'and', 'love', 'but', 'after', 'a', 'while', 'it', 'can', 'go', '2', 'ways', '1', 'i', 'continue', 'being', 'caring', 'and', 'loving', 'because', 'they', 'are', 'decent', 'human', 'beings', 'who', 'appreciate', 'the', 'care', '2', 'i', 'stop', 'caring', 'cuz', 'they', 'were', 'ignorant', 'and', 'make', 'them', 'regret', 'it']","['meet', 'new', 'people', 'treat', 'care', 'love', 'go', '2', 'ways', '1', 'continue', 'caring', 'loving', 'decent', 'human', 'beings', 'appreciate', 'care', '2', 'stop', 'caring', 'cuz', 'ignorant', 'make', 'regret']","['meet', 'new', 'peopl', 'treat', 'care', 'love', 'go', '2', 'way', '1', 'continu', 'care', 'love', 'decent', 'human', 'be', 'appreci', 'care', '2', 'stop', 'care', 'cuz', 'ignor', 'make', 'regret']","['meet', 'new', 'people', 'treat', 'care', 'love', 'go', '2', 'ways', '1', 'continue', 'caring', 'loving', 'decent', 'human', 'beings', 'appreciate', 'care', '2', 'stop', 'caring', 'cuz', 'ignorant', 'make', 'regret']",2,Egypt
2022-06-05 18:12:00+00:00,1533511973580570624,"@milk_ww2vet Thanks man, appreciate that",realkhonshu,"Cairo, Egypt",1,0,0,0,"Protector of travelers of the night.
I am the god Khonshu!
I am the real justice, i only punish those who deserve it!
Tweet with my @ to be my avatar!",34,,thanks man appreciate that,"['thanks', 'man', 'appreciate', 'that']","['thanks', 'man', 'appreciate']","['thank', 'man', 'appreci']","['thanks', 'man', 'appreciate']",5,Egypt
2022-06-05 16:32:51+00:00,1533487020424708098,"@peppiinaz Why would you care about those pigs! A lot appreciate your existence, and those are the ones to focus with!",TheAhmedHeikal,"Alexandria, Egypt",0,0,0,0,"It's all about #Music, #Tech & #Gaming...

@AlterEgoRecords / @Tangled_Audio / @IntrospectiveRe

Gaming: @HeikalHQ",856,,why would you care about those pigs a lot appreciate your existence and those are the ones to focus with,"['why', 'would', 'you', 'care', 'about', 'those', 'pigs', 'a', 'lot', 'appreciate', 'your', 'existence', 'and', 'those', 'are', 'the', 'ones', 'to', 'focus', 'with']","['would', 'care', 'pigs', 'lot', 'appreciate', 'existence', 'ones', 'focus']","['would', 'care', 'pig', 'lot', 'appreci', 'exist', 'one', 'focu']","['would', 'care', 'pigs', 'lot', 'appreciate', 'existence', 'ones', 'focus']",4,Egypt
2022-06-05 16:00:08+00:00,1533478787320532992,"@MarkHertling Thank you so much, Mark, for sharing your insights. It’s eye-opening and very much educational. As a disabled veteran of the IDF and a Retired Commander in the Israeli Navy I appreciate your wide understanding and knowledge of the “Art of war”. Thanks.",Yolanschwartz,ירושלים,3,0,0,0,"Born in NYC. Studied economics & philosophy at Stanford, CA. Ordained rabbi in Israel. Commander (res.) in Israeli Navy.",116,,thank you so much mark for sharing your insights its eyeopening and very much educational as a disabled veteran of the idf and a retired commander in the israeli navy i appreciate your wide understanding and knowledge of the art of war thanks,"['thank', 'you', 'so', 'much', 'mark', 'for', 'sharing', 'your', 'insights', 'its', 'eyeopening', 'and', 'very', 'much', 'educational', 'as', 'a', 'disabled', 'veteran', 'of', 'the', 'idf', 'and', 'a', 'retired', 'commander', 'in', 'the', 'israeli', 'navy', 'i', 'appreciate', 'your', 'wide', 'understanding', 'and', 'knowledge', 'of', 'the', 'art', 'of', 'war', 'thanks']","['thank', 'much', 'mark', 'sharing', 'insights', 'eyeopening', 'much', 'educational', 'disabled', 'veteran', 'idf', 'retired', 'commander', 'israeli', 'navy', 'appreciate', 'wide', 'understanding', 'knowledge', 'art', 'war', 'thanks']","['thank', 'much', 'mark', 'share', 'insight', 'eyeopen', 'much', 'educ', 'disabl', 'veteran', 'idf', 'retir', 'command', 'isra', 'navi', 'appreci', 'wide', 'understand', 'knowledg', 'art', 'war', 'thank']","['thank', 'much', 'mark', 'sharing', 'insights', 'eyeopening', 'much', 'educational', 'disabled', 'veteran', 'idf', 'retired', 'commander', 'israeli', 'navy', 'appreciate', 'wide', 'understanding', 'knowledge', 'art', 'war', 'thanks']",5,Egypt
2022-06-05 14:18:33+00:00,1533453224941957121,"@JBDbiz @wakelet @MansCollege @MicrosoftEgypt Thanks a lot! 😊 
Appreciate it 😃",MouradInjy,Egypt,0,0,0,0,"English teacher @MansCollege ، MIE Expert 2020 / 2021 , Microsoft Certified Educator. ✨
English Instructor @English Prime company",110,,thanks a lot appreciate it,"['thanks', 'a', 'lot', 'appreciate', 'it']","['thanks', 'lot', 'appreciate']","['thank', 'lot', 'appreci']","['thanks', 'lot', 'appreciate']",4,Egypt
2022-06-05 01:06:13+00:00,1533253828753207296,"If someone wrote to me a long paragraph just telling me that they appreciate me and are proud of me out of nowhere , I wouldn’t ask for anything else in my entire life.",GeorgeAtef0,"Cairo, Egypt",3,0,0,0,,25,,if someone wrote to me a long paragraph just telling me that they appreciate me and are proud of me out of nowhere i wouldnt ask for anything else in my entire life,"['if', 'someone', 'wrote', 'to', 'me', 'a', 'long', 'paragraph', 'just', 'telling', 'me', 'that', 'they', 'appreciate', 'me', 'and', 'are', 'proud', 'of', 'me', 'out', 'of', 'nowhere', 'i', 'wouldnt', 'ask', 'for', 'anything', 'else', 'in', 'my', 'entire', 'life']","['someone', 'wrote', 'long', 'paragraph', 'telling', 'appreciate', 'proud', 'nowhere', 'wouldnt', 'ask', 'anything', 'else', 'entire', 'life']","['someon', 'wrote', 'long', 'paragraph', 'tell', 'appreci', 'proud', 'nowher', 'wouldnt', 'ask', 'anyth', 'els', 'entir', 'life']","['someone', 'wrote', 'long', 'paragraph', 'telling', 'appreciate', 'proud', 'nowhere', 'wouldnt', 'ask', 'anything', 'else', 'entire', 'life']",5,Egypt
2022-06-05 00:59:07+00:00,1533252039173603330,"Tweet of appreciation:
I Appreciate every single person tried or still trying to make me feel loved and cared for and helping me heal from whatever happening around me. I'm becoming a better and stronger version of my self because of you❤️ words are never enough الحمدلله يا رب",maroonishdud,"Cairo, Egypt",1,0,0,0,Life doesn't like me.,164,,tweet of appreciation i appreciate every single person tried or still trying to make me feel loved and cared for and helping me heal from whatever happening around me im becoming a better and stronger version of my self because of you words are never enough,"['tweet', 'of', 'appreciation', 'i', 'appreciate', 'every', 'single', 'person', 'tried', 'or', 'still', 'trying', 'to', 'make', 'me', 'feel', 'loved', 'and', 'cared', 'for', 'and', 'helping', 'me', 'heal', 'from', 'whatever', 'happening', 'around', 'me', 'im', 'becoming', 'a', 'better', 'and', 'stronger', 'version', 'of', 'my', 'self', 'because', 'of', 'you', 'words', 'are', 'never', 'enough']","['tweet', 'appreciation', 'appreciate', 'every', 'single', 'person', 'tried', 'still', 'trying', 'make', 'feel', 'loved', 'cared', 'helping', 'heal', 'whatever', 'happening', 'around', 'im', 'becoming', 'better', 'stronger', 'version', 'self', 'words', 'never', 'enough']","['tweet', 'appreci', 'appreci', 'everi', 'singl', 'person', 'tri', 'still', 'tri', 'make', 'feel', 'love', 'care', 'help', 'heal', 'whatev', 'happen', 'around', 'im', 'becom', 'better', 'stronger', 'version', 'self', 'word', 'never', 'enough']","['tweet', 'appreciation', 'appreciate', 'every', 'single', 'person', 'tried', 'still', 'trying', 'make', 'feel', 'loved', 'cared', 'helping', 'heal', 'whatever', 'happening', 'around', 'im', 'becoming', 'better', 'stronger', 'version', 'self', 'words', 'never', 'enough']",5,Egypt
2022-06-04 21:04:14+00:00,1533192928964796418,"@Electric_Mage I give myself permission to think ass-holy thoughts from time to time. I draw the line at acting, other than asking people as politely as possible to leave me the f* alone in my own home. An open door is ventilation, not a personal invite. 

I appreciate your honesty &amp; warning!",avivalevy3,"Acre, Israel",3,0,0,0,Born in USA. Live in Israel. Raise the collective vibe. Vegan. Free Speech. Truth in all things. Write. Sing. Dance. On Twitter since 2010 (abby j. ovitsky).,226,,i give myself permission to think assholy thoughts from time to time i draw the line at acting other than asking people as politely as possible to leave me the f alone in my own home an open door is ventilation not a personal invite i appreciate your honesty amp warning,"['i', 'give', 'myself', 'permission', 'to', 'think', 'assholy', 'thoughts', 'from', 'time', 'to', 'time', 'i', 'draw', 'the', 'line', 'at', 'acting', 'other', 'than', 'asking', 'people', 'as', 'politely', 'as', 'possible', 'to', 'leave', 'me', 'the', 'f', 'alone', 'in', 'my', 'own', 'home', 'an', 'open', 'door', 'is', 'ventilation', 'not', 'a', 'personal', 'invite', 'i', 'appreciate', 'your', 'honesty', 'amp', 'warning']","['give', 'permission', 'think', 'assholy', 'thoughts', 'time', 'time', 'draw', 'line', 'acting', 'asking', 'people', 'politely', 'possible', 'leave', 'f', 'alone', 'home', 'open', 'door', 'ventilation', 'personal', 'invite', 'appreciate', 'honesty', 'amp', 'warning']","['give', 'permiss', 'think', 'assholi', 'thought', 'time', 'time', 'draw', 'line', 'act', 'ask', 'peopl', 'polit', 'possibl', 'leav', 'f', 'alon', 'home', 'open', 'door', 'ventil', 'person', 'invit', 'appreci', 'honesti', 'amp', 'warn']","['give', 'permission', 'think', 'assholy', 'thoughts', 'time', 'time', 'draw', 'line', 'acting', 'asking', 'people', 'politely', 'possible', 'leave', 'f', 'alone', 'home', 'open', 'door', 'ventilation', 'personal', 'invite', 'appreciate', 'honesty', 'amp', 'warning']",3,Egypt
2022-06-04 20:16:14+00:00,1533180850380079110,@SantiagoCato @Thor6960 @ApollontheGreat @RealFalconGod Him calling Egyptian gods elitist is far off after all we are one of the oldest pantheons and personally It doesn’t really bother me but I would appreciate if correctly addresses me.,BitchlmmaCow,Egypt,1,1,0,0,"Wife of Horus, Goddess of Love, Fertility, Dance, music, and beauty. A much bigger deal than Horus",516,,him calling egyptian gods elitist is far off after all we are one of the oldest pantheons and personally it doesnt really bother me but i would appreciate if correctly addresses me,"['him', 'calling', 'egyptian', 'gods', 'elitist', 'is', 'far', 'off', 'after', 'all', 'we', 'are', 'one', 'of', 'the', 'oldest', 'pantheons', 'and', 'personally', 'it', 'doesnt', 'really', 'bother', 'me', 'but', 'i', 'would', 'appreciate', 'if', 'correctly', 'addresses', 'me']","['calling', 'egyptian', 'gods', 'elitist', 'far', 'one', 'oldest', 'pantheons', 'personally', 'doesnt', 'really', 'bother', 'would', 'appreciate', 'correctly', 'addresses']","['call', 'egyptian', 'god', 'elitist', 'far', 'one', 'oldest', 'pantheon', 'person', 'doesnt', 'realli', 'bother', 'would', 'appreci', 'correctli', 'address']","['calling', 'egyptian', 'gods', 'elitist', 'far', 'one', 'oldest', 'pantheons', 'personally', 'doesnt', 'really', 'bother', 'would', 'appreciate', 'correctly', 'addresses']",3,Egypt
2022-06-04 19:13:34+00:00,1533165081785253889,Take care of those who appreciate ur presence,iPickIeRick,Jeddah,1,0,0,0,6’2”🗼,201,,take care of those who appreciate ur presence,"['take', 'care', 'of', 'those', 'who', 'appreciate', 'ur', 'presence']","['take', 'care', 'appreciate', 'ur', 'presence']","['take', 'care', 'appreci', 'ur', 'presenc']","['take', 'care', 'appreciate', 'ur', 'presence']",4,Egypt
