Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 13:45:22+00:00,1533444873084358657,"@calvebr1982 @PatrickMcEnroe For me Fed is the GOAT but I do appreciate Rafa and Nole as much.
They are all phenomenal players and I’m just happy I’ve had to chance to observe their career from the get go.
I’m sure they all have pretty much same amount of Goat backers 😊
Let’s just enjoy the tennis 🤘🏻",sebulban,Finland,0,0,0,0,,102,,for me fed is the goat but i do appreciate rafa and nole as much they are all phenomenal players and im just happy ive had to chance to observe their career from the get go im sure they all have pretty much same amount of goat backers lets just enjoy the tennis,"['for', 'me', 'fed', 'is', 'the', 'goat', 'but', 'i', 'do', 'appreciate', 'rafa', 'and', 'nole', 'as', 'much', 'they', 'are', 'all', 'phenomenal', 'players', 'and', 'im', 'just', 'happy', 'ive', 'had', 'to', 'chance', 'to', 'observe', 'their', 'career', 'from', 'the', 'get', 'go', 'im', 'sure', 'they', 'all', 'have', 'pretty', 'much', 'same', 'amount', 'of', 'goat', 'backers', 'lets', 'just', 'enjoy', 'the', 'tennis']","['fed', 'goat', 'appreciate', 'rafa', 'nole', 'much', 'phenomenal', 'players', 'im', 'happy', 'ive', 'chance', 'observe', 'career', 'get', 'go', 'im', 'sure', 'pretty', 'much', 'amount', 'goat', 'backers', 'lets', 'enjoy', 'tennis']","['fed', 'goat', 'appreci', 'rafa', 'nole', 'much', 'phenomen', 'player', 'im', 'happi', 'ive', 'chanc', 'observ', 'career', 'get', 'go', 'im', 'sure', 'pretti', 'much', 'amount', 'goat', 'backer', 'let', 'enjoy', 'tenni']","['fed', 'goat', 'appreciate', 'rafa', 'nole', 'much', 'phenomenal', 'players', 'im', 'happy', 'ive', 'chance', 'observe', 'career', 'get', 'go', 'im', 'sure', 'pretty', 'much', 'amount', 'goat', 'backers', 'lets', 'enjoy', 'tennis']",4,Finland
2022-05-31 07:45:08+00:00,1531542276786331648,"One thing I appreciate especially about coding are the flexible times. Took a longer morning for myself, because self-care is self-respect. 😎",ForestEntity_,Helsinki ,2,0,0,0,Amor fati ⚔️ | Stoicism 🐍 | Thoughts & rambles 🐻 | Bitcoin ₿,76,,one thing i appreciate especially about coding are the flexible times took a longer morning for myself because selfcare is selfrespect,"['one', 'thing', 'i', 'appreciate', 'especially', 'about', 'coding', 'are', 'the', 'flexible', 'times', 'took', 'a', 'longer', 'morning', 'for', 'myself', 'because', 'selfcare', 'is', 'selfrespect']","['one', 'thing', 'appreciate', 'especially', 'coding', 'flexible', 'times', 'took', 'longer', 'morning', 'selfcare', 'selfrespect']","['one', 'thing', 'appreci', 'especi', 'code', 'flexibl', 'time', 'took', 'longer', 'morn', 'selfcar', 'selfrespect']","['one', 'thing', 'appreciate', 'especially', 'coding', 'flexible', 'times', 'took', 'longer', 'morning', 'selfcare', 'selfrespect']",4,Finland
2022-05-30 19:08:49+00:00,1531351947009302528,"@grandmaszter @SaveToNotion Thanks for saving, appreciate it.",dylan_hey,"Tallinn, Estonia",1,0,0,0,CEO at HeyDigital.co - managing millions of $ in adspend & building killer creative for B2B SaaS brands 🔥 Tweet about SaaS marketing and agency growth.,2563,,thanks for saving appreciate it,"['thanks', 'for', 'saving', 'appreciate', 'it']","['thanks', 'saving', 'appreciate']","['thank', 'save', 'appreci']","['thanks', 'saving', 'appreciate']",4,Finland
2022-05-30 12:06:27+00:00,1531245654189780999,"@michielterlouw @nuusa_ And I really don't care what you think about my cycling advocacy work.

There's enough people who appreciate what I did.",cyclite,Helsinki,0,0,0,0,"Late DX #ActuallyAutistic | anti-bullshit | sertifioitu keittiöfilosofi | 

Your (NT) assumptions of my feelings and motives are most likely incorrect.",3191,,and i really dont care what you think about my cycling advocacy work theres enough people who appreciate what i did,"['and', 'i', 'really', 'dont', 'care', 'what', 'you', 'think', 'about', 'my', 'cycling', 'advocacy', 'work', 'theres', 'enough', 'people', 'who', 'appreciate', 'what', 'i', 'did']","['really', 'dont', 'care', 'think', 'cycling', 'advocacy', 'work', 'theres', 'enough', 'people', 'appreciate']","['realli', 'dont', 'care', 'think', 'cycl', 'advocaci', 'work', 'there', 'enough', 'peopl', 'appreci']","['really', 'dont', 'care', 'think', 'cycling', 'advocacy', 'work', 'theres', 'enough', 'people', 'appreciate']",2,Finland
2022-05-30 10:59:30+00:00,1531228802415837185,"@adamrangpr Don't we all, ugh, but we truly appreciate your great work (on any topic)!",Vedinae_,Estonia,1,1,0,0,,94,,dont we all ugh but we truly appreciate your great work on any topic,"['dont', 'we', 'all', 'ugh', 'but', 'we', 'truly', 'appreciate', 'your', 'great', 'work', 'on', 'any', 'topic']","['dont', 'ugh', 'truly', 'appreciate', 'great', 'work', 'topic']","['dont', 'ugh', 'truli', 'appreci', 'great', 'work', 'topic']","['dont', 'ugh', 'truly', 'appreciate', 'great', 'work', 'topic']",5,Finland
2022-05-30 08:24:12+00:00,1531189723510841344,"@strategywoman I'm with you on this ordinary Monday, and every day until Ukraine's victory. And I'm not only here casually browsing your tweets, I care about you and appreciate your openness during what must be a really hard time! 💙💛",LeppalanMaria,"Helsinki, Suomi",11,0,0,0,"Sote-alan ammattilainen. Ihmisistä ja elämänpoluista kiinnostunut ihmettelijä. 
Human rights, mental health, languages.",91,,im with you on this ordinary monday and every day until ukraines victory and im not only here casually browsing your tweets i care about you and appreciate your openness during what must be a really hard time,"['im', 'with', 'you', 'on', 'this', 'ordinary', 'monday', 'and', 'every', 'day', 'until', 'ukraines', 'victory', 'and', 'im', 'not', 'only', 'here', 'casually', 'browsing', 'your', 'tweets', 'i', 'care', 'about', 'you', 'and', 'appreciate', 'your', 'openness', 'during', 'what', 'must', 'be', 'a', 'really', 'hard', 'time']","['im', 'ordinary', 'monday', 'every', 'day', 'ukraines', 'victory', 'im', 'casually', 'browsing', 'tweets', 'care', 'appreciate', 'openness', 'must', 'really', 'hard', 'time']","['im', 'ordinari', 'monday', 'everi', 'day', 'ukrain', 'victori', 'im', 'casual', 'brows', 'tweet', 'care', 'appreci', 'open', 'must', 'realli', 'hard', 'time']","['im', 'ordinary', 'monday', 'every', 'day', 'ukraines', 'victory', 'im', 'casually', 'browsing', 'tweets', 'care', 'appreciate', 'openness', 'must', 'really', 'hard', 'time']",5,Finland
2022-05-23 16:57:39+00:00,1528782219766116354,"The semester is ending here in Finland and I have had my last presentation today at the Helslang Summer Conference 2022.
I really appreciate that our doctoral program is always providing opportunities for the researchers to share their studies and receive support from peers!",Paribeir1,"Helsínquia, Finlândia",0,1,0,0,Doctoral researcher in Language Studies at the University of Helsinki and  Portuguese teacher.,19,,the semester is ending here in finland and i have had my last presentation today at the helslang summer conference 2022 i really appreciate that our doctoral program is always providing opportunities for the researchers to share their studies and receive support from peers,"['the', 'semester', 'is', 'ending', 'here', 'in', 'finland', 'and', 'i', 'have', 'had', 'my', 'last', 'presentation', 'today', 'at', 'the', 'helslang', 'summer', 'conference', '2022', 'i', 'really', 'appreciate', 'that', 'our', 'doctoral', 'program', 'is', 'always', 'providing', 'opportunities', 'for', 'the', 'researchers', 'to', 'share', 'their', 'studies', 'and', 'receive', 'support', 'from', 'peers']","['semester', 'ending', 'finland', 'last', 'presentation', 'today', 'helslang', 'summer', 'conference', '2022', 'really', 'appreciate', 'doctoral', 'program', 'always', 'providing', 'opportunities', 'researchers', 'share', 'studies', 'receive', 'support', 'peers']","['semest', 'end', 'finland', 'last', 'present', 'today', 'helslang', 'summer', 'confer', '2022', 'realli', 'appreci', 'doctor', 'program', 'alway', 'provid', 'opportun', 'research', 'share', 'studi', 'receiv', 'support', 'peer']","['semester', 'ending', 'finland', 'last', 'presentation', 'today', 'helslang', 'summer', 'conference', '2022', 'really', 'appreciate', 'doctoral', 'program', 'always', 'providing', 'opportunities', 'researchers', 'share', 'studies', 'receive', 'support', 'peers']",4,Finland
2022-05-14 18:11:21+00:00,1525539275533582337,"That’s a big pleasure for me to start my NFT collection with your awesome art, my friend 💙💙💙💙 I appreciate your huge support too 💙💙💙 https://t.co/01zInOMlOd",Ksumatu,,6,3,1,0,"Digital illustrator, expat in Tallinn, NFT artist",233,,thats a big pleasure for me to start my nft collection with your awesome art my friend i appreciate your huge support too,"['thats', 'a', 'big', 'pleasure', 'for', 'me', 'to', 'start', 'my', 'nft', 'collection', 'with', 'your', 'awesome', 'art', 'my', 'friend', 'i', 'appreciate', 'your', 'huge', 'support', 'too']","['thats', 'big', 'pleasure', 'start', 'nft', 'collection', 'awesome', 'art', 'friend', 'appreciate', 'huge', 'support']","['that', 'big', 'pleasur', 'start', 'nft', 'collect', 'awesom', 'art', 'friend', 'appreci', 'huge', 'support']","['thats', 'big', 'pleasure', 'start', 'nft', 'collection', 'awesome', 'art', 'friend', 'appreciate', 'huge', 'support']",5,Finland
2022-03-15 00:58:49+00:00,1503536157984014341,"@howtodrawcomics appreciate it, glad to be in the same boat with such inspiring people like you",midiankai,"Tallinn, Estonia",0,0,0,0,"Creating art together ~ Midi & Vulpie
Illustrations for music, merch, packaging, etc.",1373,,appreciate it glad to be in the same boat with such inspiring people like you,"['appreciate', 'it', 'glad', 'to', 'be', 'in', 'the', 'same', 'boat', 'with', 'such', 'inspiring', 'people', 'like', 'you']","['appreciate', 'glad', 'boat', 'inspiring', 'people', 'like']","['appreci', 'glad', 'boat', 'inspir', 'peopl', 'like']","['appreciate', 'glad', 'boat', 'inspiring', 'people', 'like']",4,Finland
2022-03-09 07:13:37+00:00,1501456152084758528,"@alexstubb: ""Bilateral relations are important. Multilateral engagement is security.""

I agree.

And as much as I appreciate the #EU, unfortunately article 42.7 is not a substitute for #NATO security.

#Finland has to maneuver carefully but steadily towards full NATO membership. https://t.co/JCRoLp38Wz",akuaarva,Europe,37,1,8,1,"Executive Director @energiakaupunki | Board Member @EMInternational | Reset via #esports & #badminton.

Opinions are my own. RT ≠ endorsements. #energy #EU",1747,"['EU', 'NATO', 'Finland']",bilateral relations are important multilateral engagement is security i agree and as much as i appreciate the eu unfortunately article 427 is not a substitute for nato security finland has to maneuver carefully but steadily towards full nato membership,"['bilateral', 'relations', 'are', 'important', 'multilateral', 'engagement', 'is', 'security', 'i', 'agree', 'and', 'as', 'much', 'as', 'i', 'appreciate', 'the', 'eu', 'unfortunately', 'article', '427', 'is', 'not', 'a', 'substitute', 'for', 'nato', 'security', 'finland', 'has', 'to', 'maneuver', 'carefully', 'but', 'steadily', 'towards', 'full', 'nato', 'membership']","['bilateral', 'relations', 'important', 'multilateral', 'engagement', 'security', 'agree', 'much', 'appreciate', 'eu', 'unfortunately', 'article', '427', 'substitute', 'nato', 'security', 'finland', 'maneuver', 'carefully', 'steadily', 'towards', 'full', 'nato', 'membership']","['bilater', 'relat', 'import', 'multilater', 'engag', 'secur', 'agre', 'much', 'appreci', 'eu', 'unfortun', 'articl', '427', 'substitut', 'nato', 'secur', 'finland', 'maneuv', 'care', 'steadili', 'toward', 'full', 'nato', 'membership']","['bilateral', 'relations', 'important', 'multilateral', 'engagement', 'security', 'agree', 'much', 'appreciate', 'eu', 'unfortunately', 'article', '427', 'substitute', 'nato', 'security', 'finland', 'maneuver', 'carefully', 'steadily', 'towards', 'full', 'nato', 'membership']",4,Finland
2021-12-23 04:01:37+00:00,1473866358215618560,@ExistentialAut1 Exactly. Now I keep on finding people who are actually interesting to the core. And who can appreciate me.,RouvaKuolema,"Tampere, Suomi",5,0,0,0,"Potilas on runsaspuheinen. Kertoo avoimesti asioistaan, samalla analysoiden niitä. Masentuneisuutta tai ahdistusta ei välity.",1874,,exactly now i keep on finding people who are actually interesting to the core and who can appreciate me,"['exactly', 'now', 'i', 'keep', 'on', 'finding', 'people', 'who', 'are', 'actually', 'interesting', 'to', 'the', 'core', 'and', 'who', 'can', 'appreciate', 'me']","['exactly', 'keep', 'finding', 'people', 'actually', 'interesting', 'core', 'appreciate']","['exactli', 'keep', 'find', 'peopl', 'actual', 'interest', 'core', 'appreci']","['exactly', 'keep', 'finding', 'people', 'actually', 'interesting', 'core', 'appreciate']",5,Finland
2021-11-29 06:22:12+00:00,1465204426348630020,"Service at your doorstep!

We appreciate the participation of the Indian community in Vaanta at the Consular Camp organised by the Embassy. 

Various consular services were extended and clarification regarding passport/OCI services were provided by our Consular Officers. https://t.co/yg1l450MNO",IndEmbFinEst,"Helsinki, Finland",9,1,2,0,Embassy of India. Accredited to Finland,7683,,service at your doorstep we appreciate the participation of the indian community in vaanta at the consular camp organised by the embassy various consular services were extended and clarification regarding passportoci services were provided by our consular officers,"['service', 'at', 'your', 'doorstep', 'we', 'appreciate', 'the', 'participation', 'of', 'the', 'indian', 'community', 'in', 'vaanta', 'at', 'the', 'consular', 'camp', 'organised', 'by', 'the', 'embassy', 'various', 'consular', 'services', 'were', 'extended', 'and', 'clarification', 'regarding', 'passportoci', 'services', 'were', 'provided', 'by', 'our', 'consular', 'officers']","['service', 'doorstep', 'appreciate', 'participation', 'indian', 'community', 'vaanta', 'consular', 'camp', 'organised', 'embassy', 'various', 'consular', 'services', 'extended', 'clarification', 'regarding', 'passportoci', 'services', 'provided', 'consular', 'officers']","['servic', 'doorstep', 'appreci', 'particip', 'indian', 'commun', 'vaanta', 'consular', 'camp', 'organis', 'embassi', 'variou', 'consular', 'servic', 'extend', 'clarif', 'regard', 'passportoci', 'servic', 'provid', 'consular', 'offic']","['service', 'doorstep', 'appreciate', 'participation', 'indian', 'community', 'vaanta', 'consular', 'camp', 'organised', 'embassy', 'various', 'consular', 'services', 'extended', 'clarification', 'regarding', 'passportoci', 'services', 'provided', 'consular', 'officers']",4,Finland
