Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 02:36:32+00:00,1533276554360496128,"@AshaRangappa_ That is so uplifting! He is a wonderful former President, still appreciate his contributions so much.",FauneAlford,shore,0,0,0,0,"I am not a cat. Energy Consultant, Former Journalist, former IBEW, #M4A, Democratic campaigner, DSA @tahirafaunealfo Renewable energy consultant  enjoys travel",3037,,that is so uplifting he is a wonderful former president still appreciate his contributions so much,"['that', 'is', 'so', 'uplifting', 'he', 'is', 'a', 'wonderful', 'former', 'president', 'still', 'appreciate', 'his', 'contributions', 'so', 'much']","['uplifting', 'wonderful', 'former', 'president', 'still', 'appreciate', 'contributions', 'much']","['uplift', 'wonder', 'former', 'presid', 'still', 'appreci', 'contribut', 'much']","['uplifting', 'wonderful', 'former', 'president', 'still', 'appreciate', 'contributions', 'much']",5,Greece
2022-06-04 13:50:11+00:00,1533083699209768961,"Top story: @iownjd: 'Who made your life a little easier, made you feel inspired, valued, heard or understood this week? Thank them, appreciate and acknowledge them, remind them you care and are there for them, even if y… https://t.co/rIfRTdltFD, see more https://t.co/Ronx2zZm43",panoskazanelis,"Athens, Greece",0,0,0,0,"Experienced Intelligence Transformation & XR Learning Strategist with a 360 mindset, avid photographer, dogs lover",1698,,top story who made your life a little easier made you feel inspired valued heard or understood this week thank them appreciate and acknowledge them remind them you care and are there for them even if y see more,"['top', 'story', 'who', 'made', 'your', 'life', 'a', 'little', 'easier', 'made', 'you', 'feel', 'inspired', 'valued', 'heard', 'or', 'understood', 'this', 'week', 'thank', 'them', 'appreciate', 'and', 'acknowledge', 'them', 'remind', 'them', 'you', 'care', 'and', 'are', 'there', 'for', 'them', 'even', 'if', 'y', 'see', 'more']","['top', 'story', 'made', 'life', 'little', 'easier', 'made', 'feel', 'inspired', 'valued', 'heard', 'understood', 'week', 'thank', 'appreciate', 'acknowledge', 'remind', 'care', 'even', 'see']","['top', 'stori', 'made', 'life', 'littl', 'easier', 'made', 'feel', 'inspir', 'valu', 'heard', 'understood', 'week', 'thank', 'appreci', 'acknowledg', 'remind', 'care', 'even', 'see']","['top', 'story', 'made', 'life', 'little', 'easier', 'made', 'feel', 'inspired', 'valued', 'heard', 'understood', 'week', 'thank', 'appreciate', 'acknowledge', 'remind', 'care', 'even', 'see']",5,Greece
2022-06-04 10:39:24+00:00,1533035686135500801,"i really appreciate you, agapi.",iiluvhotmilfs,Αγάπη,0,0,0,0,,15,,i really appreciate you agapi,"['i', 'really', 'appreciate', 'you', 'agapi']","['really', 'appreciate', 'agapi']","['realli', 'appreci', 'agapi']","['really', 'appreciate', 'agapi']",5,Greece
2022-03-16 15:33:21+00:00,1504118630803460102,@reveur_chr @DeRaceNFT I bought a few more but this can’t keep happening. I appreciate my mental health 😂,giannim76,nea moydania,1,1,0,0,“The soul that sees beauty may sometimes walk alone” Johann Wolfgang von Göte INTJ-A ☢️NO DM☢️,1101,,i bought a few more but this cant keep happening i appreciate my mental health,"['i', 'bought', 'a', 'few', 'more', 'but', 'this', 'cant', 'keep', 'happening', 'i', 'appreciate', 'my', 'mental', 'health']","['bought', 'cant', 'keep', 'happening', 'appreciate', 'mental', 'health']","['bought', 'cant', 'keep', 'happen', 'appreci', 'mental', 'health']","['bought', 'cant', 'keep', 'happening', 'appreciate', 'mental', 'health']",4,Greece
2021-05-07 16:41:15+00:00,1390708318105124870,@Cabecki68 Yeah i know rusty things your not bossy i appreciate it very much!! I will ask my doctor thank you for your consideration you're a sweet heart 💕💕😀😀,AKRRFORLIFE,"Ioannina,Greece",1,1,0,0,I love Roman Reigns i'm a very proud member of the Empire,330,,yeah i know rusty things your not bossy i appreciate it very much i will ask my doctor thank you for your consideration youre a sweet heart,"['yeah', 'i', 'know', 'rusty', 'things', 'your', 'not', 'bossy', 'i', 'appreciate', 'it', 'very', 'much', 'i', 'will', 'ask', 'my', 'doctor', 'thank', 'you', 'for', 'your', 'consideration', 'youre', 'a', 'sweet', 'heart']","['yeah', 'know', 'rusty', 'things', 'bossy', 'appreciate', 'much', 'ask', 'doctor', 'thank', 'consideration', 'youre', 'sweet', 'heart']","['yeah', 'know', 'rusti', 'thing', 'bossi', 'appreci', 'much', 'ask', 'doctor', 'thank', 'consider', 'your', 'sweet', 'heart']","['yeah', 'know', 'rusty', 'things', 'bossy', 'appreciate', 'much', 'ask', 'doctor', 'thank', 'consideration', 'youre', 'sweet', 'heart']",5,Greece
2020-08-30 12:34:38+00:00,1300049287288705024,"Unfortunately, this morning I tested positive for Covid-19. I have minor symptoms but I’m feeling better already. I appreciate @promitheasbc medical staff for taking the necessary precautions and will continue to follow their advice to ensure a speedy recovery.",jehyve_floyd,,67,14,0,1,Child of God 🙏🏾 | Pro Hooper 🏀 | Author/Speaker | HC Alum ✝️,5826,,unfortunately this morning i tested positive for covid19 i have minor symptoms but im feeling better already i appreciate medical staff for taking the necessary precautions and will continue to follow their advice to ensure a speedy recovery,"['unfortunately', 'this', 'morning', 'i', 'tested', 'positive', 'for', 'covid19', 'i', 'have', 'minor', 'symptoms', 'but', 'im', 'feeling', 'better', 'already', 'i', 'appreciate', 'medical', 'staff', 'for', 'taking', 'the', 'necessary', 'precautions', 'and', 'will', 'continue', 'to', 'follow', 'their', 'advice', 'to', 'ensure', 'a', 'speedy', 'recovery']","['unfortunately', 'morning', 'tested', 'positive', 'covid19', 'minor', 'symptoms', 'im', 'feeling', 'better', 'already', 'appreciate', 'medical', 'staff', 'taking', 'necessary', 'precautions', 'continue', 'follow', 'advice', 'ensure', 'speedy', 'recovery']","['unfortun', 'morn', 'test', 'posit', 'covid19', 'minor', 'symptom', 'im', 'feel', 'better', 'alreadi', 'appreci', 'medic', 'staff', 'take', 'necessari', 'precaut', 'continu', 'follow', 'advic', 'ensur', 'speedi', 'recoveri']","['unfortunately', 'morning', 'tested', 'positive', 'covid19', 'minor', 'symptoms', 'im', 'feeling', 'better', 'already', 'appreciate', 'medical', 'staff', 'taking', 'necessary', 'precautions', 'continue', 'follow', 'advice', 'ensure', 'speedy', 'recovery']",3,Greece
2019-12-02 18:21:18+00:00,1201567030811537408,"Today's ambassador event was a great experience. I really appreciate your time and effort. 
I'm thankful to have met so many lovely and capable people. I hope to see you as part of our team soon. 
#careambassador… https://t.co/HC4HdpDayK",Linagreek,"London, Thessaloniki",1,0,1,0,"Το παρόν ακάουντ είναι πολιτικοερωτικής φύσης. 
Talking about dementia care and human rights. #IAmAntiFa",33271,['careambassador'],todays ambassador event was a great experience i really appreciate your time and effort im thankful to have met so many lovely and capable people i hope to see you as part of our team soon careambassador,"['todays', 'ambassador', 'event', 'was', 'a', 'great', 'experience', 'i', 'really', 'appreciate', 'your', 'time', 'and', 'effort', 'im', 'thankful', 'to', 'have', 'met', 'so', 'many', 'lovely', 'and', 'capable', 'people', 'i', 'hope', 'to', 'see', 'you', 'as', 'part', 'of', 'our', 'team', 'soon', 'careambassador']","['todays', 'ambassador', 'event', 'great', 'experience', 'really', 'appreciate', 'time', 'effort', 'im', 'thankful', 'met', 'many', 'lovely', 'capable', 'people', 'hope', 'see', 'part', 'team', 'soon', 'careambassador']","['today', 'ambassador', 'event', 'great', 'experi', 'realli', 'appreci', 'time', 'effort', 'im', 'thank', 'met', 'mani', 'love', 'capabl', 'peopl', 'hope', 'see', 'part', 'team', 'soon', 'careambassador']","['todays', 'ambassador', 'event', 'great', 'experience', 'really', 'appreciate', 'time', 'effort', 'im', 'thankful', 'met', 'many', 'lovely', 'capable', 'people', 'hope', 'see', 'part', 'team', 'soon', 'careambassador']",5,Greece
2022-06-04 20:51:00+00:00,1533189601594159110,I've been so lucky to work with such great people: people that are such hard workers and have such a respect and appreciation for one another.,mobiquotes,"Athens, Greece",0,0,0,0,Quote Generator. New quotes are posted daily,2212,,ive been so lucky to work with such great people people that are such hard workers and have such a respect and appreciation for one another,"['ive', 'been', 'so', 'lucky', 'to', 'work', 'with', 'such', 'great', 'people', 'people', 'that', 'are', 'such', 'hard', 'workers', 'and', 'have', 'such', 'a', 'respect', 'and', 'appreciation', 'for', 'one', 'another']","['ive', 'lucky', 'work', 'great', 'people', 'people', 'hard', 'workers', 'respect', 'appreciation', 'one', 'another']","['ive', 'lucki', 'work', 'great', 'peopl', 'peopl', 'hard', 'worker', 'respect', 'appreci', 'one', 'anoth']","['ive', 'lucky', 'work', 'great', 'people', 'people', 'hard', 'workers', 'respect', 'appreciation', 'one', 'another']",5,Greece
2022-06-04 16:57:29+00:00,1533130834722553858,This is an appreciation tweet to the amazing person I first met on @Clubhouse and has never ceased to inspire me ever since. Thanks for being your amazing self @EspreeDevora! Keep shedding your light on all of us! Lots of love and light your way!!! 🙏🏻❤️,FotisKarioris,"Attiki, Greece",2,2,0,0,On a mission to Uplift...Always thinking unusual. Avid podcast listener and espresso afficionado. #spaceshost #DisabledAndAble #TheUplifters,676,,this is an appreciation tweet to the amazing person i first met on and has never ceased to inspire me ever since thanks for being your amazing self keep shedding your light on all of us lots of love and light your way,"['this', 'is', 'an', 'appreciation', 'tweet', 'to', 'the', 'amazing', 'person', 'i', 'first', 'met', 'on', 'and', 'has', 'never', 'ceased', 'to', 'inspire', 'me', 'ever', 'since', 'thanks', 'for', 'being', 'your', 'amazing', 'self', 'keep', 'shedding', 'your', 'light', 'on', 'all', 'of', 'us', 'lots', 'of', 'love', 'and', 'light', 'your', 'way']","['appreciation', 'tweet', 'amazing', 'person', 'first', 'met', 'never', 'ceased', 'inspire', 'ever', 'since', 'thanks', 'amazing', 'self', 'keep', 'shedding', 'light', 'us', 'lots', 'love', 'light', 'way']","['appreci', 'tweet', 'amaz', 'person', 'first', 'met', 'never', 'ceas', 'inspir', 'ever', 'sinc', 'thank', 'amaz', 'self', 'keep', 'shed', 'light', 'us', 'lot', 'love', 'light', 'way']","['appreciation', 'tweet', 'amazing', 'person', 'first', 'met', 'never', 'ceased', 'inspire', 'ever', 'since', 'thanks', 'amazing', 'self', 'keep', 'shedding', 'light', 'us', 'lots', 'love', 'light', 'way']",5,Greece
2021-12-08 07:51:28+00:00,1468488382271664129,"Many thanks and appreciation to the Sponsors of the 32nd annual Greek Economic Summit (GES) for their important support and participation.
➡️  Tune in for day 3, Wed. Dec. 8th to the 32nd annual Greek Economic Summit (GES)
Registration: https://t.co/9Ke38fxi7F
#AmChamGR #GES2021 https://t.co/3y2i0FGKpO",AmChamGr,Greece,3,0,0,0,The American-Hellenic Chamber of Commerce - one of the largest and most active US chambers in Europe. (Ελληνο–Αμερικανικό Εμπορικό Επιμελητήριο),3272,"['AmChamGR', 'GES2021']",many thanks and appreciation to the sponsors of the 32nd annual greek economic summit ges for their important support and participation tune in for day 3 wed dec 8th to the 32nd annual greek economic summit ges registration amchamgr ges2021,"['many', 'thanks', 'and', 'appreciation', 'to', 'the', 'sponsors', 'of', 'the', '32nd', 'annual', 'greek', 'economic', 'summit', 'ges', 'for', 'their', 'important', 'support', 'and', 'participation', 'tune', 'in', 'for', 'day', '3', 'wed', 'dec', '8th', 'to', 'the', '32nd', 'annual', 'greek', 'economic', 'summit', 'ges', 'registration', 'amchamgr', 'ges2021']","['many', 'thanks', 'appreciation', 'sponsors', '32nd', 'annual', 'greek', 'economic', 'summit', 'ges', 'important', 'support', 'participation', 'tune', 'day', '3', 'wed', 'dec', '8th', '32nd', 'annual', 'greek', 'economic', 'summit', 'ges', 'registration', 'amchamgr', 'ges2021']","['mani', 'thank', 'appreci', 'sponsor', '32nd', 'annual', 'greek', 'econom', 'summit', 'ge', 'import', 'support', 'particip', 'tune', 'day', '3', 'wed', 'dec', '8th', '32nd', 'annual', 'greek', 'econom', 'summit', 'ge', 'registr', 'amchamgr', 'ges2021']","['many', 'thanks', 'appreciation', 'sponsors', '32nd', 'annual', 'greek', 'economic', 'summit', 'ges', 'important', 'support', 'participation', 'tune', 'day', '3', 'wed', 'dec', '8th', '32nd', 'annual', 'greek', 'economic', 'summit', 'ges', 'registration', 'amchamgr', 'ges2021']",5,Greece
