Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-06 02:56:56+00:00,1533644077392359425,"My first time sparring was out of control.I will be posting a video about that soon. In the meantime, here are some clips of my Fri night sparring progress in May.Appreciate your comments/advices to help me improve♥️ #FEMALEBOXING 
https://t.co/JSSPMCCCVI",WorkoutKk,Hong Kong,1,1,0,0,"👩🏻‍💼 Founder @VAXA Media
🧘🏻‍♀️ RYT200 Yoga Teacher🧘🏻‍♀️
#martialarts #boxing #mma #muaythai #kickboxing #CombatSports",69,['FEMALEBOXING'],my first time sparring was out of controli will be posting a video about that soon in the meantime here are some clips of my fri night sparring progress in mayappreciate your commentsadvices to help me improve femaleboxing,"['my', 'first', 'time', 'sparring', 'was', 'out', 'of', 'controli', 'will', 'be', 'posting', 'a', 'video', 'about', 'that', 'soon', 'in', 'the', 'meantime', 'here', 'are', 'some', 'clips', 'of', 'my', 'fri', 'night', 'sparring', 'progress', 'in', 'mayappreciate', 'your', 'commentsadvices', 'to', 'help', 'me', 'improve', 'femaleboxing']","['first', 'time', 'sparring', 'controli', 'posting', 'video', 'soon', 'meantime', 'clips', 'fri', 'night', 'sparring', 'progress', 'mayappreciate', 'commentsadvices', 'help', 'improve', 'femaleboxing']","['first', 'time', 'spar', 'controli', 'post', 'video', 'soon', 'meantim', 'clip', 'fri', 'night', 'spar', 'progress', 'mayappreci', 'commentsadvic', 'help', 'improv', 'femalebox']","['first', 'time', 'sparring', 'controli', 'posting', 'video', 'soon', 'meantime', 'clips', 'fri', 'night', 'sparring', 'progress', 'mayappreciate', 'commentsadvices', 'help', 'improve', 'femaleboxing']",3,Hong Kong
2022-06-05 15:22:34+00:00,1533469333560602626,"@RotimiAkeredolu One big problem with Nigeria is they never things serious until it they be come victim, the sign is always there, Nigeria must appreciate this man called (Nnamdi kanu) yes you heard me right, some Yoruba still want this thing 👇 to take after buhari because is your brother https://t.co/RpkYiKUJcr",nwadobenatu,Hong Kong,14,7,3,0,"CEO@Self-employed
🇳🇬🇭🇰🇺🇸",287,,one big problem with nigeria is they never things serious until it they be come victim the sign is always there nigeria must appreciate this man called nnamdi kanu yes you heard me right some yoruba still want this thing to take after buhari because is your brother,"['one', 'big', 'problem', 'with', 'nigeria', 'is', 'they', 'never', 'things', 'serious', 'until', 'it', 'they', 'be', 'come', 'victim', 'the', 'sign', 'is', 'always', 'there', 'nigeria', 'must', 'appreciate', 'this', 'man', 'called', 'nnamdi', 'kanu', 'yes', 'you', 'heard', 'me', 'right', 'some', 'yoruba', 'still', 'want', 'this', 'thing', 'to', 'take', 'after', 'buhari', 'because', 'is', 'your', 'brother']","['one', 'big', 'problem', 'nigeria', 'never', 'things', 'serious', 'come', 'victim', 'sign', 'always', 'nigeria', 'must', 'appreciate', 'man', 'called', 'nnamdi', 'kanu', 'yes', 'heard', 'right', 'yoruba', 'still', 'want', 'thing', 'take', 'buhari', 'brother']","['one', 'big', 'problem', 'nigeria', 'never', 'thing', 'seriou', 'come', 'victim', 'sign', 'alway', 'nigeria', 'must', 'appreci', 'man', 'call', 'nnamdi', 'kanu', 'ye', 'heard', 'right', 'yoruba', 'still', 'want', 'thing', 'take', 'buhari', 'brother']","['one', 'big', 'problem', 'nigeria', 'never', 'things', 'serious', 'come', 'victim', 'sign', 'always', 'nigeria', 'must', 'appreciate', 'man', 'called', 'nnamdi', 'kanu', 'yes', 'heard', 'right', 'yoruba', 'still', 'want', 'thing', 'take', 'buhari', 'brother']",5,Hong Kong
2022-06-05 14:55:32+00:00,1533462529388646400,"@orgap1 I see. Anyway, really appreciate ur sharing!",kaeruya02,Taiwan,1,0,0,0,"🇹🇼 TFT gaming and life sharing!

Tai-gi ○ 中文 ○ English ○ 日本語 △",56,,i see anyway really appreciate ur sharing,"['i', 'see', 'anyway', 'really', 'appreciate', 'ur', 'sharing']","['see', 'anyway', 'really', 'appreciate', 'ur', 'sharing']","['see', 'anyway', 'realli', 'appreci', 'ur', 'share']","['see', 'anyway', 'really', 'appreciate', 'ur', 'sharing']",4,Hong Kong
2022-06-05 08:07:27+00:00,1533359832954466305,@AppleSWUpdates One thing people don’t appreciate about the iPad Magic Keyboard is that it pushes the screen far closer to the keyboard than the Macbook. This works much more fluidly than a macbook form-factor could ever for touching.,iamrishio,Taiwan,1,0,0,0,iPhoneography,68,,one thing people dont appreciate about the ipad magic keyboard is that it pushes the screen far closer to the keyboard than the macbook this works much more fluidly than a macbook formfactor could ever for touching,"['one', 'thing', 'people', 'dont', 'appreciate', 'about', 'the', 'ipad', 'magic', 'keyboard', 'is', 'that', 'it', 'pushes', 'the', 'screen', 'far', 'closer', 'to', 'the', 'keyboard', 'than', 'the', 'macbook', 'this', 'works', 'much', 'more', 'fluidly', 'than', 'a', 'macbook', 'formfactor', 'could', 'ever', 'for', 'touching']","['one', 'thing', 'people', 'dont', 'appreciate', 'ipad', 'magic', 'keyboard', 'pushes', 'screen', 'far', 'closer', 'keyboard', 'macbook', 'works', 'much', 'fluidly', 'macbook', 'formfactor', 'could', 'ever', 'touching']","['one', 'thing', 'peopl', 'dont', 'appreci', 'ipad', 'magic', 'keyboard', 'push', 'screen', 'far', 'closer', 'keyboard', 'macbook', 'work', 'much', 'fluidli', 'macbook', 'formfactor', 'could', 'ever', 'touch']","['one', 'thing', 'people', 'dont', 'appreciate', 'ipad', 'magic', 'keyboard', 'pushes', 'screen', 'far', 'closer', 'keyboard', 'macbook', 'works', 'much', 'fluidly', 'macbook', 'formfactor', 'could', 'ever', 'touching']",4,Hong Kong
2022-06-05 05:21:02+00:00,1533317954154430464,"@Vox_Akuma Milord, we really appreciate your love and all your work to make this community become better. Sometimes achievement arrives so fast and we tend to work harder to keep it without taking good care of ourselves. You're strong enough and good enough and you deserve all the love.+",eerin712tw,Taipei Taiwan,0,1,0,0,"“我喜歡你的所有季節、你的憂鬱也很明朗。”
  最近在追V、2434L/N箱推外加少量咻透
點讚會有NSFW內容，自行避雷",1,,milord we really appreciate your love and all your work to make this community become better sometimes achievement arrives so fast and we tend to work harder to keep it without taking good care of ourselves youre strong enough and good enough and you deserve all the love,"['milord', 'we', 'really', 'appreciate', 'your', 'love', 'and', 'all', 'your', 'work', 'to', 'make', 'this', 'community', 'become', 'better', 'sometimes', 'achievement', 'arrives', 'so', 'fast', 'and', 'we', 'tend', 'to', 'work', 'harder', 'to', 'keep', 'it', 'without', 'taking', 'good', 'care', 'of', 'ourselves', 'youre', 'strong', 'enough', 'and', 'good', 'enough', 'and', 'you', 'deserve', 'all', 'the', 'love']","['milord', 'really', 'appreciate', 'love', 'work', 'make', 'community', 'become', 'better', 'sometimes', 'achievement', 'arrives', 'fast', 'tend', 'work', 'harder', 'keep', 'without', 'taking', 'good', 'care', 'youre', 'strong', 'enough', 'good', 'enough', 'deserve', 'love']","['milord', 'realli', 'appreci', 'love', 'work', 'make', 'commun', 'becom', 'better', 'sometim', 'achiev', 'arriv', 'fast', 'tend', 'work', 'harder', 'keep', 'without', 'take', 'good', 'care', 'your', 'strong', 'enough', 'good', 'enough', 'deserv', 'love']","['milord', 'really', 'appreciate', 'love', 'work', 'make', 'community', 'become', 'better', 'sometimes', 'achievement', 'arrives', 'fast', 'tend', 'work', 'harder', 'keep', 'without', 'taking', 'good', 'care', 'youre', 'strong', 'enough', 'good', 'enough', 'deserve', 'love']",5,Hong Kong
2022-06-04 15:54:37+00:00,1533115012000391168,"MILORD, really appreciate you care about us, but we are pretty strong and have much strength to face everything!
Pls take ur time for next week’s dnd campaign and relaxing for a while.☺️
You need time to smooth your mind, so do us. Don’t worry about us! Love you 

 #VoxPopuLIVE",konni_cny,半夜才會水壺開開,5,0,0,0,摳你/摳摳- 25++_18🈲️_L/N箱推❤️🧡💛💙💜 /本命 👹🧧 主CP👹🦊/🔮🐑/🖋👟🦁，其實雑食。跟台時很吵，會做點小小跟播翻譯。 繪帳+文帳。台灣人です(*´꒳`*)🇹🇼 繁體中文：○/日本語：△/ 英語：△/封面Banner: @ctydanapurple,281,['VoxPopuLIVE'],milord really appreciate you care about us but we are pretty strong and have much strength to face everything pls take ur time for next weeks dnd campaign and relaxing for a while you need time to smooth your mind so do us dont worry about us love you voxpopulive,"['milord', 'really', 'appreciate', 'you', 'care', 'about', 'us', 'but', 'we', 'are', 'pretty', 'strong', 'and', 'have', 'much', 'strength', 'to', 'face', 'everything', 'pls', 'take', 'ur', 'time', 'for', 'next', 'weeks', 'dnd', 'campaign', 'and', 'relaxing', 'for', 'a', 'while', 'you', 'need', 'time', 'to', 'smooth', 'your', 'mind', 'so', 'do', 'us', 'dont', 'worry', 'about', 'us', 'love', 'you', 'voxpopulive']","['milord', 'really', 'appreciate', 'care', 'us', 'pretty', 'strong', 'much', 'strength', 'face', 'everything', 'pls', 'take', 'ur', 'time', 'next', 'weeks', 'dnd', 'campaign', 'relaxing', 'need', 'time', 'smooth', 'mind', 'us', 'dont', 'worry', 'us', 'love', 'voxpopulive']","['milord', 'realli', 'appreci', 'care', 'us', 'pretti', 'strong', 'much', 'strength', 'face', 'everyth', 'pl', 'take', 'ur', 'time', 'next', 'week', 'dnd', 'campaign', 'relax', 'need', 'time', 'smooth', 'mind', 'us', 'dont', 'worri', 'us', 'love', 'voxpopul']","['milord', 'really', 'appreciate', 'care', 'us', 'pretty', 'strong', 'much', 'strength', 'face', 'everything', 'pls', 'take', 'ur', 'time', 'next', 'weeks', 'dnd', 'campaign', 'relaxing', 'need', 'time', 'smooth', 'mind', 'us', 'dont', 'worry', 'us', 'love', 'voxpopulive']",5,Hong Kong
2022-06-04 13:21:50+00:00,1533076562014355460,"@andersostlund 1/2) nice, everything that helps the brave ukrainians get rid of the invading pest from russia is great. However, l do not appreciate that there are restrictions on the munition. Its possible to hit targets way longer than 70km. If a bomber takes off from russia 95km from the",k_p_kjolso,Up north,0,0,0,0,News consumer,14,,12 nice everything that helps the brave ukrainians get rid of the invading pest from russia is great however l do not appreciate that there are restrictions on the munition its possible to hit targets way longer than 70km if a bomber takes off from russia 95km from the,"['12', 'nice', 'everything', 'that', 'helps', 'the', 'brave', 'ukrainians', 'get', 'rid', 'of', 'the', 'invading', 'pest', 'from', 'russia', 'is', 'great', 'however', 'l', 'do', 'not', 'appreciate', 'that', 'there', 'are', 'restrictions', 'on', 'the', 'munition', 'its', 'possible', 'to', 'hit', 'targets', 'way', 'longer', 'than', '70km', 'if', 'a', 'bomber', 'takes', 'off', 'from', 'russia', '95km', 'from', 'the']","['12', 'nice', 'everything', 'helps', 'brave', 'ukrainians', 'get', 'rid', 'invading', 'pest', 'russia', 'great', 'however', 'l', 'appreciate', 'restrictions', 'munition', 'possible', 'hit', 'targets', 'way', 'longer', '70km', 'bomber', 'takes', 'russia', '95km']","['12', 'nice', 'everyth', 'help', 'brave', 'ukrainian', 'get', 'rid', 'invad', 'pest', 'russia', 'great', 'howev', 'l', 'appreci', 'restrict', 'munit', 'possibl', 'hit', 'target', 'way', 'longer', '70km', 'bomber', 'take', 'russia', '95km']","['12', 'nice', 'everything', 'helps', 'brave', 'ukrainians', 'get', 'rid', 'invading', 'pest', 'russia', 'great', 'however', 'l', 'appreciate', 'restrictions', 'munition', 'possible', 'hit', 'targets', 'way', 'longer', '70km', 'bomber', 'takes', 'russia', '95km']",4,Hong Kong
2022-06-04 07:14:28+00:00,1532984112922759168,"EXCLUSIVE: Depp v. Heard Court Reporter Dispels Rumors About Video of He... https://t.co/kuySPECjvz via @YouTube

She is definitely a rock star! #JudgePenneyAzcarate appreciate Judy because she is a rock star. The courtroom began to clap, expect #AmberHeard !",sky_cincin,Taiwan,0,0,0,0,Proud of being a Taiwanese. 🤟🏻#TaiwanCanHelp,2,"['JudgePenneyAzcarate', 'AmberHeard']",exclusive depp v heard court reporter dispels rumors about video of he via she is definitely a rock star judgepenneyazcarate appreciate judy because she is a rock star the courtroom began to clap expect amberheard,"['exclusive', 'depp', 'v', 'heard', 'court', 'reporter', 'dispels', 'rumors', 'about', 'video', 'of', 'he', 'via', 'she', 'is', 'definitely', 'a', 'rock', 'star', 'judgepenneyazcarate', 'appreciate', 'judy', 'because', 'she', 'is', 'a', 'rock', 'star', 'the', 'courtroom', 'began', 'to', 'clap', 'expect', 'amberheard']","['exclusive', 'depp', 'v', 'heard', 'court', 'reporter', 'dispels', 'rumors', 'video', 'via', 'definitely', 'rock', 'star', 'judgepenneyazcarate', 'appreciate', 'judy', 'rock', 'star', 'courtroom', 'began', 'clap', 'expect', 'amberheard']","['exclus', 'depp', 'v', 'heard', 'court', 'report', 'dispel', 'rumor', 'video', 'via', 'definit', 'rock', 'star', 'judgepenneyazcar', 'appreci', 'judi', 'rock', 'star', 'courtroom', 'began', 'clap', 'expect', 'amberheard']","['exclusive', 'depp', 'v', 'heard', 'court', 'reporter', 'dispels', 'rumors', 'video', 'via', 'definitely', 'rock', 'star', 'judgepenneyazcarate', 'appreciate', 'judy', 'rock', 'star', 'courtroom', 'began', 'clap', 'expect', 'amberheard']",2,Hong Kong
2022-06-04 07:13:05+00:00,1532983764766273536,"@T_Brautigan @Mike_Honey_ @mildanalyst @RajlabN @BBCHughPym @siamosolocani @EricTopol @Tuliodna Thanks so much, Ted! Truly appreciate your insights on this",chasewnelson,"Taipei, Taiwan",0,1,0,0,"Researcher studying cancer, evolution and viruses @NIH @theNCI @AMNH. Views my own. he/他.

""The best criticism of the bad is the practice of the better."" — Rohr",3942,,thanks so much ted truly appreciate your insights on this,"['thanks', 'so', 'much', 'ted', 'truly', 'appreciate', 'your', 'insights', 'on', 'this']","['thanks', 'much', 'ted', 'truly', 'appreciate', 'insights']","['thank', 'much', 'ted', 'truli', 'appreci', 'insight']","['thanks', 'much', 'ted', 'truly', 'appreciate', 'insights']",5,Hong Kong
2022-06-04 00:25:42+00:00,1532881241346691072,@theharrietmary We may not fully understand how you feel but we love and appreciate all of you wonderful nurses and all the other healthcare workers out there. Thank you for all that you do! 💖 https://t.co/neEfiZxEkF,SolidWomenClub,Macau,1,1,0,0,"1 of 1 Solid Women promoting Diversity, Inclusivity and Women’s Empowerment 🌈 Proceeds to @MalalaFund / @GlobalFundWomen / @SalvationArmy and #WomeninNFTs 🚀✨",4064,,we may not fully understand how you feel but we love and appreciate all of you wonderful nurses and all the other healthcare workers out there thank you for all that you do,"['we', 'may', 'not', 'fully', 'understand', 'how', 'you', 'feel', 'but', 'we', 'love', 'and', 'appreciate', 'all', 'of', 'you', 'wonderful', 'nurses', 'and', 'all', 'the', 'other', 'healthcare', 'workers', 'out', 'there', 'thank', 'you', 'for', 'all', 'that', 'you', 'do']","['may', 'fully', 'understand', 'feel', 'love', 'appreciate', 'wonderful', 'nurses', 'healthcare', 'workers', 'thank']","['may', 'fulli', 'understand', 'feel', 'love', 'appreci', 'wonder', 'nurs', 'healthcar', 'worker', 'thank']","['may', 'fully', 'understand', 'feel', 'love', 'appreciate', 'wonderful', 'nurses', 'healthcare', 'workers', 'thank']",5,Hong Kong
