Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 09:18:13+00:00,1534102419084193792,"Take a moment to appreciate his beauty
#방탄소년단RM #방탄소년단 https://t.co/rlNmOKGopH",suga_swaeg_,Asian,73,0,4,0,♡WE ARE TOGETHER BULLETPROOF♡ •she/her •Btspopper •OT7 but Suga biased,222,"['방탄소년단RM', '방탄소년단']",take a moment to appreciate his beauty rm,"['take', 'a', 'moment', 'to', 'appreciate', 'his', 'beauty', 'rm']","['take', 'moment', 'appreciate', 'beauty', 'rm']","['take', 'moment', 'appreci', 'beauti', 'rm']","['take', 'moment', 'appreciate', 'beauty', 'rm']",4,Iran
2022-06-05 23:59:42+00:00,1533599476635643909,"I don’t agree with the whole “I’m giving people the same energy they give me” i think you should give people your pure, truest energy, the realest version of you, and if they don’t appreciate you then you can walk away. Why would you lower yourself just because they are low ?",saeyix,Kuwait,0,0,0,0,وهل تكفي كلمات التعريف كيّ تعرفني ؟,270,,i dont agree with the whole im giving people the same energy they give me i think you should give people your pure truest energy the realest version of you and if they dont appreciate you then you can walk away why would you lower yourself just because they are low,"['i', 'dont', 'agree', 'with', 'the', 'whole', 'im', 'giving', 'people', 'the', 'same', 'energy', 'they', 'give', 'me', 'i', 'think', 'you', 'should', 'give', 'people', 'your', 'pure', 'truest', 'energy', 'the', 'realest', 'version', 'of', 'you', 'and', 'if', 'they', 'dont', 'appreciate', 'you', 'then', 'you', 'can', 'walk', 'away', 'why', 'would', 'you', 'lower', 'yourself', 'just', 'because', 'they', 'are', 'low']","['dont', 'agree', 'whole', 'im', 'giving', 'people', 'energy', 'give', 'think', 'give', 'people', 'pure', 'truest', 'energy', 'realest', 'version', 'dont', 'appreciate', 'walk', 'away', 'would', 'lower', 'low']","['dont', 'agre', 'whole', 'im', 'give', 'peopl', 'energi', 'give', 'think', 'give', 'peopl', 'pure', 'truest', 'energi', 'realest', 'version', 'dont', 'appreci', 'walk', 'away', 'would', 'lower', 'low']","['dont', 'agree', 'whole', 'im', 'giving', 'people', 'energy', 'give', 'think', 'give', 'people', 'pure', 'truest', 'energy', 'realest', 'version', 'dont', 'appreciate', 'walk', 'away', 'would', 'lower', 'low']",1,Iran
2022-06-04 17:52:01+00:00,1533144555805200384,"@AdnanAlNoorani @bulutbagci We have an amazing planet. We should appreciate the blessing that God has given us

#ArivaCoin",KamranNwrwzy,جمهوری اسلامی ایران,1,0,0,0,"دوس دار طبیعت 
عاشق رنگ سبز 

living  with  my 🌷🌷wife🌷🌷 and my little  boy",62,['ArivaCoin'],we have an amazing planet we should appreciate the blessing that god has given us arivacoin,"['we', 'have', 'an', 'amazing', 'planet', 'we', 'should', 'appreciate', 'the', 'blessing', 'that', 'god', 'has', 'given', 'us', 'arivacoin']","['amazing', 'planet', 'appreciate', 'blessing', 'god', 'given', 'us', 'arivacoin']","['amaz', 'planet', 'appreci', 'bless', 'god', 'given', 'us', 'arivacoin']","['amazing', 'planet', 'appreciate', 'blessing', 'god', 'given', 'us', 'arivacoin']",5,Iran
2022-06-04 09:36:21+00:00,1533019820236713984,"@donbelleilysm Tnx po we as sweethearts appreciate it..
DEPRESSION IS NOT A JOKE
YAKAP MAHIGPIT KD",eljane0902,"Riyadh, Kingdom of Saudi Arabi",8,0,2,0,,1114,,tnx po we as sweethearts appreciate it depression is not a joke yakap mahigpit kd,"['tnx', 'po', 'we', 'as', 'sweethearts', 'appreciate', 'it', 'depression', 'is', 'not', 'a', 'joke', 'yakap', 'mahigpit', 'kd']","['tnx', 'po', 'sweethearts', 'appreciate', 'depression', 'joke', 'yakap', 'mahigpit', 'kd']","['tnx', 'po', 'sweetheart', 'appreci', 'depress', 'joke', 'yakap', 'mahigpit', 'kd']","['tnx', 'po', 'sweethearts', 'appreciate', 'depression', 'joke', 'yakap', 'mahigpit', 'kd']",4,Iran
2022-06-03 14:29:53+00:00,1532731302323146757,@creek_world @Spotify @Robbybeenhere @gypsycat619 @rapz90 @estella_dawn @djonemesis @_landoash @lunascottrussel I really appreciate the support i get from you fam always been there 🙏🏽🔥💜,Fareal_Mw,malawi,4,1,1,0,musician,330,,i really appreciate the support i get from you fam always been there,"['i', 'really', 'appreciate', 'the', 'support', 'i', 'get', 'from', 'you', 'fam', 'always', 'been', 'there']","['really', 'appreciate', 'support', 'get', 'fam', 'always']","['realli', 'appreci', 'support', 'get', 'fam', 'alway']","['really', 'appreciate', 'support', 'get', 'fam', 'always']",5,Iran
2022-06-02 17:47:12+00:00,1532418570503835648,"A lot of people think
I'm unhappy because I'm quiet,
I'm not unhappy.
I just appreciate silence
in a world that never stops talking. https://t.co/N4SGPn68fb",the_father_rat, تهران,2,0,0,0,"painter 
neuroscience",205,,a lot of people think im unhappy because im quiet im not unhappy i just appreciate silence in a world that never stops talking,"['a', 'lot', 'of', 'people', 'think', 'im', 'unhappy', 'because', 'im', 'quiet', 'im', 'not', 'unhappy', 'i', 'just', 'appreciate', 'silence', 'in', 'a', 'world', 'that', 'never', 'stops', 'talking']","['lot', 'people', 'think', 'im', 'unhappy', 'im', 'quiet', 'im', 'unhappy', 'appreciate', 'silence', 'world', 'never', 'stops', 'talking']","['lot', 'peopl', 'think', 'im', 'unhappi', 'im', 'quiet', 'im', 'unhappi', 'appreci', 'silenc', 'world', 'never', 'stop', 'talk']","['lot', 'people', 'think', 'im', 'unhappy', 'im', 'quiet', 'im', 'unhappy', 'appreciate', 'silence', 'world', 'never', 'stops', 'talking']",3,Iran
2022-06-02 01:39:19+00:00,1532174994280796161,Why can’t other people appreciate British tv so I can have someone to drink tea with while not saying put R’s,philadomin,yes,0,0,0,0,"I need to update my photo, but I look the same anyway.",85,,why cant other people appreciate british tv so i can have someone to drink tea with while not saying put rs,"['why', 'cant', 'other', 'people', 'appreciate', 'british', 'tv', 'so', 'i', 'can', 'have', 'someone', 'to', 'drink', 'tea', 'with', 'while', 'not', 'saying', 'put', 'rs']","['cant', 'people', 'appreciate', 'british', 'tv', 'someone', 'drink', 'tea', 'saying', 'put', 'rs']","['cant', 'peopl', 'appreci', 'british', 'tv', 'someon', 'drink', 'tea', 'say', 'put', 'rs']","['cant', 'people', 'appreciate', 'british', 'tv', 'someone', 'drink', 'tea', 'saying', 'put', 'rs']",2,Iran
2022-06-01 06:34:20+00:00,1531886848208928769,A test to appreciate the beautiful and lavish dishes we had last night at the @WomenInTechOrg #GalaDinner at the @Westin #Paris https://t.co/90Cg9PU7Df,Paczie,Bahrain,0,0,0,0,"Chapter Director of @StartupGrind in Bahrain 🇧🇭 I enjoy cooking, table tennis & digital transformative conversations",1614,"['GalaDinner', 'Paris']",a test to appreciate the beautiful and lavish dishes we had last night at the galadinner at the paris,"['a', 'test', 'to', 'appreciate', 'the', 'beautiful', 'and', 'lavish', 'dishes', 'we', 'had', 'last', 'night', 'at', 'the', 'galadinner', 'at', 'the', 'paris']","['test', 'appreciate', 'beautiful', 'lavish', 'dishes', 'last', 'night', 'galadinner', 'paris']","['test', 'appreci', 'beauti', 'lavish', 'dish', 'last', 'night', 'galadinn', 'pari']","['test', 'appreciate', 'beautiful', 'lavish', 'dishes', 'last', 'night', 'galadinner', 'paris']",4,Iran
2022-05-31 21:38:07+00:00,1531751906560950274,"Imagine rotations without doctors asking you QUESTIONS THAT THEY KNOW YOU WONT BE ABLE to ANSWER AND MAKE YOU FEEL STUPID 🙆‍♀️ 
 
Chill doctor don’t expect us to be at your level😭

I appreciate doctors who discuss cases with us + try to build up our knowledge rather than try to..",fa6marajab,Bahrain,2,1,0,0,ARKIS'18 ✨ RCSI🩺💉,293,,imagine rotations without doctors asking you questions that they know you wont be able to answer and make you feel stupid chill doctor dont expect us to be at your level i appreciate doctors who discuss cases with us try to build up our knowledge rather than try to,"['imagine', 'rotations', 'without', 'doctors', 'asking', 'you', 'questions', 'that', 'they', 'know', 'you', 'wont', 'be', 'able', 'to', 'answer', 'and', 'make', 'you', 'feel', 'stupid', 'chill', 'doctor', 'dont', 'expect', 'us', 'to', 'be', 'at', 'your', 'level', 'i', 'appreciate', 'doctors', 'who', 'discuss', 'cases', 'with', 'us', 'try', 'to', 'build', 'up', 'our', 'knowledge', 'rather', 'than', 'try', 'to']","['imagine', 'rotations', 'without', 'doctors', 'asking', 'questions', 'know', 'wont', 'able', 'answer', 'make', 'feel', 'stupid', 'chill', 'doctor', 'dont', 'expect', 'us', 'level', 'appreciate', 'doctors', 'discuss', 'cases', 'us', 'try', 'build', 'knowledge', 'rather', 'try']","['imagin', 'rotat', 'without', 'doctor', 'ask', 'question', 'know', 'wont', 'abl', 'answer', 'make', 'feel', 'stupid', 'chill', 'doctor', 'dont', 'expect', 'us', 'level', 'appreci', 'doctor', 'discuss', 'case', 'us', 'tri', 'build', 'knowledg', 'rather', 'tri']","['imagine', 'rotations', 'without', 'doctors', 'asking', 'questions', 'know', 'wont', 'able', 'answer', 'make', 'feel', 'stupid', 'chill', 'doctor', 'dont', 'expect', 'us', 'level', 'appreciate', 'doctors', 'discuss', 'cases', 'us', 'try', 'build', 'knowledge', 'rather', 'try']",1,Iran
2022-05-30 20:12:18+00:00,1531367919933747200,"@NightThinker_08 I WILL DRAW HER BEING PRETTY, I APPRECIATE HER TOO SKSK",jopajopovna1,asian,87,3,0,0,"| Just froglover and ghostlover from dumpster |
| Marky Wu creator | 20y.o |
any pronouns | rus/eng | demiromantic | bitchsexual | an awesome dude overall |",12290,,i will draw her being pretty i appreciate her too sksk,"['i', 'will', 'draw', 'her', 'being', 'pretty', 'i', 'appreciate', 'her', 'too', 'sksk']","['draw', 'pretty', 'appreciate', 'sksk']","['draw', 'pretti', 'appreci', 'sksk']","['draw', 'pretty', 'appreciate', 'sksk']",3,Iran
