Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 22:58:53+00:00,1534308948160937984,"@_Tom_Henderson_ A journalist's obligation is to their readers and informing the public, not being PR mouthpieces for multi-million dollar corporations. I for one appreciate your report.",ShinDiFire,Canada,3,1,0,0,"Nintendo/Playstation/Xbox fan.
Raptors enthusiast.
""When everybody plays, we all win.""",0,,a journalists obligation is to their readers and informing the public not being pr mouthpieces for multimillion dollar corporations i for one appreciate your report,"['a', 'journalists', 'obligation', 'is', 'to', 'their', 'readers', 'and', 'informing', 'the', 'public', 'not', 'being', 'pr', 'mouthpieces', 'for', 'multimillion', 'dollar', 'corporations', 'i', 'for', 'one', 'appreciate', 'your', 'report']","['journalists', 'obligation', 'readers', 'informing', 'public', 'pr', 'mouthpieces', 'multimillion', 'dollar', 'corporations', 'one', 'appreciate', 'report']","['journalist', 'oblig', 'reader', 'inform', 'public', 'pr', 'mouthpiec', 'multimillion', 'dollar', 'corpor', 'one', 'appreci', 'report']","['journalists', 'obligation', 'readers', 'informing', 'public', 'pr', 'mouthpieces', 'multimillion', 'dollar', 'corporations', 'one', 'appreciate', 'report']",3,Mexico
2022-06-07 22:36:50+00:00,1534303396458545153,"@Nemplays It's a fun distraction from the stale Crucible, much like Rift &amp; Mayhem. There's a """"skillgap"""" one can appreciate more since everyone is on the same boat.

Rift + Team Scorched is a dream mash up of mine.",HexTheOutcast,"Puerto Rico, USA",4,0,0,0,"🇵🇷 Gamer for the rest of my days. 29 He/Him.

Bungie ID: HexTheOutcast#8215

PFP & Header by: @theEverdrift",161,,its a fun distraction from the stale crucible much like rift amp mayhem theres a skillgap one can appreciate more since everyone is on the same boat rift team scorched is a dream mash up of mine,"['its', 'a', 'fun', 'distraction', 'from', 'the', 'stale', 'crucible', 'much', 'like', 'rift', 'amp', 'mayhem', 'theres', 'a', 'skillgap', 'one', 'can', 'appreciate', 'more', 'since', 'everyone', 'is', 'on', 'the', 'same', 'boat', 'rift', 'team', 'scorched', 'is', 'a', 'dream', 'mash', 'up', 'of', 'mine']","['fun', 'distraction', 'stale', 'crucible', 'much', 'like', 'rift', 'amp', 'mayhem', 'theres', 'skillgap', 'one', 'appreciate', 'since', 'everyone', 'boat', 'rift', 'team', 'scorched', 'dream', 'mash', 'mine']","['fun', 'distract', 'stale', 'crucibl', 'much', 'like', 'rift', 'amp', 'mayhem', 'there', 'skillgap', 'one', 'appreci', 'sinc', 'everyon', 'boat', 'rift', 'team', 'scorch', 'dream', 'mash', 'mine']","['fun', 'distraction', 'stale', 'crucible', 'much', 'like', 'rift', 'amp', 'mayhem', 'theres', 'skillgap', 'one', 'appreciate', 'since', 'everyone', 'boat', 'rift', 'team', 'scorched', 'dream', 'mash', 'mine']",4,Mexico
2022-06-07 22:00:13+00:00,1534294180180148225,"This day encourages everyone to appreciate those who care, and to care for them just as much! Even an act as small as asking how someone’s day went, shows that you care, and can improve that person’s overall well-being.

https://t.co/lXyXvYBky6 https://t.co/PTZkPM2fxu",myblueprint,Canada,2,0,1,1,"Leading edtech company and developer of digital portfolios and career/life planning software for K-12 and post-secondary. Here to help 8am-6pm ET, Mon-Fri.",4204,,this day encourages everyone to appreciate those who care and to care for them just as much even an act as small as asking how someones day went shows that you care and can improve that persons overall wellbeing,"['this', 'day', 'encourages', 'everyone', 'to', 'appreciate', 'those', 'who', 'care', 'and', 'to', 'care', 'for', 'them', 'just', 'as', 'much', 'even', 'an', 'act', 'as', 'small', 'as', 'asking', 'how', 'someones', 'day', 'went', 'shows', 'that', 'you', 'care', 'and', 'can', 'improve', 'that', 'persons', 'overall', 'wellbeing']","['day', 'encourages', 'everyone', 'appreciate', 'care', 'care', 'much', 'even', 'act', 'small', 'asking', 'someones', 'day', 'went', 'shows', 'care', 'improve', 'persons', 'overall', 'wellbeing']","['day', 'encourag', 'everyon', 'appreci', 'care', 'care', 'much', 'even', 'act', 'small', 'ask', 'someon', 'day', 'went', 'show', 'care', 'improv', 'person', 'overal', 'wellb']","['day', 'encourages', 'everyone', 'appreciate', 'care', 'care', 'much', 'even', 'act', 'small', 'asking', 'someones', 'day', 'went', 'shows', 'care', 'improve', 'persons', 'overall', 'wellbeing']",5,Mexico
2022-06-07 21:51:19+00:00,1534291940941910016,Thanks for the invite ⁦@coachlackey⁩ really appreciate it ESU Warriors ⁦@ESU_Football⁩ 🔴⚫️⚪️ ⁦@SAVeteransFBall⁩ ⁦@JosephAHastings⁩ ⁦⁦@PrepRedzoneTX⁩ ⁦@ScottRapp17⁩ https://t.co/LZiO0hWP5y,jffootball7,"San Antonio, TX",8,0,2,0,"|2025|DB|student|athlete|weight| |153lbs|height 5,11|gpa3.5|@SAVeteransFball I hate WR’S❌ 🌴954 ~210",126,,thanks for the invite really appreciate it esu warriors,"['thanks', 'for', 'the', 'invite', 'really', 'appreciate', 'it', 'esu', 'warriors']","['thanks', 'invite', 'really', 'appreciate', 'esu', 'warriors']","['thank', 'invit', 'realli', 'appreci', 'esu', 'warrior']","['thanks', 'invite', 'really', 'appreciate', 'esu', 'warriors']",5,Mexico
2022-06-07 20:13:48+00:00,1534267401931567107,"Congratulations to Dr. Jonathan Molnar at Floyd Medical Center in Rome, GA, for the first #SurfacerSystem case in Georgia. Twenty states have now successfully completed #insideout procedures.  We appreciate the great proctoring by @J.D. Craig, @Jason Fair and @MeritMedical team. https://t.co/nMxoGiTbgk",BlugrssVascular,"San Antonio, TX",1,0,0,0,Bluegrass Vascular Technologies is in the business of innovating lifesaving devices and methods that address shortcomings in vascular access procedures.,211,"['SurfacerSystem', 'insideout']",congratulations to dr jonathan molnar at floyd medical center in rome ga for the first surfacersystem case in georgia twenty states have now successfully completed insideout procedures we appreciate the great proctoring by craig fair and team,"['congratulations', 'to', 'dr', 'jonathan', 'molnar', 'at', 'floyd', 'medical', 'center', 'in', 'rome', 'ga', 'for', 'the', 'first', 'surfacersystem', 'case', 'in', 'georgia', 'twenty', 'states', 'have', 'now', 'successfully', 'completed', 'insideout', 'procedures', 'we', 'appreciate', 'the', 'great', 'proctoring', 'by', 'craig', 'fair', 'and', 'team']","['congratulations', 'dr', 'jonathan', 'molnar', 'floyd', 'medical', 'center', 'rome', 'ga', 'first', 'surfacersystem', 'case', 'georgia', 'twenty', 'states', 'successfully', 'completed', 'insideout', 'procedures', 'appreciate', 'great', 'proctoring', 'craig', 'fair', 'team']","['congratul', 'dr', 'jonathan', 'molnar', 'floyd', 'medic', 'center', 'rome', 'ga', 'first', 'surfacersystem', 'case', 'georgia', 'twenti', 'state', 'success', 'complet', 'insideout', 'procedur', 'appreci', 'great', 'proctor', 'craig', 'fair', 'team']","['congratulations', 'dr', 'jonathan', 'molnar', 'floyd', 'medical', 'center', 'rome', 'ga', 'first', 'surfacersystem', 'case', 'georgia', 'twenty', 'states', 'successfully', 'completed', 'insideout', 'procedures', 'appreciate', 'great', 'proctoring', 'craig', 'fair', 'team']",5,Mexico
2022-06-07 19:26:33+00:00,1534255510442037248,"Boo, babe! I appreciate your eyelashes. The rainbows are voluptuous! My guppy, Clive is thriving! Catchyaondaflipside!",CharismaticBot,Popular,0,0,0,0,Make new friends & stay connected with old ones post-pandemic with small-talk inspo from the CharismaticBot 🗣,1,,boo babe i appreciate your eyelashes the rainbows are voluptuous my guppy clive is thriving catchyaondaflipside,"['boo', 'babe', 'i', 'appreciate', 'your', 'eyelashes', 'the', 'rainbows', 'are', 'voluptuous', 'my', 'guppy', 'clive', 'is', 'thriving', 'catchyaondaflipside']","['boo', 'babe', 'appreciate', 'eyelashes', 'rainbows', 'voluptuous', 'guppy', 'clive', 'thriving', 'catchyaondaflipside']","['boo', 'babe', 'appreci', 'eyelash', 'rainbow', 'voluptu', 'guppi', 'clive', 'thrive', 'catchyaondaflipsid']","['boo', 'babe', 'appreciate', 'eyelashes', 'rainbows', 'voluptuous', 'guppy', 'clive', 'thriving', 'catchyaondaflipside']",5,Mexico
2022-06-07 18:03:00+00:00,1534234484605956097,"@drewrych_ Like, I literally had that happen a month ago. It still has me skeptical of ever taking part in it, but I appreciate you telling me anyways even if I just don’t get the appeal tbh.",cafzka,"Puerto Rico, USA",1,2,0,0,"West-End Bori 🇵🇷 || Eng/Spa OK || Illustrations, Comix, and In-between 🎨 || Freelance || Commissions Open ✌️|| Sticker Club in Link",2050,,like i literally had that happen a month ago it still has me skeptical of ever taking part in it but i appreciate you telling me anyways even if i just dont get the appeal tbh,"['like', 'i', 'literally', 'had', 'that', 'happen', 'a', 'month', 'ago', 'it', 'still', 'has', 'me', 'skeptical', 'of', 'ever', 'taking', 'part', 'in', 'it', 'but', 'i', 'appreciate', 'you', 'telling', 'me', 'anyways', 'even', 'if', 'i', 'just', 'dont', 'get', 'the', 'appeal', 'tbh']","['like', 'literally', 'happen', 'month', 'ago', 'still', 'skeptical', 'ever', 'taking', 'part', 'appreciate', 'telling', 'anyways', 'even', 'dont', 'get', 'appeal', 'tbh']","['like', 'liter', 'happen', 'month', 'ago', 'still', 'skeptic', 'ever', 'take', 'part', 'appreci', 'tell', 'anyway', 'even', 'dont', 'get', 'appeal', 'tbh']","['like', 'literally', 'happen', 'month', 'ago', 'still', 'skeptical', 'ever', 'taking', 'part', 'appreciate', 'telling', 'anyways', 'even', 'dont', 'get', 'appeal', 'tbh']",4,Mexico
2022-06-07 17:37:16+00:00,1534228006771773442,"@TrickyTrebuchet @vertiroo @KendraIzzy @Kat_ASB @nomadsammey @SahilBloom And, again, you are an adult male acting as if your reality is everyone's. It is not. If you listened, maybe you would appreciate that. And ""doing those things with a higher chance of danger"" is recommending to young people to invade people's space on a Saturday morning",PickleMrs,Canada,1,1,0,0,"Canadian🇨🇦.
Atheist.
Human rights aren't a matter of opinion. 
She/Her.
I'm the bleeding-heart liberal your Mama warned you about",1685,,and again you are an adult male acting as if your reality is everyones it is not if you listened maybe you would appreciate that and doing those things with a higher chance of danger is recommending to young people to invade peoples space on a saturday morning,"['and', 'again', 'you', 'are', 'an', 'adult', 'male', 'acting', 'as', 'if', 'your', 'reality', 'is', 'everyones', 'it', 'is', 'not', 'if', 'you', 'listened', 'maybe', 'you', 'would', 'appreciate', 'that', 'and', 'doing', 'those', 'things', 'with', 'a', 'higher', 'chance', 'of', 'danger', 'is', 'recommending', 'to', 'young', 'people', 'to', 'invade', 'peoples', 'space', 'on', 'a', 'saturday', 'morning']","['adult', 'male', 'acting', 'reality', 'everyones', 'listened', 'maybe', 'would', 'appreciate', 'things', 'higher', 'chance', 'danger', 'recommending', 'young', 'people', 'invade', 'peoples', 'space', 'saturday', 'morning']","['adult', 'male', 'act', 'realiti', 'everyon', 'listen', 'mayb', 'would', 'appreci', 'thing', 'higher', 'chanc', 'danger', 'recommend', 'young', 'peopl', 'invad', 'peopl', 'space', 'saturday', 'morn']","['adult', 'male', 'acting', 'reality', 'everyones', 'listened', 'maybe', 'would', 'appreciate', 'things', 'higher', 'chance', 'danger', 'recommending', 'young', 'people', 'invade', 'peoples', 'space', 'saturday', 'morning']",3,Mexico
2022-06-07 16:11:47+00:00,1534206495075729409,@RAanalytics How do you select which athletes you will capture the data from? Also how can a young person be evaluated to get into your data systems. I appreciate your response. 🙏🏽🏁,DeAntaReese,Carolinas ,0,0,0,0,God's Child | 21st Century Educator | Secondary Coach | Motivator,587,,how do you select which athletes you will capture the data from also how can a young person be evaluated to get into your data systems i appreciate your response,"['how', 'do', 'you', 'select', 'which', 'athletes', 'you', 'will', 'capture', 'the', 'data', 'from', 'also', 'how', 'can', 'a', 'young', 'person', 'be', 'evaluated', 'to', 'get', 'into', 'your', 'data', 'systems', 'i', 'appreciate', 'your', 'response']","['select', 'athletes', 'capture', 'data', 'also', 'young', 'person', 'evaluated', 'get', 'data', 'systems', 'appreciate', 'response']","['select', 'athlet', 'captur', 'data', 'also', 'young', 'person', 'evalu', 'get', 'data', 'system', 'appreci', 'respons']","['select', 'athletes', 'capture', 'data', 'also', 'young', 'person', 'evaluated', 'get', 'data', 'systems', 'appreciate', 'response']",4,Mexico
2022-06-07 15:02:05+00:00,1534188956887224320,If anyone can please help let me get to the doctor's appointment to pick up my medication I would appreciate it https://t.co/rZbUrNBSFK,MY_KINDA_SEX_ED,Canada,0,0,1,0,"★ they/them disabled Irish/Canadian giving their point of view on all things I want. Medical cannabis saves lives ★
*warning rape/domestic abuse",1625,,if anyone can please help let me get to the doctors appointment to pick up my medication i would appreciate it,"['if', 'anyone', 'can', 'please', 'help', 'let', 'me', 'get', 'to', 'the', 'doctors', 'appointment', 'to', 'pick', 'up', 'my', 'medication', 'i', 'would', 'appreciate', 'it']","['anyone', 'please', 'help', 'let', 'get', 'doctors', 'appointment', 'pick', 'medication', 'would', 'appreciate']","['anyon', 'pleas', 'help', 'let', 'get', 'doctor', 'appoint', 'pick', 'medic', 'would', 'appreci']","['anyone', 'please', 'help', 'let', 'get', 'doctors', 'appointment', 'pick', 'medication', 'would', 'appreciate']",3,Mexico
