Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 20:08:12+00:00,1533541216859541504,@t1mcook @daniel_stocks8 @GSpier Appreciate it 🙂,TomInvesting,"Hamilton City, New Zealand",2,0,0,0,"I talk about stocks on the internet | 💼 Value Style Investor | 🎥 30,000+ Subscribers on YouTube |🇳🇿 Kiwi",7080,,appreciate it,"['appreciate', 'it']",['appreciate'],['appreci'],['appreciate'],4,New Zealand
2022-06-04 22:10:19+00:00,1533209559980036098,@SenWhitehouse Thank you.  I know you truly care and you are fighting an uphill battle. Appreciate all you do for us and for democracy,Lisa86550169,East Coast,2,0,0,0,"I  STAND WITH CUOMO

I love nature and animals
Dad was a Phd in Mathematics
 and a WW2 vet",525,,thank you i know you truly care and you are fighting an uphill battle appreciate all you do for us and for democracy,"['thank', 'you', 'i', 'know', 'you', 'truly', 'care', 'and', 'you', 'are', 'fighting', 'an', 'uphill', 'battle', 'appreciate', 'all', 'you', 'do', 'for', 'us', 'and', 'for', 'democracy']","['thank', 'know', 'truly', 'care', 'fighting', 'uphill', 'battle', 'appreciate', 'us', 'democracy']","['thank', 'know', 'truli', 'care', 'fight', 'uphil', 'battl', 'appreci', 'us', 'democraci']","['thank', 'know', 'truly', 'care', 'fighting', 'uphill', 'battle', 'appreciate', 'us', 'democracy']",5,New Zealand
2022-06-04 14:37:11+00:00,1533095527084019712,@chrisfreeland @archiveteam Thank you! REALLY appreciate this.,SiobhanLeachman,"Wellington City, New Zealand",1,0,0,0,"Wikimedian, citizen scientist, digital curator, volunteer, nature nerd, wine geek, partner & mum. She/her.",4281,,thank you really appreciate this,"['thank', 'you', 'really', 'appreciate', 'this']","['thank', 'really', 'appreciate']","['thank', 'realli', 'appreci']","['thank', 'really', 'appreciate']",5,New Zealand
2022-06-03 22:42:38+00:00,1532855307184967680,@2witterbird The thing is I get his criticism and it’s valid but he could have handled it so much better. I do appreciate constructive criticism. I should have prepared the other vet better but I’m just so flat out I didn’t have time but also didn’t want to keep the dog waiting.,FeltonR,NZ,0,1,0,0,"Veterinarian and pharmacologist. Technophile, gamer and egalitarian. Proud co-owner of an independent Vet Hospital. onewavets.co.nz/?gclid=Cj He/Him",1957,,the thing is i get his criticism and its valid but he could have handled it so much better i do appreciate constructive criticism i should have prepared the other vet better but im just so flat out i didnt have time but also didnt want to keep the dog waiting,"['the', 'thing', 'is', 'i', 'get', 'his', 'criticism', 'and', 'its', 'valid', 'but', 'he', 'could', 'have', 'handled', 'it', 'so', 'much', 'better', 'i', 'do', 'appreciate', 'constructive', 'criticism', 'i', 'should', 'have', 'prepared', 'the', 'other', 'vet', 'better', 'but', 'im', 'just', 'so', 'flat', 'out', 'i', 'didnt', 'have', 'time', 'but', 'also', 'didnt', 'want', 'to', 'keep', 'the', 'dog', 'waiting']","['thing', 'get', 'criticism', 'valid', 'could', 'handled', 'much', 'better', 'appreciate', 'constructive', 'criticism', 'prepared', 'vet', 'better', 'im', 'flat', 'didnt', 'time', 'also', 'didnt', 'want', 'keep', 'dog', 'waiting']","['thing', 'get', 'critic', 'valid', 'could', 'handl', 'much', 'better', 'appreci', 'construct', 'critic', 'prepar', 'vet', 'better', 'im', 'flat', 'didnt', 'time', 'also', 'didnt', 'want', 'keep', 'dog', 'wait']","['thing', 'get', 'criticism', 'valid', 'could', 'handled', 'much', 'better', 'appreciate', 'constructive', 'criticism', 'prepared', 'vet', 'better', 'im', 'flat', 'didnt', 'time', 'also', 'didnt', 'want', 'keep', 'dog', 'waiting']",3,New Zealand
2022-06-03 07:11:11+00:00,1532620896720285696,"@DeniseN66302339 
Thank you, pretty tired/ not thinking straight...
Appreciate your cares 🤩",Finnyx5,"Christchurch, New Zealand",1,0,0,0,Every time u're good u grow a bit.Make me laugh n make my day 4 sure/ will try 2 do 2 back.🥰 the 🌞.Cherish what u have now.B respectful or Byeeeee.,864,,thank you pretty tired not thinking straight appreciate your cares,"['thank', 'you', 'pretty', 'tired', 'not', 'thinking', 'straight', 'appreciate', 'your', 'cares']","['thank', 'pretty', 'tired', 'thinking', 'straight', 'appreciate', 'cares']","['thank', 'pretti', 'tire', 'think', 'straight', 'appreci', 'care']","['thank', 'pretty', 'tired', 'thinking', 'straight', 'appreciate', 'cares']",3,New Zealand
2022-06-01 08:43:40+00:00,1531919398247620608,@DallasBarnett3 I appreciate the advice. Will look into them. It’s a career move that’s been suggested throughout my adult life. Much to ponder 🤔,thekarlneilson,New Plymouth,1,1,0,0,It’s a long story; this is short.,466,,i appreciate the advice will look into them its a career move thats been suggested throughout my adult life much to ponder,"['i', 'appreciate', 'the', 'advice', 'will', 'look', 'into', 'them', 'its', 'a', 'career', 'move', 'thats', 'been', 'suggested', 'throughout', 'my', 'adult', 'life', 'much', 'to', 'ponder']","['appreciate', 'advice', 'look', 'career', 'move', 'thats', 'suggested', 'throughout', 'adult', 'life', 'much', 'ponder']","['appreci', 'advic', 'look', 'career', 'move', 'that', 'suggest', 'throughout', 'adult', 'life', 'much', 'ponder']","['appreciate', 'advice', 'look', 'career', 'move', 'thats', 'suggested', 'throughout', 'adult', 'life', 'much', 'ponder']",4,New Zealand
2022-06-01 05:16:21+00:00,1531867223983534081,"@Aranock1 @jessiegender I deeply appreciate how @jessiegender always goes out of her way to find entertaining approaches to serious issues and look at the ""concerns"" even when the topic should be straight forward and the ""concerns"" are horrifying propaganda tactics.",wincenworks,"Wellington City, New Zealand",1,0,0,0,I am a cishet (he/him) nightmare level bureaucrat and owner of Hitmanforum. Married to 🖤 @jetblackraider 🖤,643,,i deeply appreciate how always goes out of her way to find entertaining approaches to serious issues and look at the concerns even when the topic should be straight forward and the concerns are horrifying propaganda tactics,"['i', 'deeply', 'appreciate', 'how', 'always', 'goes', 'out', 'of', 'her', 'way', 'to', 'find', 'entertaining', 'approaches', 'to', 'serious', 'issues', 'and', 'look', 'at', 'the', 'concerns', 'even', 'when', 'the', 'topic', 'should', 'be', 'straight', 'forward', 'and', 'the', 'concerns', 'are', 'horrifying', 'propaganda', 'tactics']","['deeply', 'appreciate', 'always', 'goes', 'way', 'find', 'entertaining', 'approaches', 'serious', 'issues', 'look', 'concerns', 'even', 'topic', 'straight', 'forward', 'concerns', 'horrifying', 'propaganda', 'tactics']","['deepli', 'appreci', 'alway', 'goe', 'way', 'find', 'entertain', 'approach', 'seriou', 'issu', 'look', 'concern', 'even', 'topic', 'straight', 'forward', 'concern', 'horrifi', 'propaganda', 'tactic']","['deeply', 'appreciate', 'always', 'goes', 'way', 'find', 'entertaining', 'approaches', 'serious', 'issues', 'look', 'concerns', 'even', 'topic', 'straight', 'forward', 'concerns', 'horrifying', 'propaganda', 'tactics']",4,New Zealand
2022-05-31 06:08:13+00:00,1531517886896164864,"@nurseDrTC Right, it’s not just the positionality it’s the unspoken assumptions that come with that for better or worse. Appreciate your whakaaro!",FitzmauriceLuke,Te Whanganui-a-Tara,3,0,0,0,Te Aupōuri/Pākehā. He/him. Now fully qualified to make dad jokes.,3432,,right its not just the positionality its the unspoken assumptions that come with that for better or worse appreciate your whakaaro,"['right', 'its', 'not', 'just', 'the', 'positionality', 'its', 'the', 'unspoken', 'assumptions', 'that', 'come', 'with', 'that', 'for', 'better', 'or', 'worse', 'appreciate', 'your', 'whakaaro']","['right', 'positionality', 'unspoken', 'assumptions', 'come', 'better', 'worse', 'appreciate', 'whakaaro']","['right', 'position', 'unspoken', 'assumpt', 'come', 'better', 'wors', 'appreci', 'whakaaro']","['right', 'positionality', 'unspoken', 'assumptions', 'come', 'better', 'worse', 'appreciate', 'whakaaro']",4,New Zealand
2022-05-30 23:31:28+00:00,1531418044337385472,"Confession: Despite its popularity, I don't actually like the Köln Concert. But I can appreciate how the drama surrounding the concert (including that Jarrett wanted to cancel and had to change his playing style because the venue provided the wrong piano) would make great movie.",thewalkingfool,"Christchurch, New Zealand",2,0,0,0,"Author of the novel SWEDEN (The Mantle, 2018), translator, traveller on foot, Japan lover, jazz buff, albatross watcher.",410,,confession despite its popularity i dont actually like the kln concert but i can appreciate how the drama surrounding the concert including that jarrett wanted to cancel and had to change his playing style because the venue provided the wrong piano would make great movie,"['confession', 'despite', 'its', 'popularity', 'i', 'dont', 'actually', 'like', 'the', 'kln', 'concert', 'but', 'i', 'can', 'appreciate', 'how', 'the', 'drama', 'surrounding', 'the', 'concert', 'including', 'that', 'jarrett', 'wanted', 'to', 'cancel', 'and', 'had', 'to', 'change', 'his', 'playing', 'style', 'because', 'the', 'venue', 'provided', 'the', 'wrong', 'piano', 'would', 'make', 'great', 'movie']","['confession', 'despite', 'popularity', 'dont', 'actually', 'like', 'kln', 'concert', 'appreciate', 'drama', 'surrounding', 'concert', 'including', 'jarrett', 'wanted', 'cancel', 'change', 'playing', 'style', 'venue', 'provided', 'wrong', 'piano', 'would', 'make', 'great', 'movie']","['confess', 'despit', 'popular', 'dont', 'actual', 'like', 'kln', 'concert', 'appreci', 'drama', 'surround', 'concert', 'includ', 'jarrett', 'want', 'cancel', 'chang', 'play', 'style', 'venu', 'provid', 'wrong', 'piano', 'would', 'make', 'great', 'movi']","['confession', 'despite', 'popularity', 'dont', 'actually', 'like', 'kln', 'concert', 'appreciate', 'drama', 'surrounding', 'concert', 'including', 'jarrett', 'wanted', 'cancel', 'change', 'playing', 'style', 'venue', 'provided', 'wrong', 'piano', 'would', 'make', 'great', 'movie']",3,New Zealand
2022-05-30 23:31:04+00:00,1531417943615148033,@randi_vet 🙏🏾🙏🏾 appreciate you're kindness,BigTWil34,East Coast,1,0,0,0,"Host of .@PhullCourt76 Podcast 🎙
Occasionally on @975Middays #HereTheyCome #Sixers #NBATwitter 
tweets are my own opinion.",1272,,appreciate youre kindness,"['appreciate', 'youre', 'kindness']","['appreciate', 'youre', 'kindness']","['appreci', 'your', 'kind']","['appreciate', 'youre', 'kindness']",4,New Zealand
