Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 21:23:58+00:00,1.5335602821858673e+18,"Appreciate life. Once you get it, take care of yourself 🤟👍🙏🤟👍",Faisals26177955,Faisalabad pakistan,1.0,0.0,0.0,0.0,زندگی اک انمول تحفہ ہے,0.0,,appreciate life once you get it take care of yourself,"['appreciate', 'life', 'once', 'you', 'get', 'it', 'take', 'care', 'of', 'yourself']","['appreciate', 'life', 'get', 'take', 'care']","['appreci', 'life', 'get', 'take', 'care']","['appreciate', 'life', 'get', 'take', 'care']",5,Pakistan
2022-06-05 21:15:33+00:00,1.5335581669270692e+18,"I'm the type of person who will prefer doing things to make you feel special rather than saying "" I love you""or""I care about you"" 
I'll appreciate you more by my actions than words because I'm not an expressive person (1/2)",beemar_jan,Pakistan,1.0,1.0,1.0,0.0,"ایسا حقیقتوں سے تصادم ہوا کہ بس                                            

میں خود تو بچ گیا ہوں میرے خواب مر گئے",553.0,,im the type of person who will prefer doing things to make you feel special rather than saying i love youori care about you ill appreciate you more by my actions than words because im not an expressive person 12,"['im', 'the', 'type', 'of', 'person', 'who', 'will', 'prefer', 'doing', 'things', 'to', 'make', 'you', 'feel', 'special', 'rather', 'than', 'saying', 'i', 'love', 'youori', 'care', 'about', 'you', 'ill', 'appreciate', 'you', 'more', 'by', 'my', 'actions', 'than', 'words', 'because', 'im', 'not', 'an', 'expressive', 'person', '12']","['im', 'type', 'person', 'prefer', 'things', 'make', 'feel', 'special', 'rather', 'saying', 'love', 'youori', 'care', 'ill', 'appreciate', 'actions', 'words', 'im', 'expressive', 'person', '12']","['im', 'type', 'person', 'prefer', 'thing', 'make', 'feel', 'special', 'rather', 'say', 'love', 'youori', 'care', 'ill', 'appreci', 'action', 'word', 'im', 'express', 'person', '12']","['im', 'type', 'person', 'prefer', 'things', 'make', 'feel', 'special', 'rather', 'saying', 'love', 'youori', 'care', 'ill', 'appreciate', 'actions', 'words', 'im', 'expressive', 'person', '12']",3,Pakistan
2022-06-05 18:12:20+00:00,1.5335120587711035e+18,"@Agrawal281 @arghyalahiri @priyankac19 Pls send to me
I am hindu,,&amp; i will appreciate u
Because after seeing cases like aryan khan, Rhea chakrabarti, fake number of deaths by India's health ministry 
Only a certified ch***ya bjp's gandhbhakt will believe in any report 😅😅😅😅😅😅😅",VasuBnsl789,"Punjab, India",0.0,2.0,0.0,0.0,PHARMACIST #NofarmersNofood,965.0,,pls send to me i am hinduamp i will appreciate u because after seeing cases like aryan khan rhea chakrabarti fake number of deaths by indias health ministry only a certified chya bjps gandhbhakt will believe in any report,"['pls', 'send', 'to', 'me', 'i', 'am', 'hinduamp', 'i', 'will', 'appreciate', 'u', 'because', 'after', 'seeing', 'cases', 'like', 'aryan', 'khan', 'rhea', 'chakrabarti', 'fake', 'number', 'of', 'deaths', 'by', 'indias', 'health', 'ministry', 'only', 'a', 'certified', 'chya', 'bjps', 'gandhbhakt', 'will', 'believe', 'in', 'any', 'report']","['pls', 'send', 'hinduamp', 'appreciate', 'u', 'seeing', 'cases', 'like', 'aryan', 'khan', 'rhea', 'chakrabarti', 'fake', 'number', 'deaths', 'indias', 'health', 'ministry', 'certified', 'chya', 'bjps', 'gandhbhakt', 'believe', 'report']","['pl', 'send', 'hinduamp', 'appreci', 'u', 'see', 'case', 'like', 'aryan', 'khan', 'rhea', 'chakrabarti', 'fake', 'number', 'death', 'india', 'health', 'ministri', 'certifi', 'chya', 'bjp', 'gandhbhakt', 'believ', 'report']","['pls', 'send', 'hinduamp', 'appreciate', 'u', 'seeing', 'cases', 'like', 'aryan', 'khan', 'rhea', 'chakrabarti', 'fake', 'number', 'deaths', 'indias', 'health', 'ministry', 'certified', 'chya', 'bjps', 'gandhbhakt', 'believe', 'report']",1,Pakistan
2022-06-05 09:45:37+00:00,1.5333845362599813e+18,"Thanku for giving us this amazing piece of art!#sarmadkhoosat 
Music🙌I don't have enough words 2 appreciate u @MSaadSultan
brilliant!Needless 2 say actors did such a fine job @SabaQamarActor
#SaniaSaeed #Hamzakhawaja
@nimrabucha @omairana
#RevivalofPakistaniCinema #kamlithefilm https://t.co/aYAozaHB5g",itsmeZara33,"Lahore, Pakistan",1.0,0.0,0.0,0.0,,65.0,"['sarmadkhoosat', 'SaniaSaeed', 'Hamzakhawaja', 'RevivalofPakistaniCinema', 'kamlithefilm']",thanku for giving us this amazing piece of artsarmadkhoosat musici dont have enough words 2 appreciate u brilliantneedless 2 say actors did such a fine job saniasaeed hamzakhawaja revivalofpakistanicinema kamlithefilm,"['thanku', 'for', 'giving', 'us', 'this', 'amazing', 'piece', 'of', 'artsarmadkhoosat', 'musici', 'dont', 'have', 'enough', 'words', '2', 'appreciate', 'u', 'brilliantneedless', '2', 'say', 'actors', 'did', 'such', 'a', 'fine', 'job', 'saniasaeed', 'hamzakhawaja', 'revivalofpakistanicinema', 'kamlithefilm']","['thanku', 'giving', 'us', 'amazing', 'piece', 'artsarmadkhoosat', 'musici', 'dont', 'enough', 'words', '2', 'appreciate', 'u', 'brilliantneedless', '2', 'say', 'actors', 'fine', 'job', 'saniasaeed', 'hamzakhawaja', 'revivalofpakistanicinema', 'kamlithefilm']","['thanku', 'give', 'us', 'amaz', 'piec', 'artsarmadkhoosat', 'musici', 'dont', 'enough', 'word', '2', 'appreci', 'u', 'brilliantneedless', '2', 'say', 'actor', 'fine', 'job', 'saniasae', 'hamzakhawaja', 'revivalofpakistanicinema', 'kamlithefilm']","['thanku', 'giving', 'us', 'amazing', 'piece', 'artsarmadkhoosat', 'musici', 'dont', 'enough', 'words', '2', 'appreciate', 'u', 'brilliantneedless', '2', 'say', 'actors', 'fine', 'job', 'saniasaeed', 'hamzakhawaja', 'revivalofpakistanicinema', 'kamlithefilm']",5,Pakistan
2022-06-05 09:19:16+00:00,1.5333779069105766e+18,Appreciate this. But lot of others things remain to do like this. https://t.co/fWgePLcfFs,Public_Issue360,Pakistan,6.0,0.0,2.0,0.0,SED Punjab,5351.0,,appreciate this but lot of others things remain to do like this,"['appreciate', 'this', 'but', 'lot', 'of', 'others', 'things', 'remain', 'to', 'do', 'like', 'this']","['appreciate', 'lot', 'others', 'things', 'remain', 'like']","['appreci', 'lot', 'other', 'thing', 'remain', 'like']","['appreciate', 'lot', 'others', 'things', 'remain', 'like']",4,Pakistan
2022-06-05 01:38:03+00:00,1.5332618378733445e+18,"Environment plays an important role in our life, it gives us everything we need to live. Never take Mother Earth for granted.

On this #WorldEnvironmentDay,i wanna appreciate DSS followers who are making efforts to save environment by planting trees.🌱
#WorldEnvironmentDay2022 https://t.co/0BXGpEZYhF",gagni1925,"Bathinda, Punjab",149.0,3.0,141.0,0.0,вєℓιєνєя  ||  ωσякιηg ση муѕєℓƒ  ||  вℓєѕѕє∂ ву мυяѕнι∂❣🌸✨,1133.0,"['WorldEnvironmentDay', 'WorldEnvironmentDay2022']",environment plays an important role in our life it gives us everything we need to live never take mother earth for granted on this worldenvironmentdayi wanna appreciate dss followers who are making efforts to save environment by planting trees worldenvironmentday2022,"['environment', 'plays', 'an', 'important', 'role', 'in', 'our', 'life', 'it', 'gives', 'us', 'everything', 'we', 'need', 'to', 'live', 'never', 'take', 'mother', 'earth', 'for', 'granted', 'on', 'this', 'worldenvironmentdayi', 'wanna', 'appreciate', 'dss', 'followers', 'who', 'are', 'making', 'efforts', 'to', 'save', 'environment', 'by', 'planting', 'trees', 'worldenvironmentday2022']","['environment', 'plays', 'important', 'role', 'life', 'gives', 'us', 'everything', 'need', 'live', 'never', 'take', 'mother', 'earth', 'granted', 'worldenvironmentdayi', 'wanna', 'appreciate', 'dss', 'followers', 'making', 'efforts', 'save', 'environment', 'planting', 'trees', 'worldenvironmentday2022']","['environ', 'play', 'import', 'role', 'life', 'give', 'us', 'everyth', 'need', 'live', 'never', 'take', 'mother', 'earth', 'grant', 'worldenvironmentdayi', 'wanna', 'appreci', 'dss', 'follow', 'make', 'effort', 'save', 'environ', 'plant', 'tree', 'worldenvironmentday2022']","['environment', 'plays', 'important', 'role', 'life', 'gives', 'us', 'everything', 'need', 'live', 'never', 'take', 'mother', 'earth', 'granted', 'worldenvironmentdayi', 'wanna', 'appreciate', 'dss', 'followers', 'making', 'efforts', 'save', 'environment', 'planting', 'trees', 'worldenvironmentday2022']",5,Pakistan
2022-06-05 00:57:48+00:00,1.5332517087843738e+18,"We’re required to inform you that there would be a supply outage owing to planned electricity network maintenance.

We highly appreciate your understanding.

#Thankyou for being patient, while the service is being restored.

#Rohtak #Panipat #Kaithal #Kurukshetra https://t.co/LAEIqHmdvO",uhbvnpkl,"Panchkula, Haryana",7.0,5.0,2.0,0.0,"Official Twitter handle of UHBVNL, a Government of Haryana Undertaking, engaged in power distribution & retail supply in northern parts.",22889.0,"['Thankyou', 'Rohtak', 'Panipat', 'Kaithal', 'Kurukshetra']",were required to inform you that there would be a supply outage owing to planned electricity network maintenance we highly appreciate your understanding thankyou for being patient while the service is being restored rohtak panipat kaithal kurukshetra,"['were', 'required', 'to', 'inform', 'you', 'that', 'there', 'would', 'be', 'a', 'supply', 'outage', 'owing', 'to', 'planned', 'electricity', 'network', 'maintenance', 'we', 'highly', 'appreciate', 'your', 'understanding', 'thankyou', 'for', 'being', 'patient', 'while', 'the', 'service', 'is', 'being', 'restored', 'rohtak', 'panipat', 'kaithal', 'kurukshetra']","['required', 'inform', 'would', 'supply', 'outage', 'owing', 'planned', 'electricity', 'network', 'maintenance', 'highly', 'appreciate', 'understanding', 'thankyou', 'patient', 'service', 'restored', 'rohtak', 'panipat', 'kaithal', 'kurukshetra']","['requir', 'inform', 'would', 'suppli', 'outag', 'owe', 'plan', 'electr', 'network', 'mainten', 'highli', 'appreci', 'understand', 'thankyou', 'patient', 'servic', 'restor', 'rohtak', 'panipat', 'kaithal', 'kurukshetra']","['required', 'inform', 'would', 'supply', 'outage', 'owing', 'planned', 'electricity', 'network', 'maintenance', 'highly', 'appreciate', 'understanding', 'thankyou', 'patient', 'service', 'restored', 'rohtak', 'panipat', 'kaithal', 'kurukshetra']",5,Pakistan
2022-06-04 19:28:32+00:00,1.533168848148775e+18,"In 6 months, rupee will appreciate and dollar will be back to 140 pkr. Petrol prices will drop to 130 rs per litre with inflation and interest rates to the lowest in a decade. GDP growth rate would touch double digit and exports will multiply 10 times. Save this tweet.",SherrrKhann,Dil dil Pakistan ,817.0,236.0,102.0,186.0,Continuously learning and unlearning,795.0,,in 6 months rupee will appreciate and dollar will be back to 140 pkr petrol prices will drop to 130 rs per litre with inflation and interest rates to the lowest in a decade gdp growth rate would touch double digit and exports will multiply 10 times save this tweet,"['in', '6', 'months', 'rupee', 'will', 'appreciate', 'and', 'dollar', 'will', 'be', 'back', 'to', '140', 'pkr', 'petrol', 'prices', 'will', 'drop', 'to', '130', 'rs', 'per', 'litre', 'with', 'inflation', 'and', 'interest', 'rates', 'to', 'the', 'lowest', 'in', 'a', 'decade', 'gdp', 'growth', 'rate', 'would', 'touch', 'double', 'digit', 'and', 'exports', 'will', 'multiply', '10', 'times', 'save', 'this', 'tweet']","['6', 'months', 'rupee', 'appreciate', 'dollar', 'back', '140', 'pkr', 'petrol', 'prices', 'drop', '130', 'rs', 'per', 'litre', 'inflation', 'interest', 'rates', 'lowest', 'decade', 'gdp', 'growth', 'rate', 'would', 'touch', 'double', 'digit', 'exports', 'multiply', '10', 'times', 'save', 'tweet']","['6', 'month', 'rupe', 'appreci', 'dollar', 'back', '140', 'pkr', 'petrol', 'price', 'drop', '130', 'rs', 'per', 'litr', 'inflat', 'interest', 'rate', 'lowest', 'decad', 'gdp', 'growth', 'rate', 'would', 'touch', 'doubl', 'digit', 'export', 'multipli', '10', 'time', 'save', 'tweet']","['6', 'months', 'rupee', 'appreciate', 'dollar', 'back', '140', 'pkr', 'petrol', 'prices', 'drop', '130', 'rs', 'per', 'litre', 'inflation', 'interest', 'rates', 'lowest', 'decade', 'gdp', 'growth', 'rate', 'would', 'touch', 'double', 'digit', 'exports', 'multiply', '10', 'times', 'save', 'tweet']",1,Pakistan
2022-06-04 17:50:34+00:00,1.5331441916894372e+18,"Sir, following you from a long period. I love Pakistan Army and my timeline is its proof. I had always defended Pakistan Army and will do so till my last breath.
I appreciate you sir @TZM_Zamzama 
A verse for you...
عرفی تو میندیش زغوغائے رقیباں
آوازِ سگاں کم نہ کند رزق گدارا https://t.co/nTgFoTSdim",HadiyaKarbalai,Pakistan,2.0,1.0,0.0,0.0,,48713.0,,sir following you from a long period i love pakistan army and my timeline is its proof i had always defended pakistan army and will do so till my last breath i appreciate you sir a verse for you,"['sir', 'following', 'you', 'from', 'a', 'long', 'period', 'i', 'love', 'pakistan', 'army', 'and', 'my', 'timeline', 'is', 'its', 'proof', 'i', 'had', 'always', 'defended', 'pakistan', 'army', 'and', 'will', 'do', 'so', 'till', 'my', 'last', 'breath', 'i', 'appreciate', 'you', 'sir', 'a', 'verse', 'for', 'you']","['sir', 'following', 'long', 'period', 'love', 'pakistan', 'army', 'timeline', 'proof', 'always', 'defended', 'pakistan', 'army', 'till', 'last', 'breath', 'appreciate', 'sir', 'verse']","['sir', 'follow', 'long', 'period', 'love', 'pakistan', 'armi', 'timelin', 'proof', 'alway', 'defend', 'pakistan', 'armi', 'till', 'last', 'breath', 'appreci', 'sir', 'vers']","['sir', 'following', 'long', 'period', 'love', 'pakistan', 'army', 'timeline', 'proof', 'always', 'defended', 'pakistan', 'army', 'till', 'last', 'breath', 'appreciate', 'sir', 'verse']",5,Pakistan
2022-06-04 14:56:36+00:00,1.5331004109231964e+18,@AVeteran1956 @Sayrayousuf Appreciate that sir... Appreciate that...,UFKonline,,0.0,0.0,0.0,0.0,"#Pakistan #Kashmir #Palestine 
Disclaimer...
Retweets are not endorsement...",248.0,,appreciate that sir appreciate that,"['appreciate', 'that', 'sir', 'appreciate', 'that']","['appreciate', 'sir', 'appreciate']","['appreci', 'sir', 'appreci']","['appreciate', 'sir', 'appreciate']",3,Pakistan
