Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 16:41:46+00:00,1.5334892654972357e+18,I know what I'm doing i really want to care about people who love me and appreciate me I'm doing things for them. There would be people who would not like it. I'm really sorry but deal with it or deal out.,RifnasOfficial, Doha Qatar,6.0,0.0,0.0,0.0,I am the proof that allah..!! Has made my In shaa allah into Alhamdulillah...!!💚,1454.0,,i know what im doing i really want to care about people who love me and appreciate me im doing things for them there would be people who would not like it im really sorry but deal with it or deal out,"['i', 'know', 'what', 'im', 'doing', 'i', 'really', 'want', 'to', 'care', 'about', 'people', 'who', 'love', 'me', 'and', 'appreciate', 'me', 'im', 'doing', 'things', 'for', 'them', 'there', 'would', 'be', 'people', 'who', 'would', 'not', 'like', 'it', 'im', 'really', 'sorry', 'but', 'deal', 'with', 'it', 'or', 'deal', 'out']","['know', 'im', 'really', 'want', 'care', 'people', 'love', 'appreciate', 'im', 'things', 'would', 'people', 'would', 'like', 'im', 'really', 'sorry', 'deal', 'deal']","['know', 'im', 'realli', 'want', 'care', 'peopl', 'love', 'appreci', 'im', 'thing', 'would', 'peopl', 'would', 'like', 'im', 'realli', 'sorri', 'deal', 'deal']","['know', 'im', 'really', 'want', 'care', 'people', 'love', 'appreciate', 'im', 'things', 'would', 'people', 'would', 'like', 'im', 'really', 'sorry', 'deal', 'deal']",3,Qatar
2022-06-05 10:37:18+00:00,1.5333975463742423e+18,"Where as it’s hard for Indian Muslims to trend #Stopinsulting_ProphetMuhammad #إلا_رسول_الله_يا_مودي #ArrestNaveenJindal #ArrestNupurSharmaBJP

Appreciate @AJEnglish @AJArabic https://t.co/gn9tsIWwXp",AamuAli,"Doha, Qatar",0.0,0.0,0.0,0.0,Human First Resource later.,149.0,"['Stopinsulting_ProphetMuhammad', 'إلا_رسول_الله_يا_مودي', 'ArrestNaveenJindal', 'ArrestNupurSharmaBJP']",where as its hard for indian muslims to trend stopinsultingprophetmuhammad arrestnaveenjindal arrestnupursharmabjp appreciate,"['where', 'as', 'its', 'hard', 'for', 'indian', 'muslims', 'to', 'trend', 'stopinsultingprophetmuhammad', 'arrestnaveenjindal', 'arrestnupursharmabjp', 'appreciate']","['hard', 'indian', 'muslims', 'trend', 'stopinsultingprophetmuhammad', 'arrestnaveenjindal', 'arrestnupursharmabjp', 'appreciate']","['hard', 'indian', 'muslim', 'trend', 'stopinsultingprophetmuhammad', 'arrestnaveenjind', 'arrestnupursharmabjp', 'appreci']","['hard', 'indian', 'muslims', 'trend', 'stopinsultingprophetmuhammad', 'arrestnaveenjindal', 'arrestnupursharmabjp', 'appreciate']",3,Qatar
2022-06-05 07:00:58+00:00,1.5333431019217756e+18,"Lets take a moment to appreciate #WorldPatientSafetyDay! Within the medical gas market, we specialize in medical air and vacuum systems and proudly play a vital role in hospitals around the globe in sustaining patients. https://t.co/1pOA7I62zP

#AtlasCopcoMiddleEast https://t.co/Xt9MvrLGHF",AtlasCopcoME,"Dubai, United Arab Emirates",2.0,0.0,1.0,0.0,Atlas Copco is a world-leading provider of sustainable productivity solutions.,914.0,"['WorldPatientSafetyDay', 'AtlasCopcoMiddleEast']",lets take a moment to appreciate worldpatientsafetyday within the medical gas market we specialize in medical air and vacuum systems and proudly play a vital role in hospitals around the globe in sustaining patients atlascopcomiddleeast,"['lets', 'take', 'a', 'moment', 'to', 'appreciate', 'worldpatientsafetyday', 'within', 'the', 'medical', 'gas', 'market', 'we', 'specialize', 'in', 'medical', 'air', 'and', 'vacuum', 'systems', 'and', 'proudly', 'play', 'a', 'vital', 'role', 'in', 'hospitals', 'around', 'the', 'globe', 'in', 'sustaining', 'patients', 'atlascopcomiddleeast']","['lets', 'take', 'moment', 'appreciate', 'worldpatientsafetyday', 'within', 'medical', 'gas', 'market', 'specialize', 'medical', 'air', 'vacuum', 'systems', 'proudly', 'play', 'vital', 'role', 'hospitals', 'around', 'globe', 'sustaining', 'patients', 'atlascopcomiddleeast']","['let', 'take', 'moment', 'appreci', 'worldpatientsafetyday', 'within', 'medic', 'ga', 'market', 'special', 'medic', 'air', 'vacuum', 'system', 'proudli', 'play', 'vital', 'role', 'hospit', 'around', 'globe', 'sustain', 'patient', 'atlascopcomiddleeast']","['lets', 'take', 'moment', 'appreciate', 'worldpatientsafetyday', 'within', 'medical', 'gas', 'market', 'specialize', 'medical', 'air', 'vacuum', 'systems', 'proudly', 'play', 'vital', 'role', 'hospitals', 'around', 'globe', 'sustaining', 'patients', 'atlascopcomiddleeast']",5,Qatar
2022-06-05 06:37:43+00:00,1.5333372501546555e+18,⁦@HellBentVet⁩ Thank you so much for following this disable Vet from Vietnam times to Iraq and Saudi. Picture above was at SOCOM Gen Kingston and king of Jordan where I was born and raised. I would appreciate your mention so I can get some followers to get me to 1000. https://t.co/bj4P3tnC0G,alneshewat,Riyadh,0.0,1.0,0.0,0.0,Veteran working overseas. Married with two grownup kids. Loves life and politics. Voted blue to remove the traitor!,737.0,,thank you so much for following this disable vet from vietnam times to iraq and saudi picture above was at socom gen kingston and king of jordan where i was born and raised i would appreciate your mention so i can get some followers to get me to 1000,"['thank', 'you', 'so', 'much', 'for', 'following', 'this', 'disable', 'vet', 'from', 'vietnam', 'times', 'to', 'iraq', 'and', 'saudi', 'picture', 'above', 'was', 'at', 'socom', 'gen', 'kingston', 'and', 'king', 'of', 'jordan', 'where', 'i', 'was', 'born', 'and', 'raised', 'i', 'would', 'appreciate', 'your', 'mention', 'so', 'i', 'can', 'get', 'some', 'followers', 'to', 'get', 'me', 'to', '1000']","['thank', 'much', 'following', 'disable', 'vet', 'vietnam', 'times', 'iraq', 'saudi', 'picture', 'socom', 'gen', 'kingston', 'king', 'jordan', 'born', 'raised', 'would', 'appreciate', 'mention', 'get', 'followers', 'get', '1000']","['thank', 'much', 'follow', 'disabl', 'vet', 'vietnam', 'time', 'iraq', 'saudi', 'pictur', 'socom', 'gen', 'kingston', 'king', 'jordan', 'born', 'rais', 'would', 'appreci', 'mention', 'get', 'follow', 'get', '1000']","['thank', 'much', 'following', 'disable', 'vet', 'vietnam', 'times', 'iraq', 'saudi', 'picture', 'socom', 'gen', 'kingston', 'king', 'jordan', 'born', 'raised', 'would', 'appreciate', 'mention', 'get', 'followers', 'get', '1000']",1,Qatar
2022-06-05 04:08:12+00:00,1.5332996240307487e+18,"@WrdnMs @ClaraYdelos I don’t hate her, I just dislike her behavior I don’t care for people who tell lies. I also didn’t appreciate her coming to my hometown of Uvalde Texas and using 19 massacred children and two teachers to self promote herself I think maybe you need a therapist......",Shoegalladygre1,"Dubai, United Arab Emirates",0.0,0.0,0.0,0.0,,2.0,,i dont hate her i just dislike her behavior i dont care for people who tell lies i also didnt appreciate her coming to my hometown of uvalde texas and using 19 massacred children and two teachers to self promote herself i think maybe you need a therapist,"['i', 'dont', 'hate', 'her', 'i', 'just', 'dislike', 'her', 'behavior', 'i', 'dont', 'care', 'for', 'people', 'who', 'tell', 'lies', 'i', 'also', 'didnt', 'appreciate', 'her', 'coming', 'to', 'my', 'hometown', 'of', 'uvalde', 'texas', 'and', 'using', '19', 'massacred', 'children', 'and', 'two', 'teachers', 'to', 'self', 'promote', 'herself', 'i', 'think', 'maybe', 'you', 'need', 'a', 'therapist']","['dont', 'hate', 'dislike', 'behavior', 'dont', 'care', 'people', 'tell', 'lies', 'also', 'didnt', 'appreciate', 'coming', 'hometown', 'uvalde', 'texas', 'using', '19', 'massacred', 'children', 'two', 'teachers', 'self', 'promote', 'think', 'maybe', 'need', 'therapist']","['dont', 'hate', 'dislik', 'behavior', 'dont', 'care', 'peopl', 'tell', 'lie', 'also', 'didnt', 'appreci', 'come', 'hometown', 'uvald', 'texa', 'use', '19', 'massacr', 'children', 'two', 'teacher', 'self', 'promot', 'think', 'mayb', 'need', 'therapist']","['dont', 'hate', 'dislike', 'behavior', 'dont', 'care', 'people', 'tell', 'lies', 'also', 'didnt', 'appreciate', 'coming', 'hometown', 'uvalde', 'texas', 'using', '19', 'massacred', 'children', 'two', 'teachers', 'self', 'promote', 'think', 'maybe', 'need', 'therapist']",1,Qatar
2022-06-04 23:59:24+00:00,1.533237013658456e+18,"@AVeteran1956 @Sayrayousuf We really appreciate that. To be fair, generals with highest authorities carrying state secrets must not (during &amp; after service) reside, settle, do job/business outside Pakistan. Nor shall their family members do.
That's the least all civil &amp; military servants must sacrifice.",AmberArif86,United Arab Emirates,1.0,0.0,0.0,0.0,"Seeking humanity unconditionally for all mankind. | Active only on twitter for a better reason | Not interested in facebook,instagram type of socializing",472.0,,we really appreciate that to be fair generals with highest authorities carrying state secrets must not during amp after service reside settle do jobbusiness outside pakistan nor shall their family members do thats the least all civil amp military servants must sacrifice,"['we', 'really', 'appreciate', 'that', 'to', 'be', 'fair', 'generals', 'with', 'highest', 'authorities', 'carrying', 'state', 'secrets', 'must', 'not', 'during', 'amp', 'after', 'service', 'reside', 'settle', 'do', 'jobbusiness', 'outside', 'pakistan', 'nor', 'shall', 'their', 'family', 'members', 'do', 'thats', 'the', 'least', 'all', 'civil', 'amp', 'military', 'servants', 'must', 'sacrifice']","['really', 'appreciate', 'fair', 'generals', 'highest', 'authorities', 'carrying', 'state', 'secrets', 'must', 'amp', 'service', 'reside', 'settle', 'jobbusiness', 'outside', 'pakistan', 'shall', 'family', 'members', 'thats', 'least', 'civil', 'amp', 'military', 'servants', 'must', 'sacrifice']","['realli', 'appreci', 'fair', 'gener', 'highest', 'author', 'carri', 'state', 'secret', 'must', 'amp', 'servic', 'resid', 'settl', 'jobbusi', 'outsid', 'pakistan', 'shall', 'famili', 'member', 'that', 'least', 'civil', 'amp', 'militari', 'servant', 'must', 'sacrific']","['really', 'appreciate', 'fair', 'generals', 'highest', 'authorities', 'carrying', 'state', 'secrets', 'must', 'amp', 'service', 'reside', 'settle', 'jobbusiness', 'outside', 'pakistan', 'shall', 'family', 'members', 'thats', 'least', 'civil', 'amp', 'military', 'servants', 'must', 'sacrifice']",2,Qatar
2022-06-04 19:50:22+00:00,1.5331743420366193e+18,@Bawdo49 @SheawnaRoll @ItsGypC @iCharleyJo @nellybaeee @SmallPlantx @M8chineW8rrior Thank you for being our friend. We really appreciate your kindness.. 👍😊😍💕 https://t.co/0lPSVWnaHD,LizaArden1,"Dubai, UAE",2.0,0.0,1.0,0.0,"A loving mom, God fearing woman with full of wisdom. ❤😔",271.0,,thank you for being our friend we really appreciate your kindness,"['thank', 'you', 'for', 'being', 'our', 'friend', 'we', 'really', 'appreciate', 'your', 'kindness']","['thank', 'friend', 'really', 'appreciate', 'kindness']","['thank', 'friend', 'realli', 'appreci', 'kind']","['thank', 'friend', 'really', 'appreciate', 'kindness']",5,Qatar
2022-06-04 09:36:21+00:00,1.533019820236714e+18,"@donbelleilysm Tnx po we as sweethearts appreciate it..
DEPRESSION IS NOT A JOKE
YAKAP MAHIGPIT KD",eljane0902,"Riyadh, Kingdom of Saudi Arabi",8.0,0.0,2.0,0.0,,1114.0,,tnx po we as sweethearts appreciate it depression is not a joke yakap mahigpit kd,"['tnx', 'po', 'we', 'as', 'sweethearts', 'appreciate', 'it', 'depression', 'is', 'not', 'a', 'joke', 'yakap', 'mahigpit', 'kd']","['tnx', 'po', 'sweethearts', 'appreciate', 'depression', 'joke', 'yakap', 'mahigpit', 'kd']","['tnx', 'po', 'sweetheart', 'appreci', 'depress', 'joke', 'yakap', 'mahigpit', 'kd']","['tnx', 'po', 'sweethearts', 'appreciate', 'depression', 'joke', 'yakap', 'mahigpit', 'kd']",4,Qatar
2022-06-04 07:09:02+00:00,1.5329827440153068e+18,If you’re an Independent lady you really deserve an accolade. Don’t let those guys out there tell you otherwise cus girls out there just want to sleep and be taken care of them or be eating their man money with bringing nothing to the table. Appreciate the little you’ve achieved.,i_am_joewhite,United Arab Emirates,0.0,0.0,0.0,0.0,I have your legit plug to study in the Uk 🇬🇧dm asap @manutd fan IG@i_am_joewhite,645.0,,if youre an independent lady you really deserve an accolade dont let those guys out there tell you otherwise cus girls out there just want to sleep and be taken care of them or be eating their man money with bringing nothing to the table appreciate the little youve achieved,"['if', 'youre', 'an', 'independent', 'lady', 'you', 'really', 'deserve', 'an', 'accolade', 'dont', 'let', 'those', 'guys', 'out', 'there', 'tell', 'you', 'otherwise', 'cus', 'girls', 'out', 'there', 'just', 'want', 'to', 'sleep', 'and', 'be', 'taken', 'care', 'of', 'them', 'or', 'be', 'eating', 'their', 'man', 'money', 'with', 'bringing', 'nothing', 'to', 'the', 'table', 'appreciate', 'the', 'little', 'youve', 'achieved']","['youre', 'independent', 'lady', 'really', 'deserve', 'accolade', 'dont', 'let', 'guys', 'tell', 'otherwise', 'cus', 'girls', 'want', 'sleep', 'taken', 'care', 'eating', 'man', 'money', 'bringing', 'nothing', 'table', 'appreciate', 'little', 'youve', 'achieved']","['your', 'independ', 'ladi', 'realli', 'deserv', 'accolad', 'dont', 'let', 'guy', 'tell', 'otherwis', 'cu', 'girl', 'want', 'sleep', 'taken', 'care', 'eat', 'man', 'money', 'bring', 'noth', 'tabl', 'appreci', 'littl', 'youv', 'achiev']","['youre', 'independent', 'lady', 'really', 'deserve', 'accolade', 'dont', 'let', 'guys', 'tell', 'otherwise', 'cus', 'girls', 'want', 'sleep', 'taken', 'care', 'eating', 'man', 'money', 'bringing', 'nothing', 'table', 'appreciate', 'little', 'youve', 'achieved']",3,Qatar
2022-06-03 18:24:02+00:00,1.532790224622846e+18,@FuseyrIllusion @Luminaire714 @soccermom000 @rolandgarros @RafaelNadal @AlexZverev Not at the beginning of Nadal's career* it took time for them to appreciate Nadal and how great he is.,imran_452,"Doha, Qatar",7.0,1.0,0.0,0.0,"SPURS FOREVER ⚽ 💙 #COYS, F1 🏎,  NADAL 🎾 FAN #MalcolmX 🇱🇰 🇶🇦 COD MOBILE - AL13N",93.0,,not at the beginning of nadals career it took time for them to appreciate nadal and how great he is,"['not', 'at', 'the', 'beginning', 'of', 'nadals', 'career', 'it', 'took', 'time', 'for', 'them', 'to', 'appreciate', 'nadal', 'and', 'how', 'great', 'he', 'is']","['beginning', 'nadals', 'career', 'took', 'time', 'appreciate', 'nadal', 'great']","['begin', 'nadal', 'career', 'took', 'time', 'appreci', 'nadal', 'great']","['beginning', 'nadals', 'career', 'took', 'time', 'appreciate', 'nadal', 'great']",2,Qatar
