Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-12-23 14:22:47+00:00,1474022678956847108,"@His_LuckyyCharm @salemkittenkat It's as if he isn't literally a medical doctor. 
But it was all necessary for the plot. And I think it's a great movie, but I don't appreciate them undermining Doctor Strange. Personally, the nostalgic factor was the biggest selling point of the movie.",Cowenzilla,"Georgetown, Guyana",0,1,0,0,✌🏿,2217,,its as if he isnt literally a medical doctor but it was all necessary for the plot and i think its a great movie but i dont appreciate them undermining doctor strange personally the nostalgic factor was the biggest selling point of the movie,"['its', 'as', 'if', 'he', 'isnt', 'literally', 'a', 'medical', 'doctor', 'but', 'it', 'was', 'all', 'necessary', 'for', 'the', 'plot', 'and', 'i', 'think', 'its', 'a', 'great', 'movie', 'but', 'i', 'dont', 'appreciate', 'them', 'undermining', 'doctor', 'strange', 'personally', 'the', 'nostalgic', 'factor', 'was', 'the', 'biggest', 'selling', 'point', 'of', 'the', 'movie']","['isnt', 'literally', 'medical', 'doctor', 'necessary', 'plot', 'think', 'great', 'movie', 'dont', 'appreciate', 'undermining', 'doctor', 'strange', 'personally', 'nostalgic', 'factor', 'biggest', 'selling', 'point', 'movie']","['isnt', 'liter', 'medic', 'doctor', 'necessari', 'plot', 'think', 'great', 'movi', 'dont', 'appreci', 'undermin', 'doctor', 'strang', 'person', 'nostalg', 'factor', 'biggest', 'sell', 'point', 'movi']","['isnt', 'literally', 'medical', 'doctor', 'necessary', 'plot', 'think', 'great', 'movie', 'dont', 'appreciate', 'undermining', 'doctor', 'strange', 'personally', 'nostalgic', 'factor', 'biggest', 'selling', 'point', 'movie']",3,Suriname
2021-10-25 17:15:24+00:00,1452685234466656261,"People don't appreciate what they have until it's gone. That's what creating value looks like— it takes time for people to accept what inspires them. First, it will scare &amp;  paralyze them &amp; they will put up a defense &amp; keep their distance. Leave people better than you found them.",TaraRamkhelawan,"New York, USA",0,0,0,0,A Transcendental Possibilitarian — that's who I believe YOU are. Believe in yourself🤗,71,,people dont appreciate what they have until its gone thats what creating value looks like it takes time for people to accept what inspires them first it will scare amp paralyze them amp they will put up a defense amp keep their distance leave people better than you found them,"['people', 'dont', 'appreciate', 'what', 'they', 'have', 'until', 'its', 'gone', 'thats', 'what', 'creating', 'value', 'looks', 'like', 'it', 'takes', 'time', 'for', 'people', 'to', 'accept', 'what', 'inspires', 'them', 'first', 'it', 'will', 'scare', 'amp', 'paralyze', 'them', 'amp', 'they', 'will', 'put', 'up', 'a', 'defense', 'amp', 'keep', 'their', 'distance', 'leave', 'people', 'better', 'than', 'you', 'found', 'them']","['people', 'dont', 'appreciate', 'gone', 'thats', 'creating', 'value', 'looks', 'like', 'takes', 'time', 'people', 'accept', 'inspires', 'first', 'scare', 'amp', 'paralyze', 'amp', 'put', 'defense', 'amp', 'keep', 'distance', 'leave', 'people', 'better', 'found']","['peopl', 'dont', 'appreci', 'gone', 'that', 'creat', 'valu', 'look', 'like', 'take', 'time', 'peopl', 'accept', 'inspir', 'first', 'scare', 'amp', 'paralyz', 'amp', 'put', 'defens', 'amp', 'keep', 'distanc', 'leav', 'peopl', 'better', 'found']","['people', 'dont', 'appreciate', 'gone', 'thats', 'creating', 'value', 'looks', 'like', 'takes', 'time', 'people', 'accept', 'inspires', 'first', 'scare', 'amp', 'paralyze', 'amp', 'put', 'defense', 'amp', 'keep', 'distance', 'leave', 'people', 'better', 'found']",2,Suriname
2021-10-16 00:31:40+00:00,1449171147459805185,"Behaviour counts— when you don't feel involved enough because you're yet to share the values that threaten your sense of belonging. If you have a problem with people calling people out on their BS, rather than appreciate the truth expressed, it is because you share their views",TaraRamkhelawan,"New York, USA",0,1,0,0,A Transcendental Possibilitarian — that's who I believe YOU are. Believe in yourself🤗,71,,behaviour counts when you dont feel involved enough because youre yet to share the values that threaten your sense of belonging if you have a problem with people calling people out on their bs rather than appreciate the truth expressed it is because you share their views,"['behaviour', 'counts', 'when', 'you', 'dont', 'feel', 'involved', 'enough', 'because', 'youre', 'yet', 'to', 'share', 'the', 'values', 'that', 'threaten', 'your', 'sense', 'of', 'belonging', 'if', 'you', 'have', 'a', 'problem', 'with', 'people', 'calling', 'people', 'out', 'on', 'their', 'bs', 'rather', 'than', 'appreciate', 'the', 'truth', 'expressed', 'it', 'is', 'because', 'you', 'share', 'their', 'views']","['behaviour', 'counts', 'dont', 'feel', 'involved', 'enough', 'youre', 'yet', 'share', 'values', 'threaten', 'sense', 'belonging', 'problem', 'people', 'calling', 'people', 'bs', 'rather', 'appreciate', 'truth', 'expressed', 'share', 'views']","['behaviour', 'count', 'dont', 'feel', 'involv', 'enough', 'your', 'yet', 'share', 'valu', 'threaten', 'sens', 'belong', 'problem', 'peopl', 'call', 'peopl', 'bs', 'rather', 'appreci', 'truth', 'express', 'share', 'view']","['behaviour', 'counts', 'dont', 'feel', 'involved', 'enough', 'youre', 'yet', 'share', 'values', 'threaten', 'sense', 'belonging', 'problem', 'people', 'calling', 'people', 'bs', 'rather', 'appreciate', 'truth', 'expressed', 'share', 'views']",3,Suriname
2021-10-06 13:36:56+00:00,1445744887173840920,"Eating Papaw on the Seashore

We are 1 hr away from the end of the campaign. Thanks to our contributors we’ve raised $6,090 enough to be greenlit whoo hoo🔥🎉🎈🙏🏿

Giving thanks to our tribe and the community we are building around film in Guyana. We appreciate you. 

🇬🇾🏳️‍🌈 https://t.co/CtFgQPBr5u",romiiluke,brooklyn,7,0,3,0,Guyanese | Third Horizon Co-Founder | Attorney | Awakening Creative,318,,eating papaw on the seashore we are 1 hr away from the end of the campaign thanks to our contributors weve raised 6090 enough to be greenlit whoo hoo giving thanks to our tribe and the community we are building around film in guyana we appreciate you,"['eating', 'papaw', 'on', 'the', 'seashore', 'we', 'are', '1', 'hr', 'away', 'from', 'the', 'end', 'of', 'the', 'campaign', 'thanks', 'to', 'our', 'contributors', 'weve', 'raised', '6090', 'enough', 'to', 'be', 'greenlit', 'whoo', 'hoo', 'giving', 'thanks', 'to', 'our', 'tribe', 'and', 'the', 'community', 'we', 'are', 'building', 'around', 'film', 'in', 'guyana', 'we', 'appreciate', 'you']","['eating', 'papaw', 'seashore', '1', 'hr', 'away', 'end', 'campaign', 'thanks', 'contributors', 'weve', 'raised', '6090', 'enough', 'greenlit', 'whoo', 'hoo', 'giving', 'thanks', 'tribe', 'community', 'building', 'around', 'film', 'guyana', 'appreciate']","['eat', 'papaw', 'seashor', '1', 'hr', 'away', 'end', 'campaign', 'thank', 'contributor', 'weve', 'rais', '6090', 'enough', 'greenlit', 'whoo', 'hoo', 'give', 'thank', 'tribe', 'commun', 'build', 'around', 'film', 'guyana', 'appreci']","['eating', 'papaw', 'seashore', '1', 'hr', 'away', 'end', 'campaign', 'thanks', 'contributors', 'weve', 'raised', '6090', 'enough', 'greenlit', 'whoo', 'hoo', 'giving', 'thanks', 'tribe', 'community', 'building', 'around', 'film', 'guyana', 'appreciate']",5,Suriname
2021-06-22 16:08:08+00:00,1407369826650275844,"2/3 but for the sake of my sanity and health, sometimes I need to laugh things off and appreciate the small things - like the (albeit firm and stoic) courtesy of the Passport Office staff, and the concessions they individually made when I explained my situation. It's improved...",meshach_pierre,"Gainesville, FL",0,1,0,0,"MA in Criminology, @UF. From Guyana 🇬🇾. Conservation criminology, human-wildlife co-existence, and bird and mammal ecology. 🐆 #GAD, #MDD, & #ADHD-C. (he/him)",732,,23 but for the sake of my sanity and health sometimes i need to laugh things off and appreciate the small things like the albeit firm and stoic courtesy of the passport office staff and the concessions they individually made when i explained my situation its improved,"['23', 'but', 'for', 'the', 'sake', 'of', 'my', 'sanity', 'and', 'health', 'sometimes', 'i', 'need', 'to', 'laugh', 'things', 'off', 'and', 'appreciate', 'the', 'small', 'things', 'like', 'the', 'albeit', 'firm', 'and', 'stoic', 'courtesy', 'of', 'the', 'passport', 'office', 'staff', 'and', 'the', 'concessions', 'they', 'individually', 'made', 'when', 'i', 'explained', 'my', 'situation', 'its', 'improved']","['23', 'sake', 'sanity', 'health', 'sometimes', 'need', 'laugh', 'things', 'appreciate', 'small', 'things', 'like', 'albeit', 'firm', 'stoic', 'courtesy', 'passport', 'office', 'staff', 'concessions', 'individually', 'made', 'explained', 'situation', 'improved']","['23', 'sake', 'saniti', 'health', 'sometim', 'need', 'laugh', 'thing', 'appreci', 'small', 'thing', 'like', 'albeit', 'firm', 'stoic', 'courtesi', 'passport', 'offic', 'staff', 'concess', 'individu', 'made', 'explain', 'situat', 'improv']","['23', 'sake', 'sanity', 'health', 'sometimes', 'need', 'laugh', 'things', 'appreciate', 'small', 'things', 'like', 'albeit', 'firm', 'stoic', 'courtesy', 'passport', 'office', 'staff', 'concessions', 'individually', 'made', 'explained', 'situation', 'improved']",3,Suriname
2021-05-12 13:44:19+00:00,1392475730278289408,"It was a privilege growing up in a family of medical professionals like Aunty Hazel and Uncle Raymond. Like all good books, you didn't come to appreciate them until later in life. Each chapter of their lives was always full of care and compassion... #InternationalNursesDay2021 https://t.co/BY2tShvUUW",sherodduncan,Guyana,1,1,0,0,"Member of the Parliament of Guyana, 🇬🇾 @ParliamentGY; Former Deputy Mayor of Georgetown; Graduate of the University of Guyana;🎙Host, In The Ring.",4618,['InternationalNursesDay2021'],it was a privilege growing up in a family of medical professionals like aunty hazel and uncle raymond like all good books you didnt come to appreciate them until later in life each chapter of their lives was always full of care and compassion internationalnursesday2021,"['it', 'was', 'a', 'privilege', 'growing', 'up', 'in', 'a', 'family', 'of', 'medical', 'professionals', 'like', 'aunty', 'hazel', 'and', 'uncle', 'raymond', 'like', 'all', 'good', 'books', 'you', 'didnt', 'come', 'to', 'appreciate', 'them', 'until', 'later', 'in', 'life', 'each', 'chapter', 'of', 'their', 'lives', 'was', 'always', 'full', 'of', 'care', 'and', 'compassion', 'internationalnursesday2021']","['privilege', 'growing', 'family', 'medical', 'professionals', 'like', 'aunty', 'hazel', 'uncle', 'raymond', 'like', 'good', 'books', 'didnt', 'come', 'appreciate', 'later', 'life', 'chapter', 'lives', 'always', 'full', 'care', 'compassion', 'internationalnursesday2021']","['privileg', 'grow', 'famili', 'medic', 'profession', 'like', 'aunti', 'hazel', 'uncl', 'raymond', 'like', 'good', 'book', 'didnt', 'come', 'appreci', 'later', 'life', 'chapter', 'live', 'alway', 'full', 'care', 'compass', 'internationalnursesday2021']","['privilege', 'growing', 'family', 'medical', 'professionals', 'like', 'aunty', 'hazel', 'uncle', 'raymond', 'like', 'good', 'books', 'didnt', 'come', 'appreciate', 'later', 'life', 'chapter', 'lives', 'always', 'full', 'care', 'compassion', 'internationalnursesday2021']",5,Suriname
2020-08-27 11:53:20+00:00,1298951730915356673,"Me: Has anyone ever told you how much we appreciate you around here?

Coworker: (blushing) um, not really. 

Me: Did you ever wonder why that is?",Cowenzilla,"Georgetown, Guyana",5,1,0,0,✌🏿,2217,,me has anyone ever told you how much we appreciate you around here coworker blushing um not really me did you ever wonder why that is,"['me', 'has', 'anyone', 'ever', 'told', 'you', 'how', 'much', 'we', 'appreciate', 'you', 'around', 'here', 'coworker', 'blushing', 'um', 'not', 'really', 'me', 'did', 'you', 'ever', 'wonder', 'why', 'that', 'is']","['anyone', 'ever', 'told', 'much', 'appreciate', 'around', 'coworker', 'blushing', 'um', 'really', 'ever', 'wonder']","['anyon', 'ever', 'told', 'much', 'appreci', 'around', 'cowork', 'blush', 'um', 'realli', 'ever', 'wonder']","['anyone', 'ever', 'told', 'much', 'appreciate', 'around', 'coworker', 'blushing', 'um', 'really', 'ever', 'wonder']",5,Suriname
2022-03-26 00:02:36+00:00,1507508278129049605,"It’s @ASE360 Member Appreciation Day!
As the only #ASE member in #Guyana, I wanted to share this groundbreaking photo with my #EchoFirst community. It’s Guyana’s #FIRST Transoesophageal #3DEcho performed in March 2022. https://t.co/DtqRmp5N1e",RadToTheBone592,Guyana,42,4,5,1,Cardiac Sonographer•Artist•Dreamer•WRETF Trustee•Guyana Association of Medical Imaging Practitioners/GAMIP Vice President•,198,"['ASE', 'Guyana', 'EchoFirst', 'FIRST', '3DEcho']",its member appreciation day as the only ase member in guyana i wanted to share this groundbreaking photo with my echofirst community its guyanas first transoesophageal 3decho performed in march 2022,"['its', 'member', 'appreciation', 'day', 'as', 'the', 'only', 'ase', 'member', 'in', 'guyana', 'i', 'wanted', 'to', 'share', 'this', 'groundbreaking', 'photo', 'with', 'my', 'echofirst', 'community', 'its', 'guyanas', 'first', 'transoesophageal', '3decho', 'performed', 'in', 'march', '2022']","['member', 'appreciation', 'day', 'ase', 'member', 'guyana', 'wanted', 'share', 'groundbreaking', 'photo', 'echofirst', 'community', 'guyanas', 'first', 'transoesophageal', '3decho', 'performed', 'march', '2022']","['member', 'appreci', 'day', 'ase', 'member', 'guyana', 'want', 'share', 'groundbreak', 'photo', 'echofirst', 'commun', 'guyana', 'first', 'transoesophag', '3decho', 'perform', 'march', '2022']","['member', 'appreciation', 'day', 'ase', 'member', 'guyana', 'wanted', 'share', 'groundbreaking', 'photo', 'echofirst', 'community', 'guyanas', 'first', 'transoesophageal', '3decho', 'performed', 'march', '2022']",4,Suriname
2020-08-24 15:07:22+00:00,1297913398655627264,"Show appreciation for your wellbeing, focus on your goals and work towards improving. 

#Guyana
#Health
#GlobalPeaceChain
#GlobalPeaceAmbassador
#PeaceByDialogue
#JourneyTowardsPeace
#YesWeCan

Peacefully
Alex Dane Fraser
Global Peace Ambassador
Health Advocate
+592-649-6590",AlexDaneFraser,Guyana,1,0,0,0,"If you can't measure achievement, how will you know if you're achieved anything?
If the objectives are not realistic, you will soon realize that and lose.",69,"['Guyana', 'Health', 'GlobalPeaceChain', 'GlobalPeaceAmbassador', 'PeaceByDialogue', 'JourneyTowardsPeace', 'YesWeCan']",show appreciation for your wellbeing focus on your goals and work towards improving guyana health globalpeacechain globalpeaceambassador peacebydialogue journeytowardspeace yeswecan peacefully alex dane fraser global peace ambassador health advocate 5926496590,"['show', 'appreciation', 'for', 'your', 'wellbeing', 'focus', 'on', 'your', 'goals', 'and', 'work', 'towards', 'improving', 'guyana', 'health', 'globalpeacechain', 'globalpeaceambassador', 'peacebydialogue', 'journeytowardspeace', 'yeswecan', 'peacefully', 'alex', 'dane', 'fraser', 'global', 'peace', 'ambassador', 'health', 'advocate', '5926496590']","['show', 'appreciation', 'wellbeing', 'focus', 'goals', 'work', 'towards', 'improving', 'guyana', 'health', 'globalpeacechain', 'globalpeaceambassador', 'peacebydialogue', 'journeytowardspeace', 'yeswecan', 'peacefully', 'alex', 'dane', 'fraser', 'global', 'peace', 'ambassador', 'health', 'advocate', '5926496590']","['show', 'appreci', 'wellb', 'focu', 'goal', 'work', 'toward', 'improv', 'guyana', 'health', 'globalpeacechain', 'globalpeaceambassador', 'peacebydialogu', 'journeytowardspeac', 'yeswecan', 'peac', 'alex', 'dane', 'fraser', 'global', 'peac', 'ambassador', 'health', 'advoc', '5926496590']","['show', 'appreciation', 'wellbeing', 'focus', 'goals', 'work', 'towards', 'improving', 'guyana', 'health', 'globalpeacechain', 'globalpeaceambassador', 'peacebydialogue', 'journeytowardspeace', 'yeswecan', 'peacefully', 'alex', 'dane', 'fraser', 'global', 'peace', 'ambassador', 'health', 'advocate', '5926496590']",5,Suriname
2022-05-29 20:14:31+00:00,1531006091311587331,Ministry of Health pays tribute to Dr. Ramsundar Doobay https://t.co/1wnvOfcPtR,dpiguyana,"Georgetown, Guyana ",1,0,0,0,All the latest news and updates.,1581,,ministry of health pays tribute to dr ramsundardoobay,"['ministry', 'of', 'health', 'pays', 'tribute', 'to', 'dr', 'ramsundardoobay']","['ministry', 'health', 'pays', 'tribute', 'dr', 'ramsundardoobay']","['ministri', 'health', 'pay', 'tribut', 'dr', 'ramsundardoobay']","['ministry', 'health', 'pays', 'tribute', 'dr', 'ramsundardoobay']",5,Suriname
