Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-06 18:54:01+00:00,1533884935123128321,"@GeenaUsman We appreciate decency, and so don't care about your nudes.",Excellent3rdTim,Near you,1,1,0,0,"Coordinator: Excelencia School of Chemistry. An excellent mind.
A teacher. A coach. A preacher of the Word. Biochemist by training

Committed God lover.",5091,,we appreciate decency and so dont care about your nudes,"['we', 'appreciate', 'decency', 'and', 'so', 'dont', 'care', 'about', 'your', 'nudes']","['appreciate', 'decency', 'dont', 'care', 'nudes']","['appreci', 'decenc', 'dont', 'care', 'nude']","['appreciate', 'decency', 'dont', 'care', 'nudes']",3,Thailand
2022-06-06 18:20:33+00:00,1533876514512850944,"@ogspiratom I'll stay here to appreciate your success, my bro. https://t.co/BWut2dWFfp",MrNoise023,"Ratchaburi, Thailand",1,1,0,0,"I'm just a little creator.
Welcome to my weird, chaos and unstable world.
Creator of @tezkind
Feel free to join discord.gg/jufTk9PFfG",8498,,ill stay here to appreciate your success my bro,"['ill', 'stay', 'here', 'to', 'appreciate', 'your', 'success', 'my', 'bro']","['ill', 'stay', 'appreciate', 'success', 'bro']","['ill', 'stay', 'appreci', 'success', 'bro']","['ill', 'stay', 'appreciate', 'success', 'bro']",3,Thailand
2022-06-06 13:16:19+00:00,1533799951305740288,"@chollosotiangco in full light to appreciate you, to appreciate what emerges from you! take care of yourself first now and the only advice that the older man that I am will give you is not to close yourself off.",Lafsteph08,"Bangkok, Thaïlande",0,0,0,0,"i am from #ซนซน fandom !!! fan de jeux vidéos, de BL single et pour le reste à vos tweet",200,,in full light to appreciate you to appreciate what emerges from you take care of yourself first now and the only advice that the older man that i am will give you is not to close yourself off,"['in', 'full', 'light', 'to', 'appreciate', 'you', 'to', 'appreciate', 'what', 'emerges', 'from', 'you', 'take', 'care', 'of', 'yourself', 'first', 'now', 'and', 'the', 'only', 'advice', 'that', 'the', 'older', 'man', 'that', 'i', 'am', 'will', 'give', 'you', 'is', 'not', 'to', 'close', 'yourself', 'off']","['full', 'light', 'appreciate', 'appreciate', 'emerges', 'take', 'care', 'first', 'advice', 'older', 'man', 'give', 'close']","['full', 'light', 'appreci', 'appreci', 'emerg', 'take', 'care', 'first', 'advic', 'older', 'man', 'give', 'close']","['full', 'light', 'appreciate', 'appreciate', 'emerges', 'take', 'care', 'first', 'advice', 'older', 'man', 'give', 'close']",4,Thailand
2022-06-06 10:14:06+00:00,1533754093994270720,I'm already feeling preemptively sorry for getting this Wonwoo pc because I know I will never appreciate it the way a wwrideul will https://t.co/DNzayNXmsf,svtcrnvl,Somewhere in Southeast Asia,1,0,0,0,Don't invite me to parties. Likes are just my bookmarks. she / her. Old enough to remember what Y2K is.,40,,im already feeling preemptively sorry for getting this wonwoo pc because i know i will never appreciate it the way a wwrideul will,"['im', 'already', 'feeling', 'preemptively', 'sorry', 'for', 'getting', 'this', 'wonwoo', 'pc', 'because', 'i', 'know', 'i', 'will', 'never', 'appreciate', 'it', 'the', 'way', 'a', 'wwrideul', 'will']","['im', 'already', 'feeling', 'preemptively', 'sorry', 'getting', 'wonwoo', 'pc', 'know', 'never', 'appreciate', 'way', 'wwrideul']","['im', 'alreadi', 'feel', 'preemptiv', 'sorri', 'get', 'wonwoo', 'pc', 'know', 'never', 'appreci', 'way', 'wwrideul']","['im', 'already', 'feeling', 'preemptively', 'sorry', 'getting', 'wonwoo', 'pc', 'know', 'never', 'appreciate', 'way', 'wwrideul']",1,Thailand
2022-06-06 00:12:48+00:00,1533602771534069760,@ThlaylisDen OMG YES ID SUPER APPRECIATE ANY HELP I CAN POSSIBLY GET I WANT HIM TO BE HAPPY AND HEALTHY,AlienSpanker,HOT,1,1,0,0,"🎨ART ACC @herobula

29 ☆  PG15 ☆ GQ She/they ☆ lvl 2 autism/ADHD ☆ single 🏳️‍🌈",533,,omg yes id super appreciate any help i can possibly get i want him to be happy and healthy,"['omg', 'yes', 'id', 'super', 'appreciate', 'any', 'help', 'i', 'can', 'possibly', 'get', 'i', 'want', 'him', 'to', 'be', 'happy', 'and', 'healthy']","['omg', 'yes', 'id', 'super', 'appreciate', 'help', 'possibly', 'get', 'want', 'happy', 'healthy']","['omg', 'ye', 'id', 'super', 'appreci', 'help', 'possibl', 'get', 'want', 'happi', 'healthi']","['omg', 'yes', 'id', 'super', 'appreciate', 'help', 'possibly', 'get', 'want', 'happy', 'healthy']",5,Thailand
2022-06-05 21:50:25+00:00,1533566942266679297,"@Curtis_Bailey @TeamTrackhouse Well besides our little racing disagreement, I gotta say man I’m really very sorry to hear that. That is a tough thing to deal with. I’m sure he loved you a lot and was proud of you helping people and saving lives. He is resting now. I Appreciate you hopefully we chat again",LurkinTomGaming, MA ,1,0,0,0,Professional Meme Technician. Unapologetic Celtics Fan☘️  ¯\_(ツ)_/¯ racearcs.com #ARCS/#TNT visit my IG @LurkinTomGaming for more content,749,,well besides our little racing disagreement i gotta say man im really very sorry to hear that that is a tough thing to deal with im sure he loved you a lot and was proud of you helping people and saving lives he is resting now i appreciate you hopefully we chat again,"['well', 'besides', 'our', 'little', 'racing', 'disagreement', 'i', 'gotta', 'say', 'man', 'im', 'really', 'very', 'sorry', 'to', 'hear', 'that', 'that', 'is', 'a', 'tough', 'thing', 'to', 'deal', 'with', 'im', 'sure', 'he', 'loved', 'you', 'a', 'lot', 'and', 'was', 'proud', 'of', 'you', 'helping', 'people', 'and', 'saving', 'lives', 'he', 'is', 'resting', 'now', 'i', 'appreciate', 'you', 'hopefully', 'we', 'chat', 'again']","['well', 'besides', 'little', 'racing', 'disagreement', 'gotta', 'say', 'man', 'im', 'really', 'sorry', 'hear', 'tough', 'thing', 'deal', 'im', 'sure', 'loved', 'lot', 'proud', 'helping', 'people', 'saving', 'lives', 'resting', 'appreciate', 'hopefully', 'chat']","['well', 'besid', 'littl', 'race', 'disagr', 'gotta', 'say', 'man', 'im', 'realli', 'sorri', 'hear', 'tough', 'thing', 'deal', 'im', 'sure', 'love', 'lot', 'proud', 'help', 'peopl', 'save', 'live', 'rest', 'appreci', 'hope', 'chat']","['well', 'besides', 'little', 'racing', 'disagreement', 'gotta', 'say', 'man', 'im', 'really', 'sorry', 'hear', 'tough', 'thing', 'deal', 'im', 'sure', 'loved', 'lot', 'proud', 'helping', 'people', 'saving', 'lives', 'resting', 'appreciate', 'hopefully', 'chat']",5,Thailand
2022-06-05 19:27:05+00:00,1533530870899949575,"😂😂 aye i appreciate your efforts. 
Love you best friend!
Proud of us, the best is yet to come❤️ https://t.co/FmgPpkHsYb",domthomas05,SA,2,3,0,0,Man of God. Proud Father.,365,,aye i appreciate your efforts love you best friend proud of us the best is yet to come,"['aye', 'i', 'appreciate', 'your', 'efforts', 'love', 'you', 'best', 'friend', 'proud', 'of', 'us', 'the', 'best', 'is', 'yet', 'to', 'come']","['aye', 'appreciate', 'efforts', 'love', 'best', 'friend', 'proud', 'us', 'best', 'yet', 'come']","['aye', 'appreci', 'effort', 'love', 'best', 'friend', 'proud', 'us', 'best', 'yet', 'come']","['aye', 'appreciate', 'efforts', 'love', 'best', 'friend', 'proud', 'us', 'best', 'yet', 'come']",5,Thailand
2022-06-05 08:37:28+00:00,1533367388275625984,"I can spend a day without hearing people's voices or seeing anyone if I don't step outside.

I appreciate and love the quietness but a lil bit of noise from people arguing outside or cursing each other won't be bad for my mental health.",Jer1dah,SA,1,0,0,0,CA(SA) | MCom in International Accounting| Man Unite| Jer1dah on IG| As you were....,9545,,i can spend a day without hearing peoples voices or seeing anyone if i dont step outside i appreciate and love the quietness but a lil bit of noise from people arguing outside or cursing each other wont be bad for my mental health,"['i', 'can', 'spend', 'a', 'day', 'without', 'hearing', 'peoples', 'voices', 'or', 'seeing', 'anyone', 'if', 'i', 'dont', 'step', 'outside', 'i', 'appreciate', 'and', 'love', 'the', 'quietness', 'but', 'a', 'lil', 'bit', 'of', 'noise', 'from', 'people', 'arguing', 'outside', 'or', 'cursing', 'each', 'other', 'wont', 'be', 'bad', 'for', 'my', 'mental', 'health']","['spend', 'day', 'without', 'hearing', 'peoples', 'voices', 'seeing', 'anyone', 'dont', 'step', 'outside', 'appreciate', 'love', 'quietness', 'lil', 'bit', 'noise', 'people', 'arguing', 'outside', 'cursing', 'wont', 'bad', 'mental', 'health']","['spend', 'day', 'without', 'hear', 'peopl', 'voic', 'see', 'anyon', 'dont', 'step', 'outsid', 'appreci', 'love', 'quiet', 'lil', 'bit', 'nois', 'peopl', 'argu', 'outsid', 'curs', 'wont', 'bad', 'mental', 'health']","['spend', 'day', 'without', 'hearing', 'peoples', 'voices', 'seeing', 'anyone', 'dont', 'step', 'outside', 'appreciate', 'love', 'quietness', 'lil', 'bit', 'noise', 'people', 'arguing', 'outside', 'cursing', 'wont', 'bad', 'mental', 'health']",3,Thailand
2022-06-05 02:41:05+00:00,1533277699774500865,"@SpartacusX86 Appreciate it, but its her accomplishment and i was fortunate enough to be along for the ride. I'm just really fucking proud of her and wanted to share something good with my Twitter friends",RiverHawkRack,MA,0,0,0,0,One of the (half)dozen people who discusses UMass Lowell 🏀 on Twitter,316,,appreciate it but its her accomplishment and i was fortunate enough to be along for the ride im just really fucking proud of her and wanted to share something good with my twitter friends,"['appreciate', 'it', 'but', 'its', 'her', 'accomplishment', 'and', 'i', 'was', 'fortunate', 'enough', 'to', 'be', 'along', 'for', 'the', 'ride', 'im', 'just', 'really', 'fucking', 'proud', 'of', 'her', 'and', 'wanted', 'to', 'share', 'something', 'good', 'with', 'my', 'twitter', 'friends']","['appreciate', 'accomplishment', 'fortunate', 'enough', 'along', 'ride', 'im', 'really', 'fucking', 'proud', 'wanted', 'share', 'something', 'good', 'twitter', 'friends']","['appreci', 'accomplish', 'fortun', 'enough', 'along', 'ride', 'im', 'realli', 'fuck', 'proud', 'want', 'share', 'someth', 'good', 'twitter', 'friend']","['appreciate', 'accomplishment', 'fortunate', 'enough', 'along', 'ride', 'im', 'really', 'fucking', 'proud', 'wanted', 'share', 'something', 'good', 'twitter', 'friends']",3,Thailand
2022-06-05 01:01:09+00:00,1533252550975033346,"Mayo MorningUp 🤍
Let the story of your life be magical. Appreciate all the good things and wonderful little surprises that come your way. Focus on the positive, and you will attract more beauty and wonderfulness into your life!

@uppoompat #uppoompat
#มาโยของอัพ #Mymayo https://t.co/t0VcPC0ynt",_flamingpearls,Thailand,23,0,12,0,𝚢𝚘𝚞 𝚕𝚒𝚐𝚑𝚝 𝚖𝚎 𝚄𝙿 @uppoompat 🤍🇻🇳,1025,"['uppoompat', 'มาโยของอัพ', 'Mymayo']",mayo morningup let the story of your life be magical appreciate all the good things and wonderful little surprises that come your way focus on the positive and you will attract more beauty and wonderfulness into your life uppoompat mymayo,"['mayo', 'morningup', 'let', 'the', 'story', 'of', 'your', 'life', 'be', 'magical', 'appreciate', 'all', 'the', 'good', 'things', 'and', 'wonderful', 'little', 'surprises', 'that', 'come', 'your', 'way', 'focus', 'on', 'the', 'positive', 'and', 'you', 'will', 'attract', 'more', 'beauty', 'and', 'wonderfulness', 'into', 'your', 'life', 'uppoompat', 'mymayo']","['mayo', 'morningup', 'let', 'story', 'life', 'magical', 'appreciate', 'good', 'things', 'wonderful', 'little', 'surprises', 'come', 'way', 'focus', 'positive', 'attract', 'beauty', 'wonderfulness', 'life', 'uppoompat', 'mymayo']","['mayo', 'morningup', 'let', 'stori', 'life', 'magic', 'appreci', 'good', 'thing', 'wonder', 'littl', 'surpris', 'come', 'way', 'focu', 'posit', 'attract', 'beauti', 'wonder', 'life', 'uppoompat', 'mymayo']","['mayo', 'morningup', 'let', 'story', 'life', 'magical', 'appreciate', 'good', 'things', 'wonderful', 'little', 'surprises', 'come', 'way', 'focus', 'positive', 'attract', 'beauty', 'wonderfulness', 'life', 'uppoompat', 'mymayo']",5,Thailand
