Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-08 15:34:17+00:00,1534559447086940161,"There's no money being pumped in. There's no money in album sales. It's endorsements, performances etc but our artists are underpaid. Look at the contract TNM gave Eli Njuchi. Corporations need to appreciate the symbiotic relationship more https://t.co/CQvNgvFyGv",zicky317,"Blantyre, Malawi",3,0,0,0,"I dont like how serious they take themselves, I've always been me I guess I know myself. Music, Football, good vibes. We have won it 6 times. Focus on yourself",2030,,theres no money being pumped in theres no money in album sales its endorsements performances etc but our artists are underpaid look at the contract tnm gave eli njuchi corporations need to appreciate the symbiotic relationship more,"['theres', 'no', 'money', 'being', 'pumped', 'in', 'theres', 'no', 'money', 'in', 'album', 'sales', 'its', 'endorsements', 'performances', 'etc', 'but', 'our', 'artists', 'are', 'underpaid', 'look', 'at', 'the', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'to', 'appreciate', 'the', 'symbiotic', 'relationship', 'more']","['theres', 'money', 'pumped', 'theres', 'money', 'album', 'sales', 'endorsements', 'performances', 'etc', 'artists', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'appreciate', 'symbiotic', 'relationship']","['there', 'money', 'pump', 'there', 'money', 'album', 'sale', 'endors', 'perform', 'etc', 'artist', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corpor', 'need', 'appreci', 'symbiot', 'relationship']","['theres', 'money', 'pumped', 'theres', 'money', 'album', 'sales', 'endorsements', 'performances', 'etc', 'artists', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'appreciate', 'symbiotic', 'relationship']",1,Zambia
2022-06-06 18:19:12+00:00,1533876175508062211,"Life is like a war, you need to be strong and very careful. Some people will never appreciate what you have done for them. Wake up buga",royalboy_z,"Lusaka, Zambia",1,0,0,0,Airtst afrobeats and RNB zed to the world Iyo music 🎶 🇿🇲,237,,life is like a war you need to be strong and very careful some people will never appreciate what you have done for them wake up buga,"['life', 'is', 'like', 'a', 'war', 'you', 'need', 'to', 'be', 'strong', 'and', 'very', 'careful', 'some', 'people', 'will', 'never', 'appreciate', 'what', 'you', 'have', 'done', 'for', 'them', 'wake', 'up', 'buga']","['life', 'like', 'war', 'need', 'strong', 'careful', 'people', 'never', 'appreciate', 'done', 'wake', 'buga']","['life', 'like', 'war', 'need', 'strong', 'care', 'peopl', 'never', 'appreci', 'done', 'wake', 'buga']","['life', 'like', 'war', 'need', 'strong', 'careful', 'people', 'never', 'appreciate', 'done', 'wake', 'buga']",5,Zambia
2022-06-05 11:58:19+00:00,1533417931874639872,@pompogpurin I appreciate the first and the last but I am in denial about Virgincore,byenjee,"Union, California",1,1,0,0,"they/them | i like music, arts, history and literature.
i admin the bungo stray dogs wiki.",87,,i appreciate the first and the last but i am in denial about virgincore,"['i', 'appreciate', 'the', 'first', 'and', 'the', 'last', 'but', 'i', 'am', 'in', 'denial', 'about', 'virgincore']","['appreciate', 'first', 'last', 'denial', 'virgincore']","['appreci', 'first', 'last', 'denial', 'virgincor']","['appreciate', 'first', 'last', 'denial', 'virgincore']",3,Zambia
2022-06-04 11:48:08+00:00,1533052984640380928,"Eating rubish , substitute avocado for some salted zambeef butter your taste buds will appreciate . Muntu kuyumilila kwati ni guava tree ati I eat health kanshi naikosafye pa Zed 😂 always visiting to survive to the next meal ... Eating healthy there isn't anything like that ur",anubianson,"Lusaka, Zambia",0,0,0,0,"Political Activist,Accountant,Father,Husband and upcoming Farmer,Entreprenuer.",414,,eating rubish substitute avocado for some salted zambeef butter your taste buds will appreciate muntu kuyumilila kwati ni guava tree ati i eat health kanshi naikosafye pa zed always visiting to survive to the next meal eating healthy there isnt anything like that ur,"['eating', 'rubish', 'substitute', 'avocado', 'for', 'some', 'salted', 'zambeef', 'butter', 'your', 'taste', 'buds', 'will', 'appreciate', 'muntu', 'kuyumilila', 'kwati', 'ni', 'guava', 'tree', 'ati', 'i', 'eat', 'health', 'kanshi', 'naikosafye', 'pa', 'zed', 'always', 'visiting', 'to', 'survive', 'to', 'the', 'next', 'meal', 'eating', 'healthy', 'there', 'isnt', 'anything', 'like', 'that', 'ur']","['eating', 'rubish', 'substitute', 'avocado', 'salted', 'zambeef', 'butter', 'taste', 'buds', 'appreciate', 'muntu', 'kuyumilila', 'kwati', 'ni', 'guava', 'tree', 'ati', 'eat', 'health', 'kanshi', 'naikosafye', 'pa', 'zed', 'always', 'visiting', 'survive', 'next', 'meal', 'eating', 'healthy', 'isnt', 'anything', 'like', 'ur']","['eat', 'rubish', 'substitut', 'avocado', 'salt', 'zambeef', 'butter', 'tast', 'bud', 'appreci', 'muntu', 'kuyumilila', 'kwati', 'ni', 'guava', 'tree', 'ati', 'eat', 'health', 'kanshi', 'naikosafy', 'pa', 'zed', 'alway', 'visit', 'surviv', 'next', 'meal', 'eat', 'healthi', 'isnt', 'anyth', 'like', 'ur']","['eating', 'rubish', 'substitute', 'avocado', 'salted', 'zambeef', 'butter', 'taste', 'buds', 'appreciate', 'muntu', 'kuyumilila', 'kwati', 'ni', 'guava', 'tree', 'ati', 'eat', 'health', 'kanshi', 'naikosafye', 'pa', 'zed', 'always', 'visiting', 'survive', 'next', 'meal', 'eating', 'healthy', 'isnt', 'anything', 'like', 'ur']",4,Zambia
2022-06-04 08:10:18+00:00,1532998161664512001,"@MrsHichilema Happy birthday to our father, may God continue bleasung you in wisdom and wirh good health...we appreciate you",abigailnidoz,"Lusaka, Zambia.",2,0,0,0,Unapologetically different...!!!,2272,,happy birthday to our father may god continue bleasung you in wisdom and wirh good healthwe appreciate you,"['happy', 'birthday', 'to', 'our', 'father', 'may', 'god', 'continue', 'bleasung', 'you', 'in', 'wisdom', 'and', 'wirh', 'good', 'healthwe', 'appreciate', 'you']","['happy', 'birthday', 'father', 'may', 'god', 'continue', 'bleasung', 'wisdom', 'wirh', 'good', 'healthwe', 'appreciate']","['happi', 'birthday', 'father', 'may', 'god', 'continu', 'bleasung', 'wisdom', 'wirh', 'good', 'healthw', 'appreci']","['happy', 'birthday', 'father', 'may', 'god', 'continue', 'bleasung', 'wisdom', 'wirh', 'good', 'healthwe', 'appreciate']",5,Zambia
2022-06-02 17:24:02+00:00,1532412741029400578,"Despite everything.. I pray that you find yourself, that you learn to appreciate and value yourself.. #TakeCare",Son_Of_Zion_,"Chingola, Zambia",0,0,0,0,🎵,48,['TakeCare'],despite everything i pray that you find yourself that you learn to appreciate and value yourself takecare,"['despite', 'everything', 'i', 'pray', 'that', 'you', 'find', 'yourself', 'that', 'you', 'learn', 'to', 'appreciate', 'and', 'value', 'yourself', 'takecare']","['despite', 'everything', 'pray', 'find', 'learn', 'appreciate', 'value', 'takecare']","['despit', 'everyth', 'pray', 'find', 'learn', 'appreci', 'valu', 'takecar']","['despite', 'everything', 'pray', 'find', 'learn', 'appreciate', 'value', 'takecare']",5,Zambia
2022-06-02 14:06:05+00:00,1532362921510051840,@TedChaiban the global lead coordinator for #COVID19 Vaccine Deliver Partnership is in Kasungu to appreciate key #COVID19 vaccination activities implemented in the district. WHO &amp; partners are supporting @health_malawi to vaccinate at least  30% of target population by September https://t.co/yK42Fuk1Az,WHOMalawi,Lilongwe,4,0,6,0,Official Twitter account for WHO Malawi Country Office,1484,"['COVID19', 'COVID19']",the global lead coordinator for covid19 vaccine deliver partnership is in kasungu to appreciate key covid19 vaccination activities implemented in the district who amp partners are supporting to vaccinate at least 30 of target population by september,"['the', 'global', 'lead', 'coordinator', 'for', 'covid19', 'vaccine', 'deliver', 'partnership', 'is', 'in', 'kasungu', 'to', 'appreciate', 'key', 'covid19', 'vaccination', 'activities', 'implemented', 'in', 'the', 'district', 'who', 'amp', 'partners', 'are', 'supporting', 'to', 'vaccinate', 'at', 'least', '30', 'of', 'target', 'population', 'by', 'september']","['global', 'lead', 'coordinator', 'covid19', 'vaccine', 'deliver', 'partnership', 'kasungu', 'appreciate', 'key', 'covid19', 'vaccination', 'activities', 'implemented', 'district', 'amp', 'partners', 'supporting', 'vaccinate', 'least', '30', 'target', 'population', 'september']","['global', 'lead', 'coordin', 'covid19', 'vaccin', 'deliv', 'partnership', 'kasungu', 'appreci', 'key', 'covid19', 'vaccin', 'activ', 'implement', 'district', 'amp', 'partner', 'support', 'vaccin', 'least', '30', 'target', 'popul', 'septemb']","['global', 'lead', 'coordinator', 'covid19', 'vaccine', 'deliver', 'partnership', 'kasungu', 'appreciate', 'key', 'covid19', 'vaccination', 'activities', 'implemented', 'district', 'amp', 'partners', 'supporting', 'vaccinate', 'least', '30', 'target', 'population', 'september']",5,Zambia
2022-06-02 09:22:02+00:00,1532291438871969792,Time and health are two precious assets that we don’t recognise and appreciate until they have been depleted #Remember## #WaitleyDenis,Rayla98,"Lusaka, Zambia",1,0,0,0,I am Wangu,283,['WaitleyDenis'],time and health are two precious assets that we dont recognise and appreciate until they have been depleted remember waitleydenis,"['time', 'and', 'health', 'are', 'two', 'precious', 'assets', 'that', 'we', 'dont', 'recognise', 'and', 'appreciate', 'until', 'they', 'have', 'been', 'depleted', 'remember', 'waitleydenis']","['time', 'health', 'two', 'precious', 'assets', 'dont', 'recognise', 'appreciate', 'depleted', 'remember', 'waitleydenis']","['time', 'health', 'two', 'preciou', 'asset', 'dont', 'recognis', 'appreci', 'deplet', 'rememb', 'waitleydeni']","['time', 'health', 'two', 'precious', 'assets', 'dont', 'recognise', 'appreciate', 'depleted', 'remember', 'waitleydenis']",5,Zambia
2022-06-01 14:42:11+00:00,1532009618502782977,U only appreciate good health wen u don't have it,Micheal34110858,Lusaka ,0,0,0,0,Here for good,127,,u only appreciate good health wen u dont have it,"['u', 'only', 'appreciate', 'good', 'health', 'wen', 'u', 'dont', 'have', 'it']","['u', 'appreciate', 'good', 'health', 'wen', 'u', 'dont']","['u', 'appreci', 'good', 'health', 'wen', 'u', 'dont']","['u', 'appreciate', 'good', 'health', 'wen', 'u', 'dont']",3,Zambia
2022-06-01 09:28:47+00:00,1531930751683514372,"@hitmanMW I always thought the market just isn’t the right one, football fans rarely care about anything more than the match itself at a CL final… unlike WC which includes a lot of casual fans and non-fans who appreciate it more as an event than a football match",Tr3vvy,Lilongwe,0,1,0,0,“I don't speak the language of cowards I walk through the flame like I'm Teflon” - Cole,133,,i always thought the market just isnt the right one football fans rarely care about anything more than the match itself at a cl final unlike wc which includes a lot of casual fans and nonfans who appreciate it more as an event than a football match,"['i', 'always', 'thought', 'the', 'market', 'just', 'isnt', 'the', 'right', 'one', 'football', 'fans', 'rarely', 'care', 'about', 'anything', 'more', 'than', 'the', 'match', 'itself', 'at', 'a', 'cl', 'final', 'unlike', 'wc', 'which', 'includes', 'a', 'lot', 'of', 'casual', 'fans', 'and', 'nonfans', 'who', 'appreciate', 'it', 'more', 'as', 'an', 'event', 'than', 'a', 'football', 'match']","['always', 'thought', 'market', 'isnt', 'right', 'one', 'football', 'fans', 'rarely', 'care', 'anything', 'match', 'cl', 'final', 'unlike', 'wc', 'includes', 'lot', 'casual', 'fans', 'nonfans', 'appreciate', 'event', 'football', 'match']","['alway', 'thought', 'market', 'isnt', 'right', 'one', 'footbal', 'fan', 'rare', 'care', 'anyth', 'match', 'cl', 'final', 'unlik', 'wc', 'includ', 'lot', 'casual', 'fan', 'nonfan', 'appreci', 'event', 'footbal', 'match']","['always', 'thought', 'market', 'isnt', 'right', 'one', 'football', 'fans', 'rarely', 'care', 'anything', 'match', 'cl', 'final', 'unlike', 'wc', 'includes', 'lot', 'casual', 'fans', 'nonfans', 'appreciate', 'event', 'football', 'match']",2,Zambia
