Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-09 19:08:18+00:00,1534975694769356800,@Yvette_Aloe Even if you’ve communicated what you want/need/appreciate/expect/how to be treated (several times)… Some people are just narcissists,DeeVahOnline,"Pretoria, South Africa",0,1,0,0,•Singer/Songwriter •Recording Artist •Performer •BA Psychology Graduate •B Social Work Hons| 📧deevahonline@gmail.com,822,,even if youve communicated what you wantneedappreciateexpecthow to be treated several times some people are just narcissists,"['even', 'if', 'youve', 'communicated', 'what', 'you', 'wantneedappreciateexpecthow', 'to', 'be', 'treated', 'several', 'times', 'some', 'people', 'are', 'just', 'narcissists']","['even', 'youve', 'communicated', 'wantneedappreciateexpecthow', 'treated', 'several', 'times', 'people', 'narcissists']","['even', 'youv', 'commun', 'wantneedappreciateexpecthow', 'treat', 'sever', 'time', 'peopl', 'narcissist']","['even', 'youve', 'communicated', 'wantneedappreciateexpecthow', 'treated', 'several', 'times', 'people', 'narcissists']",1,Zimbabwe
2022-06-09 11:00:52+00:00,1534853025944182784,@itsThemba Go make money 👏👏👏 we appreciate hard working people,NgobeniSydneu,"Pretoria, South Africa",0,0,0,0,Just me nje,488,,go make money we appreciate hard working people,"['go', 'make', 'money', 'we', 'appreciate', 'hard', 'working', 'people']","['go', 'make', 'money', 'appreciate', 'hard', 'working', 'people']","['go', 'make', 'money', 'appreci', 'hard', 'work', 'peopl']","['go', 'make', 'money', 'appreciate', 'hard', 'working', 'people']",3,Zimbabwe
2022-06-09 06:58:56+00:00,1534792141532274688,"@tkapini7 @tauraitsungu @Munashe_mb @DennyFLIP @denvern3 @MDewah @sekuru_gudo @6ix_zw_ @PacheduZW @TheLifeZoomer @cazawaty @S_Harudzibwi You are welcome. I feel honored to have interacted with you. I grew up idolizing you. 

We should appreciate our legends more when they are still alive. 

Take care Campos.",chitowamombe14,"Harare, Zimbabwe",3,0,0,0,"Lawyer ||Culer ||Gooner ||Kaizer Chiefs ||Dembare || Tarisiro ihuru|| Ko tingavenganiraneiko, tingaurairanireiko hama?-ZORA Music (LKZ). Joshua 1:3, Rev 3:8.",10433,,you are welcome i feel honored to have interacted with you i grew up idolizing you we should appreciate our legends more when they are still alive take care campos,"['you', 'are', 'welcome', 'i', 'feel', 'honored', 'to', 'have', 'interacted', 'with', 'you', 'i', 'grew', 'up', 'idolizing', 'you', 'we', 'should', 'appreciate', 'our', 'legends', 'more', 'when', 'they', 'are', 'still', 'alive', 'take', 'care', 'campos']","['welcome', 'feel', 'honored', 'interacted', 'grew', 'idolizing', 'appreciate', 'legends', 'still', 'alive', 'take', 'care', 'campos']","['welcom', 'feel', 'honor', 'interact', 'grew', 'idol', 'appreci', 'legend', 'still', 'aliv', 'take', 'care', 'campo']","['welcome', 'feel', 'honored', 'interacted', 'grew', 'idolizing', 'appreciate', 'legends', 'still', 'alive', 'take', 'care', 'campos']",5,Zimbabwe
2022-06-09 05:24:09+00:00,1534768290010214401,"Hey @Regy8887. We value and appreciate your input/feedback. If your connectivity challenge continues you can inbox your location and number for assistance. For other inquiries you may have, kindly visit web self-care: https://t.co/Po0wKRzukD to log your query for assistance. ^AIH",econet_support,Harare,0,0,0,0,Econet Wireless Zimbabwe Customer Service Support. #EconetCustomerCare,139029,,hey we value and appreciate your inputfeedback if your connectivity challenge continues you can inbox your location and number for assistance for other inquiries you may have kindly visit web selfcare to log your query for assistance aih,"['hey', 'we', 'value', 'and', 'appreciate', 'your', 'inputfeedback', 'if', 'your', 'connectivity', 'challenge', 'continues', 'you', 'can', 'inbox', 'your', 'location', 'and', 'number', 'for', 'assistance', 'for', 'other', 'inquiries', 'you', 'may', 'have', 'kindly', 'visit', 'web', 'selfcare', 'to', 'log', 'your', 'query', 'for', 'assistance', 'aih']","['hey', 'value', 'appreciate', 'inputfeedback', 'connectivity', 'challenge', 'continues', 'inbox', 'location', 'number', 'assistance', 'inquiries', 'may', 'kindly', 'visit', 'web', 'selfcare', 'log', 'query', 'assistance', 'aih']","['hey', 'valu', 'appreci', 'inputfeedback', 'connect', 'challeng', 'continu', 'inbox', 'locat', 'number', 'assist', 'inquiri', 'may', 'kindli', 'visit', 'web', 'selfcar', 'log', 'queri', 'assist', 'aih']","['hey', 'value', 'appreciate', 'inputfeedback', 'connectivity', 'challenge', 'continues', 'inbox', 'location', 'number', 'assistance', 'inquiries', 'may', 'kindly', 'visit', 'web', 'selfcare', 'log', 'query', 'assistance', 'aih']",4,Zimbabwe
2022-06-08 15:34:17+00:00,1534559447086940161,"There's no money being pumped in. There's no money in album sales. It's endorsements, performances etc but our artists are underpaid. Look at the contract TNM gave Eli Njuchi. Corporations need to appreciate the symbiotic relationship more https://t.co/CQvNgvFyGv",zicky317,"Blantyre, Malawi",3,0,0,0,"I dont like how serious they take themselves, I've always been me I guess I know myself. Music, Football, good vibes. We have won it 6 times. Focus on yourself",2031,,theres no money being pumped in theres no money in album sales its endorsements performances etc but our artists are underpaid look at the contract tnm gave eli njuchi corporations need to appreciate the symbiotic relationship more,"['theres', 'no', 'money', 'being', 'pumped', 'in', 'theres', 'no', 'money', 'in', 'album', 'sales', 'its', 'endorsements', 'performances', 'etc', 'but', 'our', 'artists', 'are', 'underpaid', 'look', 'at', 'the', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'to', 'appreciate', 'the', 'symbiotic', 'relationship', 'more']","['theres', 'money', 'pumped', 'theres', 'money', 'album', 'sales', 'endorsements', 'performances', 'etc', 'artists', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'appreciate', 'symbiotic', 'relationship']","['there', 'money', 'pump', 'there', 'money', 'album', 'sale', 'endors', 'perform', 'etc', 'artist', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corpor', 'need', 'appreci', 'symbiot', 'relationship']","['theres', 'money', 'pumped', 'theres', 'money', 'album', 'sales', 'endorsements', 'performances', 'etc', 'artists', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'appreciate', 'symbiotic', 'relationship']",1,Zimbabwe
2022-06-08 14:32:14+00:00,1534543830846001152,"Doctor said I have bronchitis 💀 
I'm booked off till Friday so I'll see you all in the new week. 

Time to get back on track and smash this year 💪🏼 

Thank you to everyone who's still with me, even though I've been quiet for a while. I appreciate you all.

Much love ❤️",TangoduckyT,"Pretoria, South Africa",18,5,0,0,"I'm an South African 🇿🇦 variety streamer and content creator, Join me on my journey and have fun with us 🎮",377,,doctor said i have bronchitis im booked off till friday so ill see you all in the new week time to get back on track and smash this year thank you to everyone whos still with me even though ive been quiet for a while i appreciate you all much love,"['doctor', 'said', 'i', 'have', 'bronchitis', 'im', 'booked', 'off', 'till', 'friday', 'so', 'ill', 'see', 'you', 'all', 'in', 'the', 'new', 'week', 'time', 'to', 'get', 'back', 'on', 'track', 'and', 'smash', 'this', 'year', 'thank', 'you', 'to', 'everyone', 'whos', 'still', 'with', 'me', 'even', 'though', 'ive', 'been', 'quiet', 'for', 'a', 'while', 'i', 'appreciate', 'you', 'all', 'much', 'love']","['doctor', 'said', 'bronchitis', 'im', 'booked', 'till', 'friday', 'ill', 'see', 'new', 'week', 'time', 'get', 'back', 'track', 'smash', 'year', 'thank', 'everyone', 'whos', 'still', 'even', 'though', 'ive', 'quiet', 'appreciate', 'much', 'love']","['doctor', 'said', 'bronchiti', 'im', 'book', 'till', 'friday', 'ill', 'see', 'new', 'week', 'time', 'get', 'back', 'track', 'smash', 'year', 'thank', 'everyon', 'who', 'still', 'even', 'though', 'ive', 'quiet', 'appreci', 'much', 'love']","['doctor', 'said', 'bronchitis', 'im', 'booked', 'till', 'friday', 'ill', 'see', 'new', 'week', 'time', 'get', 'back', 'track', 'smash', 'year', 'thank', 'everyone', 'whos', 'still', 'even', 'though', 'ive', 'quiet', 'appreciate', 'much', 'love']",5,Zimbabwe
2022-06-08 10:35:11+00:00,1534484176560435200,"Bulawayo, Fathers Day is just 11 days away &amp; @sweetbunnyzw got amazing packages you can choose from so that you get to spoil your Father figures &amp; Kings on this day. We appreciated  mothers, let's appreciate the fathers too the same way💞.
Thread

1/ To place orders 0772738475 https://t.co/lC4SeYHtyi",newton_zw,"Bulawayo, Zimbabwe",20,1,9,0,Im a bachelor that cooks|| S.M Marketing || #NdebeleTwitter|| @Cosmeticszw || @EasternFusionZW || Munchie Peanut Butter || @sweetbunnyzw || @byozwitterfc ||,14237,,bulawayo fathers day is just 11 days away amp got amazing packages you can choose from so that you get to spoil your father figures amp kings on this day we appreciated mothers lets appreciate the fathers too the same way thread 1 to place orders 0772738475,"['bulawayo', 'fathers', 'day', 'is', 'just', '11', 'days', 'away', 'amp', 'got', 'amazing', 'packages', 'you', 'can', 'choose', 'from', 'so', 'that', 'you', 'get', 'to', 'spoil', 'your', 'father', 'figures', 'amp', 'kings', 'on', 'this', 'day', 'we', 'appreciated', 'mothers', 'lets', 'appreciate', 'the', 'fathers', 'too', 'the', 'same', 'way', 'thread', '1', 'to', 'place', 'orders', '0772738475']","['bulawayo', 'fathers', 'day', '11', 'days', 'away', 'amp', 'got', 'amazing', 'packages', 'choose', 'get', 'spoil', 'father', 'figures', 'amp', 'kings', 'day', 'appreciated', 'mothers', 'lets', 'appreciate', 'fathers', 'way', 'thread', '1', 'place', 'orders', '0772738475']","['bulawayo', 'father', 'day', '11', 'day', 'away', 'amp', 'got', 'amaz', 'packag', 'choos', 'get', 'spoil', 'father', 'figur', 'amp', 'king', 'day', 'appreci', 'mother', 'let', 'appreci', 'father', 'way', 'thread', '1', 'place', 'order', '0772738475']","['bulawayo', 'fathers', 'day', '11', 'days', 'away', 'amp', 'got', 'amazing', 'packages', 'choose', 'get', 'spoil', 'father', 'figures', 'amp', 'kings', 'day', 'appreciated', 'mothers', 'lets', 'appreciate', 'fathers', 'way', 'thread', '1', 'place', 'orders', '0772738475']",5,Zimbabwe
2022-06-08 08:00:01+00:00,1534445126340190210,"Congratulations Sipho Ntanzi from Halfway House! For 17 years you've helped make Woodhill the amazing place it is! We appreciate your consistency and your constant willingness to help. 
Thank you, Sipho, for all you do!
#clubwoodhill #luxuaryestate #employeeofthemonth #pretoria https://t.co/pwlmjSTmeT",ClubWoodhill,Pretoria,1,0,0,0,It is little wonder that Woodhill Residential Estate and Country Club ranks amongst the top 100 most prestigious golf courses in South Africa,20,"['clubwoodhill', 'luxuaryestate', 'employeeofthemonth', 'pretoria']",congratulations sipho ntanzi from halfway house for 17 years youve helped make woodhill the amazing place it is we appreciate your consistency and your constant willingness to help thank you sipho for all you do clubwoodhill luxuaryestate employeeofthemonth pretoria,"['congratulations', 'sipho', 'ntanzi', 'from', 'halfway', 'house', 'for', '17', 'years', 'youve', 'helped', 'make', 'woodhill', 'the', 'amazing', 'place', 'it', 'is', 'we', 'appreciate', 'your', 'consistency', 'and', 'your', 'constant', 'willingness', 'to', 'help', 'thank', 'you', 'sipho', 'for', 'all', 'you', 'do', 'clubwoodhill', 'luxuaryestate', 'employeeofthemonth', 'pretoria']","['congratulations', 'sipho', 'ntanzi', 'halfway', 'house', '17', 'years', 'youve', 'helped', 'make', 'woodhill', 'amazing', 'place', 'appreciate', 'consistency', 'constant', 'willingness', 'help', 'thank', 'sipho', 'clubwoodhill', 'luxuaryestate', 'employeeofthemonth', 'pretoria']","['congratul', 'sipho', 'ntanzi', 'halfway', 'hous', '17', 'year', 'youv', 'help', 'make', 'woodhil', 'amaz', 'place', 'appreci', 'consist', 'constant', 'willing', 'help', 'thank', 'sipho', 'clubwoodhil', 'luxuaryest', 'employeeofthemonth', 'pretoria']","['congratulations', 'sipho', 'ntanzi', 'halfway', 'house', '17', 'years', 'youve', 'helped', 'make', 'woodhill', 'amazing', 'place', 'appreciate', 'consistency', 'constant', 'willingness', 'help', 'thank', 'sipho', 'clubwoodhill', 'luxuaryestate', 'employeeofthemonth', 'pretoria']",5,Zimbabwe
2022-06-08 07:59:38+00:00,1534445031871881216,"@CiroLifepo4 @Minum_Zw @FARMING_PRODUCE @motimagz @HotplateGrillh1 @foodaffairZW @tatenda33129689 @ROHacademy @AfmForum @4hZimbabwe @LeenChings Thank you,i really appreciate and so humbled",AshieWekwaPanga,"Harare, Zimbabwe",4,0,1,0,"We specialise in installing,repairing and maintaining solar systems. Innovative• Serving• Diligent• Efficiency• Social Responsibility  |Proudly Zimbabwean🇿🇼|",2705,,thank youi really appreciate and so humbled,"['thank', 'youi', 'really', 'appreciate', 'and', 'so', 'humbled']","['thank', 'youi', 'really', 'appreciate', 'humbled']","['thank', 'youi', 'realli', 'appreci', 'humbl']","['thank', 'youi', 'really', 'appreciate', 'humbled']",5,Zimbabwe
2022-06-08 07:45:12+00:00,1534441399948660736,@kissy256 That only have to teach u tht  not all of us wil always appreciate what u do .. until u go to Ur Resting place ....,URBANGRACEINVE1,Botswana,0,0,0,0,"Our services are as follow
G/supplies ,Advertisement
 Construction",141,,that only have to teach u tht not all of us wil always appreciate what u do until u go to ur resting place,"['that', 'only', 'have', 'to', 'teach', 'u', 'tht', 'not', 'all', 'of', 'us', 'wil', 'always', 'appreciate', 'what', 'u', 'do', 'until', 'u', 'go', 'to', 'ur', 'resting', 'place']","['teach', 'u', 'tht', 'us', 'wil', 'always', 'appreciate', 'u', 'u', 'go', 'ur', 'resting', 'place']","['teach', 'u', 'tht', 'us', 'wil', 'alway', 'appreci', 'u', 'u', 'go', 'ur', 'rest', 'place']","['teach', 'u', 'tht', 'us', 'wil', 'always', 'appreciate', 'u', 'u', 'go', 'ur', 'resting', 'place']",3,Zimbabwe
