Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 07:08:17+00:00,1532982556181897221,"@LeonaLioness6 @sunboid1 Keep tweeting positive, warm messages and ignore those too blinded by jealousy and rage to appreciate you. They’re not worth your energy anyway.",2jase,EDT,1,0,0,0,"I'm just a snark whose intentions are good. Please don't let me be misunderestimated. Proud Progressive, adrenaline junkie, answerer of questions. Just ask.",652,,keep tweeting positive warm messages and ignore those too blinded by jealousy and rage to appreciate you theyre not worth your energy anyway,"['keep', 'tweeting', 'positive', 'warm', 'messages', 'and', 'ignore', 'those', 'too', 'blinded', 'by', 'jealousy', 'and', 'rage', 'to', 'appreciate', 'you', 'theyre', 'not', 'worth', 'your', 'energy', 'anyway']","['keep', 'tweeting', 'positive', 'warm', 'messages', 'ignore', 'blinded', 'jealousy', 'rage', 'appreciate', 'theyre', 'worth', 'energy', 'anyway']","['keep', 'tweet', 'posit', 'warm', 'messag', 'ignor', 'blind', 'jealousi', 'rage', 'appreci', 'theyr', 'worth', 'energi', 'anyway']","['keep', 'tweeting', 'positive', 'warm', 'messages', 'ignore', 'blinded', 'jealousy', 'rage', 'appreciate', 'theyre', 'worth', 'energy', 'anyway']",1,Austria
2022-06-04 14:24:07+00:00,1533092238275796993,"This was worth checking my phone for on holiday. @kaitborsay kindly alerted me 😁

…And plenty of mutual WIF appreciation for other nominees I’ve seen 

Thanks Lorenzo! https://t.co/dL3kGwP9Lh",lynseyhooper,London,22,0,1,0,Broadcaster for @skysports & @premierleague (IMG). Co-Founder @offsiderulepod & Director @offsideprods. Agent: Dean@oportosports.com,15436,,this was worth checking my phone for on holiday kindly alerted me and plenty of mutual wif appreciation for other nominees ive seen thanks lorenzo,"['this', 'was', 'worth', 'checking', 'my', 'phone', 'for', 'on', 'holiday', 'kindly', 'alerted', 'me', 'and', 'plenty', 'of', 'mutual', 'wif', 'appreciation', 'for', 'other', 'nominees', 'ive', 'seen', 'thanks', 'lorenzo']","['worth', 'checking', 'phone', 'holiday', 'kindly', 'alerted', 'plenty', 'mutual', 'wif', 'appreciation', 'nominees', 'ive', 'seen', 'thanks', 'lorenzo']","['worth', 'check', 'phone', 'holiday', 'kindli', 'alert', 'plenti', 'mutual', 'wif', 'appreci', 'nomine', 'ive', 'seen', 'thank', 'lorenzo']","['worth', 'checking', 'phone', 'holiday', 'kindly', 'alerted', 'plenty', 'mutual', 'wif', 'appreciation', 'nominees', 'ive', 'seen', 'thanks', 'lorenzo']",5,Austria
2021-05-03 09:48:34+00:00,1389154912118902785,"@LadislavGaspar @Airbnb And they gave me a voucher that is impossibile for using!!! because with negative point that their crazy host put on my profile with that big problems that we had togethet, nobody accept my request only for using their rubbishy voucher. So, they @airbnb really are a dirty company",FatemehKafash,Austria,0,0,0,0,"PHD in Information and Communication Engineering(ICT) 
Combinatorial Optimisation Problems
Researcher at L'aquila university/Lfoundry/graz university",19,,and they gave me a voucher that is impossibile for using because with negative point that their crazy host put on my profile with that big problems that we had togethet nobody accept my request only for using their rubbishy voucher so they really are a dirty company,"['and', 'they', 'gave', 'me', 'a', 'voucher', 'that', 'is', 'impossibile', 'for', 'using', 'because', 'with', 'negative', 'point', 'that', 'their', 'crazy', 'host', 'put', 'on', 'my', 'profile', 'with', 'that', 'big', 'problems', 'that', 'we', 'had', 'togethet', 'nobody', 'accept', 'my', 'request', 'only', 'for', 'using', 'their', 'rubbishy', 'voucher', 'so', 'they', 'really', 'are', 'a', 'dirty', 'company']","['gave', 'voucher', 'impossibile', 'using', 'negative', 'point', 'crazy', 'host', 'put', 'profile', 'big', 'problems', 'togethet', 'nobody', 'accept', 'request', 'using', 'rubbishy', 'voucher', 'really', 'dirty', 'company']","['gave', 'voucher', 'impossibil', 'use', 'neg', 'point', 'crazi', 'host', 'put', 'profil', 'big', 'problem', 'togethet', 'nobodi', 'accept', 'request', 'use', 'rubbishi', 'voucher', 'realli', 'dirti', 'compani']","['gave', 'voucher', 'impossibile', 'using', 'negative', 'point', 'crazy', 'host', 'put', 'profile', 'big', 'problems', 'togethet', 'nobody', 'accept', 'request', 'using', 'rubbishy', 'voucher', 'really', 'dirty', 'company']",1,Austria
2019-12-27 13:58:15+00:00,1210560528961064966,"ADVENT GIVEAWAY⭐️ #4 ‼️ Win 1 pair of fiveten_official Freerider Pro + 1 x 100€ shopping voucher from maciagoffroad  👉🏼 Was musst du tun?

1️⃣ Markiere den Post mit „Gefällt mir“
2️⃣ Gehe sicher, du… https://t.co/fNEkYoUH12",NinaPfirsich,"Wien, Österreich",1,0,0,0,Do epic stuff,330,,advent giveaway 4 win 1 pair of fivetenofficial freerider pro 1 x 100 shopping voucher from maciagoffroad was musst du tun markiere den post mit gefllt mir gehe sicher du,"['advent', 'giveaway', '4', 'win', '1', 'pair', 'of', 'fivetenofficial', 'freerider', 'pro', '1', 'x', '100', 'shopping', 'voucher', 'from', 'maciagoffroad', 'was', 'musst', 'du', 'tun', 'markiere', 'den', 'post', 'mit', 'gefllt', 'mir', 'gehe', 'sicher', 'du']","['advent', 'giveaway', '4', 'win', '1', 'pair', 'fivetenofficial', 'freerider', 'pro', '1', 'x', '100', 'shopping', 'voucher', 'maciagoffroad', 'musst', 'du', 'tun', 'markiere', 'den', 'post', 'mit', 'gefllt', 'mir', 'gehe', 'sicher', 'du']","['advent', 'giveaway', '4', 'win', '1', 'pair', 'fivetenoffici', 'freerid', 'pro', '1', 'x', '100', 'shop', 'voucher', 'maciagoffroad', 'musst', 'du', 'tun', 'markier', 'den', 'post', 'mit', 'gefllt', 'mir', 'gehe', 'sicher', 'du']","['advent', 'giveaway', '4', 'win', '1', 'pair', 'fivetenofficial', 'freerider', 'pro', '1', 'x', '100', 'shopping', 'voucher', 'maciagoffroad', 'musst', 'du', 'tun', 'markiere', 'den', 'post', 'mit', 'gefllt', 'mir', 'gehe', 'sicher', 'du']",5,Austria
2020-04-07 13:56:01+00:00,1247523528326299651,"Despite several calls for solidarity, many of the 27 EU nations have resorted to protectionist measures during the coronavirus outbreak, restricting sales of essential products, such as medicines, face masks and medical devices. #COVID19 #Coronabonds #Oesterreich #coronavirus https://t.co/LSO8nVeT5A",AIES_austria,Vienna,1,0,1,0,"Austrian private non-partisan research institute & think tank with focus on EU foreign & security policy, NATO, CEE, Black Sea region and Middle East since 1996",3951,"['COVID19', 'Coronabonds', 'Oesterreich', 'coronavirus']",despite several calls for solidarity many of the 27 eu nations have resorted to protectionist measures during the coronavirus outbreak restricting sales of essential products such as medicines face masks and medical devices covid19 coronabonds oesterreich coronavirus,"['despite', 'several', 'calls', 'for', 'solidarity', 'many', 'of', 'the', '27', 'eu', 'nations', 'have', 'resorted', 'to', 'protectionist', 'measures', 'during', 'the', 'coronavirus', 'outbreak', 'restricting', 'sales', 'of', 'essential', 'products', 'such', 'as', 'medicines', 'face', 'masks', 'and', 'medical', 'devices', 'covid19', 'coronabonds', 'oesterreich', 'coronavirus']","['despite', 'several', 'calls', 'solidarity', 'many', '27', 'eu', 'nations', 'resorted', 'protectionist', 'measures', 'coronavirus', 'outbreak', 'restricting', 'sales', 'essential', 'products', 'medicines', 'face', 'masks', 'medical', 'devices', 'covid19', 'coronabonds', 'oesterreich', 'coronavirus']","['despit', 'sever', 'call', 'solidar', 'mani', '27', 'eu', 'nation', 'resort', 'protectionist', 'measur', 'coronaviru', 'outbreak', 'restrict', 'sale', 'essenti', 'product', 'medicin', 'face', 'mask', 'medic', 'devic', 'covid19', 'coronabond', 'oesterreich', 'coronaviru']","['despite', 'several', 'calls', 'solidarity', 'many', '27', 'eu', 'nations', 'resorted', 'protectionist', 'measures', 'coronavirus', 'outbreak', 'restricting', 'sales', 'essential', 'products', 'medicines', 'face', 'masks', 'medical', 'devices', 'covid19', 'coronabonds', 'oesterreich', 'coronavirus']",1,Austria
2020-03-05 13:27:38+00:00,1235557584616083464,"Taking a break from traveling seems like a wise decision with coronavirus spreading so fast around the world. We should act responsibly, not only for our health but also for the well being of people around us. 🌸 @… https://t.co/UBmgB68rVc",awaywithdeniz,"Istanbul, Turkey",3,1,0,0,IG: @awaywithdeniz | Youtube: Awaywithdeniz,573,,taking a break from traveling seems like a wise decision with coronavirus spreading so fast around the world we should act responsibly not only for our health but also for the well being of people around us,"['taking', 'a', 'break', 'from', 'traveling', 'seems', 'like', 'a', 'wise', 'decision', 'with', 'coronavirus', 'spreading', 'so', 'fast', 'around', 'the', 'world', 'we', 'should', 'act', 'responsibly', 'not', 'only', 'for', 'our', 'health', 'but', 'also', 'for', 'the', 'well', 'being', 'of', 'people', 'around', 'us']","['taking', 'break', 'traveling', 'seems', 'like', 'wise', 'decision', 'coronavirus', 'spreading', 'fast', 'around', 'world', 'act', 'responsibly', 'health', 'also', 'well', 'people', 'around', 'us']","['take', 'break', 'travel', 'seem', 'like', 'wise', 'decis', 'coronaviru', 'spread', 'fast', 'around', 'world', 'act', 'respons', 'health', 'also', 'well', 'peopl', 'around', 'us']","['taking', 'break', 'traveling', 'seems', 'like', 'wise', 'decision', 'coronavirus', 'spreading', 'fast', 'around', 'world', 'act', 'responsibly', 'health', 'also', 'well', 'people', 'around', 'us']",5,Austria
2022-06-04 22:15:18+00:00,1533210816404758530,Free exchange of goods and free travel between socialist nations. Highly encourage students and worker exchange and the learning of each others languages https://t.co/Ij50hIiAyF,MLinOesterreich,,0,0,0,0,"Dare to struggle. Dare to win
Marxism-Leninism-Maoism",363,,free exchange of goods and free travel between socialist nations highly encourage students and worker exchange and the learning of each others languages,"['free', 'exchange', 'of', 'goods', 'and', 'free', 'travel', 'between', 'socialist', 'nations', 'highly', 'encourage', 'students', 'and', 'worker', 'exchange', 'and', 'the', 'learning', 'of', 'each', 'others', 'languages']","['free', 'exchange', 'goods', 'free', 'travel', 'socialist', 'nations', 'highly', 'encourage', 'students', 'worker', 'exchange', 'learning', 'others', 'languages']","['free', 'exchang', 'good', 'free', 'travel', 'socialist', 'nation', 'highli', 'encourag', 'student', 'worker', 'exchang', 'learn', 'other', 'languag']","['free', 'exchange', 'goods', 'free', 'travel', 'socialist', 'nations', 'highly', 'encourage', 'students', 'worker', 'exchange', 'learning', 'others', 'languages']",5,Austria
2022-05-18 12:14:41+00:00,1526899071373529088,"And then super mega bonus, in the river just above Stadtpark, another swan with 6 cygnets! 🦢🦢🦢 https://t.co/gP0fQIAnqE",RomaPete,NYC,12,1,1,0,"Met Opera, NY Phil, NY Yankees, AS Roma. Stark ruft das Lied; kräftig reizt der Zauber. Born on 9 Thermidor.",1080,,and then super mega bonus in the river just above stadtpark another swan with 6 cygnets,"['and', 'then', 'super', 'mega', 'bonus', 'in', 'the', 'river', 'just', 'above', 'stadtpark', 'another', 'swan', 'with', '6', 'cygnets']","['super', 'mega', 'bonus', 'river', 'stadtpark', 'another', 'swan', '6', 'cygnets']","['super', 'mega', 'bonu', 'river', 'stadtpark', 'anoth', 'swan', '6', 'cygnet']","['super', 'mega', 'bonus', 'river', 'stadtpark', 'another', 'swan', '6', 'cygnets']",5,Austria
2021-05-21 16:27:23+00:00,1395778258625499145,Okay we HAVE to talk about #Trese! Indeed it‘s making me so happy to see Filipino mythology in a popular streaming platform. Bonus pa na si Liza Soberano ang bibida sa serye!,kevinmanalo_,"Wageningen, Nederland",521,2,86,1,"""In another lifetime? Yes. I will remember you."" IG: @heykevman",32092,['Trese'],okay we have to talk about trese indeed its making me so happy to see filipino mythology in a popular streaming platform bonus pa na si liza soberano ang bibida sa serye,"['okay', 'we', 'have', 'to', 'talk', 'about', 'trese', 'indeed', 'its', 'making', 'me', 'so', 'happy', 'to', 'see', 'filipino', 'mythology', 'in', 'a', 'popular', 'streaming', 'platform', 'bonus', 'pa', 'na', 'si', 'liza', 'soberano', 'ang', 'bibida', 'sa', 'serye']","['okay', 'talk', 'trese', 'indeed', 'making', 'happy', 'see', 'filipino', 'mythology', 'popular', 'streaming', 'platform', 'bonus', 'pa', 'na', 'si', 'liza', 'soberano', 'ang', 'bibida', 'sa', 'serye']","['okay', 'talk', 'trese', 'inde', 'make', 'happi', 'see', 'filipino', 'mytholog', 'popular', 'stream', 'platform', 'bonu', 'pa', 'na', 'si', 'liza', 'soberano', 'ang', 'bibida', 'sa', 'sery']","['okay', 'talk', 'trese', 'indeed', 'making', 'happy', 'see', 'filipino', 'mythology', 'popular', 'streaming', 'platform', 'bonus', 'pa', 'na', 'si', 'liza', 'soberano', 'ang', 'bibida', 'sa', 'serye']",3,Austria
2021-10-09 14:18:12+00:00,1446842435477426183,#snow on our #Dachstein #schladming #view #nature #health #freshair #familyholidays #AlpineClub ⁦@diamondresorts⁩ https://t.co/CUyHw1357v,IulianaGal1,"Schladming, Austria",16,0,2,0,#Hospitality #Austria #austrianalpes #mountains #Dachstein #Sustainability /views my own/🇦🇹,527,"['snow', 'Dachstein', 'schladming', 'view', 'nature', 'health', 'freshair', 'familyholidays', 'AlpineClub']",snow on our dachstein schladming view nature health freshair familyholidays alpineclub,"['snow', 'on', 'our', 'dachstein', 'schladming', 'view', 'nature', 'health', 'freshair', 'familyholidays', 'alpineclub']","['snow', 'dachstein', 'schladming', 'view', 'nature', 'health', 'freshair', 'familyholidays', 'alpineclub']","['snow', 'dachstein', 'schladm', 'view', 'natur', 'health', 'freshair', 'familyholiday', 'alpineclub']","['snow', 'dachstein', 'schladming', 'view', 'nature', 'health', 'freshair', 'familyholidays', 'alpineclub']",5,Austria
