Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 14:12:43+00:00,1532002204319731714,"@SabirMehmood26 @MaryamNSharif I am happy to see appreciation tweet,this tweet broken many senior and die hard workers heart as their names not mentioned i know many old workers doing work at ground, conveyed party message door to door in hot summer &amp; cold winter days but they are new at Twitter 😭",RajaYasirAslam7,Islamabad,1,1,0,0,"Old & Gold of PMLN,Voice of Poors, Labours, & Youth
My Leader Respected ma'am @MaryamNSharif sahiba",1766,,i am happy to see appreciation tweetthis tweet broken many senior and die hard workers heart as their names not mentioned i know many old workers doing work at ground conveyed party message door to door in hot summer amp cold winter days but they are new at twitter,"['i', 'am', 'happy', 'to', 'see', 'appreciation', 'tweetthis', 'tweet', 'broken', 'many', 'senior', 'and', 'die', 'hard', 'workers', 'heart', 'as', 'their', 'names', 'not', 'mentioned', 'i', 'know', 'many', 'old', 'workers', 'doing', 'work', 'at', 'ground', 'conveyed', 'party', 'message', 'door', 'to', 'door', 'in', 'hot', 'summer', 'amp', 'cold', 'winter', 'days', 'but', 'they', 'are', 'new', 'at', 'twitter']","['happy', 'see', 'appreciation', 'tweetthis', 'tweet', 'broken', 'many', 'senior', 'die', 'hard', 'workers', 'heart', 'names', 'mentioned', 'know', 'many', 'old', 'workers', 'work', 'ground', 'conveyed', 'party', 'message', 'door', 'door', 'hot', 'summer', 'amp', 'cold', 'winter', 'days', 'new', 'twitter']","['happi', 'see', 'appreci', 'tweetthi', 'tweet', 'broken', 'mani', 'senior', 'die', 'hard', 'worker', 'heart', 'name', 'mention', 'know', 'mani', 'old', 'worker', 'work', 'ground', 'convey', 'parti', 'messag', 'door', 'door', 'hot', 'summer', 'amp', 'cold', 'winter', 'day', 'new', 'twitter']","['happy', 'see', 'appreciation', 'tweetthis', 'tweet', 'broken', 'many', 'senior', 'die', 'hard', 'workers', 'heart', 'names', 'mentioned', 'know', 'many', 'old', 'workers', 'work', 'ground', 'conveyed', 'party', 'message', 'door', 'door', 'hot', 'summer', 'amp', 'cold', 'winter', 'days', 'new', 'twitter']",3,Bangladesh
2021-07-01 13:45:41+00:00,1410595466136330241,"National Doctor's day. 
A tribute to all my fellow doctors and other medical staffs who are risking their own lives in the frontline to save life of million of others.
.
#DoctorsDay #DoctorsDay2021 #Doctor #doctorslife #HappyDoctorsDay https://t.co/FW0XBPrqLv",pati_suvam,"Kolkata, India",7,0,0,1,Doctor(NRSMC&H). Football fan(FCB). Love mountains. Anime lover. Amateur photographer.,40,"['DoctorsDay', 'DoctorsDay2021', 'Doctor', 'doctorslife', 'HappyDoctorsDay']",national doctors day a tribute to all my fellow doctors and other medical staffs who are risking their own lives in the frontline to save life of million of others doctorsday doctorsday2021 doctor doctorslife happydoctorsday,"['national', 'doctors', 'day', 'a', 'tribute', 'to', 'all', 'my', 'fellow', 'doctors', 'and', 'other', 'medical', 'staffs', 'who', 'are', 'risking', 'their', 'own', 'lives', 'in', 'the', 'frontline', 'to', 'save', 'life', 'of', 'million', 'of', 'others', 'doctorsday', 'doctorsday2021', 'doctor', 'doctorslife', 'happydoctorsday']","['national', 'doctors', 'day', 'tribute', 'fellow', 'doctors', 'medical', 'staffs', 'risking', 'lives', 'frontline', 'save', 'life', 'million', 'others', 'doctorsday', 'doctorsday2021', 'doctor', 'doctorslife', 'happydoctorsday']","['nation', 'doctor', 'day', 'tribut', 'fellow', 'doctor', 'medic', 'staff', 'risk', 'live', 'frontlin', 'save', 'life', 'million', 'other', 'doctorsday', 'doctorsday2021', 'doctor', 'doctorslif', 'happydoctorsday']","['national', 'doctors', 'day', 'tribute', 'fellow', 'doctors', 'medical', 'staffs', 'risking', 'lives', 'frontline', 'save', 'life', 'million', 'others', 'doctorsday', 'doctorsday2021', 'doctor', 'doctorslife', 'happydoctorsday']",5,Bangladesh
2020-07-04 08:17:00+00:00,1279328344501153792,"We are what our thoughts have made us, So take care about what you think. Words are secondary. Thoughts live; they travel far.
My tribute to the great youth leader #SwamiVivekananda ji on his Punyatithi. https://t.co/F7m6WGS3kj",srishirajIND,"Patna, India",2,0,1,0,"Nationalist, BJP Worker, Hardcore Supporter of Shri @narendramodi ji

Followed by @PiyushGoyalOffc @DrHVoffice @iSinghApurva @ankitasood13",3115,['SwamiVivekananda'],we are what our thoughts have made us so take care about what you think words are secondary thoughts live they travel far my tribute to the great youth leader swamivivekananda ji on his punyatithi,"['we', 'are', 'what', 'our', 'thoughts', 'have', 'made', 'us', 'so', 'take', 'care', 'about', 'what', 'you', 'think', 'words', 'are', 'secondary', 'thoughts', 'live', 'they', 'travel', 'far', 'my', 'tribute', 'to', 'the', 'great', 'youth', 'leader', 'swamivivekananda', 'ji', 'on', 'his', 'punyatithi']","['thoughts', 'made', 'us', 'take', 'care', 'think', 'words', 'secondary', 'thoughts', 'live', 'travel', 'far', 'tribute', 'great', 'youth', 'leader', 'swamivivekananda', 'ji', 'punyatithi']","['thought', 'made', 'us', 'take', 'care', 'think', 'word', 'secondari', 'thought', 'live', 'travel', 'far', 'tribut', 'great', 'youth', 'leader', 'swamivivekananda', 'ji', 'punyatithi']","['thoughts', 'made', 'us', 'take', 'care', 'think', 'words', 'secondary', 'thoughts', 'live', 'travel', 'far', 'tribute', 'great', 'youth', 'leader', 'swamivivekananda', 'ji', 'punyatithi']",5,Bangladesh
2020-07-01 04:18:00+00:00,1278181032244600833,"Salute to all the doctors. They risk their lives to save us. Everyday is doctor's day, just a tribute on this special day!  #ThankYou #doctorsday2020 #doctorsday #NationalDoctorsDay2020 https://t.co/kTMjD5Wsuu",sharmilamaiti,Kolkata,5,0,0,0,"Celebrity anchor, film journalist, writer, documentary filmmaker, entrepreneur, CEO of #SharmilaShowhouse for business collaboration: sharmilabrands@gmail.com",2696,"['ThankYou', 'doctorsday2020', 'doctorsday', 'NationalDoctorsDay2020']",salute to all the doctors they risk their lives to save us everyday is doctors day just a tribute on this special day thankyou doctorsday2020 doctorsday nationaldoctorsday2020,"['salute', 'to', 'all', 'the', 'doctors', 'they', 'risk', 'their', 'lives', 'to', 'save', 'us', 'everyday', 'is', 'doctors', 'day', 'just', 'a', 'tribute', 'on', 'this', 'special', 'day', 'thankyou', 'doctorsday2020', 'doctorsday', 'nationaldoctorsday2020']","['salute', 'doctors', 'risk', 'lives', 'save', 'us', 'everyday', 'doctors', 'day', 'tribute', 'special', 'day', 'thankyou', 'doctorsday2020', 'doctorsday', 'nationaldoctorsday2020']","['salut', 'doctor', 'risk', 'live', 'save', 'us', 'everyday', 'doctor', 'day', 'tribut', 'special', 'day', 'thankyou', 'doctorsday2020', 'doctorsday', 'nationaldoctorsday2020']","['salute', 'doctors', 'risk', 'lives', 'save', 'us', 'everyday', 'doctors', 'day', 'tribute', 'special', 'day', 'thankyou', 'doctorsday2020', 'doctorsday', 'nationaldoctorsday2020']",5,Bangladesh
2020-06-17 02:32:24+00:00,1273081029801111552,"Todays India
#Bollywood actor commit suicide.. Crores of message, status,tribute updated on social media. 
But 20 soldiers Became ""SHAHEED"" on the border.Who cares?Its like #Modi hai dekh lega. Its not our personal issue.SUICIDE &amp; SHAHEED main fark hai🙏
#chinaindiaborder",shri_JK_kar,"Orissa, India",2,0,0,0,"President :
SRESTHA VOLUNTEER ORGANIZATION-
service to mankind🙏
Working for Clean & Green society 🌱
Support to Oldage people 👴👵
I am the Change 🙋‍♂️",28,"['Bollywood', 'Modi', 'chinaindiaborder']",todays india bollywood actor commit suicide crores of message statustribute updated on social media but 20 soldiers became shaheed on the borderwho caresits like modi hai dekh lega its not our personal issuesuicide amp shaheed main fark hai chinaindiaborder,"['todays', 'india', 'bollywood', 'actor', 'commit', 'suicide', 'crores', 'of', 'message', 'statustribute', 'updated', 'on', 'social', 'media', 'but', '20', 'soldiers', 'became', 'shaheed', 'on', 'the', 'borderwho', 'caresits', 'like', 'modi', 'hai', 'dekh', 'lega', 'its', 'not', 'our', 'personal', 'issuesuicide', 'amp', 'shaheed', 'main', 'fark', 'hai', 'chinaindiaborder']","['todays', 'india', 'bollywood', 'actor', 'commit', 'suicide', 'crores', 'message', 'statustribute', 'updated', 'social', 'media', '20', 'soldiers', 'became', 'shaheed', 'borderwho', 'caresits', 'like', 'modi', 'hai', 'dekh', 'lega', 'personal', 'issuesuicide', 'amp', 'shaheed', 'main', 'fark', 'hai', 'chinaindiaborder']","['today', 'india', 'bollywood', 'actor', 'commit', 'suicid', 'crore', 'messag', 'statustribut', 'updat', 'social', 'media', '20', 'soldier', 'becam', 'shahe', 'borderwho', 'caresit', 'like', 'modi', 'hai', 'dekh', 'lega', 'person', 'issuesuicid', 'amp', 'shahe', 'main', 'fark', 'hai', 'chinaindiabord']","['todays', 'india', 'bollywood', 'actor', 'commit', 'suicide', 'crores', 'message', 'statustribute', 'updated', 'social', 'media', '20', 'soldiers', 'became', 'shaheed', 'borderwho', 'caresits', 'like', 'modi', 'hai', 'dekh', 'lega', 'personal', 'issuesuicide', 'amp', 'shaheed', 'main', 'fark', 'hai', 'chinaindiaborder']",1,Bangladesh
2020-04-26 07:42:25+00:00,1254314878950662150,"As a tribute to the 40years of relentless service &amp; sacrifice of @BJP4India Karyakartas since 1980,I tried to take forward the message of PM Sri @narendramodi ji by requesting 40people to contribute in #PMCares fund &amp; thank Smt @poonam_mahajan and @barman_anup Ji for this scope. https://t.co/37Xwyn4vBp",KaranChetry088,"Guwahati, India Goreswar",18,0,6,0,"Dist Gen Secy BJP Tamulpur, Former State Incharge, Swacch Bharat, BJYM Assam Pradesh
Former President & G/S, BJYM Baksa District",314,['PMCares'],as a tribute to the 40years of relentless service amp sacrifice of karyakartas since 1980i tried to take forward the message of pm sri ji by requesting 40people to contribute in pmcares fund amp thank smt and ji for this scope,"['as', 'a', 'tribute', 'to', 'the', '40years', 'of', 'relentless', 'service', 'amp', 'sacrifice', 'of', 'karyakartas', 'since', '1980i', 'tried', 'to', 'take', 'forward', 'the', 'message', 'of', 'pm', 'sri', 'ji', 'by', 'requesting', '40people', 'to', 'contribute', 'in', 'pmcares', 'fund', 'amp', 'thank', 'smt', 'and', 'ji', 'for', 'this', 'scope']","['tribute', '40years', 'relentless', 'service', 'amp', 'sacrifice', 'karyakartas', 'since', '1980i', 'tried', 'take', 'forward', 'message', 'pm', 'sri', 'ji', 'requesting', '40people', 'contribute', 'pmcares', 'fund', 'amp', 'thank', 'smt', 'ji', 'scope']","['tribut', '40year', 'relentless', 'servic', 'amp', 'sacrific', 'karyakarta', 'sinc', '1980i', 'tri', 'take', 'forward', 'messag', 'pm', 'sri', 'ji', 'request', '40peopl', 'contribut', 'pmcare', 'fund', 'amp', 'thank', 'smt', 'ji', 'scope']","['tribute', '40years', 'relentless', 'service', 'amp', 'sacrifice', 'karyakartas', 'since', '1980i', 'tried', 'take', 'forward', 'message', 'pm', 'sri', 'ji', 'requesting', '40people', 'contribute', 'pmcares', 'fund', 'amp', 'thank', 'smt', 'ji', 'scope']",5,Bangladesh
2022-06-04 17:06:56+00:00,1533133212016594944,Me accepting Gpay and Paytm vouchers https://t.co/VoaNSU7E5Y,KajolGhosh10,Haflong,0,0,0,0,,2,,me accepting gpay and paytm vouchers,"['me', 'accepting', 'gpay', 'and', 'paytm', 'vouchers']","['accepting', 'gpay', 'paytm', 'vouchers']","['accept', 'gpay', 'paytm', 'voucher']","['accepting', 'gpay', 'paytm', 'vouchers']",5,Bangladesh
2022-06-04 10:48:40+00:00,1533038016138076160,"Police and banks ,if anyone will fraud they will not transfer money to their account.

They will buy gift voucher from Amazon and there 100 different ways  Like  crypto.
blocking people bank account is not the solution, you are creating more victim

@Jupiter_Cares @IDFCFIRSTBank",bitcoinMyName,All my work ⏭️⏭️,0,1,1,0,"Everyone will buy bitcoin at the price they deserve.
firm believer in nifty50..
Left 9-5 job at age 27.
Axie Manager.
Website developer.",751,,police and banks if anyone will fraud they will not transfer money to their account they will buy gift voucher from amazon and there 100 different ways like crypto blocking people bank account is not the solution you are creating more victim,"['police', 'and', 'banks', 'if', 'anyone', 'will', 'fraud', 'they', 'will', 'not', 'transfer', 'money', 'to', 'their', 'account', 'they', 'will', 'buy', 'gift', 'voucher', 'from', 'amazon', 'and', 'there', '100', 'different', 'ways', 'like', 'crypto', 'blocking', 'people', 'bank', 'account', 'is', 'not', 'the', 'solution', 'you', 'are', 'creating', 'more', 'victim']","['police', 'banks', 'anyone', 'fraud', 'transfer', 'money', 'account', 'buy', 'gift', 'voucher', 'amazon', '100', 'different', 'ways', 'like', 'crypto', 'blocking', 'people', 'bank', 'account', 'solution', 'creating', 'victim']","['polic', 'bank', 'anyon', 'fraud', 'transfer', 'money', 'account', 'buy', 'gift', 'voucher', 'amazon', '100', 'differ', 'way', 'like', 'crypto', 'block', 'peopl', 'bank', 'account', 'solut', 'creat', 'victim']","['police', 'banks', 'anyone', 'fraud', 'transfer', 'money', 'account', 'buy', 'gift', 'voucher', 'amazon', '100', 'different', 'ways', 'like', 'crypto', 'blocking', 'people', 'bank', 'account', 'solution', 'creating', 'victim']",1,Bangladesh
2022-06-03 03:38:30+00:00,1532567373655314432,@JioCare But on same day I had recharge new plan of RS 209 so this 4G data voucher  should attach with my new plan what this not happend ?,i_m_gaurav_kr,"Jharkhand, India",0,1,0,0,A @PASSIONATE WEB DEVLOPER | WEB DESIGNER,19,,but on same day i had recharge new plan of rs 209 so this 4g data voucher should attach with my new plan what this not happend,"['but', 'on', 'same', 'day', 'i', 'had', 'recharge', 'new', 'plan', 'of', 'rs', '209', 'so', 'this', '4g', 'data', 'voucher', 'should', 'attach', 'with', 'my', 'new', 'plan', 'what', 'this', 'not', 'happend']","['day', 'recharge', 'new', 'plan', 'rs', '209', '4g', 'data', 'voucher', 'attach', 'new', 'plan', 'happend']","['day', 'recharg', 'new', 'plan', 'rs', '209', '4g', 'data', 'voucher', 'attach', 'new', 'plan', 'happend']","['day', 'recharge', 'new', 'plan', 'rs', '209', '4g', 'data', 'voucher', 'attach', 'new', 'plan', 'happend']",1,Bangladesh
2022-06-03 02:33:16+00:00,1532550959519322113,@JioCare I had recharge of RS 209 just before a minute of this data voucher recharge so logically my plan validity is upto one month,i_m_gaurav_kr,"Jharkhand, India",0,1,0,0,A @PASSIONATE WEB DEVLOPER | WEB DESIGNER,19,,i had recharge of rs 209 just before a minute of this data voucher recharge so logically my plan validity is upto one month,"['i', 'had', 'recharge', 'of', 'rs', '209', 'just', 'before', 'a', 'minute', 'of', 'this', 'data', 'voucher', 'recharge', 'so', 'logically', 'my', 'plan', 'validity', 'is', 'upto', 'one', 'month']","['recharge', 'rs', '209', 'minute', 'data', 'voucher', 'recharge', 'logically', 'plan', 'validity', 'upto', 'one', 'month']","['recharg', 'rs', '209', 'minut', 'data', 'voucher', 'recharg', 'logic', 'plan', 'valid', 'upto', 'one', 'month']","['recharge', 'rs', '209', 'minute', 'data', 'voucher', 'recharge', 'logically', 'plan', 'validity', 'upto', 'one', 'month']",1,Bangladesh
