Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-10-25 07:53:55+00:00,1320272362454044672,"Panama extends food &amp; medicine voucher to citizens affected by COVID thru June 2021

Follow @JediinPanama https://t.co/0KNxGotazW",JediRich_com,"Las Vegas, NV",0,0,0,0,"Cannabis, art, music, nutrition, weight loss, photography and video production. YouTube: youtube.com/c/JediRichCrea…",1048,,panama extends food amp medicine voucher to citizens affected by covid thru june 2021 follow,"['panama', 'extends', 'food', 'amp', 'medicine', 'voucher', 'to', 'citizens', 'affected', 'by', 'covid', 'thru', 'june', '2021', 'follow']","['panama', 'extends', 'food', 'amp', 'medicine', 'voucher', 'citizens', 'affected', 'covid', 'thru', 'june', '2021', 'follow']","['panama', 'extend', 'food', 'amp', 'medicin', 'voucher', 'citizen', 'affect', 'covid', 'thru', 'june', '2021', 'follow']","['panama', 'extends', 'food', 'amp', 'medicine', 'voucher', 'citizens', 'affected', 'covid', 'thru', 'june', '2021', 'follow']",1,Costa Rica
2020-03-20 15:33:50+00:00,1241025163434643457,"Some areas in #CoataRica cease all alcohol sales today to keep people from congregating in groups. Well here is my pandemic photo: 12 rolls of toilet paper and 12 cases of beer. Cheers, stay healthy and isolated #COVID #SocialDistanacing https://t.co/SgiCOtV7Kh",fatlabllc,"Costa Rica / Alexandria, VA",0,0,0,0,"Web support, maintenance and managed hosting. S*** that sounds boring! Well until we open a brewery it's all I got. Web developer: PHP/MySQL (mostly WordPress)",1667,"['CoataRica', 'COVID', 'SocialDistanacing']",some areas in coatarica cease all alcohol sales today to keep people from congregating in groups well here is my pandemic photo 12 rolls of toilet paper and 12 cases of beer cheers stay healthy and isolated covid socialdistanacing,"['some', 'areas', 'in', 'coatarica', 'cease', 'all', 'alcohol', 'sales', 'today', 'to', 'keep', 'people', 'from', 'congregating', 'in', 'groups', 'well', 'here', 'is', 'my', 'pandemic', 'photo', '12', 'rolls', 'of', 'toilet', 'paper', 'and', '12', 'cases', 'of', 'beer', 'cheers', 'stay', 'healthy', 'and', 'isolated', 'covid', 'socialdistanacing']","['areas', 'coatarica', 'cease', 'alcohol', 'sales', 'today', 'keep', 'people', 'congregating', 'groups', 'well', 'pandemic', 'photo', '12', 'rolls', 'toilet', 'paper', '12', 'cases', 'beer', 'cheers', 'stay', 'healthy', 'isolated', 'covid', 'socialdistanacing']","['area', 'coatarica', 'ceas', 'alcohol', 'sale', 'today', 'keep', 'peopl', 'congreg', 'group', 'well', 'pandem', 'photo', '12', 'roll', 'toilet', 'paper', '12', 'case', 'beer', 'cheer', 'stay', 'healthi', 'isol', 'covid', 'socialdistanac']","['areas', 'coatarica', 'cease', 'alcohol', 'sales', 'today', 'keep', 'people', 'congregating', 'groups', 'well', 'pandemic', 'photo', '12', 'rolls', 'toilet', 'paper', '12', 'cases', 'beer', 'cheers', 'stay', 'healthy', 'isolated', 'covid', 'socialdistanacing']",1,Costa Rica
2022-02-07 18:52:37+00:00,1490760425507545092,Netherlands: quarantine rules tightened for travellers from 12 countries https://t.co/sF0UIoElHP Entre ellos el nuestro @xsaezll @drpichel @Dr_PaulinoVigil @DoctorPanama #covid19,CESanjur3,"Panama, Republic of Panama",3,1,5,0,"Abogado panameño, de la provincia de Chiriquí. Egresado de la UP y la UvT / Panamanian lawyer and legal consultant, from Chiriquí province. UP and UvT alumnus.",1115,['covid19'],netherlands quarantine rules tightened for travellers from 12 countries entre ellos el nuestro covid19,"['netherlands', 'quarantine', 'rules', 'tightened', 'for', 'travellers', 'from', '12', 'countries', 'entre', 'ellos', 'el', 'nuestro', 'covid19']","['netherlands', 'quarantine', 'rules', 'tightened', 'travellers', '12', 'countries', 'entre', 'ellos', 'el', 'nuestro', 'covid19']","['netherland', 'quarantin', 'rule', 'tighten', 'travel', '12', 'countri', 'entr', 'ello', 'el', 'nuestro', 'covid19']","['netherlands', 'quarantine', 'rules', 'tightened', 'travellers', '12', 'countries', 'entre', 'ellos', 'el', 'nuestro', 'covid19']",1,Costa Rica
2020-03-20 14:03:24+00:00,1241002405266960384,"We care about our staff and customers̕  health, therefore, all our centers will remain closed until further notice.⁣
⁣
Se les informa que las clases en todas nuestras sucursales, seguirán suspendidas hasta nuevo aviso.⁣

#coronavirus #Panama #COVID19 #AEOCPTY #pty #coronavirus https://t.co/eftrGA5jws",AEOCPTY507,Panamá,0,0,1,0,"¡Conéctate y vive la Experiencia!
Contáctanos: 
📞6949-0636 
📞6677-5023",1033,"['coronavirus', 'Panama', 'COVID19', 'AEOCPTY', 'pty', 'coronavirus']",we care about our staff and customers health therefore all our centers will remain closed until further notice se les informa que las clases en todas nuestras sucursales seguirn suspendidas hasta nuevo aviso coronavirus panama covid19 aeocpty pty coronavirus,"['we', 'care', 'about', 'our', 'staff', 'and', 'customers', 'health', 'therefore', 'all', 'our', 'centers', 'will', 'remain', 'closed', 'until', 'further', 'notice', 'se', 'les', 'informa', 'que', 'las', 'clases', 'en', 'todas', 'nuestras', 'sucursales', 'seguirn', 'suspendidas', 'hasta', 'nuevo', 'aviso', 'coronavirus', 'panama', 'covid19', 'aeocpty', 'pty', 'coronavirus']","['care', 'staff', 'customers', 'health', 'therefore', 'centers', 'remain', 'closed', 'notice', 'se', 'les', 'informa', 'que', 'las', 'clases', 'en', 'todas', 'nuestras', 'sucursales', 'seguirn', 'suspendidas', 'hasta', 'nuevo', 'aviso', 'coronavirus', 'panama', 'covid19', 'aeocpty', 'pty', 'coronavirus']","['care', 'staff', 'custom', 'health', 'therefor', 'center', 'remain', 'close', 'notic', 'se', 'le', 'informa', 'que', 'la', 'clase', 'en', 'toda', 'nuestra', 'sucursal', 'seguirn', 'suspendida', 'hasta', 'nuevo', 'aviso', 'coronaviru', 'panama', 'covid19', 'aeocpti', 'pti', 'coronaviru']","['care', 'staff', 'customers', 'health', 'therefore', 'centers', 'remain', 'closed', 'notice', 'se', 'les', 'informa', 'que', 'las', 'clases', 'en', 'todas', 'nuestras', 'sucursales', 'seguirn', 'suspendidas', 'hasta', 'nuevo', 'aviso', 'coronavirus', 'panama', 'covid19', 'aeocpty', 'pty', 'coronavirus']",1,Costa Rica
2020-03-19 16:45:48+00:00,1240680883436257280,"“Doctors need our help!” 
A super important message for everyone out there…
Kudos to @Trevornoah for doing this! #Covid19 #EmergencyMedicine https://t.co/2eXqYen8ND",umanamd,"San Jose, Costa Rica",19,0,13,1,EM Physician/Emergenciólogo Recovering PD - ACEP #SoMe Team - English Tweets en español #FOAMed #LifeLongLearner #MedEd #AIME #Medutopia #EMRAPGO #HSJD #eSIM,10557,"['Covid19', 'EmergencyMedicine']",doctors need our help a super important message for everyone out there kudos to for doing this covid19 emergencymedicine,"['doctors', 'need', 'our', 'help', 'a', 'super', 'important', 'message', 'for', 'everyone', 'out', 'there', 'kudos', 'to', 'for', 'doing', 'this', 'covid19', 'emergencymedicine']","['doctors', 'need', 'help', 'super', 'important', 'message', 'everyone', 'kudos', 'covid19', 'emergencymedicine']","['doctor', 'need', 'help', 'super', 'import', 'messag', 'everyon', 'kudo', 'covid19', 'emergencymedicin']","['doctors', 'need', 'help', 'super', 'important', 'message', 'everyone', 'kudos', 'covid19', 'emergencymedicine']",5,Costa Rica
2020-03-14 15:02:00+00:00,1238842822977036288,"If you’re all of a sudden teaching an #OperationsManagement class #online b/c of #covid19, let us help you make online learning the best it can be.

We are offering greatly discounted prices to our mobile simulations and all the 1:1 support you may need. 

https://t.co/3cc6Kyqnxe https://t.co/LCl61gP8gQ",ProcessimLabs,Costa Rica,4,0,1,1,Transforming smartphones into pocket simulators that college professors can use as powerful and convenient teaching games!  #EdTech #OnlineLearning #OpsSimCom,304,"['OperationsManagement', 'online', 'covid19']",if youre all of a sudden teaching an operationsmanagement class online bc of covid19 let us help you make online learning the best it can be we are offering greatly discounted prices to our mobile simulations and all the 11 support you may need,"['if', 'youre', 'all', 'of', 'a', 'sudden', 'teaching', 'an', 'operationsmanagement', 'class', 'online', 'bc', 'of', 'covid19', 'let', 'us', 'help', 'you', 'make', 'online', 'learning', 'the', 'best', 'it', 'can', 'be', 'we', 'are', 'offering', 'greatly', 'discounted', 'prices', 'to', 'our', 'mobile', 'simulations', 'and', 'all', 'the', '11', 'support', 'you', 'may', 'need']","['youre', 'sudden', 'teaching', 'operationsmanagement', 'class', 'online', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'online', 'learning', 'best', 'offering', 'greatly', 'discounted', 'prices', 'mobile', 'simulations', '11', 'support', 'may', 'need']","['your', 'sudden', 'teach', 'operationsmanag', 'class', 'onlin', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'onlin', 'learn', 'best', 'offer', 'greatli', 'discount', 'price', 'mobil', 'simul', '11', 'support', 'may', 'need']","['youre', 'sudden', 'teaching', 'operationsmanagement', 'class', 'online', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'online', 'learning', 'best', 'offering', 'greatly', 'discounted', 'prices', 'mobile', 'simulations', '11', 'support', 'may', 'need']",5,Costa Rica
2020-05-01 01:53:31+00:00,1256039013405908992,"Dear travellers 🧳, yes we are open and we are happy to receive you while you are waiting for tour ✈️ #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel… https://t.co/kFdSklgx1h",casa_areka_pty,Panamá Paitilla,0,0,0,0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23,"['supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",dear travellers yes we are open and we are happy to receive you while you are waiting for tour supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel,"['dear', 'travellers', 'yes', 'we', 'are', 'open', 'and', 'we', 'are', 'happy', 'to', 'receive', 'you', 'while', 'you', 'are', 'waiting', 'for', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travel', 'ye', 'open', 'happi', 'receiv', 'wait', 'tour', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",5,Costa Rica
2020-04-16 00:23:09+00:00,1250580454656401408,"Dear travellers 🧳, yes we are open and we are happy to receive you while you are waiting for tour ✈️ #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel… https://t.co/DahYEFSiZu",casa_areka_pty,Panamá Paitilla,0,0,0,0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23,"['supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",dear travellers yes we are open and we are happy to receive you while you are waiting for tour supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel,"['dear', 'travellers', 'yes', 'we', 'are', 'open', 'and', 'we', 'are', 'happy', 'to', 'receive', 'you', 'while', 'you', 'are', 'waiting', 'for', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travel', 'ye', 'open', 'happi', 'receiv', 'wait', 'tour', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'tour', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel']",5,Costa Rica
2020-04-12 14:45:32+00:00,1249347928390545412,"Little Osasis in the City 🦋🌴💦 

yes we are open 
#oasis #swimmingpool #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel #traveler #stuck… https://t.co/5T69iBRuA3",casa_areka_pty,Panamá Paitilla,0,0,0,0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23,"['oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']",little osasis in the city yes we are open oasis swimmingpool supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel traveler stuck,"['little', 'osasis', 'in', 'the', 'city', 'yes', 'we', 'are', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']","['little', 'osasis', 'city', 'yes', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']","['littl', 'osasi', 'citi', 'ye', 'open', 'oasi', 'swimmingpool', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'travel', 'stuck']","['little', 'osasis', 'city', 'yes', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']",5,Costa Rica
2020-04-09 03:59:26+00:00,1248098168622985216,"Dear travellers 🧳, yes we are open and we are happy to receive you while you are waiting #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel #traveler… https://t.co/tKkNDEZtTt",casa_areka_pty,Panamá Paitilla,0,0,0,0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23,"['supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler']",dear travellers yes we are open and we are happy to receive you while you are waiting supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel traveler,"['dear', 'travellers', 'yes', 'we', 'are', 'open', 'and', 'we', 'are', 'happy', 'to', 'receive', 'you', 'while', 'you', 'are', 'waiting', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler']","['dear', 'travel', 'ye', 'open', 'happi', 'receiv', 'wait', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'travel']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'waiting', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler']",5,Costa Rica
