Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-12-01 20:33:11+00:00,1333871789479440384,"Collaboration &amp; kindness. I was in my way from #Helsinki to #Tampere with @VRmatkalla. A foreigner woman with a baby, jumped wrongly to our train. I helped with my Finnish between her &amp; train worker. They stopped in Riihimäki for her, and I got a voucher. #onlyinfinland ❤️kiitos!",ethramon,"Helsinki, Finlandia",5,1,0,0,Entrepreneur / Crypto / Traveltech / Edtech @thepowermba @ethereum believer @joinverse 🇪🇸🇫🇮 #Bitcoin #CROFam,433,"['Helsinki', 'Tampere', 'onlyinfinland']",collaboration amp kindness i was in my way from helsinki to tampere with a foreigner woman with a baby jumped wrongly to our train i helped with my finnish between her amp train worker they stopped in riihimki for her and i got a voucher onlyinfinland kiitos,"['collaboration', 'amp', 'kindness', 'i', 'was', 'in', 'my', 'way', 'from', 'helsinki', 'to', 'tampere', 'with', 'a', 'foreigner', 'woman', 'with', 'a', 'baby', 'jumped', 'wrongly', 'to', 'our', 'train', 'i', 'helped', 'with', 'my', 'finnish', 'between', 'her', 'amp', 'train', 'worker', 'they', 'stopped', 'in', 'riihimki', 'for', 'her', 'and', 'i', 'got', 'a', 'voucher', 'onlyinfinland', 'kiitos']","['collaboration', 'amp', 'kindness', 'way', 'helsinki', 'tampere', 'foreigner', 'woman', 'baby', 'jumped', 'wrongly', 'train', 'helped', 'finnish', 'amp', 'train', 'worker', 'stopped', 'riihimki', 'got', 'voucher', 'onlyinfinland', 'kiitos']","['collabor', 'amp', 'kind', 'way', 'helsinki', 'tamper', 'foreign', 'woman', 'babi', 'jump', 'wrongli', 'train', 'help', 'finnish', 'amp', 'train', 'worker', 'stop', 'riihimki', 'got', 'voucher', 'onlyinfinland', 'kiito']","['collaboration', 'amp', 'kindness', 'way', 'helsinki', 'tampere', 'foreigner', 'woman', 'baby', 'jumped', 'wrongly', 'train', 'helped', 'finnish', 'amp', 'train', 'worker', 'stopped', 'riihimki', 'got', 'voucher', 'onlyinfinland', 'kiitos']",1,Finland
2020-04-22 16:20:15+00:00,1252995642508677122,"People/businesses like this getting huge (and questionable) grants at the moment, while normal tax-paying people like me can’t even get unemployment benefits from @KelaFpa and are having to rely on food vouchers from the church to feed myself and my kid. https://t.co/snfszwJNvo",SteveRPenny,"Helsinki, Finland",0,3,0,0,"Dad, music, tech, pop culture lover, podcaster (@otherzpodcast). A Brit in Finland. theotherz.net",401,,peoplebusinesses like this getting huge and questionable grants at the moment while normal taxpaying people like me cant even get unemployment benefits from and are having to rely on food vouchers from the church to feed myself and my kid,"['peoplebusinesses', 'like', 'this', 'getting', 'huge', 'and', 'questionable', 'grants', 'at', 'the', 'moment', 'while', 'normal', 'taxpaying', 'people', 'like', 'me', 'cant', 'even', 'get', 'unemployment', 'benefits', 'from', 'and', 'are', 'having', 'to', 'rely', 'on', 'food', 'vouchers', 'from', 'the', 'church', 'to', 'feed', 'myself', 'and', 'my', 'kid']","['peoplebusinesses', 'like', 'getting', 'huge', 'questionable', 'grants', 'moment', 'normal', 'taxpaying', 'people', 'like', 'cant', 'even', 'get', 'unemployment', 'benefits', 'rely', 'food', 'vouchers', 'church', 'feed', 'kid']","['peoplebusi', 'like', 'get', 'huge', 'question', 'grant', 'moment', 'normal', 'taxpay', 'peopl', 'like', 'cant', 'even', 'get', 'unemploy', 'benefit', 'reli', 'food', 'voucher', 'church', 'feed', 'kid']","['peoplebusinesses', 'like', 'getting', 'huge', 'questionable', 'grants', 'moment', 'normal', 'taxpaying', 'people', 'like', 'cant', 'even', 'get', 'unemployment', 'benefits', 'rely', 'food', 'vouchers', 'church', 'feed', 'kid']",1,Finland
2020-07-02 13:28:36+00:00,1278681982742990848,Minister @VilleSkinnari amplifies important messages including the importance of the UN role in fostering public-private partnerships in advancing delivery on #SDGs and building back better after #COVID19 in his remarks to #HIEx2020 @Ulkoministerio @UNAIDSinno @UNAIDS,TheAhmed_Khamis,"Cairo, Egypt",2,0,1,0,Health Lead @ UN Tech Innovation Lab Finland. A global health activist.,237,"['SDGs', 'COVID19', 'HIEx2020']",minister amplifies important messages including the importance of the un role in fostering publicprivate partnerships in advancing delivery on sdgs and building back better after covid19 in his remarks to hiex2020,"['minister', 'amplifies', 'important', 'messages', 'including', 'the', 'importance', 'of', 'the', 'un', 'role', 'in', 'fostering', 'publicprivate', 'partnerships', 'in', 'advancing', 'delivery', 'on', 'sdgs', 'and', 'building', 'back', 'better', 'after', 'covid19', 'in', 'his', 'remarks', 'to', 'hiex2020']","['minister', 'amplifies', 'important', 'messages', 'including', 'importance', 'un', 'role', 'fostering', 'publicprivate', 'partnerships', 'advancing', 'delivery', 'sdgs', 'building', 'back', 'better', 'covid19', 'remarks', 'hiex2020']","['minist', 'amplifi', 'import', 'messag', 'includ', 'import', 'un', 'role', 'foster', 'publicpriv', 'partnership', 'advanc', 'deliveri', 'sdg', 'build', 'back', 'better', 'covid19', 'remark', 'hiex2020']","['minister', 'amplifies', 'important', 'messages', 'including', 'importance', 'un', 'role', 'fostering', 'publicprivate', 'partnerships', 'advancing', 'delivery', 'sdgs', 'building', 'back', 'better', 'covid19', 'remarks', 'hiex2020']",5,Finland
2020-04-16 21:45:21+00:00,1250903128595222529,Spending some quality time with Isla my 3.5 yr old who lives in #helsinki with my ex. Fortunate to be able to travel to see her from Berlin during #covid19 #lockdown It snowed the last 2 days in Helsinki more than the whole winter combined. https://t.co/8CmbGPsDra,djunivers,Berlin,0,0,0,0,"Writer, actor, artist, filmmaker, creative director.",123,"['helsinki', 'covid19', 'lockdown']",spending some quality time with isla my 35 yr old who lives in helsinki with my ex fortunate to be able to travel to see her from berlin during covid19 lockdown it snowed the last 2 days in helsinki more than the whole winter combined,"['spending', 'some', 'quality', 'time', 'with', 'isla', 'my', '35', 'yr', 'old', 'who', 'lives', 'in', 'helsinki', 'with', 'my', 'ex', 'fortunate', 'to', 'be', 'able', 'to', 'travel', 'to', 'see', 'her', 'from', 'berlin', 'during', 'covid19', 'lockdown', 'it', 'snowed', 'the', 'last', '2', 'days', 'in', 'helsinki', 'more', 'than', 'the', 'whole', 'winter', 'combined']","['spending', 'quality', 'time', 'isla', '35', 'yr', 'old', 'lives', 'helsinki', 'ex', 'fortunate', 'able', 'travel', 'see', 'berlin', 'covid19', 'lockdown', 'snowed', 'last', '2', 'days', 'helsinki', 'whole', 'winter', 'combined']","['spend', 'qualiti', 'time', 'isla', '35', 'yr', 'old', 'live', 'helsinki', 'ex', 'fortun', 'abl', 'travel', 'see', 'berlin', 'covid19', 'lockdown', 'snow', 'last', '2', 'day', 'helsinki', 'whole', 'winter', 'combin']","['spending', 'quality', 'time', 'isla', '35', 'yr', 'old', 'lives', 'helsinki', 'ex', 'fortunate', 'able', 'travel', 'see', 'berlin', 'covid19', 'lockdown', 'snowed', 'last', '2', 'days', 'helsinki', 'whole', 'winter', 'combined']",3,Finland
2020-04-06 16:19:47+00:00,1247197319289806849,"I raise my #WhiteCard because today is the International Day of Sport for Development and Peace. I also raise it against #COVID19. Take care, it is time to be together. Please join and raise your #WhiteCard with me! Peace and Sport
#April6
#IDSDP2020 https://t.co/Ntrhhr5Zwp",JoukoPakarinen,Helsinki Finland,7,0,0,0,Pentathlon coach from beginners to World Champions,282,"['WhiteCard', 'COVID19', 'WhiteCard', 'April6', 'IDSDP2020']",i raise my whitecard because today is the international day of sport for development and peace i also raise it against covid19 take care it is time to be together please join and raise your whitecard with me peace and sport april6 idsdp2020,"['i', 'raise', 'my', 'whitecard', 'because', 'today', 'is', 'the', 'international', 'day', 'of', 'sport', 'for', 'development', 'and', 'peace', 'i', 'also', 'raise', 'it', 'against', 'covid19', 'take', 'care', 'it', 'is', 'time', 'to', 'be', 'together', 'please', 'join', 'and', 'raise', 'your', 'whitecard', 'with', 'me', 'peace', 'and', 'sport', 'april6', 'idsdp2020']","['raise', 'whitecard', 'today', 'international', 'day', 'sport', 'development', 'peace', 'also', 'raise', 'covid19', 'take', 'care', 'time', 'together', 'please', 'join', 'raise', 'whitecard', 'peace', 'sport', 'april6', 'idsdp2020']","['rais', 'whitecard', 'today', 'intern', 'day', 'sport', 'develop', 'peac', 'also', 'rais', 'covid19', 'take', 'care', 'time', 'togeth', 'pleas', 'join', 'rais', 'whitecard', 'peac', 'sport', 'april6', 'idsdp2020']","['raise', 'whitecard', 'today', 'international', 'day', 'sport', 'development', 'peace', 'also', 'raise', 'covid19', 'take', 'care', 'time', 'together', 'please', 'join', 'raise', 'whitecard', 'peace', 'sport', 'april6', 'idsdp2020']",5,Finland
2020-03-29 08:55:09+00:00,1244186320290938880,Salesforce Care 4 Free. #Covid19 https://t.co/35XhfyriOr,Pyhamaki,Asia-Pacific | Zoom,1,1,1,0,"Growth Business | High Tech | Adrenaline 🌍 Chasing Freedom & Exploring the World ✈️ Tweets about Real Deals, Global Events and Life Experiences.🔥",824,['Covid19'],salesforce care 4 free covid19,"['salesforce', 'care', '4', 'free', 'covid19']","['salesforce', 'care', '4', 'free', 'covid19']","['salesforc', 'care', '4', 'free', 'covid19']","['salesforce', 'care', '4', 'free', 'covid19']",5,Finland
2020-03-22 09:45:31+00:00,1241662282280644609,"Let”s not get #paralyzed!

@harari_yuval :”We need a global plan-every crisis is a chance-humanity needs to make a choise”. #now 

#future #warning #surveillance #privacy #information #health #regimes #borders #travel #economy #COVID19 #CoronaCrisis https://t.co/lKyGVFFnlw",akonpelto,"Helsinki, Suomi",0,0,0,0,•kansalainen • Finnish citizen,95,"['paralyzed', 'now', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'COVID19', 'CoronaCrisis']",lets not get paralyzed we need a global planevery crisis is a chancehumanity needs to make a choise now future warning surveillance privacy information health regimes borders travel economy covid19 coronacrisis,"['lets', 'not', 'get', 'paralyzed', 'we', 'need', 'a', 'global', 'planevery', 'crisis', 'is', 'a', 'chancehumanity', 'needs', 'to', 'make', 'a', 'choise', 'now', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'covid19', 'coronacrisis']","['lets', 'get', 'paralyzed', 'need', 'global', 'planevery', 'crisis', 'chancehumanity', 'needs', 'make', 'choise', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'covid19', 'coronacrisis']","['let', 'get', 'paralyz', 'need', 'global', 'planeveri', 'crisi', 'chancehuman', 'need', 'make', 'chois', 'futur', 'warn', 'surveil', 'privaci', 'inform', 'health', 'regim', 'border', 'travel', 'economi', 'covid19', 'coronacrisi']","['lets', 'get', 'paralyzed', 'need', 'global', 'planevery', 'crisis', 'chancehumanity', 'needs', 'make', 'choise', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'covid19', 'coronacrisis']",1,Finland
2020-03-11 15:51:58+00:00,1237768236038529024,Next week's #international week #IWBAS @TAMK_UAS is cancelled due to #Corona #COVID19 because #safety and #health first. 😷🙏🏽 #cancelled #notravelling #TravelBan So sorry. https://t.co/1504bkEPFd,UrsulaHelsky,"Pirkkala, Suomi",3,0,0,0,"Mother, MBA, AmO, lifecoach #professionalteachereducation  #lifelonglearner, #Coach #Events @TAMK_UAS #LearningLab  #Tampere #TAMKalumni  #TampereChamberMusic",1261,"['international', 'IWBAS', 'Corona', 'COVID19', 'safety', 'health', 'cancelled', 'notravelling', 'TravelBan']",next weeks international week iwbas is cancelled due to corona covid19 because safety and health first cancelled notravelling travelban so sorry,"['next', 'weeks', 'international', 'week', 'iwbas', 'is', 'cancelled', 'due', 'to', 'corona', 'covid19', 'because', 'safety', 'and', 'health', 'first', 'cancelled', 'notravelling', 'travelban', 'so', 'sorry']","['next', 'weeks', 'international', 'week', 'iwbas', 'cancelled', 'due', 'corona', 'covid19', 'safety', 'health', 'first', 'cancelled', 'notravelling', 'travelban', 'sorry']","['next', 'week', 'intern', 'week', 'iwba', 'cancel', 'due', 'corona', 'covid19', 'safeti', 'health', 'first', 'cancel', 'notravel', 'travelban', 'sorri']","['next', 'weeks', 'international', 'week', 'iwbas', 'cancelled', 'due', 'corona', 'covid19', 'safety', 'health', 'first', 'cancelled', 'notravelling', 'travelban', 'sorry']",1,Finland
2020-03-29 18:18:56+00:00,1244328200882327554,"I'm afraid, this is the closest I'm getting to #Singapore anytime soon, now that my #Easter #TravelPlans went down the drain... Hoping for a swift resolution for the novel #CoronaVirus 🦠 #pandemic 🤧😷 and wishing… https://t.co/yf871aIwny",istvan_mak,"Helsinki, Finland",0,0,0,0,"Hungarian guy arrived to Helsinki for 6 months in 2005... 

I use my account for 🏢 and 🙋🏻‍♂️ reasons. Tweets are mine and not statements of my employer 🇪🇺.",156,"['Singapore', 'Easter', 'TravelPlans', 'CoronaVirus', 'pandemic']",im afraid this is the closest im getting to singapore anytime soon now that my easter travelplans went down the drain hoping for a swift resolution for the novel coronavirus pandemic and wishing,"['im', 'afraid', 'this', 'is', 'the', 'closest', 'im', 'getting', 'to', 'singapore', 'anytime', 'soon', 'now', 'that', 'my', 'easter', 'travelplans', 'went', 'down', 'the', 'drain', 'hoping', 'for', 'a', 'swift', 'resolution', 'for', 'the', 'novel', 'coronavirus', 'pandemic', 'and', 'wishing']","['im', 'afraid', 'closest', 'im', 'getting', 'singapore', 'anytime', 'soon', 'easter', 'travelplans', 'went', 'drain', 'hoping', 'swift', 'resolution', 'novel', 'coronavirus', 'pandemic', 'wishing']","['im', 'afraid', 'closest', 'im', 'get', 'singapor', 'anytim', 'soon', 'easter', 'travelplan', 'went', 'drain', 'hope', 'swift', 'resolut', 'novel', 'coronaviru', 'pandem', 'wish']","['im', 'afraid', 'closest', 'im', 'getting', 'singapore', 'anytime', 'soon', 'easter', 'travelplans', 'went', 'drain', 'hoping', 'swift', 'resolution', 'novel', 'coronavirus', 'pandemic', 'wishing']",1,Finland
2020-03-05 07:06:37+00:00,1235461697831415809,Why #Asia Is Still the #Future of #Travel in a Post-Coronavirus World https://t.co/ty2N6fkmdB via @Skift #business #geopolitics #health,AnnikaKonttinen,"Helsinki, Finland",1,0,0,0,Senior Lecturer. Traveller. Hiker. Urbanite. Genealogist. Tweets about #sustainability #ExperienceEconomy #digitalisation #cities #wellbeing #aviation #travel.,541,"['Asia', 'Future', 'Travel', 'business', 'geopolitics', 'health']",why asia is still the future of travel in a postcoronavirus world via business geopolitics health,"['why', 'asia', 'is', 'still', 'the', 'future', 'of', 'travel', 'in', 'a', 'postcoronavirus', 'world', 'via', 'business', 'geopolitics', 'health']","['asia', 'still', 'future', 'travel', 'postcoronavirus', 'world', 'via', 'business', 'geopolitics', 'health']","['asia', 'still', 'futur', 'travel', 'postcoronaviru', 'world', 'via', 'busi', 'geopolit', 'health']","['asia', 'still', 'future', 'travel', 'postcoronavirus', 'world', 'via', 'business', 'geopolitics', 'health']",5,Finland
