Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-10-30 09:54:42+00:00,1454386268352172034,"For anyone travelling to #Greece you should be aware that if you have kids U12 for all intents and purposes you will have to have them officially covid tested every 48hrs (pharma or doctor) or no internal travel or indoor dining.
#COVID19 #Travel",nouvation,Limerick,6,3,0,0,"More artistic than actual physics | Founder & CEO @provizio_ai, AI on-the-edge active vehicle safety | Previously founded  @arralis, @sensurity_ltd | #GAA head",1784,"['Greece', 'COVID19', 'Travel']",for anyone travelling to greece you should be aware that if you have kids u12 for all intents and purposes you will have to have them officially covid tested every 48hrs pharma or doctor or no internal travel or indoor dining covid19 travel,"['for', 'anyone', 'travelling', 'to', 'greece', 'you', 'should', 'be', 'aware', 'that', 'if', 'you', 'have', 'kids', 'u12', 'for', 'all', 'intents', 'and', 'purposes', 'you', 'will', 'have', 'to', 'have', 'them', 'officially', 'covid', 'tested', 'every', '48hrs', 'pharma', 'or', 'doctor', 'or', 'no', 'internal', 'travel', 'or', 'indoor', 'dining', 'covid19', 'travel']","['anyone', 'travelling', 'greece', 'aware', 'kids', 'u12', 'intents', 'purposes', 'officially', 'covid', 'tested', 'every', '48hrs', 'pharma', 'doctor', 'internal', 'travel', 'indoor', 'dining', 'covid19', 'travel']","['anyon', 'travel', 'greec', 'awar', 'kid', 'u12', 'intent', 'purpos', 'offici', 'covid', 'test', 'everi', '48hr', 'pharma', 'doctor', 'intern', 'travel', 'indoor', 'dine', 'covid19', 'travel']","['anyone', 'travelling', 'greece', 'aware', 'kids', 'u12', 'intents', 'purposes', 'officially', 'covid', 'tested', 'every', '48hrs', 'pharma', 'doctor', 'internal', 'travel', 'indoor', 'dining', 'covid19', 'travel']",1,Greece
2022-06-05 16:09:22+00:00,1533481112688795648,"#EUCancersSurvivorshipDay
So pleased of participating in this year's #Campaign, held by @cancereu Let's spread the message of #CancerFighting #PatientEmpowerment #CancerAwareness #Prevention #Treatment #Care towards #Survivorship #QoL @iMedPhysAUTH  @bamidis  @ampillis  @mantziad https://t.co/5PpzMrANgM",iMedPhysAUTH,Thessaloniki,5,0,2,0,"Lab of Medical Physics & Digital Innovation, School of Medicine,
Aristotle Univ. Thessaloniki / Εργαστήριο Ιατρικής Φυσικής, Τμήμα Ιατρικής, ΑΠΘ",285,"['EUCancersSurvivorshipDay', 'Campaign', 'CancerFighting', 'PatientEmpowerment', 'CancerAwareness', 'Prevention', 'Treatment', 'Care', 'Survivorship', 'QoL']",eucancerssurvivorshipday so pleased of participating in this years campaign held by lets spread the message of cancerfighting patientempowerment cancerawareness prevention treatment care towards survivorship qol,"['eucancerssurvivorshipday', 'so', 'pleased', 'of', 'participating', 'in', 'this', 'years', 'campaign', 'held', 'by', 'lets', 'spread', 'the', 'message', 'of', 'cancerfighting', 'patientempowerment', 'cancerawareness', 'prevention', 'treatment', 'care', 'towards', 'survivorship', 'qol']","['eucancerssurvivorshipday', 'pleased', 'participating', 'years', 'campaign', 'held', 'lets', 'spread', 'message', 'cancerfighting', 'patientempowerment', 'cancerawareness', 'prevention', 'treatment', 'care', 'towards', 'survivorship', 'qol']","['eucancerssurvivorshipday', 'pleas', 'particip', 'year', 'campaign', 'held', 'let', 'spread', 'messag', 'cancerfight', 'patientempower', 'cancerawar', 'prevent', 'treatment', 'care', 'toward', 'survivorship', 'qol']","['eucancerssurvivorshipday', 'pleased', 'participating', 'years', 'campaign', 'held', 'lets', 'spread', 'message', 'cancerfighting', 'patientempowerment', 'cancerawareness', 'prevention', 'treatment', 'care', 'towards', 'survivorship', 'qol']",5,Greece
2020-07-21 13:05:20+00:00,1285561497414967297,We’ve come up with a vaccine for Coronavirus in just over six months. It’s very similar to the cold virus which has no vaccine.....but a huge market in lemsip/beechams sales.... is the not a little suspicious?? 😏😏#bigpharma,RobVivian1,Bristol,0,0,0,0,"Father of two, Owner of Multi-Award winning Pure Comms and Entrepreuner of the Year 2015",184,['bigpharma'],weve come up with a vaccine for coronavirus in just over six months its very similar to the cold virus which has no vaccinebut a huge market in lemsipbeechams sales is the not a little suspicious bigpharma,"['weve', 'come', 'up', 'with', 'a', 'vaccine', 'for', 'coronavirus', 'in', 'just', 'over', 'six', 'months', 'its', 'very', 'similar', 'to', 'the', 'cold', 'virus', 'which', 'has', 'no', 'vaccinebut', 'a', 'huge', 'market', 'in', 'lemsipbeechams', 'sales', 'is', 'the', 'not', 'a', 'little', 'suspicious', 'bigpharma']","['weve', 'come', 'vaccine', 'coronavirus', 'six', 'months', 'similar', 'cold', 'virus', 'vaccinebut', 'huge', 'market', 'lemsipbeechams', 'sales', 'little', 'suspicious', 'bigpharma']","['weve', 'come', 'vaccin', 'coronaviru', 'six', 'month', 'similar', 'cold', 'viru', 'vaccinebut', 'huge', 'market', 'lemsipbeecham', 'sale', 'littl', 'suspici', 'bigpharma']","['weve', 'come', 'vaccine', 'coronavirus', 'six', 'months', 'similar', 'cold', 'virus', 'vaccinebut', 'huge', 'market', 'lemsipbeechams', 'sales', 'little', 'suspicious', 'bigpharma']",5,Greece
2020-07-15 09:05:54+00:00,1283326916037169152,Watching the number of cases in #usa I understand that #COVID19 is always here. During Summer holidays we must focus on personal health. It is a question of private responsibility. #coronavirus #healthy #Europe https://t.co/RtAkj6M4QO,stefadamantidis,"Thessaloniki, Greece",1,0,0,0,"Ph.D  fellowship political science and Law. Political Collaborator. Work at @n26 .  Like also #astrophysics, #tennis, and #cinema nights.",446,"['usa', 'COVID19', 'coronavirus', 'healthy', 'Europe']",watching the number of cases in usa i understand that covid19 is always here during summer holidays we must focus on personal health it is a question of private responsibility coronavirus healthy europe,"['watching', 'the', 'number', 'of', 'cases', 'in', 'usa', 'i', 'understand', 'that', 'covid19', 'is', 'always', 'here', 'during', 'summer', 'holidays', 'we', 'must', 'focus', 'on', 'personal', 'health', 'it', 'is', 'a', 'question', 'of', 'private', 'responsibility', 'coronavirus', 'healthy', 'europe']","['watching', 'number', 'cases', 'usa', 'understand', 'covid19', 'always', 'summer', 'holidays', 'must', 'focus', 'personal', 'health', 'question', 'private', 'responsibility', 'coronavirus', 'healthy', 'europe']","['watch', 'number', 'case', 'usa', 'understand', 'covid19', 'alway', 'summer', 'holiday', 'must', 'focu', 'person', 'health', 'question', 'privat', 'respons', 'coronaviru', 'healthi', 'europ']","['watching', 'number', 'cases', 'usa', 'understand', 'covid19', 'always', 'summer', 'holidays', 'must', 'focus', 'personal', 'health', 'question', 'private', 'responsibility', 'coronavirus', 'healthy', 'europe']",4,Greece
2020-05-14 12:11:39+00:00,1260905613678313474,"Let's talk about trust: https://t.co/FHA29bTGJp

We are the business partner you're looking for! Experience, professionalism and creative ideas! 

#onlinebooking #bookonline #booking #bookings  #spa #reservations #tours #touroperator #travelandtourism #covid19 #coronavirus https://t.co/HMg9aJwEDA",bestcybernetics,Patras,0,0,0,0,Eταιρεία παροχής ψηφιακών λύσεων,34,"['onlinebooking', 'bookonline', 'booking', 'bookings', 'spa', 'reservations', 'tours', 'touroperator', 'travelandtourism', 'covid19', 'coronavirus']",lets talk about trust we are the business partner youre looking for experience professionalism and creative ideas onlinebooking bookonline booking bookings spa reservations tours touroperator travelandtourism covid19 coronavirus,"['lets', 'talk', 'about', 'trust', 'we', 'are', 'the', 'business', 'partner', 'youre', 'looking', 'for', 'experience', 'professionalism', 'and', 'creative', 'ideas', 'onlinebooking', 'bookonline', 'booking', 'bookings', 'spa', 'reservations', 'tours', 'touroperator', 'travelandtourism', 'covid19', 'coronavirus']","['lets', 'talk', 'trust', 'business', 'partner', 'youre', 'looking', 'experience', 'professionalism', 'creative', 'ideas', 'onlinebooking', 'bookonline', 'booking', 'bookings', 'spa', 'reservations', 'tours', 'touroperator', 'travelandtourism', 'covid19', 'coronavirus']","['let', 'talk', 'trust', 'busi', 'partner', 'your', 'look', 'experi', 'profession', 'creativ', 'idea', 'onlinebook', 'bookonlin', 'book', 'book', 'spa', 'reserv', 'tour', 'touroper', 'travelandtour', 'covid19', 'coronaviru']","['lets', 'talk', 'trust', 'business', 'partner', 'youre', 'looking', 'experience', 'professionalism', 'creative', 'ideas', 'onlinebooking', 'bookonline', 'booking', 'bookings', 'spa', 'reservations', 'tours', 'touroperator', 'travelandtourism', 'covid19', 'coronavirus']",5,Greece
2020-04-13 09:09:35+00:00,1249625773297852416,"Memories from last year’s Easter... 🍷
🍷
🍷
#μένουμεσπίτι #θακατσωσπιτι #menoumespiti #thakatsospiti #easter #easterholidaysathome #coronavirus #virus #health #protection #prevention #responsibility #westayhome… https://t.co/nLQFNxun1M",Miltos_Karatzas,Athens / Greece,0,0,0,0,"Entertainment Entrepreneur, Music Lover",16027,"['μένουμεσπίτι', 'θακατσωσπιτι', 'menoumespiti', 'thakatsospiti', 'easter', 'easterholidaysathome', 'coronavirus', 'virus', 'health', 'protection', 'prevention', 'responsibility', 'westayhome']",memories from last years easter menoumespiti thakatsospiti easter easterholidaysathome coronavirus virus health protection prevention responsibility westayhome,"['memories', 'from', 'last', 'years', 'easter', 'menoumespiti', 'thakatsospiti', 'easter', 'easterholidaysathome', 'coronavirus', 'virus', 'health', 'protection', 'prevention', 'responsibility', 'westayhome']","['memories', 'last', 'years', 'easter', 'menoumespiti', 'thakatsospiti', 'easter', 'easterholidaysathome', 'coronavirus', 'virus', 'health', 'protection', 'prevention', 'responsibility', 'westayhome']","['memori', 'last', 'year', 'easter', 'menoumesp', 'thakatsosp', 'easter', 'easterholidaysathom', 'coronaviru', 'viru', 'health', 'protect', 'prevent', 'respons', 'westayhom']","['memories', 'last', 'years', 'easter', 'menoumespiti', 'thakatsospiti', 'easter', 'easterholidaysathome', 'coronavirus', 'virus', 'health', 'protection', 'prevention', 'responsibility', 'westayhome']",5,Greece
2020-03-11 16:17:10+00:00,1237774576496660480,After 30hrs of travel we made it to our hotel in Athens 🇬🇷 We booked this leg a month ago when travel restrictions were being placed in some asian countries in response to the Coronavirus outbreak. We knew it would… https://t.co/Hpq8JM1Pgq,linnguistics,Australia,0,0,0,0,Well-travelled linguistics nerd.,245,,after 30hrs of travel we made it to our hotel in athens we booked this leg a month ago when travel restrictions were being placed in some asian countries in response to the coronavirus outbreak we knew it would,"['after', '30hrs', 'of', 'travel', 'we', 'made', 'it', 'to', 'our', 'hotel', 'in', 'athens', 'we', 'booked', 'this', 'leg', 'a', 'month', 'ago', 'when', 'travel', 'restrictions', 'were', 'being', 'placed', 'in', 'some', 'asian', 'countries', 'in', 'response', 'to', 'the', 'coronavirus', 'outbreak', 'we', 'knew', 'it', 'would']","['30hrs', 'travel', 'made', 'hotel', 'athens', 'booked', 'leg', 'month', 'ago', 'travel', 'restrictions', 'placed', 'asian', 'countries', 'response', 'coronavirus', 'outbreak', 'knew', 'would']","['30hr', 'travel', 'made', 'hotel', 'athen', 'book', 'leg', 'month', 'ago', 'travel', 'restrict', 'place', 'asian', 'countri', 'respons', 'coronaviru', 'outbreak', 'knew', 'would']","['30hrs', 'travel', 'made', 'hotel', 'athens', 'booked', 'leg', 'month', 'ago', 'travel', 'restrictions', 'placed', 'asian', 'countries', 'response', 'coronavirus', 'outbreak', 'knew', 'would']",1,Greece
2021-10-30 09:54:42+00:00,1454386268352172034,"For anyone travelling to #Greece you should be aware that if you have kids U12 for all intents and purposes you will have to have them officially covid tested every 48hrs (pharma or doctor) or no internal travel or indoor dining.
#COVID19 #Travel",nouvation,Limerick,6,3,0,0,"More artistic than actual physics | Founder & CEO @provizio_ai, AI on-the-edge active vehicle safety | Previously founded  @arralis, @sensurity_ltd | #GAA head",1784,"['Greece', 'COVID19', 'Travel']",for anyone travelling to greece you should be aware that if you have kids u12 for all intents and purposes you will have to have them officially covid tested every 48hrs pharma or doctor or no internal travel or indoor dining covid19 travel,"['for', 'anyone', 'travelling', 'to', 'greece', 'you', 'should', 'be', 'aware', 'that', 'if', 'you', 'have', 'kids', 'u12', 'for', 'all', 'intents', 'and', 'purposes', 'you', 'will', 'have', 'to', 'have', 'them', 'officially', 'covid', 'tested', 'every', '48hrs', 'pharma', 'or', 'doctor', 'or', 'no', 'internal', 'travel', 'or', 'indoor', 'dining', 'covid19', 'travel']","['anyone', 'travelling', 'greece', 'aware', 'kids', 'u12', 'intents', 'purposes', 'officially', 'covid', 'tested', 'every', '48hrs', 'pharma', 'doctor', 'internal', 'travel', 'indoor', 'dining', 'covid19', 'travel']","['anyon', 'travel', 'greec', 'awar', 'kid', 'u12', 'intent', 'purpos', 'offici', 'covid', 'test', 'everi', '48hr', 'pharma', 'doctor', 'intern', 'travel', 'indoor', 'dine', 'covid19', 'travel']","['anyone', 'travelling', 'greece', 'aware', 'kids', 'u12', 'intents', 'purposes', 'officially', 'covid', 'tested', 'every', '48hrs', 'pharma', 'doctor', 'internal', 'travel', 'indoor', 'dining', 'covid19', 'travel']",1,Greece
2020-07-15 09:05:54+00:00,1283326916037169152,Watching the number of cases in #usa I understand that #COVID19 is always here. During Summer holidays we must focus on personal health. It is a question of private responsibility. #coronavirus #healthy #Europe https://t.co/RtAkj6M4QO,stefadamantidis,"Thessaloniki, Greece",1,0,0,0,"Ph.D  fellowship political science and Law. Political Collaborator. Work at @n26 .  Like also #astrophysics, #tennis, and #cinema nights.",446,"['usa', 'COVID19', 'coronavirus', 'healthy', 'Europe']",watching the number of cases in usa i understand that covid19 is always here during summer holidays we must focus on personal health it is a question of private responsibility coronavirus healthy europe,"['watching', 'the', 'number', 'of', 'cases', 'in', 'usa', 'i', 'understand', 'that', 'covid19', 'is', 'always', 'here', 'during', 'summer', 'holidays', 'we', 'must', 'focus', 'on', 'personal', 'health', 'it', 'is', 'a', 'question', 'of', 'private', 'responsibility', 'coronavirus', 'healthy', 'europe']","['watching', 'number', 'cases', 'usa', 'understand', 'covid19', 'always', 'summer', 'holidays', 'must', 'focus', 'personal', 'health', 'question', 'private', 'responsibility', 'coronavirus', 'healthy', 'europe']","['watch', 'number', 'case', 'usa', 'understand', 'covid19', 'alway', 'summer', 'holiday', 'must', 'focu', 'person', 'health', 'question', 'privat', 'respons', 'coronaviru', 'healthi', 'europ']","['watching', 'number', 'cases', 'usa', 'understand', 'covid19', 'always', 'summer', 'holidays', 'must', 'focus', 'personal', 'health', 'question', 'private', 'responsibility', 'coronavirus', 'healthy', 'europe']",4,Greece
2020-03-21 11:08:42+00:00,1241320828588916736,"Stay home #corona #stayhome #coronaalert #coronacare #athens #covid19 #mask #greece_travel @ National Garden, Athens https://t.co/XrOAJNNNX1",Ibrahim63962964,"Lahore, Pakistan",0,0,0,0,ibrahim faiz is Rock Pop hip hop singer and composer Lyrics and Tv Anchor Prrson leaving in Greece From 25 years..,26,"['corona', 'stayhome', 'coronaalert', 'coronacare', 'athens', 'covid19', 'mask', 'greece_travel']",stay home corona stayhome coronaalert coronacare athens covid19 mask greecetravel national garden athens,"['stay', 'home', 'corona', 'stayhome', 'coronaalert', 'coronacare', 'athens', 'covid19', 'mask', 'greecetravel', 'national', 'garden', 'athens']","['stay', 'home', 'corona', 'stayhome', 'coronaalert', 'coronacare', 'athens', 'covid19', 'mask', 'greecetravel', 'national', 'garden', 'athens']","['stay', 'home', 'corona', 'stayhom', 'coronaalert', 'coronacar', 'athen', 'covid19', 'mask', 'greecetravel', 'nation', 'garden', 'athen']","['stay', 'home', 'corona', 'stayhome', 'coronaalert', 'coronacare', 'athens', 'covid19', 'mask', 'greecetravel', 'national', 'garden', 'athens']",5,Greece
