Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-11-19 22:51:53+00:00,1329558039981121538,"After 10 months of silence my university wrote us a #letter. 
They didn't say anything about our returning dates, but still I appreciate the message. 
At the end when they mention they are proud of our #resilience and #tenacity in this tough time, my ♥️ felt that.
#StayStrong https://t.co/fgPMdrCyTS",TheAmaz45215114,,1,2,0,0,Italian Born Chinese 🇮🇹 • Law School Student ⚖️👨🏻‍⚖️,13,"['letter', 'resilience', 'tenacity', 'StayStrong']",after 10 months of silence my university wrote us a letter they didnt say anything about our returning dates but still i appreciate the message at the end when they mention they are proud of our resilience and tenacity in this tough time my felt that staystrong,"['after', '10', 'months', 'of', 'silence', 'my', 'university', 'wrote', 'us', 'a', 'letter', 'they', 'didnt', 'say', 'anything', 'about', 'our', 'returning', 'dates', 'but', 'still', 'i', 'appreciate', 'the', 'message', 'at', 'the', 'end', 'when', 'they', 'mention', 'they', 'are', 'proud', 'of', 'our', 'resilience', 'and', 'tenacity', 'in', 'this', 'tough', 'time', 'my', 'felt', 'that', 'staystrong']","['10', 'months', 'silence', 'university', 'wrote', 'us', 'letter', 'didnt', 'say', 'anything', 'returning', 'dates', 'still', 'appreciate', 'message', 'end', 'mention', 'proud', 'resilience', 'tenacity', 'tough', 'time', 'felt', 'staystrong']","['10', 'month', 'silenc', 'univers', 'wrote', 'us', 'letter', 'didnt', 'say', 'anyth', 'return', 'date', 'still', 'appreci', 'messag', 'end', 'mention', 'proud', 'resili', 'tenac', 'tough', 'time', 'felt', 'staystrong']","['10', 'months', 'silence', 'university', 'wrote', 'us', 'letter', 'didnt', 'say', 'anything', 'returning', 'dates', 'still', 'appreciate', 'message', 'end', 'mention', 'proud', 'resilience', 'tenacity', 'tough', 'time', 'felt', 'staystrong']",4,Italy
2020-09-08 10:21:37+00:00,1303277305452728320,Taking the little moments between the long hours and weeks that become one to go for a walk and appreciate it all #Firenze #florence #F1 #f1travel #MonzaGP #MugelloGP #MclarenF1 https://t.co/baVhggIASG,gsep123,"Sicily, Italy",242,11,1,1,Mechanic for @danielricciardo Instagram.com/gsep123 #coys,13602,"['Firenze', 'florence', 'F1', 'f1travel', 'MonzaGP', 'MugelloGP', 'MclarenF1']",taking the little moments between the long hours and weeks that become one to go for a walk and appreciate it all firenze florence f1 f1travel monzagp mugellogp mclarenf1,"['taking', 'the', 'little', 'moments', 'between', 'the', 'long', 'hours', 'and', 'weeks', 'that', 'become', 'one', 'to', 'go', 'for', 'a', 'walk', 'and', 'appreciate', 'it', 'all', 'firenze', 'florence', 'f1', 'f1travel', 'monzagp', 'mugellogp', 'mclarenf1']","['taking', 'little', 'moments', 'long', 'hours', 'weeks', 'become', 'one', 'go', 'walk', 'appreciate', 'firenze', 'florence', 'f1', 'f1travel', 'monzagp', 'mugellogp', 'mclarenf1']","['take', 'littl', 'moment', 'long', 'hour', 'week', 'becom', 'one', 'go', 'walk', 'appreci', 'firenz', 'florenc', 'f1', 'f1travel', 'monzagp', 'mugellogp', 'mclarenf1']","['taking', 'little', 'moments', 'long', 'hours', 'weeks', 'become', 'one', 'go', 'walk', 'appreciate', 'firenze', 'florence', 'f1', 'f1travel', 'monzagp', 'mugellogp', 'mclarenf1']",4,Italy
2020-02-29 18:12:42+00:00,1233817386186395649,"So apparently I got suspended from PokémonGO for “suspicious” activity. The “problem” is that I travel a lot every week around the world and they might have thought I was a bot🤣

@NianticHelp, I appreciate your awareness but please be more careful and do something! Thank you :)",Leon_Chiro,Roma,208,8,13,1,"Italian Photomodel, Professional Cosplayer, National Athlete, VIGAMUS Academy Student. ►Facebook:goo.gl/khHmPk ► Email : leonchiro@live.it",45460,,so apparently i got suspended from pokmongo for suspicious activity the problem is that i travel a lot every week around the world and they might have thought i was a bot i appreciate your awareness but please be more careful and do something thank you,"['so', 'apparently', 'i', 'got', 'suspended', 'from', 'pokmongo', 'for', 'suspicious', 'activity', 'the', 'problem', 'is', 'that', 'i', 'travel', 'a', 'lot', 'every', 'week', 'around', 'the', 'world', 'and', 'they', 'might', 'have', 'thought', 'i', 'was', 'a', 'bot', 'i', 'appreciate', 'your', 'awareness', 'but', 'please', 'be', 'more', 'careful', 'and', 'do', 'something', 'thank', 'you']","['apparently', 'got', 'suspended', 'pokmongo', 'suspicious', 'activity', 'problem', 'travel', 'lot', 'every', 'week', 'around', 'world', 'might', 'thought', 'bot', 'appreciate', 'awareness', 'please', 'careful', 'something', 'thank']","['appar', 'got', 'suspend', 'pokmongo', 'suspici', 'activ', 'problem', 'travel', 'lot', 'everi', 'week', 'around', 'world', 'might', 'thought', 'bot', 'appreci', 'awar', 'pleas', 'care', 'someth', 'thank']","['apparently', 'got', 'suspended', 'pokmongo', 'suspicious', 'activity', 'problem', 'travel', 'lot', 'every', 'week', 'around', 'world', 'might', 'thought', 'bot', 'appreciate', 'awareness', 'please', 'careful', 'something', 'thank']",3,Italy
2019-12-16 11:38:37+00:00,1206539119440121856,"Some of the most harmonious place on earth are in the mountains. We appreciate a harmonious environment, and we think you deserve to experience such an environment. #hardworkers #traveldeals #treatyoself… https://t.co/kERDUCMzUG",gatgo_travel,"100 Church St Ste 800, N",1,0,0,0,"What’s on your Bucket-list? Make your life happy with new places and positive vybz. #blackownedbusiness
IG: instagram.com/gatgo_travel/",110,"['hardworkers', 'traveldeals', 'treatyoself']",some of the most harmonious place on earth are in the mountains we appreciate a harmonious environment and we think you deserve to experience such an environment hardworkers traveldeals treatyoself,"['some', 'of', 'the', 'most', 'harmonious', 'place', 'on', 'earth', 'are', 'in', 'the', 'mountains', 'we', 'appreciate', 'a', 'harmonious', 'environment', 'and', 'we', 'think', 'you', 'deserve', 'to', 'experience', 'such', 'an', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmoni', 'place', 'earth', 'mountain', 'appreci', 'harmoni', 'environ', 'think', 'deserv', 'experi', 'environ', 'hardwork', 'traveld', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']",4,Italy
2019-12-16 11:38:06+00:00,1206538989911650305,"Some of the most harmonious place on earth are in the mountains. We appreciate a harmonious environment, and we think you deserve to experience such an environment. #hardworkers #traveldeals #treatyoself… https://t.co/Si8q2w4lfc",gatgo_travel,"100 Church St Ste 800, N",0,0,0,0,"What’s on your Bucket-list? Make your life happy with new places and positive vybz. #blackownedbusiness
IG: instagram.com/gatgo_travel/",110,"['hardworkers', 'traveldeals', 'treatyoself']",some of the most harmonious place on earth are in the mountains we appreciate a harmonious environment and we think you deserve to experience such an environment hardworkers traveldeals treatyoself,"['some', 'of', 'the', 'most', 'harmonious', 'place', 'on', 'earth', 'are', 'in', 'the', 'mountains', 'we', 'appreciate', 'a', 'harmonious', 'environment', 'and', 'we', 'think', 'you', 'deserve', 'to', 'experience', 'such', 'an', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmoni', 'place', 'earth', 'mountain', 'appreci', 'harmoni', 'environ', 'think', 'deserv', 'experi', 'environ', 'hardwork', 'traveld', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']",4,Italy
2019-12-16 11:37:31+00:00,1206538844700643330,"Some of the most harmonious place on earth are in the mountains. We appreciate a harmonious environment, and we think you deserve to experience such an environment. #hardworkers #traveldeals #treatyoself… https://t.co/kH9490NUwS",gatgo_travel,"100 Church St Ste 800, N",0,0,0,0,"What’s on your Bucket-list? Make your life happy with new places and positive vybz. #blackownedbusiness
IG: instagram.com/gatgo_travel/",110,"['hardworkers', 'traveldeals', 'treatyoself']",some of the most harmonious place on earth are in the mountains we appreciate a harmonious environment and we think you deserve to experience such an environment hardworkers traveldeals treatyoself,"['some', 'of', 'the', 'most', 'harmonious', 'place', 'on', 'earth', 'are', 'in', 'the', 'mountains', 'we', 'appreciate', 'a', 'harmonious', 'environment', 'and', 'we', 'think', 'you', 'deserve', 'to', 'experience', 'such', 'an', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmoni', 'place', 'earth', 'mountain', 'appreci', 'harmoni', 'environ', 'think', 'deserv', 'experi', 'environ', 'hardwork', 'traveld', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']",4,Italy
2019-12-16 11:36:56+00:00,1206538695274356736,"Some of the most harmonious place on earth are in the mountains. We appreciate a harmonious environment, and we think you deserve to experience such an environment. #hardworkers #traveldeals #treatyoself… https://t.co/ZTvX5Yh12P",gatgo_travel,"100 Church St Ste 800, N",0,0,0,0,"What’s on your Bucket-list? Make your life happy with new places and positive vybz. #blackownedbusiness
IG: instagram.com/gatgo_travel/",110,"['hardworkers', 'traveldeals', 'treatyoself']",some of the most harmonious place on earth are in the mountains we appreciate a harmonious environment and we think you deserve to experience such an environment hardworkers traveldeals treatyoself,"['some', 'of', 'the', 'most', 'harmonious', 'place', 'on', 'earth', 'are', 'in', 'the', 'mountains', 'we', 'appreciate', 'a', 'harmonious', 'environment', 'and', 'we', 'think', 'you', 'deserve', 'to', 'experience', 'such', 'an', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmoni', 'place', 'earth', 'mountain', 'appreci', 'harmoni', 'environ', 'think', 'deserv', 'experi', 'environ', 'hardwork', 'traveld', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']",4,Italy
2019-12-16 11:36:33+00:00,1206538600365658112,"Some of the most harmonious place on earth are in the mountains. We appreciate a harmonious environment, and we think you deserve to experience such an environment. #hardworkers #traveldeals #treatyoself… https://t.co/2CXMJjw3ad",gatgo_travel,"100 Church St Ste 800, N",0,0,0,0,"What’s on your Bucket-list? Make your life happy with new places and positive vybz. #blackownedbusiness
IG: instagram.com/gatgo_travel/",110,"['hardworkers', 'traveldeals', 'treatyoself']",some of the most harmonious place on earth are in the mountains we appreciate a harmonious environment and we think you deserve to experience such an environment hardworkers traveldeals treatyoself,"['some', 'of', 'the', 'most', 'harmonious', 'place', 'on', 'earth', 'are', 'in', 'the', 'mountains', 'we', 'appreciate', 'a', 'harmonious', 'environment', 'and', 'we', 'think', 'you', 'deserve', 'to', 'experience', 'such', 'an', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmoni', 'place', 'earth', 'mountain', 'appreci', 'harmoni', 'environ', 'think', 'deserv', 'experi', 'environ', 'hardwork', 'traveld', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']",4,Italy
2019-12-16 11:36:09+00:00,1206538500218089473,"Some of the most harmonious place on earth are in the mountains. We appreciate a harmonious environment, and we think you deserve to experience such an environment. #hardworkers #traveldeals #treatyoself… https://t.co/JJc27bHYGl",gatgo_travel,"100 Church St Ste 800, N",0,0,0,0,"What’s on your Bucket-list? Make your life happy with new places and positive vybz. #blackownedbusiness
IG: instagram.com/gatgo_travel/",110,"['hardworkers', 'traveldeals', 'treatyoself']",some of the most harmonious place on earth are in the mountains we appreciate a harmonious environment and we think you deserve to experience such an environment hardworkers traveldeals treatyoself,"['some', 'of', 'the', 'most', 'harmonious', 'place', 'on', 'earth', 'are', 'in', 'the', 'mountains', 'we', 'appreciate', 'a', 'harmonious', 'environment', 'and', 'we', 'think', 'you', 'deserve', 'to', 'experience', 'such', 'an', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']","['harmoni', 'place', 'earth', 'mountain', 'appreci', 'harmoni', 'environ', 'think', 'deserv', 'experi', 'environ', 'hardwork', 'traveld', 'treatyoself']","['harmonious', 'place', 'earth', 'mountains', 'appreciate', 'harmonious', 'environment', 'think', 'deserve', 'experience', 'environment', 'hardworkers', 'traveldeals', 'treatyoself']",4,Italy
2019-12-12 16:20:52+00:00,1205160598775967744,"It is views like this that really make you appreciate being in Italy. 🇮🇹 From Piazzale Michelangelo, you are able to see Florence's iconic red roofs, towering churches, and even the picturesque mountains in the distance. Is this spot on your travel itinerary? #Florence https://t.co/GwPwgSmXIU",WhatALifeTours,"Via Santamaura 14B, Rome ",0,0,0,0,"CIAO! For seasoned Italophiles or first-timers, we run the most personal & exciting tours & we're here to help you fall deeper in love with Rome & Italy!",197,['Florence'],it is views like this that really make you appreciate being in italy from piazzale michelangelo you are able to see florences iconic red roofs towering churches and even the picturesque mountains in the distance is this spot on your travel itinerary florence,"['it', 'is', 'views', 'like', 'this', 'that', 'really', 'make', 'you', 'appreciate', 'being', 'in', 'italy', 'from', 'piazzale', 'michelangelo', 'you', 'are', 'able', 'to', 'see', 'florences', 'iconic', 'red', 'roofs', 'towering', 'churches', 'and', 'even', 'the', 'picturesque', 'mountains', 'in', 'the', 'distance', 'is', 'this', 'spot', 'on', 'your', 'travel', 'itinerary', 'florence']","['views', 'like', 'really', 'make', 'appreciate', 'italy', 'piazzale', 'michelangelo', 'able', 'see', 'florences', 'iconic', 'red', 'roofs', 'towering', 'churches', 'even', 'picturesque', 'mountains', 'distance', 'spot', 'travel', 'itinerary', 'florence']","['view', 'like', 'realli', 'make', 'appreci', 'itali', 'piazzal', 'michelangelo', 'abl', 'see', 'florenc', 'icon', 'red', 'roof', 'tower', 'church', 'even', 'picturesqu', 'mountain', 'distanc', 'spot', 'travel', 'itinerari', 'florenc']","['views', 'like', 'really', 'make', 'appreciate', 'italy', 'piazzale', 'michelangelo', 'able', 'see', 'florences', 'iconic', 'red', 'roofs', 'towering', 'churches', 'even', 'picturesque', 'mountains', 'distance', 'spot', 'travel', 'itinerary', 'florence']",5,Italy
