Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-21 15:53:35+00:00,1539275345894907904,@Ohtralalavh_ Most of the staff dpt meal allowance tu. Plus dental care rm300 annually.,yuswancheng,Malaysia,0,0,0,0,"Suffers from CRS, (Can’t Remember Shit) #GGMU",394,,most of the staff dpt meal allowance tu plus dental care rm300 annually,"['most', 'of', 'the', 'staff', 'dpt', 'meal', 'allowance', 'tu', 'plus', 'dental', 'care', 'rm300', 'annually']","['staff', 'dpt', 'meal', 'allowance', 'tu', 'plus', 'dental', 'care', 'rm300', 'annually']","['staff', 'dpt', 'meal', 'allow', 'tu', 'plu', 'dental', 'care', 'rm300', 'annual']","['staff', 'dpt', 'meal', 'allowance', 'tu', 'plus', 'dental', 'care', 'rm300', 'annually']",5,Malaysia
2022-06-21 11:43:41+00:00,1539212454605225985,"✨ INTERNSHIP OPPORTUNITIES AT KOTA KEMUNING, SHAH ALAM ✨

1️⃣ Admin / Customer Service.
2️⃣ Content Creator / Social Media Manager.

✅ Allowance: RM1,000/month.
✅ 5 working days per week.
✅ 1 extra off day per month for health concern.

Send resume to zullycurtains@gmail.com",zully_curtains,"Selangor, Malaysia",8,0,8,1,IG: ZullyCurtains & ZullyStudio | Contact: 019-280-5421 or zullycurtains@gmail.com,914,,internship opportunities at kota kemuning shah alam admin customer service content creator social media manager allowance rm1000month 5 working days per week 1 extra off day per month for health concern send resume to zullycurtains,"['internship', 'opportunities', 'at', 'kota', 'kemuning', 'shah', 'alam', 'admin', 'customer', 'service', 'content', 'creator', 'social', 'media', 'manager', 'allowance', 'rm1000month', '5', 'working', 'days', 'per', 'week', '1', 'extra', 'off', 'day', 'per', 'month', 'for', 'health', 'concern', 'send', 'resume', 'to', 'zullycurtains']","['internship', 'opportunities', 'kota', 'kemuning', 'shah', 'alam', 'admin', 'customer', 'service', 'content', 'creator', 'social', 'media', 'manager', 'allowance', 'rm1000month', '5', 'working', 'days', 'per', 'week', '1', 'extra', 'day', 'per', 'month', 'health', 'concern', 'send', 'resume', 'zullycurtains']","['internship', 'opportun', 'kota', 'kemun', 'shah', 'alam', 'admin', 'custom', 'servic', 'content', 'creator', 'social', 'media', 'manag', 'allow', 'rm1000month', '5', 'work', 'day', 'per', 'week', '1', 'extra', 'day', 'per', 'month', 'health', 'concern', 'send', 'resum', 'zullycurtain']","['internship', 'opportunities', 'kota', 'kemuning', 'shah', 'alam', 'admin', 'customer', 'service', 'content', 'creator', 'social', 'media', 'manager', 'allowance', 'rm1000month', '5', 'working', 'days', 'per', 'week', '1', 'extra', 'day', 'per', 'month', 'health', 'concern', 'send', 'resume', 'zullycurtains']",1,Malaysia
2022-06-21 08:46:53+00:00,1539167962384732160,"No more COVID allowance for us doctors? 😨

Whatever… I was eligible to get paid for 2 months only for the past 2 years anyway.

I got infected twice while serving. Imagine my fear whenever I go back home to see my family. Anyway, I’ve done my part for this country. That’s it.",syameer95,Kuala Lumpur,43,6,1,0,Medical Doctor • Former advocacy advisor for @mmi_world • Monash Uni 🇦🇺 • Pianist • Fitness enthusiast,8199,,no more covid allowance for us doctors whatever i was eligible to get paid for 2 months only for the past 2 years anyway i got infected twice while serving imagine my fear whenever i go back home to see my family anyway ive done my part for this country thats it,"['no', 'more', 'covid', 'allowance', 'for', 'us', 'doctors', 'whatever', 'i', 'was', 'eligible', 'to', 'get', 'paid', 'for', '2', 'months', 'only', 'for', 'the', 'past', '2', 'years', 'anyway', 'i', 'got', 'infected', 'twice', 'while', 'serving', 'imagine', 'my', 'fear', 'whenever', 'i', 'go', 'back', 'home', 'to', 'see', 'my', 'family', 'anyway', 'ive', 'done', 'my', 'part', 'for', 'this', 'country', 'thats', 'it']","['covid', 'allowance', 'us', 'doctors', 'whatever', 'eligible', 'get', 'paid', '2', 'months', 'past', '2', 'years', 'anyway', 'got', 'infected', 'twice', 'serving', 'imagine', 'fear', 'whenever', 'go', 'back', 'home', 'see', 'family', 'anyway', 'ive', 'done', 'part', 'country', 'thats']","['covid', 'allow', 'us', 'doctor', 'whatev', 'elig', 'get', 'paid', '2', 'month', 'past', '2', 'year', 'anyway', 'got', 'infect', 'twice', 'serv', 'imagin', 'fear', 'whenev', 'go', 'back', 'home', 'see', 'famili', 'anyway', 'ive', 'done', 'part', 'countri', 'that']","['covid', 'allowance', 'us', 'doctors', 'whatever', 'eligible', 'get', 'paid', '2', 'months', 'past', '2', 'years', 'anyway', 'got', 'infected', 'twice', 'serving', 'imagine', 'fear', 'whenever', 'go', 'back', 'home', 'see', 'family', 'anyway', 'ive', 'done', 'part', 'country', 'thats']",1,Malaysia
2022-06-20 13:37:04+00:00,1538878601524760577,"Rural Development Ministry preparing paper on MARA-sponsored student allowance in UK, says minister https://t.co/ZWOqFaQh9m",malaymail,Malaysia,1,4,1,2,"Since 1896. Giving Malaysians the news of the day as it happens, whether in the field of politics or lifestyle.",285568,,rural development ministry preparing paper on marasponsored student allowance in uk says minister,"['rural', 'development', 'ministry', 'preparing', 'paper', 'on', 'marasponsored', 'student', 'allowance', 'in', 'uk', 'says', 'minister']","['rural', 'development', 'ministry', 'preparing', 'paper', 'marasponsored', 'student', 'allowance', 'uk', 'says', 'minister']","['rural', 'develop', 'ministri', 'prepar', 'paper', 'marasponsor', 'student', 'allow', 'uk', 'say', 'minist']","['rural', 'development', 'ministry', 'preparing', 'paper', 'marasponsored', 'student', 'allowance', 'uk', 'says', 'minister']",1,Malaysia
2022-06-19 03:41:43+00:00,1538366390431731712,"Salam Cyberians 
COOK/KITCHEN ASSISTANT/SERVICE CREW
Full time
RM1,800-2,500
2x meals provided
EPF&amp;SOCSO
5.5 working days
Full attendance allowance-RM300
Incentive every 6 months
Preferably female-Single mothers are encouraged to apply
https://t.co/1IjW5Dn70v
@Twt_Cyberjaya",ZillsKitchen,"Selangor, Malaysia",1,0,0,0,"Menyajikan sarapan dan lauk pauk tengahari.
Tekan link untuk order.
 wa.me/60192727995",12,,salam cyberians cookkitchen assistantservice crew full time rm18002500 2x meals provided epfampsocso 55 working days full attendance allowancerm300 incentive every 6 months preferably femalesingle mothers are encouraged to apply,"['salam', 'cyberians', 'cookkitchen', 'assistantservice', 'crew', 'full', 'time', 'rm18002500', '2x', 'meals', 'provided', 'epfampsocso', '55', 'working', 'days', 'full', 'attendance', 'allowancerm300', 'incentive', 'every', '6', 'months', 'preferably', 'femalesingle', 'mothers', 'are', 'encouraged', 'to', 'apply']","['salam', 'cyberians', 'cookkitchen', 'assistantservice', 'crew', 'full', 'time', 'rm18002500', '2x', 'meals', 'provided', 'epfampsocso', '55', 'working', 'days', 'full', 'attendance', 'allowancerm300', 'incentive', 'every', '6', 'months', 'preferably', 'femalesingle', 'mothers', 'encouraged', 'apply']","['salam', 'cyberian', 'cookkitchen', 'assistantservic', 'crew', 'full', 'time', 'rm18002500', '2x', 'meal', 'provid', 'epfampsocso', '55', 'work', 'day', 'full', 'attend', 'allowancerm300', 'incent', 'everi', '6', 'month', 'prefer', 'femalesingl', 'mother', 'encourag', 'appli']","['salam', 'cyberians', 'cookkitchen', 'assistantservice', 'crew', 'full', 'time', 'rm18002500', '2x', 'meals', 'provided', 'epfampsocso', '55', 'working', 'days', 'full', 'attendance', 'allowancerm300', 'incentive', 'every', '6', 'months', 'preferably', 'femalesingle', 'mothers', 'encouraged', 'apply']",4,Malaysia
2022-06-18 03:57:57+00:00,1538008086899699714,"This is working for my team too. 

✅ Co-working passes
✅ Remote working allowance
✅ Entire co on agile, not just devs
✅ 1x IRL sprint kick-off per month
✅ 1x IRL sprint review per month
✅ 1x company off-site per quarter
✅ Remote mental health support

And.. Happier kids!! https://t.co/y3xmsTGriI",saifyakhtar,"Kuala Lumpur, Malaysia",7,0,3,0,I lead at Pertama Digital. Seeking big gaps to bridge... Using a blend of software + hope. Excited about our post-pandemic story. Let’s not leave anyone behind.,1090,,this is working for my team too coworking passes remote working allowance entire co on agile not just devs 1x irl sprint kickoff per month 1x irl sprint review per month 1x company offsite per quarter remote mental health support and happier kids,"['this', 'is', 'working', 'for', 'my', 'team', 'too', 'coworking', 'passes', 'remote', 'working', 'allowance', 'entire', 'co', 'on', 'agile', 'not', 'just', 'devs', '1x', 'irl', 'sprint', 'kickoff', 'per', 'month', '1x', 'irl', 'sprint', 'review', 'per', 'month', '1x', 'company', 'offsite', 'per', 'quarter', 'remote', 'mental', 'health', 'support', 'and', 'happier', 'kids']","['working', 'team', 'coworking', 'passes', 'remote', 'working', 'allowance', 'entire', 'co', 'agile', 'devs', '1x', 'irl', 'sprint', 'kickoff', 'per', 'month', '1x', 'irl', 'sprint', 'review', 'per', 'month', '1x', 'company', 'offsite', 'per', 'quarter', 'remote', 'mental', 'health', 'support', 'happier', 'kids']","['work', 'team', 'cowork', 'pass', 'remot', 'work', 'allow', 'entir', 'co', 'agil', 'dev', '1x', 'irl', 'sprint', 'kickoff', 'per', 'month', '1x', 'irl', 'sprint', 'review', 'per', 'month', '1x', 'compani', 'offsit', 'per', 'quarter', 'remot', 'mental', 'health', 'support', 'happier', 'kid']","['working', 'team', 'coworking', 'passes', 'remote', 'working', 'allowance', 'entire', 'co', 'agile', 'devs', '1x', 'irl', 'sprint', 'kickoff', 'per', 'month', '1x', 'irl', 'sprint', 'review', 'per', 'month', '1x', 'company', 'offsite', 'per', 'quarter', 'remote', 'mental', 'health', 'support', 'happier', 'kids']",5,Malaysia
2022-06-17 18:51:18+00:00,1537870517801062400,"@MahdzirKhalid Baju Ralph Lauren ke adik tu pakai? If I’m the minister I wont easily buy this memorandum. Please review carefully coz MARA is Amanah from Rakyat. Rather than u increase the allowance, perhaps you can give more opportunity to poor students to study abroad.",chemadputra,Malaysia,2,0,0,0,لا إله إلا الله محمد رسول الله,11,,baju ralph lauren ke adik tu pakai if im the minister i wont easily buy this memorandum please review carefully coz mara is amanah from rakyat rather than u increase the allowance perhaps you can give more opportunity to poor students to study abroad,"['baju', 'ralph', 'lauren', 'ke', 'adik', 'tu', 'pakai', 'if', 'im', 'the', 'minister', 'i', 'wont', 'easily', 'buy', 'this', 'memorandum', 'please', 'review', 'carefully', 'coz', 'mara', 'is', 'amanah', 'from', 'rakyat', 'rather', 'than', 'u', 'increase', 'the', 'allowance', 'perhaps', 'you', 'can', 'give', 'more', 'opportunity', 'to', 'poor', 'students', 'to', 'study', 'abroad']","['baju', 'ralph', 'lauren', 'ke', 'adik', 'tu', 'pakai', 'im', 'minister', 'wont', 'easily', 'buy', 'memorandum', 'please', 'review', 'carefully', 'coz', 'mara', 'amanah', 'rakyat', 'rather', 'u', 'increase', 'allowance', 'perhaps', 'give', 'opportunity', 'poor', 'students', 'study', 'abroad']","['baju', 'ralph', 'lauren', 'ke', 'adik', 'tu', 'pakai', 'im', 'minist', 'wont', 'easili', 'buy', 'memorandum', 'pleas', 'review', 'care', 'coz', 'mara', 'amanah', 'rakyat', 'rather', 'u', 'increas', 'allow', 'perhap', 'give', 'opportun', 'poor', 'student', 'studi', 'abroad']","['baju', 'ralph', 'lauren', 'ke', 'adik', 'tu', 'pakai', 'im', 'minister', 'wont', 'easily', 'buy', 'memorandum', 'please', 'review', 'carefully', 'coz', 'mara', 'amanah', 'rakyat', 'rather', 'u', 'increase', 'allowance', 'perhaps', 'give', 'opportunity', 'poor', 'students', 'study', 'abroad']",1,Malaysia
2022-06-17 10:13:32+00:00,1537740218094170112,"When you’re talking about JPA-MARA allowance, you’re talking about students who were given scholarships based on their academic performance. 

It’s not really an apple-for-apple comparison la if you compare with those who attend universities under government subsidy. https://t.co/BJUrk35zGP",iammohsein,"Bangsar, KL | Ann Arbor, MI ",270,2,111,5,Maverick of some sorts. Definitely not an anonymous troll. Views are my own. #COYG #GoBlue〽️,1630,,when youre talking about jpamara allowance youre talking about students who were given scholarships based on their academic performance its not really an appleforapple comparison la if you compare with those who attend universities under government subsidy,"['when', 'youre', 'talking', 'about', 'jpamara', 'allowance', 'youre', 'talking', 'about', 'students', 'who', 'were', 'given', 'scholarships', 'based', 'on', 'their', 'academic', 'performance', 'its', 'not', 'really', 'an', 'appleforapple', 'comparison', 'la', 'if', 'you', 'compare', 'with', 'those', 'who', 'attend', 'universities', 'under', 'government', 'subsidy']","['youre', 'talking', 'jpamara', 'allowance', 'youre', 'talking', 'students', 'given', 'scholarships', 'based', 'academic', 'performance', 'really', 'appleforapple', 'comparison', 'la', 'compare', 'attend', 'universities', 'government', 'subsidy']","['your', 'talk', 'jpamara', 'allow', 'your', 'talk', 'student', 'given', 'scholarship', 'base', 'academ', 'perform', 'realli', 'appleforappl', 'comparison', 'la', 'compar', 'attend', 'univers', 'govern', 'subsidi']","['youre', 'talking', 'jpamara', 'allowance', 'youre', 'talking', 'students', 'given', 'scholarships', 'based', 'academic', 'performance', 'really', 'appleforapple', 'comparison', 'la', 'compare', 'attend', 'universities', 'government', 'subsidy']",2,Malaysia
2022-06-16 17:18:00+00:00,1537484651102601216,@kkrish_kumar22 He's not sponsored by JPA-MARA. A lot of non JPA-MARA students are helping push this issue together in solidarity. It has been 12 years since the last time their allowance rate was revised. Sent to the UK just to live precariously.,NazhrinFS,Malaysia,0,0,0,1,"History buff | Ugahari Kiri | UCL Law 🏛 | Ketua Pembangkang Konohagakure (part-time)

📢Support member ialah seruan solidariti kelas",1590,,hes not sponsored by jpamara a lot of non jpamara students are helping push this issue together in solidarity it has been 12 years since the last time their allowance rate was revised sent to the uk just to live precariously,"['hes', 'not', 'sponsored', 'by', 'jpamara', 'a', 'lot', 'of', 'non', 'jpamara', 'students', 'are', 'helping', 'push', 'this', 'issue', 'together', 'in', 'solidarity', 'it', 'has', 'been', '12', 'years', 'since', 'the', 'last', 'time', 'their', 'allowance', 'rate', 'was', 'revised', 'sent', 'to', 'the', 'uk', 'just', 'to', 'live', 'precariously']","['hes', 'sponsored', 'jpamara', 'lot', 'non', 'jpamara', 'students', 'helping', 'push', 'issue', 'together', 'solidarity', '12', 'years', 'since', 'last', 'time', 'allowance', 'rate', 'revised', 'sent', 'uk', 'live', 'precariously']","['he', 'sponsor', 'jpamara', 'lot', 'non', 'jpamara', 'student', 'help', 'push', 'issu', 'togeth', 'solidar', '12', 'year', 'sinc', 'last', 'time', 'allow', 'rate', 'revis', 'sent', 'uk', 'live', 'precari']","['hes', 'sponsored', 'jpamara', 'lot', 'non', 'jpamara', 'students', 'helping', 'push', 'issue', 'together', 'solidarity', '12', 'years', 'since', 'last', 'time', 'allowance', 'rate', 'revised', 'sent', 'uk', 'live', 'precariously']",1,Malaysia
2022-06-15 08:39:50+00:00,1536991860056801280,"Renew your car insurance with us to enjoy these irresistible benefit
1. Waiver of Betterment Cost
2. Agreed Value Coverage
3. All Drivers Coverage
4. Flood Relief Allowance
5. Key Care Cover
6. Insured/ Policy Holder Personal Accident Coverage
7. 24/7 Roadside &amp; Towing Assistance https://t.co/eNBZ1bJNWR",aapicotemerloh,"Temerloh, Pahang",1,0,0,0,"A high-quality, user-friendly online service platform for valued customers. We will create a series of exclusive services for you.",845,,renew your car insurance with us to enjoy these irresistible benefit 1 waiver of betterment cost 2 agreed value coverage 3 all drivers coverage 4 flood relief allowance 5 key care cover 6 insured policy holder personal accident coverage 7 247 roadside amp towing assistance,"['renew', 'your', 'car', 'insurance', 'with', 'us', 'to', 'enjoy', 'these', 'irresistible', 'benefit', '1', 'waiver', 'of', 'betterment', 'cost', '2', 'agreed', 'value', 'coverage', '3', 'all', 'drivers', 'coverage', '4', 'flood', 'relief', 'allowance', '5', 'key', 'care', 'cover', '6', 'insured', 'policy', 'holder', 'personal', 'accident', 'coverage', '7', '247', 'roadside', 'amp', 'towing', 'assistance']","['renew', 'car', 'insurance', 'us', 'enjoy', 'irresistible', 'benefit', '1', 'waiver', 'betterment', 'cost', '2', 'agreed', 'value', 'coverage', '3', 'drivers', 'coverage', '4', 'flood', 'relief', 'allowance', '5', 'key', 'care', 'cover', '6', 'insured', 'policy', 'holder', 'personal', 'accident', 'coverage', '7', '247', 'roadside', 'amp', 'towing', 'assistance']","['renew', 'car', 'insur', 'us', 'enjoy', 'irresist', 'benefit', '1', 'waiver', 'better', 'cost', '2', 'agre', 'valu', 'coverag', '3', 'driver', 'coverag', '4', 'flood', 'relief', 'allow', '5', 'key', 'care', 'cover', '6', 'insur', 'polici', 'holder', 'person', 'accid', 'coverag', '7', '247', 'roadsid', 'amp', 'tow', 'assist']","['renew', 'car', 'insurance', 'us', 'enjoy', 'irresistible', 'benefit', '1', 'waiver', 'betterment', 'cost', '2', 'agreed', 'value', 'coverage', '3', 'drivers', 'coverage', '4', 'flood', 'relief', 'allowance', '5', 'key', 'care', 'cover', '6', 'insured', 'policy', 'holder', 'personal', 'accident', 'coverage', '7', '247', 'roadside', 'amp', 'towing', 'assistance']",5,Malaysia
