Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-02-11 08:39:09+00:00,1359784021752963073,"@perthtravelers @carpediemeire @lannietravels @TravelBugsWorld @JourneyHeroApp @Adventuringgal @AOAOxymoron @Abfabtravels @tangoandrakija @lizzie_hubbard2 Very good point Wendy! Super long posts that dance all around a subject are frustrating, as well as really short posts that leave me with questions! I always enjoy reading your posts so I appreciate your thoughts! ☺️",jenny_travels,"Catania, Sicily",3,1,0,0,"Teacher by day, travel blogger by night, but always an adventurer at heart! Lover of castles, cocktails, and cool stories. Co-host of #FlashbackFridayz",7864,,very good point wendy super long posts that dance all around a subject are frustrating as well as really short posts that leave me with questions i always enjoy reading your posts so i appreciate your thoughts,"['very', 'good', 'point', 'wendy', 'super', 'long', 'posts', 'that', 'dance', 'all', 'around', 'a', 'subject', 'are', 'frustrating', 'as', 'well', 'as', 'really', 'short', 'posts', 'that', 'leave', 'me', 'with', 'questions', 'i', 'always', 'enjoy', 'reading', 'your', 'posts', 'so', 'i', 'appreciate', 'your', 'thoughts']","['good', 'point', 'wendy', 'super', 'long', 'posts', 'dance', 'around', 'subject', 'frustrating', 'well', 'really', 'short', 'posts', 'leave', 'questions', 'always', 'enjoy', 'reading', 'posts', 'appreciate', 'thoughts']","['good', 'point', 'wendi', 'super', 'long', 'post', 'danc', 'around', 'subject', 'frustrat', 'well', 'realli', 'short', 'post', 'leav', 'question', 'alway', 'enjoy', 'read', 'post', 'appreci', 'thought']","['good', 'point', 'wendy', 'super', 'long', 'posts', 'dance', 'around', 'subject', 'frustrating', 'well', 'really', 'short', 'posts', 'leave', 'questions', 'always', 'enjoy', 'reading', 'posts', 'appreciate', 'thoughts']",4,Malta
2022-06-04 21:01:07+00:00,1533192144076275716,Phil Embassy visited OFW Dexter Tayab in the hospital as soon as we received an FB message from his wife. He arrived safely in Manila via medical repatriation. OWWA provided the ambulance and he is with his wife at St. Luke’s QC. His wife extends her family’s appreciation. https://t.co/vM1TG9feoD,DayangJed,"Tripoli, Libya",2,0,0,0,"Diplomat, Public Servant, Patriot, Pro-family, Peace-oriented, Head of Mission of the Philippines Embassy in Tripoli",115,,phil embassy visited ofw dexter tayab in the hospital as soon as we received an fb message from his wife he arrived safely in manila via medical repatriation owwa provided the ambulance and he is with his wife at st lukes qc his wife extends her familys appreciation,"['phil', 'embassy', 'visited', 'ofw', 'dexter', 'tayab', 'in', 'the', 'hospital', 'as', 'soon', 'as', 'we', 'received', 'an', 'fb', 'message', 'from', 'his', 'wife', 'he', 'arrived', 'safely', 'in', 'manila', 'via', 'medical', 'repatriation', 'owwa', 'provided', 'the', 'ambulance', 'and', 'he', 'is', 'with', 'his', 'wife', 'at', 'st', 'lukes', 'qc', 'his', 'wife', 'extends', 'her', 'familys', 'appreciation']","['phil', 'embassy', 'visited', 'ofw', 'dexter', 'tayab', 'hospital', 'soon', 'received', 'fb', 'message', 'wife', 'arrived', 'safely', 'manila', 'via', 'medical', 'repatriation', 'owwa', 'provided', 'ambulance', 'wife', 'st', 'lukes', 'qc', 'wife', 'extends', 'familys', 'appreciation']","['phil', 'embassi', 'visit', 'ofw', 'dexter', 'tayab', 'hospit', 'soon', 'receiv', 'fb', 'messag', 'wife', 'arriv', 'safe', 'manila', 'via', 'medic', 'repatri', 'owwa', 'provid', 'ambul', 'wife', 'st', 'luke', 'qc', 'wife', 'extend', 'famili', 'appreci']","['phil', 'embassy', 'visited', 'ofw', 'dexter', 'tayab', 'hospital', 'soon', 'received', 'fb', 'message', 'wife', 'arrived', 'safely', 'manila', 'via', 'medical', 'repatriation', 'owwa', 'provided', 'ambulance', 'wife', 'st', 'lukes', 'qc', 'wife', 'extends', 'familys', 'appreciation']",5,Malta
2022-06-07 07:16:20+00:00,1534071746680086528,"Hi, #GirlCoders. Did you know registrations for our upcoming hackathon in August are now open? Register today to secure your seat. We have amazing prizes up for grabs, from TakeAlot vouchers, Superbalist, Mr D and awesome gadgets! Will you be there? https://t.co/GRrvLEuxgx",GirlCode_za,Africa,19,1,11,0,GirlCode provides training opportunities for girls and women interested in learning software development. || 🎙️ #GirlCoderTech Thursdays 2pm,11461,['GirlCoders'],hi girlcoders did you know registrations for our upcoming hackathon in august are now open register today to secure your seat we have amazing prizes up for grabs from takealot vouchers superbalist mr d and awesome gadgets will you be there,"['hi', 'girlcoders', 'did', 'you', 'know', 'registrations', 'for', 'our', 'upcoming', 'hackathon', 'in', 'august', 'are', 'now', 'open', 'register', 'today', 'to', 'secure', 'your', 'seat', 'we', 'have', 'amazing', 'prizes', 'up', 'for', 'grabs', 'from', 'takealot', 'vouchers', 'superbalist', 'mr', 'd', 'and', 'awesome', 'gadgets', 'will', 'you', 'be', 'there']","['hi', 'girlcoders', 'know', 'registrations', 'upcoming', 'hackathon', 'august', 'open', 'register', 'today', 'secure', 'seat', 'amazing', 'prizes', 'grabs', 'takealot', 'vouchers', 'superbalist', 'mr', 'awesome', 'gadgets']","['hi', 'girlcod', 'know', 'registr', 'upcom', 'hackathon', 'august', 'open', 'regist', 'today', 'secur', 'seat', 'amaz', 'prize', 'grab', 'takealot', 'voucher', 'superbalist', 'mr', 'awesom', 'gadget']","['hi', 'girlcoders', 'know', 'registrations', 'upcoming', 'hackathon', 'august', 'open', 'register', 'today', 'secure', 'seat', 'amazing', 'prizes', 'grabs', 'takealot', 'vouchers', 'superbalist', 'mr', 'awesome', 'gadgets']",5,Malta
2022-06-06 06:49:40+00:00,1533702645587890178,📣 Calling all tech-savvy students! Grow your skills and launch your career path with Microsoft fundamentals certifications – now free for qualified students. Claim your voucher today: https://t.co/CQYuz7SuED #MicrosoftLearn #MicrosoftCertified https://t.co/6nNETyutRZ,MSEduAfrica,Africa,2,0,0,1,Empowering every student and educator to achieve more with the best of Microsoft tips and resources for education. #MicrosoftEDU,45,"['MicrosoftLearn', 'MicrosoftCertified']",calling all techsavvy students grow your skills and launch your career path with microsoft fundamentals certifications now free for qualified students claim your voucher today microsoftlearn microsoftcertified,"['calling', 'all', 'techsavvy', 'students', 'grow', 'your', 'skills', 'and', 'launch', 'your', 'career', 'path', 'with', 'microsoft', 'fundamentals', 'certifications', 'now', 'free', 'for', 'qualified', 'students', 'claim', 'your', 'voucher', 'today', 'microsoftlearn', 'microsoftcertified']","['calling', 'techsavvy', 'students', 'grow', 'skills', 'launch', 'career', 'path', 'microsoft', 'fundamentals', 'certifications', 'free', 'qualified', 'students', 'claim', 'voucher', 'today', 'microsoftlearn', 'microsoftcertified']","['call', 'techsavvi', 'student', 'grow', 'skill', 'launch', 'career', 'path', 'microsoft', 'fundament', 'certif', 'free', 'qualifi', 'student', 'claim', 'voucher', 'today', 'microsoftlearn', 'microsoftcertifi']","['calling', 'techsavvy', 'students', 'grow', 'skills', 'launch', 'career', 'path', 'microsoft', 'fundamentals', 'certifications', 'free', 'qualified', 'students', 'claim', 'voucher', 'today', 'microsoftlearn', 'microsoftcertified']",5,Malta
2022-06-01 12:26:08+00:00,1531975382810902529,"season, and this year I joined 
my cousin on her campaign for climate change, ‘the green girls platform’.

 I love to travel and see 
new places especially interesting places including historical sites, and I also love paintings""",AfricaMatters15,Africa,0,1,0,0,"An initiative run by passionate African youth, aimed at changing the African narrative and promoting African Excellence. #WeAreTheOnesWeveBeenWaitingFor",1925,,season and this year i joined my cousin on her campaign for climate change the green girls platform i love to travel and see new places especially interesting places including historical sites and i also love paintings,"['season', 'and', 'this', 'year', 'i', 'joined', 'my', 'cousin', 'on', 'her', 'campaign', 'for', 'climate', 'change', 'the', 'green', 'girls', 'platform', 'i', 'love', 'to', 'travel', 'and', 'see', 'new', 'places', 'especially', 'interesting', 'places', 'including', 'historical', 'sites', 'and', 'i', 'also', 'love', 'paintings']","['season', 'year', 'joined', 'cousin', 'campaign', 'climate', 'change', 'green', 'girls', 'platform', 'love', 'travel', 'see', 'new', 'places', 'especially', 'interesting', 'places', 'including', 'historical', 'sites', 'also', 'love', 'paintings']","['season', 'year', 'join', 'cousin', 'campaign', 'climat', 'chang', 'green', 'girl', 'platform', 'love', 'travel', 'see', 'new', 'place', 'especi', 'interest', 'place', 'includ', 'histor', 'site', 'also', 'love', 'paint']","['season', 'year', 'joined', 'cousin', 'campaign', 'climate', 'change', 'green', 'girls', 'platform', 'love', 'travel', 'see', 'new', 'places', 'especially', 'interesting', 'places', 'including', 'historical', 'sites', 'also', 'love', 'paintings']",5,Malta
2022-06-07 13:06:32+00:00,1534159874392739843,"#Egypt (Headlines): Egypt to Host Travel Expo to Boost Post-Covid Tourism Recovery

https://t.co/f2tXkmEigT",NewsCentralTV,Africa,1,0,1,0,"Startimes CH 274.

We bring #Africa to the world, by telling the true African story from an African perspective, using diversity, creativity and technology.",8114,['Egypt'],egypt headlines egypt to host travel expo to boost postcovid tourism recovery,"['egypt', 'headlines', 'egypt', 'to', 'host', 'travel', 'expo', 'to', 'boost', 'postcovid', 'tourism', 'recovery']","['egypt', 'headlines', 'egypt', 'host', 'travel', 'expo', 'boost', 'postcovid', 'tourism', 'recovery']","['egypt', 'headlin', 'egypt', 'host', 'travel', 'expo', 'boost', 'postcovid', 'tourism', 'recoveri']","['egypt', 'headlines', 'egypt', 'host', 'travel', 'expo', 'boost', 'postcovid', 'tourism', 'recovery']",5,Malta
2022-04-08 13:57:34+00:00,1512429446938054660,Uber and Deliveroo discounts to lure young people in UK to get Covid jab https://t.co/yVFxTAPcSV #Taxi #Chauffeur #Malta https://t.co/CBz4JGA3vf,Cab4Now,London,0,0,1,0,"🇬🇧 UK & Malta's Favourite Chauffeur, Private Hire, Taxi & Minicab Website Since 2010. Free airport transfers for patrons in Malta - Patreon.com/Cab4Now | 🇲🇹",10288,"['Taxi', 'Chauffeur', 'Malta']",uber and deliveroo discounts to lure young people in uk to get covid jab taxi chauffeur malta,"['uber', 'and', 'deliveroo', 'discounts', 'to', 'lure', 'young', 'people', 'in', 'uk', 'to', 'get', 'covid', 'jab', 'taxi', 'chauffeur', 'malta']","['uber', 'deliveroo', 'discounts', 'lure', 'young', 'people', 'uk', 'get', 'covid', 'jab', 'taxi', 'chauffeur', 'malta']","['uber', 'deliveroo', 'discount', 'lure', 'young', 'peopl', 'uk', 'get', 'covid', 'jab', 'taxi', 'chauffeur', 'malta']","['uber', 'deliveroo', 'discounts', 'lure', 'young', 'people', 'uk', 'get', 'covid', 'jab', 'taxi', 'chauffeur', 'malta']",1,Malta
2022-01-06 16:58:10+00:00,1479135215218008067,@twotoned9 That sentence was meant as a positive remark to those people I know who wish to travel but are scared to. I was sharing my positive experience of my travel and dealing with covid while travelling. Not all I say has to be liked.,50ShadesofMags,Malta,0,0,0,0,"QUEENAGER. PLEASE BE KIND. NO HATE.  《fan account》
I GIVE NO PERMISSION FOR MY WORK TO BE PRINTED!",1810,,that sentence was meant as a positive remark to those people i know who wish to travel but are scared to i was sharing my positive experience of my travel and dealing with covid while travelling not all i say has to be liked,"['that', 'sentence', 'was', 'meant', 'as', 'a', 'positive', 'remark', 'to', 'those', 'people', 'i', 'know', 'who', 'wish', 'to', 'travel', 'but', 'are', 'scared', 'to', 'i', 'was', 'sharing', 'my', 'positive', 'experience', 'of', 'my', 'travel', 'and', 'dealing', 'with', 'covid', 'while', 'travelling', 'not', 'all', 'i', 'say', 'has', 'to', 'be', 'liked']","['sentence', 'meant', 'positive', 'remark', 'people', 'know', 'wish', 'travel', 'scared', 'sharing', 'positive', 'experience', 'travel', 'dealing', 'covid', 'travelling', 'say', 'liked']","['sentenc', 'meant', 'posit', 'remark', 'peopl', 'know', 'wish', 'travel', 'scare', 'share', 'posit', 'experi', 'travel', 'deal', 'covid', 'travel', 'say', 'like']","['sentence', 'meant', 'positive', 'remark', 'people', 'know', 'wish', 'travel', 'scared', 'sharing', 'positive', 'experience', 'travel', 'dealing', 'covid', 'travelling', 'say', 'liked']",3,Malta
2020-03-26 09:19:36+00:00,1243105311256391680,"#CoronaVirusAlert by Bobi Wine &amp; Nubian Li 🇬🇳
https://t.co/zrEV9vICpy 
#covid_19italia #coronavirus #iorestoincasa #andratuttobene 💚🤍❤️ #TuttoOk
#HealthyAtHome #BeActive #COVID19 
❤️ #HandWashing #StayAtHome ❤️
#BetterTogether #USA - #China - #Russia #TogetherWeStand #StaySafe",RaphaelTHarris,"Messina, Sicily",0,0,0,0,"Stylish Italian Property Brokerage, Development & Management covering Capri, Amalfi Coast, Sicily & Aeolian Islands.",2747,"['CoronaVirusAlert', 'covid_19italia', 'coronavirus', 'iorestoincasa', 'andratuttobene', 'TuttoOk', 'HealthyAtHome', 'BeActive', 'COVID19', 'HandWashing', 'StayAtHome', 'BetterTogether', 'USA', 'China', 'Russia', 'TogetherWeStand', 'StaySafe']",coronavirusalert by bobi wine amp nubian li covid19italia coronavirus iorestoincasa andratuttobene tuttook healthyathome beactive covid19 handwashing stayathome bettertogether usa china russia togetherwestand staysafe,"['coronavirusalert', 'by', 'bobi', 'wine', 'amp', 'nubian', 'li', 'covid19italia', 'coronavirus', 'iorestoincasa', 'andratuttobene', 'tuttook', 'healthyathome', 'beactive', 'covid19', 'handwashing', 'stayathome', 'bettertogether', 'usa', 'china', 'russia', 'togetherwestand', 'staysafe']","['coronavirusalert', 'bobi', 'wine', 'amp', 'nubian', 'li', 'covid19italia', 'coronavirus', 'iorestoincasa', 'andratuttobene', 'tuttook', 'healthyathome', 'beactive', 'covid19', 'handwashing', 'stayathome', 'bettertogether', 'usa', 'china', 'russia', 'togetherwestand', 'staysafe']","['coronavirusalert', 'bobi', 'wine', 'amp', 'nubian', 'li', 'covid19italia', 'coronaviru', 'iorestoincasa', 'andratuttoben', 'tuttook', 'healthyathom', 'beactiv', 'covid19', 'handwash', 'stayathom', 'bettertogeth', 'usa', 'china', 'russia', 'togetherwestand', 'staysaf']","['coronavirusalert', 'bobi', 'wine', 'amp', 'nubian', 'li', 'covid19italia', 'coronavirus', 'iorestoincasa', 'andratuttobene', 'tuttook', 'healthyathome', 'beactive', 'covid19', 'handwashing', 'stayathome', 'bettertogether', 'usa', 'china', 'russia', 'togetherwestand', 'staysafe']",3,Malta
2020-03-07 10:16:10+00:00,1236234177609166850,"BREAKING: First confirmed case of COVID-19 coronavirus in Malta is girl, 8, who travelled to Rome and was already in quarantine • Health minster holds press conference: WATCH LIVE (MaltaToday) 
 
#coronavirus #COVID19 #COVIDー19 #COVID_19 
https://t.co/ZaYj55Cslw",MaltaBreaking,Malta,2,0,4,4,"Real-time feed of Maltese “BREAKING NEWS”, as defined by Malta's leading news outlets. Non-commercial hobby project.

Also on Telegram: t.me/MaltaBreaking",2371,"['coronavirus', 'COVID19', 'COVIDー19', 'COVID_19']",breaking first confirmed case of covid19 coronavirus in malta is girl 8 who travelled to rome and was already in quarantine health minster holds press conference watch live maltatoday coronavirus covid19 covid19 covid19,"['breaking', 'first', 'confirmed', 'case', 'of', 'covid19', 'coronavirus', 'in', 'malta', 'is', 'girl', '8', 'who', 'travelled', 'to', 'rome', 'and', 'was', 'already', 'in', 'quarantine', 'health', 'minster', 'holds', 'press', 'conference', 'watch', 'live', 'maltatoday', 'coronavirus', 'covid19', 'covid19', 'covid19']","['breaking', 'first', 'confirmed', 'case', 'covid19', 'coronavirus', 'malta', 'girl', '8', 'travelled', 'rome', 'already', 'quarantine', 'health', 'minster', 'holds', 'press', 'conference', 'watch', 'live', 'maltatoday', 'coronavirus', 'covid19', 'covid19', 'covid19']","['break', 'first', 'confirm', 'case', 'covid19', 'coronaviru', 'malta', 'girl', '8', 'travel', 'rome', 'alreadi', 'quarantin', 'health', 'minster', 'hold', 'press', 'confer', 'watch', 'live', 'maltatoday', 'coronaviru', 'covid19', 'covid19', 'covid19']","['breaking', 'first', 'confirmed', 'case', 'covid19', 'coronavirus', 'malta', 'girl', '8', 'travelled', 'rome', 'already', 'quarantine', 'health', 'minster', 'holds', 'press', 'conference', 'watch', 'live', 'maltatoday', 'coronavirus', 'covid19', 'covid19', 'covid19']",1,Malta
