Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-05-31 17:03:25+00:00,1267139633776918528,Tripeando en #Cuzco https://t.co/OWMFYqB6lh 🔝 #YoMeQuedoEnCasa #COVID__19 #vlog #travel #estilodevida #youtube #moda #amigos #outdoors #lifestyle https://t.co/W8zFVLgWP2,raysaatenea,"Lima, Peru",0,0,0,0,𝘼𝙧𝙩 - 𝙑𝙚𝙜𝙜𝙞𝙚 - 𝙍𝙚𝙖𝙡 𝙎𝙩𝙖𝙩𝙚,557,"['Cuzco', 'YoMeQuedoEnCasa', 'COVID__19', 'vlog', 'travel', 'estilodevida', 'youtube', 'moda', 'amigos', 'outdoors', 'lifestyle']",tripeando en cuzco yomequedoencasa covid19 vlog travel estilodevida youtube moda amigos outdoors lifestyle,"['tripeando', 'en', 'cuzco', 'yomequedoencasa', 'covid19', 'vlog', 'travel', 'estilodevida', 'youtube', 'moda', 'amigos', 'outdoors', 'lifestyle']","['tripeando', 'en', 'cuzco', 'yomequedoencasa', 'covid19', 'vlog', 'travel', 'estilodevida', 'youtube', 'moda', 'amigos', 'outdoors', 'lifestyle']","['tripeando', 'en', 'cuzco', 'yomequedoencasa', 'covid19', 'vlog', 'travel', 'estilodevida', 'youtub', 'moda', 'amigo', 'outdoor', 'lifestyl']","['tripeando', 'en', 'cuzco', 'yomequedoencasa', 'covid19', 'vlog', 'travel', 'estilodevida', 'youtube', 'moda', 'amigos', 'outdoors', 'lifestyle']",4,Peru
2022-06-01 11:19:37+00:00,1531958643825983498,Tic Tac Toe (Bonus Track) https://t.co/XVGmGp7joR via @YouTube,fm_floresta,"Minas Gerais, Brasil",0,0,0,0,"Um novo conceito de webradio.
Pensando em uma floresta, onde o que importa é a sua bio, a FlorestaFM se baseia na diversidade musical, tocando vários gêneros.",11,,tic tac toe bonus track via,"['tic', 'tac', 'toe', 'bonus', 'track', 'via']","['tic', 'tac', 'toe', 'bonus', 'track', 'via']","['tic', 'tac', 'toe', 'bonu', 'track', 'via']","['tic', 'tac', 'toe', 'bonus', 'track', 'via']",4,Peru
2022-05-31 23:38:58+00:00,1531782320037961729,"@natsechobbyist I say we put armed combat veterans in the schools with the children. There will be no question of courage, capability, and as and added bonus to protecting our children we will drastically reduce the number of unemployed veterans.",Craig5994148011,Nunya,0,0,0,0,U.S. Army veteran 2 tours in Iraq. Happily married. Father. Patriot. Republican. Don’t assume you know me because you don’t.,38,,i say we put armed combat veterans in the schools with the children there will be no question of courage capability and as and added bonus to protecting our children we will drastically reduce the number of unemployed veterans,"['i', 'say', 'we', 'put', 'armed', 'combat', 'veterans', 'in', 'the', 'schools', 'with', 'the', 'children', 'there', 'will', 'be', 'no', 'question', 'of', 'courage', 'capability', 'and', 'as', 'and', 'added', 'bonus', 'to', 'protecting', 'our', 'children', 'we', 'will', 'drastically', 'reduce', 'the', 'number', 'of', 'unemployed', 'veterans']","['say', 'put', 'armed', 'combat', 'veterans', 'schools', 'children', 'question', 'courage', 'capability', 'added', 'bonus', 'protecting', 'children', 'drastically', 'reduce', 'number', 'unemployed', 'veterans']","['say', 'put', 'arm', 'combat', 'veteran', 'school', 'children', 'question', 'courag', 'capabl', 'ad', 'bonu', 'protect', 'children', 'drastic', 'reduc', 'number', 'unemploy', 'veteran']","['say', 'put', 'armed', 'combat', 'veterans', 'schools', 'children', 'question', 'courage', 'capability', 'added', 'bonus', 'protecting', 'children', 'drastically', 'reduce', 'number', 'unemployed', 'veterans']",5,Peru
2022-05-21 02:36:27+00:00,1527840715472084993,"Escuchar Deftones, foo fighters, Foals, band of Horses, Tool y The 1975 para chambear, y culminar la chamba con Pouya, King Crimson, Garry Moore, The velvet Under, Zebra, Matisyahu, Soja y Rammstein, el Can.
Bonus: Jack White,KGTLW, Pop Smoke, y mi causa Don Omar, y Jack Harlow.",Tiodeath16,,1,1,0,0,"Pokemanico, metal salsa, todo ritmo pero con su 🍺 en la mano. La U es La U.🇵🇪 

Escribo o veo anime para calmarme, desde las 3 am más o menos.",452,,escuchar deftones foo fighters foals band of horses tool y the 1975 para chambear y culminar la chamba con pouya king crimson garry moore the velvet under zebra matisyahu soja y rammstein el can bonus jack whitekgtlw pop smoke y mi causa don omar y jack harlow,"['escuchar', 'deftones', 'foo', 'fighters', 'foals', 'band', 'of', 'horses', 'tool', 'y', 'the', '1975', 'para', 'chambear', 'y', 'culminar', 'la', 'chamba', 'con', 'pouya', 'king', 'crimson', 'garry', 'moore', 'the', 'velvet', 'under', 'zebra', 'matisyahu', 'soja', 'y', 'rammstein', 'el', 'can', 'bonus', 'jack', 'whitekgtlw', 'pop', 'smoke', 'y', 'mi', 'causa', 'don', 'omar', 'y', 'jack', 'harlow']","['escuchar', 'deftones', 'foo', 'fighters', 'foals', 'band', 'horses', 'tool', '1975', 'para', 'chambear', 'culminar', 'la', 'chamba', 'con', 'pouya', 'king', 'crimson', 'garry', 'moore', 'velvet', 'zebra', 'matisyahu', 'soja', 'rammstein', 'el', 'bonus', 'jack', 'whitekgtlw', 'pop', 'smoke', 'mi', 'causa', 'omar', 'jack', 'harlow']","['escuchar', 'defton', 'foo', 'fighter', 'foal', 'band', 'hors', 'tool', '1975', 'para', 'chambear', 'culminar', 'la', 'chamba', 'con', 'pouya', 'king', 'crimson', 'garri', 'moor', 'velvet', 'zebra', 'matisyahu', 'soja', 'rammstein', 'el', 'bonu', 'jack', 'whitekgtlw', 'pop', 'smoke', 'mi', 'causa', 'omar', 'jack', 'harlow']","['escuchar', 'deftones', 'foo', 'fighters', 'foals', 'band', 'horses', 'tool', '1975', 'para', 'chambear', 'culminar', 'la', 'chamba', 'con', 'pouya', 'king', 'crimson', 'garry', 'moore', 'velvet', 'zebra', 'matisyahu', 'soja', 'rammstein', 'el', 'bonus', 'jack', 'whitekgtlw', 'pop', 'smoke', 'mi', 'causa', 'omar', 'jack', 'harlow']",5,Peru
2021-05-30 13:05:30+00:00,1398988943954165761,"@ShibInformer @SHIBA_BONUS @SHIBA_AIRDROP @LeashToken This is my blacklist scams and there are still more friends, please take care. I hope this contribution helps you in something. https://t.co/foUuiCEiMi",RMALL1976,,0,0,1,0,Mirar al otro lado siempre ¡¡¡,22,,this is my blacklist scams and there are still more friends please take care i hope this contribution helps you in something,"['this', 'is', 'my', 'blacklist', 'scams', 'and', 'there', 'are', 'still', 'more', 'friends', 'please', 'take', 'care', 'i', 'hope', 'this', 'contribution', 'helps', 'you', 'in', 'something']","['blacklist', 'scams', 'still', 'friends', 'please', 'take', 'care', 'hope', 'contribution', 'helps', 'something']","['blacklist', 'scam', 'still', 'friend', 'pleas', 'take', 'care', 'hope', 'contribut', 'help', 'someth']","['blacklist', 'scams', 'still', 'friends', 'please', 'take', 'care', 'hope', 'contribution', 'helps', 'something']",5,Peru
2021-05-22 00:12:51+00:00,1395895397046964226,"@TheKpopProf I doubt the Biden team cares about those soldiers, honestly. It cares about the strategic military value of presence in Korea and wants to get a bonus of having the gullible believe there’s some sort of generosity or altruism in play. 

The USA doesn’t care about its own soldiers",abbysyarns,"Ollantaytambo, Peru",0,0,0,0,she/her. Opinionated and outspoken author of Respect The Spindle. Lives in Peru en.m.wikipedia.org/wiki/Abby_Fran… patreon.com/abbysyarns,8336,,i doubt the biden team cares about those soldiers honestly it cares about the strategic military value of presence in korea and wants to get a bonus of having the gullible believe theres some sort of generosity or altruism in play the usa doesnt care about its own soldiers,"['i', 'doubt', 'the', 'biden', 'team', 'cares', 'about', 'those', 'soldiers', 'honestly', 'it', 'cares', 'about', 'the', 'strategic', 'military', 'value', 'of', 'presence', 'in', 'korea', 'and', 'wants', 'to', 'get', 'a', 'bonus', 'of', 'having', 'the', 'gullible', 'believe', 'theres', 'some', 'sort', 'of', 'generosity', 'or', 'altruism', 'in', 'play', 'the', 'usa', 'doesnt', 'care', 'about', 'its', 'own', 'soldiers']","['doubt', 'biden', 'team', 'cares', 'soldiers', 'honestly', 'cares', 'strategic', 'military', 'value', 'presence', 'korea', 'wants', 'get', 'bonus', 'gullible', 'believe', 'theres', 'sort', 'generosity', 'altruism', 'play', 'usa', 'doesnt', 'care', 'soldiers']","['doubt', 'biden', 'team', 'care', 'soldier', 'honestli', 'care', 'strateg', 'militari', 'valu', 'presenc', 'korea', 'want', 'get', 'bonu', 'gullibl', 'believ', 'there', 'sort', 'generos', 'altruism', 'play', 'usa', 'doesnt', 'care', 'soldier']","['doubt', 'biden', 'team', 'cares', 'soldiers', 'honestly', 'cares', 'strategic', 'military', 'value', 'presence', 'korea', 'wants', 'get', 'bonus', 'gullible', 'believe', 'theres', 'sort', 'generosity', 'altruism', 'play', 'usa', 'doesnt', 'care', 'soldiers']",2,Peru
2022-06-04 06:00:00+00:00,1532965370885197825,"As well as his #physical and #mental #health, Javier cares the coherence of harmony and message although it costed him to be #censored. Ending 2012, @YouTube... 
Read more on my #NelsonBlog https://t.co/GXLiOU7EAx  #Follow @ChulucanasGym",nelsonsullana,"sullana, Piura, Perú",0,0,1,0,"Producer, @factortierra @chulucanasgym
Contributing producer @ElRegionalPiura
Producer/host, copyeditor, copywriter, contents trainer.
#3alhilo #columnaNelson",650,"['physical', 'mental', 'health', 'censored', 'NelsonBlog', 'Follow']",as well as his physical and mental health javier cares the coherence of harmony and message although it costed him to be censored ending 2012 read more on my nelsonblog follow,"['as', 'well', 'as', 'his', 'physical', 'and', 'mental', 'health', 'javier', 'cares', 'the', 'coherence', 'of', 'harmony', 'and', 'message', 'although', 'it', 'costed', 'him', 'to', 'be', 'censored', 'ending', '2012', 'read', 'more', 'on', 'my', 'nelsonblog', 'follow']","['well', 'physical', 'mental', 'health', 'javier', 'cares', 'coherence', 'harmony', 'message', 'although', 'costed', 'censored', 'ending', '2012', 'read', 'nelsonblog', 'follow']","['well', 'physic', 'mental', 'health', 'javier', 'care', 'coher', 'harmoni', 'messag', 'although', 'cost', 'censor', 'end', '2012', 'read', 'nelsonblog', 'follow']","['well', 'physical', 'mental', 'health', 'javier', 'cares', 'coherence', 'harmony', 'message', 'although', 'costed', 'censored', 'ending', '2012', 'read', 'nelsonblog', 'follow']",4,Peru
2022-06-04 06:00:00+00:00,1532965370885197825,"As well as his #physical and #mental #health, Javier cares the coherence of harmony and message although it costed him to be #censored. Ending 2012, @YouTube... 
Read more on my #NelsonBlog https://t.co/GXLiOU7EAx  #Follow @ChulucanasGym",nelsonsullana,"sullana, Piura, Perú",0,0,1,0,"Producer, @factortierra @chulucanasgym
Contributing producer @ElRegionalPiura
Producer/host, copyeditor, copywriter, contents trainer.
#3alhilo #columnaNelson",650,"['physical', 'mental', 'health', 'censored', 'NelsonBlog', 'Follow']",as well as his physical and mental health javier cares the coherence of harmony and message although it costed him to be censored ending 2012 read more on my nelsonblog follow,"['as', 'well', 'as', 'his', 'physical', 'and', 'mental', 'health', 'javier', 'cares', 'the', 'coherence', 'of', 'harmony', 'and', 'message', 'although', 'it', 'costed', 'him', 'to', 'be', 'censored', 'ending', '2012', 'read', 'more', 'on', 'my', 'nelsonblog', 'follow']","['well', 'physical', 'mental', 'health', 'javier', 'cares', 'coherence', 'harmony', 'message', 'although', 'costed', 'censored', 'ending', '2012', 'read', 'nelsonblog', 'follow']","['well', 'physic', 'mental', 'health', 'javier', 'care', 'coher', 'harmoni', 'messag', 'although', 'cost', 'censor', 'end', '2012', 'read', 'nelsonblog', 'follow']","['well', 'physical', 'mental', 'health', 'javier', 'cares', 'coherence', 'harmony', 'message', 'although', 'costed', 'censored', 'ending', '2012', 'read', 'nelsonblog', 'follow']",4,Peru
2022-05-10 02:55:27+00:00,1523859231270653959,@Jayecane Hi Jay. That would be a wish come true. It's been 12 years since I have seen my mother. I have heard recently that her health is very bad and so I am looking high and low to look for money to buy a ticket to travel from Lima Peru to England to see her one more time...,MaczanoS,,1,1,1,0,Just a normal guy.,41,,hi jay that would be a wish come true its been 12 years since i have seen my mother i have heard recently that her health is very bad and so i am looking high and low to look for money to buy a ticket to travel from lima peru to england to see her one more time,"['hi', 'jay', 'that', 'would', 'be', 'a', 'wish', 'come', 'true', 'its', 'been', '12', 'years', 'since', 'i', 'have', 'seen', 'my', 'mother', 'i', 'have', 'heard', 'recently', 'that', 'her', 'health', 'is', 'very', 'bad', 'and', 'so', 'i', 'am', 'looking', 'high', 'and', 'low', 'to', 'look', 'for', 'money', 'to', 'buy', 'a', 'ticket', 'to', 'travel', 'from', 'lima', 'peru', 'to', 'england', 'to', 'see', 'her', 'one', 'more', 'time']","['hi', 'jay', 'would', 'wish', 'come', 'true', '12', 'years', 'since', 'seen', 'mother', 'heard', 'recently', 'health', 'bad', 'looking', 'high', 'low', 'look', 'money', 'buy', 'ticket', 'travel', 'lima', 'peru', 'england', 'see', 'one', 'time']","['hi', 'jay', 'would', 'wish', 'come', 'true', '12', 'year', 'sinc', 'seen', 'mother', 'heard', 'recent', 'health', 'bad', 'look', 'high', 'low', 'look', 'money', 'buy', 'ticket', 'travel', 'lima', 'peru', 'england', 'see', 'one', 'time']","['hi', 'jay', 'would', 'wish', 'come', 'true', '12', 'years', 'since', 'seen', 'mother', 'heard', 'recently', 'health', 'bad', 'looking', 'high', 'low', 'look', 'money', 'buy', 'ticket', 'travel', 'lima', 'peru', 'england', 'see', 'one', 'time']",3,Peru
2021-12-25 00:21:02+00:00,1474535623759474691,"At the holiday season, our thoughts turn gratefully to those who have made our progress possible.

It is in this spirit that we say: Thank you!, and we wish you a happy holiday season and a new year of health, happiness and prosperity
🍷🍷🎄🎄

Lima Cabs
Private tours &amp; Transfers",LIMACABS,"Lima, Peru",0,0,0,0,We provide transportation services and Private tours in Lima such as tailored tours or shore excursions whether you travel for tourism or business.,87,,at the holiday season our thoughts turn gratefully to those who have made our progress possible it is in this spirit that we say thank you and we wish you a happy holiday season and a new year of health happiness and prosperity lima cabs private tours amp transfers,"['at', 'the', 'holiday', 'season', 'our', 'thoughts', 'turn', 'gratefully', 'to', 'those', 'who', 'have', 'made', 'our', 'progress', 'possible', 'it', 'is', 'in', 'this', 'spirit', 'that', 'we', 'say', 'thank', 'you', 'and', 'we', 'wish', 'you', 'a', 'happy', 'holiday', 'season', 'and', 'a', 'new', 'year', 'of', 'health', 'happiness', 'and', 'prosperity', 'lima', 'cabs', 'private', 'tours', 'amp', 'transfers']","['holiday', 'season', 'thoughts', 'turn', 'gratefully', 'made', 'progress', 'possible', 'spirit', 'say', 'thank', 'wish', 'happy', 'holiday', 'season', 'new', 'year', 'health', 'happiness', 'prosperity', 'lima', 'cabs', 'private', 'tours', 'amp', 'transfers']","['holiday', 'season', 'thought', 'turn', 'grate', 'made', 'progress', 'possibl', 'spirit', 'say', 'thank', 'wish', 'happi', 'holiday', 'season', 'new', 'year', 'health', 'happi', 'prosper', 'lima', 'cab', 'privat', 'tour', 'amp', 'transfer']","['holiday', 'season', 'thoughts', 'turn', 'gratefully', 'made', 'progress', 'possible', 'spirit', 'say', 'thank', 'wish', 'happy', 'holiday', 'season', 'new', 'year', 'health', 'happiness', 'prosperity', 'lima', 'cabs', 'private', 'tours', 'amp', 'transfers']",5,Peru
