Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 06:18:50+00:00,1533332499501568000,The song #FELIP_Bulan by @felipsuperior #FELIP is for everyone. Fans &amp; music enthusiasts appreciate how refreshing it sounds as it's inspired by many music genres. The message resonates with anyone fighting personal battles &amp; the youth who needs to be reminded of their culture.🌙 https://t.co/BGzWOBPUxE,ATIN2lang,Republic of the Philippines,16.0,0.0,42.0,0.0,"💙 A Fan Account | 🐥 An A'TIN choosing to be kind.
About SB19 🔗sb19official.com",3567.0,"['FELIP_Bulan', 'FELIP']",the song felipbulan by felip is for everyone fans amp music enthusiasts appreciate how refreshing it sounds as its inspired by many music genres the message resonates with anyone fighting personal battles amp the youth who needs to be reminded of their culture,"['the', 'song', 'felipbulan', 'by', 'felip', 'is', 'for', 'everyone', 'fans', 'amp', 'music', 'enthusiasts', 'appreciate', 'how', 'refreshing', 'it', 'sounds', 'as', 'its', 'inspired', 'by', 'many', 'music', 'genres', 'the', 'message', 'resonates', 'with', 'anyone', 'fighting', 'personal', 'battles', 'amp', 'the', 'youth', 'who', 'needs', 'to', 'be', 'reminded', 'of', 'their', 'culture']","['song', 'felipbulan', 'felip', 'everyone', 'fans', 'amp', 'music', 'enthusiasts', 'appreciate', 'refreshing', 'sounds', 'inspired', 'many', 'music', 'genres', 'message', 'resonates', 'anyone', 'fighting', 'personal', 'battles', 'amp', 'youth', 'needs', 'reminded', 'culture']","['song', 'felipbulan', 'felip', 'everyon', 'fan', 'amp', 'music', 'enthusiast', 'appreci', 'refresh', 'sound', 'inspir', 'mani', 'music', 'genr', 'messag', 'reson', 'anyon', 'fight', 'person', 'battl', 'amp', 'youth', 'need', 'remind', 'cultur']","['song', 'felipbulan', 'felip', 'everyone', 'fans', 'amp', 'music', 'enthusiasts', 'appreciate', 'refreshing', 'sounds', 'inspired', 'many', 'music', 'genres', 'message', 'resonates', 'anyone', 'fighting', 'personal', 'battles', 'amp', 'youth', 'needs', 'reminded', 'culture']",4,Philippines
2022-06-04 06:05:06+00:00,1532966656900681732,"I'm planning to start vlogging for my yt and patre0n soon but I'd like a case and neck strap for traveling purposes ✨️🌸
I'd greatly appreciate your support in sharing my commissi0ns, checking out my sh0p, or sending a ko-fi~! 💖💌 https://t.co/Xm9vOfqDfw https://t.co/sr3jLrlKbJ",subaong,Hawaii,0.0,1.0,0.0,0.0,Hawaiian/Japanese ★ She/Her ★ 27 ★ ISJF ★ ∞❤ ★ 日本語🆗️,296.0,,im planning to start vlogging for my yt and patre0n soon but id like a case and neck strap for traveling purposes id greatly appreciate your support in sharing my commissi0ns checking out my sh0p or sending a kofi,"['im', 'planning', 'to', 'start', 'vlogging', 'for', 'my', 'yt', 'and', 'patre0n', 'soon', 'but', 'id', 'like', 'a', 'case', 'and', 'neck', 'strap', 'for', 'traveling', 'purposes', 'id', 'greatly', 'appreciate', 'your', 'support', 'in', 'sharing', 'my', 'commissi0ns', 'checking', 'out', 'my', 'sh0p', 'or', 'sending', 'a', 'kofi']","['im', 'planning', 'start', 'vlogging', 'yt', 'patre0n', 'soon', 'id', 'like', 'case', 'neck', 'strap', 'traveling', 'purposes', 'id', 'greatly', 'appreciate', 'support', 'sharing', 'commissi0ns', 'checking', 'sh0p', 'sending', 'kofi']","['im', 'plan', 'start', 'vlog', 'yt', 'patre0n', 'soon', 'id', 'like', 'case', 'neck', 'strap', 'travel', 'purpos', 'id', 'greatli', 'appreci', 'support', 'share', 'commissi0n', 'check', 'sh0p', 'send', 'kofi']","['im', 'planning', 'start', 'vlogging', 'yt', 'patre0n', 'soon', 'id', 'like', 'case', 'neck', 'strap', 'traveling', 'purposes', 'id', 'greatly', 'appreciate', 'support', 'sharing', 'commissi0ns', 'checking', 'sh0p', 'sending', 'kofi']",4,Philippines
2022-06-03 19:38:19+00:00,1532808919650709504,"@mstraveler 'Dai, wala ka nang maconvinced dai. Tama na yan. If it's not seen or felt by many yang PNOY legacy mo that means it didn't happen. Majority despise the Aquino admin which means wala syang magandang nagawa for the people to appreciate as simple as that. Kbye😆",Ragsak87,Quezon City,0.0,0.0,0.0,0.0,Goal-digger na magsasaka.,145.0,,dai wala ka nang maconvinced dai tama na yan if its not seen or felt by many yang pnoy legacy mo that means it didnt happen majority despise the aquino admin which means wala syang magandang nagawa for the people to appreciate as simple as that kbye,"['dai', 'wala', 'ka', 'nang', 'maconvinced', 'dai', 'tama', 'na', 'yan', 'if', 'its', 'not', 'seen', 'or', 'felt', 'by', 'many', 'yang', 'pnoy', 'legacy', 'mo', 'that', 'means', 'it', 'didnt', 'happen', 'majority', 'despise', 'the', 'aquino', 'admin', 'which', 'means', 'wala', 'syang', 'magandang', 'nagawa', 'for', 'the', 'people', 'to', 'appreciate', 'as', 'simple', 'as', 'that', 'kbye']","['dai', 'wala', 'ka', 'nang', 'maconvinced', 'dai', 'tama', 'na', 'yan', 'seen', 'felt', 'many', 'yang', 'pnoy', 'legacy', 'mo', 'means', 'didnt', 'happen', 'majority', 'despise', 'aquino', 'admin', 'means', 'wala', 'syang', 'magandang', 'nagawa', 'people', 'appreciate', 'simple', 'kbye']","['dai', 'wala', 'ka', 'nang', 'maconvinc', 'dai', 'tama', 'na', 'yan', 'seen', 'felt', 'mani', 'yang', 'pnoy', 'legaci', 'mo', 'mean', 'didnt', 'happen', 'major', 'despis', 'aquino', 'admin', 'mean', 'wala', 'syang', 'magandang', 'nagawa', 'peopl', 'appreci', 'simpl', 'kbye']","['dai', 'wala', 'ka', 'nang', 'maconvinced', 'dai', 'tama', 'na', 'yan', 'seen', 'felt', 'many', 'yang', 'pnoy', 'legacy', 'mo', 'means', 'didnt', 'happen', 'majority', 'despise', 'aquino', 'admin', 'means', 'wala', 'syang', 'magandang', 'nagawa', 'people', 'appreciate', 'simple', 'kbye']",1,Philippines
2022-05-30 15:24:10+00:00,1531295410090029059,"If you found me sending someone a message that I look like I ""care"" for him/her, don't overthink it. My in-real-life friends know me more than that. 

It's either you will appreciate, or get disgusted with me.  

Easy right? Life works easy—you will just find a way to end it.",henrysiyaaa,Philippines ,0.0,1.0,0.0,0.0,"Learning more--investing more, earning more even better! I trade with indicators that form good setups, generating growth.",75.0,,if you found me sending someone a message that i look like i care for himher dont overthink it my inreallife friends know me more than that its either you will appreciate or get disgusted with me easy right life works easyyou will just find a way to end it,"['if', 'you', 'found', 'me', 'sending', 'someone', 'a', 'message', 'that', 'i', 'look', 'like', 'i', 'care', 'for', 'himher', 'dont', 'overthink', 'it', 'my', 'inreallife', 'friends', 'know', 'me', 'more', 'than', 'that', 'its', 'either', 'you', 'will', 'appreciate', 'or', 'get', 'disgusted', 'with', 'me', 'easy', 'right', 'life', 'works', 'easyyou', 'will', 'just', 'find', 'a', 'way', 'to', 'end', 'it']","['found', 'sending', 'someone', 'message', 'look', 'like', 'care', 'himher', 'dont', 'overthink', 'inreallife', 'friends', 'know', 'either', 'appreciate', 'get', 'disgusted', 'easy', 'right', 'life', 'works', 'easyyou', 'find', 'way', 'end']","['found', 'send', 'someon', 'messag', 'look', 'like', 'care', 'himher', 'dont', 'overthink', 'inreallif', 'friend', 'know', 'either', 'appreci', 'get', 'disgust', 'easi', 'right', 'life', 'work', 'easyy', 'find', 'way', 'end']","['found', 'sending', 'someone', 'message', 'look', 'like', 'care', 'himher', 'dont', 'overthink', 'inreallife', 'friends', 'know', 'either', 'appreciate', 'get', 'disgusted', 'easy', 'right', 'life', 'works', 'easyyou', 'find', 'way', 'end']",1,Philippines
2022-05-12 04:23:31+00:00,1524606169507328000,"I appreciate my friends, who's sending me personal messages. I know that u still coping up on the result. And praying for the plot twist. Isang mahigpit na yakap mga bebe ko. Titindig pa rin tayo! 🤗",rckthlnbsnr_,heaven,2.0,0.0,0.0,0.0,T R A P P E D,119.0,,i appreciate my friends whos sending me personal messages i know that u still coping up on the result and praying for the plot twist isang mahigpit na yakap mga bebe ko titindig pa rin tayo,"['i', 'appreciate', 'my', 'friends', 'whos', 'sending', 'me', 'personal', 'messages', 'i', 'know', 'that', 'u', 'still', 'coping', 'up', 'on', 'the', 'result', 'and', 'praying', 'for', 'the', 'plot', 'twist', 'isang', 'mahigpit', 'na', 'yakap', 'mga', 'bebe', 'ko', 'titindig', 'pa', 'rin', 'tayo']","['appreciate', 'friends', 'whos', 'sending', 'personal', 'messages', 'know', 'u', 'still', 'coping', 'result', 'praying', 'plot', 'twist', 'isang', 'mahigpit', 'na', 'yakap', 'mga', 'bebe', 'ko', 'titindig', 'pa', 'rin', 'tayo']","['appreci', 'friend', 'who', 'send', 'person', 'messag', 'know', 'u', 'still', 'cope', 'result', 'pray', 'plot', 'twist', 'isang', 'mahigpit', 'na', 'yakap', 'mga', 'bebe', 'ko', 'titindig', 'pa', 'rin', 'tayo']","['appreciate', 'friends', 'whos', 'sending', 'personal', 'messages', 'know', 'u', 'still', 'coping', 'result', 'praying', 'plot', 'twist', 'isang', 'mahigpit', 'na', 'yakap', 'mga', 'bebe', 'ko', 'titindig', 'pa', 'rin', 'tayo']",3,Philippines
2022-05-10 15:19:29+00:00,1524046472458960897,"Funny how her message has diffused the anger in me. Ma'am, it has been a privileged fighting for this country with you. Di pa nila nakikita ngayon, pero sa tamang panahon, they will appreciate what you have given us. Hope.

Tabi lahat ng TOTGA, ikaw ang ultimate TOTGA namen. 🫰🌸 https://t.co/dOKRxw97T9",gleniedoodle,In a galaxy far away...,2.0,0.0,0.0,0.0,been doodling on her notebook since childhood,88.0,,funny how her message has diffused the anger in me maam it has been a privileged fighting for this country with you di pa nila nakikita ngayon pero sa tamang panahon they will appreciate what you have given us hope tabi lahat ng totga ikaw ang ultimate totga namen,"['funny', 'how', 'her', 'message', 'has', 'diffused', 'the', 'anger', 'in', 'me', 'maam', 'it', 'has', 'been', 'a', 'privileged', 'fighting', 'for', 'this', 'country', 'with', 'you', 'di', 'pa', 'nila', 'nakikita', 'ngayon', 'pero', 'sa', 'tamang', 'panahon', 'they', 'will', 'appreciate', 'what', 'you', 'have', 'given', 'us', 'hope', 'tabi', 'lahat', 'ng', 'totga', 'ikaw', 'ang', 'ultimate', 'totga', 'namen']","['funny', 'message', 'diffused', 'anger', 'maam', 'privileged', 'fighting', 'country', 'di', 'pa', 'nila', 'nakikita', 'ngayon', 'pero', 'sa', 'tamang', 'panahon', 'appreciate', 'given', 'us', 'hope', 'tabi', 'lahat', 'ng', 'totga', 'ikaw', 'ang', 'ultimate', 'totga', 'namen']","['funni', 'messag', 'diffus', 'anger', 'maam', 'privileg', 'fight', 'countri', 'di', 'pa', 'nila', 'nakikita', 'ngayon', 'pero', 'sa', 'tamang', 'panahon', 'appreci', 'given', 'us', 'hope', 'tabi', 'lahat', 'ng', 'totga', 'ikaw', 'ang', 'ultim', 'totga', 'namen']","['funny', 'message', 'diffused', 'anger', 'maam', 'privileged', 'fighting', 'country', 'di', 'pa', 'nila', 'nakikita', 'ngayon', 'pero', 'sa', 'tamang', 'panahon', 'appreciate', 'given', 'us', 'hope', 'tabi', 'lahat', 'ng', 'totga', 'ikaw', 'ang', 'ultimate', 'totga', 'namen']",5,Philippines
2022-04-01 12:53:50+00:00,1509876695267872771,"Nah cuz honestly she's a real gem. And I appreciate her sm 🥹🥹 She really sweet and nice, bonus na lang pagiging thoughtful nyan🥲 https://t.co/9jYpA5AxH2",xxxjakeeey_p,,1.0,1.0,0.0,0.0,"a fanboy of music artists • loves collecting dried flowers, and hand written notes🤍

not a safety net. still an 𝓍",356.0,,nah cuz honestly shes a real gem and i appreciate her sm she really sweet and nice bonus na lang pagiging thoughtful nyan,"['nah', 'cuz', 'honestly', 'shes', 'a', 'real', 'gem', 'and', 'i', 'appreciate', 'her', 'sm', 'she', 'really', 'sweet', 'and', 'nice', 'bonus', 'na', 'lang', 'pagiging', 'thoughtful', 'nyan']","['nah', 'cuz', 'honestly', 'shes', 'real', 'gem', 'appreciate', 'sm', 'really', 'sweet', 'nice', 'bonus', 'na', 'lang', 'pagiging', 'thoughtful', 'nyan']","['nah', 'cuz', 'honestli', 'she', 'real', 'gem', 'appreci', 'sm', 'realli', 'sweet', 'nice', 'bonu', 'na', 'lang', 'pagig', 'thought', 'nyan']","['nah', 'cuz', 'honestly', 'shes', 'real', 'gem', 'appreciate', 'sm', 'really', 'sweet', 'nice', 'bonus', 'na', 'lang', 'pagiging', 'thoughtful', 'nyan']",4,Philippines
2022-01-18 22:43:54+00:00,1483570872980246528,"To all my friends, who might hate me right now. Know that I still appreciate and love you, and I'm trying to find a good response and timing to get back to your messages. I'm really sorry. Thank you for being patient and still dropping messages from time to time :((( https://t.co/k17Y82NVou",euhelera,oloy,5.0,1.0,2.0,0.0,"I (sometimes) talk about film, literature, and culture | @fareastfilm CAMPUS alumni | ✉️: ehelera@up.edu.ph | continuously stirring the pot",347.0,,to all my friends who might hate me right now know that i still appreciate and love you and im trying to find a good response and timing to get back to your messages im really sorry thank you for being patient and still dropping messages from time to time,"['to', 'all', 'my', 'friends', 'who', 'might', 'hate', 'me', 'right', 'now', 'know', 'that', 'i', 'still', 'appreciate', 'and', 'love', 'you', 'and', 'im', 'trying', 'to', 'find', 'a', 'good', 'response', 'and', 'timing', 'to', 'get', 'back', 'to', 'your', 'messages', 'im', 'really', 'sorry', 'thank', 'you', 'for', 'being', 'patient', 'and', 'still', 'dropping', 'messages', 'from', 'time', 'to', 'time']","['friends', 'might', 'hate', 'right', 'know', 'still', 'appreciate', 'love', 'im', 'trying', 'find', 'good', 'response', 'timing', 'get', 'back', 'messages', 'im', 'really', 'sorry', 'thank', 'patient', 'still', 'dropping', 'messages', 'time', 'time']","['friend', 'might', 'hate', 'right', 'know', 'still', 'appreci', 'love', 'im', 'tri', 'find', 'good', 'respons', 'time', 'get', 'back', 'messag', 'im', 'realli', 'sorri', 'thank', 'patient', 'still', 'drop', 'messag', 'time', 'time']","['friends', 'might', 'hate', 'right', 'know', 'still', 'appreciate', 'love', 'im', 'trying', 'find', 'good', 'response', 'timing', 'get', 'back', 'messages', 'im', 'really', 'sorry', 'thank', 'patient', 'still', 'dropping', 'messages', 'time', 'time']",1,Philippines
2022-01-12 05:41:26+00:00,1481139235855888385,@MarvinGreyPhoto @LucreziaMMedici @GuidoDisalle @Cardelucci @simonemonte @HugoFaz @winmagphoto @CrisMagsino2021 @JayRnessPhoto @KevinZilabbo @jan_gonzales @Xose_Casal @jklphotos @hurtingbombz @nguevaraphoto @mjpmagallon @dicesales @liseykina @vieribottazzini @Leo_Papera @ericpare Thank you brother! Appreciate this! 💪🏼,FitzBorre,"Manila, Philippines",5.0,0.0,0.0,0.0,"Landscape Photographer from Philippines 🇵🇭 Please do check my series ⤵️

sloika.xyz/fitzborre.eth/…",525.0,,thank you brother appreciate this,"['thank', 'you', 'brother', 'appreciate', 'this']","['thank', 'brother', 'appreciate']","['thank', 'brother', 'appreci']","['thank', 'brother', 'appreciate']",5,Philippines
2021-12-17 17:04:54+00:00,1471889151997853697,"Just few of those messages na nagpa-teary eyed sakin. Dont get me wrong, i appreciate everyone's messages and greetings. Sobrang impacting lang talaga neto. https://t.co/lpsIT8mhCB",iloveYUNAsomuch,,0.0,2.0,0.0,0.0,🌕🌘🌗🌖🌔🌓🌒🌑,420.0,,just few of those messages na nagpateary eyed sakin dont get me wrong i appreciate everyones messages and greetings sobrang impacting lang talaga neto,"['just', 'few', 'of', 'those', 'messages', 'na', 'nagpateary', 'eyed', 'sakin', 'dont', 'get', 'me', 'wrong', 'i', 'appreciate', 'everyones', 'messages', 'and', 'greetings', 'sobrang', 'impacting', 'lang', 'talaga', 'neto']","['messages', 'na', 'nagpateary', 'eyed', 'sakin', 'dont', 'get', 'wrong', 'appreciate', 'everyones', 'messages', 'greetings', 'sobrang', 'impacting', 'lang', 'talaga', 'neto']","['messag', 'na', 'nagpateari', 'eye', 'sakin', 'dont', 'get', 'wrong', 'appreci', 'everyon', 'messag', 'greet', 'sobrang', 'impact', 'lang', 'talaga', 'neto']","['messages', 'na', 'nagpateary', 'eyed', 'sakin', 'dont', 'get', 'wrong', 'appreciate', 'everyones', 'messages', 'greetings', 'sobrang', 'impacting', 'lang', 'talaga', 'neto']",2,Philippines
