Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-10-03 06:05:53+00:00,1444544211735482373,As Ive said before UK needs a Royal Commission of Inquiry to look at HMG handling of the #COVID19 pandemic. Both the public health aspects &amp; transparency of  public procurement of PPE &amp; licensing of approved testing centres for foreign travel. Mistakes were made &amp; lessons learnt. https://t.co/prrGVDwCx9,CharlesTannock,UK & EU ,105,3,23,0,"MEP '99-2019, Rtd NHS Consultant. Internationalist & exEU Remainer & dreams of Rejoin. Tweets my personal views. #StandswithUkraine. Sen. Assoc. Fellow @GLOBSEC",32538,['COVID19'],as ive said before uk needs a royal commission of inquiry to look at hmg handling of the covid19 pandemic both the public health aspects amp transparency of public procurement of ppe amp licensing of approved testing centres for foreign travel mistakes were made amp lessons learnt,"['as', 'ive', 'said', 'before', 'uk', 'needs', 'a', 'royal', 'commission', 'of', 'inquiry', 'to', 'look', 'at', 'hmg', 'handling', 'of', 'the', 'covid19', 'pandemic', 'both', 'the', 'public', 'health', 'aspects', 'amp', 'transparency', 'of', 'public', 'procurement', 'of', 'ppe', 'amp', 'licensing', 'of', 'approved', 'testing', 'centres', 'for', 'foreign', 'travel', 'mistakes', 'were', 'made', 'amp', 'lessons', 'learnt']","['ive', 'said', 'uk', 'needs', 'royal', 'commission', 'inquiry', 'look', 'hmg', 'handling', 'covid19', 'pandemic', 'public', 'health', 'aspects', 'amp', 'transparency', 'public', 'procurement', 'ppe', 'amp', 'licensing', 'approved', 'testing', 'centres', 'foreign', 'travel', 'mistakes', 'made', 'amp', 'lessons', 'learnt']","['ive', 'said', 'uk', 'need', 'royal', 'commiss', 'inquiri', 'look', 'hmg', 'handl', 'covid19', 'pandem', 'public', 'health', 'aspect', 'amp', 'transpar', 'public', 'procur', 'ppe', 'amp', 'licens', 'approv', 'test', 'centr', 'foreign', 'travel', 'mistak', 'made', 'amp', 'lesson', 'learnt']","['ive', 'said', 'uk', 'needs', 'royal', 'commission', 'inquiry', 'look', 'hmg', 'handling', 'covid19', 'pandemic', 'public', 'health', 'aspects', 'amp', 'transparency', 'public', 'procurement', 'ppe', 'amp', 'licensing', 'approved', 'testing', 'centres', 'foreign', 'travel', 'mistakes', 'made', 'amp', 'lessons', 'learnt']",4,Slovakia
2021-08-08 08:44:03+00:00,1424290296700055552,@AndreaODon1 I agree the overall UK strategy is to restrict travel by financial and administrative disincentives. The justification is better infection and prevention of foreign #Covid19 variants but another result is enriched UK test suppliers &amp; keeping population tourist £ spending at home,CharlesTannock,UK & EU ,1,0,0,0,"MEP '99-2019, Rtd NHS Consultant. Internationalist & exEU Remainer & dreams of Rejoin. Tweets my personal views. #StandswithUkraine. Sen. Assoc. Fellow @GLOBSEC",32538,['Covid19'],i agree the overall uk strategy is to restrict travel by financial and administrative disincentives the justification is better infection and prevention of foreign covid19 variants but another result is enriched uk test suppliers amp keeping population tourist spending at home,"['i', 'agree', 'the', 'overall', 'uk', 'strategy', 'is', 'to', 'restrict', 'travel', 'by', 'financial', 'and', 'administrative', 'disincentives', 'the', 'justification', 'is', 'better', 'infection', 'and', 'prevention', 'of', 'foreign', 'covid19', 'variants', 'but', 'another', 'result', 'is', 'enriched', 'uk', 'test', 'suppliers', 'amp', 'keeping', 'population', 'tourist', 'spending', 'at', 'home']","['agree', 'overall', 'uk', 'strategy', 'restrict', 'travel', 'financial', 'administrative', 'disincentives', 'justification', 'better', 'infection', 'prevention', 'foreign', 'covid19', 'variants', 'another', 'result', 'enriched', 'uk', 'test', 'suppliers', 'amp', 'keeping', 'population', 'tourist', 'spending', 'home']","['agre', 'overal', 'uk', 'strategi', 'restrict', 'travel', 'financi', 'administr', 'disincent', 'justif', 'better', 'infect', 'prevent', 'foreign', 'covid19', 'variant', 'anoth', 'result', 'enrich', 'uk', 'test', 'supplier', 'amp', 'keep', 'popul', 'tourist', 'spend', 'home']","['agree', 'overall', 'uk', 'strategy', 'restrict', 'travel', 'financial', 'administrative', 'disincentives', 'justification', 'better', 'infection', 'prevention', 'foreign', 'covid19', 'variants', 'another', 'result', 'enriched', 'uk', 'test', 'suppliers', 'amp', 'keeping', 'population', 'tourist', 'spending', 'home']",3,Slovakia
2020-03-24 19:35:49+00:00,1242535611808055301,"We applause for all the workers who help us against #COVID19 every day at 8 PM every night! Spread this message and join this initiative! You should applause for them, too! 👏 💌

#ApplauseForMedicalWorkers
#ApplauseForWorkers
#ApplauseInitiation

https://t.co/ZjLNpYgUFo",juhaszdaniellaa,Magyarország,0,0,0,0,she/her | dancer at DANCE LIT HIP HOP | blm,31,"['COVID19', 'ApplauseForMedicalWorkers', 'ApplauseForWorkers', 'ApplauseInitiation']",we applause for all the workers who help us against covid19 every day at 8 pm every night spread this message and join this initiative you should applause for them too applauseformedicalworkers applauseforworkers applauseinitiation,"['we', 'applause', 'for', 'all', 'the', 'workers', 'who', 'help', 'us', 'against', 'covid19', 'every', 'day', 'at', '8', 'pm', 'every', 'night', 'spread', 'this', 'message', 'and', 'join', 'this', 'initiative', 'you', 'should', 'applause', 'for', 'them', 'too', 'applauseformedicalworkers', 'applauseforworkers', 'applauseinitiation']","['applause', 'workers', 'help', 'us', 'covid19', 'every', 'day', '8', 'pm', 'every', 'night', 'spread', 'message', 'join', 'initiative', 'applause', 'applauseformedicalworkers', 'applauseforworkers', 'applauseinitiation']","['applaus', 'worker', 'help', 'us', 'covid19', 'everi', 'day', '8', 'pm', 'everi', 'night', 'spread', 'messag', 'join', 'initi', 'applaus', 'applauseformedicalwork', 'applauseforwork', 'applauseiniti']","['applause', 'workers', 'help', 'us', 'covid19', 'every', 'day', '8', 'pm', 'every', 'night', 'spread', 'message', 'join', 'initiative', 'applause', 'applauseformedicalworkers', 'applauseforworkers', 'applauseinitiation']",1,Slovakia
2020-03-13 15:47:17+00:00,1238491830649597952,Stuck at home self isolating and preparing for your next big post-coronavirus #travel adventure? Bring the trip home! Check Out The 23 Greatest #RoadTrip Movies of All Time #keepcalmandplanyourtrip https://t.co/zUe6efJDE9 via @CNTraveler,InsightTim,"Krakow, Poland",2,0,1,0,Travel Director at @InsightVacation & @LGVacations in Europe. #MakeTravelMatter.,11283,"['travel', 'RoadTrip', 'keepcalmandplanyourtrip']",stuck at home self isolating and preparing for your next big postcoronavirus travel adventure bring the trip home check out the 23 greatest roadtrip movies of all time keepcalmandplanyourtrip via,"['stuck', 'at', 'home', 'self', 'isolating', 'and', 'preparing', 'for', 'your', 'next', 'big', 'postcoronavirus', 'travel', 'adventure', 'bring', 'the', 'trip', 'home', 'check', 'out', 'the', '23', 'greatest', 'roadtrip', 'movies', 'of', 'all', 'time', 'keepcalmandplanyourtrip', 'via']","['stuck', 'home', 'self', 'isolating', 'preparing', 'next', 'big', 'postcoronavirus', 'travel', 'adventure', 'bring', 'trip', 'home', 'check', '23', 'greatest', 'roadtrip', 'movies', 'time', 'keepcalmandplanyourtrip', 'via']","['stuck', 'home', 'self', 'isol', 'prepar', 'next', 'big', 'postcoronaviru', 'travel', 'adventur', 'bring', 'trip', 'home', 'check', '23', 'greatest', 'roadtrip', 'movi', 'time', 'keepcalmandplanyourtrip', 'via']","['stuck', 'home', 'self', 'isolating', 'preparing', 'next', 'big', 'postcoronavirus', 'travel', 'adventure', 'bring', 'trip', 'home', 'check', '23', 'greatest', 'roadtrip', 'movies', 'time', 'keepcalmandplanyourtrip', 'via']",5,Slovakia
2021-10-03 06:05:53+00:00,1444544211735482373,As Ive said before UK needs a Royal Commission of Inquiry to look at HMG handling of the #COVID19 pandemic. Both the public health aspects &amp; transparency of  public procurement of PPE &amp; licensing of approved testing centres for foreign travel. Mistakes were made &amp; lessons learnt. https://t.co/prrGVDwCx9,CharlesTannock,UK & EU ,105,3,23,0,"MEP '99-2019, Rtd NHS Consultant. Internationalist & exEU Remainer & dreams of Rejoin. Tweets my personal views. #StandswithUkraine. Sen. Assoc. Fellow @GLOBSEC",32538,['COVID19'],as ive said before uk needs a royal commission of inquiry to look at hmg handling of the covid19 pandemic both the public health aspects amp transparency of public procurement of ppe amp licensing of approved testing centres for foreign travel mistakes were made amp lessons learnt,"['as', 'ive', 'said', 'before', 'uk', 'needs', 'a', 'royal', 'commission', 'of', 'inquiry', 'to', 'look', 'at', 'hmg', 'handling', 'of', 'the', 'covid19', 'pandemic', 'both', 'the', 'public', 'health', 'aspects', 'amp', 'transparency', 'of', 'public', 'procurement', 'of', 'ppe', 'amp', 'licensing', 'of', 'approved', 'testing', 'centres', 'for', 'foreign', 'travel', 'mistakes', 'were', 'made', 'amp', 'lessons', 'learnt']","['ive', 'said', 'uk', 'needs', 'royal', 'commission', 'inquiry', 'look', 'hmg', 'handling', 'covid19', 'pandemic', 'public', 'health', 'aspects', 'amp', 'transparency', 'public', 'procurement', 'ppe', 'amp', 'licensing', 'approved', 'testing', 'centres', 'foreign', 'travel', 'mistakes', 'made', 'amp', 'lessons', 'learnt']","['ive', 'said', 'uk', 'need', 'royal', 'commiss', 'inquiri', 'look', 'hmg', 'handl', 'covid19', 'pandem', 'public', 'health', 'aspect', 'amp', 'transpar', 'public', 'procur', 'ppe', 'amp', 'licens', 'approv', 'test', 'centr', 'foreign', 'travel', 'mistak', 'made', 'amp', 'lesson', 'learnt']","['ive', 'said', 'uk', 'needs', 'royal', 'commission', 'inquiry', 'look', 'hmg', 'handling', 'covid19', 'pandemic', 'public', 'health', 'aspects', 'amp', 'transparency', 'public', 'procurement', 'ppe', 'amp', 'licensing', 'approved', 'testing', 'centres', 'foreign', 'travel', 'mistakes', 'made', 'amp', 'lessons', 'learnt']",4,Slovakia
2021-08-08 08:44:03+00:00,1424290296700055552,@AndreaODon1 I agree the overall UK strategy is to restrict travel by financial and administrative disincentives. The justification is better infection and prevention of foreign #Covid19 variants but another result is enriched UK test suppliers &amp; keeping population tourist £ spending at home,CharlesTannock,UK & EU ,1,0,0,0,"MEP '99-2019, Rtd NHS Consultant. Internationalist & exEU Remainer & dreams of Rejoin. Tweets my personal views. #StandswithUkraine. Sen. Assoc. Fellow @GLOBSEC",32538,['Covid19'],i agree the overall uk strategy is to restrict travel by financial and administrative disincentives the justification is better infection and prevention of foreign covid19 variants but another result is enriched uk test suppliers amp keeping population tourist spending at home,"['i', 'agree', 'the', 'overall', 'uk', 'strategy', 'is', 'to', 'restrict', 'travel', 'by', 'financial', 'and', 'administrative', 'disincentives', 'the', 'justification', 'is', 'better', 'infection', 'and', 'prevention', 'of', 'foreign', 'covid19', 'variants', 'but', 'another', 'result', 'is', 'enriched', 'uk', 'test', 'suppliers', 'amp', 'keeping', 'population', 'tourist', 'spending', 'at', 'home']","['agree', 'overall', 'uk', 'strategy', 'restrict', 'travel', 'financial', 'administrative', 'disincentives', 'justification', 'better', 'infection', 'prevention', 'foreign', 'covid19', 'variants', 'another', 'result', 'enriched', 'uk', 'test', 'suppliers', 'amp', 'keeping', 'population', 'tourist', 'spending', 'home']","['agre', 'overal', 'uk', 'strategi', 'restrict', 'travel', 'financi', 'administr', 'disincent', 'justif', 'better', 'infect', 'prevent', 'foreign', 'covid19', 'variant', 'anoth', 'result', 'enrich', 'uk', 'test', 'supplier', 'amp', 'keep', 'popul', 'tourist', 'spend', 'home']","['agree', 'overall', 'uk', 'strategy', 'restrict', 'travel', 'financial', 'administrative', 'disincentives', 'justification', 'better', 'infection', 'prevention', 'foreign', 'covid19', 'variants', 'another', 'result', 'enriched', 'uk', 'test', 'suppliers', 'amp', 'keeping', 'population', 'tourist', 'spending', 'home']",3,Slovakia
2020-03-24 19:35:49+00:00,1242535611808055301,"We applause for all the workers who help us against #COVID19 every day at 8 PM every night! Spread this message and join this initiative! You should applause for them, too! 👏 💌

#ApplauseForMedicalWorkers
#ApplauseForWorkers
#ApplauseInitiation

https://t.co/ZjLNpYgUFo",juhaszdaniellaa,Magyarország,0,0,0,0,she/her | dancer at DANCE LIT HIP HOP | blm,31,"['COVID19', 'ApplauseForMedicalWorkers', 'ApplauseForWorkers', 'ApplauseInitiation']",we applause for all the workers who help us against covid19 every day at 8 pm every night spread this message and join this initiative you should applause for them too applauseformedicalworkers applauseforworkers applauseinitiation,"['we', 'applause', 'for', 'all', 'the', 'workers', 'who', 'help', 'us', 'against', 'covid19', 'every', 'day', 'at', '8', 'pm', 'every', 'night', 'spread', 'this', 'message', 'and', 'join', 'this', 'initiative', 'you', 'should', 'applause', 'for', 'them', 'too', 'applauseformedicalworkers', 'applauseforworkers', 'applauseinitiation']","['applause', 'workers', 'help', 'us', 'covid19', 'every', 'day', '8', 'pm', 'every', 'night', 'spread', 'message', 'join', 'initiative', 'applause', 'applauseformedicalworkers', 'applauseforworkers', 'applauseinitiation']","['applaus', 'worker', 'help', 'us', 'covid19', 'everi', 'day', '8', 'pm', 'everi', 'night', 'spread', 'messag', 'join', 'initi', 'applaus', 'applauseformedicalwork', 'applauseforwork', 'applauseiniti']","['applause', 'workers', 'help', 'us', 'covid19', 'every', 'day', '8', 'pm', 'every', 'night', 'spread', 'message', 'join', 'initiative', 'applause', 'applauseformedicalworkers', 'applauseforworkers', 'applauseinitiation']",1,Slovakia
2021-09-04 15:27:30+00:00,1434176302211272715,"@AFZFn75Eu4l3VsK This year I was supposed to be  on holiday in Dubai, but given the situation, I considered a possible health threat... I only have one health!!! Do you know how many people could save Covid disease by staying home...😔",ZuzanaSuzy111,Slovakia - Trenčín,1,0,0,0,"analyst and imagemaker🎥

free and happy 🥰",5109,,this year i was supposed to be on holiday in dubai but given the situation i considered a possible health threat i only have one health do you know how many people could save covid disease by staying home,"['this', 'year', 'i', 'was', 'supposed', 'to', 'be', 'on', 'holiday', 'in', 'dubai', 'but', 'given', 'the', 'situation', 'i', 'considered', 'a', 'possible', 'health', 'threat', 'i', 'only', 'have', 'one', 'health', 'do', 'you', 'know', 'how', 'many', 'people', 'could', 'save', 'covid', 'disease', 'by', 'staying', 'home']","['year', 'supposed', 'holiday', 'dubai', 'given', 'situation', 'considered', 'possible', 'health', 'threat', 'one', 'health', 'know', 'many', 'people', 'could', 'save', 'covid', 'disease', 'staying', 'home']","['year', 'suppos', 'holiday', 'dubai', 'given', 'situat', 'consid', 'possibl', 'health', 'threat', 'one', 'health', 'know', 'mani', 'peopl', 'could', 'save', 'covid', 'diseas', 'stay', 'home']","['year', 'supposed', 'holiday', 'dubai', 'given', 'situation', 'considered', 'possible', 'health', 'threat', 'one', 'health', 'know', 'many', 'people', 'could', 'save', 'covid', 'disease', 'staying', 'home']",3,Slovakia
2020-01-18 15:20:14+00:00,1218553692024123394,"Sonic electric toothbrush X5 has 6 modes, RPM 38 000, standby tíme up to 30 days and helps with tooth problems
🤑 Price: 21.67€
🎟️Coupon: E40EE6A685227001
✔️Link: https://t.co/cYqMoLx886
#gearbest #sonic #electric #tootbrush #health #teeth #gearbesteurope #black #x5 https://t.co/sNXYSqJFjp",GearbestE,,0,0,0,0,Official partner of Gearbest.com,1,"['gearbest', 'sonic', 'electric', 'tootbrush', 'health', 'teeth', 'gearbesteurope', 'black', 'x5']",sonic electric toothbrush x5 has 6 modes rpm 38 000 standby tme up to 30 days and helps with tooth problems price 2167 coupon e40ee6a685227001 link gearbest sonic electric tootbrush health teeth gearbesteurope black x5,"['sonic', 'electric', 'toothbrush', 'x5', 'has', '6', 'modes', 'rpm', '38', '000', 'standby', 'tme', 'up', 'to', '30', 'days', 'and', 'helps', 'with', 'tooth', 'problems', 'price', '2167', 'coupon', 'e40ee6a685227001', 'link', 'gearbest', 'sonic', 'electric', 'tootbrush', 'health', 'teeth', 'gearbesteurope', 'black', 'x5']","['sonic', 'electric', 'toothbrush', 'x5', '6', 'modes', 'rpm', '38', '000', 'standby', 'tme', '30', 'days', 'helps', 'tooth', 'problems', 'price', '2167', 'coupon', 'e40ee6a685227001', 'link', 'gearbest', 'sonic', 'electric', 'tootbrush', 'health', 'teeth', 'gearbesteurope', 'black', 'x5']","['sonic', 'electr', 'toothbrush', 'x5', '6', 'mode', 'rpm', '38', '000', 'standbi', 'tme', '30', 'day', 'help', 'tooth', 'problem', 'price', '2167', 'coupon', 'e40ee6a685227001', 'link', 'gearbest', 'sonic', 'electr', 'tootbrush', 'health', 'teeth', 'gearbesteurop', 'black', 'x5']","['sonic', 'electric', 'toothbrush', 'x5', '6', 'modes', 'rpm', '38', '000', 'standby', 'tme', '30', 'days', 'helps', 'tooth', 'problems', 'price', '2167', 'coupon', 'e40ee6a685227001', 'link', 'gearbest', 'sonic', 'electric', 'tootbrush', 'health', 'teeth', 'gearbesteurope', 'black', 'x5']",5,Slovakia
2022-03-09 08:00:35+00:00,1501467972388413442,"Just spoken to @ARISEtv from Vyšné Nemecké, the Slovakian side of its border with Ukraine. Refugees have immediate access to free food, clothing, health care, overnight accommodation and transport.",femmefemi,"London, England",14,2,4,0,"International Correspondent @arisetv Journalist, TV Producer & Presenter",3999,,just spoken to from vyn nemeck the slovakian side of its border with ukraine refugees have immediate access to free food clothing health care overnight accommodation and transport,"['just', 'spoken', 'to', 'from', 'vyn', 'nemeck', 'the', 'slovakian', 'side', 'of', 'its', 'border', 'with', 'ukraine', 'refugees', 'have', 'immediate', 'access', 'to', 'free', 'food', 'clothing', 'health', 'care', 'overnight', 'accommodation', 'and', 'transport']","['spoken', 'vyn', 'nemeck', 'slovakian', 'side', 'border', 'ukraine', 'refugees', 'immediate', 'access', 'free', 'food', 'clothing', 'health', 'care', 'overnight', 'accommodation', 'transport']","['spoken', 'vyn', 'nemeck', 'slovakian', 'side', 'border', 'ukrain', 'refuge', 'immedi', 'access', 'free', 'food', 'cloth', 'health', 'care', 'overnight', 'accommod', 'transport']","['spoken', 'vyn', 'nemeck', 'slovakian', 'side', 'border', 'ukraine', 'refugees', 'immediate', 'access', 'free', 'food', 'clothing', 'health', 'care', 'overnight', 'accommodation', 'transport']",5,Slovakia
