Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 08:23:54+00:00,1531914423023063040,"Working at Newinn and feeling good!

Benefits of working with Newinn:
✔️Free accommodation at Newinn Properties (1 week per year)
✔️Social events
✔️Dietitian
✔️Ticket for meal
✔️Bonus
✔️Relevant training provided by the company
✔️Competitive salary
✔️Psychologist https://t.co/PMkyUPHyPM",StayNewinn,Turkey,2,1,1,0,"Short, medium, and long term fully furnished serviced apartments.",24,,working at newinn and feeling good benefits of working with newinn free accommodation at newinn properties 1 week per year social events dietitian ticket for meal bonus relevant training provided by the company competitive salary psychologist,"['working', 'at', 'newinn', 'and', 'feeling', 'good', 'benefits', 'of', 'working', 'with', 'newinn', 'free', 'accommodation', 'at', 'newinn', 'properties', '1', 'week', 'per', 'year', 'social', 'events', 'dietitian', 'ticket', 'for', 'meal', 'bonus', 'relevant', 'training', 'provided', 'by', 'the', 'company', 'competitive', 'salary', 'psychologist']","['working', 'newinn', 'feeling', 'good', 'benefits', 'working', 'newinn', 'free', 'accommodation', 'newinn', 'properties', '1', 'week', 'per', 'year', 'social', 'events', 'dietitian', 'ticket', 'meal', 'bonus', 'relevant', 'training', 'provided', 'company', 'competitive', 'salary', 'psychologist']","['work', 'newinn', 'feel', 'good', 'benefit', 'work', 'newinn', 'free', 'accommod', 'newinn', 'properti', '1', 'week', 'per', 'year', 'social', 'event', 'dietitian', 'ticket', 'meal', 'bonu', 'relev', 'train', 'provid', 'compani', 'competit', 'salari', 'psychologist']","['working', 'newinn', 'feeling', 'good', 'benefits', 'working', 'newinn', 'free', 'accommodation', 'newinn', 'properties', '1', 'week', 'per', 'year', 'social', 'events', 'dietitian', 'ticket', 'meal', 'bonus', 'relevant', 'training', 'provided', 'company', 'competitive', 'salary', 'psychologist']",4,Turkey
2022-06-01 08:23:54+00:00,1531914423023063040,"Working at Newinn and feeling good!

Benefits of working with Newinn:
✔️Free accommodation at Newinn Properties (1 week per year)
✔️Social events
✔️Dietitian
✔️Ticket for meal
✔️Bonus
✔️Relevant training provided by the company
✔️Competitive salary
✔️Psychologist https://t.co/PMkyUPHyPM",StayNewinn,Turkey,2,1,1,0,"Short, medium, and long term fully furnished serviced apartments.",24,,working at newinn and feeling good benefits of working with newinn free accommodation at newinn properties 1 week per year social events dietitian ticket for meal bonus relevant training provided by the company competitive salary psychologist,"['working', 'at', 'newinn', 'and', 'feeling', 'good', 'benefits', 'of', 'working', 'with', 'newinn', 'free', 'accommodation', 'at', 'newinn', 'properties', '1', 'week', 'per', 'year', 'social', 'events', 'dietitian', 'ticket', 'for', 'meal', 'bonus', 'relevant', 'training', 'provided', 'by', 'the', 'company', 'competitive', 'salary', 'psychologist']","['working', 'newinn', 'feeling', 'good', 'benefits', 'working', 'newinn', 'free', 'accommodation', 'newinn', 'properties', '1', 'week', 'per', 'year', 'social', 'events', 'dietitian', 'ticket', 'meal', 'bonus', 'relevant', 'training', 'provided', 'company', 'competitive', 'salary', 'psychologist']","['work', 'newinn', 'feel', 'good', 'benefit', 'work', 'newinn', 'free', 'accommod', 'newinn', 'properti', '1', 'week', 'per', 'year', 'social', 'event', 'dietitian', 'ticket', 'meal', 'bonu', 'relev', 'train', 'provid', 'compani', 'competit', 'salari', 'psychologist']","['working', 'newinn', 'feeling', 'good', 'benefits', 'working', 'newinn', 'free', 'accommodation', 'newinn', 'properties', '1', 'week', 'per', 'year', 'social', 'events', 'dietitian', 'ticket', 'meal', 'bonus', 'relevant', 'training', 'provided', 'company', 'competitive', 'salary', 'psychologist']",4,Turkey
2022-06-04 08:43:22+00:00,1533006485504114688,"2 tropes I'm a simp for:
   1. Husband worried for the safety of his wife/if she is alive
   2. Someone tries to push the jealousy button with the ex and he doesn't care at all.

Bonus one: he's the one in danger but does everything for her to be ok and not worry.",LauraBrbt,Turquie,22,1,0,0,"French expat in Prague, avid dizi watcher, currently watching #Yargı, #Aziz & #SDG, but will never forget #Kuzgun & #BahtOyunu",872,,2 tropes im a simp for 1 husband worried for the safety of his wifeif she is alive 2 someone tries to push the jealousy button with the ex and he doesnt care at all bonus one hes the one in danger but does everything for her to be ok and not worry,"['2', 'tropes', 'im', 'a', 'simp', 'for', '1', 'husband', 'worried', 'for', 'the', 'safety', 'of', 'his', 'wifeif', 'she', 'is', 'alive', '2', 'someone', 'tries', 'to', 'push', 'the', 'jealousy', 'button', 'with', 'the', 'ex', 'and', 'he', 'doesnt', 'care', 'at', 'all', 'bonus', 'one', 'hes', 'the', 'one', 'in', 'danger', 'but', 'does', 'everything', 'for', 'her', 'to', 'be', 'ok', 'and', 'not', 'worry']","['2', 'tropes', 'im', 'simp', '1', 'husband', 'worried', 'safety', 'wifeif', 'alive', '2', 'someone', 'tries', 'push', 'jealousy', 'button', 'ex', 'doesnt', 'care', 'bonus', 'one', 'hes', 'one', 'danger', 'everything', 'ok', 'worry']","['2', 'trope', 'im', 'simp', '1', 'husband', 'worri', 'safeti', 'wifeif', 'aliv', '2', 'someon', 'tri', 'push', 'jealousi', 'button', 'ex', 'doesnt', 'care', 'bonu', 'one', 'he', 'one', 'danger', 'everyth', 'ok', 'worri']","['2', 'tropes', 'im', 'simp', '1', 'husband', 'worried', 'safety', 'wifeif', 'alive', '2', 'someone', 'tries', 'push', 'jealousy', 'button', 'ex', 'doesnt', 'care', 'bonus', 'one', 'hes', 'one', 'danger', 'everything', 'ok', 'worry']",3,Turkey
2022-06-01 22:00:09+00:00,1532119836855136256,"Bulk CBD Pressed Pills
https://t.co/Bxkj9zQ8EV
#cbd #hemp #Wholesale #health https://t.co/qWKTgNqrAC",yellowcloudgirl,sans,3,0,1,0,work hard and achieve your goal.,101,"['cbd', 'hemp', 'Wholesale', 'health']",bulk cbd pressed pills cbd hemp wholesale health,"['bulk', 'cbd', 'pressed', 'pills', 'cbd', 'hemp', 'wholesale', 'health']","['bulk', 'cbd', 'pressed', 'pills', 'cbd', 'hemp', 'wholesale', 'health']","['bulk', 'cbd', 'press', 'pill', 'cbd', 'hemp', 'wholesal', 'health']","['bulk', 'cbd', 'pressed', 'pills', 'cbd', 'hemp', 'wholesale', 'health']",5,Turkey
2022-06-03 14:58:24+00:00,1532738477598597120,"Sales Manager, Health Systems in
 
 Istanbul,

 Turkey
https://t.co/RvIFlT1jCT",TurkeyVacancies,Türkiye,0,0,0,0,Would you like to reach the most talented individuals in #Turkey who are fluent at least in one foreign language? ViT is the best NICHE #job & #tender board...,5544,,sales manager health systems in istanbul turkey,"['sales', 'manager', 'health', 'systems', 'in', 'istanbul', 'turkey']","['sales', 'manager', 'health', 'systems', 'istanbul', 'turkey']","['sale', 'manag', 'health', 'system', 'istanbul', 'turkey']","['sales', 'manager', 'health', 'systems', 'istanbul', 'turkey']",5,Turkey
2022-06-03 14:58:24+00:00,1532738476239638541,"Sales Manager, Health Systems in
 
 Istanbul,

 Turkey
https://t.co/F7Hxa6O2hx",vacanciesintur1,Turkey,0,0,0,0,Would you like to reach the most talented individuals in #Turkey who are fluent at least in one foreign language? ViT is the best NICHE #job & #tender board...,4663,,sales manager health systems in istanbul turkey,"['sales', 'manager', 'health', 'systems', 'in', 'istanbul', 'turkey']","['sales', 'manager', 'health', 'systems', 'istanbul', 'turkey']","['sale', 'manag', 'health', 'system', 'istanbul', 'turkey']","['sales', 'manager', 'health', 'systems', 'istanbul', 'turkey']",5,Turkey
2022-06-03 14:58:23+00:00,1532738474553626625,"Sales Manager, Health Systems in
 
 Istanbul,

 Turkey
https://t.co/6is45yGPOn",VacanciesTurkey,Turkey,0,0,0,0,Would you like to reach the most talented individuals in #Turkey who are fluent at least in one foreign language? ViT is the best NICHE #job & #tender board...,10499,,sales manager health systems in istanbul turkey,"['sales', 'manager', 'health', 'systems', 'in', 'istanbul', 'turkey']","['sales', 'manager', 'health', 'systems', 'istanbul', 'turkey']","['sale', 'manag', 'health', 'system', 'istanbul', 'turkey']","['sales', 'manager', 'health', 'systems', 'istanbul', 'turkey']",5,Turkey
2022-06-02 15:18:08+00:00,1532381055658905600,"We handle all the procedures for your health.

- Flight ticket
- Visa Consultancy
- Accommodation and Transfer Service
- Health Consulting

You are safe with Poros Health Travel! https://t.co/ZE1jP2gvRo",poroshealth,Turkey,1,0,1,0,Poros Health Travel Service,5,,we handle all the procedures for your health flight ticket visa consultancy accommodation and transfer service health consulting you are safe with poros health travel,"['we', 'handle', 'all', 'the', 'procedures', 'for', 'your', 'health', 'flight', 'ticket', 'visa', 'consultancy', 'accommodation', 'and', 'transfer', 'service', 'health', 'consulting', 'you', 'are', 'safe', 'with', 'poros', 'health', 'travel']","['handle', 'procedures', 'health', 'flight', 'ticket', 'visa', 'consultancy', 'accommodation', 'transfer', 'service', 'health', 'consulting', 'safe', 'poros', 'health', 'travel']","['handl', 'procedur', 'health', 'flight', 'ticket', 'visa', 'consult', 'accommod', 'transfer', 'servic', 'health', 'consult', 'safe', 'poro', 'health', 'travel']","['handle', 'procedures', 'health', 'flight', 'ticket', 'visa', 'consultancy', 'accommodation', 'transfer', 'service', 'health', 'consulting', 'safe', 'poros', 'health', 'travel']",5,Turkey
2022-06-02 07:50:34+00:00,1532268422133866497,I beg very irritated with the tone these twitter doctors use in their supposed health awareness tweets. I switch off before the message even starts.,denmgenes2,b side ,1,2,1,1,"Ex Nigerian

Football and shit.. 

#MUFC °°Lost old account°°",1622,,i beg very irritated with the tone these twitter doctors use in their supposed health awareness tweets i switch off before the message even starts,"['i', 'beg', 'very', 'irritated', 'with', 'the', 'tone', 'these', 'twitter', 'doctors', 'use', 'in', 'their', 'supposed', 'health', 'awareness', 'tweets', 'i', 'switch', 'off', 'before', 'the', 'message', 'even', 'starts']","['beg', 'irritated', 'tone', 'twitter', 'doctors', 'use', 'supposed', 'health', 'awareness', 'tweets', 'switch', 'message', 'even', 'starts']","['beg', 'irrit', 'tone', 'twitter', 'doctor', 'use', 'suppos', 'health', 'awar', 'tweet', 'switch', 'messag', 'even', 'start']","['beg', 'irritated', 'tone', 'twitter', 'doctors', 'use', 'supposed', 'health', 'awareness', 'tweets', 'switch', 'message', 'even', 'starts']",1,Turkey
2022-06-01 22:00:09+00:00,1532119836855136256,"Bulk CBD Pressed Pills
https://t.co/Bxkj9zQ8EV
#cbd #hemp #Wholesale #health https://t.co/qWKTgNqrAC",yellowcloudgirl,sans,3,0,1,0,work hard and achieve your goal.,101,"['cbd', 'hemp', 'Wholesale', 'health']",bulk cbd pressed pills cbd hemp wholesale health,"['bulk', 'cbd', 'pressed', 'pills', 'cbd', 'hemp', 'wholesale', 'health']","['bulk', 'cbd', 'pressed', 'pills', 'cbd', 'hemp', 'wholesale', 'health']","['bulk', 'cbd', 'press', 'pill', 'cbd', 'hemp', 'wholesal', 'health']","['bulk', 'cbd', 'pressed', 'pills', 'cbd', 'hemp', 'wholesale', 'health']",5,Turkey
