Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 21:52:27+00:00,1532480287115907072,"Thank you to SAFE Team Supporter, Elaine, for this excellent donation!  Our adoptable kitties in care greatly appreciate the support!  #donation #thankyou  #safeteamrescue #safeteamkitty #safeteam #adoptdontshop #adopt #rescuedismyfavoritebreed #yeg https://t.co/h4nJPoJWfs",SAFEteamrescue,"Edmonton, Alberta",2,0,0,0,"We are a non-profit, no-kill, volunteer rescue dedicated to saving unwanted and homeless cats facing euthanasia in Edmonton, Alberta",1397,"['donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'rescuedismyfavoritebreed', 'yeg']",thank you to safe team supporter elaine for this excellent donation our adoptable kitties in care greatly appreciate the support donation thankyou safeteamrescue safeteamkitty safeteam adoptdontshop adopt rescuedismyfavoritebreed yeg,"['thank', 'you', 'to', 'safe', 'team', 'supporter', 'elaine', 'for', 'this', 'excellent', 'donation', 'our', 'adoptable', 'kitties', 'in', 'care', 'greatly', 'appreciate', 'the', 'support', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'rescuedismyfavoritebreed', 'yeg']","['thank', 'safe', 'team', 'supporter', 'elaine', 'excellent', 'donation', 'adoptable', 'kitties', 'care', 'greatly', 'appreciate', 'support', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'rescuedismyfavoritebreed', 'yeg']","['thank', 'safe', 'team', 'support', 'elain', 'excel', 'donat', 'adopt', 'kitti', 'care', 'greatli', 'appreci', 'support', 'donat', 'thankyou', 'safeteamrescu', 'safeteamkitti', 'safeteam', 'adoptdontshop', 'adopt', 'rescuedismyfavoritebre', 'yeg']","['thank', 'safe', 'team', 'supporter', 'elaine', 'excellent', 'donation', 'adoptable', 'kitties', 'care', 'greatly', 'appreciate', 'support', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'rescuedismyfavoritebreed', 'yeg']",5,Canada
2022-06-01 20:14:52+00:00,1532093341784940545,"We have had an amazing day of donations so far including this great one from SAFE Team Supporter, Collette!  Our adoptable kitties in care really appreciate the support!  #donation #thankyou  #safeteamrescue #safeteamkitty #safeteam #adoptdontshop #adopt #yeg https://t.co/00pTxwWsWP",SAFEteamrescue,"Edmonton, Alberta",1,0,0,0,"We are a non-profit, no-kill, volunteer rescue dedicated to saving unwanted and homeless cats facing euthanasia in Edmonton, Alberta",1397,"['donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'yeg']",we have had an amazing day of donations so far including this great one from safe team supporter collette our adoptable kitties in care really appreciate the support donation thankyou safeteamrescue safeteamkitty safeteam adoptdontshop adopt yeg,"['we', 'have', 'had', 'an', 'amazing', 'day', 'of', 'donations', 'so', 'far', 'including', 'this', 'great', 'one', 'from', 'safe', 'team', 'supporter', 'collette', 'our', 'adoptable', 'kitties', 'in', 'care', 'really', 'appreciate', 'the', 'support', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'yeg']","['amazing', 'day', 'donations', 'far', 'including', 'great', 'one', 'safe', 'team', 'supporter', 'collette', 'adoptable', 'kitties', 'care', 'really', 'appreciate', 'support', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'yeg']","['amaz', 'day', 'donat', 'far', 'includ', 'great', 'one', 'safe', 'team', 'support', 'collett', 'adopt', 'kitti', 'care', 'realli', 'appreci', 'support', 'donat', 'thankyou', 'safeteamrescu', 'safeteamkitti', 'safeteam', 'adoptdontshop', 'adopt', 'yeg']","['amazing', 'day', 'donations', 'far', 'including', 'great', 'one', 'safe', 'team', 'supporter', 'collette', 'adoptable', 'kitties', 'care', 'really', 'appreciate', 'support', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'adoptdontshop', 'adopt', 'yeg']",5,Canada
2022-06-01 01:21:17+00:00,1531808067800576000,Thank you to Brewster and Lancelot’s forever family for this great donation they brought with them when they did their adoption!  We really appreciate their kind consideration for our adoptable kitties in care!  #donation #thankyou  #safeteamrescue #safeteamkitty #safeteam #yeg https://t.co/kHkTUS5kfz,SAFEteamrescue,"Edmonton, Alberta",4,0,1,0,"We are a non-profit, no-kill, volunteer rescue dedicated to saving unwanted and homeless cats facing euthanasia in Edmonton, Alberta",1397,"['donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'yeg']",thank you to brewster and lancelots forever family for this great donation they brought with them when they did their adoption we really appreciate their kind consideration for our adoptable kitties in care donation thankyou safeteamrescue safeteamkitty safeteam yeg,"['thank', 'you', 'to', 'brewster', 'and', 'lancelots', 'forever', 'family', 'for', 'this', 'great', 'donation', 'they', 'brought', 'with', 'them', 'when', 'they', 'did', 'their', 'adoption', 'we', 'really', 'appreciate', 'their', 'kind', 'consideration', 'for', 'our', 'adoptable', 'kitties', 'in', 'care', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'yeg']","['thank', 'brewster', 'lancelots', 'forever', 'family', 'great', 'donation', 'brought', 'adoption', 'really', 'appreciate', 'kind', 'consideration', 'adoptable', 'kitties', 'care', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'yeg']","['thank', 'brewster', 'lancelot', 'forev', 'famili', 'great', 'donat', 'brought', 'adopt', 'realli', 'appreci', 'kind', 'consider', 'adopt', 'kitti', 'care', 'donat', 'thankyou', 'safeteamrescu', 'safeteamkitti', 'safeteam', 'yeg']","['thank', 'brewster', 'lancelots', 'forever', 'family', 'great', 'donation', 'brought', 'adoption', 'really', 'appreciate', 'kind', 'consideration', 'adoptable', 'kitties', 'care', 'donation', 'thankyou', 'safeteamrescue', 'safeteamkitty', 'safeteam', 'yeg']",5,Canada
2022-03-31 13:25:51+00:00,1509522360726130692,"As much as we appreciate this magnanimous donation, Zoloto asks that all Municipalities in MB look into their emergency services inventory of medical &amp; emergency supplies to see what can be donated. 7/7

Дякую - Thank you 

 #standwithukraine #ukraine #ykpaïha #ywg #zolotodancers https://t.co/eUp0H4C0vB",ZolotoDancers,"Winnipeg, MB - Canada",1,0,0,0,Zoloto Ukrainian Dance Ensemble & Company,583,"['standwithukraine', 'ukraine', 'ykpaïha', 'ywg', 'zolotodancers']",as much as we appreciate this magnanimous donation zoloto asks that all municipalities in mb look into their emergency services inventory of medical amp emergency supplies to see what can be donated 77 thank you standwithukraine ukraine ykpaha ywg zolotodancers,"['as', 'much', 'as', 'we', 'appreciate', 'this', 'magnanimous', 'donation', 'zoloto', 'asks', 'that', 'all', 'municipalities', 'in', 'mb', 'look', 'into', 'their', 'emergency', 'services', 'inventory', 'of', 'medical', 'amp', 'emergency', 'supplies', 'to', 'see', 'what', 'can', 'be', 'donated', '77', 'thank', 'you', 'standwithukraine', 'ukraine', 'ykpaha', 'ywg', 'zolotodancers']","['much', 'appreciate', 'magnanimous', 'donation', 'zoloto', 'asks', 'municipalities', 'mb', 'look', 'emergency', 'services', 'inventory', 'medical', 'amp', 'emergency', 'supplies', 'see', 'donated', '77', 'thank', 'standwithukraine', 'ukraine', 'ykpaha', 'ywg', 'zolotodancers']","['much', 'appreci', 'magnanim', 'donat', 'zoloto', 'ask', 'municip', 'mb', 'look', 'emerg', 'servic', 'inventori', 'medic', 'amp', 'emerg', 'suppli', 'see', 'donat', '77', 'thank', 'standwithukrain', 'ukrain', 'ykpaha', 'ywg', 'zolotodanc']","['much', 'appreciate', 'magnanimous', 'donation', 'zoloto', 'asks', 'municipalities', 'mb', 'look', 'emergency', 'services', 'inventory', 'medical', 'amp', 'emergency', 'supplies', 'see', 'donated', '77', 'thank', 'standwithukraine', 'ukraine', 'ykpaha', 'ywg', 'zolotodancers']",5,Canada
2020-11-06 11:37:34+00:00,1324677302576279552,@VeteransENG_CA #ThankAVeteran 🙏 We don't appreciate their sacrifice enough and take our #freedom for granted here 🦅 Wisen up folks 🤔 #RemembranceDay #LestWeForget,Big_G_09,"Saskatoon, Saskatchewan  🇨🇦 ",2,0,1,0,#GoJetsGo #Riders UofS #SaskRush Jock 💪🏒⚾🏈🥊🎾 Coach Biker 🏍️ Patriot #Freedom 🦅 GOD 🙏 ☮️♥️ семья Dad #BigAce♠️ #BashBros👊 #EveryChildMatters🧡 #BL🌾🇨🇦,14199,"['ThankAVeteran', 'freedom', 'RemembranceDay', 'LestWeForget']",thankaveteran we dont appreciate their sacrifice enough and take our freedom for granted here wisen up folks remembranceday lestweforget,"['thankaveteran', 'we', 'dont', 'appreciate', 'their', 'sacrifice', 'enough', 'and', 'take', 'our', 'freedom', 'for', 'granted', 'here', 'wisen', 'up', 'folks', 'remembranceday', 'lestweforget']","['thankaveteran', 'dont', 'appreciate', 'sacrifice', 'enough', 'take', 'freedom', 'granted', 'wisen', 'folks', 'remembranceday', 'lestweforget']","['thankaveteran', 'dont', 'appreci', 'sacrific', 'enough', 'take', 'freedom', 'grant', 'wisen', 'folk', 'remembranceday', 'lestweforget']","['thankaveteran', 'dont', 'appreciate', 'sacrifice', 'enough', 'take', 'freedom', 'granted', 'wisen', 'folks', 'remembranceday', 'lestweforget']",5,Canada
2020-11-01 21:55:22+00:00,1323020836123467777,"Heartfelt Thanks to all our #Beard-O’s! Over $7000 with #donations and still coming!We appreciate your generosity, good humour, and what good sports you have been. Special thanks to #better halves for tolerating scruff  @gccarra @cold_garden @kentonsmith @AndrewSchultzWX https://t.co/tJb7Q0qUGP",YYCJackLong,"Calgary, Alberta",1,1,1,1,"To encourage, support, and build affordable housing projects by working with community stakeholders.",189,"['Beard', 'donations', 'better']",heartfelt thanks to all our beardos over 7000 with donations and still comingwe appreciate your generosity good humour and what good sports you have been special thanks to better halves for tolerating scruff,"['heartfelt', 'thanks', 'to', 'all', 'our', 'beardos', 'over', '7000', 'with', 'donations', 'and', 'still', 'comingwe', 'appreciate', 'your', 'generosity', 'good', 'humour', 'and', 'what', 'good', 'sports', 'you', 'have', 'been', 'special', 'thanks', 'to', 'better', 'halves', 'for', 'tolerating', 'scruff']","['heartfelt', 'thanks', 'beardos', '7000', 'donations', 'still', 'comingwe', 'appreciate', 'generosity', 'good', 'humour', 'good', 'sports', 'special', 'thanks', 'better', 'halves', 'tolerating', 'scruff']","['heartfelt', 'thank', 'beardo', '7000', 'donat', 'still', 'comingw', 'appreci', 'generos', 'good', 'humour', 'good', 'sport', 'special', 'thank', 'better', 'halv', 'toler', 'scruff']","['heartfelt', 'thanks', 'beardos', '7000', 'donations', 'still', 'comingwe', 'appreciate', 'generosity', 'good', 'humour', 'good', 'sports', 'special', 'thanks', 'better', 'halves', 'tolerating', 'scruff']",5,Canada
2020-04-17 18:58:20+00:00,1251223484912398337,"BIG shout out today to National Tire Distributors on 68 St in Saskatoon, SK. THANK YOU!

We really appreciate your donation of sanitizing products to us at Crossroads Residential Services.

Dietmar is one of our… https://t.co/jfMgjEWTfK",TSAPrairie,"SK, MB, & NW Ontario ",0,0,0,0,The Salvation Army Prairie Division has been serving the Canadian Prairies since 1886. Our mission is to give hope and dignity to all.,734,,big shout out today to national tire distributors on 68 st in saskatoon sk thank you we really appreciate your donation of sanitizing products to us at crossroads residential services dietmar is one of our,"['big', 'shout', 'out', 'today', 'to', 'national', 'tire', 'distributors', 'on', '68', 'st', 'in', 'saskatoon', 'sk', 'thank', 'you', 'we', 'really', 'appreciate', 'your', 'donation', 'of', 'sanitizing', 'products', 'to', 'us', 'at', 'crossroads', 'residential', 'services', 'dietmar', 'is', 'one', 'of', 'our']","['big', 'shout', 'today', 'national', 'tire', 'distributors', '68', 'st', 'saskatoon', 'sk', 'thank', 'really', 'appreciate', 'donation', 'sanitizing', 'products', 'us', 'crossroads', 'residential', 'services', 'dietmar', 'one']","['big', 'shout', 'today', 'nation', 'tire', 'distributor', '68', 'st', 'saskatoon', 'sk', 'thank', 'realli', 'appreci', 'donat', 'sanit', 'product', 'us', 'crossroad', 'residenti', 'servic', 'dietmar', 'one']","['big', 'shout', 'today', 'national', 'tire', 'distributors', '68', 'st', 'saskatoon', 'sk', 'thank', 'really', 'appreciate', 'donation', 'sanitizing', 'products', 'us', 'crossroads', 'residential', 'services', 'dietmar', 'one']",5,Canada
2022-06-04 16:00:14+00:00,1533116427229487104,"We are excited to share that our #TeachUsEverything campaign is a 2022 Reed Award winner! Shoutout to our speakers bureau members, our grantees &amp; partners' support of this important work for educational #equity. https://t.co/Kzlfp5hgZJ Check out the video: https://t.co/Ee8tUPYv9N https://t.co/b90qB1Wggp",NellieMaeEdFdn,New England,4,0,0,1,Advancing racial equity in public education.,6178,"['TeachUsEverything', 'equity']",we are excited to share that our teachuseverything campaign is a 2022 reed award winner shoutout to our speakers bureau members our grantees amp partners support of this important work for educational equity check out the video,"['we', 'are', 'excited', 'to', 'share', 'that', 'our', 'teachuseverything', 'campaign', 'is', 'a', '2022', 'reed', 'award', 'winner', 'shoutout', 'to', 'our', 'speakers', 'bureau', 'members', 'our', 'grantees', 'amp', 'partners', 'support', 'of', 'this', 'important', 'work', 'for', 'educational', 'equity', 'check', 'out', 'the', 'video']","['excited', 'share', 'teachuseverything', 'campaign', '2022', 'reed', 'award', 'winner', 'shoutout', 'speakers', 'bureau', 'members', 'grantees', 'amp', 'partners', 'support', 'important', 'work', 'educational', 'equity', 'check', 'video']","['excit', 'share', 'teachuseveryth', 'campaign', '2022', 'reed', 'award', 'winner', 'shoutout', 'speaker', 'bureau', 'member', 'grante', 'amp', 'partner', 'support', 'import', 'work', 'educ', 'equiti', 'check', 'video']","['excited', 'share', 'teachuseverything', 'campaign', '2022', 'reed', 'award', 'winner', 'shoutout', 'speakers', 'bureau', 'members', 'grantees', 'amp', 'partners', 'support', 'important', 'work', 'educational', 'equity', 'check', 'video']",5,Canada
2022-06-03 18:00:21+00:00,1532784268333789188,"Each year, Southport makes a donation towards the Canadian Cancer Society's (CCS) Daffodil Campaign that unites Canadians to take action. With the matching program, Southport's contributions were matched for the total of $1,000.

#CSRHighlight https://t.co/qruL3gUOzk",SouthportMB,Southport Manitoba,0,0,0,0,"An established, professional property management and development company specializing in commercial, residential and aerospace industries.",518,['CSRHighlight'],each year southport makes a donation towards the canadian cancer societys ccs daffodil campaign that unites canadians to take action with the matching program southports contributions were matched for the total of 1000 csrhighlight,"['each', 'year', 'southport', 'makes', 'a', 'donation', 'towards', 'the', 'canadian', 'cancer', 'societys', 'ccs', 'daffodil', 'campaign', 'that', 'unites', 'canadians', 'to', 'take', 'action', 'with', 'the', 'matching', 'program', 'southports', 'contributions', 'were', 'matched', 'for', 'the', 'total', 'of', '1000', 'csrhighlight']","['year', 'southport', 'makes', 'donation', 'towards', 'canadian', 'cancer', 'societys', 'ccs', 'daffodil', 'campaign', 'unites', 'canadians', 'take', 'action', 'matching', 'program', 'southports', 'contributions', 'matched', 'total', '1000', 'csrhighlight']","['year', 'southport', 'make', 'donat', 'toward', 'canadian', 'cancer', 'societi', 'cc', 'daffodil', 'campaign', 'unit', 'canadian', 'take', 'action', 'match', 'program', 'southport', 'contribut', 'match', 'total', '1000', 'csrhighlight']","['year', 'southport', 'makes', 'donation', 'towards', 'canadian', 'cancer', 'societys', 'ccs', 'daffodil', 'campaign', 'unites', 'canadians', 'take', 'action', 'matching', 'program', 'southports', 'contributions', 'matched', 'total', '1000', 'csrhighlight']",5,Canada
2022-06-03 15:00:04+00:00,1532738896278106112,"Campaign donations from political action committees, businesses, organizations and individuals correlated with the GOP nominations in the May 17 primary election.

https://t.co/HnOFJTwG6z",BFHerald,"Bonners Ferry, Idaho",0,0,0,0,"The Bonners Ferry Herald is your source of updated news, upcoming events, announcements, legals and entertainment around the community.",330,,campaign donations from political action committees businesses organizations and individuals correlated with the gop nominations in the may 17 primary election,"['campaign', 'donations', 'from', 'political', 'action', 'committees', 'businesses', 'organizations', 'and', 'individuals', 'correlated', 'with', 'the', 'gop', 'nominations', 'in', 'the', 'may', '17', 'primary', 'election']","['campaign', 'donations', 'political', 'action', 'committees', 'businesses', 'organizations', 'individuals', 'correlated', 'gop', 'nominations', 'may', '17', 'primary', 'election']","['campaign', 'donat', 'polit', 'action', 'committe', 'busi', 'organ', 'individu', 'correl', 'gop', 'nomin', 'may', '17', 'primari', 'elect']","['campaign', 'donations', 'political', 'action', 'committees', 'businesses', 'organizations', 'individuals', 'correlated', 'gop', 'nominations', 'may', '17', 'primary', 'election']",1,Canada
