Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-02-21 21:02:08+00:00,1495866449751064576,"smile,laugh, believe, trust, understand, pray, learn, improve, love,kiss,hug ,thank,be,embrace enjoy,cherish, grow, appreciate, let, care,dream, grant, give, commit, heal,listen, awake,accomplish, belong, help, breathe ,value, praise, celebrate,built ,respect ,forgive and forget.",batallacris1,"San José, Costa Rica",1,0,0,0,,176,,smilelaugh believe trust understand pray learn improve lovekisshug thankbeembrace enjoycherish grow appreciate let caredream grant give commit heallisten awakeaccomplish belong help breathe value praise celebratebuilt respect forgive and forget,"['smilelaugh', 'believe', 'trust', 'understand', 'pray', 'learn', 'improve', 'lovekisshug', 'thankbeembrace', 'enjoycherish', 'grow', 'appreciate', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breathe', 'value', 'praise', 'celebratebuilt', 'respect', 'forgive', 'and', 'forget']","['smilelaugh', 'believe', 'trust', 'understand', 'pray', 'learn', 'improve', 'lovekisshug', 'thankbeembrace', 'enjoycherish', 'grow', 'appreciate', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breathe', 'value', 'praise', 'celebratebuilt', 'respect', 'forgive', 'forget']","['smilelaugh', 'believ', 'trust', 'understand', 'pray', 'learn', 'improv', 'lovekisshug', 'thankbeembrac', 'enjoycherish', 'grow', 'appreci', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breath', 'valu', 'prais', 'celebratebuilt', 'respect', 'forgiv', 'forget']","['smilelaugh', 'believe', 'trust', 'understand', 'pray', 'learn', 'improve', 'lovekisshug', 'thankbeembrace', 'enjoycherish', 'grow', 'appreciate', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breathe', 'value', 'praise', 'celebratebuilt', 'respect', 'forgive', 'forget']",5,Costa Rica
2020-05-28 14:50:07+00:00,1266018924044464130,"‘Refugees and migrants from #venezuela disproportionately affected by the #COVID and loss of  livelihood contributed to additional health, exploitation and trafficking risks’. Sarah Stemmler @UNmigration chairing the panel on Private Sector in the context of the #RV4. https://t.co/7MpQDeLA7m",AlbertoPreato,#IAmAMigrant,4,0,2,0,"Husband,🐶 co-parent, late night piano singer 🎹 Senior regional coordinator 🇺🇳 @UNMigration Humanitarian design fellow 🇺🇸 @FordhamNYC (views mine)",1600,"['venezuela', 'COVID', 'RV4']",refugees and migrants from venezuela disproportionately affected by the covid and loss of livelihood contributed to additional health exploitation and trafficking risks sarah stemmler chairing the panel on private sector in the context of the rv4,"['refugees', 'and', 'migrants', 'from', 'venezuela', 'disproportionately', 'affected', 'by', 'the', 'covid', 'and', 'loss', 'of', 'livelihood', 'contributed', 'to', 'additional', 'health', 'exploitation', 'and', 'trafficking', 'risks', 'sarah', 'stemmler', 'chairing', 'the', 'panel', 'on', 'private', 'sector', 'in', 'the', 'context', 'of', 'the', 'rv4']","['refugees', 'migrants', 'venezuela', 'disproportionately', 'affected', 'covid', 'loss', 'livelihood', 'contributed', 'additional', 'health', 'exploitation', 'trafficking', 'risks', 'sarah', 'stemmler', 'chairing', 'panel', 'private', 'sector', 'context', 'rv4']","['refuge', 'migrant', 'venezuela', 'disproportion', 'affect', 'covid', 'loss', 'livelihood', 'contribut', 'addit', 'health', 'exploit', 'traffick', 'risk', 'sarah', 'stemmler', 'chair', 'panel', 'privat', 'sector', 'context', 'rv4']","['refugees', 'migrants', 'venezuela', 'disproportionately', 'affected', 'covid', 'loss', 'livelihood', 'contributed', 'additional', 'health', 'exploitation', 'trafficking', 'risks', 'sarah', 'stemmler', 'chairing', 'panel', 'private', 'sector', 'context', 'rv4']",1,Costa Rica
2020-12-31 18:51:12+00:00,1344717759427588096,"Very interesting read. Impact of #COVID19 on #Venezuelan migrants’ access to health:

▪️Legal and financial obstacles
▪️Discrimination 
▪️Information asymmetry 
▪️Access and alternative healthcare
▪️Network of Venezuelan doctors 

Full paper here: https://t.co/NBOKA03Puz https://t.co/APgzZg8lzq https://t.co/0sQvKXD2On",AlbertoPreato,#IAmAMigrant,0,0,1,0,"Husband,🐶 co-parent, late night piano singer 🎹 Senior regional coordinator 🇺🇳 @UNMigration Humanitarian design fellow 🇺🇸 @FordhamNYC (views mine)",1600,"['COVID19', 'Venezuelan']",very interesting read impact of covid19 on venezuelan migrants access to health legal and financial obstacles discrimination information asymmetry access and alternative healthcare network of venezuelan doctors full paper here,"['very', 'interesting', 'read', 'impact', 'of', 'covid19', 'on', 'venezuelan', 'migrants', 'access', 'to', 'health', 'legal', 'and', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'and', 'alternative', 'healthcare', 'network', 'of', 'venezuelan', 'doctors', 'full', 'paper', 'here']","['interesting', 'read', 'impact', 'covid19', 'venezuelan', 'migrants', 'access', 'health', 'legal', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'alternative', 'healthcare', 'network', 'venezuelan', 'doctors', 'full', 'paper']","['interest', 'read', 'impact', 'covid19', 'venezuelan', 'migrant', 'access', 'health', 'legal', 'financi', 'obstacl', 'discrimin', 'inform', 'asymmetri', 'access', 'altern', 'healthcar', 'network', 'venezuelan', 'doctor', 'full', 'paper']","['interesting', 'read', 'impact', 'covid19', 'venezuelan', 'migrants', 'access', 'health', 'legal', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'alternative', 'healthcare', 'network', 'venezuelan', 'doctors', 'full', 'paper']",4,Costa Rica
2020-02-24 03:00:08+00:00,1231775791823847426,@ScottFordTVGuy When it became clear that the Dems will nominate real communist Bernie Sanders I made a donation to the Trump Campaign &amp; @GOP We have to re-elected Trump &amp; control the Senate &amp; House.  If we lose in 2020 to Dems they will never give up power &amp; freedom will die. @foxnewspolitics,valwayne,"Denver, CO",12,1,5,0,,3041,,when it became clear that the dems will nominate real communist bernie sanders i made a donation to the trump campaign amp we have to reelected trump amp control the senate amp house if we lose in 2020 to dems they will never give up power amp freedom will die,"['when', 'it', 'became', 'clear', 'that', 'the', 'dems', 'will', 'nominate', 'real', 'communist', 'bernie', 'sanders', 'i', 'made', 'a', 'donation', 'to', 'the', 'trump', 'campaign', 'amp', 'we', 'have', 'to', 'reelected', 'trump', 'amp', 'control', 'the', 'senate', 'amp', 'house', 'if', 'we', 'lose', 'in', '2020', 'to', 'dems', 'they', 'will', 'never', 'give', 'up', 'power', 'amp', 'freedom', 'will', 'die']","['became', 'clear', 'dems', 'nominate', 'real', 'communist', 'bernie', 'sanders', 'made', 'donation', 'trump', 'campaign', 'amp', 'reelected', 'trump', 'amp', 'control', 'senate', 'amp', 'house', 'lose', '2020', 'dems', 'never', 'give', 'power', 'amp', 'freedom', 'die']","['becam', 'clear', 'dem', 'nomin', 'real', 'communist', 'berni', 'sander', 'made', 'donat', 'trump', 'campaign', 'amp', 'reelect', 'trump', 'amp', 'control', 'senat', 'amp', 'hous', 'lose', '2020', 'dem', 'never', 'give', 'power', 'amp', 'freedom', 'die']","['became', 'clear', 'dems', 'nominate', 'real', 'communist', 'bernie', 'sanders', 'made', 'donation', 'trump', 'campaign', 'amp', 'reelected', 'trump', 'amp', 'control', 'senate', 'amp', 'house', 'lose', '2020', 'dems', 'never', 'give', 'power', 'amp', 'freedom', 'die']",1,Costa Rica
2020-03-10 02:43:44+00:00,1237207483011252224,"Does anyone know of a charity that supports low income individuals (not just kids) with medical care, that doesn’t have a high overhead that gets deducted from donations? I’m worried about the impact that the Coronavirus is going to have on that particular segment of society...",Goblinkatie,"Georgia, USA",17,2,2,1,Katie Downey - Patron of the Pact of the Polyhedral. Cast member of @D4DnDRPG & more! (See pin) Executive Manager for @JaspersGameDay. @TakeThisorg Ambassador.,6637,,does anyone know of a charity that supports low income individuals not just kids with medical care that doesnt have a high overhead that gets deducted from donations im worried about the impact that the coronavirus is going to have on that particular segment of society,"['does', 'anyone', 'know', 'of', 'a', 'charity', 'that', 'supports', 'low', 'income', 'individuals', 'not', 'just', 'kids', 'with', 'medical', 'care', 'that', 'doesnt', 'have', 'a', 'high', 'overhead', 'that', 'gets', 'deducted', 'from', 'donations', 'im', 'worried', 'about', 'the', 'impact', 'that', 'the', 'coronavirus', 'is', 'going', 'to', 'have', 'on', 'that', 'particular', 'segment', 'of', 'society']","['anyone', 'know', 'charity', 'supports', 'low', 'income', 'individuals', 'kids', 'medical', 'care', 'doesnt', 'high', 'overhead', 'gets', 'deducted', 'donations', 'im', 'worried', 'impact', 'coronavirus', 'going', 'particular', 'segment', 'society']","['anyon', 'know', 'chariti', 'support', 'low', 'incom', 'individu', 'kid', 'medic', 'care', 'doesnt', 'high', 'overhead', 'get', 'deduct', 'donat', 'im', 'worri', 'impact', 'coronaviru', 'go', 'particular', 'segment', 'societi']","['anyone', 'know', 'charity', 'supports', 'low', 'income', 'individuals', 'kids', 'medical', 'care', 'doesnt', 'high', 'overhead', 'gets', 'deducted', 'donations', 'im', 'worried', 'impact', 'coronavirus', 'going', 'particular', 'segment', 'society']",1,Costa Rica
2020-10-04 16:51:48+00:00,1312797578988335105,"What a flagrant disregard for others. #SCOTUSNomination while others are trying to abide by the COVID-19 guidelines and dealing with loved ones being sick and or dying, others are having parties and spreading the deadly virus. #WearAMask #Vote #VoteHimOut2020 https://t.co/TEDoKtJMSF",LilTexasBirdie,"San Antonio, TX",1,0,0,0,"I Travel the World,❤️ I speak more than one language,St.Mary’s University Grad in SA TX. Retired 25 yrs BCCSCD Facts&Science Matter #BLM🗽⚖️ #Resist #SoyLatina",5918,"['SCOTUSNomination', 'WearAMask', 'Vote', 'VoteHimOut2020']",what a flagrant disregard for others scotusnomination while others are trying to abide by the covid19 guidelines and dealing with loved ones being sick and or dying others are having parties and spreading the deadly virus wearamask vote votehimout2020,"['what', 'a', 'flagrant', 'disregard', 'for', 'others', 'scotusnomination', 'while', 'others', 'are', 'trying', 'to', 'abide', 'by', 'the', 'covid19', 'guidelines', 'and', 'dealing', 'with', 'loved', 'ones', 'being', 'sick', 'and', 'or', 'dying', 'others', 'are', 'having', 'parties', 'and', 'spreading', 'the', 'deadly', 'virus', 'wearamask', 'vote', 'votehimout2020']","['flagrant', 'disregard', 'others', 'scotusnomination', 'others', 'trying', 'abide', 'covid19', 'guidelines', 'dealing', 'loved', 'ones', 'sick', 'dying', 'others', 'parties', 'spreading', 'deadly', 'virus', 'wearamask', 'vote', 'votehimout2020']","['flagrant', 'disregard', 'other', 'scotusnomin', 'other', 'tri', 'abid', 'covid19', 'guidelin', 'deal', 'love', 'one', 'sick', 'die', 'other', 'parti', 'spread', 'deadli', 'viru', 'wearamask', 'vote', 'votehimout2020']","['flagrant', 'disregard', 'others', 'scotusnomination', 'others', 'trying', 'abide', 'covid19', 'guidelines', 'dealing', 'loved', 'ones', 'sick', 'dying', 'others', 'parties', 'spreading', 'deadly', 'virus', 'wearamask', 'vote', 'votehimout2020']",1,Costa Rica
2020-04-29 11:29:52+00:00,1255459280230199296,"@RadioFreeTom @TheRickWilson So there's hope those 2 idiots get COVID-19, natural selection will take care of rednecks and an pair of idiots who are killing immigrants and US citizens who can't afford health insurance",ArturoHavr,,0,0,0,0,"Ingeniero Industrial, emprendedor y creyente de mejorar las cosas en lugar de quejarse",117,,so theres hope those 2 idiots get covid19 natural selection will take care of rednecks and an pair of idiots who are killing immigrants and us citizens who cant afford health insurance,"['so', 'theres', 'hope', 'those', '2', 'idiots', 'get', 'covid19', 'natural', 'selection', 'will', 'take', 'care', 'of', 'rednecks', 'and', 'an', 'pair', 'of', 'idiots', 'who', 'are', 'killing', 'immigrants', 'and', 'us', 'citizens', 'who', 'cant', 'afford', 'health', 'insurance']","['theres', 'hope', '2', 'idiots', 'get', 'covid19', 'natural', 'selection', 'take', 'care', 'rednecks', 'pair', 'idiots', 'killing', 'immigrants', 'us', 'citizens', 'cant', 'afford', 'health', 'insurance']","['there', 'hope', '2', 'idiot', 'get', 'covid19', 'natur', 'select', 'take', 'care', 'redneck', 'pair', 'idiot', 'kill', 'immigr', 'us', 'citizen', 'cant', 'afford', 'health', 'insur']","['theres', 'hope', '2', 'idiots', 'get', 'covid19', 'natural', 'selection', 'take', 'care', 'rednecks', 'pair', 'idiots', 'killing', 'immigrants', 'us', 'citizens', 'cant', 'afford', 'health', 'insurance']",4,Costa Rica
2020-04-29 11:22:41+00:00,1255457473579884548,"@Djmcafee4Dotti @JoyceWhiteVance Hope you to let rednecks remember to not vote for an idiot show man who's an ego maniac and doesn't have a clue of what he's doing, hitting immigrants with the Immigration and Customs Enforcement (but hires for his golf clubs), @realDonaldTrump is killing people with COVID-19",ArturoHavr,,5,2,1,0,"Ingeniero Industrial, emprendedor y creyente de mejorar las cosas en lugar de quejarse",117,,hope you to let rednecks remember to not vote for an idiot show man whos an ego maniac and doesnt have a clue of what hes doing hitting immigrants with the immigration and customs enforcement but hires for his golf clubs is killing people with covid19,"['hope', 'you', 'to', 'let', 'rednecks', 'remember', 'to', 'not', 'vote', 'for', 'an', 'idiot', 'show', 'man', 'whos', 'an', 'ego', 'maniac', 'and', 'doesnt', 'have', 'a', 'clue', 'of', 'what', 'hes', 'doing', 'hitting', 'immigrants', 'with', 'the', 'immigration', 'and', 'customs', 'enforcement', 'but', 'hires', 'for', 'his', 'golf', 'clubs', 'is', 'killing', 'people', 'with', 'covid19']","['hope', 'let', 'rednecks', 'remember', 'vote', 'idiot', 'show', 'man', 'whos', 'ego', 'maniac', 'doesnt', 'clue', 'hes', 'hitting', 'immigrants', 'immigration', 'customs', 'enforcement', 'hires', 'golf', 'clubs', 'killing', 'people', 'covid19']","['hope', 'let', 'redneck', 'rememb', 'vote', 'idiot', 'show', 'man', 'who', 'ego', 'maniac', 'doesnt', 'clue', 'he', 'hit', 'immigr', 'immigr', 'custom', 'enforc', 'hire', 'golf', 'club', 'kill', 'peopl', 'covid19']","['hope', 'let', 'rednecks', 'remember', 'vote', 'idiot', 'show', 'man', 'whos', 'ego', 'maniac', 'doesnt', 'clue', 'hes', 'hitting', 'immigrants', 'immigration', 'customs', 'enforcement', 'hires', 'golf', 'clubs', 'killing', 'people', 'covid19']",1,Costa Rica
2020-03-20 13:51:46+00:00,1240999477835640840,"“#COVID19 does not discriminate, and nor should our response” - so true. Rather, let’s take special care of those around us, our families and neighbors, but also of migrants, refugees and marginalized groups. They all need access to health care and our passion - more than ever! https://t.co/r6qQ5PQk0b",TimHHowe,"San Jose, Costa Rica",14,1,4,0,"@UNMigration Sr. Regional #Protection Specialist for Central America, North America and the Caribbean, retweets are no endorsements, views expressed mine.",728,['COVID19'],covid19 does not discriminate and nor should our response so true rather lets take special care of those around us our families and neighbors but also of migrants refugees and marginalized groups they all need access to health care and our passion more than ever,"['covid19', 'does', 'not', 'discriminate', 'and', 'nor', 'should', 'our', 'response', 'so', 'true', 'rather', 'lets', 'take', 'special', 'care', 'of', 'those', 'around', 'us', 'our', 'families', 'and', 'neighbors', 'but', 'also', 'of', 'migrants', 'refugees', 'and', 'marginalized', 'groups', 'they', 'all', 'need', 'access', 'to', 'health', 'care', 'and', 'our', 'passion', 'more', 'than', 'ever']","['covid19', 'discriminate', 'response', 'true', 'rather', 'lets', 'take', 'special', 'care', 'around', 'us', 'families', 'neighbors', 'also', 'migrants', 'refugees', 'marginalized', 'groups', 'need', 'access', 'health', 'care', 'passion', 'ever']","['covid19', 'discrimin', 'respons', 'true', 'rather', 'let', 'take', 'special', 'care', 'around', 'us', 'famili', 'neighbor', 'also', 'migrant', 'refuge', 'margin', 'group', 'need', 'access', 'health', 'care', 'passion', 'ever']","['covid19', 'discriminate', 'response', 'true', 'rather', 'lets', 'take', 'special', 'care', 'around', 'us', 'families', 'neighbors', 'also', 'migrants', 'refugees', 'marginalized', 'groups', 'need', 'access', 'health', 'care', 'passion', 'ever']",5,Costa Rica
2021-08-05 21:49:50+00:00,1423400881966432260,"Christian Scientists, one the other hand, have a rich religious and theological opposition to medical help of any form as a part of their sincerely held beliefs. That includes vaccines. They would likely have no problem being granted COVID vaccine exemptions based on religion

3/",DJJenkins,"Studio City, CA",1,1,0,0,"A messed up man trying to follow Jesus & make a difference. Pastor of @anthologychurch in Studio City. I tweet (a lot) about faith, politics, sports, tech, & LA",2022,,christian scientists one the other hand have a rich religious and theological opposition to medical help of any form as a part of their sincerely held beliefs that includes vaccines they would likely have no problem being granted covid vaccine exemptions based on religion 3,"['christian', 'scientists', 'one', 'the', 'other', 'hand', 'have', 'a', 'rich', 'religious', 'and', 'theological', 'opposition', 'to', 'medical', 'help', 'of', 'any', 'form', 'as', 'a', 'part', 'of', 'their', 'sincerely', 'held', 'beliefs', 'that', 'includes', 'vaccines', 'they', 'would', 'likely', 'have', 'no', 'problem', 'being', 'granted', 'covid', 'vaccine', 'exemptions', 'based', 'on', 'religion', '3']","['christian', 'scientists', 'one', 'hand', 'rich', 'religious', 'theological', 'opposition', 'medical', 'help', 'form', 'part', 'sincerely', 'held', 'beliefs', 'includes', 'vaccines', 'would', 'likely', 'problem', 'granted', 'covid', 'vaccine', 'exemptions', 'based', 'religion', '3']","['christian', 'scientist', 'one', 'hand', 'rich', 'religi', 'theolog', 'opposit', 'medic', 'help', 'form', 'part', 'sincer', 'held', 'belief', 'includ', 'vaccin', 'would', 'like', 'problem', 'grant', 'covid', 'vaccin', 'exempt', 'base', 'religion', '3']","['christian', 'scientists', 'one', 'hand', 'rich', 'religious', 'theological', 'opposition', 'medical', 'help', 'form', 'part', 'sincerely', 'held', 'beliefs', 'includes', 'vaccines', 'would', 'likely', 'problem', 'granted', 'covid', 'vaccine', 'exemptions', 'based', 'religion', '3']",1,Costa Rica
