Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 06:41:02+00:00,1531888533555781633,"Regulators and experts examined continuing COVID-19 pandemic and recovery impacts on #labor mobility and #migrant workers and related support measures during the 12th ADBI-@OECD-@ILO Roundtable on Labor Migration in Asia.

https://t.co/pvYJg7IXpv https://t.co/zDcErCjKLZ",ADBInstitute,"Tokyo, Japan",5,0,3,0,ADBI is the think tank of @ADB_HQ. We conduct policy research and capacity building to drive sustainable development in Asia and the Pacific.,16630,"['labor', 'migrant']",regulators and experts examined continuing covid19 pandemic and recovery impacts on labor mobility and migrant workers and related support measures during the 12th adbi roundtable on labor migration in asia,"['regulators', 'and', 'experts', 'examined', 'continuing', 'covid19', 'pandemic', 'and', 'recovery', 'impacts', 'on', 'labor', 'mobility', 'and', 'migrant', 'workers', 'and', 'related', 'support', 'measures', 'during', 'the', '12th', 'adbi', 'roundtable', 'on', 'labor', 'migration', 'in', 'asia']","['regulators', 'experts', 'examined', 'continuing', 'covid19', 'pandemic', 'recovery', 'impacts', 'labor', 'mobility', 'migrant', 'workers', 'related', 'support', 'measures', '12th', 'adbi', 'roundtable', 'labor', 'migration', 'asia']","['regul', 'expert', 'examin', 'continu', 'covid19', 'pandem', 'recoveri', 'impact', 'labor', 'mobil', 'migrant', 'worker', 'relat', 'support', 'measur', '12th', 'adbi', 'roundtabl', 'labor', 'migrat', 'asia']","['regulators', 'experts', 'examined', 'continuing', 'covid19', 'pandemic', 'recovery', 'impacts', 'labor', 'mobility', 'migrant', 'workers', 'related', 'support', 'measures', '12th', 'adbi', 'roundtable', 'labor', 'migration', 'asia']",4,Japan
2022-06-07 14:11:52+00:00,1534176317369122817,@SANDROANDRINE @redsand2 @Judy_Cockerton @ThalaBeratung @SherylPrattERA @datsyuklover @BeatriceLacy @malekalby @vivist1 @ShoutMGB @loveGoldenHeart @cynthia_lardner @PatGrant7777 @saferprint @heroldbarton @BlumigOnline @LindenA_S Good for you Sandrine. Wearing a mask is still very useful. I didn't care that many people in the US disapproved of how I looked wearing a mask. Until a permanent vaccine is developed I think it's still wise to take precautions with covid.,MTraziWilliams,Japan,1,0,0,0,"New Orleans expat ~ science, writing, wolves, dogs, veggie, musician",17431,,good for you sandrine wearing a mask is still very useful i didnt care that many people in the us disapproved of how i looked wearing a mask until a permanent vaccine is developed i think its still wise to take precautions with covid,"['good', 'for', 'you', 'sandrine', 'wearing', 'a', 'mask', 'is', 'still', 'very', 'useful', 'i', 'didnt', 'care', 'that', 'many', 'people', 'in', 'the', 'us', 'disapproved', 'of', 'how', 'i', 'looked', 'wearing', 'a', 'mask', 'until', 'a', 'permanent', 'vaccine', 'is', 'developed', 'i', 'think', 'its', 'still', 'wise', 'to', 'take', 'precautions', 'with', 'covid']","['good', 'sandrine', 'wearing', 'mask', 'still', 'useful', 'didnt', 'care', 'many', 'people', 'us', 'disapproved', 'looked', 'wearing', 'mask', 'permanent', 'vaccine', 'developed', 'think', 'still', 'wise', 'take', 'precautions', 'covid']","['good', 'sandrin', 'wear', 'mask', 'still', 'use', 'didnt', 'care', 'mani', 'peopl', 'us', 'disapprov', 'look', 'wear', 'mask', 'perman', 'vaccin', 'develop', 'think', 'still', 'wise', 'take', 'precaut', 'covid']","['good', 'sandrine', 'wearing', 'mask', 'still', 'useful', 'didnt', 'care', 'many', 'people', 'us', 'disapproved', 'looked', 'wearing', 'mask', 'permanent', 'vaccine', 'developed', 'think', 'still', 'wise', 'take', 'precautions', 'covid']",4,Japan
2022-06-01 06:41:02+00:00,1531888533555781633,"Regulators and experts examined continuing COVID-19 pandemic and recovery impacts on #labor mobility and #migrant workers and related support measures during the 12th ADBI-@OECD-@ILO Roundtable on Labor Migration in Asia.

https://t.co/pvYJg7IXpv https://t.co/zDcErCjKLZ",ADBInstitute,"Tokyo, Japan",5,0,3,0,ADBI is the think tank of @ADB_HQ. We conduct policy research and capacity building to drive sustainable development in Asia and the Pacific.,16630,"['labor', 'migrant']",regulators and experts examined continuing covid19 pandemic and recovery impacts on labor mobility and migrant workers and related support measures during the 12th adbi roundtable on labor migration in asia,"['regulators', 'and', 'experts', 'examined', 'continuing', 'covid19', 'pandemic', 'and', 'recovery', 'impacts', 'on', 'labor', 'mobility', 'and', 'migrant', 'workers', 'and', 'related', 'support', 'measures', 'during', 'the', '12th', 'adbi', 'roundtable', 'on', 'labor', 'migration', 'in', 'asia']","['regulators', 'experts', 'examined', 'continuing', 'covid19', 'pandemic', 'recovery', 'impacts', 'labor', 'mobility', 'migrant', 'workers', 'related', 'support', 'measures', '12th', 'adbi', 'roundtable', 'labor', 'migration', 'asia']","['regul', 'expert', 'examin', 'continu', 'covid19', 'pandem', 'recoveri', 'impact', 'labor', 'mobil', 'migrant', 'worker', 'relat', 'support', 'measur', '12th', 'adbi', 'roundtabl', 'labor', 'migrat', 'asia']","['regulators', 'experts', 'examined', 'continuing', 'covid19', 'pandemic', 'recovery', 'impacts', 'labor', 'mobility', 'migrant', 'workers', 'related', 'support', 'measures', '12th', 'adbi', 'roundtable', 'labor', 'migration', 'asia']",4,Japan
2022-06-14 12:35:26+00:00,1536688764356964354,"@Calamity_brain @songpinganq Worse.

Trump's barricade was an excessive national defense policy to prevent immigrants from Mexico. Mexicans were enemies to Trump.

Xi Jinping's barricade is to prevent weak ppl from getting out of the country, &amp; it’s an extinction policy that complements the Zero-COVID policy",TenseiSugahara,東京,0,0,0,0,"Philosophy, science, art... human activities are all manifestation of intelligence. The history of social experiments forms the world. tenseicall@gmail.com",729,,worse trumps barricade was an excessive national defense policy to prevent immigrants from mexico mexicans were enemies to trump xi jinpings barricade is to prevent weak ppl from getting out of the country amp its an extinction policy that complements the zerocovid policy,"['worse', 'trumps', 'barricade', 'was', 'an', 'excessive', 'national', 'defense', 'policy', 'to', 'prevent', 'immigrants', 'from', 'mexico', 'mexicans', 'were', 'enemies', 'to', 'trump', 'xi', 'jinpings', 'barricade', 'is', 'to', 'prevent', 'weak', 'ppl', 'from', 'getting', 'out', 'of', 'the', 'country', 'amp', 'its', 'an', 'extinction', 'policy', 'that', 'complements', 'the', 'zerocovid', 'policy']","['worse', 'trumps', 'barricade', 'excessive', 'national', 'defense', 'policy', 'prevent', 'immigrants', 'mexico', 'mexicans', 'enemies', 'trump', 'xi', 'jinpings', 'barricade', 'prevent', 'weak', 'ppl', 'getting', 'country', 'amp', 'extinction', 'policy', 'complements', 'zerocovid', 'policy']","['wors', 'trump', 'barricad', 'excess', 'nation', 'defens', 'polici', 'prevent', 'immigr', 'mexico', 'mexican', 'enemi', 'trump', 'xi', 'jinp', 'barricad', 'prevent', 'weak', 'ppl', 'get', 'countri', 'amp', 'extinct', 'polici', 'complement', 'zerocovid', 'polici']","['worse', 'trumps', 'barricade', 'excessive', 'national', 'defense', 'policy', 'prevent', 'immigrants', 'mexico', 'mexicans', 'enemies', 'trump', 'xi', 'jinpings', 'barricade', 'prevent', 'weak', 'ppl', 'getting', 'country', 'amp', 'extinction', 'policy', 'complements', 'zerocovid', 'policy']",1,Japan
2021-07-23 02:54:53+00:00,1418404220651270146,"#UNESCO should investigate thoroughly.  In #Gunkanjima  they were at least not forcibly work.  They are migrant worker.  They worked under the same working conditions and salaries as the Japanese.  Does the world call it forced labor?
Then all of us workers are forced laborers. https://t.co/LcZkIz205T",hiromasa0718,神奈川県,1,0,1,0,"独身会社員です
阪神ネタ、ヴィッセルネタ、SC相模原ネタ、Atletico de San Luisや政治ネタ、生活ネタを中心に呟いてます(笑)
在住歴
神戸23年→座間1ヶ月→神戸2年→町田2年→鵜野森9ヶ月→西宮3ヶ月→小田急相模原8年→原当麻10年(うち、7ヶ月山梨)→メキシコ1年半→原当麻3年
...て感じかな",566,"['UNESCO', 'Gunkanjima']",unesco should investigate thoroughly in gunkanjima they were at least not forcibly work they are migrant worker they worked under the same working conditions and salaries as the japanese does the world call it forced labor then all of us workers are forced laborers,"['unesco', 'should', 'investigate', 'thoroughly', 'in', 'gunkanjima', 'they', 'were', 'at', 'least', 'not', 'forcibly', 'work', 'they', 'are', 'migrant', 'worker', 'they', 'worked', 'under', 'the', 'same', 'working', 'conditions', 'and', 'salaries', 'as', 'the', 'japanese', 'does', 'the', 'world', 'call', 'it', 'forced', 'labor', 'then', 'all', 'of', 'us', 'workers', 'are', 'forced', 'laborers']","['unesco', 'investigate', 'thoroughly', 'gunkanjima', 'least', 'forcibly', 'work', 'migrant', 'worker', 'worked', 'working', 'conditions', 'salaries', 'japanese', 'world', 'call', 'forced', 'labor', 'us', 'workers', 'forced', 'laborers']","['unesco', 'investig', 'thoroughli', 'gunkanjima', 'least', 'forcibl', 'work', 'migrant', 'worker', 'work', 'work', 'condit', 'salari', 'japanes', 'world', 'call', 'forc', 'labor', 'us', 'worker', 'forc', 'labor']","['unesco', 'investigate', 'thoroughly', 'gunkanjima', 'least', 'forcibly', 'work', 'migrant', 'worker', 'worked', 'working', 'conditions', 'salaries', 'japanese', 'world', 'call', 'forced', 'labor', 'us', 'workers', 'forced', 'laborers']",1,Japan
2022-06-05 21:55:47+00:00,1533568290009886720,"Tomorrow login is courtesy] Zongqing greenery, the Dragon Boat Festival is online to receive gifts!
Dumpling leaves are fragrant, and the Dragon Boat Festival is healthy. The long holiday is about to start, remember to get your holiday benefits. https://t.co/iso055yPOm",vlfofficiall,日本,11,1,0,0,,2429,,tomorrow login is courtesy zongqing greenery the dragon boat festival is online to receive gifts dumpling leaves are fragrant and the dragon boat festival is healthythe long holiday is about to start remember to get your holiday benefits,"['tomorrow', 'login', 'is', 'courtesy', 'zongqing', 'greenery', 'the', 'dragon', 'boat', 'festival', 'is', 'online', 'to', 'receive', 'gifts', 'dumpling', 'leaves', 'are', 'fragrant', 'and', 'the', 'dragon', 'boat', 'festival', 'is', 'healthythe', 'long', 'holiday', 'is', 'about', 'to', 'start', 'remember', 'to', 'get', 'your', 'holiday', 'benefits']","['tomorrow', 'login', 'courtesy', 'zongqing', 'greenery', 'dragon', 'boat', 'festival', 'online', 'receive', 'gifts', 'dumpling', 'leaves', 'fragrant', 'dragon', 'boat', 'festival', 'healthythe', 'long', 'holiday', 'start', 'remember', 'get', 'holiday', 'benefits']","['tomorrow', 'login', 'courtesi', 'zongq', 'greeneri', 'dragon', 'boat', 'festiv', 'onlin', 'receiv', 'gift', 'dumpl', 'leav', 'fragrant', 'dragon', 'boat', 'festiv', 'healthyth', 'long', 'holiday', 'start', 'rememb', 'get', 'holiday', 'benefit']","['tomorrow', 'login', 'courtesy', 'zongqing', 'greenery', 'dragon', 'boat', 'festival', 'online', 'receive', 'gifts', 'dumpling', 'leaves', 'fragrant', 'dragon', 'boat', 'festival', 'healthythe', 'long', 'holiday', 'start', 'remember', 'get', 'holiday', 'benefits']",3,Japan
2022-05-31 00:31:48+00:00,1531433224563482625,"@KHOU @JacksonLeeTX18 She doesn't care about us Veterans that are blk &amp; mex American,  cuz she gives all our Benefits 2 illegal immigrants! Fact! https://t.co/STyBRqYZUC",WiCkEdNAMI57,"Yokosuka-shi, Kanagawa",2,0,0,0,"Even in darkness, there r starz 2guide u, never lose hope, keep faith in yourself, may u always find urway, becuz u R tha Light!",59,,she doesnt care about us veterans that are blk amp mex american cuz she gives all our benefits 2 illegal immigrants fact,"['she', 'doesnt', 'care', 'about', 'us', 'veterans', 'that', 'are', 'blk', 'amp', 'mex', 'american', 'cuz', 'she', 'gives', 'all', 'our', 'benefits', '2', 'illegal', 'immigrants', 'fact']","['doesnt', 'care', 'us', 'veterans', 'blk', 'amp', 'mex', 'american', 'cuz', 'gives', 'benefits', '2', 'illegal', 'immigrants', 'fact']","['doesnt', 'care', 'us', 'veteran', 'blk', 'amp', 'mex', 'american', 'cuz', 'give', 'benefit', '2', 'illeg', 'immigr', 'fact']","['doesnt', 'care', 'us', 'veterans', 'blk', 'amp', 'mex', 'american', 'cuz', 'gives', 'benefits', '2', 'illegal', 'immigrants', 'fact']",1,Japan
2022-06-19 13:46:46+00:00,1538518655528759297,"Nurse cycling 3,200 miles to every children’s hospice in UK for charity https://t.co/UZY8Jo6jGv",Nagas_K,Tokyo,0,0,0,0,に通う🚶🏻,535,,nurse cycling 3200 miles to every childrens hospice in uk for charity,"['nurse', 'cycling', '3200', 'miles', 'to', 'every', 'childrens', 'hospice', 'in', 'uk', 'for', 'charity']","['nurse', 'cycling', '3200', 'miles', 'every', 'childrens', 'hospice', 'uk', 'charity']","['nurs', 'cycl', '3200', 'mile', 'everi', 'children', 'hospic', 'uk', 'chariti']","['nurse', 'cycling', '3200', 'miles', 'every', 'childrens', 'hospice', 'uk', 'charity']",5,Japan
2022-06-19 13:46:46+00:00,1538518655528759297,"Nurse cycling 3,200 miles to every children’s hospice in UK for charity https://t.co/UZY8Jo6jGv",Nagas_K,Tokyo,0,0,0,0,に通う🚶🏻,535,,nurse cycling 3200 miles to every childrens hospice in uk for charity,"['nurse', 'cycling', '3200', 'miles', 'to', 'every', 'childrens', 'hospice', 'in', 'uk', 'for', 'charity']","['nurse', 'cycling', '3200', 'miles', 'every', 'childrens', 'hospice', 'uk', 'charity']","['nurs', 'cycl', '3200', 'mile', 'everi', 'children', 'hospic', 'uk', 'chariti']","['nurse', 'cycling', '3200', 'miles', 'every', 'childrens', 'hospice', 'uk', 'charity']",5,Japan
2022-06-07 13:07:36+00:00,1534160145952800770,"Newday Impact Launches Ocean Health ETF, Pledges 5% Donation to Non-Profit Working in Ocean Health - PR Newswire https://t.co/dAr1wN1f5X",stockexamen,Japan,0,0,0,0,"Researcher, Investor, and Trader (RIT). News and research on investment opportunities. #Stocks #ETFs #Dividend #Cryptocurrencies",702,,newday impact launches ocean health etf pledges 5 donation to nonprofit working in ocean health pr newswire,"['newday', 'impact', 'launches', 'ocean', 'health', 'etf', 'pledges', '5', 'donation', 'to', 'nonprofit', 'working', 'in', 'ocean', 'health', 'pr', 'newswire']","['newday', 'impact', 'launches', 'ocean', 'health', 'etf', 'pledges', '5', 'donation', 'nonprofit', 'working', 'ocean', 'health', 'pr', 'newswire']","['newday', 'impact', 'launch', 'ocean', 'health', 'etf', 'pledg', '5', 'donat', 'nonprofit', 'work', 'ocean', 'health', 'pr', 'newswir']","['newday', 'impact', 'launches', 'ocean', 'health', 'etf', 'pledges', '5', 'donation', 'nonprofit', 'working', 'ocean', 'health', 'pr', 'newswire']",5,Japan
