Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-07-01 20:21:52+00:00,1410695168995598337,"«In Mandalay, the second-largest city in #Myanmar, seven townships were placed under stay-at-home orders. The six hospitals in the city that accept coronavirus patients have been filled to capacity since last week, according to a local medical charity» https://t.co/OTJSF5o9Wq",TuvaRB,Norway,3,5,3,0,"Head of Communications, Ministry of Foreign Affairs (media@mfa.no) tuva.bogsnes@mfa.no",3358,['Myanmar'],in mandalay the secondlargest city in myanmar seven townships were placed under stayathome orders the six hospitals in the city that accept coronavirus patients have been filled to capacity since last week according to a local medical charity,"['in', 'mandalay', 'the', 'secondlargest', 'city', 'in', 'myanmar', 'seven', 'townships', 'were', 'placed', 'under', 'stayathome', 'orders', 'the', 'six', 'hospitals', 'in', 'the', 'city', 'that', 'accept', 'coronavirus', 'patients', 'have', 'been', 'filled', 'to', 'capacity', 'since', 'last', 'week', 'according', 'to', 'a', 'local', 'medical', 'charity']","['mandalay', 'secondlargest', 'city', 'myanmar', 'seven', 'townships', 'placed', 'stayathome', 'orders', 'six', 'hospitals', 'city', 'accept', 'coronavirus', 'patients', 'filled', 'capacity', 'since', 'last', 'week', 'according', 'local', 'medical', 'charity']","['mandalay', 'secondlargest', 'citi', 'myanmar', 'seven', 'township', 'place', 'stayathom', 'order', 'six', 'hospit', 'citi', 'accept', 'coronaviru', 'patient', 'fill', 'capac', 'sinc', 'last', 'week', 'accord', 'local', 'medic', 'chariti']","['mandalay', 'secondlargest', 'city', 'myanmar', 'seven', 'townships', 'placed', 'stayathome', 'orders', 'six', 'hospitals', 'city', 'accept', 'coronavirus', 'patients', 'filled', 'capacity', 'since', 'last', 'week', 'according', 'local', 'medical', 'charity']",5,Norway
2020-04-09 02:25:04+00:00,1248074419064406016,Eight U.K. Doctors Died From Coronavirus. All Were Immigrants. https://t.co/CekXdWbrNM,pavseth,"Oslo, Norge",1,0,1,0,"Earth scientist & world citizen with passion for rocks and rock music, Liverpool supporter and Bruce Springsteen blood fan. Føck Trump! Føck Putin ⚒️🌎🏳️‍🌈💪",274,,eight uk doctors died from coronavirus all were immigrants,"['eight', 'uk', 'doctors', 'died', 'from', 'coronavirus', 'all', 'were', 'immigrants']","['eight', 'uk', 'doctors', 'died', 'coronavirus', 'immigrants']","['eight', 'uk', 'doctor', 'die', 'coronaviru', 'immigr']","['eight', 'uk', 'doctors', 'died', 'coronavirus', 'immigrants']",1,Norway
2022-04-01 20:14:02+00:00,1509987473245585408,"Translated: “Had we set aside one day to mourn every dead migrant worker and spent Qatar 2022’s opening day to mourn no. 6,500… we would have had to have started in 2005.”

Let that sink in. https://t.co/zAeM8xCsYr",hyllnd,"Oslo, Norge",6,0,1,0,"Author of @BomboneraTears: a football travelogue. 6 years living in 🇦🇷/🇵🇪/🇨🇴 OSLO-BORN🇳🇴, BRIGHTON-BRED🇬🇧 Gooner/VIF",2758,,translated had we set aside one day to mourn every dead migrant worker and spent qatar 2022s opening day to mourn no 6500 we would have had to have started in 2005 let that sink in,"['translated', 'had', 'we', 'set', 'aside', 'one', 'day', 'to', 'mourn', 'every', 'dead', 'migrant', 'worker', 'and', 'spent', 'qatar', '2022s', 'opening', 'day', 'to', 'mourn', 'no', '6500', 'we', 'would', 'have', 'had', 'to', 'have', 'started', 'in', '2005', 'let', 'that', 'sink', 'in']","['translated', 'set', 'aside', 'one', 'day', 'mourn', 'every', 'dead', 'migrant', 'worker', 'spent', 'qatar', '2022s', 'opening', 'day', 'mourn', '6500', 'would', 'started', '2005', 'let', 'sink']","['translat', 'set', 'asid', 'one', 'day', 'mourn', 'everi', 'dead', 'migrant', 'worker', 'spent', 'qatar', '2022', 'open', 'day', 'mourn', '6500', 'would', 'start', '2005', 'let', 'sink']","['translated', 'set', 'aside', 'one', 'day', 'mourn', 'every', 'dead', 'migrant', 'worker', 'spent', 'qatar', '2022s', 'opening', 'day', 'mourn', '6500', 'would', 'started', '2005', 'let', 'sink']",1,Norway
2020-06-10 17:40:10+00:00,1270772759774232577,@grantman2011 We can't change the history.. only the future. All this movement and protest became a ridiculous if we looking problems in the past - during the time when noone so these issues. Why it's a problem.niw and not then.,herr_madis,Norway,1,0,0,0,,82,,we cant change the history only the future all this movement and protest became a ridiculous if we looking problems in the past during the time when noone so these issues why its a problemniw and not then,"['we', 'cant', 'change', 'the', 'history', 'only', 'the', 'future', 'all', 'this', 'movement', 'and', 'protest', 'became', 'a', 'ridiculous', 'if', 'we', 'looking', 'problems', 'in', 'the', 'past', 'during', 'the', 'time', 'when', 'noone', 'so', 'these', 'issues', 'why', 'its', 'a', 'problemniw', 'and', 'not', 'then']","['cant', 'change', 'history', 'future', 'movement', 'protest', 'became', 'ridiculous', 'looking', 'problems', 'past', 'time', 'noone', 'issues', 'problemniw']","['cant', 'chang', 'histori', 'futur', 'movement', 'protest', 'becam', 'ridicul', 'look', 'problem', 'past', 'time', 'noon', 'issu', 'problemniw']","['cant', 'change', 'history', 'future', 'movement', 'protest', 'became', 'ridiculous', 'looking', 'problems', 'past', 'time', 'noone', 'issues', 'problemniw']",1,Norway
2021-06-29 09:21:49+00:00,1409804286280798213,"@forskningsradet has awarded &gt;100mil kr to research explaining mechanisms of health inequality using data @Folkehelseinst #MoBa @NTNUhelse #HUNT but barely these data addresses immigrants, is it not structural bias or discrimination? @OsloMet @AvisenKhrono",DawitSA,"Oslo, Norge",4,1,0,0,🇳🇴 🇪🇹 migration and global health @ OsloMet—Oslo Metropolitan University. Tweets are my own. “Justice must be seen to be done”,314,"['MoBa', 'HUNT']",has awarded gt100mil kr to research explaining mechanisms of health inequality using data moba hunt but barely these data addresses immigrants is it not structural bias or discrimination,"['has', 'awarded', 'gt100mil', 'kr', 'to', 'research', 'explaining', 'mechanisms', 'of', 'health', 'inequality', 'using', 'data', 'moba', 'hunt', 'but', 'barely', 'these', 'data', 'addresses', 'immigrants', 'is', 'it', 'not', 'structural', 'bias', 'or', 'discrimination']","['awarded', 'gt100mil', 'kr', 'research', 'explaining', 'mechanisms', 'health', 'inequality', 'using', 'data', 'moba', 'hunt', 'barely', 'data', 'addresses', 'immigrants', 'structural', 'bias', 'discrimination']","['award', 'gt100mil', 'kr', 'research', 'explain', 'mechan', 'health', 'inequ', 'use', 'data', 'moba', 'hunt', 'bare', 'data', 'address', 'immigr', 'structur', 'bia', 'discrimin']","['awarded', 'gt100mil', 'kr', 'research', 'explaining', 'mechanisms', 'health', 'inequality', 'using', 'data', 'moba', 'hunt', 'barely', 'data', 'addresses', 'immigrants', 'structural', 'bias', 'discrimination']",1,Norway
2020-10-07 13:02:06+00:00,1313826937765335040,@PH_Evidence @GwilliamsPh Many migrant health researchers say suspiciousness challenge recruitment. Some of our respondents expressed fair we would report findings to immigration authorities. Including Arab spraking refugees in the research team increased trust. #PHJournal,EMStromme,Norway,2,0,1,0,"Medical doctor and PhD | Global health, Migrant health, Refugee health| Research at @IGS_uib @UiB | Views are my own",309,['PHJournal'],many migrant health researchers say suspiciousness challenge recruitment some of our respondents expressed fair we would report findings to immigration authorities including arab spraking refugees in the research team increased trust phjournal,"['many', 'migrant', 'health', 'researchers', 'say', 'suspiciousness', 'challenge', 'recruitment', 'some', 'of', 'our', 'respondents', 'expressed', 'fair', 'we', 'would', 'report', 'findings', 'to', 'immigration', 'authorities', 'including', 'arab', 'spraking', 'refugees', 'in', 'the', 'research', 'team', 'increased', 'trust', 'phjournal']","['many', 'migrant', 'health', 'researchers', 'say', 'suspiciousness', 'challenge', 'recruitment', 'respondents', 'expressed', 'fair', 'would', 'report', 'findings', 'immigration', 'authorities', 'including', 'arab', 'spraking', 'refugees', 'research', 'team', 'increased', 'trust', 'phjournal']","['mani', 'migrant', 'health', 'research', 'say', 'suspici', 'challeng', 'recruit', 'respond', 'express', 'fair', 'would', 'report', 'find', 'immigr', 'author', 'includ', 'arab', 'sprake', 'refuge', 'research', 'team', 'increas', 'trust', 'phjournal']","['many', 'migrant', 'health', 'researchers', 'say', 'suspiciousness', 'challenge', 'recruitment', 'respondents', 'expressed', 'fair', 'would', 'report', 'findings', 'immigration', 'authorities', 'including', 'arab', 'spraking', 'refugees', 'research', 'team', 'increased', 'trust', 'phjournal']",2,Norway
2020-10-07 12:30:49+00:00,1313819067015462912,"@PH_Evidence Good idea, I would welcome a UK sist like that! Norway has plenty of high quality health registry data. Problem is that asylum seekers/refugees are not counted in unless they are expected to stay over six months, ie a gap for newly arrived migrants. #PHJournal",EMStromme,Norway,0,1,0,0,"Medical doctor and PhD | Global health, Migrant health, Refugee health| Research at @IGS_uib @UiB | Views are my own",309,['PHJournal'],good idea i would welcome a uk sist like that norway has plenty of high quality health registry data problem is that asylum seekersrefugees are not counted in unless they are expected to stay over six months ie a gap for newly arrived migrants phjournal,"['good', 'idea', 'i', 'would', 'welcome', 'a', 'uk', 'sist', 'like', 'that', 'norway', 'has', 'plenty', 'of', 'high', 'quality', 'health', 'registry', 'data', 'problem', 'is', 'that', 'asylum', 'seekersrefugees', 'are', 'not', 'counted', 'in', 'unless', 'they', 'are', 'expected', 'to', 'stay', 'over', 'six', 'months', 'ie', 'a', 'gap', 'for', 'newly', 'arrived', 'migrants', 'phjournal']","['good', 'idea', 'would', 'welcome', 'uk', 'sist', 'like', 'norway', 'plenty', 'high', 'quality', 'health', 'registry', 'data', 'problem', 'asylum', 'seekersrefugees', 'counted', 'unless', 'expected', 'stay', 'six', 'months', 'ie', 'gap', 'newly', 'arrived', 'migrants', 'phjournal']","['good', 'idea', 'would', 'welcom', 'uk', 'sist', 'like', 'norway', 'plenti', 'high', 'qualiti', 'health', 'registri', 'data', 'problem', 'asylum', 'seekersrefuge', 'count', 'unless', 'expect', 'stay', 'six', 'month', 'ie', 'gap', 'newli', 'arriv', 'migrant', 'phjournal']","['good', 'idea', 'would', 'welcome', 'uk', 'sist', 'like', 'norway', 'plenty', 'high', 'quality', 'health', 'registry', 'data', 'problem', 'asylum', 'seekersrefugees', 'counted', 'unless', 'expected', 'stay', 'six', 'months', 'ie', 'gap', 'newly', 'arrived', 'migrants', 'phjournal']",3,Norway
2020-03-06 09:38:07+00:00,1235862213887287297,Cross-sectoral collaboration is key to exploit innovation and build new markets. @DigitalNorway at @EEANorwayGrants Green Industry and ICT event talking about @digiBcube @Clusters_EU project on accelerating support for Health and IT SMEs @Horisont2020 @InnovasjonNorge https://t.co/z0NZJNiLvL,PavanKSriram,Norway,6,0,4,0,"Head International Projects, @DigitalNorway |Former President, @Erasmus_Mundus |Globetrotter| Volunteer| Globalcitizen",328,,crosssectoral collaboration is key to exploit innovation and build new markets at green industry and ict event talking about project on accelerating support for health and it smes,"['crosssectoral', 'collaboration', 'is', 'key', 'to', 'exploit', 'innovation', 'and', 'build', 'new', 'markets', 'at', 'green', 'industry', 'and', 'ict', 'event', 'talking', 'about', 'project', 'on', 'accelerating', 'support', 'for', 'health', 'and', 'it', 'smes']","['crosssectoral', 'collaboration', 'key', 'exploit', 'innovation', 'build', 'new', 'markets', 'green', 'industry', 'ict', 'event', 'talking', 'project', 'accelerating', 'support', 'health', 'smes']","['crosssector', 'collabor', 'key', 'exploit', 'innov', 'build', 'new', 'market', 'green', 'industri', 'ict', 'event', 'talk', 'project', 'acceler', 'support', 'health', 'sme']","['crosssectoral', 'collaboration', 'key', 'exploit', 'innovation', 'build', 'new', 'markets', 'green', 'industry', 'ict', 'event', 'talking', 'project', 'accelerating', 'support', 'health', 'smes']",5,Norway
2020-02-01 14:14:01+00:00,1223610458231406592,Proud to be one of the qualified scientist to be supported by the Norwegian Women's Public Health Association charity fundraising work. @SanitetKvinnene @hiofnorge @sward_elisabeth 👍 https://t.co/mVLjxX8CpI,TFMathisen,"Oslo, Norway",18,3,0,1,"PhD, Dietitian, Exercise Physiologist.👩‍💻☕🍎🏃‍♀️
 Former powerlifter 🏋🏻‍♀️",728,,proud to be one of the qualified scientist to be supported by the norwegian womens public health association charity fundraising work,"['proud', 'to', 'be', 'one', 'of', 'the', 'qualified', 'scientist', 'to', 'be', 'supported', 'by', 'the', 'norwegian', 'womens', 'public', 'health', 'association', 'charity', 'fundraising', 'work']","['proud', 'one', 'qualified', 'scientist', 'supported', 'norwegian', 'womens', 'public', 'health', 'association', 'charity', 'fundraising', 'work']","['proud', 'one', 'qualifi', 'scientist', 'support', 'norwegian', 'women', 'public', 'health', 'associ', 'chariti', 'fundrais', 'work']","['proud', 'one', 'qualified', 'scientist', 'supported', 'norwegian', 'womens', 'public', 'health', 'association', 'charity', 'fundraising', 'work']",5,Norway
2022-06-05 14:51:36+00:00,1533461542368428033,I hope there are security agents stationed at all these healthcare facilities attending to victims of the attack. Let's not take it for granted that these evil people have gone away. They may just be lurking around and looking to wreck more havoc. PLEASE BE SECURITY ALERT!,ibytoria,"Oslo, Norway",2,0,0,0,"Wife, mother, writer, actor, lover & Liverpool FC fan. Saved by Divine Grace.",1373,,i hope there are security agents stationed at all these healthcare facilities attending to victims of the attack lets not take it for granted that these evil people have gone away they may just be lurking around and looking to wreck more havoc please be security alert,"['i', 'hope', 'there', 'are', 'security', 'agents', 'stationed', 'at', 'all', 'these', 'healthcare', 'facilities', 'attending', 'to', 'victims', 'of', 'the', 'attack', 'lets', 'not', 'take', 'it', 'for', 'granted', 'that', 'these', 'evil', 'people', 'have', 'gone', 'away', 'they', 'may', 'just', 'be', 'lurking', 'around', 'and', 'looking', 'to', 'wreck', 'more', 'havoc', 'please', 'be', 'security', 'alert']","['hope', 'security', 'agents', 'stationed', 'healthcare', 'facilities', 'attending', 'victims', 'attack', 'lets', 'take', 'granted', 'evil', 'people', 'gone', 'away', 'may', 'lurking', 'around', 'looking', 'wreck', 'havoc', 'please', 'security', 'alert']","['hope', 'secur', 'agent', 'station', 'healthcar', 'facil', 'attend', 'victim', 'attack', 'let', 'take', 'grant', 'evil', 'peopl', 'gone', 'away', 'may', 'lurk', 'around', 'look', 'wreck', 'havoc', 'pleas', 'secur', 'alert']","['hope', 'security', 'agents', 'stationed', 'healthcare', 'facilities', 'attending', 'victims', 'attack', 'lets', 'take', 'granted', 'evil', 'people', 'gone', 'away', 'may', 'lurking', 'around', 'looking', 'wreck', 'havoc', 'please', 'security', 'alert']",1,Norway
