Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-02-21 21:02:08+00:00,1.4958664497510643e+18,"smile,laugh, believe, trust, understand, pray, learn, improve, love,kiss,hug ,thank,be,embrace enjoy,cherish, grow, appreciate, let, care,dream, grant, give, commit, heal,listen, awake,accomplish, belong, help, breathe ,value, praise, celebrate,built ,respect ,forgive and forget.",batallacris1,"San José, Costa Rica",1.0,0.0,0.0,0.0,,174.0,,smilelaugh believe trust understand pray learn improve lovekisshug thankbeembrace enjoycherish grow appreciate let caredream grant give commit heallisten awakeaccomplish belong help breathe value praise celebratebuilt respect forgive and forget,"['smilelaugh', 'believe', 'trust', 'understand', 'pray', 'learn', 'improve', 'lovekisshug', 'thankbeembrace', 'enjoycherish', 'grow', 'appreciate', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breathe', 'value', 'praise', 'celebratebuilt', 'respect', 'forgive', 'and', 'forget']","['smilelaugh', 'believe', 'trust', 'understand', 'pray', 'learn', 'improve', 'lovekisshug', 'thankbeembrace', 'enjoycherish', 'grow', 'appreciate', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breathe', 'value', 'praise', 'celebratebuilt', 'respect', 'forgive', 'forget']","['smilelaugh', 'believ', 'trust', 'understand', 'pray', 'learn', 'improv', 'lovekisshug', 'thankbeembrac', 'enjoycherish', 'grow', 'appreci', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breath', 'valu', 'prais', 'celebratebuilt', 'respect', 'forgiv', 'forget']","['smilelaugh', 'believe', 'trust', 'understand', 'pray', 'learn', 'improve', 'lovekisshug', 'thankbeembrace', 'enjoycherish', 'grow', 'appreciate', 'let', 'caredream', 'grant', 'give', 'commit', 'heallisten', 'awakeaccomplish', 'belong', 'help', 'breathe', 'value', 'praise', 'celebratebuilt', 'respect', 'forgive', 'forget']",5,Panama
2020-05-28 14:50:07+00:00,1.266018924044464e+18,"‘Refugees and migrants from #venezuela disproportionately affected by the #COVID and loss of  livelihood contributed to additional health, exploitation and trafficking risks’. Sarah Stemmler @UNmigration chairing the panel on Private Sector in the context of the #RV4. https://t.co/7MpQDeLA7m",AlbertoPreato,#IAmAMigrant,4.0,0.0,2.0,0.0,"Husband,🐶 co-parent, late night piano singer 🎹 Senior regional coordinator 🇺🇳 @UNMigration Humanitarian design fellow 🇺🇸 @FordhamNYC (views mine)",1600.0,"['venezuela', 'COVID', 'RV4']",refugees and migrants from venezuela disproportionately affected by the covid and loss of livelihood contributed to additional health exploitation and trafficking risks sarah stemmler chairing the panel on private sector in the context of the rv4,"['refugees', 'and', 'migrants', 'from', 'venezuela', 'disproportionately', 'affected', 'by', 'the', 'covid', 'and', 'loss', 'of', 'livelihood', 'contributed', 'to', 'additional', 'health', 'exploitation', 'and', 'trafficking', 'risks', 'sarah', 'stemmler', 'chairing', 'the', 'panel', 'on', 'private', 'sector', 'in', 'the', 'context', 'of', 'the', 'rv4']","['refugees', 'migrants', 'venezuela', 'disproportionately', 'affected', 'covid', 'loss', 'livelihood', 'contributed', 'additional', 'health', 'exploitation', 'trafficking', 'risks', 'sarah', 'stemmler', 'chairing', 'panel', 'private', 'sector', 'context', 'rv4']","['refuge', 'migrant', 'venezuela', 'disproportion', 'affect', 'covid', 'loss', 'livelihood', 'contribut', 'addit', 'health', 'exploit', 'traffick', 'risk', 'sarah', 'stemmler', 'chair', 'panel', 'privat', 'sector', 'context', 'rv4']","['refugees', 'migrants', 'venezuela', 'disproportionately', 'affected', 'covid', 'loss', 'livelihood', 'contributed', 'additional', 'health', 'exploitation', 'trafficking', 'risks', 'sarah', 'stemmler', 'chairing', 'panel', 'private', 'sector', 'context', 'rv4']",1,Panama
2020-12-31 18:51:12+00:00,1.344717759427588e+18,"Very interesting read. Impact of #COVID19 on #Venezuelan migrants’ access to health:

▪️Legal and financial obstacles
▪️Discrimination 
▪️Information asymmetry 
▪️Access and alternative healthcare
▪️Network of Venezuelan doctors 

Full paper here: https://t.co/NBOKA03Puz https://t.co/APgzZg8lzq https://t.co/0sQvKXD2On",AlbertoPreato,#IAmAMigrant,0.0,0.0,1.0,0.0,"Husband,🐶 co-parent, late night piano singer 🎹 Senior regional coordinator 🇺🇳 @UNMigration Humanitarian design fellow 🇺🇸 @FordhamNYC (views mine)",1600.0,"['COVID19', 'Venezuelan']",very interesting read impact of covid19 on venezuelan migrants access to health legal and financial obstacles discrimination information asymmetry access and alternative healthcare network of venezuelan doctors full paper here,"['very', 'interesting', 'read', 'impact', 'of', 'covid19', 'on', 'venezuelan', 'migrants', 'access', 'to', 'health', 'legal', 'and', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'and', 'alternative', 'healthcare', 'network', 'of', 'venezuelan', 'doctors', 'full', 'paper', 'here']","['interesting', 'read', 'impact', 'covid19', 'venezuelan', 'migrants', 'access', 'health', 'legal', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'alternative', 'healthcare', 'network', 'venezuelan', 'doctors', 'full', 'paper']","['interest', 'read', 'impact', 'covid19', 'venezuelan', 'migrant', 'access', 'health', 'legal', 'financi', 'obstacl', 'discrimin', 'inform', 'asymmetri', 'access', 'altern', 'healthcar', 'network', 'venezuelan', 'doctor', 'full', 'paper']","['interesting', 'read', 'impact', 'covid19', 'venezuelan', 'migrants', 'access', 'health', 'legal', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'alternative', 'healthcare', 'network', 'venezuelan', 'doctors', 'full', 'paper']",4,Panama
2020-03-20 13:51:46+00:00,1.2409994778356408e+18,"“#COVID19 does not discriminate, and nor should our response” - so true. Rather, let’s take special care of those around us, our families and neighbors, but also of migrants, refugees and marginalized groups. They all need access to health care and our passion - more than ever! https://t.co/r6qQ5PQk0b",TimHHowe,"San Jose, Costa Rica",14.0,1.0,4.0,0.0,"@UNMigration Sr. Regional #Protection Specialist for Central America, North America and the Caribbean, retweets are no endorsements, views expressed mine.",728.0,['COVID19'],covid19 does not discriminate and nor should our response so true rather lets take special care of those around us our families and neighbors but also of migrants refugees and marginalized groups they all need access to health care and our passion more than ever,"['covid19', 'does', 'not', 'discriminate', 'and', 'nor', 'should', 'our', 'response', 'so', 'true', 'rather', 'lets', 'take', 'special', 'care', 'of', 'those', 'around', 'us', 'our', 'families', 'and', 'neighbors', 'but', 'also', 'of', 'migrants', 'refugees', 'and', 'marginalized', 'groups', 'they', 'all', 'need', 'access', 'to', 'health', 'care', 'and', 'our', 'passion', 'more', 'than', 'ever']","['covid19', 'discriminate', 'response', 'true', 'rather', 'lets', 'take', 'special', 'care', 'around', 'us', 'families', 'neighbors', 'also', 'migrants', 'refugees', 'marginalized', 'groups', 'need', 'access', 'health', 'care', 'passion', 'ever']","['covid19', 'discrimin', 'respons', 'true', 'rather', 'let', 'take', 'special', 'care', 'around', 'us', 'famili', 'neighbor', 'also', 'migrant', 'refuge', 'margin', 'group', 'need', 'access', 'health', 'care', 'passion', 'ever']","['covid19', 'discriminate', 'response', 'true', 'rather', 'lets', 'take', 'special', 'care', 'around', 'us', 'families', 'neighbors', 'also', 'migrants', 'refugees', 'marginalized', 'groups', 'need', 'access', 'health', 'care', 'passion', 'ever']",5,Panama
2020-02-24 03:00:08+00:00,1.2317757918238474e+18,@ScottFordTVGuy When it became clear that the Dems will nominate real communist Bernie Sanders I made a donation to the Trump Campaign &amp; @GOP We have to re-elected Trump &amp; control the Senate &amp; House.  If we lose in 2020 to Dems they will never give up power &amp; freedom will die. @foxnewspolitics,valwayne,"Denver, CO",12.0,1.0,5.0,0.0,,3040.0,,when it became clear that the dems will nominate real communist bernie sanders i made a donation to the trump campaign amp we have to reelected trump amp control the senate amp house if we lose in 2020 to dems they will never give up power amp freedom will die,"['when', 'it', 'became', 'clear', 'that', 'the', 'dems', 'will', 'nominate', 'real', 'communist', 'bernie', 'sanders', 'i', 'made', 'a', 'donation', 'to', 'the', 'trump', 'campaign', 'amp', 'we', 'have', 'to', 'reelected', 'trump', 'amp', 'control', 'the', 'senate', 'amp', 'house', 'if', 'we', 'lose', 'in', '2020', 'to', 'dems', 'they', 'will', 'never', 'give', 'up', 'power', 'amp', 'freedom', 'will', 'die']","['became', 'clear', 'dems', 'nominate', 'real', 'communist', 'bernie', 'sanders', 'made', 'donation', 'trump', 'campaign', 'amp', 'reelected', 'trump', 'amp', 'control', 'senate', 'amp', 'house', 'lose', '2020', 'dems', 'never', 'give', 'power', 'amp', 'freedom', 'die']","['becam', 'clear', 'dem', 'nomin', 'real', 'communist', 'berni', 'sander', 'made', 'donat', 'trump', 'campaign', 'amp', 'reelect', 'trump', 'amp', 'control', 'senat', 'amp', 'hous', 'lose', '2020', 'dem', 'never', 'give', 'power', 'amp', 'freedom', 'die']","['became', 'clear', 'dems', 'nominate', 'real', 'communist', 'bernie', 'sanders', 'made', 'donation', 'trump', 'campaign', 'amp', 'reelected', 'trump', 'amp', 'control', 'senate', 'amp', 'house', 'lose', '2020', 'dems', 'never', 'give', 'power', 'amp', 'freedom', 'die']",1,Panama
2021-07-08 18:19:16+00:00,1.413201030582526e+18,Another failure for the Binden administration addressing the Pandemic COVID -19 n variants. .Clueless Hindu Harris( aka border czar )  avoiding n failing to address the health risk of illegal  migrants invasion to the American people.  (illegal aliens from around the globe) 😷,SeanR85098057,"Los Angeles, /Central America",1.0,1.0,1.0,0.0,"Security Analyst,Pilot,Patriot,Veteran.studies in psychological warfare,human behavior,interrogations,Independent,Catholic.🌍😎🌴",53.0,,another failure for the binden administration addressing the pandemic covid 19 n variants clueless hindu harris aka border czar avoiding n failing to address the health risk of illegal migrants invasion to the american people illegal aliens from around the globe,"['another', 'failure', 'for', 'the', 'binden', 'administration', 'addressing', 'the', 'pandemic', 'covid', '19', 'n', 'variants', 'clueless', 'hindu', 'harris', 'aka', 'border', 'czar', 'avoiding', 'n', 'failing', 'to', 'address', 'the', 'health', 'risk', 'of', 'illegal', 'migrants', 'invasion', 'to', 'the', 'american', 'people', 'illegal', 'aliens', 'from', 'around', 'the', 'globe']","['another', 'failure', 'binden', 'administration', 'addressing', 'pandemic', 'covid', '19', 'n', 'variants', 'clueless', 'hindu', 'harris', 'aka', 'border', 'czar', 'avoiding', 'n', 'failing', 'address', 'health', 'risk', 'illegal', 'migrants', 'invasion', 'american', 'people', 'illegal', 'aliens', 'around', 'globe']","['anoth', 'failur', 'binden', 'administr', 'address', 'pandem', 'covid', '19', 'n', 'variant', 'clueless', 'hindu', 'harri', 'aka', 'border', 'czar', 'avoid', 'n', 'fail', 'address', 'health', 'risk', 'illeg', 'migrant', 'invas', 'american', 'peopl', 'illeg', 'alien', 'around', 'globe']","['another', 'failure', 'binden', 'administration', 'addressing', 'pandemic', 'covid', '19', 'n', 'variants', 'clueless', 'hindu', 'harris', 'aka', 'border', 'czar', 'avoiding', 'n', 'failing', 'address', 'health', 'risk', 'illegal', 'migrants', 'invasion', 'american', 'people', 'illegal', 'aliens', 'around', 'globe']",1,Panama
2020-12-31 18:51:12+00:00,1.344717759427588e+18,"Very interesting read. Impact of #COVID19 on #Venezuelan migrants’ access to health:

▪️Legal and financial obstacles
▪️Discrimination 
▪️Information asymmetry 
▪️Access and alternative healthcare
▪️Network of Venezuelan doctors 

Full paper here: https://t.co/NBOKA03Puz https://t.co/APgzZg8lzq https://t.co/0sQvKXD2On",AlbertoPreato,#IAmAMigrant,0.0,0.0,1.0,0.0,"Husband,🐶 co-parent, late night piano singer 🎹 Senior regional coordinator 🇺🇳 @UNMigration Humanitarian design fellow 🇺🇸 @FordhamNYC (views mine)",1600.0,"['COVID19', 'Venezuelan']",very interesting read impact of covid19 on venezuelan migrants access to health legal and financial obstacles discrimination information asymmetry access and alternative healthcare network of venezuelan doctors full paper here,"['very', 'interesting', 'read', 'impact', 'of', 'covid19', 'on', 'venezuelan', 'migrants', 'access', 'to', 'health', 'legal', 'and', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'and', 'alternative', 'healthcare', 'network', 'of', 'venezuelan', 'doctors', 'full', 'paper', 'here']","['interesting', 'read', 'impact', 'covid19', 'venezuelan', 'migrants', 'access', 'health', 'legal', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'alternative', 'healthcare', 'network', 'venezuelan', 'doctors', 'full', 'paper']","['interest', 'read', 'impact', 'covid19', 'venezuelan', 'migrant', 'access', 'health', 'legal', 'financi', 'obstacl', 'discrimin', 'inform', 'asymmetri', 'access', 'altern', 'healthcar', 'network', 'venezuelan', 'doctor', 'full', 'paper']","['interesting', 'read', 'impact', 'covid19', 'venezuelan', 'migrants', 'access', 'health', 'legal', 'financial', 'obstacles', 'discrimination', 'information', 'asymmetry', 'access', 'alternative', 'healthcare', 'network', 'venezuelan', 'doctors', 'full', 'paper']",4,Panama
2020-04-29 11:29:52+00:00,1.2554592802301993e+18,"@RadioFreeTom @TheRickWilson So there's hope those 2 idiots get COVID-19, natural selection will take care of rednecks and an pair of idiots who are killing immigrants and US citizens who can't afford health insurance",ArturoHavr,,0.0,0.0,0.0,0.0,"Ingeniero Industrial, emprendedor y creyente de mejorar las cosas en lugar de quejarse",117.0,,so theres hope those 2 idiots get covid19 natural selection will take care of rednecks and an pair of idiots who are killing immigrants and us citizens who cant afford health insurance,"['so', 'theres', 'hope', 'those', '2', 'idiots', 'get', 'covid19', 'natural', 'selection', 'will', 'take', 'care', 'of', 'rednecks', 'and', 'an', 'pair', 'of', 'idiots', 'who', 'are', 'killing', 'immigrants', 'and', 'us', 'citizens', 'who', 'cant', 'afford', 'health', 'insurance']","['theres', 'hope', '2', 'idiots', 'get', 'covid19', 'natural', 'selection', 'take', 'care', 'rednecks', 'pair', 'idiots', 'killing', 'immigrants', 'us', 'citizens', 'cant', 'afford', 'health', 'insurance']","['there', 'hope', '2', 'idiot', 'get', 'covid19', 'natur', 'select', 'take', 'care', 'redneck', 'pair', 'idiot', 'kill', 'immigr', 'us', 'citizen', 'cant', 'afford', 'health', 'insur']","['theres', 'hope', '2', 'idiots', 'get', 'covid19', 'natural', 'selection', 'take', 'care', 'rednecks', 'pair', 'idiots', 'killing', 'immigrants', 'us', 'citizens', 'cant', 'afford', 'health', 'insurance']",4,Panama
2020-04-29 11:22:41+00:00,1.2554574735798843e+18,"@Djmcafee4Dotti @JoyceWhiteVance Hope you to let rednecks remember to not vote for an idiot show man who's an ego maniac and doesn't have a clue of what he's doing, hitting immigrants with the Immigration and Customs Enforcement (but hires for his golf clubs), @realDonaldTrump is killing people with COVID-19",ArturoHavr,,5.0,2.0,1.0,0.0,"Ingeniero Industrial, emprendedor y creyente de mejorar las cosas en lugar de quejarse",117.0,,hope you to let rednecks remember to not vote for an idiot show man whos an ego maniac and doesnt have a clue of what hes doing hitting immigrants with the immigration and customs enforcement but hires for his golf clubs is killing people with covid19,"['hope', 'you', 'to', 'let', 'rednecks', 'remember', 'to', 'not', 'vote', 'for', 'an', 'idiot', 'show', 'man', 'whos', 'an', 'ego', 'maniac', 'and', 'doesnt', 'have', 'a', 'clue', 'of', 'what', 'hes', 'doing', 'hitting', 'immigrants', 'with', 'the', 'immigration', 'and', 'customs', 'enforcement', 'but', 'hires', 'for', 'his', 'golf', 'clubs', 'is', 'killing', 'people', 'with', 'covid19']","['hope', 'let', 'rednecks', 'remember', 'vote', 'idiot', 'show', 'man', 'whos', 'ego', 'maniac', 'doesnt', 'clue', 'hes', 'hitting', 'immigrants', 'immigration', 'customs', 'enforcement', 'hires', 'golf', 'clubs', 'killing', 'people', 'covid19']","['hope', 'let', 'redneck', 'rememb', 'vote', 'idiot', 'show', 'man', 'who', 'ego', 'maniac', 'doesnt', 'clue', 'he', 'hit', 'immigr', 'immigr', 'custom', 'enforc', 'hire', 'golf', 'club', 'kill', 'peopl', 'covid19']","['hope', 'let', 'rednecks', 'remember', 'vote', 'idiot', 'show', 'man', 'whos', 'ego', 'maniac', 'doesnt', 'clue', 'hes', 'hitting', 'immigrants', 'immigration', 'customs', 'enforcement', 'hires', 'golf', 'clubs', 'killing', 'people', 'covid19']",1,Panama
2020-03-20 13:51:46+00:00,1.2409994778356408e+18,"“#COVID19 does not discriminate, and nor should our response” - so true. Rather, let’s take special care of those around us, our families and neighbors, but also of migrants, refugees and marginalized groups. They all need access to health care and our passion - more than ever! https://t.co/r6qQ5PQk0b",TimHHowe,"San Jose, Costa Rica",14.0,1.0,4.0,0.0,"@UNMigration Sr. Regional #Protection Specialist for Central America, North America and the Caribbean, retweets are no endorsements, views expressed mine.",728.0,['COVID19'],covid19 does not discriminate and nor should our response so true rather lets take special care of those around us our families and neighbors but also of migrants refugees and marginalized groups they all need access to health care and our passion more than ever,"['covid19', 'does', 'not', 'discriminate', 'and', 'nor', 'should', 'our', 'response', 'so', 'true', 'rather', 'lets', 'take', 'special', 'care', 'of', 'those', 'around', 'us', 'our', 'families', 'and', 'neighbors', 'but', 'also', 'of', 'migrants', 'refugees', 'and', 'marginalized', 'groups', 'they', 'all', 'need', 'access', 'to', 'health', 'care', 'and', 'our', 'passion', 'more', 'than', 'ever']","['covid19', 'discriminate', 'response', 'true', 'rather', 'lets', 'take', 'special', 'care', 'around', 'us', 'families', 'neighbors', 'also', 'migrants', 'refugees', 'marginalized', 'groups', 'need', 'access', 'health', 'care', 'passion', 'ever']","['covid19', 'discrimin', 'respons', 'true', 'rather', 'let', 'take', 'special', 'care', 'around', 'us', 'famili', 'neighbor', 'also', 'migrant', 'refuge', 'margin', 'group', 'need', 'access', 'health', 'care', 'passion', 'ever']","['covid19', 'discriminate', 'response', 'true', 'rather', 'lets', 'take', 'special', 'care', 'around', 'us', 'families', 'neighbors', 'also', 'migrants', 'refugees', 'marginalized', 'groups', 'need', 'access', 'health', 'care', 'passion', 'ever']",5,Panama
