Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 15:58:52+00:00,1532028917170700298,"@insomniac2jz @GrantHinds @Bumfluffski @stopgeeking @why_candice @callumcuh @eelynx @Zydxp @Rvisedd @Rustypielover @Restlesflame @LVGamingGG Well, I am going to take your apology in good faith, so I both accept and appreciate your apology. I highly recommend that you fact check and fully understand the statistics you bring up before accusing gay people of being pedophiles. This has been disproven for decades.",Nicholasvanj,"Cape Town, South Africa",3,1,0,0,🇿🇼Zim/ZA🇿🇦🎮Gamer🎙️Twitch Affiliate 🎬Actor🏳️‍🌈LGBTQIA+🎲D&D queen🖖🏻Creator of Queers & Quandaries🦄Bio makes bigots cry🌈@Rnbw_Arcade👱🏻‍♂️(he/him),5458,,well i am going to take your apology in good faith so i both accept and appreciate your apology i highly recommend that you fact check and fully understand the statistics you bring up before accusing gay people of being pedophiles this has been disproven for decades,"['well', 'i', 'am', 'going', 'to', 'take', 'your', 'apology', 'in', 'good', 'faith', 'so', 'i', 'both', 'accept', 'and', 'appreciate', 'your', 'apology', 'i', 'highly', 'recommend', 'that', 'you', 'fact', 'check', 'and', 'fully', 'understand', 'the', 'statistics', 'you', 'bring', 'up', 'before', 'accusing', 'gay', 'people', 'of', 'being', 'pedophiles', 'this', 'has', 'been', 'disproven', 'for', 'decades']","['well', 'going', 'take', 'apology', 'good', 'faith', 'accept', 'appreciate', 'apology', 'highly', 'recommend', 'fact', 'check', 'fully', 'understand', 'statistics', 'bring', 'accusing', 'gay', 'people', 'pedophiles', 'disproven', 'decades']","['well', 'go', 'take', 'apolog', 'good', 'faith', 'accept', 'appreci', 'apolog', 'highli', 'recommend', 'fact', 'check', 'fulli', 'understand', 'statist', 'bring', 'accus', 'gay', 'peopl', 'pedophil', 'disproven', 'decad']","['well', 'going', 'take', 'apology', 'good', 'faith', 'accept', 'appreciate', 'apology', 'highly', 'recommend', 'fact', 'check', 'fully', 'understand', 'statistics', 'bring', 'accusing', 'gay', 'people', 'pedophiles', 'disproven', 'decades']",5,South Africa
2022-05-31 23:03:56+00:00,1531773501719322624,Stop taking people for granted❤️🤟🏾 appreciate!,MatsekeRea,"Pretoria, South Africa",1,0,0,0,🇨🇺 NMFC.... Dr Matseke.... a fan of Messi and AKA...,374,,stop taking people for granted appreciate,"['stop', 'taking', 'people', 'for', 'granted', 'appreciate']","['stop', 'taking', 'people', 'granted', 'appreciate']","['stop', 'take', 'peopl', 'grant', 'appreci']","['stop', 'taking', 'people', 'granted', 'appreciate']",3,South Africa
2022-04-28 10:32:19+00:00,1519625551807492096,@MakwenaManaka It obviously wouldn’t be appropriate. But here you have some young people complaining that the EPWP stipend of R3800 a month is too little. Then they go queue for R350 social grant rather. Our people need to appreciate work opportunities.,NkuliMbundu,"Johannesburg, South Africa",57,6,11,1,Patriot 🇿🇦💚. Member of the Mayoral Committee for Economic Development at CoJ. Opinions are my own. Retweets & likes are not endorsements.,13386,,it obviously wouldnt be appropriate but here you have some young people complaining that the epwp stipend of r3800 a month is too little then they go queue for r350 social grant rather our people need to appreciate work opportunities,"['it', 'obviously', 'wouldnt', 'be', 'appropriate', 'but', 'here', 'you', 'have', 'some', 'young', 'people', 'complaining', 'that', 'the', 'epwp', 'stipend', 'of', 'r3800', 'a', 'month', 'is', 'too', 'little', 'then', 'they', 'go', 'queue', 'for', 'r350', 'social', 'grant', 'rather', 'our', 'people', 'need', 'to', 'appreciate', 'work', 'opportunities']","['obviously', 'wouldnt', 'appropriate', 'young', 'people', 'complaining', 'epwp', 'stipend', 'r3800', 'month', 'little', 'go', 'queue', 'r350', 'social', 'grant', 'rather', 'people', 'need', 'appreciate', 'work', 'opportunities']","['obvious', 'wouldnt', 'appropri', 'young', 'peopl', 'complain', 'epwp', 'stipend', 'r3800', 'month', 'littl', 'go', 'queue', 'r350', 'social', 'grant', 'rather', 'peopl', 'need', 'appreci', 'work', 'opportun']","['obviously', 'wouldnt', 'appropriate', 'young', 'people', 'complaining', 'epwp', 'stipend', 'r3800', 'month', 'little', 'go', 'queue', 'r350', 'social', 'grant', 'rather', 'people', 'need', 'appreciate', 'work', 'opportunities']",3,South Africa
2022-02-20 07:22:41+00:00,1495297843195785218,"Flight check-in done, bag packed. Breakfast with family before I go.
I have learned the hard way to appreciate those I love around me. I am never taking time with them for granted.",Iam_muffmaestro,"Johannesburg, South Africa",2,1,0,0,Ask and you will receive if request is reasonable...,15191,,flight checkin done bag packed breakfast with family before i go i have learned the hard way to appreciate those i love around me i am never taking time with them for granted,"['flight', 'checkin', 'done', 'bag', 'packed', 'breakfast', 'with', 'family', 'before', 'i', 'go', 'i', 'have', 'learned', 'the', 'hard', 'way', 'to', 'appreciate', 'those', 'i', 'love', 'around', 'me', 'i', 'am', 'never', 'taking', 'time', 'with', 'them', 'for', 'granted']","['flight', 'checkin', 'done', 'bag', 'packed', 'breakfast', 'family', 'go', 'learned', 'hard', 'way', 'appreciate', 'love', 'around', 'never', 'taking', 'time', 'granted']","['flight', 'checkin', 'done', 'bag', 'pack', 'breakfast', 'famili', 'go', 'learn', 'hard', 'way', 'appreci', 'love', 'around', 'never', 'take', 'time', 'grant']","['flight', 'checkin', 'done', 'bag', 'packed', 'breakfast', 'family', 'go', 'learned', 'hard', 'way', 'appreciate', 'love', 'around', 'never', 'taking', 'time', 'granted']",3,South Africa
2022-01-22 17:59:44+00:00,1484948910858719232,"As we said last year, we will give 3 Boy Child toiletries for the month of February, March and April.

Also let's not forget to Donate, anything we gladly receive and appreciate all the donations we can get. 🙏💖🤗❤️

#Icare #UbuntuSpirit https://t.co/7wAQLk4uKm",JEEMC3,,17,3,8,0,Quality Service at All Times,1267,"['Icare', 'UbuntuSpirit']",as we said last year we will give 3 boy child toiletries for the month of february march and april also lets not forget to donate anything we gladly receive and appreciate all the donations we can get icare ubuntuspirit,"['as', 'we', 'said', 'last', 'year', 'we', 'will', 'give', '3', 'boy', 'child', 'toiletries', 'for', 'the', 'month', 'of', 'february', 'march', 'and', 'april', 'also', 'lets', 'not', 'forget', 'to', 'donate', 'anything', 'we', 'gladly', 'receive', 'and', 'appreciate', 'all', 'the', 'donations', 'we', 'can', 'get', 'icare', 'ubuntuspirit']","['said', 'last', 'year', 'give', '3', 'boy', 'child', 'toiletries', 'month', 'february', 'march', 'april', 'also', 'lets', 'forget', 'donate', 'anything', 'gladly', 'receive', 'appreciate', 'donations', 'get', 'icare', 'ubuntuspirit']","['said', 'last', 'year', 'give', '3', 'boy', 'child', 'toiletri', 'month', 'februari', 'march', 'april', 'also', 'let', 'forget', 'donat', 'anyth', 'gladli', 'receiv', 'appreci', 'donat', 'get', 'icar', 'ubuntuspirit']","['said', 'last', 'year', 'give', '3', 'boy', 'child', 'toiletries', 'month', 'february', 'march', 'april', 'also', 'lets', 'forget', 'donate', 'anything', 'gladly', 'receive', 'appreciate', 'donations', 'get', 'icare', 'ubuntuspirit']",5,South Africa
2021-09-19 17:45:11+00:00,1439646766081658885,"Build people up instead of tearing them down, appreciate them instead of taking them for granted, and be kind instead of being insensitive. Let’s focus on compassion and love and let’s make the world a better place. . .✅
#YoungPrince",Youngprinzy21,"Johannesburg, South Africa",0,0,0,0,"*musician 🎤
*Actor 🎬
*Voiceovers 
*Commercialmodel 
*Brand Ambassador
 * BOMU AWARD NOMINEE 2017
*FutureMillionaire
#youngprince 

For Booking only 0717954231",12907,['YoungPrince'],build people up instead of tearing them down appreciate them instead of taking them for granted and be kind instead of being insensitive lets focus on compassion and love and lets make the world a better place youngprince,"['build', 'people', 'up', 'instead', 'of', 'tearing', 'them', 'down', 'appreciate', 'them', 'instead', 'of', 'taking', 'them', 'for', 'granted', 'and', 'be', 'kind', 'instead', 'of', 'being', 'insensitive', 'lets', 'focus', 'on', 'compassion', 'and', 'love', 'and', 'lets', 'make', 'the', 'world', 'a', 'better', 'place', 'youngprince']","['build', 'people', 'instead', 'tearing', 'appreciate', 'instead', 'taking', 'granted', 'kind', 'instead', 'insensitive', 'lets', 'focus', 'compassion', 'love', 'lets', 'make', 'world', 'better', 'place', 'youngprince']","['build', 'peopl', 'instead', 'tear', 'appreci', 'instead', 'take', 'grant', 'kind', 'instead', 'insensit', 'let', 'focu', 'compass', 'love', 'let', 'make', 'world', 'better', 'place', 'youngprinc']","['build', 'people', 'instead', 'tearing', 'appreciate', 'instead', 'taking', 'granted', 'kind', 'instead', 'insensitive', 'lets', 'focus', 'compassion', 'love', 'lets', 'make', 'world', 'better', 'place', 'youngprince']",5,South Africa
2021-08-04 13:56:20+00:00,1422919334419173377,"Any and all donations are most welcome at our doorstep!!! 🤍 As an NPC we appreciate you for empowering our cause, and making the mountain much easier to climb. ⛰️ 

We appreciate you, with love from #TheLetsCareTeam https://t.co/WNi2FeN6so",letscarenpc,474 Lynwood Drive Pretoria,0,0,0,0,"We are an accredited, youth managed Social Housing Institution empowering people through affordable housing. Our passsion drives us!",1326,['TheLetsCareTeam'],any and all donations are most welcome at our doorstep as an npc we appreciate you for empowering our cause and making the mountain much easier to climb we appreciate you with love from theletscareteam,"['any', 'and', 'all', 'donations', 'are', 'most', 'welcome', 'at', 'our', 'doorstep', 'as', 'an', 'npc', 'we', 'appreciate', 'you', 'for', 'empowering', 'our', 'cause', 'and', 'making', 'the', 'mountain', 'much', 'easier', 'to', 'climb', 'we', 'appreciate', 'you', 'with', 'love', 'from', 'theletscareteam']","['donations', 'welcome', 'doorstep', 'npc', 'appreciate', 'empowering', 'cause', 'making', 'mountain', 'much', 'easier', 'climb', 'appreciate', 'love', 'theletscareteam']","['donat', 'welcom', 'doorstep', 'npc', 'appreci', 'empow', 'caus', 'make', 'mountain', 'much', 'easier', 'climb', 'appreci', 'love', 'theletscareteam']","['donations', 'welcome', 'doorstep', 'npc', 'appreciate', 'empowering', 'cause', 'making', 'mountain', 'much', 'easier', 'climb', 'appreciate', 'love', 'theletscareteam']",5,South Africa
2021-06-09 06:14:41+00:00,1402509435055087622,"We appreciate every donation that comes our way! Investing in children’s lives helps mould the adults of tomorrow! Residential care of kids takes a lot of love, care and support - give whatever you can via @JustGiving at https://t.co/3KQ2fgVHQz #dreambelieveachieve #maranathacare https://t.co/z1kmQxhH8D",MaranathaCare,"Port Elizabeth, South Africa",3,0,2,0,"Maranatha Care Children is a UK registered Non-Profit Organisation (No: 1139344) benefiting South African orphans, street children and young people at risk",529,"['dreambelieveachieve', 'maranathacare']",we appreciate every donation that comes our way investing in childrens lives helps mould the adults of tomorrow residential care of kids takes a lot of love care and support give whatever you can via at dreambelieveachieve maranathacare,"['we', 'appreciate', 'every', 'donation', 'that', 'comes', 'our', 'way', 'investing', 'in', 'childrens', 'lives', 'helps', 'mould', 'the', 'adults', 'of', 'tomorrow', 'residential', 'care', 'of', 'kids', 'takes', 'a', 'lot', 'of', 'love', 'care', 'and', 'support', 'give', 'whatever', 'you', 'can', 'via', 'at', 'dreambelieveachieve', 'maranathacare']","['appreciate', 'every', 'donation', 'comes', 'way', 'investing', 'childrens', 'lives', 'helps', 'mould', 'adults', 'tomorrow', 'residential', 'care', 'kids', 'takes', 'lot', 'love', 'care', 'support', 'give', 'whatever', 'via', 'dreambelieveachieve', 'maranathacare']","['appreci', 'everi', 'donat', 'come', 'way', 'invest', 'children', 'live', 'help', 'mould', 'adult', 'tomorrow', 'residenti', 'care', 'kid', 'take', 'lot', 'love', 'care', 'support', 'give', 'whatev', 'via', 'dreambelieveachiev', 'maranathacar']","['appreciate', 'every', 'donation', 'comes', 'way', 'investing', 'childrens', 'lives', 'helps', 'mould', 'adults', 'tomorrow', 'residential', 'care', 'kids', 'takes', 'lot', 'love', 'care', 'support', 'give', 'whatever', 'via', 'dreambelieveachieve', 'maranathacare']",5,South Africa
2021-04-24 10:04:03+00:00,1385897316209631233,"...from your contributions I managed to book to 2 appointments with a Neurologist at St Georges hospital, earliest date I could get is 17th of May &amp; 2nd is 25th June..in the meantime i should stay in bed

I really appreciate all the love and donations towards my medical bills🙏🏾❤️",TakaTina1,"Motherwell, South Africa",920,11,43,0,International Stand up comedian°RoleM @Leratokganyago°@RealBlackCoffee°@LungiNaidoo°@lamiezHolworthy Bookings °Afritrendz.marketing@gmail.com  WhtsAp0634521861,595852,,from your contributions i managed to book to 2 appointments with a neurologist at st georges hospital earliest date i could get is 17th of may amp 2nd is 25th junein the meantime i should stay in bed i really appreciate all the love and donations towards my medical bills,"['from', 'your', 'contributions', 'i', 'managed', 'to', 'book', 'to', '2', 'appointments', 'with', 'a', 'neurologist', 'at', 'st', 'georges', 'hospital', 'earliest', 'date', 'i', 'could', 'get', 'is', '17th', 'of', 'may', 'amp', '2nd', 'is', '25th', 'junein', 'the', 'meantime', 'i', 'should', 'stay', 'in', 'bed', 'i', 'really', 'appreciate', 'all', 'the', 'love', 'and', 'donations', 'towards', 'my', 'medical', 'bills']","['contributions', 'managed', 'book', '2', 'appointments', 'neurologist', 'st', 'georges', 'hospital', 'earliest', 'date', 'could', 'get', '17th', 'may', 'amp', '2nd', '25th', 'junein', 'meantime', 'stay', 'bed', 'really', 'appreciate', 'love', 'donations', 'towards', 'medical', 'bills']","['contribut', 'manag', 'book', '2', 'appoint', 'neurologist', 'st', 'georg', 'hospit', 'earliest', 'date', 'could', 'get', '17th', 'may', 'amp', '2nd', '25th', 'junein', 'meantim', 'stay', 'bed', 'realli', 'appreci', 'love', 'donat', 'toward', 'medic', 'bill']","['contributions', 'managed', 'book', '2', 'appointments', 'neurologist', 'st', 'georges', 'hospital', 'earliest', 'date', 'could', 'get', '17th', 'may', 'amp', '2nd', '25th', 'junein', 'meantime', 'stay', 'bed', 'really', 'appreciate', 'love', 'donations', 'towards', 'medical', 'bills']",5,South Africa
2021-01-24 12:00:41+00:00,1353311761768787970,Please keep sharing your donations have made a huge difference towards my health I'd still appreciate it and more prayers also love 🙏🏾🕯🕯🕯God bless you,sineguguM22,Mthwalumi,1,0,1,0,m sne  I suffer from a neurological disorder called Dystonia and it has no cure it's a progressive disoder,6163,,please keep sharing your donations have made a huge difference towards my health id still appreciate it and more prayers also love god bless you,"['please', 'keep', 'sharing', 'your', 'donations', 'have', 'made', 'a', 'huge', 'difference', 'towards', 'my', 'health', 'id', 'still', 'appreciate', 'it', 'and', 'more', 'prayers', 'also', 'love', 'god', 'bless', 'you']","['please', 'keep', 'sharing', 'donations', 'made', 'huge', 'difference', 'towards', 'health', 'id', 'still', 'appreciate', 'prayers', 'also', 'love', 'god', 'bless']","['pleas', 'keep', 'share', 'donat', 'made', 'huge', 'differ', 'toward', 'health', 'id', 'still', 'appreci', 'prayer', 'also', 'love', 'god', 'bless']","['please', 'keep', 'sharing', 'donations', 'made', 'huge', 'difference', 'towards', 'health', 'id', 'still', 'appreciate', 'prayers', 'also', 'love', 'god', 'bless']",5,South Africa
