Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 15:49:28+00:00,1534200880928538628,"@TheTKGlobal Thank God you are back, I was really sad considering all you do is hold streaming parties and fundraising for the boys and appreciate their bond without shading other members I always look forward to the streaming parties. Thank you once again for what you do we love you so much.",Arikairene1,대한민국 서울,3,0,0,0,"Just love and happiness nothing much here JK my heart, Tae my happiness, J hope my sun.",28,,thank god you are back i was really sad considering all you do is hold streaming parties and fundraising for the boys and appreciate their bond without shading other members i always look forward to the streaming parties thank you once again for what you do we love you so much,"['thank', 'god', 'you', 'are', 'back', 'i', 'was', 'really', 'sad', 'considering', 'all', 'you', 'do', 'is', 'hold', 'streaming', 'parties', 'and', 'fundraising', 'for', 'the', 'boys', 'and', 'appreciate', 'their', 'bond', 'without', 'shading', 'other', 'members', 'i', 'always', 'look', 'forward', 'to', 'the', 'streaming', 'parties', 'thank', 'you', 'once', 'again', 'for', 'what', 'you', 'do', 'we', 'love', 'you', 'so', 'much']","['thank', 'god', 'back', 'really', 'sad', 'considering', 'hold', 'streaming', 'parties', 'fundraising', 'boys', 'appreciate', 'bond', 'without', 'shading', 'members', 'always', 'look', 'forward', 'streaming', 'parties', 'thank', 'love', 'much']","['thank', 'god', 'back', 'realli', 'sad', 'consid', 'hold', 'stream', 'parti', 'fundrais', 'boy', 'appreci', 'bond', 'without', 'shade', 'member', 'alway', 'look', 'forward', 'stream', 'parti', 'thank', 'love', 'much']","['thank', 'god', 'back', 'really', 'sad', 'considering', 'hold', 'streaming', 'parties', 'fundraising', 'boys', 'appreciate', 'bond', 'without', 'shading', 'members', 'always', 'look', 'forward', 'streaming', 'parties', 'thank', 'love', 'much']",5,South Korea
2022-05-31 11:59:22+00:00,1531606256229969924,"Salisbury Post - Shincheonji's ""Life On&amp;quot"" Blood Donation Campaign Resolves Korea Blood Crisis
https://t.co/vNgfpJ5TXZ",zionjki615,대한민국 서울,0,0,0,0,"당연한 건강학!!!
url.kr/gm5qxy

blog.naver.com/PostList.naver…",588,,salisbury post shincheonjis life onampquot blood donation campaign resolves korea blood crisis,"['salisbury', 'post', 'shincheonjis', 'life', 'onampquot', 'blood', 'donation', 'campaign', 'resolves', 'korea', 'blood', 'crisis']","['salisbury', 'post', 'shincheonjis', 'life', 'onampquot', 'blood', 'donation', 'campaign', 'resolves', 'korea', 'blood', 'crisis']","['salisburi', 'post', 'shincheonji', 'life', 'onampquot', 'blood', 'donat', 'campaign', 'resolv', 'korea', 'blood', 'crisi']","['salisbury', 'post', 'shincheonjis', 'life', 'onampquot', 'blood', 'donation', 'campaign', 'resolves', 'korea', 'blood', 'crisis']",5,South Korea
2020-04-07 16:41:14+00:00,1247565105434255360,"Magandang araw po!
Today, we're issuing an urgent call for donations of PPE for frontline workers battling the Coronavirus crisis. With the extention of the ECQ, we need your help. To transfer, details are provided below. Kababayan Kamsahamnida. #WeHealAsOne https://t.co/YG2iyohEfN",josephvermont,"Gwangju, Republic of Korea",0,0,0,0,"PhD student in South Korea.
President of Pinoy Iskolars sa Korea",799,['WeHealAsOne'],magandang araw po today were issuing an urgent call for donations of ppe for frontline workers battling the coronavirus crisis with the extention of the ecq we need your help to transfer details are provided below kababayan kamsahamnida wehealasone,"['magandang', 'araw', 'po', 'today', 'were', 'issuing', 'an', 'urgent', 'call', 'for', 'donations', 'of', 'ppe', 'for', 'frontline', 'workers', 'battling', 'the', 'coronavirus', 'crisis', 'with', 'the', 'extention', 'of', 'the', 'ecq', 'we', 'need', 'your', 'help', 'to', 'transfer', 'details', 'are', 'provided', 'below', 'kababayan', 'kamsahamnida', 'wehealasone']","['magandang', 'araw', 'po', 'today', 'issuing', 'urgent', 'call', 'donations', 'ppe', 'frontline', 'workers', 'battling', 'coronavirus', 'crisis', 'extention', 'ecq', 'need', 'help', 'transfer', 'details', 'provided', 'kababayan', 'kamsahamnida', 'wehealasone']","['magandang', 'araw', 'po', 'today', 'issu', 'urgent', 'call', 'donat', 'ppe', 'frontlin', 'worker', 'battl', 'coronaviru', 'crisi', 'extent', 'ecq', 'need', 'help', 'transfer', 'detail', 'provid', 'kababayan', 'kamsahamnida', 'wehealason']","['magandang', 'araw', 'po', 'today', 'issuing', 'urgent', 'call', 'donations', 'ppe', 'frontline', 'workers', 'battling', 'coronavirus', 'crisis', 'extention', 'ecq', 'need', 'help', 'transfer', 'details', 'provided', 'kababayan', 'kamsahamnida', 'wehealasone']",1,South Korea
2020-03-01 00:06:26+00:00,1233906404030734336,"Hey bat-eating people have y'all forgotten that you bullied her way back 2015? And now you're asking for her donation. 😡#ApologiseToTzuyu #TWICE #Coronavid19 #TZUYU #AngelTzuyu

Ps. Coronavirus started in your country. Just a little reminder 🤮🤢",onceph09,,1,0,0,0,,1,"['ApologiseToTzuyu', 'TWICE', 'Coronavid19', 'TZUYU', 'AngelTzuyu']",hey bateating people have yall forgotten that you bullied her way back 2015 and now youre asking for her donation apologisetotzuyu twice coronavid19 tzuyu angeltzuyu ps coronavirus started in your country just a little reminder,"['hey', 'bateating', 'people', 'have', 'yall', 'forgotten', 'that', 'you', 'bullied', 'her', 'way', 'back', '2015', 'and', 'now', 'youre', 'asking', 'for', 'her', 'donation', 'apologisetotzuyu', 'twice', 'coronavid19', 'tzuyu', 'angeltzuyu', 'ps', 'coronavirus', 'started', 'in', 'your', 'country', 'just', 'a', 'little', 'reminder']","['hey', 'bateating', 'people', 'yall', 'forgotten', 'bullied', 'way', 'back', '2015', 'youre', 'asking', 'donation', 'apologisetotzuyu', 'twice', 'coronavid19', 'tzuyu', 'angeltzuyu', 'ps', 'coronavirus', 'started', 'country', 'little', 'reminder']","['hey', 'bateat', 'peopl', 'yall', 'forgotten', 'bulli', 'way', 'back', '2015', 'your', 'ask', 'donat', 'apologisetotzuyu', 'twice', 'coronavid19', 'tzuyu', 'angeltzuyu', 'ps', 'coronaviru', 'start', 'countri', 'littl', 'remind']","['hey', 'bateating', 'people', 'yall', 'forgotten', 'bullied', 'way', 'back', '2015', 'youre', 'asking', 'donation', 'apologisetotzuyu', 'twice', 'coronavid19', 'tzuyu', 'angeltzuyu', 'ps', 'coronavirus', 'started', 'country', 'little', 'reminder']",1,South Korea
2020-02-27 07:39:31+00:00,1232933263670308865,@AJWasahi Vice Foreign Minister is right in refusing to make a cash donation to a private relief initiative by the ruling party to help China taking hostile action against Japan. China is to blame for spreading #coronavirus around the world. They should help other countries. @nytimes,hanyumeiji,,0,0,0,0,日本国民として誇りを持ち、皇室を敬愛し、日本の歴史、伝統、文化を守りたい。安倍総理を支持、憲法改正を実現するため仲間を増やしたい。 I am what I think I am. Optimism is a choice I find most rewarding in my life.,1149,['coronavirus'],vice foreign minister is right in refusing to make a cash donation to a private relief initiative by the ruling party to help china taking hostile action against japan china is to blame for spreading coronavirus around the world they should help other countries,"['vice', 'foreign', 'minister', 'is', 'right', 'in', 'refusing', 'to', 'make', 'a', 'cash', 'donation', 'to', 'a', 'private', 'relief', 'initiative', 'by', 'the', 'ruling', 'party', 'to', 'help', 'china', 'taking', 'hostile', 'action', 'against', 'japan', 'china', 'is', 'to', 'blame', 'for', 'spreading', 'coronavirus', 'around', 'the', 'world', 'they', 'should', 'help', 'other', 'countries']","['vice', 'foreign', 'minister', 'right', 'refusing', 'make', 'cash', 'donation', 'private', 'relief', 'initiative', 'ruling', 'party', 'help', 'china', 'taking', 'hostile', 'action', 'japan', 'china', 'blame', 'spreading', 'coronavirus', 'around', 'world', 'help', 'countries']","['vice', 'foreign', 'minist', 'right', 'refus', 'make', 'cash', 'donat', 'privat', 'relief', 'initi', 'rule', 'parti', 'help', 'china', 'take', 'hostil', 'action', 'japan', 'china', 'blame', 'spread', 'coronaviru', 'around', 'world', 'help', 'countri']","['vice', 'foreign', 'minister', 'right', 'refusing', 'make', 'cash', 'donation', 'private', 'relief', 'initiative', 'ruling', 'party', 'help', 'china', 'taking', 'hostile', 'action', 'japan', 'china', 'blame', 'spreading', 'coronavirus', 'around', 'world', 'help', 'countries']",1,South Korea
2020-02-08 07:59:07+00:00,1226052825710333952,"WATCH: A Filipino migrant worker stuck in Wuhan, China, walks around the deserted city as the country's government tries to contain the coronavirus.
https://t.co/qJvTXz3mFV",marilove_143,대한민국,1,0,0,0,Loving yourself and @BTS_twt is not vanity but it is sanity.,191,,watch a filipino migrant worker stuck in wuhan china walks around the deserted city as the countrys government tries to contain the coronavirus,"['watch', 'a', 'filipino', 'migrant', 'worker', 'stuck', 'in', 'wuhan', 'china', 'walks', 'around', 'the', 'deserted', 'city', 'as', 'the', 'countrys', 'government', 'tries', 'to', 'contain', 'the', 'coronavirus']","['watch', 'filipino', 'migrant', 'worker', 'stuck', 'wuhan', 'china', 'walks', 'around', 'deserted', 'city', 'countrys', 'government', 'tries', 'contain', 'coronavirus']","['watch', 'filipino', 'migrant', 'worker', 'stuck', 'wuhan', 'china', 'walk', 'around', 'desert', 'citi', 'countri', 'govern', 'tri', 'contain', 'coronaviru']","['watch', 'filipino', 'migrant', 'worker', 'stuck', 'wuhan', 'china', 'walks', 'around', 'deserted', 'city', 'countrys', 'government', 'tries', 'contain', 'coronavirus']",4,South Korea
2020-09-08 02:14:19+00:00,1303154668718022656,"Alarm as Covid-19 re-emerges in Singapore migrant dorms.
https://t.co/3ugWX0b4bw

via @GoogleNews",ErelRosenberg,Singapore,0,0,0,0,"Managing director of DFRC Group, the leading provider of #IoT platforms for geospatial data fusion, counting over 
5,000 installations worldwide.",20333,,alarm as covid19 reemerges in singapore migrant dorms via,"['alarm', 'as', 'covid19', 'reemerges', 'in', 'singapore', 'migrant', 'dorms', 'via']","['alarm', 'covid19', 'reemerges', 'singapore', 'migrant', 'dorms', 'via']","['alarm', 'covid19', 'reemerg', 'singapor', 'migrant', 'dorm', 'via']","['alarm', 'covid19', 'reemerges', 'singapore', 'migrant', 'dorms', 'via']",1,South Korea
2022-01-06 10:01:17+00:00,1479030299829096448,The donation is designated to provide medical supplies to the local people for the fight against COVID-19.,Planet_TJ1234,뷔진소우주,0,0,0,0,🎨뷔진 소우주에 🐳오신 것을 환영합니다. 🌌🧸광산김즈와 함께하는 환상적인 소우주 투어를 맘껏 즐겨보세요~ 🌹🎠🌖 𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝐭𝐨 𝐨𝐮𝐫 𝐌𝐚𝐠𝐢𝐜𝐚𝐥 𝐓𝐚𝐞𝐉𝐢𝐧 𝐏𝐥𝐚𝐧𝐞𝐭. 🔮,1464,,the donation is designated to provide medical supplies to the local people for the fight against covid19,"['the', 'donation', 'is', 'designated', 'to', 'provide', 'medical', 'supplies', 'to', 'the', 'local', 'people', 'for', 'the', 'fight', 'against', 'covid19']","['donation', 'designated', 'provide', 'medical', 'supplies', 'local', 'people', 'fight', 'covid19']","['donat', 'design', 'provid', 'medic', 'suppli', 'local', 'peopl', 'fight', 'covid19']","['donation', 'designated', 'provide', 'medical', 'supplies', 'local', 'people', 'fight', 'covid19']",4,South Korea
2020-09-08 02:14:19+00:00,1303154668718022656,"Alarm as Covid-19 re-emerges in Singapore migrant dorms.
https://t.co/3ugWX0b4bw

via @GoogleNews",ErelRosenberg,Singapore,0,0,0,0,"Managing director of DFRC Group, the leading provider of #IoT platforms for geospatial data fusion, counting over 
5,000 installations worldwide.",20333,,alarm as covid19 reemerges in singapore migrant dorms via,"['alarm', 'as', 'covid19', 'reemerges', 'in', 'singapore', 'migrant', 'dorms', 'via']","['alarm', 'covid19', 'reemerges', 'singapore', 'migrant', 'dorms', 'via']","['alarm', 'covid19', 'reemerg', 'singapor', 'migrant', 'dorm', 'via']","['alarm', 'covid19', 'reemerges', 'singapore', 'migrant', 'dorms', 'via']",1,South Korea
2020-05-09 11:28:40+00:00,1259082857974128643,Receiving texts about dito sa mga nagparty sa Itaewon sa Seoul. Dahil sa inyo wala kaming offline class sa migrants center. We have good health care system but we have stupid people. May COVID infected na nagparty pa. Projection will be +1500. https://t.co/7oEG9aggSl,josephvermont,"Gwangju, Republic of Korea",2,1,0,0,"PhD student in South Korea.
President of Pinoy Iskolars sa Korea",799,,receiving texts about dito sa mga nagparty sa itaewon sa seoul dahil sa inyo wala kaming offline class sa migrants center we have good health care system but we have stupid people may covid infected na nagparty pa projection will be 1500,"['receiving', 'texts', 'about', 'dito', 'sa', 'mga', 'nagparty', 'sa', 'itaewon', 'sa', 'seoul', 'dahil', 'sa', 'inyo', 'wala', 'kaming', 'offline', 'class', 'sa', 'migrants', 'center', 'we', 'have', 'good', 'health', 'care', 'system', 'but', 'we', 'have', 'stupid', 'people', 'may', 'covid', 'infected', 'na', 'nagparty', 'pa', 'projection', 'will', 'be', '1500']","['receiving', 'texts', 'dito', 'sa', 'mga', 'nagparty', 'sa', 'itaewon', 'sa', 'seoul', 'dahil', 'sa', 'inyo', 'wala', 'kaming', 'offline', 'class', 'sa', 'migrants', 'center', 'good', 'health', 'care', 'system', 'stupid', 'people', 'may', 'covid', 'infected', 'na', 'nagparty', 'pa', 'projection', '1500']","['receiv', 'text', 'dito', 'sa', 'mga', 'nagparti', 'sa', 'itaewon', 'sa', 'seoul', 'dahil', 'sa', 'inyo', 'wala', 'kame', 'offlin', 'class', 'sa', 'migrant', 'center', 'good', 'health', 'care', 'system', 'stupid', 'peopl', 'may', 'covid', 'infect', 'na', 'nagparti', 'pa', 'project', '1500']","['receiving', 'texts', 'dito', 'sa', 'mga', 'nagparty', 'sa', 'itaewon', 'sa', 'seoul', 'dahil', 'sa', 'inyo', 'wala', 'kaming', 'offline', 'class', 'sa', 'migrants', 'center', 'good', 'health', 'care', 'system', 'stupid', 'people', 'may', 'covid', 'infected', 'na', 'nagparty', 'pa', 'projection', '1500']",1,South Korea
