Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-31 17:21:34+00:00,1531687342846648322,"@NeoCon24 Republicans would love you, especially given your background - they love based immigrants. I feel like the best state would be Georgia, since they'd care less about your views on immigration than Texas. One of the original 13, Georgians might also appreciate the term Anglo-Saxon.",iwasdiscovered,"Zürich, CH",1,2,0,0,Muscular Liberalism 🇺🇸🇺🇸🇺🇸,609,,republicans would love you especially given your background they love based immigrants i feel like the best state would be georgia since theyd care less about your views on immigration than texas one of the original 13 georgians might also appreciate the term anglosaxon,"['republicans', 'would', 'love', 'you', 'especially', 'given', 'your', 'background', 'they', 'love', 'based', 'immigrants', 'i', 'feel', 'like', 'the', 'best', 'state', 'would', 'be', 'georgia', 'since', 'theyd', 'care', 'less', 'about', 'your', 'views', 'on', 'immigration', 'than', 'texas', 'one', 'of', 'the', 'original', '13', 'georgians', 'might', 'also', 'appreciate', 'the', 'term', 'anglosaxon']","['republicans', 'would', 'love', 'especially', 'given', 'background', 'love', 'based', 'immigrants', 'feel', 'like', 'best', 'state', 'would', 'georgia', 'since', 'theyd', 'care', 'less', 'views', 'immigration', 'texas', 'one', 'original', '13', 'georgians', 'might', 'also', 'appreciate', 'term', 'anglosaxon']","['republican', 'would', 'love', 'especi', 'given', 'background', 'love', 'base', 'immigr', 'feel', 'like', 'best', 'state', 'would', 'georgia', 'sinc', 'theyd', 'care', 'less', 'view', 'immigr', 'texa', 'one', 'origin', '13', 'georgian', 'might', 'also', 'appreci', 'term', 'anglosaxon']","['republicans', 'would', 'love', 'especially', 'given', 'background', 'love', 'based', 'immigrants', 'feel', 'like', 'best', 'state', 'would', 'georgia', 'since', 'theyd', 'care', 'less', 'views', 'immigration', 'texas', 'one', 'original', '13', 'georgians', 'might', 'also', 'appreciate', 'term', 'anglosaxon']",4,Switzerland
2021-12-31 14:49:25+00:00,1476928486325604356,"@eguti9 @grantcohn he critiques the players based on their play. if they played well, he says it. i’m not mad at him for saying shit other reporters are scared to say. i appreciate his honestly. it’s needed sometimes. &amp; you know i love jimmy, but that doesn’t always mean he’s a good qb lol.",crystalscuor,italia,0,1,0,0,i like fast cars 🏎 | journalist + content creator @traxiongg 🎮 | vancity born 🇨🇦 italy livin’ 🇮🇹 | 49ers gal 🏈 | be a nice human ☻ dm for biz inquiries✨,15271,,he critiques the players based on their play if they played well he says it im not mad at him for saying shit other reporters are scared to say i appreciate his honestly its needed sometimes amp you know i love jimmy but that doesnt always mean hes a good qb lol,"['he', 'critiques', 'the', 'players', 'based', 'on', 'their', 'play', 'if', 'they', 'played', 'well', 'he', 'says', 'it', 'im', 'not', 'mad', 'at', 'him', 'for', 'saying', 'shit', 'other', 'reporters', 'are', 'scared', 'to', 'say', 'i', 'appreciate', 'his', 'honestly', 'its', 'needed', 'sometimes', 'amp', 'you', 'know', 'i', 'love', 'jimmy', 'but', 'that', 'doesnt', 'always', 'mean', 'hes', 'a', 'good', 'qb', 'lol']","['critiques', 'players', 'based', 'play', 'played', 'well', 'says', 'im', 'mad', 'saying', 'shit', 'reporters', 'scared', 'say', 'appreciate', 'honestly', 'needed', 'sometimes', 'amp', 'know', 'love', 'jimmy', 'doesnt', 'always', 'mean', 'hes', 'good', 'qb', 'lol']","['critiqu', 'player', 'base', 'play', 'play', 'well', 'say', 'im', 'mad', 'say', 'shit', 'report', 'scare', 'say', 'appreci', 'honestli', 'need', 'sometim', 'amp', 'know', 'love', 'jimmi', 'doesnt', 'alway', 'mean', 'he', 'good', 'qb', 'lol']","['critiques', 'players', 'based', 'play', 'played', 'well', 'says', 'im', 'mad', 'saying', 'shit', 'reporters', 'scared', 'say', 'appreciate', 'honestly', 'needed', 'sometimes', 'amp', 'know', 'love', 'jimmy', 'doesnt', 'always', 'mean', 'hes', 'good', 'qb', 'lol']",3,Switzerland
2022-06-01 13:03:12+00:00,1531984709764493313,"ifrc

RT @IFRCAsiaPacific: In #Thailand, Red Cross volunteers are assisting the health authorities with their #COVID19 vaccination campaign in Bangkok. Teams are not only vaccinating the locals but also migrant workers who are employed in the industrial areas of Samut Sakhon…",JulianTHarris,"Geneva, Switzerland",0,0,0,0,"International Federation of the Red Cross. Global Senior Security Advisor. All tweets are my own opinions, thoughts, interests.",301,"['Thailand', 'COVID19']",ifrc rt in thailand red cross volunteers are assisting the health authorities with their covid19 vaccination campaign in bangkok teams are not only vaccinating the locals but also migrant workers who are employed in the industrial areas of samut sakhon,"['ifrc', 'rt', 'in', 'thailand', 'red', 'cross', 'volunteers', 'are', 'assisting', 'the', 'health', 'authorities', 'with', 'their', 'covid19', 'vaccination', 'campaign', 'in', 'bangkok', 'teams', 'are', 'not', 'only', 'vaccinating', 'the', 'locals', 'but', 'also', 'migrant', 'workers', 'who', 'are', 'employed', 'in', 'the', 'industrial', 'areas', 'of', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunteers', 'assisting', 'health', 'authorities', 'covid19', 'vaccination', 'campaign', 'bangkok', 'teams', 'vaccinating', 'locals', 'also', 'migrant', 'workers', 'employed', 'industrial', 'areas', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunt', 'assist', 'health', 'author', 'covid19', 'vaccin', 'campaign', 'bangkok', 'team', 'vaccin', 'local', 'also', 'migrant', 'worker', 'employ', 'industri', 'area', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunteers', 'assisting', 'health', 'authorities', 'covid19', 'vaccination', 'campaign', 'bangkok', 'teams', 'vaccinating', 'locals', 'also', 'migrant', 'workers', 'employed', 'industrial', 'areas', 'samut', 'sakhon']",4,Switzerland
2022-05-31 10:45:42+00:00,1531587720719618048,"We still need your support to fund frontline healthcare in Ukraine🇺🇦.

Donate to help treat the wounded &amp; those with other health needs - including #COVID19, cancer, HIV, tuberculosis, mental health issues, &amp; critical maternal &amp; children's care. 
👉🏽 https://t.co/wL1GjZp1wD https://t.co/YCOeTpk4Tu",WHOFoundation,"Geneva, Switzerland",0,0,0,0,"To strengthen the health of our world and save lives, we’re tackling today’s biggest global health challenges. Together, we have so much to achieve.",3298,['COVID19'],we still need your support to fund frontline healthcare in ukraine donate to help treat the wounded amp those with other health needs including covid19 cancer hiv tuberculosis mental health issues amp critical maternal amp childrens care,"['we', 'still', 'need', 'your', 'support', 'to', 'fund', 'frontline', 'healthcare', 'in', 'ukraine', 'donate', 'to', 'help', 'treat', 'the', 'wounded', 'amp', 'those', 'with', 'other', 'health', 'needs', 'including', 'covid19', 'cancer', 'hiv', 'tuberculosis', 'mental', 'health', 'issues', 'amp', 'critical', 'maternal', 'amp', 'childrens', 'care']","['still', 'need', 'support', 'fund', 'frontline', 'healthcare', 'ukraine', 'donate', 'help', 'treat', 'wounded', 'amp', 'health', 'needs', 'including', 'covid19', 'cancer', 'hiv', 'tuberculosis', 'mental', 'health', 'issues', 'amp', 'critical', 'maternal', 'amp', 'childrens', 'care']","['still', 'need', 'support', 'fund', 'frontlin', 'healthcar', 'ukrain', 'donat', 'help', 'treat', 'wound', 'amp', 'health', 'need', 'includ', 'covid19', 'cancer', 'hiv', 'tuberculosi', 'mental', 'health', 'issu', 'amp', 'critic', 'matern', 'amp', 'children', 'care']","['still', 'need', 'support', 'fund', 'frontline', 'healthcare', 'ukraine', 'donate', 'help', 'treat', 'wounded', 'amp', 'health', 'needs', 'including', 'covid19', 'cancer', 'hiv', 'tuberculosis', 'mental', 'health', 'issues', 'amp', 'critical', 'maternal', 'amp', 'childrens', 'care']",4,Switzerland
2022-06-01 13:03:12+00:00,1531984709764493313,"ifrc

RT @IFRCAsiaPacific: In #Thailand, Red Cross volunteers are assisting the health authorities with their #COVID19 vaccination campaign in Bangkok. Teams are not only vaccinating the locals but also migrant workers who are employed in the industrial areas of Samut Sakhon…",JulianTHarris,"Geneva, Switzerland",0,0,0,0,"International Federation of the Red Cross. Global Senior Security Advisor. All tweets are my own opinions, thoughts, interests.",301,"['Thailand', 'COVID19']",ifrc rt in thailand red cross volunteers are assisting the health authorities with their covid19 vaccination campaign in bangkok teams are not only vaccinating the locals but also migrant workers who are employed in the industrial areas of samut sakhon,"['ifrc', 'rt', 'in', 'thailand', 'red', 'cross', 'volunteers', 'are', 'assisting', 'the', 'health', 'authorities', 'with', 'their', 'covid19', 'vaccination', 'campaign', 'in', 'bangkok', 'teams', 'are', 'not', 'only', 'vaccinating', 'the', 'locals', 'but', 'also', 'migrant', 'workers', 'who', 'are', 'employed', 'in', 'the', 'industrial', 'areas', 'of', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunteers', 'assisting', 'health', 'authorities', 'covid19', 'vaccination', 'campaign', 'bangkok', 'teams', 'vaccinating', 'locals', 'also', 'migrant', 'workers', 'employed', 'industrial', 'areas', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunt', 'assist', 'health', 'author', 'covid19', 'vaccin', 'campaign', 'bangkok', 'team', 'vaccin', 'local', 'also', 'migrant', 'worker', 'employ', 'industri', 'area', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunteers', 'assisting', 'health', 'authorities', 'covid19', 'vaccination', 'campaign', 'bangkok', 'teams', 'vaccinating', 'locals', 'also', 'migrant', 'workers', 'employed', 'industrial', 'areas', 'samut', 'sakhon']",4,Switzerland
2022-05-31 23:27:28+00:00,1531779422809903105,@HuffmanForNC @GOP Nailed Scott! Sales = Campaign donations. https://t.co/zKjCKZlUBt,angeleyez407,OH,4,1,2,0,"(っ◔◡◔)っ ♥ Years in the medical field. Love my job. No Lists.
 #DACA   #RESIST #KeepFamiliesTogether.
#DemsAct",24590,,nailed scott sales campaign donations,"['nailed', 'scott', 'sales', 'campaign', 'donations']","['nailed', 'scott', 'sales', 'campaign', 'donations']","['nail', 'scott', 'sale', 'campaign', 'donat']","['nailed', 'scott', 'sales', 'campaign', 'donations']",1,Switzerland
2022-05-31 18:49:08+00:00,1531709378478452737,"""Conclusions: In France, immigrants had a higher exposure to COVID-19-related factors and more systematic prevention behaviours.""
#publichealth #epidemiology #coronavirus https://t.co/K6JqXRS6Gl",ElectronBlue,Lausanne (Switzerland),0,0,0,0,🦠,36,"['publichealth', 'epidemiology', 'coronavirus']",conclusionsin france immigrants had a higher exposure to covid19related factors and more systematic prevention behaviours publichealth epidemiology coronavirus,"['conclusionsin', 'france', 'immigrants', 'had', 'a', 'higher', 'exposure', 'to', 'covid19related', 'factors', 'and', 'more', 'systematic', 'prevention', 'behaviours', 'publichealth', 'epidemiology', 'coronavirus']","['conclusionsin', 'france', 'immigrants', 'higher', 'exposure', 'covid19related', 'factors', 'systematic', 'prevention', 'behaviours', 'publichealth', 'epidemiology', 'coronavirus']","['conclusionsin', 'franc', 'immigr', 'higher', 'exposur', 'covid19rel', 'factor', 'systemat', 'prevent', 'behaviour', 'publichealth', 'epidemiolog', 'coronaviru']","['conclusionsin', 'france', 'immigrants', 'higher', 'exposure', 'covid19related', 'factors', 'systematic', 'prevention', 'behaviours', 'publichealth', 'epidemiology', 'coronavirus']",2,Switzerland
2022-06-01 13:03:12+00:00,1531984709764493313,"ifrc

RT @IFRCAsiaPacific: In #Thailand, Red Cross volunteers are assisting the health authorities with their #COVID19 vaccination campaign in Bangkok. Teams are not only vaccinating the locals but also migrant workers who are employed in the industrial areas of Samut Sakhon…",JulianTHarris,"Geneva, Switzerland",0,0,0,0,"International Federation of the Red Cross. Global Senior Security Advisor. All tweets are my own opinions, thoughts, interests.",301,"['Thailand', 'COVID19']",ifrc rt in thailand red cross volunteers are assisting the health authorities with their covid19 vaccination campaign in bangkok teams are not only vaccinating the locals but also migrant workers who are employed in the industrial areas of samut sakhon,"['ifrc', 'rt', 'in', 'thailand', 'red', 'cross', 'volunteers', 'are', 'assisting', 'the', 'health', 'authorities', 'with', 'their', 'covid19', 'vaccination', 'campaign', 'in', 'bangkok', 'teams', 'are', 'not', 'only', 'vaccinating', 'the', 'locals', 'but', 'also', 'migrant', 'workers', 'who', 'are', 'employed', 'in', 'the', 'industrial', 'areas', 'of', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunteers', 'assisting', 'health', 'authorities', 'covid19', 'vaccination', 'campaign', 'bangkok', 'teams', 'vaccinating', 'locals', 'also', 'migrant', 'workers', 'employed', 'industrial', 'areas', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunt', 'assist', 'health', 'author', 'covid19', 'vaccin', 'campaign', 'bangkok', 'team', 'vaccin', 'local', 'also', 'migrant', 'worker', 'employ', 'industri', 'area', 'samut', 'sakhon']","['ifrc', 'rt', 'thailand', 'red', 'cross', 'volunteers', 'assisting', 'health', 'authorities', 'covid19', 'vaccination', 'campaign', 'bangkok', 'teams', 'vaccinating', 'locals', 'also', 'migrant', 'workers', 'employed', 'industrial', 'areas', 'samut', 'sakhon']",4,Switzerland
2022-05-31 18:49:08+00:00,1531709378478452737,"""Conclusions: In France, immigrants had a higher exposure to COVID-19-related factors and more systematic prevention behaviours.""
#publichealth #epidemiology #coronavirus https://t.co/K6JqXRS6Gl",ElectronBlue,Lausanne (Switzerland),0,0,0,0,🦠,36,"['publichealth', 'epidemiology', 'coronavirus']",conclusionsin france immigrants had a higher exposure to covid19related factors and more systematic prevention behaviours publichealth epidemiology coronavirus,"['conclusionsin', 'france', 'immigrants', 'had', 'a', 'higher', 'exposure', 'to', 'covid19related', 'factors', 'and', 'more', 'systematic', 'prevention', 'behaviours', 'publichealth', 'epidemiology', 'coronavirus']","['conclusionsin', 'france', 'immigrants', 'higher', 'exposure', 'covid19related', 'factors', 'systematic', 'prevention', 'behaviours', 'publichealth', 'epidemiology', 'coronavirus']","['conclusionsin', 'franc', 'immigr', 'higher', 'exposur', 'covid19rel', 'factor', 'systemat', 'prevent', 'behaviour', 'publichealth', 'epidemiolog', 'coronaviru']","['conclusionsin', 'france', 'immigrants', 'higher', 'exposure', 'covid19related', 'factors', 'systematic', 'prevention', 'behaviours', 'publichealth', 'epidemiology', 'coronavirus']",2,Switzerland
2022-05-31 10:45:42+00:00,1531587720719618048,"We still need your support to fund frontline healthcare in Ukraine🇺🇦.

Donate to help treat the wounded &amp; those with other health needs - including #COVID19, cancer, HIV, tuberculosis, mental health issues, &amp; critical maternal &amp; children's care. 
👉🏽 https://t.co/wL1GjZp1wD https://t.co/YCOeTpk4Tu",WHOFoundation,"Geneva, Switzerland",0,0,0,0,"To strengthen the health of our world and save lives, we’re tackling today’s biggest global health challenges. Together, we have so much to achieve.",3298,['COVID19'],we still need your support to fund frontline healthcare in ukraine donate to help treat the wounded amp those with other health needs including covid19 cancer hiv tuberculosis mental health issues amp critical maternal amp childrens care,"['we', 'still', 'need', 'your', 'support', 'to', 'fund', 'frontline', 'healthcare', 'in', 'ukraine', 'donate', 'to', 'help', 'treat', 'the', 'wounded', 'amp', 'those', 'with', 'other', 'health', 'needs', 'including', 'covid19', 'cancer', 'hiv', 'tuberculosis', 'mental', 'health', 'issues', 'amp', 'critical', 'maternal', 'amp', 'childrens', 'care']","['still', 'need', 'support', 'fund', 'frontline', 'healthcare', 'ukraine', 'donate', 'help', 'treat', 'wounded', 'amp', 'health', 'needs', 'including', 'covid19', 'cancer', 'hiv', 'tuberculosis', 'mental', 'health', 'issues', 'amp', 'critical', 'maternal', 'amp', 'childrens', 'care']","['still', 'need', 'support', 'fund', 'frontlin', 'healthcar', 'ukrain', 'donat', 'help', 'treat', 'wound', 'amp', 'health', 'need', 'includ', 'covid19', 'cancer', 'hiv', 'tuberculosi', 'mental', 'health', 'issu', 'amp', 'critic', 'matern', 'amp', 'children', 'care']","['still', 'need', 'support', 'fund', 'frontline', 'healthcare', 'ukraine', 'donate', 'help', 'treat', 'wounded', 'amp', 'health', 'needs', 'including', 'covid19', 'cancer', 'hiv', 'tuberculosis', 'mental', 'health', 'issues', 'amp', 'critical', 'maternal', 'amp', 'childrens', 'care']",4,Switzerland
