Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-04-27 10:36:07+00:00,1254720979772661760,"I am really willing to donate my medical mask to help the frontline worker in the suffering countries thanks to their effort to save human life.
Also appreciate President Tsai @iingwen on the proposal of donation channel for us. https://t.co/Mrl598hfIb",BrianCh98370549,"New Taipei City, Taiwan",0,0,0,0,"Green earth keeping on! # a liberalist # work in life-science industry # belief in truth and evidence, stay in Taipei ,Taiwan",105,,i am really willing to donate my medical mask to help the frontline worker in the suffering countries thanks to their effort to save human life also appreciate president tsai on the proposal of donation channel for us,"['i', 'am', 'really', 'willing', 'to', 'donate', 'my', 'medical', 'mask', 'to', 'help', 'the', 'frontline', 'worker', 'in', 'the', 'suffering', 'countries', 'thanks', 'to', 'their', 'effort', 'to', 'save', 'human', 'life', 'also', 'appreciate', 'president', 'tsai', 'on', 'the', 'proposal', 'of', 'donation', 'channel', 'for', 'us']","['really', 'willing', 'donate', 'medical', 'mask', 'help', 'frontline', 'worker', 'suffering', 'countries', 'thanks', 'effort', 'save', 'human', 'life', 'also', 'appreciate', 'president', 'tsai', 'proposal', 'donation', 'channel', 'us']","['realli', 'will', 'donat', 'medic', 'mask', 'help', 'frontlin', 'worker', 'suffer', 'countri', 'thank', 'effort', 'save', 'human', 'life', 'also', 'appreci', 'presid', 'tsai', 'propos', 'donat', 'channel', 'us']","['really', 'willing', 'donate', 'medical', 'mask', 'help', 'frontline', 'worker', 'suffering', 'countries', 'thanks', 'effort', 'save', 'human', 'life', 'also', 'appreciate', 'president', 'tsai', 'proposal', 'donation', 'channel', 'us']",5,Taiwan
2020-04-19 14:12:15+00:00,1251876267000885251,i do think TW govt has lots of other areas to improve— i don’t appreciate the china-bashing that TW gov’t and individuals do sometimes (i.e. use of 武漢肺炎 instead of 新冠肺炎). and my own work is looking at how policies negatively impact migrant workers here in TW.,pockypickpocket,"新北市, 台灣",1,1,0,0,diaspora angst 🏳️‍🌈🏳️‍⚧️| they/she/她,614,,i do think tw govt has lots of other areas to improve i dont appreciate the chinabashing that tw govt and individuals do sometimes ie use of instead of and my own work is looking at how policies negatively impact migrant workers here in tw,"['i', 'do', 'think', 'tw', 'govt', 'has', 'lots', 'of', 'other', 'areas', 'to', 'improve', 'i', 'dont', 'appreciate', 'the', 'chinabashing', 'that', 'tw', 'govt', 'and', 'individuals', 'do', 'sometimes', 'ie', 'use', 'of', 'instead', 'of', 'and', 'my', 'own', 'work', 'is', 'looking', 'at', 'how', 'policies', 'negatively', 'impact', 'migrant', 'workers', 'here', 'in', 'tw']","['think', 'tw', 'govt', 'lots', 'areas', 'improve', 'dont', 'appreciate', 'chinabashing', 'tw', 'govt', 'individuals', 'sometimes', 'ie', 'use', 'instead', 'work', 'looking', 'policies', 'negatively', 'impact', 'migrant', 'workers', 'tw']","['think', 'tw', 'govt', 'lot', 'area', 'improv', 'dont', 'appreci', 'chinabash', 'tw', 'govt', 'individu', 'sometim', 'ie', 'use', 'instead', 'work', 'look', 'polici', 'neg', 'impact', 'migrant', 'worker', 'tw']","['think', 'tw', 'govt', 'lots', 'areas', 'improve', 'dont', 'appreciate', 'chinabashing', 'tw', 'govt', 'individuals', 'sometimes', 'ie', 'use', 'instead', 'work', 'looking', 'policies', 'negatively', 'impact', 'migrant', 'workers', 'tw']",3,Taiwan
2022-06-17 05:24:01+00:00,1537667357149044736,"@ThinkerAspiring @TheRewiredSoul Some dumb lady does something racist because she is scared, next thing you know she is unemployed and unemployable.   Even her victim thinks it is too much.  comedian constantly makes jokes at the cost of the defenseless and he gets donations from people who hate cancel culture",JohnAtYou,Taiwan,0,0,0,0,20 years DevOp Leadership in big tech and med tech.  Not here to be a influencer.   zero tolerance policy for anonymous shit posters,19,,some dumb lady does something racist because she is scared next thing you know she is unemployed and unemployable even her victim thinks it is too much comedian constantly makes jokes at the cost of the defenseless and he gets donations from people who hate cancel culture,"['some', 'dumb', 'lady', 'does', 'something', 'racist', 'because', 'she', 'is', 'scared', 'next', 'thing', 'you', 'know', 'she', 'is', 'unemployed', 'and', 'unemployable', 'even', 'her', 'victim', 'thinks', 'it', 'is', 'too', 'much', 'comedian', 'constantly', 'makes', 'jokes', 'at', 'the', 'cost', 'of', 'the', 'defenseless', 'and', 'he', 'gets', 'donations', 'from', 'people', 'who', 'hate', 'cancel', 'culture']","['dumb', 'lady', 'something', 'racist', 'scared', 'next', 'thing', 'know', 'unemployed', 'unemployable', 'even', 'victim', 'thinks', 'much', 'comedian', 'constantly', 'makes', 'jokes', 'cost', 'defenseless', 'gets', 'donations', 'people', 'hate', 'cancel', 'culture']","['dumb', 'ladi', 'someth', 'racist', 'scare', 'next', 'thing', 'know', 'unemploy', 'unemploy', 'even', 'victim', 'think', 'much', 'comedian', 'constantli', 'make', 'joke', 'cost', 'defenseless', 'get', 'donat', 'peopl', 'hate', 'cancel', 'cultur']","['dumb', 'lady', 'something', 'racist', 'scared', 'next', 'thing', 'know', 'unemployed', 'unemployable', 'even', 'victim', 'thinks', 'much', 'comedian', 'constantly', 'makes', 'jokes', 'cost', 'defenseless', 'gets', 'donations', 'people', 'hate', 'cancel', 'culture']",1,Taiwan
2022-06-16 01:53:35+00:00,1537252014463549440,"Retopoflow is a classic Blender plug-in, rich in features and easy to use. This tutorial uses a 3D scanned ""Kaiser"" model to create a topological model.
This is a free and open source plug-in that can also be supported by donations to developers.
https://t.co/sZOiDTSHwt https://t.co/nGPvDVvm1U",druiddin,Taiwan,0,0,0,0,Unity 3D虛擬互動應用資深研發,23,,retopoflow is a classic blender plugin rich in features and easy to use this tutorial uses a 3d scanned kaiser model to create a topological model this is a free and open source plugin that can also be supported by donations to developers,"['retopoflow', 'is', 'a', 'classic', 'blender', 'plugin', 'rich', 'in', 'features', 'and', 'easy', 'to', 'use', 'this', 'tutorial', 'uses', 'a', '3d', 'scanned', 'kaiser', 'model', 'to', 'create', 'a', 'topological', 'model', 'this', 'is', 'a', 'free', 'and', 'open', 'source', 'plugin', 'that', 'can', 'also', 'be', 'supported', 'by', 'donations', 'to', 'developers']","['retopoflow', 'classic', 'blender', 'plugin', 'rich', 'features', 'easy', 'use', 'tutorial', 'uses', '3d', 'scanned', 'kaiser', 'model', 'create', 'topological', 'model', 'free', 'open', 'source', 'plugin', 'also', 'supported', 'donations', 'developers']","['retopoflow', 'classic', 'blender', 'plugin', 'rich', 'featur', 'easi', 'use', 'tutori', 'use', '3d', 'scan', 'kaiser', 'model', 'creat', 'topolog', 'model', 'free', 'open', 'sourc', 'plugin', 'also', 'support', 'donat', 'develop']","['retopoflow', 'classic', 'blender', 'plugin', 'rich', 'features', 'easy', 'use', 'tutorial', 'uses', '3d', 'scanned', 'kaiser', 'model', 'create', 'topological', 'model', 'free', 'open', 'source', 'plugin', 'also', 'supported', 'donations', 'developers']",5,Taiwan
2022-05-25 17:28:25+00:00,1529514741189599232,It has been a true pleasure working with the @TheGivingBlock to deliver blockchain-based donations to charities across the world. Come join TGB today for a discussion on #MentalHealthAwareness! https://t.co/enm6cKHavD,GeneRhode,"Taipei City, Taiwan",4,0,0,0,Former Chief Marketing Officer and Head of Public Relations at @elongateog | OG and Co-Founder | Contact me via contact@generhode.com | 🌎🇵🇭🇹🇼,1317,['MentalHealthAwareness'],it has been a true pleasure working with the to deliver blockchainbased donations to charities across the world come join tgb today for a discussion on mentalhealthawareness,"['it', 'has', 'been', 'a', 'true', 'pleasure', 'working', 'with', 'the', 'to', 'deliver', 'blockchainbased', 'donations', 'to', 'charities', 'across', 'the', 'world', 'come', 'join', 'tgb', 'today', 'for', 'a', 'discussion', 'on', 'mentalhealthawareness']","['true', 'pleasure', 'working', 'deliver', 'blockchainbased', 'donations', 'charities', 'across', 'world', 'come', 'join', 'tgb', 'today', 'discussion', 'mentalhealthawareness']","['true', 'pleasur', 'work', 'deliv', 'blockchainbas', 'donat', 'chariti', 'across', 'world', 'come', 'join', 'tgb', 'today', 'discuss', 'mentalhealthawar']","['true', 'pleasure', 'working', 'deliver', 'blockchainbased', 'donations', 'charities', 'across', 'world', 'come', 'join', 'tgb', 'today', 'discussion', 'mentalhealthawareness']",5,Taiwan
2021-02-23 15:33:07+00:00,1364236856318025730,#Taiwan🇹🇼 &amp; #Eswatini🇸🇿 are true friends &amp; partners in prosperity. They're also in lockstep on combating #COVID19 &amp; realising @WHO's⚕ #HealthForAll. Case in point is Amb. Liang's latest donation of #PPE on behalf of the government &amp; people to Minister Nkosi. Yes! #TaiwanCanHelp https://t.co/pxcOfxVorM,a3336427,台灣,0,0,0,0,"I'm from Taiwan (Formosa)🇹🇼
i like drawing and watch movies.
Life is full of art.
Wubba lubba dub dub.",172,"['Taiwan', 'Eswatini', 'COVID19', 'HealthForAll', 'PPE', 'TaiwanCanHelp']",taiwan amp eswatini are true friends amp partners in prosperity theyre also in lockstep on combating covid19 amp realising healthforall case in point is amb liangs latest donation of ppe on behalf of the government amp people to minister nkosi yes taiwancanhelp,"['taiwan', 'amp', 'eswatini', 'are', 'true', 'friends', 'amp', 'partners', 'in', 'prosperity', 'theyre', 'also', 'in', 'lockstep', 'on', 'combating', 'covid19', 'amp', 'realising', 'healthforall', 'case', 'in', 'point', 'is', 'amb', 'liangs', 'latest', 'donation', 'of', 'ppe', 'on', 'behalf', 'of', 'the', 'government', 'amp', 'people', 'to', 'minister', 'nkosi', 'yes', 'taiwancanhelp']","['taiwan', 'amp', 'eswatini', 'true', 'friends', 'amp', 'partners', 'prosperity', 'theyre', 'also', 'lockstep', 'combating', 'covid19', 'amp', 'realising', 'healthforall', 'case', 'point', 'amb', 'liangs', 'latest', 'donation', 'ppe', 'behalf', 'government', 'amp', 'people', 'minister', 'nkosi', 'yes', 'taiwancanhelp']","['taiwan', 'amp', 'eswatini', 'true', 'friend', 'amp', 'partner', 'prosper', 'theyr', 'also', 'lockstep', 'combat', 'covid19', 'amp', 'realis', 'healthforal', 'case', 'point', 'amb', 'liang', 'latest', 'donat', 'ppe', 'behalf', 'govern', 'amp', 'peopl', 'minist', 'nkosi', 'ye', 'taiwancanhelp']","['taiwan', 'amp', 'eswatini', 'true', 'friends', 'amp', 'partners', 'prosperity', 'theyre', 'also', 'lockstep', 'combating', 'covid19', 'amp', 'realising', 'healthforall', 'case', 'point', 'amb', 'liangs', 'latest', 'donation', 'ppe', 'behalf', 'government', 'amp', 'people', 'minister', 'nkosi', 'yes', 'taiwancanhelp']",5,Taiwan
2020-11-29 17:24:49+00:00,1333099610982678529,"#Taiwan🇹🇼 &amp; #Eswatini🇸🇿 are combating #COVID19 together. The latest donation of 10 ventilators &amp; 10K pieces of cover-all protective clothing presented by Amb. Liang to Minister Nkosi will save lives, bolster the global response to the pandemic &amp; realise #SDG3. Yes! #TaiwanCanHelp https://t.co/sx4zA58Mql",a3336427,台灣,0,0,0,0,"I'm from Taiwan (Formosa)🇹🇼
i like drawing and watch movies.
Life is full of art.
Wubba lubba dub dub.",172,"['Taiwan', 'Eswatini', 'COVID19', 'SDG3', 'TaiwanCanHelp']",taiwan amp eswatini are combating covid19 together the latest donation of 10 ventilators amp 10k pieces of coverall protective clothing presented by amb liang to minister nkosi will save lives bolster the global response to the pandemic amp realise sdg3 yes taiwancanhelp,"['taiwan', 'amp', 'eswatini', 'are', 'combating', 'covid19', 'together', 'the', 'latest', 'donation', 'of', '10', 'ventilators', 'amp', '10k', 'pieces', 'of', 'coverall', 'protective', 'clothing', 'presented', 'by', 'amb', 'liang', 'to', 'minister', 'nkosi', 'will', 'save', 'lives', 'bolster', 'the', 'global', 'response', 'to', 'the', 'pandemic', 'amp', 'realise', 'sdg3', 'yes', 'taiwancanhelp']","['taiwan', 'amp', 'eswatini', 'combating', 'covid19', 'together', 'latest', 'donation', '10', 'ventilators', 'amp', '10k', 'pieces', 'coverall', 'protective', 'clothing', 'presented', 'amb', 'liang', 'minister', 'nkosi', 'save', 'lives', 'bolster', 'global', 'response', 'pandemic', 'amp', 'realise', 'sdg3', 'yes', 'taiwancanhelp']","['taiwan', 'amp', 'eswatini', 'combat', 'covid19', 'togeth', 'latest', 'donat', '10', 'ventil', 'amp', '10k', 'piec', 'coveral', 'protect', 'cloth', 'present', 'amb', 'liang', 'minist', 'nkosi', 'save', 'live', 'bolster', 'global', 'respons', 'pandem', 'amp', 'realis', 'sdg3', 'ye', 'taiwancanhelp']","['taiwan', 'amp', 'eswatini', 'combating', 'covid19', 'together', 'latest', 'donation', '10', 'ventilators', 'amp', '10k', 'pieces', 'coverall', 'protective', 'clothing', 'presented', 'amb', 'liang', 'minister', 'nkosi', 'save', 'lives', 'bolster', 'global', 'response', 'pandemic', 'amp', 'realise', 'sdg3', 'yes', 'taiwancanhelp']",5,Taiwan
2020-10-18 14:06:18+00:00,1317829361307840515,Vice Minister Tsao is all smiles at the donation ceremony for 70 notebooks to #Jordan🇯🇴. Our thanks to Jordanian Commercial Office Director Nabeel &amp; @ASUS Cultural &amp; Educational Foundation CEO Wei for striving to close the digital gap &amp; realize @UN🇺🇳 #SDG9. Yes! #TaiwanCanHelp🇹🇼 https://t.co/xvO9TUthpc,a3336427,台灣,0,0,1,0,"I'm from Taiwan (Formosa)🇹🇼
i like drawing and watch movies.
Life is full of art.
Wubba lubba dub dub.",172,"['Jordan', 'SDG9', 'TaiwanCanHelp']",vice minister tsao is all smiles at the donation ceremony for 70 notebooks to jordan our thanks to jordanian commercial office director nabeel amp cultural amp educational foundation ceo wei for striving to close the digital gap amp realize sdg9 yes taiwancanhelp,"['vice', 'minister', 'tsao', 'is', 'all', 'smiles', 'at', 'the', 'donation', 'ceremony', 'for', '70', 'notebooks', 'to', 'jordan', 'our', 'thanks', 'to', 'jordanian', 'commercial', 'office', 'director', 'nabeel', 'amp', 'cultural', 'amp', 'educational', 'foundation', 'ceo', 'wei', 'for', 'striving', 'to', 'close', 'the', 'digital', 'gap', 'amp', 'realize', 'sdg9', 'yes', 'taiwancanhelp']","['vice', 'minister', 'tsao', 'smiles', 'donation', 'ceremony', '70', 'notebooks', 'jordan', 'thanks', 'jordanian', 'commercial', 'office', 'director', 'nabeel', 'amp', 'cultural', 'amp', 'educational', 'foundation', 'ceo', 'wei', 'striving', 'close', 'digital', 'gap', 'amp', 'realize', 'sdg9', 'yes', 'taiwancanhelp']","['vice', 'minist', 'tsao', 'smile', 'donat', 'ceremoni', '70', 'notebook', 'jordan', 'thank', 'jordanian', 'commerci', 'offic', 'director', 'nabeel', 'amp', 'cultur', 'amp', 'educ', 'foundat', 'ceo', 'wei', 'strive', 'close', 'digit', 'gap', 'amp', 'realiz', 'sdg9', 'ye', 'taiwancanhelp']","['vice', 'minister', 'tsao', 'smiles', 'donation', 'ceremony', '70', 'notebooks', 'jordan', 'thanks', 'jordanian', 'commercial', 'office', 'director', 'nabeel', 'amp', 'cultural', 'amp', 'educational', 'foundation', 'ceo', 'wei', 'striving', 'close', 'digital', 'gap', 'amp', 'realize', 'sdg9', 'yes', 'taiwancanhelp']",5,Taiwan
2020-06-06 00:16:09+00:00,1269060473829253120,"@JirousFilip told @Focus_Taiwan that #Taiwan’s success in combating #COVID19 and its donation of medical resources to Czech Republic and other countries have improved #Taiwan’s image. Additionally, #China’s attempt to block #Taiwan from @WHO has further highlighted ...",WilliamYang120,"Taipei, Taiwan",10,1,2,1,"East Asia Correspondent @dwnews and Prez @TaiwanFCC. Words in @BuzzFeedNews, @Guardian, @IrishTimes and @Independent. VIEWS and OPINIONS ARE STRICTLY MY OWN.",53957,"['Taiwan', 'COVID19', 'Taiwan', 'China', 'Taiwan']",told that taiwans success in combating covid19 and its donation of medical resources to czech republic and other countries have improved taiwans image additionally chinas attempt to block taiwan from has further highlighted,"['told', 'that', 'taiwans', 'success', 'in', 'combating', 'covid19', 'and', 'its', 'donation', 'of', 'medical', 'resources', 'to', 'czech', 'republic', 'and', 'other', 'countries', 'have', 'improved', 'taiwans', 'image', 'additionally', 'chinas', 'attempt', 'to', 'block', 'taiwan', 'from', 'has', 'further', 'highlighted']","['told', 'taiwans', 'success', 'combating', 'covid19', 'donation', 'medical', 'resources', 'czech', 'republic', 'countries', 'improved', 'taiwans', 'image', 'additionally', 'chinas', 'attempt', 'block', 'taiwan', 'highlighted']","['told', 'taiwan', 'success', 'combat', 'covid19', 'donat', 'medic', 'resourc', 'czech', 'republ', 'countri', 'improv', 'taiwan', 'imag', 'addit', 'china', 'attempt', 'block', 'taiwan', 'highlight']","['told', 'taiwans', 'success', 'combating', 'covid19', 'donation', 'medical', 'resources', 'czech', 'republic', 'countries', 'improved', 'taiwans', 'image', 'additionally', 'chinas', 'attempt', 'block', 'taiwan', 'highlighted']",4,Taiwan
2020-04-09 06:32:31+00:00,1248136694424977408,"Global solidarity at its best!Thank you #Taiwan for the swift delivery of medical masks for the #EU countries hit hardest by the #coronavirus, and for the announcement of the second donation to Northern, Central, and Eastern Europe. #StrongerTogether #COVID19 #EUinTaiwan #riscEU https://t.co/jYKoGBdNxf",grzegorzewskif,"Taipei City, Taiwan",4770,169,1301,115,"EU Representative in Taiwan, Head of European Economic and Trade Office #EUinTheWorld #EUDiplomacy #EUinTaiwan  RT ≠ endorsement",5401,"['Taiwan', 'EU', 'coronavirus', 'StrongerTogether', 'COVID19', 'EUinTaiwan', 'riscEU']",global solidarity at its bestthank you taiwan for the swift delivery of medical masks for the eu countries hit hardest by the coronavirus and for the announcement of the second donation to northern central and eastern europe strongertogether covid19 euintaiwan risceu,"['global', 'solidarity', 'at', 'its', 'bestthank', 'you', 'taiwan', 'for', 'the', 'swift', 'delivery', 'of', 'medical', 'masks', 'for', 'the', 'eu', 'countries', 'hit', 'hardest', 'by', 'the', 'coronavirus', 'and', 'for', 'the', 'announcement', 'of', 'the', 'second', 'donation', 'to', 'northern', 'central', 'and', 'eastern', 'europe', 'strongertogether', 'covid19', 'euintaiwan', 'risceu']","['global', 'solidarity', 'bestthank', 'taiwan', 'swift', 'delivery', 'medical', 'masks', 'eu', 'countries', 'hit', 'hardest', 'coronavirus', 'announcement', 'second', 'donation', 'northern', 'central', 'eastern', 'europe', 'strongertogether', 'covid19', 'euintaiwan', 'risceu']","['global', 'solidar', 'bestthank', 'taiwan', 'swift', 'deliveri', 'medic', 'mask', 'eu', 'countri', 'hit', 'hardest', 'coronaviru', 'announc', 'second', 'donat', 'northern', 'central', 'eastern', 'europ', 'strongertogeth', 'covid19', 'euintaiwan', 'risceu']","['global', 'solidarity', 'bestthank', 'taiwan', 'swift', 'delivery', 'medical', 'masks', 'eu', 'countries', 'hit', 'hardest', 'coronavirus', 'announcement', 'second', 'donation', 'northern', 'central', 'eastern', 'europe', 'strongertogether', 'covid19', 'euintaiwan', 'risceu']",5,Taiwan
