Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-04-13 10:40:02+00:00,1514191674762797059,"Thank you to all of our partners and sponsors for making our #Fundraising #Walk for #Cancer awareness at #mukuvisi #woodlands a great success.

We truly appreciate your contributions towards #CloseTheCareGap in Cancer in #Zimbabwe 
#Africa https://t.co/4E9JrA34u4",cancercarezim,,6,0,6,0,Cancer Care made more accessible,101,"['Fundraising', 'Walk', 'Cancer', 'mukuvisi', 'woodlands', 'CloseTheCareGap', 'Zimbabwe', 'Africa']",thank you to all of our partners and sponsors for making our fundraising walk for cancer awareness at mukuvisi woodlands a great success we truly appreciate your contributions towards closethecaregap in cancer in zimbabwe africa,"['thank', 'you', 'to', 'all', 'of', 'our', 'partners', 'and', 'sponsors', 'for', 'making', 'our', 'fundraising', 'walk', 'for', 'cancer', 'awareness', 'at', 'mukuvisi', 'woodlands', 'a', 'great', 'success', 'we', 'truly', 'appreciate', 'your', 'contributions', 'towards', 'closethecaregap', 'in', 'cancer', 'in', 'zimbabwe', 'africa']","['thank', 'partners', 'sponsors', 'making', 'fundraising', 'walk', 'cancer', 'awareness', 'mukuvisi', 'woodlands', 'great', 'success', 'truly', 'appreciate', 'contributions', 'towards', 'closethecaregap', 'cancer', 'zimbabwe', 'africa']","['thank', 'partner', 'sponsor', 'make', 'fundrais', 'walk', 'cancer', 'awar', 'mukuvisi', 'woodland', 'great', 'success', 'truli', 'appreci', 'contribut', 'toward', 'closethecaregap', 'cancer', 'zimbabw', 'africa']","['thank', 'partners', 'sponsors', 'making', 'fundraising', 'walk', 'cancer', 'awareness', 'mukuvisi', 'woodlands', 'great', 'success', 'truly', 'appreciate', 'contributions', 'towards', 'closethecaregap', 'cancer', 'zimbabwe', 'africa']",5,Zimbabwe
2022-03-27 18:51:54+00:00,1508154864718782470,"Appreciate every single person that wants to be in your life, don't take them for granted for they're the ones that truly care.

Follow me on Facebook @Oxzy https://t.co/g7GE6glEEd @ Bulawayo, Zimbabwe https://t.co/X8JBHvjWvA",Oxzy_Zw,"Bulawayo, Zimbabwe",2,0,0,0,"Social conscious artist
Voice2Rep 2020 finalist
Prince Claus Fund Award 2021 Recipient
WhatsApp +263738008071",859,,appreciate every single person that wants to be in your life dont take them for granted for theyre the ones that truly care follow me on facebook bulawayo zimbabwe,"['appreciate', 'every', 'single', 'person', 'that', 'wants', 'to', 'be', 'in', 'your', 'life', 'dont', 'take', 'them', 'for', 'granted', 'for', 'theyre', 'the', 'ones', 'that', 'truly', 'care', 'follow', 'me', 'on', 'facebook', 'bulawayo', 'zimbabwe']","['appreciate', 'every', 'single', 'person', 'wants', 'life', 'dont', 'take', 'granted', 'theyre', 'ones', 'truly', 'care', 'follow', 'facebook', 'bulawayo', 'zimbabwe']","['appreci', 'everi', 'singl', 'person', 'want', 'life', 'dont', 'take', 'grant', 'theyr', 'one', 'truli', 'care', 'follow', 'facebook', 'bulawayo', 'zimbabw']","['appreciate', 'every', 'single', 'person', 'wants', 'life', 'dont', 'take', 'granted', 'theyre', 'ones', 'truly', 'care', 'follow', 'facebook', 'bulawayo', 'zimbabwe']",5,Zimbabwe
2022-01-22 17:59:44+00:00,1484948910858719232,"As we said last year, we will give 3 Boy Child toiletries for the month of February, March and April.

Also let's not forget to Donate, anything we gladly receive and appreciate all the donations we can get. 🙏💖🤗❤️

#Icare #UbuntuSpirit https://t.co/7wAQLk4uKm",JEEMC3,,17,3,8,0,Quality Service at All Times,1287,"['Icare', 'UbuntuSpirit']",as we said last year we will give 3 boy child toiletries for the month of february march and april also lets not forget to donate anything we gladly receive and appreciate all the donations we can get icare ubuntuspirit,"['as', 'we', 'said', 'last', 'year', 'we', 'will', 'give', '3', 'boy', 'child', 'toiletries', 'for', 'the', 'month', 'of', 'february', 'march', 'and', 'april', 'also', 'lets', 'not', 'forget', 'to', 'donate', 'anything', 'we', 'gladly', 'receive', 'and', 'appreciate', 'all', 'the', 'donations', 'we', 'can', 'get', 'icare', 'ubuntuspirit']","['said', 'last', 'year', 'give', '3', 'boy', 'child', 'toiletries', 'month', 'february', 'march', 'april', 'also', 'lets', 'forget', 'donate', 'anything', 'gladly', 'receive', 'appreciate', 'donations', 'get', 'icare', 'ubuntuspirit']","['said', 'last', 'year', 'give', '3', 'boy', 'child', 'toiletri', 'month', 'februari', 'march', 'april', 'also', 'let', 'forget', 'donat', 'anyth', 'gladli', 'receiv', 'appreci', 'donat', 'get', 'icar', 'ubuntuspirit']","['said', 'last', 'year', 'give', '3', 'boy', 'child', 'toiletries', 'month', 'february', 'march', 'april', 'also', 'lets', 'forget', 'donate', 'anything', 'gladly', 'receive', 'appreciate', 'donations', 'get', 'icare', 'ubuntuspirit']",5,Zimbabwe
2022-01-06 09:31:12+00:00,1479022729982582789,"@hrjukuea thank u for supporting @LEADZim2023 in the year 2021, we thank you for being part of this #PurpleRevolution We appreciate youu &amp; hereby grant you a complimentary meal @HotplateGrillh1 #januarydontworry Hotplate Grillhouse has got you covered. Enjoy your meal Michelle https://t.co/qqV1vZmrwe",lilomatic,"Harare, Zimbabwe",1,0,1,0,"Mother of 5 | Mambokadzi | Human Rights Defender | Political, Development & Socioeconomic Rights activist | FreedomFighter | Radical Feminist | LEAD President",76311,"['PurpleRevolution', 'januarydontworry']",thank u for supporting in the year 2021 we thank you for being part of this purplerevolution we appreciate youu amp hereby grant you a complimentary meal januarydontworry hotplate grillhouse has got you covered enjoy your meal michelle,"['thank', 'u', 'for', 'supporting', 'in', 'the', 'year', '2021', 'we', 'thank', 'you', 'for', 'being', 'part', 'of', 'this', 'purplerevolution', 'we', 'appreciate', 'youu', 'amp', 'hereby', 'grant', 'you', 'a', 'complimentary', 'meal', 'januarydontworry', 'hotplate', 'grillhouse', 'has', 'got', 'you', 'covered', 'enjoy', 'your', 'meal', 'michelle']","['thank', 'u', 'supporting', 'year', '2021', 'thank', 'part', 'purplerevolution', 'appreciate', 'youu', 'amp', 'hereby', 'grant', 'complimentary', 'meal', 'januarydontworry', 'hotplate', 'grillhouse', 'got', 'covered', 'enjoy', 'meal', 'michelle']","['thank', 'u', 'support', 'year', '2021', 'thank', 'part', 'purplerevolut', 'appreci', 'youu', 'amp', 'herebi', 'grant', 'complimentari', 'meal', 'januarydontworri', 'hotplat', 'grillhous', 'got', 'cover', 'enjoy', 'meal', 'michel']","['thank', 'u', 'supporting', 'year', '2021', 'thank', 'part', 'purplerevolution', 'appreciate', 'youu', 'amp', 'hereby', 'grant', 'complimentary', 'meal', 'januarydontworry', 'hotplate', 'grillhouse', 'got', 'covered', 'enjoy', 'meal', 'michelle']",5,Zimbabwe
2020-10-13 08:26:19+00:00,1315931864092356608,"As of now we have a shortfall of K100,000.00
We appreciate for the support being rendered to us and we will keep you posted on the progress of the project.

All donations, be in cash or kind, can be channeled to the following parish account https://t.co/Z2cTC7Eght",Noph_19,"Blantyre, Malawi.",0,1,1,0,"An Anglican Priest, vicar of Linjidzi Parish at Lirangwe in the Diocese of Southern Malawi. Arsenal and Bullets fan.",481,,as of now we have a shortfall of k10000000 we appreciate for the support being rendered to us and we will keep you posted on the progress of the project all donations be in cash or kind can be channeled to the following parish account,"['as', 'of', 'now', 'we', 'have', 'a', 'shortfall', 'of', 'k10000000', 'we', 'appreciate', 'for', 'the', 'support', 'being', 'rendered', 'to', 'us', 'and', 'we', 'will', 'keep', 'you', 'posted', 'on', 'the', 'progress', 'of', 'the', 'project', 'all', 'donations', 'be', 'in', 'cash', 'or', 'kind', 'can', 'be', 'channeled', 'to', 'the', 'following', 'parish', 'account']","['shortfall', 'k10000000', 'appreciate', 'support', 'rendered', 'us', 'keep', 'posted', 'progress', 'project', 'donations', 'cash', 'kind', 'channeled', 'following', 'parish', 'account']","['shortfal', 'k10000000', 'appreci', 'support', 'render', 'us', 'keep', 'post', 'progress', 'project', 'donat', 'cash', 'kind', 'channel', 'follow', 'parish', 'account']","['shortfall', 'k10000000', 'appreciate', 'support', 'rendered', 'us', 'keep', 'posted', 'progress', 'project', 'donations', 'cash', 'kind', 'channeled', 'following', 'parish', 'account']",4,Zimbabwe
2020-08-17 12:36:20+00:00,1295338673152700416,This year made me realise that I've been taking my efforts and others who care about me for granted. Going forward I am gonna appreciate even the slightest hello. Or a simple smile coming my way❤❤❤,glo_zanayi,"Tembisa, South Africa",1,0,0,0,"Singer& Writter. 
Graphic designer  Nano-Influencer
GloZanayi@outlook.com 
Fighting #depression #Ghettofamily
youtu.be/hj_",10842,,this year made me realise that ive been taking my efforts and others who care about me for granted going forward i am gonna appreciate even the slightest hello or a simple smile coming my way,"['this', 'year', 'made', 'me', 'realise', 'that', 'ive', 'been', 'taking', 'my', 'efforts', 'and', 'others', 'who', 'care', 'about', 'me', 'for', 'granted', 'going', 'forward', 'i', 'am', 'gonna', 'appreciate', 'even', 'the', 'slightest', 'hello', 'or', 'a', 'simple', 'smile', 'coming', 'my', 'way']","['year', 'made', 'realise', 'ive', 'taking', 'efforts', 'others', 'care', 'granted', 'going', 'forward', 'gonna', 'appreciate', 'even', 'slightest', 'hello', 'simple', 'smile', 'coming', 'way']","['year', 'made', 'realis', 'ive', 'take', 'effort', 'other', 'care', 'grant', 'go', 'forward', 'gonna', 'appreci', 'even', 'slightest', 'hello', 'simpl', 'smile', 'come', 'way']","['year', 'made', 'realise', 'ive', 'taking', 'efforts', 'others', 'care', 'granted', 'going', 'forward', 'gonna', 'appreciate', 'even', 'slightest', 'hello', 'simple', 'smile', 'coming', 'way']",5,Zimbabwe
2020-02-17 10:28:05+00:00,1229351805907279872,"Taking this moment to appreciate @kuliroberts for her donation towards the #PUTSA project, founded by President @ZungulaVuyo , all to improve the material conditions of all South Africans.

The recipients from Ga-Rankuwa extend their gratitude kuwe Sisi.

#ATMInCommunities https://t.co/G3pqUoNxFj",ATMovement_SA,South Africa,40,1,14,2,"President: @ZungulaVuyo #ATMInParliament - send inputs, alerts and suggestions to parliament@atmovement.org",15206,"['PUTSA', 'ATMInCommunities']",taking this moment to appreciate for her donation towards the putsa project founded by president all to improve the material conditions of all south africans the recipients from garankuwa extend their gratitude kuwe sisi atmincommunities,"['taking', 'this', 'moment', 'to', 'appreciate', 'for', 'her', 'donation', 'towards', 'the', 'putsa', 'project', 'founded', 'by', 'president', 'all', 'to', 'improve', 'the', 'material', 'conditions', 'of', 'all', 'south', 'africans', 'the', 'recipients', 'from', 'garankuwa', 'extend', 'their', 'gratitude', 'kuwe', 'sisi', 'atmincommunities']","['taking', 'moment', 'appreciate', 'donation', 'towards', 'putsa', 'project', 'founded', 'president', 'improve', 'material', 'conditions', 'south', 'africans', 'recipients', 'garankuwa', 'extend', 'gratitude', 'kuwe', 'sisi', 'atmincommunities']","['take', 'moment', 'appreci', 'donat', 'toward', 'putsa', 'project', 'found', 'presid', 'improv', 'materi', 'condit', 'south', 'african', 'recipi', 'garankuwa', 'extend', 'gratitud', 'kuw', 'sisi', 'atmincommun']","['taking', 'moment', 'appreciate', 'donation', 'towards', 'putsa', 'project', 'founded', 'president', 'improve', 'material', 'conditions', 'south', 'africans', 'recipients', 'garankuwa', 'extend', 'gratitude', 'kuwe', 'sisi', 'atmincommunities']",5,Zimbabwe
2020-02-16 08:59:52+00:00,1228967216512688128,"A little appreciation post to all the amazing people who made our #DIFTK Valentine’s Charity dinner a tremendous success! 

Ubuhle beBosso ngabalandeli bayo, similarly, it’s you that make #DIFTK great! From our volunteers, to our sponsors. Siyabonga!👏🏾

https://t.co/y5btWbATfD https://t.co/ecks4MoZEJ",doit4thekidz_,"Bulawayo, Zimbabwe",7,0,3,0,"Putting our hearts to diligently serve the underprivileged in our community, all for the glory of God!",428,"['DIFTK', 'DIFTK']",a little appreciation post to all the amazing people who made our diftk valentines charity dinner a tremendous success ubuhle bebosso ngabalandeli bayo similarly its you that make diftk great from our volunteers to our sponsors siyabonga,"['a', 'little', 'appreciation', 'post', 'to', 'all', 'the', 'amazing', 'people', 'who', 'made', 'our', 'diftk', 'valentines', 'charity', 'dinner', 'a', 'tremendous', 'success', 'ubuhle', 'bebosso', 'ngabalandeli', 'bayo', 'similarly', 'its', 'you', 'that', 'make', 'diftk', 'great', 'from', 'our', 'volunteers', 'to', 'our', 'sponsors', 'siyabonga']","['little', 'appreciation', 'post', 'amazing', 'people', 'made', 'diftk', 'valentines', 'charity', 'dinner', 'tremendous', 'success', 'ubuhle', 'bebosso', 'ngabalandeli', 'bayo', 'similarly', 'make', 'diftk', 'great', 'volunteers', 'sponsors', 'siyabonga']","['littl', 'appreci', 'post', 'amaz', 'peopl', 'made', 'diftk', 'valentin', 'chariti', 'dinner', 'tremend', 'success', 'ubuhl', 'bebosso', 'ngabaland', 'bayo', 'similarli', 'make', 'diftk', 'great', 'volunt', 'sponsor', 'siyabonga']","['little', 'appreciation', 'post', 'amazing', 'people', 'made', 'diftk', 'valentines', 'charity', 'dinner', 'tremendous', 'success', 'ubuhle', 'bebosso', 'ngabalandeli', 'bayo', 'similarly', 'make', 'diftk', 'great', 'volunteers', 'sponsors', 'siyabonga']",5,Zimbabwe
2019-12-05 04:03:16+00:00,1202438261811142656,"God,

Thank you for placing people in my life who constantly push me &amp; challenge me to be great. I don’t ever want to take them for granted because people like that are rare gems. May I honor them, encourage them, love them well. They deserve the same appreciation if not more.",AFRIKANBXI,AFRICA,13,0,2,1,Co Founder @BeyondTwenty4 | Social Media Specialist |Email : nhlanhlamahlaba@yahoo.com,21460,,god thank you for placing people in my life who constantly push me amp challenge me to be great i dont ever want to take them for granted because people like that are rare gems may i honor them encourage them love them well they deserve the same appreciation if not more,"['god', 'thank', 'you', 'for', 'placing', 'people', 'in', 'my', 'life', 'who', 'constantly', 'push', 'me', 'amp', 'challenge', 'me', 'to', 'be', 'great', 'i', 'dont', 'ever', 'want', 'to', 'take', 'them', 'for', 'granted', 'because', 'people', 'like', 'that', 'are', 'rare', 'gems', 'may', 'i', 'honor', 'them', 'encourage', 'them', 'love', 'them', 'well', 'they', 'deserve', 'the', 'same', 'appreciation', 'if', 'not', 'more']","['god', 'thank', 'placing', 'people', 'life', 'constantly', 'push', 'amp', 'challenge', 'great', 'dont', 'ever', 'want', 'take', 'granted', 'people', 'like', 'rare', 'gems', 'may', 'honor', 'encourage', 'love', 'well', 'deserve', 'appreciation']","['god', 'thank', 'place', 'peopl', 'life', 'constantli', 'push', 'amp', 'challeng', 'great', 'dont', 'ever', 'want', 'take', 'grant', 'peopl', 'like', 'rare', 'gem', 'may', 'honor', 'encourag', 'love', 'well', 'deserv', 'appreci']","['god', 'thank', 'placing', 'people', 'life', 'constantly', 'push', 'amp', 'challenge', 'great', 'dont', 'ever', 'want', 'take', 'granted', 'people', 'like', 'rare', 'gems', 'may', 'honor', 'encourage', 'love', 'well', 'deserve', 'appreciation']",5,Zimbabwe
2021-05-29 09:50:33+00:00,1398577495025332227,"Hey fam I'm kindly asking for a clicks voucher or something donations cash kubi I'm so damn broke need to collect my medication 🤨🤨🤨 I'm on stage # 

If I die I die n full willing to assist pls if any piece job available fr de weekend will work. Can clean wash but cant cook https://t.co/FIg9o0UMoO",celebsa3, Nkomazi Block A/Tembisa motsu,17,1,23,0,Safety Officer👷‍♂️| Occupational Health 💉| Environmentalist 🌫|Quality Control👌| Supply Chain 📊 |Farmer🐖| instagram.com/celebrity_sele…,10696,,hey fam im kindly asking for a clicks voucher or something donations cash kubi im so damn broke need to collect my medication im on stage if i die i die n full willing to assist pls if any piece job available fr de weekend will work can clean wash but cant cook,"['hey', 'fam', 'im', 'kindly', 'asking', 'for', 'a', 'clicks', 'voucher', 'or', 'something', 'donations', 'cash', 'kubi', 'im', 'so', 'damn', 'broke', 'need', 'to', 'collect', 'my', 'medication', 'im', 'on', 'stage', 'if', 'i', 'die', 'i', 'die', 'n', 'full', 'willing', 'to', 'assist', 'pls', 'if', 'any', 'piece', 'job', 'available', 'fr', 'de', 'weekend', 'will', 'work', 'can', 'clean', 'wash', 'but', 'cant', 'cook']","['hey', 'fam', 'im', 'kindly', 'asking', 'clicks', 'voucher', 'something', 'donations', 'cash', 'kubi', 'im', 'damn', 'broke', 'need', 'collect', 'medication', 'im', 'stage', 'die', 'die', 'n', 'full', 'willing', 'assist', 'pls', 'piece', 'job', 'available', 'fr', 'de', 'weekend', 'work', 'clean', 'wash', 'cant', 'cook']","['hey', 'fam', 'im', 'kindli', 'ask', 'click', 'voucher', 'someth', 'donat', 'cash', 'kubi', 'im', 'damn', 'broke', 'need', 'collect', 'medic', 'im', 'stage', 'die', 'die', 'n', 'full', 'will', 'assist', 'pl', 'piec', 'job', 'avail', 'fr', 'de', 'weekend', 'work', 'clean', 'wash', 'cant', 'cook']","['hey', 'fam', 'im', 'kindly', 'asking', 'clicks', 'voucher', 'something', 'donations', 'cash', 'kubi', 'im', 'damn', 'broke', 'need', 'collect', 'medication', 'im', 'stage', 'die', 'die', 'n', 'full', 'willing', 'assist', 'pls', 'piece', 'job', 'available', 'fr', 'de', 'weekend', 'work', 'clean', 'wash', 'cant', 'cook']",1,Zimbabwe
