Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-06 09:52:06+00:00,1533748557836066817,Let’s normalize gifting people therapy session vouchers,MunaHaddadin96,Amman/ Jordan,0,0,0,0,live and let live,250,,lets normalize gifting people therapy session vouchers,"['lets', 'normalize', 'gifting', 'people', 'therapy', 'session', 'vouchers']","['lets', 'normalize', 'gifting', 'people', 'therapy', 'session', 'vouchers']","['let', 'normal', 'gift', 'peopl', 'therapi', 'session', 'voucher']","['lets', 'normalize', 'gifting', 'people', 'therapy', 'session', 'vouchers']",4,Egypt
2022-06-05 11:42:21+00:00,1533413916247744518,@cosmochoy Am ready it's super Sunday let us thank God for the gift of living and good health and we pray for our next president Ruto,mumjojoh,murang'a County ,0,0,0,0,Single and self independent woman,45,,am ready its super sunday let us thank god for the gift of living and good health and we pray for our next president ruto,"['am', 'ready', 'its', 'super', 'sunday', 'let', 'us', 'thank', 'god', 'for', 'the', 'gift', 'of', 'living', 'and', 'good', 'health', 'and', 'we', 'pray', 'for', 'our', 'next', 'president', 'ruto']","['ready', 'super', 'sunday', 'let', 'us', 'thank', 'god', 'gift', 'living', 'good', 'health', 'pray', 'next', 'president', 'ruto']","['readi', 'super', 'sunday', 'let', 'us', 'thank', 'god', 'gift', 'live', 'good', 'health', 'pray', 'next', 'presid', 'ruto']","['ready', 'super', 'sunday', 'let', 'us', 'thank', 'god', 'gift', 'living', 'good', 'health', 'pray', 'next', 'president', 'ruto']",5,Egypt
2022-06-02 21:29:12+00:00,1532474438377168906,"#مساء_الخيرᅠ

Health is a gift of life; it is something you receive and continue to receive, each day. Are you grateful for that gift?",Emanoo1122,المملكة العربية السعودية,1,0,0,0,ربي هيء لي من أمري رشدا 💓,1629,['مساء_الخيرᅠ'],health is a gift of life it is something you receive and continue to receive each day are you grateful for that gift,"['health', 'is', 'a', 'gift', 'of', 'life', 'it', 'is', 'something', 'you', 'receive', 'and', 'continue', 'to', 'receive', 'each', 'day', 'are', 'you', 'grateful', 'for', 'that', 'gift']","['health', 'gift', 'life', 'something', 'receive', 'continue', 'receive', 'day', 'grateful', 'gift']","['health', 'gift', 'life', 'someth', 'receiv', 'continu', 'receiv', 'day', 'grate', 'gift']","['health', 'gift', 'life', 'something', 'receive', 'continue', 'receive', 'day', 'grateful', 'gift']",5,Egypt
2021-08-19 23:21:26+00:00,1428497364327796746,"@Ale00526098 Oh my God you are a greatest creater ❤️ thank you so much
my friend 💞 Alejandra 🌹
For the greatest gift give me to
the Heart ❤️ I Hearty accept
Your beautiful ❤️ gift 🌹
Hearty Thanks to you my friend
Alejandra 🌹 oh my God give you
Good health n happy lif",MARashe30064733,"Taif, Kingdom of Saudi Arabia",1,1,1,0,"M A Rasheed  I'm painting artist 🎨🖌️
portraits and beautiful landscape paintings work 🎨🖌️
I love Art painting work
contact 📲 +966559513882/+966506249029",552,,oh my god you are a greatest creater thank you so much my friend alejandra for the greatest gift give me to the heart i hearty accept your beautiful gift hearty thanks to you my friend alejandra oh my god give you good health n happy lif,"['oh', 'my', 'god', 'you', 'are', 'a', 'greatest', 'creater', 'thank', 'you', 'so', 'much', 'my', 'friend', 'alejandra', 'for', 'the', 'greatest', 'gift', 'give', 'me', 'to', 'the', 'heart', 'i', 'hearty', 'accept', 'your', 'beautiful', 'gift', 'hearty', 'thanks', 'to', 'you', 'my', 'friend', 'alejandra', 'oh', 'my', 'god', 'give', 'you', 'good', 'health', 'n', 'happy', 'lif']","['oh', 'god', 'greatest', 'creater', 'thank', 'much', 'friend', 'alejandra', 'greatest', 'gift', 'give', 'heart', 'hearty', 'accept', 'beautiful', 'gift', 'hearty', 'thanks', 'friend', 'alejandra', 'oh', 'god', 'give', 'good', 'health', 'n', 'happy', 'lif']","['oh', 'god', 'greatest', 'creater', 'thank', 'much', 'friend', 'alejandra', 'greatest', 'gift', 'give', 'heart', 'hearti', 'accept', 'beauti', 'gift', 'hearti', 'thank', 'friend', 'alejandra', 'oh', 'god', 'give', 'good', 'health', 'n', 'happi', 'lif']","['oh', 'god', 'greatest', 'creater', 'thank', 'much', 'friend', 'alejandra', 'greatest', 'gift', 'give', 'heart', 'hearty', 'accept', 'beautiful', 'gift', 'hearty', 'thanks', 'friend', 'alejandra', 'oh', 'god', 'give', 'good', 'health', 'n', 'happy', 'lif']",5,Egypt
2021-07-08 08:13:40+00:00,1413048624951529472,With the #change of Health Minister now India can gift vaccines to other countries. Is it so??,khurram_sajjad,Makkah,0,0,0,0,"Health and Safety Specialist.
prevent people to go hospital at workplace. Staunch supporter of 🇵🇸",610,['change'],with the change of health minister now india can gift vaccines to other countries is it so,"['with', 'the', 'change', 'of', 'health', 'minister', 'now', 'india', 'can', 'gift', 'vaccines', 'to', 'other', 'countries', 'is', 'it', 'so']","['change', 'health', 'minister', 'india', 'gift', 'vaccines', 'countries']","['chang', 'health', 'minist', 'india', 'gift', 'vaccin', 'countri']","['change', 'health', 'minister', 'india', 'gift', 'vaccines', 'countries']",5,Egypt
2021-02-11 12:55:16+00:00,1359848479460372483,"I'm grateful for the presence of my parents. I'm grateful for the tiny circle of friends i have rn. I'm grateful for the lessons I've learnt. I'm grateful for losing such toxic persons in my life. Finally, above all, I'm grateful for the gift of health &amp; peace of mind. https://t.co/oGH2mF4USI",mariamatefh7,"Alexandria, Egypt",8,0,4,0,"Ex-EGCian
                                                                   CCE student           
                                        ig:mariamatefh",705,,im grateful for the presence of my parents im grateful for the tiny circle of friends i have rn im grateful for the lessons ive learnt im grateful for losing such toxic persons in my life finally above all im grateful for the gift of health amp peace of mind,"['im', 'grateful', 'for', 'the', 'presence', 'of', 'my', 'parents', 'im', 'grateful', 'for', 'the', 'tiny', 'circle', 'of', 'friends', 'i', 'have', 'rn', 'im', 'grateful', 'for', 'the', 'lessons', 'ive', 'learnt', 'im', 'grateful', 'for', 'losing', 'such', 'toxic', 'persons', 'in', 'my', 'life', 'finally', 'above', 'all', 'im', 'grateful', 'for', 'the', 'gift', 'of', 'health', 'amp', 'peace', 'of', 'mind']","['im', 'grateful', 'presence', 'parents', 'im', 'grateful', 'tiny', 'circle', 'friends', 'rn', 'im', 'grateful', 'lessons', 'ive', 'learnt', 'im', 'grateful', 'losing', 'toxic', 'persons', 'life', 'finally', 'im', 'grateful', 'gift', 'health', 'amp', 'peace', 'mind']","['im', 'grate', 'presenc', 'parent', 'im', 'grate', 'tini', 'circl', 'friend', 'rn', 'im', 'grate', 'lesson', 'ive', 'learnt', 'im', 'grate', 'lose', 'toxic', 'person', 'life', 'final', 'im', 'grate', 'gift', 'health', 'amp', 'peac', 'mind']","['im', 'grateful', 'presence', 'parents', 'im', 'grateful', 'tiny', 'circle', 'friends', 'rn', 'im', 'grateful', 'lessons', 'ive', 'learnt', 'im', 'grateful', 'losing', 'toxic', 'persons', 'life', 'finally', 'im', 'grateful', 'gift', 'health', 'amp', 'peace', 'mind']",5,Egypt
2021-01-02 15:35:25+00:00,1345393266330624003,"Diane, @debjael 

Thank you for sharing your beautiful gift with us!! Wear it in good health! ♥️ https://t.co/rlJns4Pb0B",cityofdavid,Jerusalem,12,1,2,0,"Welcome to the #CityofDavid, the place where Jerusalem began! 🌳National Park ⚒Archaeological Dig 📚Biblical Site",6843,,diane thank you for sharing your beautiful gift with us wear it in good health,"['diane', 'thank', 'you', 'for', 'sharing', 'your', 'beautiful', 'gift', 'with', 'us', 'wear', 'it', 'in', 'good', 'health']","['diane', 'thank', 'sharing', 'beautiful', 'gift', 'us', 'wear', 'good', 'health']","['dian', 'thank', 'share', 'beauti', 'gift', 'us', 'wear', 'good', 'health']","['diane', 'thank', 'sharing', 'beautiful', 'gift', 'us', 'wear', 'good', 'health']",5,Egypt
2020-04-15 04:00:54+00:00,1250272864277676032,"@JonGiftosMD @londlyloo Poverty, racism, and food insecurity are both public health crises and pandemics. Medical professionals we work with through our medical-legal partnership fight against these daily to improve health.",shannonmace,"Kuala Lumpur, Malaysia",1,0,0,0,"JD, MPH. Co-founder @HELPmlp; Senior Advisor @nationalcouncil. Opinions my own. Location subject to change.",1609,,poverty racism and food insecurity are both public health crises and pandemics medical professionals we work with through our medicallegal partnership fight against these daily to improve health,"['poverty', 'racism', 'and', 'food', 'insecurity', 'are', 'both', 'public', 'health', 'crises', 'and', 'pandemics', 'medical', 'professionals', 'we', 'work', 'with', 'through', 'our', 'medicallegal', 'partnership', 'fight', 'against', 'these', 'daily', 'to', 'improve', 'health']","['poverty', 'racism', 'food', 'insecurity', 'public', 'health', 'crises', 'pandemics', 'medical', 'professionals', 'work', 'medicallegal', 'partnership', 'fight', 'daily', 'improve', 'health']","['poverti', 'racism', 'food', 'insecur', 'public', 'health', 'crise', 'pandem', 'medic', 'profession', 'work', 'medicalleg', 'partnership', 'fight', 'daili', 'improv', 'health']","['poverty', 'racism', 'food', 'insecurity', 'public', 'health', 'crises', 'pandemics', 'medical', 'professionals', 'work', 'medicallegal', 'partnership', 'fight', 'daily', 'improve', 'health']",1,Egypt
2020-04-08 10:38:19+00:00,1247836161441181696,"@ANA33969822 Iam Ok !
 I will try going out for sport&amp;
Photography  ... it's forbidden more than 100m distance ... !
 Do you need  beautiful mask !?
 I send you one as a Gift ~0~ 
 And don""t thraw the old if is it possible to recycle  😉   
Wish you a good health",wk8star,haifa,1,1,0,0,"Iam an artist.. {painter} !! i like sport ,football,bicycle ,  reading ,photography and healthy  herbs",2789,,iam ok i will try going out for sportamp photography its forbidden more than 100m distance do you need beautiful mask i send you one as a gift 0 and dont thraw the old if is it possible to recycle wish you a good health,"['iam', 'ok', 'i', 'will', 'try', 'going', 'out', 'for', 'sportamp', 'photography', 'its', 'forbidden', 'more', 'than', '100m', 'distance', 'do', 'you', 'need', 'beautiful', 'mask', 'i', 'send', 'you', 'one', 'as', 'a', 'gift', '0', 'and', 'dont', 'thraw', 'the', 'old', 'if', 'is', 'it', 'possible', 'to', 'recycle', 'wish', 'you', 'a', 'good', 'health']","['iam', 'ok', 'try', 'going', 'sportamp', 'photography', 'forbidden', '100m', 'distance', 'need', 'beautiful', 'mask', 'send', 'one', 'gift', '0', 'dont', 'thraw', 'old', 'possible', 'recycle', 'wish', 'good', 'health']","['iam', 'ok', 'tri', 'go', 'sportamp', 'photographi', 'forbidden', '100m', 'distanc', 'need', 'beauti', 'mask', 'send', 'one', 'gift', '0', 'dont', 'thraw', 'old', 'possibl', 'recycl', 'wish', 'good', 'health']","['iam', 'ok', 'try', 'going', 'sportamp', 'photography', 'forbidden', '100m', 'distance', 'need', 'beautiful', 'mask', 'send', 'one', 'gift', '0', 'dont', 'thraw', 'old', 'possible', 'recycle', 'wish', 'good', 'health']",3,Egypt
2019-12-23 16:22:46+00:00,1209147345708953602,"Happy Hanukkah! May the bright light of peace, joy, good health, and cheer shine upon you &amp; your family throughout the holiday &amp; upcoming new year! 😃✡️🎊💙☮️🎉😍✡️🌈
Thanks for gift..!#HappyHanukkah #Hanukkah2019  #Jewishfestival #Israel #India
@israelinMumbai @indemtel https://t.co/BvZU3h3k4S",JaidevBhaskare,Israel,3,0,0,0,"| Proud Indian | Student | Agriculturist |

Instagram : instagram.com/jaidev09/?hl=en",149,"['HappyHanukkah', 'Hanukkah2019', 'Jewishfestival', 'Israel', 'India']",happy hanukkah may the bright light of peace joy good health and cheer shine upon you amp your family throughout the holiday amp upcoming new year thanks for gifthappyhanukkah hanukkah2019 jewishfestival israel india,"['happy', 'hanukkah', 'may', 'the', 'bright', 'light', 'of', 'peace', 'joy', 'good', 'health', 'and', 'cheer', 'shine', 'upon', 'you', 'amp', 'your', 'family', 'throughout', 'the', 'holiday', 'amp', 'upcoming', 'new', 'year', 'thanks', 'for', 'gifthappyhanukkah', 'hanukkah2019', 'jewishfestival', 'israel', 'india']","['happy', 'hanukkah', 'may', 'bright', 'light', 'peace', 'joy', 'good', 'health', 'cheer', 'shine', 'upon', 'amp', 'family', 'throughout', 'holiday', 'amp', 'upcoming', 'new', 'year', 'thanks', 'gifthappyhanukkah', 'hanukkah2019', 'jewishfestival', 'israel', 'india']","['happi', 'hanukkah', 'may', 'bright', 'light', 'peac', 'joy', 'good', 'health', 'cheer', 'shine', 'upon', 'amp', 'famili', 'throughout', 'holiday', 'amp', 'upcom', 'new', 'year', 'thank', 'gifthappyhanukkah', 'hanukkah2019', 'jewishfestiv', 'israel', 'india']","['happy', 'hanukkah', 'may', 'bright', 'light', 'peace', 'joy', 'good', 'health', 'cheer', 'shine', 'upon', 'amp', 'family', 'throughout', 'holiday', 'amp', 'upcoming', 'new', 'year', 'thanks', 'gifthappyhanukkah', 'hanukkah2019', 'jewishfestival', 'israel', 'india']",5,Egypt
