Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 10:09:28+00:00,1533390541513277441,"@RichPiper007 @simisanya @Vnlakoko @lannio_x @jayythedope Who mentioned sex?🤣🤣🤣. Baba is already pained and doesn't have anything reasonable to say, I'm a student and I work, my families take very good care of me and all my boyfriend do is just to appreciate me with love and gifts which is not too much, I do the same and that's it",shola_vir17,"Lagos, Nigeria",2,1,0,0,"Ibukunoluwa❤️, Science tutor, Engineering student. YBNL stan👑🥂",94,,who mentioned sex baba is already pained and doesnt have anything reasonable to say im a student and i work my families take very good care of me and all my boyfriend do is just to appreciate me with love and gifts which is not too much i do the same and thats it,"['who', 'mentioned', 'sex', 'baba', 'is', 'already', 'pained', 'and', 'doesnt', 'have', 'anything', 'reasonable', 'to', 'say', 'im', 'a', 'student', 'and', 'i', 'work', 'my', 'families', 'take', 'very', 'good', 'care', 'of', 'me', 'and', 'all', 'my', 'boyfriend', 'do', 'is', 'just', 'to', 'appreciate', 'me', 'with', 'love', 'and', 'gifts', 'which', 'is', 'not', 'too', 'much', 'i', 'do', 'the', 'same', 'and', 'thats', 'it']","['mentioned', 'sex', 'baba', 'already', 'pained', 'doesnt', 'anything', 'reasonable', 'say', 'im', 'student', 'work', 'families', 'take', 'good', 'care', 'boyfriend', 'appreciate', 'love', 'gifts', 'much', 'thats']","['mention', 'sex', 'baba', 'alreadi', 'pain', 'doesnt', 'anyth', 'reason', 'say', 'im', 'student', 'work', 'famili', 'take', 'good', 'care', 'boyfriend', 'appreci', 'love', 'gift', 'much', 'that']","['mentioned', 'sex', 'baba', 'already', 'pained', 'doesnt', 'anything', 'reasonable', 'say', 'im', 'student', 'work', 'families', 'take', 'good', 'care', 'boyfriend', 'appreciate', 'love', 'gifts', 'much', 'thats']",2,Nigeria
2022-06-03 21:23:46+00:00,1532835458392145920,"Ladies, if you are looking for a gift to get for your man , come and get this and surprise your man. It's not only them they should get you gifts, you also show them that you appreciate them and you love them being part of your life. Get this and thank me later 💜💜💜 https://t.co/uVPvv6voSV",gifylicious,"Abuja, Nigeria",2,2,2,0,"A mother, A Caterer, A griller, A lover of God, A Counsellor, A domestic violence survivor, A Realist, An open minded person  💜💜",2532,,ladies if you are looking for a gift to get for your man come and get this and surprise your man its not only them they should get you gifts you also show them that you appreciate them and you love them being part of your life get this and thank me later,"['ladies', 'if', 'you', 'are', 'looking', 'for', 'a', 'gift', 'to', 'get', 'for', 'your', 'man', 'come', 'and', 'get', 'this', 'and', 'surprise', 'your', 'man', 'its', 'not', 'only', 'them', 'they', 'should', 'get', 'you', 'gifts', 'you', 'also', 'show', 'them', 'that', 'you', 'appreciate', 'them', 'and', 'you', 'love', 'them', 'being', 'part', 'of', 'your', 'life', 'get', 'this', 'and', 'thank', 'me', 'later']","['ladies', 'looking', 'gift', 'get', 'man', 'come', 'get', 'surprise', 'man', 'get', 'gifts', 'also', 'show', 'appreciate', 'love', 'part', 'life', 'get', 'thank', 'later']","['ladi', 'look', 'gift', 'get', 'man', 'come', 'get', 'surpris', 'man', 'get', 'gift', 'also', 'show', 'appreci', 'love', 'part', 'life', 'get', 'thank', 'later']","['ladies', 'looking', 'gift', 'get', 'man', 'come', 'get', 'surprise', 'man', 'get', 'gifts', 'also', 'show', 'appreciate', 'love', 'part', 'life', 'get', 'thank', 'later']",5,Nigeria
2022-06-03 14:04:59+00:00,1532725033512099840,"Some people have that gift of discouraging people trying their best to add value to a society but if you investigate them very well, they never for once add a value to their community talkless their society

Learn to appreciate people for dishing out value. It is not easy at all",ayworship,Osun State,0,0,0,0,Affliate marketer | Forex trader | Cryptocurrency Enthusiast | Music Minister,131,,some people have that gift of discouraging people trying their best to add value to a society but if you investigate them very well they never for once add a value to their community talkless their society learn to appreciate people for dishing out value it is not easy at all,"['some', 'people', 'have', 'that', 'gift', 'of', 'discouraging', 'people', 'trying', 'their', 'best', 'to', 'add', 'value', 'to', 'a', 'society', 'but', 'if', 'you', 'investigate', 'them', 'very', 'well', 'they', 'never', 'for', 'once', 'add', 'a', 'value', 'to', 'their', 'community', 'talkless', 'their', 'society', 'learn', 'to', 'appreciate', 'people', 'for', 'dishing', 'out', 'value', 'it', 'is', 'not', 'easy', 'at', 'all']","['people', 'gift', 'discouraging', 'people', 'trying', 'best', 'add', 'value', 'society', 'investigate', 'well', 'never', 'add', 'value', 'community', 'talkless', 'society', 'learn', 'appreciate', 'people', 'dishing', 'value', 'easy']","['peopl', 'gift', 'discourag', 'peopl', 'tri', 'best', 'add', 'valu', 'societi', 'investig', 'well', 'never', 'add', 'valu', 'commun', 'talkless', 'societi', 'learn', 'appreci', 'peopl', 'dish', 'valu', 'easi']","['people', 'gift', 'discouraging', 'people', 'trying', 'best', 'add', 'value', 'society', 'investigate', 'well', 'never', 'add', 'value', 'community', 'talkless', 'society', 'learn', 'appreciate', 'people', 'dishing', 'value', 'easy']",2,Nigeria
2022-06-02 10:37:32+00:00,1532310441359204352,@aprokonurse1 To be honest I don't like stress if only most ladies will appreciate the gift of nature and enjoy their life than all this unnecessary problem just because they want to please men and their fellow women..,AbdoolHabeeb,Nigeria,0,0,0,0,"business advocate, thrift shoes plug, footwear and clothing gallery.
08162920587.",1051,,to be honest i dont like stress if only most ladies will appreciate the gift of nature and enjoy their life than all this unnecessary problem just because they want to please men and their fellow women,"['to', 'be', 'honest', 'i', 'dont', 'like', 'stress', 'if', 'only', 'most', 'ladies', 'will', 'appreciate', 'the', 'gift', 'of', 'nature', 'and', 'enjoy', 'their', 'life', 'than', 'all', 'this', 'unnecessary', 'problem', 'just', 'because', 'they', 'want', 'to', 'please', 'men', 'and', 'their', 'fellow', 'women']","['honest', 'dont', 'like', 'stress', 'ladies', 'appreciate', 'gift', 'nature', 'enjoy', 'life', 'unnecessary', 'problem', 'want', 'please', 'men', 'fellow', 'women']","['honest', 'dont', 'like', 'stress', 'ladi', 'appreci', 'gift', 'natur', 'enjoy', 'life', 'unnecessari', 'problem', 'want', 'pleas', 'men', 'fellow', 'women']","['honest', 'dont', 'like', 'stress', 'ladies', 'appreciate', 'gift', 'nature', 'enjoy', 'life', 'unnecessary', 'problem', 'want', 'please', 'men', 'fellow', 'women']",2,Nigeria
2022-05-30 15:48:16+00:00,1531301476215177231,#AshewoSpace #Ashawogroup @fyoungest thanks for the birthday giveaway I really appreciate… alert received in good health …. May God bless and replenish your pockets… I usually don’t get birthday gifts because people often forget … I appreciate thanks my people https://t.co/w4sMMz43wh,AbokiGentle,"Warri Delta State, Nigeria",2,2,0,0,"An Architect by profession, M.C as a hubby, online sales as a side hustle, I’m Gentle and simple, #ProudlyCatholic, die hard Manchester United fan, #Gemini ....",427,"['AshewoSpace', 'Ashawogroup']",ashewospace ashawogroup thanks for the birthday giveaway i really appreciate alert received in good health may god bless and replenish your pockets i usually dont get birthday gifts because people often forget i appreciate thanks my people,"['ashewospace', 'ashawogroup', 'thanks', 'for', 'the', 'birthday', 'giveaway', 'i', 'really', 'appreciate', 'alert', 'received', 'in', 'good', 'health', 'may', 'god', 'bless', 'and', 'replenish', 'your', 'pockets', 'i', 'usually', 'dont', 'get', 'birthday', 'gifts', 'because', 'people', 'often', 'forget', 'i', 'appreciate', 'thanks', 'my', 'people']","['ashewospace', 'ashawogroup', 'thanks', 'birthday', 'giveaway', 'really', 'appreciate', 'alert', 'received', 'good', 'health', 'may', 'god', 'bless', 'replenish', 'pockets', 'usually', 'dont', 'get', 'birthday', 'gifts', 'people', 'often', 'forget', 'appreciate', 'thanks', 'people']","['ashewospac', 'ashawogroup', 'thank', 'birthday', 'giveaway', 'realli', 'appreci', 'alert', 'receiv', 'good', 'health', 'may', 'god', 'bless', 'replenish', 'pocket', 'usual', 'dont', 'get', 'birthday', 'gift', 'peopl', 'often', 'forget', 'appreci', 'thank', 'peopl']","['ashewospace', 'ashawogroup', 'thanks', 'birthday', 'giveaway', 'really', 'appreciate', 'alert', 'received', 'good', 'health', 'may', 'god', 'bless', 'replenish', 'pockets', 'usually', 'dont', 'get', 'birthday', 'gifts', 'people', 'often', 'forget', 'appreciate', 'thanks', 'people']",5,Nigeria
2022-05-30 12:47:57+00:00,1531256094957486080,It's my birthday #june I will be giving out giving #sanitarypad to #schoolgirls will appreciate support from individual or organizations #menstruation is a must not a choice @VironyNG @Always @Ladycarept @molpedturkiye @kotex @pandg_cards @Tampax #ChampionsLeague https://t.co/2CfKbccfpp,asabitohsabi,"Lagos, Nigeria",0,0,0,0,Down to earth,58,"['june', 'sanitarypad', 'schoolgirls', 'menstruation', 'ChampionsLeague']",its my birthday june i will be giving out giving sanitarypad to schoolgirls will appreciate support from individual or organizations menstruation is a must not a choice championsleague,"['its', 'my', 'birthday', 'june', 'i', 'will', 'be', 'giving', 'out', 'giving', 'sanitarypad', 'to', 'schoolgirls', 'will', 'appreciate', 'support', 'from', 'individual', 'or', 'organizations', 'menstruation', 'is', 'a', 'must', 'not', 'a', 'choice', 'championsleague']","['birthday', 'june', 'giving', 'giving', 'sanitarypad', 'schoolgirls', 'appreciate', 'support', 'individual', 'organizations', 'menstruation', 'must', 'choice', 'championsleague']","['birthday', 'june', 'give', 'give', 'sanitarypad', 'schoolgirl', 'appreci', 'support', 'individu', 'organ', 'menstruat', 'must', 'choic', 'championsleagu']","['birthday', 'june', 'giving', 'giving', 'sanitarypad', 'schoolgirls', 'appreciate', 'support', 'individual', 'organizations', 'menstruation', 'must', 'choice', 'championsleague']",3,Nigeria
2022-05-30 05:31:49+00:00,1531146339391766531,"Good morning world.
I'm alive, I'm healthy and I appreciate the gift of life.
Aluta Continua, untill you make and made it keep grinding and even after everything is in place don't forget to say grace and praise your lord for continuity of the blessings.",IamRAHMSOD,lagos,3,0,0,0,"Ambivert_Writer ✍️_Entrepreneur_Clearing agent_PublicAdministrator and a great listener.
abdulrahmonsodiqolawale@gmail.com
I write for Love as i write for Peace",171,,good morning world im alive im healthy and i appreciate the gift of life aluta continua untill you make and made it keep grinding and even after everything is in place dont forget to say grace and praise your lord for continuity of the blessings,"['good', 'morning', 'world', 'im', 'alive', 'im', 'healthy', 'and', 'i', 'appreciate', 'the', 'gift', 'of', 'life', 'aluta', 'continua', 'untill', 'you', 'make', 'and', 'made', 'it', 'keep', 'grinding', 'and', 'even', 'after', 'everything', 'is', 'in', 'place', 'dont', 'forget', 'to', 'say', 'grace', 'and', 'praise', 'your', 'lord', 'for', 'continuity', 'of', 'the', 'blessings']","['good', 'morning', 'world', 'im', 'alive', 'im', 'healthy', 'appreciate', 'gift', 'life', 'aluta', 'continua', 'untill', 'make', 'made', 'keep', 'grinding', 'even', 'everything', 'place', 'dont', 'forget', 'say', 'grace', 'praise', 'lord', 'continuity', 'blessings']","['good', 'morn', 'world', 'im', 'aliv', 'im', 'healthi', 'appreci', 'gift', 'life', 'aluta', 'continua', 'until', 'make', 'made', 'keep', 'grind', 'even', 'everyth', 'place', 'dont', 'forget', 'say', 'grace', 'prais', 'lord', 'continu', 'bless']","['good', 'morning', 'world', 'im', 'alive', 'im', 'healthy', 'appreciate', 'gift', 'life', 'aluta', 'continua', 'untill', 'make', 'made', 'keep', 'grinding', 'even', 'everything', 'place', 'dont', 'forget', 'say', 'grace', 'praise', 'lord', 'continuity', 'blessings']",5,Nigeria
2022-05-29 10:38:00+00:00,1530861004015509504,"Thanks @wandecoal for the 🧢cap. Really appreciate. 
@LFC Liverpool wanted to ruin my night, 
Black Diamond came tru with a captivating performance and a cap gift. https://t.co/Vkkh2sYCjV",ABIDEXES,"Lagos, Nigeria",2,0,0,0,PACE SETTER,119,,thanks for the cap really appreciate liverpool wanted to ruin my night black diamond came tru with a captivating performance and a cap gift,"['thanks', 'for', 'the', 'cap', 'really', 'appreciate', 'liverpool', 'wanted', 'to', 'ruin', 'my', 'night', 'black', 'diamond', 'came', 'tru', 'with', 'a', 'captivating', 'performance', 'and', 'a', 'cap', 'gift']","['thanks', 'cap', 'really', 'appreciate', 'liverpool', 'wanted', 'ruin', 'night', 'black', 'diamond', 'came', 'tru', 'captivating', 'performance', 'cap', 'gift']","['thank', 'cap', 'realli', 'appreci', 'liverpool', 'want', 'ruin', 'night', 'black', 'diamond', 'came', 'tru', 'captiv', 'perform', 'cap', 'gift']","['thanks', 'cap', 'really', 'appreciate', 'liverpool', 'wanted', 'ruin', 'night', 'black', 'diamond', 'came', 'tru', 'captivating', 'performance', 'cap', 'gift']",5,Nigeria
2022-05-26 21:12:31+00:00,1529933523511132167,Thank you @nanopore we got our flongle flow cell demo kit  today. We at the molecular technique research laboratory of the Nigerian Institute of Medical research appreciate this gift and we look forward to collaborating with you to strengthen genomic research using your high...,IiiPolymerase,,7,1,1,0,Research interest: Molecular microbiology and epidemiology/ vaccinology/ bioinformatics/ Host-pathogen interaction/ Recombinant DNA technology.,274,,thank you we got our flongle flow cell demo kit today we at the molecular technique research laboratory of the nigerian institute of medical research appreciate this gift and we look forward to collaborating with you to strengthen genomic research using your high,"['thank', 'you', 'we', 'got', 'our', 'flongle', 'flow', 'cell', 'demo', 'kit', 'today', 'we', 'at', 'the', 'molecular', 'technique', 'research', 'laboratory', 'of', 'the', 'nigerian', 'institute', 'of', 'medical', 'research', 'appreciate', 'this', 'gift', 'and', 'we', 'look', 'forward', 'to', 'collaborating', 'with', 'you', 'to', 'strengthen', 'genomic', 'research', 'using', 'your', 'high']","['thank', 'got', 'flongle', 'flow', 'cell', 'demo', 'kit', 'today', 'molecular', 'technique', 'research', 'laboratory', 'nigerian', 'institute', 'medical', 'research', 'appreciate', 'gift', 'look', 'forward', 'collaborating', 'strengthen', 'genomic', 'research', 'using', 'high']","['thank', 'got', 'flongl', 'flow', 'cell', 'demo', 'kit', 'today', 'molecular', 'techniqu', 'research', 'laboratori', 'nigerian', 'institut', 'medic', 'research', 'appreci', 'gift', 'look', 'forward', 'collabor', 'strengthen', 'genom', 'research', 'use', 'high']","['thank', 'got', 'flongle', 'flow', 'cell', 'demo', 'kit', 'today', 'molecular', 'technique', 'research', 'laboratory', 'nigerian', 'institute', 'medical', 'research', 'appreciate', 'gift', 'look', 'forward', 'collaborating', 'strengthen', 'genomic', 'research', 'using', 'high']",5,Nigeria
2022-05-14 07:45:22+00:00,1525381744677076993,"Gifting someone allow us to communicate our feelings and appreciate them
@OlaideKoleosho @Cuttiemercy1 @InsideOsogbo @InsideIlorin_NG @Afooo_afooo https://t.co/uHzAqTuZgP",Margyy13,"Oshogbo, Nigeria",17,1,10,0,Gifting&Surprise🥰 Balloon Styling🥰 Birthday🎂 Anniversary🎂 Proposal🎂 e.t.c,47,,gifting someone allow us to communicate our feelings and appreciate them,"['gifting', 'someone', 'allow', 'us', 'to', 'communicate', 'our', 'feelings', 'and', 'appreciate', 'them']","['gifting', 'someone', 'allow', 'us', 'communicate', 'feelings', 'appreciate']","['gift', 'someon', 'allow', 'us', 'commun', 'feel', 'appreci']","['gifting', 'someone', 'allow', 'us', 'communicate', 'feelings', 'appreciate']",5,Nigeria
