Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 21:51:46+00:00,1532842505342857216,"I say I don't really care what people would do with the gifts I give them, but honestly I really fucking do. I always hope people would appreciate the gifts I give kasi I can barely afford gifts pero tangina he said nawala nya sa MDA at hindi niya alam pano, then he said",lee_sean18,"Dasmariñas, Cavite",0.0,1.0,0.0,0.0,Radikal na pagmamahal pero tanginang bbm supporters.,173.0,,i say i dont really care what people would do with the gifts i give them but honestly i really fucking do i always hope people would appreciate the gifts i give kasi i can barely afford gifts pero tangina he said nawala nya sa mda at hindi niya alam pano then he said,"['i', 'say', 'i', 'dont', 'really', 'care', 'what', 'people', 'would', 'do', 'with', 'the', 'gifts', 'i', 'give', 'them', 'but', 'honestly', 'i', 'really', 'fucking', 'do', 'i', 'always', 'hope', 'people', 'would', 'appreciate', 'the', 'gifts', 'i', 'give', 'kasi', 'i', 'can', 'barely', 'afford', 'gifts', 'pero', 'tangina', 'he', 'said', 'nawala', 'nya', 'sa', 'mda', 'at', 'hindi', 'niya', 'alam', 'pano', 'then', 'he', 'said']","['say', 'dont', 'really', 'care', 'people', 'would', 'gifts', 'give', 'honestly', 'really', 'fucking', 'always', 'hope', 'people', 'would', 'appreciate', 'gifts', 'give', 'kasi', 'barely', 'afford', 'gifts', 'pero', 'tangina', 'said', 'nawala', 'nya', 'sa', 'mda', 'hindi', 'niya', 'alam', 'pano', 'said']","['say', 'dont', 'realli', 'care', 'peopl', 'would', 'gift', 'give', 'honestli', 'realli', 'fuck', 'alway', 'hope', 'peopl', 'would', 'appreci', 'gift', 'give', 'kasi', 'bare', 'afford', 'gift', 'pero', 'tangina', 'said', 'nawala', 'nya', 'sa', 'mda', 'hindi', 'niya', 'alam', 'pano', 'said']","['say', 'dont', 'really', 'care', 'people', 'would', 'gifts', 'give', 'honestly', 'really', 'fucking', 'always', 'hope', 'people', 'would', 'appreciate', 'gifts', 'give', 'kasi', 'barely', 'afford', 'gifts', 'pero', 'tangina', 'said', 'nawala', 'nya', 'sa', 'mda', 'hindi', 'niya', 'alam', 'pano', 'said']",1,Philippines
2022-02-14 10:51:43+00:00,1493176120719597569,"Happy Valentine’s Day to my chubby bunny!! Scroll to see the best Vday gift ever, and the competitiveness. Nakakainis ayaw magpatalo 😂🤪💖. I love you, Love! I appreciate everything you do for us! 🌸💖 @ Manila, Philippines https://t.co/ORDunyRcjf",japrettyyy,Manila City,2.0,0.0,0.0,0.0,"Science and wonders 🧬 | 📍🇵🇭, soon in 🇯🇵🌸",300.0,,happy valentines day to my chubby bunny scroll to see the best vday gift ever and the competitiveness nakakainis ayaw magpatalo i love you love i appreciate everything you do for us manila philippines,"['happy', 'valentines', 'day', 'to', 'my', 'chubby', 'bunny', 'scroll', 'to', 'see', 'the', 'best', 'vday', 'gift', 'ever', 'and', 'the', 'competitiveness', 'nakakainis', 'ayaw', 'magpatalo', 'i', 'love', 'you', 'love', 'i', 'appreciate', 'everything', 'you', 'do', 'for', 'us', 'manila', 'philippines']","['happy', 'valentines', 'day', 'chubby', 'bunny', 'scroll', 'see', 'best', 'vday', 'gift', 'ever', 'competitiveness', 'nakakainis', 'ayaw', 'magpatalo', 'love', 'love', 'appreciate', 'everything', 'us', 'manila', 'philippines']","['happi', 'valentin', 'day', 'chubbi', 'bunni', 'scroll', 'see', 'best', 'vday', 'gift', 'ever', 'competit', 'nakakaini', 'ayaw', 'magpatalo', 'love', 'love', 'appreci', 'everyth', 'us', 'manila', 'philippin']","['happy', 'valentines', 'day', 'chubby', 'bunny', 'scroll', 'see', 'best', 'vday', 'gift', 'ever', 'competitiveness', 'nakakainis', 'ayaw', 'magpatalo', 'love', 'love', 'appreciate', 'everything', 'us', 'manila', 'philippines']",5,Philippines
2022-02-04 12:12:45+00:00,1489572633729327111,"My Mama handed this to me when she got home. Kaya ka pala nag mall ah?! You don’t have to but I really appreciate your gift. I love you, Mama! 😘 https://t.co/19GPAd14z9",jsin0738,"Rizal, Calabarzon",6.0,0.0,0.0,0.0,Capricorn | Recruitment | Mama’s Boy #LeniKiko2022,501.0,,my mama handed this to me when she got home kaya ka pala nag mall ah you dont have to but i really appreciate your gift i love you mama,"['my', 'mama', 'handed', 'this', 'to', 'me', 'when', 'she', 'got', 'home', 'kaya', 'ka', 'pala', 'nag', 'mall', 'ah', 'you', 'dont', 'have', 'to', 'but', 'i', 'really', 'appreciate', 'your', 'gift', 'i', 'love', 'you', 'mama']","['mama', 'handed', 'got', 'home', 'kaya', 'ka', 'pala', 'nag', 'mall', 'ah', 'dont', 'really', 'appreciate', 'gift', 'love', 'mama']","['mama', 'hand', 'got', 'home', 'kaya', 'ka', 'pala', 'nag', 'mall', 'ah', 'dont', 'realli', 'appreci', 'gift', 'love', 'mama']","['mama', 'handed', 'got', 'home', 'kaya', 'ka', 'pala', 'nag', 'mall', 'ah', 'dont', 'really', 'appreciate', 'gift', 'love', 'mama']",5,Philippines
2022-01-26 03:55:50+00:00,1486186088892936198,"My purple💜💜💜is so much happy and excited today receiving this gift from Weverse Shop I’m so speechless and overwhelmed thank you I really appreciate it I so like👍and love❤️it… #Borahae @ Alphaland, Makati City https://t.co/LujGGptqcu",EdsCapeding,Philippines,0.0,0.0,0.0,0.0,LIVE(•͡.̮ •͡ ) every moments... LAUGH☺every day... LOVE♥beyond words...,286.0,['Borahae'],my purpleis so much happy and excited today receiving this gift from weverse shop im so speechless and overwhelmed thank you i really appreciate it i so likeand loveit borahae alphaland makati city,"['my', 'purpleis', 'so', 'much', 'happy', 'and', 'excited', 'today', 'receiving', 'this', 'gift', 'from', 'weverse', 'shop', 'im', 'so', 'speechless', 'and', 'overwhelmed', 'thank', 'you', 'i', 'really', 'appreciate', 'it', 'i', 'so', 'likeand', 'loveit', 'borahae', 'alphaland', 'makati', 'city']","['purpleis', 'much', 'happy', 'excited', 'today', 'receiving', 'gift', 'weverse', 'shop', 'im', 'speechless', 'overwhelmed', 'thank', 'really', 'appreciate', 'likeand', 'loveit', 'borahae', 'alphaland', 'makati', 'city']","['purplei', 'much', 'happi', 'excit', 'today', 'receiv', 'gift', 'wevers', 'shop', 'im', 'speechless', 'overwhelm', 'thank', 'realli', 'appreci', 'likeand', 'loveit', 'boraha', 'alphaland', 'makati', 'citi']","['purpleis', 'much', 'happy', 'excited', 'today', 'receiving', 'gift', 'weverse', 'shop', 'im', 'speechless', 'overwhelmed', 'thank', 'really', 'appreciate', 'likeand', 'loveit', 'borahae', 'alphaland', 'makati', 'city']",5,Philippines
2021-12-30 01:13:43+00:00,1476360821487726593,Thank you po sa gift🤗🙈 @glng_pyna26 ♥️😍i highly appreciate po🤗halanayabo🙊💖 https://t.co/0Ekl3eyJLi,razonable_ryan,,1.0,0.0,0.0,0.0,WELCOME TO MY WORLD,2.0,,thank you po sa gift i highly appreciate pohalanayabo,"['thank', 'you', 'po', 'sa', 'gift', 'i', 'highly', 'appreciate', 'pohalanayabo']","['thank', 'po', 'sa', 'gift', 'highly', 'appreciate', 'pohalanayabo']","['thank', 'po', 'sa', 'gift', 'highli', 'appreci', 'pohalanayabo']","['thank', 'po', 'sa', 'gift', 'highly', 'appreciate', 'pohalanayabo']",5,Philippines
2021-12-24 19:49:50+00:00,1474467371163480064,"Thank you so much, my Love!
I appreciate it a lot! 🤩😍🥰
Boracay ready na talaga! 😃

#GoProHero10 #BestChristmasGiftEver❤️ https://t.co/6YuxnCqmhB",jenilaughlin,Philippines,2.0,0.0,0.0,0.0,Loved. ❤️,71.0,"['GoProHero10', 'BestChristmasGiftEver']",thank you so much my love i appreciate it a lot boracay ready na talaga goprohero10 bestchristmasgiftever,"['thank', 'you', 'so', 'much', 'my', 'love', 'i', 'appreciate', 'it', 'a', 'lot', 'boracay', 'ready', 'na', 'talaga', 'goprohero10', 'bestchristmasgiftever']","['thank', 'much', 'love', 'appreciate', 'lot', 'boracay', 'ready', 'na', 'talaga', 'goprohero10', 'bestchristmasgiftever']","['thank', 'much', 'love', 'appreci', 'lot', 'boracay', 'readi', 'na', 'talaga', 'goprohero10', 'bestchristmasgiftev']","['thank', 'much', 'love', 'appreciate', 'lot', 'boracay', 'ready', 'na', 'talaga', 'goprohero10', 'bestchristmasgiftever']",5,Philippines
2021-12-05 14:52:00+00:00,1467507048770256900,"I always admire PWD coz most of them have their own talents to showcase despite of their condition they manage to share their gift of life to inspired,just waiting to appreciate them. in this Christmas season lets spread love,hope,courage,care, unity, equality &amp; peace #KMJS",Ghuen4,Republic of the Philippines,1.0,0.0,0.0,0.0,im a pilipina 💕 that what makes me feel special 💕,1.0,['KMJS'],i always admire pwd coz most of them have their own talents to showcase despite of their condition they manage to share their gift of life to inspiredjust waiting to appreciate them in this christmas season lets spread lovehopecouragecare unity equality amp peace kmjs,"['i', 'always', 'admire', 'pwd', 'coz', 'most', 'of', 'them', 'have', 'their', 'own', 'talents', 'to', 'showcase', 'despite', 'of', 'their', 'condition', 'they', 'manage', 'to', 'share', 'their', 'gift', 'of', 'life', 'to', 'inspiredjust', 'waiting', 'to', 'appreciate', 'them', 'in', 'this', 'christmas', 'season', 'lets', 'spread', 'lovehopecouragecare', 'unity', 'equality', 'amp', 'peace', 'kmjs']","['always', 'admire', 'pwd', 'coz', 'talents', 'showcase', 'despite', 'condition', 'manage', 'share', 'gift', 'life', 'inspiredjust', 'waiting', 'appreciate', 'christmas', 'season', 'lets', 'spread', 'lovehopecouragecare', 'unity', 'equality', 'amp', 'peace', 'kmjs']","['alway', 'admir', 'pwd', 'coz', 'talent', 'showcas', 'despit', 'condit', 'manag', 'share', 'gift', 'life', 'inspiredjust', 'wait', 'appreci', 'christma', 'season', 'let', 'spread', 'lovehopecouragecar', 'uniti', 'equal', 'amp', 'peac', 'kmj']","['always', 'admire', 'pwd', 'coz', 'talents', 'showcase', 'despite', 'condition', 'manage', 'share', 'gift', 'life', 'inspiredjust', 'waiting', 'appreciate', 'christmas', 'season', 'lets', 'spread', 'lovehopecouragecare', 'unity', 'equality', 'amp', 'peace', 'kmjs']",5,Philippines
2021-05-22 10:04:30+00:00,1396044287759032320,"Congratulations and Thank you sa lahat ng nag bigay ng time for our ONE HOUR Kumu Klash Tournament. 

We appreciate your help. 

To our host and co-host, super thank you 🙏🏻.
Sa top gifter @ChimmingChippy 🙏🏻

MAYWARD LOVETEAM PARIN 

#MayWard @Barber_Edward_ @maymayentrata07 https://t.co/lz4Xh6QL6J",YONASMITH3,Belgrade City,87.0,3.0,113.0,1.0,•#MayWard’s #FLYER•𝐓𝐑𝐄𝐍𝐃𝐒𝐄𝐓𝐓𝐄𝐑• @maymayentrata07  ✈️ @Barber_Edward_ |Cha Eunwoo | IU,78907.0,['MayWard'],congratulations and thank you sa lahat ng nag bigay ng time for our one hour kumu klash tournament we appreciate your help to our host and cohost super thank you sa top gifter mayward loveteam parin mayward,"['congratulations', 'and', 'thank', 'you', 'sa', 'lahat', 'ng', 'nag', 'bigay', 'ng', 'time', 'for', 'our', 'one', 'hour', 'kumu', 'klash', 'tournament', 'we', 'appreciate', 'your', 'help', 'to', 'our', 'host', 'and', 'cohost', 'super', 'thank', 'you', 'sa', 'top', 'gifter', 'mayward', 'loveteam', 'parin', 'mayward']","['congratulations', 'thank', 'sa', 'lahat', 'ng', 'nag', 'bigay', 'ng', 'time', 'one', 'hour', 'kumu', 'klash', 'tournament', 'appreciate', 'help', 'host', 'cohost', 'super', 'thank', 'sa', 'top', 'gifter', 'mayward', 'loveteam', 'parin', 'mayward']","['congratul', 'thank', 'sa', 'lahat', 'ng', 'nag', 'bigay', 'ng', 'time', 'one', 'hour', 'kumu', 'klash', 'tournament', 'appreci', 'help', 'host', 'cohost', 'super', 'thank', 'sa', 'top', 'gifter', 'mayward', 'loveteam', 'parin', 'mayward']","['congratulations', 'thank', 'sa', 'lahat', 'ng', 'nag', 'bigay', 'ng', 'time', 'one', 'hour', 'kumu', 'klash', 'tournament', 'appreciate', 'help', 'host', 'cohost', 'super', 'thank', 'sa', 'top', 'gifter', 'mayward', 'loveteam', 'parin', 'mayward']",5,Philippines
2021-05-11 10:35:43+00:00,1392065877764284417,Grabe yung pa-surprise gift ng officemate ko huhuhu so cute and I appreciate. Out-of-nowhere natulala and don't how to say since Minsan lang me makareceive ng gifts. 💕 https://t.co/UtRlCkZQQ2,lei_mon_deu,"Wonju-si, Republic of Korea",3.0,0.0,0.0,0.0,"소원을 말해봐

A little less conversation, and
A little more touch my body",497.0,,grabe yung pasurprise gift ng officemate ko huhuhu so cute and i appreciate outofnowhere natulala and dont how to say since minsan lang me makareceive ng gifts,"['grabe', 'yung', 'pasurprise', 'gift', 'ng', 'officemate', 'ko', 'huhuhu', 'so', 'cute', 'and', 'i', 'appreciate', 'outofnowhere', 'natulala', 'and', 'dont', 'how', 'to', 'say', 'since', 'minsan', 'lang', 'me', 'makareceive', 'ng', 'gifts']","['grabe', 'yung', 'pasurprise', 'gift', 'ng', 'officemate', 'ko', 'huhuhu', 'cute', 'appreciate', 'outofnowhere', 'natulala', 'dont', 'say', 'since', 'minsan', 'lang', 'makareceive', 'ng', 'gifts']","['grabe', 'yung', 'pasurpris', 'gift', 'ng', 'officem', 'ko', 'huhuhu', 'cute', 'appreci', 'outofnowher', 'natulala', 'dont', 'say', 'sinc', 'minsan', 'lang', 'makarec', 'ng', 'gift']","['grabe', 'yung', 'pasurprise', 'gift', 'ng', 'officemate', 'ko', 'huhuhu', 'cute', 'appreciate', 'outofnowhere', 'natulala', 'dont', 'say', 'since', 'minsan', 'lang', 'makareceive', 'ng', 'gifts']",5,Philippines
2021-04-11 22:59:22+00:00,1381381388708945928,"Monday morning, I can taste the sun... talk to sunshine, play w/ sun beams. Thank you 4 this breakfast gift called taho, I'm 47 y.o. &amp; my first time to try this.  Friends who keep sending me 'healthy' foods I know your agenda and it has great intentions ... I appreciate all of u. https://t.co/Eglr7qlT6n",moiragallaga,"Stockholm, Sweden",1.0,0.0,0.0,0.0,"Columnist at the @Inq_Opinion, @inquirerdotnet, Author. Former Presidential Protocol Officer to 3 Philippine Presidents.",2080.0,,monday morning i can taste the sun talk to sunshine play w sun beams thank you 4 this breakfast gift called taho im 47 yo amp my first time to try this friends who keep sending me healthy foods i know your agenda and it has great intentions i appreciate all of u,"['monday', 'morning', 'i', 'can', 'taste', 'the', 'sun', 'talk', 'to', 'sunshine', 'play', 'w', 'sun', 'beams', 'thank', 'you', '4', 'this', 'breakfast', 'gift', 'called', 'taho', 'im', '47', 'yo', 'amp', 'my', 'first', 'time', 'to', 'try', 'this', 'friends', 'who', 'keep', 'sending', 'me', 'healthy', 'foods', 'i', 'know', 'your', 'agenda', 'and', 'it', 'has', 'great', 'intentions', 'i', 'appreciate', 'all', 'of', 'u']","['monday', 'morning', 'taste', 'sun', 'talk', 'sunshine', 'play', 'w', 'sun', 'beams', 'thank', '4', 'breakfast', 'gift', 'called', 'taho', 'im', '47', 'yo', 'amp', 'first', 'time', 'try', 'friends', 'keep', 'sending', 'healthy', 'foods', 'know', 'agenda', 'great', 'intentions', 'appreciate', 'u']","['monday', 'morn', 'tast', 'sun', 'talk', 'sunshin', 'play', 'w', 'sun', 'beam', 'thank', '4', 'breakfast', 'gift', 'call', 'taho', 'im', '47', 'yo', 'amp', 'first', 'time', 'tri', 'friend', 'keep', 'send', 'healthi', 'food', 'know', 'agenda', 'great', 'intent', 'appreci', 'u']","['monday', 'morning', 'taste', 'sun', 'talk', 'sunshine', 'play', 'w', 'sun', 'beams', 'thank', '4', 'breakfast', 'gift', 'called', 'taho', 'im', '47', 'yo', 'amp', 'first', 'time', 'try', 'friends', 'keep', 'sending', 'healthy', 'foods', 'know', 'agenda', 'great', 'intentions', 'appreciate', 'u']",5,Philippines
